το	را	ο	را	DET;NOM;DEF;NEUT;SG	PART
ωστόσο	هرچند	ωστόσο	هرچند	CONJ	CONJ
άλλες	دیگر	άλλος	دیگر	PRO;NOM;FEM;PL;3	ADV
άλλες	غیره	άλλος	غیره	PRO;NOM;FEM;PL;3	N;SG
τέλος	پایان	τέλος	پایان	ADV	N;SG
κάτω	فرود	κάτω	فرود	ADV	N;SG
κάτω	پایینی	κάτω	پایینی	ADV	N;SG
κάτω	زیر	κάτω	زیر	ADV	ADP
πολλές	بسیار	πολύς	بسیار	ADJ;NOM;FEM;PL	ADV
όλα	همه	όλος	همه	ADJ;NOM;NEUT;PL	PRO
φορές	times	φορά	times	N;NOM;FEM;PL	
φορές	تایمز	φορά	تایمز	N;NOM;FEM;PL	N;SG
ίδια	همون	ίδιος	همون	ADJ;NOM;FEM;SG	
αποτέλεσμα	نتیجۀ	αποτέλεσμα	نتیجۀ	N;ACC;NEUT;SG	
ιανουαρίου	ژانویه	ιανουάριος	ژانویه	PROPN;GEN;MASC;SG	N;SG
αγώνες	کبریت	αγώνας	کبریت	N;NOM;MASC;PL	N;SG
αγώνες	بازی	αγώνας	بازی	N;NOM;MASC;PL	N;SG
ταινίες	سینما	ταινία	سینما	N;NOM;FEM;PL	N;SG
ταινίες	فیلم	ταινία	فیلم	N;NOM;FEM;PL	N;SG
μέσω	via	μέσω	via	ADP	N;SG
μέσω	طریق	μέσω	طریق	ADP	N;SG
γεννήθηκε	متولد	γεννώ	متولد	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ
γεννήθηκε	زاده	γεννώ	زاده	V;PFV;IND;SG;3;PST;FIN;PASS	N;SG
ιουνίου	june	ιούνιος	june	N;GEN;MASC;SG	
αυτές	اینا	αυτός	اینا	PRO;NOM;FEM;PL;3	
πολλά	بسیار	πολύς	بسیار	ADJ;NOM;NEUT;PL	ADV
ίδιο	همون	ίδιος	همون	ADJ;NOM;NEUT;SG	
αρχικά	اصالتا	αρχικά	اصالتا	ADV	N;SG
περίοδος	دورهای	περίοδος	دور	N;NOM;FEM;SG	N;PL
ζωή	زو	ζωή	زو	N;ACC;FEM;SG	
περιλαμβάνει	شامل	περιλαμβάνω	شامل	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ
μεγάλο	بیگ	μεγάλος	بیگ	ADJ;NOM;NEUT;SG	N;SG
μεγάλο	b	μεγάλος	b	ADJ;NOM;NEUT;SG	N;SG
μεγάλο	بزرگی	μεγάλος	بزرگی	ADJ;NOM;NEUT;SG	N;SG
κοντά	نزدیکی	κοντά	نزدیک	ADV	N;SG
κοντά	نزدیک	κοντά	نزدیک	ADV	ADP
κοντά	close	κοντά	close	ADV	N;SG
κοντά	بستن	κοντά	بستن	ADV	N;SG
κοντά	نزدیک	κοντά	نزدیک	ADV	ADP
κοντά	مجاور	κοντά	مجاور	ADV	N;SG
κοντά	نزدیک	κοντά	نزدیک	ADV	ADP
χρόνο	time	χρόνος	time	N;ACC;MASC;SG	
γιατί	چرا	γιατί	چرا	CONJ	ADV
άλμπουμ	آلبومهای	άλμπουμ	آلبوم	N;MASC;SG	N;PL
γκολ	اهداف	γκολ	هدف		N;PL
γκολ	گل	γκολ	گل		N;SG
γκολ	هدف	γκολ	هدف		N;SG
γκολ	goal	γκολ	goal		
γύρω	اطراف	γύρω	اطراف	ADV	N;PL
γύρω	حوالی	γύρω	حوالی	ADV	N;PL
τελευταία	آخری	τελευταία	آخری	ADV	N;SG
τελευταία	لست	τελευταία	لست	ADV	ADP
τελευταία	واپسین	τελευταία	واپسین	ADV	ADJ;RL
τελευταία	آخرین	τελευταία	آخرین	ADV	ADJ;RL
τελευταία	اخرین	τελευταία	اخرین	ADV	ADJ;RL
πρώτος	اول	πρώτος	اول	NUM;NOM;MASC;SG	ADJ
πρώτος	ابتدا	πρώτος	ابتدا	NUM;NOM;MASC;SG	N;SG
πρώτος	نخستین	πρώτος	نخستین	NUM;NOM;MASC;SG	ADJ;RL
ανάμεσα	میان	ανάμεσα	میان	ADV	ADP
ανάμεσα	بین	ανάμεσα	بین	ADV	ADP
δεύτερη	دوم	δεύτερος	دوم	NUM;NOM;FEM;SG	ADJ
δεύτερη	ثانیه	δεύτερος	ثانیه	NUM;NOM;FEM;SG	N;SG
δεύτερη	دومی	δεύτερος	None	NUM;NOM;FEM;SG	ADJ
όλες	همه	όλος	همه	ADJ;NOM;FEM;PL	PRO
κάποια	بعضیها	κάποιος	بعضی	PRO;NOM;NEUT;PL;3	N;PL
δείτε	see	βλέπω	see	V;PFV;IMP;PL;2;FIN;ACT	
δείτε	دیدن	βλέπω	دیدن	V;PFV;IMP;PL;2;FIN;ACT	N;SG
πρώην	سابق	πρώην	سابق	ADV	ADJ
πρώην	پیشین	πρώην	پیشین	ADV	N;SG
επίσημη	صوری	επίσημος	صوری	ADJ;NOM;FEM;SG	N;SG
βόρεια	شمالی	βόρεια	شمالی	ADV	N;SG
βόρεια	نورث	βόρεια	نورث	ADV	N;SG
βόρεια	شمال	βόρεια	شمال	ADV	N;SG
βόρεια	شمالی	βόρεια	شمالی	ADV	N;SG
βόρεια	شمال	βόρεια	شمال	ADV	N;SG
ιδιαίτερα	بخصوص	ιδιαίτερα	بخصوص	ADV	CONJ
ηλικία	age	ηλικία	age	N;NOM;FEM;SG	
πρώτα	اول	πρώτα	اول	ADV	ADJ
πρώτα	ابتدا	πρώτα	ابتدا	ADV	N;SG
πρώτα	نخستین	πρώτα	نخستین	ADV	ADJ;RL
νότια	جنوب	νότιος	جنوب	ADV	N;SG
νότια	جنوبی	νότιος	جنوبی	ADV	N;SG
νότια	ساوت	νότιος	ساوت	ADV	N;SG
νότια	جنوب	νότιος	جنوب	ADV	N;SG
νότια	جنوبی	νότιος	جنوبی	ADV	N;SG
νέο	تازه	νέος	تازه	ADJ;ACC;NEUT;SG	ADV
νέο	نیو	νέος	نیو	ADJ;ACC;NEUT;SG	N;SG
σχεδόν	نزدیک	σχεδόν	نزدیک	ADV	ADP
σχεδόν	نمانده	σχεδόν	ماند#مان	ADV	V;SG;3;NEG;V.PTCP
περισσότερο	بیشتر	πολύ	بیش	ADV;CMPR	ADJ;CMPR
πολιτικός	سیاستمدار	πολιτικός	سیاستمدار	ADJ;NOM;MASC;SG	N;SG
δυο	دوتا	δύο	دوتا	NUM;NOM;PL	N;SG
πέθανε	بمیرم	πεθαίνω	None	V;PFV;IND;SG;3;PST;FIN;ACT	V;SBJV;SG;1;PRS
πέθανε	بمیرد	πεθαίνω	مرد#میر	V;PFV;IND;SG;3;PST;FIN;ACT	V;SBJV;SG;3;PRS
πέθανε	بمیر	πεθαίνω	بمیر	V;PFV;IND;SG;3;PST;FIN;ACT	V;IMP;SG;2
πέθανε	درگذشت	πεθαίνω	در#گذشت#گذر	V;PFV;IND;SG;3;PST;FIN;ACT	N;SG
ανά	پر	ανά	پر	ADP	N;SG
μουσική	موسیقی	μουσικός	موسیقی	ADJ;NOM;FEM;SG	N;SG
μουσική	موزیک	μουσικός	موزیک	ADJ;NOM;FEM;SG	N;SG
άτομα	مردم	άτομο	مردم	N;NOM;NEUT;PL	N;SG
δεύτερο	دوم	δεύτερος	دوم	NUM;NOM;NEUT;SG	ADJ
δεύτερο	ثانیه	δεύτερος	ثانیه	NUM;NOM;NEUT;SG	N;SG
δεύτερο	دومی	δεύτερος	None	NUM;NOM;NEUT;SG	ADJ
είδος	گونههای	είδος	گونه	N;NOM;NEUT;SG	N;PL
αρκετά	کافیه	αρκετά	کافیه	ADV	N;SG
εκείνη	اون	εκείνος	None	PRO;ACC;FEM;SG;3	
εκείνη	او	εκείνος	او	PRO;ACC;FEM;SG;3	PRO;SG;3
όρος	اجل	όρος	اجل	N;NOM;MASC;SG	
όρος	شرایط	όρος	شرایط	N;NOM;MASC;SG	N;PL
ιδρύθηκε	بنیان	ιδρύω	None	V;PFV;IND;SG;3;PST;FIN;PASS	N;SG
αρχαία	کهن	αρχαίος	کهن	ADJ;NOM;FEM;SG	N;SG
αρχαία	باستانی	αρχαίος	باستانی	ADJ;NOM;FEM;SG	N;SG
αρχαία	باستان	αρχαίος	باستان	ADJ;NOM;FEM;SG	N;SG
τι	چی	τι	چه	PRO;NOM;NEUT;SG;3	ADV
τι	چه	τι	چه	PRO;NOM;NEUT;SG;3	CONJ
ελληνικά	یونان	ελληνικός	یونان	ADV	N;SG
ελληνικά	یونانی	ελληνικός	یونانی	ADV	N;SG
γαλλία	فرانس	γαλλία	فرانس	PROPN;ACC;FEM;SG	N;SG
γαλλία	فرانسه	γαλλία	فرانسه	PROPN;ACC;FEM;SG	N;SG
ελληνικό	یونان	ελληνικός	یونان	ADJ;NOM;NEUT;SG	N;SG
ελληνικό	یونانی	ελληνικός	یونانی	ADJ;NOM;NEUT;SG	N;SG
ευρώπη	اروپای	ευρώπη	اروپا	PROPN;ACC;FEM;SG	N;SG
ευρώπη	اروپا	ευρώπη	اروپا	PROPN;ACC;FEM;SG	N;SG
δεκαετία	میلادی	δεκαετία	میلادی	N;ACC;FEM;SG	ADJ
γνωστό	دانسته	γνωστός	دانست#دان	ADJ;NOM;NEUT;SG	V;SG;3;V.PTCP
παγκόσμιο	سراسری	παγκόσμιος	سراسری	ADJ;NOM;NEUT;SG	N;SG
παγκόσμιο	جهانی	παγκόσμιος	جهانی	ADJ;NOM;NEUT;SG	N;SG
παγκόσμιο	گلوبال	παγκόσμιος	گلوبال	ADJ;NOM;NEUT;SG	N;SG
βιβλίο	b	βιβλίο	b	N;NOM;NEUT;SG	INTJ
πέντε	فایو	πέντε	فایو	NUM;NOM;MASC;PL	N;SG
παραπάνω	فراز	παραπάνω	فراز	ADV	N;SG
εταιρεία	گروهان	εταιρεία	گروه	N;NOM;FEM;SG	N;PL
σώμα	تفنگداران	σώμα	تفنگدار	N;NOM;NEUT;SG	N;PL
παράλληλα	موازی	παράλληλα	موازی	ADV	N;SG
σύνολο	کلا	σύνολο	None	N;NOM;NEUT;SG	
σύνολο	کل	σύνολο	کل	N;NOM;NEUT;SG	ADJ
γνωστή	دانسته	γνωστός	دانست#دان	ADJ;NOM;FEM;SG	V;SG;3;V.PTCP
κατάσταση	شرایط	κατάσταση	شرایط	N;ACC;FEM;SG	N;PL
επιτυχία	موفق	επιτυχία	موفق	N;NOM;FEM;SG	ADJ
επιτυχία	موفقیتهای	επιτυχία	موفقیت	N;NOM;FEM;SG	N;PL
γερμανία	آلمان	γερμανία	آلمان	PROPN;ACC;FEM;SG	N;SG
άλλους	دیگر	άλλος	دیگر	PRO;NOM;MASC;PL;3	ADV
πίσω	عقب	πίσω	عقب	ADV	N;SG
πίσω	پشت	πίσω	پشت	ADV	ADP
πίσω	باز	πίσω	باز	ADV	ADJ
πίσω	برگشت	πίσω	بر#گشت#گرد	ADV	V;SG;3;PST
σου	سو	σου	سو	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;SG
επιπλέον	اضافی	επιπλέον	None	ADV	N;SG
περισσότερα	دیگر	πολύς	دیگر	ADJ;NOM;CMPR;NEUT;PL	ADV
αυτόν	او	αυτός	او	PRO;ACC;MASC;SG;3	PRO;SG;3
άγιος	اگیواس	άγιος	اگیواس	ADJ;NOM;MASC;SG	
άγιος	قدیس	άγιος	قدیس	ADJ;NOM;MASC;SG	N;SG
άγιος	سن	άγιος	سن	ADJ;NOM;MASC;SG	N;SG
γ΄	سوم	γ΄	سوم	N	ADJ
ιωάννης	جان	ιωάννης	جان	PROPN;NOM;MASC;SG	N;SG
ιωάννης	یوحنا	ιωάννης	یوحنا	PROPN;NOM;MASC;SG	N;SG
ιωάννης	یوانیس	ιωάννης	یوانیس	PROPN;NOM;MASC;SG	N;SG
θεσσαλονίκη	سالونیک	θεσσαλονίκη	سالونیک	PROPN;NOM;FEM;SG	N;SG
αγγλικά	انگلیسی	αγγλικός	انگلیسی	ADV	N;SG
αγγλικά	english	αγγλικός	english	ADV	N;SG
άλλοι	دیگر	άλλος	دیگر	PRO;NOM;MASC;PL;3	ADV
κέρδισε	برنده	κερδίζω	برنده	V;PFV;IND;SG;3;PST;FIN;ACT	N;SG
κέρδισε	پیروز	κερδίζω	پیروز	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ
κέρδισε	وون	κερδίζω	وون	V;PFV;IND;SG;3;PST;FIN;ACT	N;SG
συνολικά	مجموع	συνολικά	مجموع	ADV	N;SG
συνολικά	کلا	συνολικά	None	ADV	
συνολικά	کل	συνολικά	کل	ADV	ADJ
γνωστός	دانسته	γνωστός	دانست#دان	ADJ;NOM;MASC;SG	V;SG;3;V.PTCP
γνωστός	اشنا	γνωστός	آشنا	ADJ;NOM;MASC;SG	N;SG
εθνικό	نشنال	εθνικός	نشنال	ADJ;NOM;NEUT;SG	N;SG
ποτέ	هیچوقت	ποτέ	هیچوقت	ADV	CONJ
τέλη	اجرت	τέλος	اجرت	N;ACC;NEUT;PL	N;SG
τέλη	مزد	τέλος	مزد	N;ACC;NEUT;PL	N;SG
τέλη	دستمزد	τέλος	دستمزد	N;ACC;NEUT;PL	N;SG
τέλη	شهریه	τέλος	شهریه	N;ACC;NEUT;PL	N;SG
πλευρά	کنار	πλευρά	کنار	N;ACC;FEM;SG	ADP
χιλιόμετρα	مایل	χιλιόμετρο	مایل	N;NOM;NEUT;PL	N;SG
χιλιόμετρα	مایلز	χιλιόμετρο	مایلز	N;NOM;NEUT;PL	N;SG
χιλιόμετρα	کیلومتر	χιλιόμετρο	کیلومتر	N;NOM;NEUT;PL	N;SG
χιλιόμετρα	کیلومتر	χιλιόμετρο	کیلومتر	N;NOM;NEUT;PL	N;SG
άρθρα	مقاله	άρθρο	مقاله	N;NOM;NEUT;PL	N;SG
γεώργιος	جورجیوس	γεώργιος	جورجیوس	PROPN;NOM;MASC;SG	N;SG
γεώργιος	جرج	γεώργιος	جرج	PROPN;NOM;MASC;SG	N;SG
γεώργιος	گئورگ	γεώργιος	گئورگ	PROPN;NOM;MASC;SG	N;SG
γεώργιος	جورج	γεώργιος	None	PROPN;NOM;MASC;SG	N;SG
μικρό	small	μικρός	small	ADJ;NOM;NEUT;SG	
μικρό	کوچکی	μικρός	کوچک	ADJ;NOM;NEUT;SG	N;SG
μικρό	اسمال	μικρός	اسمال	ADJ;NOM;NEUT;SG	N;SG
μικρό	لیتل	μικρός	لیتل	ADJ;NOM;NEUT;SG	N;SG
μικρό	کوچولو	μικρός	کوچولو	ADJ;NOM;NEUT;SG	N;SG
συγκεκριμένα	خاص	συγκεκριμένα	خاص	ADV	N;SG
συγκεκριμένα	مشخص	συγκεκριμένα	مشخص	ADV	ADJ
είδη	گونه	είδος	گونه	N;NOM;NEUT;PL	N;SG
κάποιος	یکی	κάποιος	یک	PRO;NOM;MASC;SG;3	NUM
κάποιος	کسی	κάποιος	کس	PRO;NOM;MASC;SG;3	N;SG
ιταλία	ایتالیا	ιταλία	ایتالیا	PROPN;ACC;FEM;SG	N;SG
κατηγορίες	اتهامی	κατηγορία	اتهامی	N;NOM;FEM;PL	N;SG
κατηγορίες	اتهام	κατηγορία	اتهام	N;NOM;FEM;PL	N;SG
θέσεις	صندلی	θέση	صندلی	N;NOM;FEM;PL	N;SG
περισσότερες	دیگر	πολύς	دیگر	ADJ;NOM;CMPR;FEM;PL	ADV
γενικά	عمومی	γενικά	عمومی	ADV	ADJ
γενικά	ژنرال	γενικά	ژنرال	ADV	N;SG
γενικά	جنرال	γενικά	جنرال	ADV	N;SG
σημαντικό	مهمند	σημαντικός	مهمند	ADJ;NOM;NEUT;SG	N;SG
νίκη	پیروز	νίκη	پیروز	N;ACC;FEM;SG	ADJ
νίκη	برد	νίκη	برد#بر	N;ACC;FEM;SG	V;SG;3;PST
νίκη	پیروز	νίκη	پیروز	N;ACC;FEM;SG	ADJ
μικρή	small	μικρός	small	ADJ;NOM;FEM;SG	
μικρή	کوچکی	μικρός	کوچک	ADJ;NOM;FEM;SG	N;SG
μικρή	اسمال	μικρός	اسمال	ADJ;NOM;FEM;SG	N;SG
μικρή	لیتل	μικρός	لیتل	ADJ;NOM;FEM;SG	N;SG
μικρή	کوچولو	μικρός	کوچولو	ADJ;NOM;FEM;SG	N;SG
έτη	سال	έτος	سال	N;NOM;NEUT;PL	N;SG
αμερικανός	امریکایی	Αμερικανός	None	ADJ;NOM;MASC;SG	N;SG
αμερικανός	امریکن	Αμερικανός	None	ADJ;NOM;MASC;SG	N;SG
αμερικανός	آمریکن	Αμερικανός	آمریکن	ADJ;NOM;MASC;SG	N;SG
τελικό	نهائی	τελικός	نهائی	ADJ;NOM;NEUT;SG	N;SG
τελικό	پایانی	τελικός	پایان	ADJ;NOM;NEUT;SG	N;SG
τελικό	فاینال	τελικός	فاینال	ADJ;NOM;NEUT;SG	N;SG
πάντα	always	πάντα	always	ADV	
συγκρότημα	b	συγκρότημα	b	N;NOM;NEUT;SG	INTJ
συγκρότημα	پیچیده	συγκρότημα	پیچیده	N;NOM;NEUT;SG	ADJ
ίσως	شایدم	ίσως	شایدم	ADV	
επόμενη	بعدی	επόμενος	بعد	ADJ;ACC;FEM;SG	N;SG
επόμενη	next	επόμενος	next	ADJ;ACC;FEM;SG	N;SG
μήνες	ماه	μήνας	ماه	N;NOM;MASC;PL	N;SG
μήνες	ماهه	μήνας	ماهه	N;NOM;MASC;PL	N;SG
αποτελείται	متشکل	αποτελώ	متشکل	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ
αποτελείται	سروده	αποτελώ	سروده	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;SG;3;V.PTCP
ύψος	قد	ύψος	قد	N;NOM;NEUT;SG	
πολλοί	بسیار	πολύς	بسیار	ADJ;NOM;MASC;PL	ADV
όλοι	همه	όλος	همه	ADJ;NOM;MASC;PL	PRO
όλοι	همه	όλος	همه	ADJ;NOM;MASC;PL	PRO
όλοι	همه	όλος	همه	ADJ;NOM;MASC;PL	PRO
θέατρο	تئاتر	θέατρο	None	N;NOM;NEUT;SG	N;PL
θέατρο	سینماها	θέατρο	سینما	N;NOM;NEUT;SG	N;PL
θέατρο	تئاتر	θέατρο	None	N;NOM;NEUT;SG	N;PL
σημαντική	مهمند	σημαντικός	مهمند	ADJ;NOM;FEM;SG	N;SG
διάφορα	متفرقه	διάφορος	متفرقه	ADV	N;SG
επέστρεψε	بازگشت	επιστρέφω	بازگشت	V;PFV;IND;SG;3;PST;FIN;ACT	N;SG
έχοντας	داشتن	έχω	داشتن	V;IPFV;V.CVB;ACT	N;SG
εκατομμύρια	میلیون	εκατομμύριο	میلیون	N;NOM;NEUT;PL	NUM
εκατομμύρια	میلیونی	εκατομμύριο	میلیونی	N;NOM;NEUT;PL	N;SG
εκατομμύρια	ملیون	εκατομμύριο	ملیون	N;NOM;NEUT;PL	N;SG
μέση	وسط	μέσο	وسط	N;NOM;FEM;SG	ADP
μέση	متوسط	μέσο	متوسط	N;NOM;FEM;SG	ADJ
άνω	بالایی	άνω	بالا	ADV	ADJ
άνω	آپر	άνω	آپر	ADV	N;SG
άνω	فوقانی	άνω	فوقانی	ADV	N;SG
αγωνίστηκε	جهاد	αγωνίζομαι	جهاد	V;PFV;IND;SG;3;PST;FIN;PASS	N;SG
τοπική	محلی	τοπικός	محل	ADJ;NOM;FEM;SG	N;SG
έξι	سیکس	έξι	سیکس	NUM;NOM;MASC;PL	N;SG
παρίσι	paris	παρίσι	paris	PROPN;NOM;NEUT;SG	N;SG
παρίσι	پاریسی	παρίσι	پاریسی	PROPN;NOM;NEUT;SG	N;SG
παρίσι	پاریس	παρίσι	پاریس	PROPN;NOM;NEUT;SG	N;SG
έγραψε	نوشتم	γράφω	نوشت#نویس	V;PFV;IND;SG;3;PST;FIN;ACT	V;SG;1;PST
περιέχει	حاوی	περιέχω	حاوی	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ
ημέρες	روزگار	ημέρα	روزگار	N;NOM;FEM;PL	N;SG
μαρία	ماریا	μαρία	ماریا	PROPN;NOM;FEM;SG	N;SG
μερικές	بعضیها	μερικοί	بعضی	PRO;NOM;FEM;PL;3	N;PL
διαδικασία	مراحل	διαδικασία	مرحله	N;NOM;FEM;SG	N;PL
κοινό	حضار	κοινό	حضار	N;NOM;NEUT;SG	N;PL
διαγραφή	حذف	διαγραφή	حذف	ADV	N;SG
τρίτη	سومین	τρίτος	سومین	NUM;NOM;FEM;SG	ADJ;RL
τρίτη	سومی	τρίτος	None	NUM;NOM;FEM;SG	N;SG
τρίτη	سوم	τρίτος	سوم	NUM;NOM;FEM;SG	ADJ
παρακάτω	زیر	παράκατος	زیر	ADV	ADP
απόσταση	گسترۀ	απόσταση	گسترۀ	N;ACC;FEM;SG	
νέων	جوانی	νέος	جوانی	ADJ;GEN;FEM;PL	N;SG
νέων	جوانان	νέος	جوان	ADJ;GEN;FEM;PL	N;PL
αμέσως	فورا	αμέσως	فورا	ADV	
λιγκ	لیگ	λιγκ	لیگ		N;SG
κανείς	هیچکس	κανένας	هیچکس	PRO;NOM;MASC;SG;3	PRO
σύντομο	کوتاه	σύντομο	کوتاه	N;NOM;NEUT;SG	ADJ
κωνσταντίνος	کنستانتین	κωνσταντίνος	کنستانتین	PROPN;NOM;MASC;SG	N;SG
αγία	قدیس	αγία	قدیس	PROPN;NOM;FEM;SG	N;SG
αγία	سن	αγία	سن	PROPN;NOM;FEM;SG	N;SG
αποτελέσματα	نتیجه	αποτέλεσμα	نتیجه	N;NOM;NEUT;PL	N;SG
ιστορικό	زمینه	ιστορικός	زمینه	ADJ;NOM;NEUT;SG	N;SG
ιστορικό	تاریخچه	ιστορικός	تاریخچه	ADJ;NOM;NEUT;SG	N;SG
ιστορικό	تاریخ	ιστορικός	تاریخ	ADJ;NOM;NEUT;SG	N;SG
τζον	جان	τζο	جان		N;SG
τζον	یوحنا	τζο	یوحنا		N;SG
τζον	jon	τζο	jon		N;SG
αρκετές	چندین	αρκετός	چندین	PRO;NOM;FEM;PL;3	ADJ
τμήματα	قطعه	τμήμα	قطعه	N;NOM;NEUT;PL	N;SG
