que	cela	que	cela	CONJ	PRO;SG
sin	sin	sin	sin	ADP	PROPN
sin	péchés	sin	péché	ADP	V;MASC;PL;PST;V.PTCP
donde	oú	donde	oú	PRO	CONJ
san	san	san	san	N;MASC;SG	PROPN
san	sainte	san	saint	N;MASC;SG	ADJ;FEM;SG
san	saint	san	saint	N;MASC;SG	PROPN
era	fut	ser	être	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
era	etait	ser	etever	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
nacional	nationaux	nacional	national	ADJ;SG	ADJ;MASC;PL
nacional	nationales	nacional	national	ADJ;SG	ADJ;FEM;PL
nacional	nacional	nacional	nacional	ADJ;SG	PROPN
primera	premières	primero	premier	ADJ;FEM;SG	ADJ;FEM;PL
primera	premiers	primero	premier	ADJ;FEM;SG	ADJ;MASC;PL
nombre	nommer	nombre	nommer	N;MASC;SG	V;NFIN
nombre	noms	nombre	nom	N;MASC;SG	N;MASC;PL
utc	tuc	utc	tuc	N	
siglo	siglo	siglo	siglo	N;MASC;SG	PROPN
después	apres	después	après	ADV	
después	after	después	after	ADV	PROPN
después	après	después	après	ADV	ADP
después	aprés	después	apré	ADV	
después	ultérieur	después	ultérieur	ADV	ADJ;MASC;SG
otros	autre	otro	autre	PRO;MASC;PL	PRO;SG
gran	big	gran	big	ADJ;SG	INTJ
gran	super	gran	super	ADJ;SG	ADV
gran	gran	gran	gran	ADJ;SG	PROPN
unidos	unie	unido	unie	ADJ;MASC;PL;V.PTCP	V;FEM;SG;PST;V.PTCP
unidos	unis	unido	unir	ADJ;MASC;PL;V.PTCP	V;MASC;PL;PST;V.PTCP
puede	peuvent	poder	pouvoir	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
puede	pouvez	poder	pouvoir	V;IND;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
puede	peux	poder	pouvoir	V;IND;SG;3;PRS;FIN	V;IND;SG;1;PRS;FIN
uno	uno	uno	uno	PRO;MASC;SG	PROPN
uno	une	uno	un	PRO;MASC;SG	DET;INDF;FEM;SG
uno	one	uno	one	PRO;MASC;SG	PROPN
primer	premières	primero	premier	ADJ;MASC;SG	ADJ;FEM;PL
primer	premiers	primero	premier	ADJ;MASC;SG	ADJ;MASC;PL
población	populations	población	population	N;FEM;SG	N;FEM;PL
muy	tres	mucho	tre	ADV	ADJ;MASC;SG
había	avaient	haber	avoir	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
había	avais	haber	avoir	V;IND;SG;3;IPFV;FIN	V;IND;SG;1;IPFV;FIN
mismo	pareil	mismo	pareil	ADJ;MASC;SG	INTJ
mismo	meme	mismo	même	ADJ;MASC;SG	INTJ
mismo	mêmes	mismo	même	ADJ;MASC;SG	ADJ;MASC;PL
mismo	même	mismo	même	ADJ;MASC;SG	ADV
nueva	nouvelles	nuevo	nouveau	ADJ;FEM;SG	ADJ;FEM;PL
nueva	nouveaux	nuevo	nouveau	ADJ;FEM;SG	ADJ;MASC;PL
nueva	nouveautés	nuevo	nouveauté	ADJ;FEM;SG	N;FEM;PL
fueron	étaient	ser	être	V;IND;PL;3;PST;FIN	V;IND;PL;3;IPFV;FIN
historia	historique	historia	historique	N;FEM;SG	ADJ;MASC;SG
cual	lesquels	cual	lequel	PRO;SG	PRO;MASC;PL
universidad	universitaire	universidad	universitaire	N;FEM;SG	ADJ;MASC;SG
tres	tres	tres	tre	NUM;PL	ADJ;MASC;SG
tres	three	tres	three	NUM;PL	PROPN
grupo	grupo	grupo	grupo	N;MASC;SG	PROPN
general	généraux	general	général	N;SG	ADJ;MASC;PL
general	généralités	general	généralité	N;SG	N;FEM;PL
general	générale	general	général	N;SG	ADJ;FEM;SG
aunque	quoique	aunque	quoique	CONJ	ADV
tras	apres	tras	après	ADP	
tras	after	tras	after	ADP	PROPN
tras	aprés	tras	apré	ADP	
familia	familles	familia	famille	N;FEM;SG	N;FEM;PL
familia	familiale	familia	familial	N;FEM;SG	ADJ;FEM;SG
familia	familles	familia	famille	N;FEM;SG	N;FEM;PL
todo	toute	todo	tout	PRO;MASC;SG	DET;FEM;SG
todo	toutes	todo	tout	PRO;MASC;SG	PRO;FEM;PL
todo	tous	todo	tout	PRO;MASC;SG	PRO;MASC;PL
todo	all	todo	all	PRO;MASC;SG	
sur	méridional	sur	méridional	N;MASC;SG	ADJ;MASC;SG
sur	méridionale	sur	méridional	N;MASC;SG	ADJ;FEM;SG
sur	méridional	sur	méridional	N;MASC;SG	ADJ;MASC;SG
mayor	major	mayor	major	ADJ;SG	N;MASC;SG
mayor	commandant	mayor	commandant	ADJ;SG	N;MASC;SG
tiempo	intempéries	tiempo	intempérie	N;MASC;SG	ADJ;FEM;PL
partido	parti	partido	partir	N;MASC;SG	V;MASC;SG;PST;V.PTCP
contra	compteur	contra	compteur	ADP	N;MASC;SG
contra	comptoir	contra	comptoir	ADP	N;MASC;SG
contra	against	contra	against	ADP	PROPN
contra	contra	contra	contra	ADP	PROPN
encuentra	trouvez	encontrar	trouver	V;IND;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
encuentra	trouvailles	encontrar	trouvaille	V;IND;SG;3;PRS;FIN	N;FEM;PL
otras	autre	otro	autre	PRO;FEM;PL	PRO;SG
todos	toute	todo	tout	PRO;MASC;PL	DET;FEM;SG
todos	tout	todo	tout	PRO;MASC;PL	PRO;MASC;SG
todos	all	todo	all	PRO;MASC;PL	
juan	jean	juan	jean	PROPN	PROPN
juan	john	juan	john	PROPN	PROPN
juan	joan	juan	joan	PROPN	PROPN
josé	joseph	josé	joseph	PROPN	N;MASC;SG
josé	josef	josé	josef	PROPN	PROPN
josé	jose	josé	jose	PROPN	PROPN
josé	josé	josé	josé	PROPN	PROPN
bajo	under	bajo	under	ADP	PROPN
bajo	basses	bajo	bas	ADP	ADJ;FEM;PL
bajo	basse	bajo	bas	ADP	ADJ;FEM;SG
bajo	faible	bajo	faible	ADP	ADJ;MASC;SG
bajo	faibles	bajo	faible	ADP	ADJ;MASC;PL
bajo	bas	bajo	bas	ADP	ADJ;MASC;SG
bajo	bajo	bajo	bajo	ADP	PROPN
bajo	contrebasse	bajo	contrebasse	ADP	N;FEM;SG
bajo	basse	bajo	bas	ADP	ADJ;FEM;SG
bajo	bassiste	bajo	bassiste	ADP	N;MASC;SG
bajo	bass	bajo	bass	ADP	PROPN
serie	séries	serie	série	N;FEM;SG	N;FEM;PL
cada	chacune	cada	chacun	DET;SG	PRO;FEM;SG
cada	chacun	cada	chacun	DET;SG	PRO;MASC;SG
equipo	équipements	equipo	équipement	N;MASC;SG	N;MASC;PL
equipo	equipements	equipo	equipement	N;MASC;SG	N;MASC;PL
norte	septentrionale	norte	septentrional	N;MASC;SG	ADJ;FEM;SG
norte	nordique	norte	nordique	N;MASC;SG	ADJ;MASC;SG
norte	septentrional	norte	septentrional	N;MASC;SG	ADJ;MASC;SG
norte	northern	norte	northern	N;MASC;SG	PROPN
río	rio	río	rio	N;MASC;SG	PROPN
méxico	mexique	méxico	mexique	N;MASC;SG	ADJ;MASC;SG
han	avoir	haber	avoir	V;IND;PL;3;PRS;FIN	V;NFIN
han	han	haber	han	V;IND;PL;3;PRS;FIN	PROPN
argentina	argentins	argentino	argentin	ADJ;FEM;SG	ADJ;MASC;PL
inglés	anglaise	inglés	anglais	N;MASC;SG	ADJ;FEM;SG
inglés	francais	inglés	francais	N;MASC;SG	ADJ;MASC;SG
nuevo	nouvelles	nuevo	nouveau	ADJ;MASC;SG	ADJ;FEM;PL
nuevo	nouveaux	nuevo	nouveau	ADJ;MASC;SG	ADJ;MASC;PL
nuevo	nouveautés	nuevo	nouveauté	ADJ;MASC;SG	N;FEM;PL
véase	consultez	véase	consulter	V;SBJV;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
véase	voyez	véase	voir	V;SBJV;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
véase	vois	véase	vois	V;SBJV;SG;3;PRS;FIN	V;IND;SG;2;PRS;FIN
segunda	segunda	segundo	segunda	ADJ;FEM;SG	PROPN
discusión	discussions	discusión	discussion	N;FEM;SG	N;FEM;PL
gobierno	gouvernements	gobierno	gouvernement	N;MASC;SG	N;MASC;PL
final	définitif	final	définitif	N;MASC;SG	ADJ;MASC;SG
final	final	final	final	N;MASC;SG	ADJ;MASC;SG
final	définitive	final	définitif	N;MASC;SG	ADJ;FEM;SG
final	finals	final	final	N;MASC;SG	ADJ;MASC;PL
final	finales	final	finale	N;MASC;SG	ADJ;FEM;PL
vida	vida	vida	vida	N;FEM;SG	PROPN
español	espagnol	español	espagnol	N;MASC;SG	ADJ;MASC;SG
español	espagnole	español	espagnol	N;MASC;SG	ADJ;FEM;SG
español	espagnols	español	espagnol	N;MASC;SG	ADJ;MASC;PL
centro	centro	centro	centro	N;MASC;SG	PROPN
centro	centrer	centro	centrer	N;MASC;SG	V;NFIN
julio	julio	julio	julio	N	PROPN
julio	julius	julio	julius	N	PROPN
hay	foin	haber	foin	V;IND;SG;3;PRS;FIN	N;MASC;SG
hay	hay	haber	hay	V;IND;SG;3;PRS;FIN	PROPN
lincoln	lincoln	lincoln	lincoln	N;MASC;SG	PROPN
internacional	internacional	internacional	internacional	ADJ;SG	PROPN
internacional	internationaux	internacional	international	ADJ;SG	ADJ;MASC;PL
santa	saintes	santo	saint	ADJ;FEM;SG	ADJ;FEM;PL
santa	sacré	santo	sacrer	ADJ;FEM;SG	V;MASC;SG;PST;V.PTCP
santa	saint	santo	saint	ADJ;FEM;SG	PROPN
santa	saint	santo	saint	ADJ;FEM;SG	PROPN
santa	santa	santo	santa	ADJ;FEM;SG	PROPN
antes	avant	antes	avant	ADV	ADP
oficial	fonctionnaire	oficial	fonctionnaire	ADJ;SG	N;MASC;SG
oficial	officielles	oficial	officiel	ADJ;SG	ADJ;FEM;PL
oficial	officiels	oficial	officiel	ADJ;SG	ADJ;MASC;PL
oficial	officier	oficial	officier	ADJ;SG	N;MASC;SG
quien	oms	quien	om	PRO;SG	N;MASC;SG
quien	who	quien	who	PRO;SG	PROPN
mundo	mondial	mundo	mondial	N;MASC;SG	ADJ;MASC;SG
mundo	mondiale	mundo	mondial	N;MASC;SG	ADJ;FEM;SG
mundo	mundo	mundo	mundo	N;MASC;SG	PROPN
tanto	both	tanto	both	ADV	PROPN
mayo	may	mayo	may	N	PROPN
mayo	peut	mayo	pouvoir	N	V;IND;SG;3;PRS;FIN
mayo	mayo	mayo	mayo	N	PROPN
temporada	saisonniers	temporada	saisonnier	N;FEM;SG	ADJ;MASC;PL
temporada	saisonnier	temporada	saisonnier	N;FEM;SG	ADJ;MASC;SG
temporada	saisonnière	temporada	saisonnier	N;FEM;SG	ADJ;FEM;SG
temporada	saisons	temporada	saison	N;FEM;SG	N;FEM;PL
mejor	meilleures	mejor	meilleur	ADV	ADJ;FEM;PL
mejor	meilleure	mejor	meilleur	ADV	ADJ;FEM;SG
mejor	meilleurs	mejor	meilleur	ADV	ADJ;MASC;PL
mejor	meilleur	mejor	meilleur	ADV	ADJ;MASC;SG
mejor	meilleure	mejor	meilleur	ADV	ADJ;FEM;SG
mejor	meilleures	mejor	meilleur	ADV	ADJ;FEM;PL
mejor	meilleur	mejor	meilleur	ADV	ADJ;MASC;SG
mejor	best	mejor	best	ADV	PROPN
mejor	meilleurs	mejor	meilleur	ADV	ADJ;MASC;PL
luego	puis	luego	puis	ADV	CONJ
siendo	etre	ser	être	V;V.MSDR	V;NFIN
madrid	madrid	madrid	madrid	N;MASC;SG	PROPN
madrid	liverpool	madrid	liverpool	N;MASC;SG	PROPN
enero	yann	enero	yann	N	PROPN
agosto	aug	agosto	aug	N	
otro	autres	otro	autre	PRO;MASC;SG	PRO;PL
otro	another	otro	another	PRO;MASC;SG	V
estaba	fut	estar	être	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
estaba	était	estar	être	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
total	total	total	total	ADJ;SG	N;MASC;SG
total	totaux	total	total	ADJ;SG	ADJ;MASC;PL
habitantes	résidants	habitante	résidant	N;PL	ADJ;MASC;PL
maría	mary	maría	mary	N;FEM;SG	PROPN
maría	myriam	maría	myriam	N;FEM;SG	PROPN
maría	maría	maría	maría	N;FEM;SG	PROPN
maría	maria	maría	maria	N;FEM;SG	PROPN
real	royales	real	royal	ADJ;SG	ADJ;FEM;PL
real	royaux	real	royal	ADJ;SG	ADJ;MASC;PL
página	pages	página	page	N;FEM;SG	N;FEM;PL
esto	cette	este	ce	PRO;SG	DET;FEM;SG
mundial	monde	mundial	monde	ADJ;SG	N;MASC;SG
mundial	mondiaux	mundial	mondial	ADJ;SG	ADJ;MASC;PL
música	musiques	música	musique	N;FEM;SG	N;FEM;PL
sólo	seul	sólo	seul	ADV	ADJ;MASC;SG
sólo	seule	sólo	seul	ADV	ADJ;FEM;SG
sólo	just	sólo	just	ADV	INTJ
debido	dus	debido	devoir	ADJ	V;MASC;PL;PST;V.PTCP
debido	due	debido	devoir	ADJ	V;FEM;SG;PST;V.PTCP
debido	dû	debido	devoir	ADJ	V;MASC;SG;PST;V.PTCP
cuenta	compte	contar	compte	V;IND;SG;3;PRS;FIN	N;MASC;SG
cuenta	comte	contar	comte	V;IND;SG;3;PRS;FIN	N;MASC;SG
cuenta	compte	contar	compte	V;IND;SG;3;PRS;FIN	N;MASC;SG
cuenta	comtes	contar	comte	V;IND;SG;3;PRS;FIN	N;MASC;PL
ella	ella	él	ella	PRO;FEM;SG;3	PROPN
pueden	pouvez	poder	pouvoir	V;IND;PL;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
pueden	peux	poder	pouvoir	V;IND;PL;3;PRS;FIN	V;IND;SG;1;PRS;FIN
pueden	peut	poder	pouvoir	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
varios	diverses	varios	divers	PRO;MASC;PL	ADJ;FEM;PL
varios	divers	varios	divers	PRO;MASC;PL	ADJ;MASC;PL
varios	divers	varios	divers	PRO;MASC;PL	ADJ;MASC;PL
varios	diverses	varios	divers	PRO;MASC;PL	ADJ;FEM;PL
francia	france	francia	france	PROPN	N;FEM;SG
solo	seul	solo	seul	ADV	ADJ;MASC;SG
solo	seuls	solo	seul	ADV	ADJ;MASC;PL
solo	seule	solo	seul	ADV	ADJ;FEM;SG
solo	solo	solo	solo	ADV	ADJ;MASC;SG
solo	soliste	solo	soliste	ADV	N;MASC;SG
solo	seul	solo	seul	ADV	ADJ;MASC;SG
solo	seule	solo	seul	ADV	ADJ;FEM;SG
solo	just	solo	just	ADV	INTJ
chile	chilienne	chile	chilien	PROPN	ADJ;FEM;SG
chile	chilien	chile	chilien	PROPN	ADJ;MASC;SG
chile	chiliens	chile	chilien	PROPN	ADJ;MASC;PL
chile	chili	chile	chili	PROPN	N;MASC;SG
chile	chilien	chile	chilien	PROPN	ADJ;MASC;SG
chile	chili	chile	chili	PROPN	N;MASC;SG
tipo	taper	tipo	taper	N;MASC;SG	V;NFIN
tipo	tapez	tipo	tape	N;MASC;SG	V;IMP;PL;2;PRS;FIN
obra	travaux	obra	travail	N;FEM;SG	N;MASC;PL
obra	travailler	obra	travailler	N;FEM;SG	V;NFIN
entonces	puis	entonces	puis	ADV	CONJ
banda	banda	banda	banda	N;FEM;SG	PROPN
cuatro	cuatro	cuatro	cuatro	NUM;PL	PROPN
televisión	televisión	televisión	televisión	N;FEM;SG	PROPN
principal	principales	principal	principal	ADJ;SG	ADJ;FEM;PL
principal	main	principal	main	ADJ;SG	N;FEM;SG
principal	principaux	principal	principal	ADJ;SG	ADJ;MASC;PL
principal	commettant	principal	commettre	ADJ;SG	V;PRS;V.PTCP
tuvo	avait	tener	avoir	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
tuvo	avaient	tener	avoir	V;IND;SG;3;PST;FIN	V;IND;PL;3;IPFV;FIN
tuvo	avais	tener	avoir	V;IND;SG;3;PST;FIN	V;IND;SG;1;IPFV;FIN
carlos	carl	carlo	carl	N;MASC;SG	PROPN
carlos	carlos	carlo	carlos	N;MASC;SG	PROPN
carlos	charlie	carlo	charlie	N;MASC;SG	PROPN
otra	another	otro	another	PRO;FEM;SG	V
rey	king	rey	king	N;MASC;SG	PROPN
rey	rey	rey	rey	N;MASC;SG	PROPN
km²	km²	kme	km²		N;MASC;SG
edición	modifier	edición	modifier	N;FEM;SG	V;NFIN
edición	éditer	edición	éditer	N;FEM;SG	V;NFIN
edición	éditer	edición	éditer	N;FEM;SG	V;NFIN
tenía	avait	tener	avoir	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
tenía	avaient	tener	avoir	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
tenía	avais	tener	avoir	V;IND;SG;3;IPFV;FIN	V;IND;SG;1;IPFV;FIN
premios	récompense	premio	récompense	N;MASC;PL	N;FEM;SG
premios	récompense	premio	récompense	N;MASC;PL	N;FEM;SG
bien	bons	bien	bon	ADV	ADJ;MASC;PL
bien	bonne	bien	bon	ADV	ADJ;FEM;SG
bien	bon	bien	bon	ADV	ADJ;MASC;SG
bien	bonnes	bien	bon	ADV	ADJ;FEM;PL
bien	puits	bien	puits	ADV	N;MASC;SG
bien	bah	bien	bah	ADV	
bien	fine	bien	fin	ADV	ADJ;FEM;SG
bien	amende	bien	amende	ADV	N;FEM;SG
poco	petit	poco	petit	ADV	ADJ;MASC;SG
poco	petite	poco	petit	ADV	ADJ;FEM;SG
orden	commander	orden	commander	N;MASC;SG	V;NFIN
estadounidense	américaines	estadounidense	américain	ADJ;SG	ADJ;FEM;PL
estadounidense	américains	estadounidense	américain	ADJ;SG	ADJ;MASC;PL
agua	eaux	agua	eau	N;FEM;SG	N;FEM;PL
tierra	terres	tierra	terre	N;FEM;SG	N;FEM;PL
tierra	tierra	tierra	tierra	N;FEM;SG	PROPN
tierra	sols	tierra	sol	N;FEM;SG	N;MASC;PL
están	sont	estar	être	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
trabajo	travaux	trabajo	travail	N;MASC;SG	N;MASC;PL
trabajo	travailler	trabajo	travailler	N;MASC;SG	V;NFIN
especie	espèces	especie	espèce	N;FEM;SG	N;FEM;PL
luis	louie	luis	loui	N;MASC;SG	PROPN
luis	ludwig	luis	ludwig	N;MASC;SG	PROPN
luis	luis	luis	lui	N;MASC;SG	PROPN
dentro	interieur	dentro	interieur	ADV	ADJ;MASC;SG
dentro	inside	dentro	inside	ADV	
dentro	intérieur	dentro	intérieur	ADV	N;MASC;SG
obras	joue	obra	jouer	N;FEM;PL	V;IND;SG;3;PRS;FIN
color	coloris	color	coloris	N;MASC;SG	N;MASC;PL
color	couleurs	color	couleur	N;MASC;SG	N;FEM;PL
color	coloris	color	coloris	N;MASC;SG	N;MASC;PL
color	couleurs	color	couleur	N;MASC;SG	N;FEM;PL
copa	copa	copa	copa	N;FEM;SG	PROPN
copa	cup	copa	cup	N;FEM;SG	PROPN
muchos	nombreux	mucho	nombreux	PRO;MASC;PL	ADJ;MASC;PL
muchos	beaucoup	mucho	beaucoup	PRO;MASC;PL	ADV
muchos	nombreuses	mucho	nombreux	PRO;MASC;PL	ADJ;FEM;PL
francisco	francisco	francisco	francisco	N;MASC;SG	PROPN
francisco	francis	francisco	francis	N;MASC;SG	PROPN
francisco	françois	francisco	françois	N;MASC;SG	PROPN
siguiente	suivantes	siguiente	suivant	ADJ;SG	ADJ;FEM;PL
siguiente	suivant	siguiente	suivre	ADJ;SG	V;PRS;V.PTCP
siguiente	suivant	siguiente	suivre	ADJ;SG	V;PRS;V.PTCP
siguiente	next	siguiente	next	ADJ;SG	
grandes	grande	grande	grand	ADJ;PL	ADJ;FEM;SG
grandes	grand	grande	grand	ADJ;PL	ADJ;MASC;SG
grandes	gros	grande	gros	ADJ;PL	ADJ;MASC;SG
grandes	grosse	grande	gros	ADJ;PL	ADJ;FEM;SG
grandes	grande	grande	grand	ADJ;PL	ADJ;FEM;SG
grandes	big	grande	big	ADJ;PL	INTJ
grandes	grand	grande	grand	ADJ;PL	ADJ;MASC;SG
censo	recensements	censo	recensement	N;MASC;SG	N;MASC;PL
muerte	death	muerte	death	N;FEM;SG	PROPN
muerte	mort	muerte	mourir	N;FEM;SG	V;MASC;SG;PST;V.PTCP
medio	moyen	medio	moyen	NUM;MASC;SG	ADJ;MASC;SG
medio	moyennes	medio	moyen	NUM;MASC;SG	ADJ;FEM;PL
medio	médium	medio	médium	NUM;MASC;SG	N;MASC;SG
medio	moyenne	medio	moyenne	NUM;MASC;SG	N;FEM;SG
medio	milieu	medio	milieu	NUM;MASC;SG	N;MASC;SG
medio	medio	medio	medio	NUM;MASC;SG	PROPN
medio	moitié	medio	moitié	NUM;MASC;SG	N;FEM;SG
medio	demi	medio	demi	NUM;MASC;SG	ADJ;MASC;SG
política	politiques	política	politique	N;FEM;SG	ADJ;MASC;PL
política	politique	política	politique	N;FEM;SG	ADJ;MASC;SG
política	politiques	política	politique	N;FEM;SG	ADJ;MASC;PL
política	politique	política	politique	N;FEM;SG	ADJ;MASC;SG
menos	minus	menos	minus	ADV	PROPN
largo	largo	largo	largo	ADJ;MASC;SG	PROPN
largo	longues	largo	long	ADJ;MASC;SG	ADJ;FEM;PL
largo	longs	largo	long	ADJ;MASC;SG	ADJ;MASC;PL
largo	longtemps	largo	longtemps	ADJ;MASC;SG	ADV
buenos	bien	buen	bien	ADJ;MASC;PL	ADV
buenos	bonne	buen	bon	ADJ;MASC;PL	ADJ;FEM;SG
buenos	bon	buen	bon	ADJ;MASC;PL	ADJ;MASC;SG
hecho	fait	hecho	faire	ADJ;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
hecho	fabriqués	hecho	fabriquer	ADJ;MASC;SG;V.PTCP	V;MASC;PL;PST;V.PTCP
hecho	faite	hecho	faire	ADJ;MASC;SG;V.PTCP	V;FEM;SG;PST;V.PTCP
hecho	fabriqué	hecho	fabriquer	ADJ;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
hecho	fait	hecho	faire	ADJ;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
hecho	faite	hecho	faire	ADJ;MASC;SG;V.PTCP	V;FEM;SG;PST;V.PTCP
poder	puissance	poder	puissance	V;NFIN	N;FEM;SG
pueblo	pueblo	pueblo	pueblo	N;MASC;SG	PROPN
pueblo	gens	pueblo	gens	N;MASC;SG	N;MASC;PL
pueblo	personnes	pueblo	personne	N;MASC;SG	N;FEM;PL
hizo	did	hacer	did	V;IND;SG;3;PST;FIN	
veces	fois	vez	fois	N;FEM;PL	N;FEM;SG
todas	toute	todo	tout	PRO;FEM;PL	DET;FEM;SG
todas	tout	todo	tout	PRO;FEM;PL	PRO;MASC;SG
todas	all	todo	all	PRO;FEM;PL	
york	york	york	york	PROPN	PROPN
ejemplo	échantillons	ejemplo	échantillon	N;MASC;SG	N;MASC;PL
género	genres	género	genre	N;MASC;SG	N;MASC;PL
género	sexes	género	sexe	N;MASC;SG	N;FEM;PL
isbn	isbn	isbn	isbn	N	
campo	camps	campo	camp	N;MASC;SG	N;MASC;PL
campo	campo	campo	campo	N;MASC;SG	PROPN
isla	isla	isla	isla	N;FEM;SG	PROPN
misma	pareil	mismo	pareil	DET;FEM;SG	INTJ
misma	meme	mismo	même	DET;FEM;SG	INTJ
misma	identique	mismo	identique	DET;FEM;SG	ADJ;MASC;SG
misma	mêmes	mismo	même	DET;FEM;SG	ADJ;MASC;PL
misma	même	mismo	même	DET;FEM;SG	ADV
ante	daim	ante	daim	ADP	N;MASC;SG
ante	suede	ante	suede	ADP	N;MASC;SG
ante	ante	ante	ante	ADP	PROPN
conocido	connues	conocido	connaître	ADJ;MASC;SG;V.PTCP	V;FEM;PL;PST;V.PTCP
conocido	connue	conocido	connaître	ADJ;MASC;SG;V.PTCP	V;FEM;SG;PST;V.PTCP
conocido	connus	conocido	connaître	ADJ;MASC;SG;V.PTCP	V;MASC;PL;PST;V.PTCP
conocido	connu	conocido	connaître	ADJ;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
conocido	connaissance	conocido	connaissance	ADJ;MASC;SG;V.PTCP	N;FEM;SG
países	pays	país	pays	N;MASC;PL	N;MASC;SG
frente	avant	frente	avant	N	ADP
frente	devant	frente	devant	N	ADP
antonio	anthony	antonio	anthony	N;MASC;SG	PROPN
antonio	tony	antonio	tony	N;MASC;SG	PROPN
antonio	antony	antonio	antony	N;MASC;SG	PROPN
