les	az	le	az	DET;DEF;PL	
références	hivatkozás	référence	hivatkozás	N;FEM;PL	N;NOM;SG
était	volt	être	van	V;IND;SG;3;IPFV;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
commune	kommuna	commune	kommuna	N;FEM;SG	
commune	közös	commune	közös	N;FEM;SG	
commune	gyakori	commune	gyakori	N;FEM;SG	
ville	town	ville	town	N;FEM;SG	
ville	city	ville	city	N;FEM;SG	
ville	városi	ville	városi	N;FEM;SG	ADJ;NOM;SG
jean	jean	jean	jean	PROPN	
jean	john	jean	john	PROPN	
jean	jános	jean	jános	PROPN	N;NOM;SG
peut	may	pouvoir	may	V;IND;SG;3;PRS;FIN	
peut	május	pouvoir	május	V;IND;SG;3;PRS;FIN	N;NOM;SG
peut	májusi	pouvoir	májusi	V;IND;SG;3;PRS;FIN	ADJ;NOM;SG
peut	májusban	pouvoir	május	V;IND;SG;3;PRS;FIN	N;IN+ESS;SG
peut	can	pouvoir	can	V;IND;SG;3;PRS;FIN	
peut	lehet	pouvoir	lesz	V;IND;SG;3;PRS;FIN	V;INDF;POT;SG;3;PRS;FIN;ACT
depuis	azóta	depuis	azóta	ADP	ADV
depuis	mióta	depuis	mióta	ADP	ADV
depuis	mivel	depuis	mivel	ADP	CONJ
depuis	től	depuis	től	ADP	
depuis	tól	depuis	tól	ADP	
depuis	from	depuis	from	ADP	
première	premier	premier	premier	ADJ;FEM;SG	
première	először	premier	először	ADJ;FEM;SG	ADV
ans	év	an	év	N;MASC;PL	N;NOM;SG
alors	aztán	alors	aztán	ADV	
externes	külső	externe	külső	ADJ;MASC;PL	
premier	premier	premier	premier	ADJ;MASC;SG	
premier	először	premier	először	ADJ;MASC;SG	ADV
fut	volt	être	van	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
http	http	http	http	N;MASC;SG	
voir	lásd	voir	lásd	V;NFIN	
voir	megtekintés	voir	megtekintés	V;NFIN	N;NOM;SG
voir	kilátás	voir	kilátás	V;NFIN	N;NOM;SG
voir	nézet	voir	néz	V;NFIN	N;NOM;SG
pays	országokban	pays	ország	N;MASC;SG	N;IN+ESS;PL
pays	országok	pays	ország	N;MASC;SG	N;NOM;PL
grand	nagyok	grand	nagy	ADJ;MASC;SG	N;NOM;PL
grand	nagyok	grand	nagy	ADJ;MASC;SG	N;NOM;PL
grand	nagyszerű	grand	nagyszerű	ADJ;MASC;SG	
grand	grand	grand	grand	ADJ;MASC;SG	
tout	mindent	tout	minden	PRO;MASC;SG	
tout	mindegyik	tout	mindegyik	PRO;MASC;SG	
tout	mind	tout	mind	PRO;MASC;SG	CONJ
lors	során	lors	sor	ADV	N;ON+ESS;SG
groupe	band	groupe	band	N;MASC;SG	
groupe	banda	groupe	banda	N;MASC;SG	
groupe	együttes	groupe	együttes	N;MASC;SG	
également	szintén	également	szintén	ADV	
également	úgyszintén	également	úgyszintén	ADV	
monde	világ	monde	világ	N;MASC;SG	
monde	world	monde	world	N;MASC;SG	
nord	észak	nord	észak	N;MASC;SG	
nord	északi	nord	északi	N;MASC;SG	
nord	észak	nord	észak	N;MASC;SG	
nord	északi	nord	északi	N;MASC;SG	
nord	nord	nord	nord	N;MASC;SG	
années	év	année	év	N;FEM;PL	N;NOM;SG
bien	jó	bien	jó	ADV	
bien	hát	bien	hát	ADV	
contre	ellene	contre	ellen	ADP	PRO;NOM;SG;3
puis	akkor	puis	akkor	CONJ	ADV
puis	aztán	puis	aztán	CONJ	
équipe	team	équipe	team	N;FEM;SG	
club	club	club	club	N;MASC;SG	
sud	sud	sud	sud	N;MASC;SG	
sud	dél	sud	dél	N;MASC;SG	
sud	délre	sud	délre	N;MASC;SG	ADV
sud	déli	sud	déli	N;MASC;SG	
partie	party	partie	party	N;FEM;SG	
partie	parti	partie	parti	N;FEM;SG	ADJ;NOM;SG
partie	részben	partie	részben	N;FEM;SG	ADV
avant	front	avant	front	ADP	
avant	eleje	avant	eleje	ADP	N;NOM;SG
avant	előtte	avant	előtte	ADP	
avant	mielőtt	avant	mielőtt	ADP	ADV
sans	anélkül	sans	anélkül	ADP	
sans	sans	sans	sans	ADP	
fin	fin	fin	fin	N;FEM;SG	
année	évi	année	évi	N;FEM;SG	
plusieurs	sok	plusieurs	sok	PRO;PL	
plusieurs	sokan	plusieurs	sokan	PRO;PL	ADV
plusieurs	számos	plusieurs	számos	PRO;PL	
plusieurs	többszörös	plusieurs	többszörös	PRO;PL	N;NOM;SG
plusieurs	többszörösen	plusieurs	többszörös	PRO;PL	ADJ;FRML;SG
mars	márciusi	mars	márciusi	N;MASC;SG	ADJ;NOM;SG
mars	mars	mars	mars	N;MASC;SG	
histoire	előzmények	histoire	előzmény	N;FEM;SG	N;NOM;PL
série	soros	série	soros	N;FEM;SG	
mai	may	mai	may	N;MASC;SG	
mai	májusi	mai	májusi	N;MASC;SG	ADJ;NOM;SG
mai	mai	mai	mai	N;MASC;SG	
tour	tour	tour	tour	N;MASC;SG	
tour	tower	tour	tower	N;MASC;SG	
mort	halál	mourir	halál	V;MASC;SG;PST;V.PTCP	N;NOM;SG
mort	mort	mourir	mort	V;MASC;SG;PST;V.PTCP	
mort	halott	mourir	halott	V;MASC;SG;PST;V.PTCP	
mort	halottak	mourir	halott	V;MASC;SG;PST;V.PTCP	N;NOM;PL
juin	jun	juin	jun	N;MASC;SG	
juin	júniusi	juin	júniusi	N;MASC;SG	ADJ;NOM;SG
juin	june	juin	june	N;MASC;SG	
jpg	jpg	jpg	jpg	N;MASC;SG	
française	francia	français	francia	ADJ;FEM;SG	
française	franciák	français	francia	ADJ;FEM;SG	N;NOM;PL
pierre	stone	pierre	stone	N;FEM;SG	PROPN;NOM;SG
pierre	peter	pierre	peter	N;FEM;SG	PROPN;NOM;SG
pierre	péter	pierre	péter	N;FEM;SG	
pierre	pierre	pierre	pierre	N;FEM;SG	
région	régiók	région	régió	N;FEM;SG	N;NOM;PL
janvier	januári	janvier	januári	N;MASC;SG	ADJ;NOM;SG
fois	idők	fois	idő	N;FEM;SG	
fois	időpontok	fois	időpont	N;FEM;SG	N;NOM;PL
autre	autre	autre	aut	PRO;SG	
autre	egyéb	autre	egyéb	PRO;SG	
septembre	szeptemberi	septembre	szeptemberi	N;MASC;SG	ADJ;NOM;SG
juillet	júliusi	juillet	júliusi	N;MASC;SG	ADJ;NOM;SG
état	állami	état	állami	N;MASC;SG	
octobre	októberi	octobre	októberi	N;MASC;SG	ADJ;NOM;SG
général	általános	général	általános	N;MASC;SG	
avril	apr	avril	apr	N;MASC;SG	
avril	april	avril	ap	N;MASC;SG	
avril	áprilisi	avril	áprilisi	N;MASC;SG	ADJ;NOM;SG
avril	avril	avril	av	N;MASC;SG	
tous	mindegyik	tout	mindegyik	PRO;MASC;PL	
tous	mind	tout	mind	PRO;MASC;PL	CONJ
tous	minden	tout	minden	PRO;MASC;PL	PRO;NOM;SG;3
politique	szabályzat	politique	szabályzat	ADJ;MASC;SG	N;NOM;SG
politique	politika	politique	politika	ADJ;MASC;SG	N;NOM;SG
politique	politika	politique	politika	ADJ;MASC;SG	N;NOM;SG
décembre	decemberi	décembre	decemberi	N;MASC;SG	ADJ;NOM;SG
août	august	août	augus	N;MASC;SG	
todo	todo	todo	todo	PROPN	
novembre	novemberi	novembre	novemberi	N;MASC;SG	ADJ;NOM;SG
avait	volt	avoir	van	V;IND;SG;3;IPFV;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
prix	árak	prix	ár	N;MASC;SG	N;NOM;PL
prix	árak	prix	ár	N;MASC;SG	N;NOM;PL
prix	ár	prix	ár	N;MASC;SG	
nouvelle	újdonság	nouveau	újdonság	ADJ;FEM;SG	N;NOM;SG
février	februári	février	februári	N;MASC;SG	ADJ;NOM;SG
département	megye	département	megye	N;MASC;SG	
grande	nagyok	grand	nagy	ADJ;FEM;SG	N;NOM;PL
grande	nagyok	grand	nagy	ADJ;FEM;SG	N;NOM;PL
grande	nagyszerű	grand	nagyszerű	ADJ;FEM;SG	
grande	grande	grand	grande	ADJ;FEM;SG	
peu	pár	peu	pár	ADV	
peu	kevés	peu	kevés	ADV	
peu	kevesek	peu	kevés	ADV	
peu	néhány	peu	néhány	ADV	DET;INDF
peu	kis	peu	kis	ADV	ADJ;NOM;SG
peu	kicsi	peu	kicsi	ADV	
peu	kevés	peu	kevés	ADV	
début	start	début	start	N;MASC;SG	
début	kezdeni	début	kezd	N;MASC;SG	V;NFIN;ACT
début	kezdetek	début	kezdet	N;MASC;SG	N;NOM;PL
ligne	line	ligne	line	N;FEM;SG	
ligne	sor	ligne	sor	N;FEM;SG	
ligne	sor	ligne	sor	N;FEM;SG	
nationale	national	national	national	ADJ;FEM;SG	
nationale	nationale	national	nationale	ADJ;FEM;SG	
encore	ráadás	encore	ráadás	ADV	
vie	life	vie	life	N;FEM;SG	
vie	vie	vie	vie	N;FEM;SG	
unis	united	unir	united	V;MASC;PL;PST;V.PTCP	
unis	egyesült	unir	egyesül	V;MASC;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
lien	link	lien	link	N;MASC;SG	
lien	linket	lien	link	N;MASC;SG	
pendant	során	pendant	sor	ADP	N;ON+ESS;SG
jeux	szerencsejáték	jeu	szerencsejáték	N;MASC;PL	N;NOM;SG
jeux	játék	jeu	játék	N;MASC;PL	N;NOM;SG
moins	mínusz	moins	mínusz	ADV	N;NOM;SG
moins	kevesebbet	moins	kevesebb	ADV	
moins	kevesebb	moins	kevesebb	ADV	
ouest	nyugat	ouest	nyugat	N;MASC;SG	
ouest	nyugati	ouest	nyugati	N;MASC;SG	
ouest	nyugati	ouest	nyugati	N;MASC;SG	
ouest	nyugat	ouest	nyugat	N;MASC;SG	
ouest	western	ouest	western	N;MASC;SG	
nouveau	újdonság	nouveau	újdonság	ADJ;MASC;SG	N;NOM;SG
vous	te	vous	te	PRO;PL;2	V;DEF;IND;SG;1;PRS;FIN;ACT
notamment	nevezetesen	notamment	nevezetesen	ADV	
centre	center	centre	center	N;MASC;SG	
cours	persze	cours	persze	N;MASC;SG	
cours	cours	cours	cours	N;MASC;SG	
cours	tanfolyamok	cours	tanfolyam	N;MASC;SG	N;NOM;PL
village	falusi	village	falusi	N;MASC;SG	ADJ;NOM;SG
université	university	université	university	N;FEM;SG	
louis	louis	loui	louis	N;MASC;SG	
louis	lajos	loui	lajos	N;MASC;SG	
quelques	néhány	quelque	néhány	PRO;PL	DET;INDF
coupe	cup	coupe	cup	N;FEM;SG	
coupe	vágó	coupe	vágó	N;FEM;SG	
coupe	coupe	coupe	coupe	N;FEM;SG	
connexes	összefüggő	connexe	összefüggő	ADJ;MASC;PL	
connexes	kapcsolódó	connexe	kapcsolódó	ADJ;MASC;PL	ADJ;NOM;SG
connexes	rokonok	connexe	rokon	ADJ;MASC;PL	N;NOM;PL
connexes	rokon	connexe	rokon	ADJ;MASC;PL	
connexes	kapcsolatban	connexe	kapcsolat	ADJ;MASC;PL	N;IN+ESS;SG
homme	homme	homme	homme	N;MASC;SG	
homme	férfiak	homme	férfi	N;MASC;SG	N;NOM;PL
homme	emberek	homme	ember	N;MASC;SG	N;NOM;PL
national	national	national	national	ADJ;MASC;SG	
cas	case	cas	case	N;MASC;SG	
cas	cas	cas	cas	N;MASC;SG	
cas	ügyek	cas	ügy	N;MASC;SG	N;NOM;PL
cas	esetekben	cas	eset	N;MASC;SG	N;IN+ESS;PL
cas	esetek	cas	eset	N;MASC;SG	N;NOM;PL
jeu	game	jeu	gam	N;MASC;SG	
genre	nemek	genre	én	N;MASC;SG	N;NOM;PL
genre	mint	genre	mint	N;MASC;SG	CONJ
genre	like	genre	lik	N;MASC;SG	
genre	tetszik	genre	tetszik	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
fils	fiaim	fils	fia	N;MASC;SG	
fils	fiai	fils	fiai	N;MASC;SG	N;NOM;PL
roi	kinga	roi	kinga	N;MASC;SG	
roi	roi	roi	roi	N;MASC;SG	
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	
parti	buli	partir	buli	V;MASC;SG;PST;V.PTCP	N;NOM;SG
parti	parti	partir	parti	V;MASC;SG;PST;V.PTCP	ADJ;NOM;SG
europe	európa	europe	európa	N;FEM;SG	
europe	europe	europe	europe	N;FEM;SG	
mise	fogadás	mettre	fogadás	V;FEM;SG;PST;V.PTCP	N;NOM;SG
époque	epoch	époque	epoch	N;FEM;SG	
ancien	ősi	ancien	ősi	ADJ;MASC;SG	
ancien	ős	ancien	ős	ADJ;MASC;SG	
ancien	ókori	ancien	ókori	ADJ;MASC;SG	
ancien	idős	ancien	idős	ADJ;MASC;SG	
ancien	régit	ancien	régit	ADJ;MASC;SG	N;ACC;SG
ancien	régi	ancien	régi	ADJ;MASC;SG	
ancien	öreg	ancien	öreg	ADJ;MASC;SG	
ancien	régiek	ancien	régiek	ADJ;MASC;SG	N;NOM;PL
origine	eredetű	origine	eredetű	N;FEM;SG	
château	château	château	cháteau	N;MASC;SG	
château	vár	château	vár	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
château	castle	château	castle	N;MASC;SG	
château	chateau	château	chateau	N;MASC;SG	
école	iskolákban	école	iskola	N;FEM;SG	N;IN+ESS;PL
école	iskolák	école	iskolák	N;FEM;SG	N;NOM;PL
école	suli	école	suli	N;FEM;SG	
part	megosztás	part	megosztás	N;FEM;SG	
deuxième	másodszor	deuxième	másod	ADJ;MASC;SG	
deuxième	másodperc	deuxième	másodperc	ADJ;MASC;SG	
deuxième	második	deuxième	második	ADJ;MASC;SG	
bar	bar	bar	bar	N;MASC;SG	
bar	bár	bar	bár	N;MASC;SG	CONJ
située	található	situer	található	V;FEM;SG;PST;V.PTCP	ADJ;NOM;SG
charles	charles	charle	charles	N;MASC;SG	
points	pont	point	pont	N;MASC;PL	
paul	paul	paul	paul	N;MASC;SG	
paul	pál	paul	pál	N;MASC;SG	
rue	rue	rue	rue	N;FEM;SG	
père	apu	père	apu	N;MASC;SG	
durant	során	durant	sor	ADP	N;ON+ESS;SG
durant	durant	durant	durant	ADP	
rapport	beszámoló	rapport	beszámoló	N;MASC;SG	ADJ;NOM;SG
art	art	art	ar	N;MASC;SG	
canton	guangzhou	canton	guangzik	N;MASC;SG	
canton	canton	canton	canton	N;MASC;SG	
dernier	utoljára	dernier	utoljára	ADJ;MASC;SG	ADV
dernier	utolsónak	dernier	utolsó	ADJ;MASC;SG	ADV
dernier	last	dernier	last	ADJ;MASC;SG	
dernier	utolsó	dernier	utolsó	ADJ;MASC;SG	
dernier	legutóbbi	dernier	legutóbbi	ADJ;MASC;SG	
habitants	lakos	habitant	lakos	N;MASC;PL	N;NOM;SG
point	pont	point	pont	N;MASC;SG	
point	point	point	point	N;MASC;SG	
compte	gróf	compte	gróf	N;MASC;SG	
compte	figyelembe	compte	figyel	N;MASC;SG	
armée	katonai	armée	katonai	N;FEM;SG	ADJ;NOM;SG
marie	marie	marier	marie	N;FEM;SG	
marie	mária	marier	mária	N;FEM;SG	
marie	mary	marier	mary	N;FEM;SG	
marie	mária	marier	mária	N;FEM;SG	
marie	mária	marier	mária	N;FEM;SG	
marie	maria	marier	maria	N;FEM;SG	
discuter	társalgás	discuter	társalgás	V;NFIN	N;NOM;SG
discuter	beszélgetés	discuter	beszélgetés	V;NFIN	N;NOM;SG
discuter	chat	discuter	chat	V;NFIN	
discuter	csevegés	discuter	csevegés	V;NFIN	N;NOM;SG
car	mert	car	mert	CONJ	CONJ
projet	projekt	projet	projekt	N;MASC;SG	
projet	project	projet	projec	N;MASC;SG	
chaque	minden	chaque	minden	DET;FEM;SG	PRO;NOM;SG;3
chaque	mindegyik	chaque	mindegyik	DET;FEM;SG	
anglais	angolul	anglais	angolul	N;MASC;SG	
anglais	angol	anglais	angol	N;MASC;SG	
john	john	john	john	PROPN	
john	jános	john	jános	PROPN	N;NOM;SG
international	international	international	international	ADJ;MASC;SG	
conseil	tanácsadó	conseil	tanácsadó	N;MASC;SG	ADJ;NOM;SG
conseil	tanácsok	conseil	tanács	N;MASC;SG	N;NOM;PL
françois	feri	françois	feri	PROPN	
françois	francis	françois	francis	PROPN	
françois	ferenc	françois	ferenc	PROPN	PROPN;NOM;SG
françois	francois	françois	francois	PROPN	
françois	françois	françois	françois	PROPN	N;NOM;SG
françois	francois	françois	francois	PROPN	
françois	françois	françois	françois	PROPN	N;NOM;SG
maison	house	maison	hous	N;FEM;SG	
maison	házon	maison	ház	N;FEM;SG	ADJ;FRML;SG
maison	otthon	maison	otthon	N;FEM;SG	
maison	itthon	maison	itthon	N;FEM;SG	
maison	haza	maison	haza	N;FEM;SG	
demande	kérelem	demande	kérel	N;FEM;SG	
production	termelési	production	termelési	N;FEM;SG	ADJ;NOM;SG
certains	néhány	certain	néhány	PRO;MASC;PL	DET;INDF
près	közel	près	közel	ADV	
meilleur	jobban	meilleur	jól	ADJ;MASC;SG	ADV
meilleur	meilleur	meilleur	meilleur	ADJ;MASC;SG	
meilleur	legjobbak	meilleur	jó	ADJ;MASC;SG	N;NOM;PL
meilleur	legjobb	meilleur	jó	ADJ;MASC;SG	
meilleur	best	meilleur	best	ADJ;MASC;SG	
droit	jobbra	droit	jobbra	N;MASC;SG	ADV
droit	jogszabályok	droit	jogszabály	N;MASC;SG	N;NOM;PL
droit	jogszabály	droit	jogszabály	N;MASC;SG	
mois	hónapokig	mois	hónap	N;MASC;SG	N;PL
mois	hónapok	mois	hónap	N;MASC;SG	N;NOM;PL
service	kiszolgálás	service	kiszolgálás	N;MASC;SG	
jacques	jacques	jacque	jacques	N;MASC;SG	
ensuite	aztán	ensuite	aztán	ADV	
dit	said	dire	said	V;MASC;SG;PST;V.PTCP	
dit	mondja	dire	mond	V;MASC;SG;PST;V.PTCP	V;DEF;IND;SG;3;PRS;FIN;ACT
center	center	center	center	N;MASC;SG	
petit	kicsik	petit	kicsik	ADJ;MASC;SG	
petit	kicsi	petit	kicsi	ADJ;MASC;SG	
petit	petit	petit	petit	ADJ;MASC;SG	
petit	kicsi	petit	kicsi	ADJ;MASC;SG	
petit	kevés	petit	kevés	ADJ;MASC;SG	
toutes	mindegyik	tout	mindegyik	PRO;FEM;PL	
toutes	mind	tout	mind	PRO;FEM;PL	CONJ
toutes	minden	tout	minden	PRO;FEM;PL	PRO;NOM;SG;3
argent	silver	argent	silver	N;MASC;SG	
argent	ezüst	argent	ezüst	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
souvent	gyakran	souvent	gyakran	ADV	
souvent	gyakran	souvent	gyakran	ADV	
olympiques	olimpiai	olympique	olimpiai	ADJ;MASC;PL	ADJ;NOM;SG
olympiques	olimpia	olympique	olimpia	ADJ;MASC;PL	N;NOM;SG
quand	mikor	quand	mikor	CONJ	ADV
quand	amikor	quand	amikor	CONJ	ADV
top	felül	top	felül	N;MASC;SG	
top	top	top	top	N;MASC;SG	
top	csúcs	top	csúcs	N;MASC;SG	
top	felső	top	felső	N;MASC;SG	
top	legfelső	top	legfelső	N;MASC;SG	
mondiale	világszerte	mondial	világszerte	ADJ;FEM;SG	
mondiale	világ	mondial	világ	ADJ;FEM;SG	
mondiale	world	mondial	world	ADJ;FEM;SG	
mondiale	vilag	mondial	vilag	ADJ;FEM;SG	N;NOM;SG
mondiale	global	mondial	global	ADJ;FEM;SG	
ensemble	együttes	ensemble	együttes	ADV	
ensemble	együtt	ensemble	együtt	ADV	
situé	található	situer	található	V;MASC;SG;PST;V.PTCP	ADJ;NOM;SG
toute	mindegyik	tout	mindegyik	DET;FEM;SG	
toute	mind	tout	mind	DET;FEM;SG	CONJ
toute	minden	tout	minden	DET;FEM;SG	PRO;NOM;SG;3
asp	asp	asp	asp	N;MASC;SG	
étaient	voltak	être	van	V;IND;PL;3;IPFV;FIN	V;INDF;IND;PL;3;PST;FIN;ACT
musée	museum	musée	museum	N;MASC;SG	
troisième	harmadik	troisième	harmadik	ADJ;MASC;SG	
troisième	harmadszor	troisième	harmadszor	ADJ;MASC;SG	
nombreux	sok	nombreux	sok	ADJ;MASC;PL	
nombreux	sokan	nombreux	sokan	ADJ;MASC;PL	ADV
nombreux	számos	nombreux	számos	ADJ;MASC;PL	
auteur	szerző	auteur	szerző	N;MASC;SG	
cependant	mindamellett	cependant	mindamellett	ADV	
cependant	mindazonáltal	cependant	mindazonáltal	ADV	CONJ
cependant	azonban	cependant	azonban	ADV	CONJ
système	system	système	system	N;MASC;SG	
stade	stade	stade	stade	N;MASC;SG	
stade	estadio	stade	estadio	N;MASC;SG	
tard	későn	tard	későn	ADV	
tard	késő	tard	késő	ADV	
tard	késve	tard	késve	ADV	
reste	maradj	rester	marad	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;1;PRS;FIN;ACT
seconde	másodszor	second	másod	ADJ;FEM;SG	
seconde	másodperc	second	másodperc	ADJ;FEM;SG	
seconde	második	second	második	ADJ;FEM;SG	
roman	római	roman	római	N;MASC;SG	ADJ;NOM;SG
roman	roman	roman	roman	N;MASC;SG	
hui	ma	hui	ma		ADV
édition	szerkesztés	édition	szerkesztés	N;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
édition	szerkesztés	édition	szerkesztés	N;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
édition	vágó	édition	vágó	N;FEM;SG	
historique	történeti	historique	történeti	ADJ;MASC;SG	N;NOM;SG
historique	történelme	historique	történelem	ADJ;MASC;SG	N;NOM;SG
historique	előzmények	historique	előzmény	ADJ;MASC;SG	N;NOM;PL
historique	történelem	historique	történel	ADJ;MASC;SG	N;NOM;SG
sera	will	être	will	V;IND;SG;3;FUT;FIN	
sera	fog	être	fog	V;IND;SG;3;FUT;FIN	V;INDF;IND;SG;3;PRS;ACT
sera	akarat	être	akarat	V;IND;SG;3;FUT;FIN	N;NOM;SG
robert	robert	robert	rober	N;MASC;SG	
officiel	tisztviselő	officiel	tisztviselő	ADJ;MASC;SG	N;NOM;SG
environ	megközelítőleg	environ	megközelítőleg	ADV	ADJ;FRML;SG
membres	tag	membre	tag	N;MASC;PL	N;NOM;SG
membres	tagság	membre	tagság	N;MASC;PL	N;NOM;SG
membres	tagsági	membre	tagsági	N;MASC;PL	ADJ;NOM;SG
niveau	szintű	niveau	szintű	N;MASC;SG	
espèce	fajok	espèce	fajok	N;FEM;SG	N;NOM;PL
michel	michael	michel	michael	PROPN	
michel	mihály	michel	mihály	PROPN	
michel	michel	michel	michel	PROPN	
modèle	model	modèle	model	N;MASC;SG	
femme	nők	femme	nő	N;FEM;SG	N;NOM;PL
femme	asszonyok	femme	asszony	N;FEM;SG	N;NOM;PL
femme	női	femme	női	N;FEM;SG	
femme	nö	femme	nö	N;FEM;SG	
femme	nőnemű	femme	nőnemű	N;FEM;SG	
femme	női	femme	női	N;FEM;SG	
cinq	öt	cinq	öt	NUM	
cinq	öten	cinq	öten	NUM	PRO;NOM;PL;3
déjà	máris	déjà	máris	ADV	
bas	harisnyát	bas	harisnya	ADJ;MASC;SG	N;ACC;SG
bas	harisnya	bas	harisnya	ADJ;MASC;SG	N;NOM;SG
terre	földterületek	terre	földterület	N;FEM;SG	N;NOM;PL
terre	terre	terre	terr	N;FEM;SG	
allemagne	németország	allemagne	németország	PROPN	N;NOM;SG
compétition	versenyképes	compétition	versenyképes	N;FEM;SG	
compétition	versengő	compétition	versengő	N;FEM;SG	ADJ;NOM;SG
wikipédia	wikipédia	wikipédia	wikipédia	V;MASC;SG;PST;V.PTCP	N;NOM;SG
allemand	németül	allemand	németül	N;MASC;SG	
allemand	német	allemand	német	N;MASC;SG	ADJ;NOM;SG
britannique	britek	britannique	brit	ADJ;MASC;SG	N;NOM;PL
britannique	angol	britannique	angol	ADJ;MASC;SG	
britannique	brit	britannique	brit	ADJ;MASC;SG	
porte	porte	porte	por	N;FEM;SG	
hommes	férfi	homme	férfi	N;MASC;PL	N;NOM;SG
italie	olaszország	italie	olaszország	PROPN	
demi	fele	demi	fél	ADJ;MASC;SG	N;NOM;SG
demi	demi	demi	demi	ADJ;MASC;SG	
nommé	kijelölt	nommer	kijelölt	V;MASC;SG;PST;V.PTCP	
route	uton	route	ut	N;FEM;SG	
finale	döntő	finale	döntő	N;FEM;SG	ADJ;NOM;SG
finale	végleges	finale	végleges	N;FEM;SG	
finale	utolsó	finale	utolsó	N;FEM;SG	
finale	végső	finale	végső	N;FEM;SG	
finale	döntő	finale	döntő	N;FEM;SG	ADJ;NOM;SG
finale	vizsgák	finale	vizsga	N;FEM;SG	N;NOM;PL
