que	귀하	que	귀하	PRO	
verdade	레알	verdade	레알	N	
dun	하나	dun	하나	PROPN	
dun	출신	dun	출신	PROPN	N
sabes	당신은	saber	당신+은	V	PRO
sabes	귀하	saber	귀하	V	
sabes	당신	saber	당신	V	PRO
entón	그렇다면	entón	그렇다면	ADV	CONJ
entón	그러면	entón	그러면	ADV	CONJ
entón	그때	entón	그때	ADV	
aí	거기	aí	거기	ADV	
aí	여기	aí	여기	ADV	PRO
despois	그렇다면	despois	그렇다면	ADV	CONJ
despois	그러면	despois	그러면	ADV	CONJ
despois	그때	despois	그때	ADV	
bo	아침	bo	아침	ADJ	N
bo	모닝	bo	모닝	ADJ	
falar	talk	falar	talk	V	
falar	소개	falar	소개	V	N
falar	대략	falar	대략	V	
cada	꼴찌	cada	꼴찌	DET	
cada	각각	cada	각각	DET	ADV
eles	그들	el	그+들	PRO	N
quere	당신은	querer	당신+은	V	PRO
quere	귀하	querer	귀하	V	
quere	당신	querer	당신	V	PRO
logo	그렇다면	logo	그렇다면	ADV	CONJ
logo	그러면	logo	그러면	ADV	CONJ
logo	그때	logo	그때	ADV	
favor	부탁합니다	favor	부탁+하+ㅂ니다	N	V
fai	make	facer	make	V	
creo	believe	creo	believe	V	
creo	믿기	creo	믿+기	V	
creo	don	creo	don	V	
creo	생각	creo	생각	V	
noso	우리의	noso	우리+의	DET	PRO
nosa	우리의	noso	우리+의	DET	PRO
hoxe	오늘도	hoxe	오늘+도	ADV	
hoxe	오늘	hoxe	오늘	ADV	N
ninguén	아무나	ninguén	아무나	ADV	
ninguén	하나	ninguén	하나	ADV	
alí	거기	alí	거기	ADV	
podes	당신은	poder	당신+은	V	PRO
podes	귀하	poder	귀하	V	
podes	당신	poder	당신	V	PRO
pouco	리틀	pouco	리틀	ADV	
pouco	비트	pouco	비트	ADV	
pouco	일부	pouco	일부	ADV	N
nai	엄마	nai	엄마	N	
nai	엄마	nai	엄마	N	
dixo	그녀	dicir	그녀	V	
dixo	그녀는	dicir	그녀+는	V	PRO
dixo	say	dicir	say	V	
fillo	아이유	fillo	아이유	N	
alguén	누군가	alguén	누구+이+ㄴ가	PRO	
alguén	who	alguén	who	PRO	
alguén	누군가	alguén	누구+이+ㄴ가	PRO	
alguén	아무나	alguén	아무나	PRO	
alguén	누구나	alguén	누구+나	PRO	ADV
teñen	그들이	ter	그+들+이	V	PRO
teñen	그들은	ter	그+들+은	V	PRO
menos	최소	menos	최소	ADV	
menos	그리워	menos	그립+어	ADV	
menos	미스	menos	미스	ADV	
outro	기타	outro	기타	DET	N
outro	다른	outro	다르+ㄴ	DET	ADJ
outro	하나	outro	하나	DET	
muller	여인	muller	여인	N	
muller	마누라	muller	마누라	N	
muller	와이프	muller	와이프	N	
súas	그들의	seu	그+들+의	DET	PRO
súas	그의	seu	그+의	DET	PRO
súas	그녀	seu	그녀	DET	
súas	그녀의	seu	그녀+의	DET	PRO
cousa	무엇이든	cousa	무엇+이든	N	
cousa	뭐든	cousa	뭐+든	N	
cousa	아무거나	cousa	아무+거나	N	
cousa	무엇인가	cousa	무엇+이+ㄴ가	N	V
cousa	something	cousa	something	N	
cousa	뭔가	cousa	뭐+이+ㄴ가	N	
cousa	무언가	cousa	무엇+이+ㄴ가	N	
cara	향해	cara	향하+어	N	
novo	다시	novo	다시	ADJ	ADV
novo	또다시	novo	또다시	ADJ	ADV
novo	영영	novo	영영	ADJ	
todas	어디서나	todo	어디서나	DET	ADV
todas	어디든	todo	어디든	DET	
todas	어디든지	todo	어디든지	DET	
todas	모두	todo	모두	DET	ADV
todas	전체	todo	전체	DET	N
todas	꼴찌	todo	꼴찌	DET	
di	say	dicir	say	V	
di	그녀	dicir	그녀	V	
di	그녀는	dicir	그녀+는	V	PRO
lugar	대신	lugar	대신	N	
lugar	대신에	lugar	대신+에	N	ADV
días	데이	día	데이	N	
días	데이즈	día	데이즈	N	
días	모닝	día	모닝	N	
sabe	당신은	saber	당신+은	V	PRO
sabe	귀하	saber	귀하	V	
sabe	당신	saber	당신	V	PRO
mañá	내일	mañá	내일	ADV	N
mañá	아침	mañá	아침	ADV	N
mañá	모닝	mañá	모닝	ADV	
dende	출신	dende	출신	ADP	N
dende	언제부터	dende	언제+부터	ADP	
dende	이후	dende	이후	ADP	N
dende	이후부터	dende	이후+부터	ADP	ADV
primeiro	우선	primeiro	우선	ADJ	ADV
primeiro	퍼스트	primeiro	퍼스트	ADJ	
primeiro	처음	primeiro	처음	ADJ	N
primeiro	먼저	primeiro	먼저	ADJ	ADV
parte	파트	parte	파트	N	
veces	가끔은	vez	가끔+은	N	
veces	가끔	vez	가끔	N	ADV
veces	때때로	vez	때때로	N	ADV
veces	타임스	vez	타임스	N	
veces	타임즈	vez	타임즈	N	
veces	twice	vez	twice	N	
veces	두번	vez	두+번	N	
veces	트와이스	vez	트와이스	N	
sexa	무엇이든	ser	무엇+이든	V	
sexa	whatever	ser	whatever	V	
deus	하느님	daus	하느님	N	
deus	하나님	daus	하나님	N	PROPN
claro	코스	claro	코스	ADJ	N
claro	과정	claro	과정	ADJ	N
claro	지우기	claro	지우+기	ADJ	V
claro	지우	claro	지우	ADJ	
claro	맑음	claro	맑음	ADJ	
canto	어떻게	canto	어떻+게	PRO	CONJ
canto	많이	canto	많이	PRO	ADV
canto	훨씬	canto	훨씬	PRO	ADV
canto	대신	canto	대신	PRO	
canto	대신에	canto	대신+에	PRO	ADV
pasa	소개	pasar	소개	V	N
pasa	대략	pasar	대략	V	
pasa	함께	pasar	함께	V	ADV
pasa	발생	pasar	발생	V	N
pasa	물질	pasar	물질	V	N
boa	나이스	bo	나이스	ADJ	
cos	함께	cos	함께	PROPN	ADV
toda	모두	todo	모두	DET	ADV
toda	전체	todo	전체	DET	N
fóra	아웃	fóra	아웃	ADV	
fóra	외부	fóra	외부	ADV	
fóra	바깥	fóra	바깥	ADV	N
fóra	get	fóra	get	ADV	
fóra	받기	fóra	받+기	ADV	V
mal	잘못된	mal	잘못+되+ㄴ	ADV	V
mal	bad	mal	bad	ADV	
mal	나쁜	mal	나쁘+ㄴ	ADV	ADJ
mal	나쁘다	mal	나쁘+다	ADV	ADJ
tarde	나중에	tarde	나중+에	N	ADV
tarde	늦은	tarde	늦+ㄴ	N	
tarde	지각	tarde	지각	N	
tarde	늦게	tarde	늦+게	N	ADJ
vas	당신은	ir	당신+은	V	PRO
vas	귀하	ir	귀하	V	
vas	당신	ir	당신	V	PRO
poden	당신은	poder	당신+은	V	PRO
poden	귀하	poder	귀하	V	
poden	당신	poder	당신	V	PRO
poden	그들이	poder	그+들+이	V	PRO
poden	그들은	poder	그+들+은	V	PRO
momento	타임	momento	타임	N	
momento	time	momento	time	N	
persoas	명인	persoa	명인	N	
persoas	who	persoa	who	N	
calquera	아무나	calquera	아무나	DET	
calquera	누구나	calquera	누구+나	DET	ADV
calquera	무엇이든지	calquera	무엇+이+든지	DET	V
calquera	무엇이든	calquera	무엇+이든	DET	
calquera	whatever	calquera	whatever	DET	
calquera	무엇이든	calquera	무엇+이든	DET	
calquera	뭐든	calquera	뭐+든	DET	
calquera	아무거나	calquera	아무+거나	DET	
outros	기타	outro	기타	DET	N
outros	다른	outro	다르+ㄴ	DET	ADJ
outros	기타	outro	기타	DET	N
parece	표정	parecer	표정	V	N
parece	생각	parecer	생각	V	
pois	당신은	pois	당신+은	CONJ	PRO
pois	귀하	pois	귀하	CONJ	
pois	당신	pois	당신	CONJ	PRO
dúas	두두	dous	두두	N	
dúas	두분	dous	두분	N	
dúas	둘다	dous	두+ㄴ다	N	
dúas	twice	dous	twice	N	
dúas	두번	dous	두+번	N	
dúas	트와이스	dous	트와이스	N	
ola	여보세요	ola	여보+세요	N	
ola	헬로	ola	헬로	N	
ola	hello	ola	hello	N	
ola	헤이	ola	헤+이	N	
estes	이거	este	이거	DET	
señora	숙녀	señor	숙녀	N	
señora	레이디	señor	레이디	N	
señora	아줌마	señor	아줌마	N	
certo	오른쪽	certo	오른쪽	DET	N
certo	웨이팅	certo	웨이팅	DET	
certo	way	certo	way	DET	
certo	웨이	certo	웨+이	DET	
feito	팩트	feito	팩트	N	
feito	실제로	feito	실제로	N	ADV
feito	made	feito	made	N	
feito	만든	feito	만들+ㄴ	N	
poder	파워	poder	파우+어	V	
poder	전력	poder	전력	V	N
poder	권력	poder	권력	V	N
tipo	친절한	tipo	친절+하+ㄴ	N	V
tipo	형식	tipo	형식	N	
tipo	타입	tipo	타입	N	
tipo	sort	tipo	sort	N	
tipo	정렬	tipo	정렬	N	
cartos	머니	carto	머니	N	
xeito	웨이팅	xeito	웨이팅	N	
xeito	way	xeito	way	N	
xeito	웨이	xeito	웨+이	N	
mira	표정	miro	표정	V	N
moitos	많은	moito	많+ㄴ	DET	ADJ
historia	히스토리	historia	히스토리	N	
cidade	시티	cidade	시티	N	
cidade	타운	cidade	타우+ㄴ	N	
lles	그들	lle	그+들	PRO	N
daquela	그렇다면	daquela	그렇다면	ADV	CONJ
daquela	그러면	daquela	그러면	ADV	CONJ
daquela	그때	daquela	그때	ADV	
uns	소개	un	소개	DET	N
uns	대략	un	대략	DET	
uns	몇몇	un	몇몇	DET	ADJ
uns	일부	un	일부	DET	N
uns	각각	un	각각	DET	ADV
penso	생각	penso	생각	V	
rei	착륙	rei	착륙	PROPN	N
rei	랜딩	rei	랜딩	PROPN	
estas	이거	este	이거	DET	
gran	브리튼	gran	브리튼	ADJ	PROPN
até	조차도	até	조차도	ADV	
tal	어떻게	tal	어떻+게	DET	CONJ
tal	소개	tal	소개	DET	N
tal	대략	tal	대략	DET	
tal	아마도	tal	아마도	DET	ADV
tal	아마	tal	아마	DET	ADV
nosos	우리의	noso	우리+의	DET	PRO
ano	year	ano	year	N	
ano	연도	ano	연도	N	
seguro	안전한	seguro	안전+하+ㄴ	N	V
seguro	무사히	seguro	무사+히	N	ADV
seguro	당신은	seguro	당신+은	N	PRO
seguro	귀하	seguro	귀하	N	
seguro	당신	seguro	당신	N	PRO
auga	워터	auga	워터	N	
vin	쏘우	ver	쏘우	V	
vin	읽음	ver	읽+ㅁ	V	
medo	무서워	medo	무섭+어	N	
medo	두려움	medo	두려움	N	
amor	러브	amor	러브	N	
dixen	say	dixir	say	V	
moitas	아주	moito	아주	DET	ADV
moitas	매우	moito	매우	DET	ADV
moitas	많이	moito	많이	DET	ADV
moitas	훨씬	moito	훨씬	DET	ADV
moitas	많은	moito	많+ㄴ	DET	ADJ
moitas	당신은	moito	당신+은	DET	PRO
moitas	귀하	moito	귀하	DET	
moitas	당신	moito	당신	DET	PRO
facelo	make	facelo	make	N	
facelo	이거	facelo	이거	N	
grande	대형	grande	대형	ADJ	N
nova	영영	novo	영영	ADJ	
ven	여기	ver	여기	V	PRO
ven	여기에	ver	여기+에	V	ADV
cun	함께	cun	함께	PROPN	ADV
familia	가족	familia	가족	N	
familia	가족과	familia	가족+과	N	CONJ
familia	패밀리	familia	패밀리	N	
nenos	아동	neno	아동	N	
nenos	키즈	neno	키즈	N	
había	거기	haber	거기	V	
había	거기에	haber	거기+에	V	ADV
forma	형식	forma	형식	N	
forma	웨이팅	forma	웨이팅	N	
forma	way	forma	way	N	
forma	웨이	forma	웨+이	N	
morte	데스	morte	데스	N	
cabeza	헤드	cabeza	헤드	N	
vale	좋아요	valar	좋+아+요	V	
vale	오른쪽	valar	오른쪽	V	N
vale	가치	valar	가치	V	N
vale	가치가	valar	가치+가	V	N
vale	모두	valar	모두	V	ADV
vale	전체	valar	전체	V	N
van	그들이	ir	그+들+이	V	PRO
van	그들은	ir	그+들+은	V	PRO
primeira	우선	primeiro	우선	ADJ	ADV
primeira	퍼스트	primeiro	퍼스트	ADJ	
primeira	처음	primeiro	처음	ADJ	N
primeira	먼저	primeiro	먼저	ADJ	ADV
mentres	동안	mentres	동안	ADV	
fixo	완료	facer	완료	V	N
fixo	made	facer	made	V	
fixo	만든	facer	만들+ㄴ	V	
país	시골	país	시골	N	
país	컨트리	país	컨트리	N	
dar	give	dar	give	V	
dar	당신은	dar	당신+은	V	PRO
dar	귀하	dar	귀하	V	
dar	당신	dar	당신	V	PRO
vós	귀하	vós	귀하	PRO	
ningún	아님	ningún	아니+ㅁ	DET	
ningún	없음	ningún	없+ㅁ	DET	
comigo	함께	comigo	함께	PRO	ADV
idea	아이디어	idea	아이디어	N	
idea	idea	idea	idea	N	
desde	출신	desde	출신	ADP	N
desde	언제부터	desde	언제+부터	ADP	
desde	이후	desde	이후	ADP	N
desde	이후부터	desde	이후+부터	ADP	ADV
realmente	사실	real	사실	ADV	N
pensar	생각	pensar	생각	V	
pensar	소개	pensar	소개	V	N
pensar	대략	pensar	대략	V	
pensar	생각	pensar	생각	V	
fillos	키즈	fillo	키즈	N	
fillos	아동	fillo	아동	N	
cal	어느	cal	어느	PRO	DET
cal	하나	cal	하나	PRO	
irmán	오빠	irmán	오빠	N	
irmán	아우	irmán	아우	N	
vos	귀하	vos	귀하	PRO	
importante	중요	importante	중요	ADJ	N
importante	중요하다	importante	중요+하+다	ADJ	V
acordo	동의	acordo	동의	N	
acordo	알겠습니다	acordo	알+겠+습니다	N	V
acordo	좋아요	acordo	좋+아+요	N	
dentro	인사이드	dentro	인사이드	ADV	
dentro	내부	dentro	내부	ADV	N
pasar	통해	pasar	통하+어	V	CONJ
pasar	지출	pasar	지출	V	N
fin	마침내	fin	마침내	N	ADV
fin	드디어	fin	드디어	N	ADV
fin	끝내기	fin	끝내+기	N	V
fin	주말	fin	주말	N	
fin	주말에	fin	주말+에	N	ADV
fin	라스트	fin	라스트	N	
traballar	퇴근	traballar	퇴근	V	
traballar	직장	traballar	직장	V	N
traballar	작업	traballar	작업	V	N
traballar	일하기	traballar	일하+기	V	
persoa	who	persoa	who	N	
debería	당신은	deber	당신+은	V	PRO
debería	귀하	deber	귀하	V	
debería	당신	deber	당신	V	PRO
foron	그들이	ser	그+들+이	V	PRO
foron	그들은	ser	그+들+은	V	PRO
mesma	같은	mesmo	같+ㄴ	DET	ADJ
mesma	동일	mesmo	동일	DET	
mesma	똑같이	mesmo	똑같이	DET	ADV
mesma	자체	mesmo	자체	DET	N
neste	이거	neste	이거	PROPN	
papá	아빠	papá	아빠	PROPN	
papá	아버지	papá	아버지	PROPN	N
millóns	백만명	millón	백만명	N	
millóns	백만	millón	백만	N	
millóns	수백만	millón	수백만	N	
millóns	십억	millón	십억	N	
millóns	수십억	millón	수십억	N	
eran	그들이	ser	그+들+이	V	PRO
eran	그들은	ser	그+들+은	V	PRO
amigos	프렌즈	amigo	프렌즈	N	
terra	육지	terra	육지	N	
terra	랜드	terra	랜드	N	
terra	earth	terra	earth	N	
terra	대지	terra	대+지	N	
terra	그라운드	terra	그라운드	N	
algúns	일부	algún	일부	DET	N
algúns	몇몇	algún	몇몇	DET	ADJ
algunha	당신은	algún	당신+은	DET	PRO
algunha	귀하	algún	귀하	DET	
algunha	당신	algún	당신	DET	PRO
algunha	일부	algún	일부	DET	N
algunha	무엇인가	algún	무엇+이+ㄴ가	DET	V
algunha	something	algún	something	DET	
algunha	뭔가	algún	뭐+이+ㄴ가	DET	
algunha	무언가	algún	무엇+이+ㄴ가	DET	
algún	일부	algún	일부	DET	N
algún	하나	algún	하나	DET	
cinco	다섯	cinco	다섯	N	NUM
cinco	파이브	cinco	파이브	N	
coas	함께	coar	함께	V	ADV
rapaz	boy	rapaz	boy	N	
rapaz	보이	rapaz	보이	N	
vén	출신	vir	출신	V	N
vén	출시	vir	출시	V	N
vén	coming	vir	coming	V	
hora	타임	hora	타임	N	
hora	time	hora	time	N	
lado	측면	lado	측면	N	
lado	사이드	lado	사이드	N	
lado	넥스트	lado	넥스트	N	
caso	대소문자	caso	대소문자	N	
volver	다시	volver	다시	V	ADV
volver	뒤로	volver	뒤+로	V	ADV
volver	다시	volver	다시	V	ADV
volver	또다시	volver	또다시	V	ADV
volver	get	volver	get	V	
volver	반납	volver	반납	V	N
volver	반환	volver	반환	V	N
volver	리턴	volver	리턴	V	
volver	귀환	volver	귀환	V	N
volver	복귀	volver	복귀	V	N
mamá	엄마	mamá	엄마	N	
mamá	엄마	mamá	엄마	N	
clase	친절한	clase	친절+하+ㄴ	N	V
cunha	하나	cunha	하나	PROPN	
cunha	함께	cunha	함께	PROPN	ADV
contigo	당신은	contigo	당신+은	ADV	PRO
contigo	귀하	contigo	귀하	ADV	
contigo	당신	contigo	당신	ADV	PRO
contigo	talk	contigo	talk	ADV	
volta	다시	volta	다시	N	ADV
volta	뒤로	volta	뒤+로	N	ADV
volta	다시	volta	다시	N	ADV
volta	또다시	volta	또다시	N	ADV
teus	당신은	teus	당신+은	DET	PRO
teus	귀하	teus	귀하	DET	
teus	당신	teus	당신	DET	PRO
segundo	둘째	segundo	둘째	ADP	NUM
segundo	두번째	segundo	두번+째	ADP	N
importa	물질	importar	물질	V	N
importa	케어	importar	케+어	V	N
importa	마음	importar	마음	V	N
fan	make	facer	make	V	
fan	그들이	facer	그+들+이	V	PRO
fan	그들은	facer	그+들+은	V	PRO
pobo	명인	pobo	명인	N	
pobo	타운	pobo	타우+ㄴ	N	
pobo	빌리지	pobo	빌리+지	N	
nosas	우리의	noso	우리+의	DET	PRO
vivir	생방송	vivir	생방송	V	N
vivir	라이브	vivir	라이브	V	
vivir	생활	vivir	생활	V	N
medio	절반	medio	절반	N	
camiño	도로	camiño	도로	N	
camiño	로드	camiño	로드	N	
camiño	웨이팅	camiño	웨이팅	N	
camiño	way	camiño	way	N	
camiño	웨이	camiño	웨+이	N	
camiño	경로	camiño	경로	N	
camiño	path	camiño	path	N	
aló	거기	aló	거기	ADV	
fixen	완료	facer	완료	V	N
fixen	made	facer	made	V	
fixen	만든	facer	만들+ㄴ	V	
síntoo	미안	síntoo	미안	V	
fas	당신은	fase	당신+은	V	PRO
fas	귀하	fase	귀하	V	
fas	당신	fase	당신	V	PRO
neno	아이유	neno	아이유	N	
neno	boy	neno	boy	N	
neno	보이	neno	보이	N	
neno	키드	neno	키드	N	
morrer	죽음	morrer	죽음	V	N
morrer	사망	morrer	사망	V	N
morrer	데스	morrer	데스	V	
saír	아웃	saír	아웃	V	
saír	get	saír	get	V	
realidade	실제로	realidade	실제로	N	ADV
realidade	정말로	realidade	정말로	N	ADV
realidade	정말	realidade	정말	N	ADV
realidade	리얼리티	realidade	리얼리티	N	
realidade	팩트	realidade	팩트	N	
meses	개월	mes	개월	N	
meses	ago	mes	ago	N	
ningunha	아님	ningún	아니+ㅁ	DET	
vir	출시	vir	출시	V	N
vir	coming	vir	coming	V	
vir	당신은	vir	당신+은	V	PRO
vir	귀하	vir	귀하	V	
vir	당신	vir	당신	V	PRO
pequeno	작아	pequeno	작+아	ADJ	
pequeno	소작	pequeno	소작	ADJ	
pequeno	리틀	pequeno	리틀	ADJ	
axiña	빠르게	axiña	빠르+게	ADV	CONJ
axiña	빠른	axiña	빠르+ㄴ	ADV	ADJ
vello	늙은	vello	늙+ㄴ	N	
vello	오래된	vello	오래+되+ㄴ	N	V
senón	근데	senón	근데	CONJ	
filla	딸이	fillo	딸+이	N	
deixa	떠나	deixar	떠나+아	V	CONJ
deixa	중지	deixar	중지	V	N
deixa	중단	deixar	중단	V	N
deixa	정지	deixar	정지	V	N
animais	애니멀	animal	애니멀	N	
corazón	하트	corazón	하트	N	
difícil	열심히	difícil	열심히	ADJ	ADV
difícil	하드	difícil	하드	ADJ	
difícil	어려워	difícil	어렵+어	ADJ	
difícil	어려움	difícil	어렵+ㅁ	ADJ	V
difícil	어려워	difícil	어렵+어	ADJ	
chegar	get	chegar	get	V	
