sovi	fit	sovi	faire	V;IMP;SG;2;FIN;ACT	V;IND;SG;3;PST;FIN
ratkaisi	résolues	ratkaista	résoudre	V;IND;SG;3;PST;FIN;ACT	ADJ;FEM;PL
havaittavissa	observable	havaita	observable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;SG
havaittavissa	observables	havaita	observable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;PL
havaittavissa	perceptible	havaita	perceptible	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;SG
havaittavissa	notable	havaita	notable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;SG
havaittavissa	perceptible	havaita	perceptible	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;SG
havaittavissa	perceptibles	havaita	perceptible	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;PL
havaittavissa	détectable	havaita	détectable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;SG
havaittavissa	détectables	havaita	détectable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;MASC;PL
rannat	plage	ranta	plage	N;NOM;PL	N;FEM;SG
brandon	brandon	brandon	brandon	N;NOM;SG	PROPN
vastarintaa	résistant	vastarinta	résistant	N;PRT;SG	V;PRS;V.PTCP
vastarintaa	résistants	vastarinta	résistant	N;PRT;SG	ADJ;MASC;PL
vastarintaa	résistances	vastarinta	résistance	N;PRT;SG	N;FEM;PL
painettu	imprimées	painaa	imprimer	V;NOM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
painettu	imprimés	painaa	imprimer	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
tuhoa	détruisez	tuho	détruire	N;PRT;SG	V;IMP;PL;2;PRS;FIN
tuhoa	anéantir	tuho	anéantir	N;PRT;SG	V;NFIN
tuhoa	détruire	tuho	détruire	N;PRT;SG	V;NFIN
tuhoa	destructions	tuho	destruction	N;PRT;SG	N;FEM;PL
normandian	normande	normandi	normand	N;GEN;SG	ADJ;FEM;SG
cole	cole	cole	cole	PROPN;NOM;SG	PROPN
regina	regina	regina	reginer	N;NOM;SG	PROPN
vieras	invité	vieras	inviter	N;NOM;SG	V;MASC;SG;PST;V.PTCP
vieras	invitée	vieras	inviter	N;NOM;SG	V;FEM;SG;PST;V.PTCP
vieras	invités	vieras	inviter	N;NOM;SG	V;MASC;PL;PST;V.PTCP
lämpöä	thermique	lämpö	thermique	N;PRT;SG	ADJ;MASC;SG
lämpöä	chauffer	lämpö	chauffer	N;PRT;SG	V;NFIN
ulkopuolinen	extérieurs	ulko#puolinen	extérieur	ADJ;NOM;SG	ADJ;MASC;PL
ulkopuolinen	extérieur	ulko#puolinen	extérieur	ADJ;NOM;SG	N;MASC;SG
ulkopuolinen	externes	ulko#puolinen	externe	ADJ;NOM;SG	ADJ;MASC;PL
keskikokoinen	moyennes	keski#kokoinen	moyen	ADJ;NOM;SG	ADJ;FEM;PL
keskikokoinen	médium	keski#kokoinen	médium	ADJ;NOM;SG	N;MASC;SG
keskikokoinen	moyenne	keski#kokoinen	moyenne	ADJ;NOM;SG	N;FEM;SG
keskikokoinen	milieu	keski#kokoinen	milieu	ADJ;NOM;SG	N;MASC;SG
tulipalo	incendies	tuli#palo	incendie	N;NOM;SG	N;MASC;PL
jelena	elena	jelena	elena	N;NOM;SG	PROPN
jelena	yelena	jelena	yelena	N;NOM;SG	PROPN
jelena	jelena	jelena	jelena	N;NOM;SG	PROPN
estetty	interdits	estää	interdire	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
estetty	bannis	estää	bannis	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
estetty	bloquées	estää	bloquer	V;NOM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
estetty	bloqués	estää	bloquer	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
sid	sid	sid	sid	PROPN;NOM;SG	N;MASC;SG
mayer	mayer	mayer	mayer	N;NOM;SG	PROPN
isoisä	papi	iso#isä	papi	N;NOM;SG	
rannikkoa	côtes	rannikko	côte	N;PRT;SG	N;FEM;PL
solujen	cellulaire	solu	cellulaire	N;GEN;PL	ADJ;MASC;SG
solujen	cellulaires	solu	cellulaire	N;GEN;PL	ADJ;MASC;PL
lopullisen	définitifs	lopullinen	définitif	ADJ;GEN;SG	ADJ;MASC;PL
lopullisen	définitives	lopullinen	définitif	ADJ;GEN;SG	ADJ;FEM;PL
ralli	rallyes	ralli	rallye	N;NOM;SG	N;MASC;PL
ralf	ralf	ralf	ralf	PROPN;NOM;SG	PROPN
myynnin	soldes	myynti	solde	N;GEN;SG	N;MASC;PL
myynnin	ventes	myynti	vente	N;GEN;SG	N;FEM;PL
joni	joni	joni	joni	PROPN;NOM;SG	PROPN
kennedyn	kennedy	kennädä	kennedy	N;GEN;SG	PROPN
kirjaimellisesti	littérale	kirjaimellisesti	littéral	ADV	ADJ;FEM;SG
kirjaimellisesti	littéral	kirjaimellisesti	littéral	ADV	ADJ;MASC;SG
iss	iss	iss	iss	PROPN;NOM;SG	PROPN
crawford	crawford	crawford	crawford	PROPN;NOM;SG	PROPN
yksilöiden	individuels	yksilö	individuel	N;GEN;PL	ADJ;MASC;PL
työntekijät	employés	työn#tekijä	employer	N;NOM;PL	V;MASC;PL;PST;V.PTCP
työntekijät	salariés	työn#tekijä	salarié	N;NOM;PL	V;MASC;PL;PST;V.PTCP
aktiivisia	active	aktiivinen	actif	ADJ;PRT;PL	ADJ;FEM;SG
aktiivisia	actif	aktiivinen	actif	ADJ;PRT;PL	ADJ;MASC;SG
castro	castro	castro	castro	N;NOM;SG	PROPN
sekaisin	perplexe	sekaisin	perplexe	ADV	ADJ;MASC;SG
sekaisin	confus	sekaisin	confus	ADV	ADJ;MASC;SG
sekaisin	confuse	sekaisin	confuse	ADV	ADJ;FEM;SG
sekaisin	troublé	sekaisin	troubler	ADV	V;MASC;SG;PST;V.PTCP
aukio	carrés	aukio	carré	N;NOM;SG	N;MASC;PL
aukio	carrées	aukio	carrée	N;NOM;SG	ADJ;FEM;PL
sevillan	séville	seviltaa	séville	N;GEN;SG	PROPN
sevillan	seville	seviltaa	seville	N;GEN;SG	PROPN
monroe	monroe	monroe	monroe	N;NOM;SG	PROPN
väkivaltaa	violences	väki#valta	violence	N;PRT;SG	N;FEM;PL
pérez	perez	pérez	perer	PROPN;NOM;SG	PROPN
pérez	pérez	pérez	pérer	PROPN;NOM;SG	PROPN
sauna	saunas	sauna	sauna	N;NOM;SG	N;MASC;PL
legenda	légendes	legenda	légende	N;NOM;SG	N;FEM;PL
sullivan	sullivan	sulla	sullivan	ADJ;NOM;SG	PROPN
toimintoja	fonctionnalité	toiminto	fonctionnalité	N;PRT;PL	N;FEM;SG
cannesin	cannes	cannes	canne	N;GEN;SG	N;FEM;PL
isot	gros	iso	gros	ADJ;NOM;PL	ADJ;MASC;SG
isot	grosse	iso	gros	ADJ;NOM;PL	ADJ;FEM;SG
isot	grande	iso	grand	ADJ;NOM;PL	ADJ;FEM;SG
isot	big	iso	big	ADJ;NOM;PL	INTJ
isot	grand	iso	grand	ADJ;NOM;PL	ADJ;MASC;SG
sánchez	sánchez	sánchez	sánc	PROPN;NOM;SG	PROPN
sánchez	sanchez	sánchez	sanc	PROPN;NOM;SG	PROPN
sánchez	sánchez	sánchez	sánc	PROPN;NOM;SG	PROPN
riitti	rite	riittää	rite	V;IND;SG;3;PST;FIN;ACT	N;MASC;SG
puhemies	intervenant	puhe#mies	intervenir	N;NOM;SG	V;PRS;V.PTCP
puhemies	enceintes	puhe#mies	enceinte	N;NOM;SG	N;FEM;PL
richards	richards	richards	richard	PROPN;NOM;SG	PROPN
edwin	edwin	edwin	edwin	N;NOM;SG	PROPN
aamu	morning	aamu	morning	N;NOM;SG	PROPN
aamu	matinée	aamu	matiné	N;NOM;SG	V;FEM;SG;PST;V.PTCP
aamu	matinale	aamu	matinal	N;NOM;SG	ADJ;FEM;SG
tina	tin	tina	tin	N;NOM;SG	
tina	tina	tina	tina	N;NOM;SG	PROPN
viestinnän	communications	viestintä	communication	N;GEN;SG	N;FEM;PL
liittoutuneet	alliés	liittoutua	allié	V;NOM;PL;V.PTCP;ACT	N;MASC;PL
liittoutuneet	allié	liittoutua	allié	V;NOM;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
liittoutuneet	allied	liittoutua	allied	V;NOM;PL;V.PTCP;ACT	PROPN
liittoutuneet	alliées	liittoutua	allié	V;NOM;PL;V.PTCP;ACT	ADJ;FEM;PL
liittoutuneet	alliée	liittoutua	allier	V;NOM;PL;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
liittoutuneet	alliés	liittoutua	allié	V;NOM;PL;V.PTCP;ACT	N;MASC;PL
hallinnut	dominés	hallita	dominer	V;NOM;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
hallinnut	dominées	hallita	dominer	V;NOM;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
indianapolis	indianapolis	indiana#polis	indianapolis	N;NOM;SG	PROPN
hävittäjät	destructeurs	hävittäjä	destructeur	N;NOM;PL	ADJ;MASC;PL
hävittäjät	destroyer	hävittäjä	destroyer	N;NOM;PL	N;MASC;SG
markkinat	marché	markkinat	marcher	N;NOM;PL	V;MASC;SG;PST;V.PTCP
ajat	fois	aika	fois	N;NOM;PL	N;FEM;SG
korvattu	remplacées	korvata	remplacer	V;NOM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
korvattu	remplacés	korvata	remplacer	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
alpha	alpha	alpha	alpha	N;NOM;SG	PROPN
eagle	eagle	eagle	eagle	N;NOM;SG	PROPN
elisa	eliza	elisa	eliza	N;NOM;SG	PROPN
elisa	elisa	elisa	elisa	N;NOM;SG	PROPN
yksinään	seul	yksinään	seul	ADV	ADJ;MASC;SG
yksinään	seuls	yksinään	seul	ADV	ADJ;MASC;PL
yksinään	seule	yksinään	seul	ADV	ADJ;FEM;SG
sabbath	sabbat	sabbath	sabbat		N;MASC;SG
lindgren	lindgren	lindgri	lindgren	PROPN;NOM;SG	PROPN
puhdas	pures	puhdas	pur	ADJ;NOM;SG	ADJ;FEM;PL
puhdas	purs	puhdas	pur	ADJ;NOM;SG	ADJ;MASC;PL
puhdas	nettoient	puhdas	nettoyer	ADJ;NOM;SG	V;IND;PL;3;PRS;FIN
puhdas	nettoyer	puhdas	nettoyer	ADJ;NOM;SG	V;NFIN
milanon	milan	milano	milan	PROPN;GEN;SG	PROPN
kansalainen	citoyenne	kansalainen	citoyen	N;NOM;SG	ADJ;FEM;SG
amsterdamin	amsterdam	amsterdami	amsterdam	N;GEN;SG	PROPN
fis	fis	fis	fils	N;NOM;SG	
maku	goûter	maku	goûter	N;NOM;SG	V;NFIN
maku	gouter	maku	gouter	N;NOM;SG	V;NFIN
ssp	ssp	ssp	ssp	N;NOM;SG	PROPN
suojella	protégez	suojella	protéger	V;SG;NFIN;ACT	V;IMP;PL;2;PRS;FIN
suojella	protègent	suojella	protéger	V;SG;NFIN;ACT	V;IND;PL;3;PRS;FIN
kuoron	chœurs	kuoro	chœur	N;GEN;SG	N;MASC;PL
vuoret	montagne	vuori	montagne	N;NOM;PL	N;FEM;SG
ajatukset	pensées	ajatus	penser	N;NOM;PL	V;FEM;PL;PST;V.PTCP
dem	dem	dem	dem	N;NOM;SG	
ohjus	missiles	ohjus	missile	N;NOM;SG	N;MASC;PL
villi	wild	villi	wild	ADJ;NOM;SG	PROPN
villi	sauvages	villi	sauvage	ADJ;NOM;SG	ADJ;MASC;PL
luxemburgin	luxembourg	luxemburgi	luxembourg	PROPN;GEN;SG	N;MASC;SG
fair	foire	fair	foire		N;FEM;SG
fair	justes	fair	juste		ADJ;MASC;PL
fair	équitable	fair	équitable		ADJ;MASC;SG
fair	équitables	fair	équitable		ADJ;MASC;PL
wallace	wallace	wallace	wallace	PROPN;NOM;SG	PROPN
orlando	orlando	orlando	orlando		PROPN
suuntaus	trend	suuntaus	trendre	N;NOM;SG	PROPN
jensen	jensen	jensen	jensen		PROPN
hirviö	bête	hirviö	bête	N;NOM;SG	ADJ;FEM;SG
hirviö	monstrueuse	hirviö	monstrueux	N;NOM;SG	ADJ;FEM;SG
hirviö	monstrueux	hirviö	monstrueux	N;NOM;SG	ADJ;MASC;SG
vallitsee	règne	vallita	règne	V;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
aurora	aurora	aurora	avoir	N;NOM;SG	PROPN
aurora	aurores	aurora	aurore	N;NOM;SG	N;FEM;PL
espanjaa	espagnol	espanja	espagnol	N;PRT;SG	ADJ;MASC;SG
espanjaa	espagnole	espanja	espagnol	N;PRT;SG	ADJ;FEM;SG
espanjaa	espagnols	espanja	espagnol	N;PRT;SG	ADJ;MASC;PL
epäselvä	ambiguïté	epä#selvä	ambiguïté	ADJ;NOM;SG	N;FEM;SG
epäselvä	ambigus	epä#selvä	ambigus	ADJ;NOM;SG	ADJ;MASC;PL
epäselvä	flous	epä#selvä	flou	ADJ;NOM;SG	ADJ;MASC;PL
epäselvä	floues	epä#selvä	flou	ADJ;NOM;SG	ADJ;FEM;PL
kalaa	poissons	kala	poisson	N;PRT;SG	N;MASC;PL
kalaa	pêcher	kala	pêcher	N;PRT;SG	V;NFIN
malin	malin	mali	malin	N;GEN;SG	ADJ;MASC;SG
malin	malien	mali	malien	N;GEN;SG	ADJ;MASC;SG
historiallista	historiques	historiallinen	historique	ADJ;PRT;SG	ADJ;MASC;PL
historiallista	historiques	historiallinen	historique	ADJ;PRT;SG	ADJ;MASC;PL
vuorten	montagne	vuori	montagne	N;GEN;PL	N;FEM;SG
platon	platon	platon	platon	N;NOM;SG	PROPN
suojata	protégez	suojata	protéger	V;SG;NFIN;ACT	V;IMP;PL;2;PRS;FIN
suojata	protègent	suojata	protéger	V;SG;NFIN;ACT	V;IND;PL;3;PRS;FIN
paolo	paolo	paolo	paolo	PROPN;NOM;SG	PROPN
kiinnostuneita	intéressée	kiinnostua	intéresser	V;PRT;PL;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
kiinnostuneita	intéressé	kiinnostua	intéresser	V;PRT;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
muotoilu	formater	muotoilu	formater	N;NOM;SG	V;NFIN
muotoilu	façonner	muotoilu	façonner	N;NOM;SG	V;NFIN
sudanin	soudanaise	sudan	soudanais	N;GEN;SG	ADJ;FEM;SG
sudanin	soudanais	sudan	soudanais	N;GEN;SG	ADJ;MASC;SG
sudanin	soudanaises	sudan	soudanais	N;GEN;SG	ADJ;FEM;PL
mitat	dimension	mitta	dimension	N;NOM;PL	N;FEM;SG
mitat	dimension	mitta	dimension	N;NOM;PL	N;FEM;SG
irene	irene	irene	irene	N;NOM;SG	PROPN
todellisuuden	réalités	todellisuus	réalité	N;GEN;SG	N;FEM;PL
erotettu	séparées	erottaa	séparer	V;NOM;SG;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
erotettu	séparés	erottaa	séparer	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
erotettu	expulsés	erottaa	expulser	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
erotettu	virés	erottaa	viré	V;NOM;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
prosessin	procédé	prosessi	procéder	N;GEN;SG	V;MASC;SG;PST;V.PTCP
valikoima	sélections	valikoima	sélection	N;NOM;SG	N;FEM;PL
kirjoittaminen	ecrire	kirjoittaminen	ecrire	N;NOM;SG	V;NFIN
kirjoittaminen	écrire	kirjoittaminen	écrire	N;NOM;SG	V;NFIN
keltaiset	jaune	keltainen	jaune	ADJ;NOM;PL	ADJ;MASC;SG
uskoivat	croyait	uskoa	croire	V;IND;PL;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
dylan	dylan	dyla	dylan	N;NOM;SG	PROPN
luominen	créer	luominen	créer	N;NOM;SG	V;NFIN
vaihdella	varient	vaihti	varier	V;SG;NFIN;ACT	V;IND;PL;3;PRS;FIN
seikkailu	aventures	seikkailu	aventure	N;NOM;SG	N;FEM;PL
palmer	palmer	palmer	palmer	PROPN;NOM;SG	PROPN
käymään	visite	käydä	visite	V;IN+ALL;SG;NFIN;ACT	N;FEM;SG
käymään	visitez	käydä	visiter	V;IN+ALL;SG;NFIN;ACT	V;IMP;PL;2;PRS;FIN
joachim	joachim	joachim	joachim	PROPN;NOM;SG	PROPN
gloria	gloria	gloria	gloria	N;NOM;SG	PROPN
silmä	oculaire	silmä	oculaire	N;NOM;SG	ADJ;MASC;SG
silmä	yeux	silmä	oeil	N;NOM;SG	N;MASC;PL
kane	kane	kane	kane	PROPN;NOM;SG	PROPN
karibian	caraïbes	karibia	caraïbe	N;GEN;SG	N;MASC;PL
karibian	antilles	karibia	antille	N;GEN;SG	N;FEM;PL
karibian	caraïbe	karibia	caraïbe	N;GEN;SG	ADJ;FEM;SG
kokemus	expériences	kokemus	expérience	N;NOM;SG	N;FEM;PL
katto	plafonds	katto	plafond	N;NOM;SG	N;MASC;PL
huomattavaa	remarquables	huomattava	remarquable	ADJ;PRT;SG	ADJ;MASC;PL
haltija	porteur	haltija	porteur	N;NOM;SG	ADJ;MASC;SG
kerttu	gretel	kerttu	gretel	N;NOM;SG	PROPN
kommune	kommune	kommune	commune	INTJ	N;FEM;SG
petter	petter	petter	petter	PROPN;NOM;SG	PROPN
maila	bat	maila	battre	N;NOM;SG	V;IND;SG;3;PRS;FIN
madison	madison	madison	madison	N;NOM;SG	PROPN
riippumaton	indépendantes	riippumaton	indépendant	ADJ;NOM;SG	ADJ;FEM;PL
riippumaton	indépendants	riippumaton	indépendant	ADJ;NOM;SG	ADJ;MASC;PL
nalle	bear	nalle	bear	N;NOM;SG	PROPN
irma	irma	irma	irma	PROPN;NOM;SG	N;FEM;SG
laukaisu	lancements	laukaisu	lancement	N;NOM;SG	N;MASC;PL
laukaisu	lancer	laukaisu	lancer	N;NOM;SG	V;NFIN
laukaisu	lancez	laukaisu	lancer	N;NOM;SG	V;IMP;PL;2;PRS;FIN
kenian	kenya	kenia	kenya	N;GEN;SG	PROPN
valvoo	moniteurs	valvoa	moniteur	V;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
valvoo	écrans	valvoa	écran	V;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
wim	wim	wim	wim	PROPN;NOM;SG	PROPN
immonen	immonen	immonen	immonen	N;NOM;SG	PROPN
vastuu	passif	vastuu	passif	N;NOM;SG	ADJ;MASC;SG
vastuu	responsabilités	vastuu	responsabilité	N;NOM;SG	N;FEM;PL
vastuu	responsabilités	vastuu	responsabilité	N;NOM;SG	N;FEM;PL
varaa	réserver	vara	réserver	N;PRT;SG	V;NFIN
varaa	réserver	vara	réserver	N;PRT;SG	V;NFIN
lane	lane	lane	lane	N;NOM;SG	PROPN
tiettyjen	certain	tietty	certain	ADJ;GEN;PL	ADJ;MASC;SG
tiettyjen	certaine	tietty	certain	ADJ;GEN;PL	ADJ;FEM;SG
tiettyjen	certaines	tietty	certain	ADJ;GEN;PL	PRO;FEM;PL
ski	ski	ski	ski	PROPN;NOM;SG	N;MASC;SG
ski	skier	ski	skier	PROPN;NOM;SG	V;NFIN
nilsson	nilsson	nilssoan	nilsson	N;NOM;SG	PROPN
ihme	miracles	ihme	miracle	N;NOM;SG	N;MASC;PL
ihme	miraculeux	ihme	miraculeux	N;NOM;SG	ADJ;MASC;SG
ihme	miraculeuse	ihme	miraculeux	N;NOM;SG	ADJ;FEM;SG
ihme	wonder	ihme	wonder	N;NOM;SG	PROPN
alba	alba	alba	alba	N;NOM;SG	PROPN
sega	sega	sega	sega	PROPN;NOM;SG	PROPN
jimi	jimi	jimi	jimi	PROPN;NOM;SG	PROPN
lasku	refuser	lasku	refuser	N;NOM;SG	V;NFIN
lasku	décliner	lasku	décliner	N;NOM;SG	V;NFIN
lasku	bill	lasku	bill	N;NOM;SG	PROPN
lasku	facturer	lasku	facturer	N;NOM;SG	V;NFIN
lasku	diminuer	lasku	diminuer	N;NOM;SG	V;NFIN
lasku	réduire	lasku	réduire	N;NOM;SG	V;NFIN
lasku	landing	lasku	landing	N;NOM;SG	PROPN
lasku	atterrir	lasku	atterrir	N;NOM;SG	V;NFIN
natura	natura	natura	nature	N;NOM;SG	PROPN
arabia	arabie	arabi	arabie	N;NOM;SG	PROPN
arabia	arabe	arabi	arabe	N;NOM;SG	ADJ;MASC;SG
arabia	arabes	arabi	arabe	N;NOM;SG	ADJ;MASC;PL
lou	lou	lou	lou	PROPN;NOM;SG	
bach	bach	bach	bach	PROPN;NOM;SG	PROPN
kalastusta	pêcher	kalastus	pêcher	N;PRT;SG	V;NFIN
lorenzo	lorenzo	lorenzo	lorenzo		PROPN
europa	europa	europa	europa	N;NOM;SG	PROPN
alexandra	alexandra	alexandra	alexandra	PROPN;NOM;SG	PROPN
ketju	enchaîner	ketju	enchaîner	N;NOM;SG	V;NFIN
