der	az	der	az	DET;NOM;DEF;MASC;SG	
über	felette	über	felet	ADP	PRO;NOM;SG;3
wie	hogyan	wie	hogyan	ADP	ADV
wie	wie	wie	wie	ADP	V;DEF;IND;SG;3;PRS;FIN;ACT
wie	mint	wie	mint	ADP	CONJ
wie	like	wie	lik	ADP	
wie	tetszik	wie	tetszik	ADP	V;INDF;IND;SG;3;PRS;FIN;ACT
nur	kizárólag	nur	kizárólag	ADV	
nur	nur	nur	nur	ADV	
noch	mégis	noch	mégis	ADV	CONJ
unter	unter	unter	unter	ADP	
unter	alatta	unter	alat	ADP	
hat	kalap	haben	kalap	V;IND;SG;3;PRS;FIN	N;NOM;SG
hat	sapka	haben	sapka	V;IND;SG;3;PRS;FIN	N;NOM;SG
hat	kalapot	haben	kalap	V;IND;SG;3;PRS;FIN	N;ACC;SG
artikel	árucikk	artikel	árucikk	ADJ	N;NOM;SG
artikel	cikk	artikel	cikk	ADJ	N;NOM;SG
artikel	tárgyak	artikel	tárgy	ADJ	N;NOM;PL
artikel	tételek	artikel	tétel	ADJ	N;NOM;PL
artikel	elemek	artikel	elem	ADJ	N;NOM;PL
artikel	árucikkek	artikel	árucik	ADJ	N;NOM;PL
artikel	cikkek	artikel	cikk	ADJ	N;NOM;PL
man	férfi	man	férfi	PRO;NOM;INDF;SG	N;NOM;SG
man	ember	man	ember	PRO;NOM;INDF;SG	N;NOM;SG
vor	front	vor	front	ADP	
vor	eleje	vor	eleje	ADP	N;NOM;SG
vor	hírnök	vor	hírnök	ADP	N;NOM;SG
vor	előzetes	vor	előzetes	ADP	
vor	előtte	vor	előtte	ADP	
vor	mielőtt	vor	mielőtt	ADP	ADV
wurden	lettem	werden	lesz	V;IND;PL;3;PST;FIN;PASS	V;INDF;IND;SG;1;PST;FIN;ACT
wurden	lett	werden	lesz	V;IND;PL;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
wurden	vált	werden	válik	V;IND;PL;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
wurden	voltak	werden	van	V;IND;PL;3;PST;FIN;PASS	V;INDF;IND;PL;3;PST;FIN;ACT
diese	ezt	dies	ez	PRO;NOM;FEM;SG	PRO;ACC;SG;3
diese	ezek	dies	ez	PRO;NOM;FEM;SG	PRO;NOM;PL;3
diese	ezeket	dies	ez	PRO;NOM;FEM;SG	PRO;ACC;PL;3
kann	may	können	may	V;IND;SG;3;PRS;FIN	
kann	május	können	május	V;IND;SG;3;PRS;FIN	N;NOM;SG
kann	májusi	können	májusi	V;IND;SG;3;PRS;FIN	ADJ;NOM;SG
kann	májusban	können	május	V;IND;SG;3;PRS;FIN	N;IN+ESS;SG
kann	tud	können	tud	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
kann	can	können	can	V;IND;SG;3;PRS;FIN	
kann	lehet	können	lesz	V;IND;SG;3;PRS;FIN	V;INDF;POT;SG;3;PRS;FIN;ACT
seine	seine	sein	seine	DET;NOM;FEM;SG	
seit	azóta	seit	azóta	ADP	ADV
seit	mióta	seit	mióta	ADP	ADV
seit	mivel	seit	mivel	ADP	CONJ
dieser	ezt	dies	ez	PRO;NOM;MASC;SG	PRO;ACC;SG;3
jahr	évi	Jahr	évi	N;NOM;NEUT;SG	
wenn	mikor	wenn	mikor	CONJ	ADV
wenn	amikor	wenn	amikor	CONJ	ADV
dann	aztán	dann	aztán	ADV	
zwei	kettő	zwei	kettő	NUM	
jahre	évjárat	jahren	évjárat	ADV	N;NOM;SG
jahre	éve	jahren	év	ADV	N;NOM;SG
jahre	évi	jahren	évi	ADV	
jahre	év	jahren	év	ADV	N;NOM;SG
jahre	évek	jahren	év	ADV	N;NOM;PL
jahre	év	jahren	év	ADV	N;NOM;SG
mai	may	mai	may	PROPN;NOM;MASC;SG	
mai	május	mai	május	PROPN;NOM;MASC;SG	N;NOM;SG
mai	májusi	mai	májusi	PROPN;NOM;MASC;SG	ADJ;NOM;SG
mai	májusban	mai	május	PROPN;NOM;MASC;SG	N;IN+ESS;SG
mai	mai	mai	mai	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	isbn	;SG	
zwischen	közbenső	zwischen	közbenső	ADP	N;NOM;SG
zwischen	köztes	zwischen	köztes	ADP	
team	team	team	team	N;NOM;NEUT;SG	
mehr	több	mehr	több	ADV	DET;INDF
mehr	more	mehr	more	ADV	
mehr	további	mehr	további	ADV	N;NOM;SG
mehr	tobb	mehr	tobb	ADV	
gegen	ellenzik	gegen	ellenzik	ADP	V;DEF;IND;PL;3;PRS;FIN;ACT
gegen	ellene	gegen	ellen	ADP	PRO;NOM;SG;3
waren	árucikkek	sein	árucik	V;IND;PL;3;PST;FIN	N;NOM;PL
waren	áruk	sein	ár	V;IND;PL;3;PST;FIN	N;NOM;PL
waren	javak	sein	javak	V;IND;PL;3;PST;FIN	N;NOM;PL
waren	áru	sein	áru	V;IND;PL;3;PST;FIN	N;NOM;SG
waren	árucikkek	sein	árucik	V;IND;PL;3;PST;FIN	N;NOM;PL
waren	árucikk	sein	árucikk	V;IND;PL;3;PST;FIN	N;NOM;SG
waren	áruk	sein	ár	V;IND;PL;3;PST;FIN	N;NOM;PL
waren	voltak	sein	van	V;IND;PL;3;PST;FIN	V;INDF;IND;PL;3;PST;FIN;ACT
waren	árut	sein	árut	V;IND;PL;3;PST;FIN	N;ACC;SG
waren	áru	sein	áru	V;IND;PL;3;PST;FIN	N;NOM;SG
zeit	időszak	zeit	időszak	ADJ	N;NOM;SG
zeit	időtartam	zeit	időtartam	ADJ	N;NOM;SG
zeit	periódus	zeit	periódus	ADJ	N;NOM;SG
zeit	ideje	zeit	idő	ADJ	N;NOM;SG
zeit	időpont	zeit	időpont	ADJ	N;NOM;SG
zeit	idő	zeit	idő	ADJ	N;NOM;SG
stadt	városban	staden	város		N;IN+ESS;SG
stadt	város	staden	város		N;NOM;SG
stadt	városi	staden	városi		ADJ;NOM;SG
stadt	város	staden	város		N;NOM;SG
stadt	városok	staden	város		N;NOM;PL
stadt	városokat	staden	város		N;ACC;PL
schon	máris	schon	máris	ADV	
haben	van	haben	van	V;IND;PL;3;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
deutscher	németül	deutsch	németül	ADJ	
deutscher	németek	deutsch	német	ADJ	N;NOM;PL
jahren	évek	jahren	év	ADJ	N;NOM;PL
jahren	év	jahren	év	ADJ	N;NOM;SG
mal	idők	mal	idő	ADV	
mal	időpontok	mal	időpont	ADV	N;NOM;PL
mal	times	mal	times	ADV	N;NOM;SG
mal	mal	mal	mal	ADV	
ersten	először	erst	először	ADJ;NOM;PL	ADV
ersten	első	erst	első	ADJ;NOM;PL	ADJ;NOM;SG
jedoch	azonban	jedoch	azonban	ADV	CONJ
jedoch	mindamellett	jedoch	mindamellett	ADV	
jedoch	mindazonáltal	jedoch	mindazonáltal	ADV	CONJ
jedoch	azonban	jedoch	azonban	ADV	CONJ
jedoch	de	jedoch	de	ADV	CONJ
seed	vetőmag	seed	vetőmag		N;NOM;SG
siehe	lásd	sehen	lásd	V;IMP;SG;FIN	
siehe	íme	sehen	ím	V;IMP;SG;FIN	
drei	drei	drei	drei	NUM	
etwa	kb	etwa	kb	ADV	N;NOM;SG
etwa	nagyjából	etwa	nagy	ADV	N;IN+ABL;SG
deutschen	németül	deutsch	németül	ADJ	
deutschen	németek	deutsch	német	ADJ	N;NOM;PL
teil	rész	teil	rész	ADV	N;NOM;SG
teil	része	teil	rész	ADV	N;NOM;SG
berlin	berlin	berlin	berlin	PROPN;NOM;NEUT;SG	PROPN;NOM;SG
berlin	berlinben	berlin	berlin	PROPN;NOM;NEUT;SG	
berlin	berlini	berlin	berlini	PROPN;NOM;NEUT;SG	
habe	van	haben	van	V;SBJV;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
alle	mindenki	alle	mindenki	PRO;NOM;INDF;PL	
alle	mindenkinek	alle	mindenki	PRO;NOM;INDF;PL	
alle	mindegyik	alle	mindegyik	PRO;NOM;INDF;PL	
alle	mind	alle	mind	PRO;NOM;INDF;PL	CONJ
alle	minden	alle	minden	PRO;NOM;INDF;PL	PRO;NOM;SG;3
alle	mindenki	alle	mindenki	PRO;NOM;INDF;PL	
alle	mindenkinek	alle	mindenki	PRO;NOM;INDF;PL	
während	során	während	sor	CONJ	N;ON+ESS;SG
während	miközben	während	miközben	CONJ	ADV
während	mialatt	während	mialatt	CONJ	ADV
während	míg	während	míg	CONJ	ADV
während	amíg	während	amíg	CONJ	ADV
bereits	máris	bereits	máris	ADV	
anderen	egyéb	ander	egyéb	ADJ;NOM;PL	
anderen	más	ander	más	ADJ;NOM;PL	PRO;NOM;SG;3
anderen	másoknak	ander	más	ADJ;NOM;PL	PRO;DAT;PL;3
anderen	egyéb	ander	egyéb	ADJ;NOM;PL	
anderen	mások	ander	más	ADJ;NOM;PL	
anderen	egyebek	ander	egyéb	ADJ;NOM;PL	
später	később	spät	későn	ADJ	ADV
können	tud	können	tud	V;IND;PL;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
können	can	können	can	V;IND;PL;3;PRS;FIN	
können	lehet	können	lesz	V;IND;PL;3;PRS;FIN	V;INDF;POT;SG;3;PRS;FIN;ACT
jan	jan	jan	jan	PROPN;NOM;MASC;SG	
mir	mir	ich	mir	PRO;DAT;SG;1	
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	
ihr	te	ihr	te	PRO;NOM;MASC;SG	V;DEF;IND;SG;1;PRS;FIN;ACT
gemeinde	parish	gemeinde	parish	N;NOM;FEM;SG	
gemeinde	önkormányzatok	gemeinde	önkormányzat	N;NOM;FEM;SG	N;NOM;PL
gemeinde	települések	gemeinde	település	N;NOM;FEM;SG	N;NOM;PL
gemeinde	közösségi	gemeinde	közösségi	N;NOM;FEM;SG	ADJ;NOM;SG
gemeinde	kommuna	gemeinde	kommuna	N;NOM;FEM;SG	
erste	erste	erst	erste	ADJ;NOM;FEM;PL	N;NOM;SG
erste	először	erst	először	ADJ;NOM;FEM;PL	ADV
erste	első	erst	első	ADJ;NOM;FEM;PL	ADJ;NOM;SG
liegt	hazugság	liegen	hazugság	V;IND;SG;3;PRS;FIN	N;NOM;SG
liegt	hazugságok	liegen	hazugság	V;IND;SG;3;PRS;FIN	N;NOM;PL
august	augusztusban	augusten	augusztus	PROPN;NOM;MASC;SG	N;IN+ESS;SG
august	august	augusten	augus	PROPN;NOM;MASC;SG	
august	augusztus	augusten	augusztus	PROPN;NOM;MASC;SG	N;NOM;SG
august	aug	augusten	aug	PROPN;NOM;MASC;SG	N;NOM;SG
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	
ohne	anélkül	ohne	anélkül	ADP	
sollte	kéne	sollen	kéne	V;IND;SG;3;PST;FIN	V;INDF;COND;SG;3;PRS;FIN;ACT
sollte	kellene	sollen	kell	V;IND;SG;3;PST;FIN	V;INDF;COND;SG;3;PRS;FIN;ACT
deutschland	németország	deutschland	németország	PROPN;NOM	N;NOM;SG
ihm	őt	er	ő	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
ihm	neki	er	ő	PRO;DAT;MASC;SG;3	
ende	befejezés	ende	befejezés	N;ACC;NEUT;SG	N;NOM;SG
ende	befejezés	ende	befejezés	N;ACC;NEUT;SG	N;NOM;SG
ende	vége	ende	vég	N;ACC;NEUT;SG	N;NOM;SG
ende	vég	ende	vég	N;ACC;NEUT;SG	N;NOM;SG
ende	befejezés	ende	befejezés	N;ACC;NEUT;SG	N;NOM;SG
märz	március	märz	március	PROPN;NOM;MASC;SG	N;NOM;SG
märz	márciusi	märz	márciusi	PROPN;NOM;MASC;SG	ADJ;NOM;SG
aug	aug	augen	aug		N;NOM;SG
deutsche	németül	deutsch	németül	ADJ;NOM;FEM;PL	
deutsche	német	deutsch	német	ADJ;NOM;FEM;PL	ADJ;NOM;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	
deutsche	németek	deutsch	német	ADJ;NOM;FEM;PL	N;NOM;PL
band	zenekar	binden	zenekar		N;NOM;SG
band	szalag	binden	szalag		N;NOM;SG
band	kazetta	binden	kazett		N;NOM;SG
band	szalagot	binden	szalag		N;ACC;SG
band	szalag	binden	szalag		N;NOM;SG
januar	januári	januar	januári	PROPN;NOM;MASC;SG	ADJ;NOM;SG
januar	január	januar	január	PROPN;NOM;MASC;SG	N;NOM;SG
januar	januárban	januar	január	PROPN;NOM;MASC;SG	N;IN+ESS;SG
doch	mégis	doch	mégis	ADV	CONJ
doch	de	doch	de	ADV	CONJ
oktober	októberi	oktober	októberi	PROPN;NOM;SG	ADJ;NOM;SG
oktober	októberben	oktober	október	PROPN;NOM;SG	N;IN+ESS;SG
oktober	október	oktober	október	PROPN;NOM;SG	N;NOM;SG
nov	nov	nov	nov		N;NOM;SG
ihn	neki	er	ő	PRO;ACC;MASC;SG;3	
wikipedia	wikipédia	wikipedia	wikipédia		N;NOM;SG
kirche	templomok	kirche	templom		N;NOM;PL
kirche	templom	kirche	templom		N;NOM;SG
kirche	egyház	kirche	egyház		N;NOM;SG
juni	jun	juni	jun	PROPN;NOM;MASC;SG	
juni	júniusi	juni	júniusi	PROPN;NOM;MASC;SG	ADJ;NOM;SG
juni	june	juni	june	PROPN;NOM;MASC;SG	
juni	június	juni	június	PROPN;NOM;MASC;SG	N;NOM;SG
juni	júniusban	juni	június	PROPN;NOM;MASC;SG	N;IN+ESS;SG
konnte	lehetne	können	lesz	V;IND;SG;3;PST;FIN	V;INDF;SG;3;PRS;FIN;ACT
april	apr	april	apr	PROPN;NOM;MASC;SG	
april	april	april	ap	PROPN;NOM;MASC;SG	
april	április	april	április	PROPN;NOM;MASC;SG	N;NOM;SG
april	áprilisi	april	áprilisi	PROPN;NOM;MASC;SG	ADJ;NOM;SG
april	áprilisban	april	április	PROPN;NOM;MASC;SG	N;IN+ESS;SG
september	szeptemberben	september	szeptember	PROPN;SG	N;IN+ESS;SG
september	szeptember	september	szeptember	PROPN;SG	N;NOM;SG
september	szeptemberi	september	szeptemberi	PROPN;SG	ADJ;NOM;SG
september	szept	september	szep	PROPN;SG	N;NOM;SG
september	sep	september	sep	PROPN;SG	
selbst	magam	selbst	maga	ADV	
selbst	magad	selbst	magad	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
weitere	tovább	weit	tovább	ADJ;NOM;FEM;PL	ADV
weitere	további	weit	további	ADJ;NOM;FEM;PL	N;NOM;SG
weitere	több	weit	több	ADJ;NOM;FEM;PL	DET;INDF
weitere	more	weit	more	ADJ;NOM;FEM;PL	
weitere	további	weit	további	ADJ;NOM;FEM;PL	N;NOM;SG
weitere	tobb	weit	tobb	ADJ;NOM;FEM;PL	
juli	júliusban	juli	július	PROPN;NOM;MASC;SG	N;IN+ESS;SG
juli	júliusi	juli	júliusi	PROPN;NOM;MASC;SG	ADJ;NOM;SG
juli	július	juli	július	PROPN;NOM;MASC;SG	N;NOM;SG
juli	juli	juli	juli	PROPN;NOM;MASC;SG	
andere	egyéb	ander	egyéb	ADJ;NOM;FEM;PL	
andere	más	ander	más	ADJ;NOM;FEM;PL	PRO;NOM;SG;3
andere	másoknak	ander	más	ADJ;NOM;FEM;PL	PRO;DAT;PL;3
andere	egyéb	ander	egyéb	ADJ;NOM;FEM;PL	
andere	mások	ander	más	ADJ;NOM;FEM;PL	
andere	egyebek	ander	egyéb	ADJ;NOM;FEM;PL	
kein	nem	kein	nem	PRO;NOM;INDF;MASC;SG;NEG	ADV
geschichte	sztori	geschicht	sztori		N;NOM;SG
geschichte	történet	geschicht	történet		N;NOM;SG
geschichte	története	geschicht	történet		N;NOM;SG
geschichte	mese	geschicht	mese		N;NOM;SG
geschichte	történelme	geschicht	történelem		N;NOM;SG
geschichte	előzmények	geschicht	előzmény		N;NOM;PL
geschichte	történelem	geschicht	történel		N;NOM;SG
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
verlag	kiadók	verliegen	kiadó	N;NOM;MASC;SG	N;NOM;PL
jpg	jpg	jpg	jpg		
dezember	december	dezember	december	PROPN;NOM;MASC;SG	N;NOM;SG
dezember	decemberi	dezember	decemberi	PROPN;NOM;MASC;SG	ADJ;NOM;SG
dezember	decemberben	dezember	december	PROPN;NOM;MASC;SG	N;IN+ESS;SG
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	N;NOM;SG
dez	dec	dez	dec		N;NOM;SG
universität	university	universität	university	ADJ	
universität	egyetem	universität	egyetem	ADJ	N;NOM;SG
platz	plaza	platz	plaza	ADV	N;NOM;SG
platz	square	platz	sóuar	ADV	
platz	szögletes	platz	szögletes	ADV	
platz	négyzetes	platz	négyzetes	ADV	ADJ;NOM;SG
platz	tér	platz	tér	ADV	N;NOM;SG
platz	négyzet	platz	négyzet	ADV	
platz	hely	platz	hely	ADV	N;NOM;SG
platz	platz	platz	platz	ADV	PROPN;NOM;SG
platz	űr	platz	űr	ADV	N;NOM;SG
platz	tér	platz	tér	ADV	N;NOM;SG
november	november	november	november	PROPN	N;NOM;SG
november	novemberi	november	novemberi	PROPN	ADJ;NOM;SG
november	novemberben	november	november	PROPN	N;IN+ESS;SG
november	nov	november	nov	PROPN	N;NOM;SG
liste	jegyzékbe	lassen	jegyzék	N;NOM;FEM;SG	N;IN+ALL;SG
kam	kam	kommen	kam	V;IND;SG;3;PST;FIN	
jahrhundert	évszázad	jahrhundert	évszázad	ADJ	N;NOM;SG
jahrhundert	század	jahrhundert	század	ADJ	N;NOM;SG
beiden	mindkettő	beide	mindkettő	PRO;NOM;INDF;PL	
beiden	mindketten	beide	mindkett	PRO;NOM;INDF;PL	
beiden	kettő	beide	kettő	PRO;NOM;INDF;PL	
zweiten	másodszor	zweit	másod	ADJ;NOM;MASC;PL	
zweiten	másodperc	zweit	másodperc	ADJ;NOM;MASC;PL	
zweiten	második	zweit	második	ADJ;NOM;MASC;PL	
seite	side	seit	side	N	
februar	februárban	februaer	február	PROPN;NOM;SG	N;IN+ESS;SG
februar	februári	februaer	februári	PROPN;NOM;SG	ADJ;NOM;SG
februar	február	februaer	február	PROPN;NOM;SG	N;NOM;SG
soll	kéne	sollen	kéne	V;IND;SG;3;PRS;FIN	V;INDF;COND;SG;3;PRS;FIN;ACT
soll	kellene	sollen	kell	V;IND;SG;3;PRS;FIN	V;INDF;COND;SG;3;PRS;FIN;ACT
gab	gab	geben	gab	V;IND;SG;3;PST;FIN	
etwas	enyhén	etwas	enyhén	ADV	
etwas	kissé	etwas	kissé	ADV	
etwas	kevéssé	etwas	kevéssé	ADV	
etwas	valami	etwas	valami	ADV	
etwas	valamit	etwas	valamit	ADV	
etwas	valamennyire	etwas	valamennyir	ADV	
etwas	némileg	etwas	némileg	ADV	
mich	magam	ich	maga	PRO;ACC;SG;1	
mich	mich	ich	mich	PRO;ACC;SG;1	
zusammen	együtt	zusammen	együtt	ADV	
neben	amellett	neben	amellett	ADP	ADV
neben	amellett	neben	amellett	ADP	ADV
neben	azonkívül	neben	azonkívül	ADP	
neben	emellett	neben	emellett	ADP	ADV
allerdings	azonban	allerdings	azonban	ADV	CONJ
allerdings	mindamellett	allerdings	mindamellett	ADV	
allerdings	mindazonáltal	allerdings	mindazonáltal	ADV	CONJ
allerdings	azonban	allerdings	azonban	ADV	CONJ
allerdings	de	allerdings	de	ADV	CONJ
allerdings	habár	allerdings	habár	ADV	CONJ
allerdings	bár	allerdings	bár	ADV	CONJ
film	filmet	falmen	film		N;ACC;SG
film	mozi	falmen	mozi		N;NOM;SG
film	film	falmen	film		N;NOM;SG
film	fólia	falmen	fólia		N;NOM;SG
film	film	falmen	film		N;NOM;SG
wäre	volna	sein	volna	V;SBJV;SG;3;PST;FIN	V;INDF;COND;SG;3;PRS;ACT
wäre	lenne	sein	lesz	V;SBJV;SG;3;PST;FIN	V;INDF;COND;SG;3;PRS;FIN;ACT
neue	újdonság	neu	újdonság	ADJ;NOM;FEM;PL	N;NOM;SG
neue	új	neu	új	ADJ;NOM;FEM;PL	ADJ;NOM;SG
nun	hát	nun	hát	ADV	
leben	élő	leben	élő	V;NFIN	
leben	élet	leben	élet	V;NFIN	N;NOM;SG
leben	életem	leben	élet	V;NFIN	N;NOM;SG
leben	life	leben	life	V;NFIN	
leben	életmód	leben	életmód	V;NFIN	N;NOM;SG
leben	live	leben	live	V;NFIN	
leben	élőben	leben	élő	V;NFIN	N;IN+ESS;SG
leben	élő	leben	élő	V;NFIN	
namen	neve	name	név		N;NOM;SG
namen	név	name	név		N;NOM;SG
namen	nevek	name	név		N;NOM;PL
namen	neveket	name	nevék		N;ACC;PL
bitte	kérem	bitte	kér		V;DEF;IMP;SG;3;PRS;FIN;ACT
bitte	kérlek	bitte	kérl		V;DEF;IMP;SG;1;PRS;FIN;ACT
bitte	légyszi	bitte	légyszi		V;DEF;IMP;SG;1;PRS;FIN;ACT
relevanz	jelentősége	relevanz	jelentőség	ADJ	N;NOM;SG
muss	kell	müssen	kell	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
einige	néhány	einige	néhány	PRO;NOM;INDF;PL	DET;INDF
mitglied	tag	mitglied	tag	ADJ	N;NOM;SG
wegen	mert	wegen	mert	ADP	CONJ
deren	övék	der	övék	DET;GEN;PL	N;NOM;SG
viele	sok	viel	sok	ADJ;NOM;INDF;PL	
viele	sok	viel	sok	ADJ;NOM;INDF;PL	
viele	sokan	viel	sokan	ADJ;NOM;INDF;PL	ADV
text	sms	Text	sms		N;NOM;SG
text	szöveg	Text	szöveg		N;NOM;SG
text	szöveget	Text	szöveg		N;ACC;SG
text	szöveg	Text	szöveg		N;NOM;SG
text	szövegek	Text	szöveg		N;NOM;PL
ebenfalls	szintén	ebenfalls	szintén	ADV	
ebenfalls	úgyszintén	ebenfalls	úgyszintén	ADV	
ebenfalls	is	ebenfalls	is	ADV	CONJ
ebenfalls	túl	ebenfalls	túl	ADV	
ebenfalls	hasonlóképpen	ebenfalls	hasonlóképpen	ADV	
münchen	münchen	münchen	münchen	PROPN;NOM;NEUT;SG	N;NOM;SG
löschen	világos	löschen	világos	V;NFIN	ADJ;NOM;SG
löschen	tiszta	löschen	tiszta	V;NFIN	
löschen	törlés	löschen	törlés	V;NFIN	
löschen	törlés	löschen	törlés	V;NFIN	
löschen	törlése	löschen	törlés	V;NFIN	N;NOM;SG
löschen	törlés	löschen	törlés	V;NFIN	
bekannt	ismeretes	bekennen	ismeretes	ADJ	
bekannt	ismertek	bekennen	ismer	ADJ	V;INDF;IND;PL;3;PST;FIN;ACT
bekannt	ismert	bekennen	ismert	ADJ	
zurück	visszatérés	zurück	visszatérés	ADV	N;NOM;SG
zurück	visszatér	zurück	visszatér	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
allem	mindent	alle	minden	PRO;DAT;INDF;NEUT;SG	
allem	minden	alle	minden	PRO;DAT;INDF;NEUT;SG	PRO;NOM;SG;3
wohl	valószínű	wohl	valószínű	ADV	
wohl	valószínűleg	wohl	valószínűleg	ADV	
wohl	vitathatatlanul	wohl	vitathatatlan	ADV	ADJ;FRML;SG
friedrich	friedrich	friedrich	friedrich	PROPN;NOM;SG	
friedrich	frederick	friedrich	frederick	PROPN;NOM;SG	
saison	szezonális	saison	szezonális	N;NOM;FEM;SG	ADJ;NOM;SG
saison	szezont	saison	szezont	N;NOM;FEM;SG	N;ACC;SG
neuen	újdonság	neu	újdonság	ADJ;ACC;MASC;SG	N;NOM;SG
neuen	új	neu	új	ADJ;ACC;MASC;SG	ADJ;NOM;SG
stand	álltam	stehen	áll	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;1;PST;FIN;ACT
stand	fülke	stehen	fülk	V;IND;SG;3;PST;FIN	N;NOM;SG
stand	booth	stehen	booth	V;IND;SG;3;PST;FIN	
stand	állj	stehen	állj	V;IND;SG;3;PST;FIN	V;INDF;IMP;SG;1;PRS;FIN;ACT
