que	זה	que	זה	CONJ	PRO;MASC;SG;3
gran	גרנד	gran	גרנד	ADJ;SG	PROPN
gran	גראנד	gran	גראנד	ADJ;SG	PROPN
unidos	יונייטד	unido	יונייטד	ADJ;MASC;PL;V.PTCP	PROPN
unidos	מאוחדים	unido	אוחד	ADJ;MASC;PL;V.PTCP	V;MASC;PL;V.PTCP;PASS
puede	יכולה	poder	יכול	V;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP
puede	יכול	poder	None	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP
estado	הסטטוס	estado	הסטטוס	N;MASC;SG	PROPN
estado	סטטוס	estado	סטטוס	N;MASC;SG	
estado	המדינה	estado	המדין	N;MASC;SG	V;FEM;SG;3;PST;ACT
estado	תנאי	estado	תנאי	N;MASC;SG	
uno	אונו	uno	און	PRO;MASC;SG	PROPN
uno	אחת	uno	אחת	PRO;MASC;SG	NUM;FEM;SG
uno	אחד	uno	אחד	PRO;MASC;SG	NUM;MASC;SG
lugar	המקום	lugar	המקום	N;MASC;SG	
primer	ראשון	primero	ראשון	ADJ;MASC;SG	PROPN
primer	קודם	primero	קודם	ADJ;MASC;SG	ADV
primer	ראשית	primero	ראשית	ADJ;MASC;SG	ADV
primer	תחילה	primero	תחילה	ADJ;MASC;SG	ADV
nueva	חדשים	nuevo	חדש	ADJ;FEM;SG	ADJ;MASC;PL
fueron	היו	ser	היה	V;IND;PL;3;PST;FIN	V;PL;3;POS;PST
club	קלאב	club	קלאב	N;MASC;SG	PROPN
club	המועדון	club	המועדון	N;MASC;SG	PROPN
eran	היו	ser	היה	V;IND;PL;3;IPFV;FIN	V;PL;3;POS;PST
cual	אשר	cual	אשר	PRO;SG	CONJ
cual	איזה	cual	איזה	PRO;SG	
universidad	המכללה	universidad	המכללה	N;FEM;SG	
forma	הטופס	forma	הטופס	N;FEM;SG	PROPN
tres	שלושה	tres	שלושה	NUM;PL	NUM;MASC;SG
tres	שלוש	tres	שלוש	NUM;PL	NUM;FEM;SG
tres	three	tres	three	NUM;PL	
grupo	הקבוצה	grupo	הקבוצה	N;MASC;SG	PROPN
general	כללי	general	כלל	N;SG	N;MASC;PL
guerra	המלחמה	guerra	המלחם	N;FEM;SG	PROPN
aunque	למרות	aunque	למרות	CONJ	ADP
aunque	למרות	aunque	למרות	CONJ	ADP
familia	משפחות	familia	משפחה	N;FEM;SG	N;FEM;PL
además	וגם	además	וגם	ADV	
además	פלוס	además	None	ADV	
además	ובנוסף	además	ובנוסף	ADV	
todo	הכול	todo	הכול	PRO;MASC;SG	
todo	הכל	todo	הכיל	PRO;MASC;SG	N
todo	כולם	todo	None	PRO;MASC;SG	N;MASC;PL
todo	הכל	todo	הכיל	PRO;MASC;SG	N
todo	כל	todo	כול	PRO;MASC;SG	DET;PSSD
sur	דרומי	sur	דרומי	N;MASC;SG	PROPN
sur	דרומית	sur	דרומי	N;MASC;SG	ADV
sur	הדרומי	sur	הדרום	N;MASC;SG	PROPN
sur	סור	sur	סור	N;MASC;SG	PROPN
sur	דרומה	sur	דרומה	N;MASC;SG	
sur	הדרום	sur	הדרום	N;MASC;SG	
tiempo	הזמן	tiempo	הזמן	N;MASC;SG	
tiempo	טיים	tiempo	טיים	N;MASC;SG	PROPN
provincia	נפה	provincia	נפה	N;FEM;SG	PROPN
partido	מסיבה	partido	מסיבה	N;MASC;SG	
partido	המפלגה	partido	המפלג	N;MASC;SG	PROPN
contra	דלפק	contra	דלפק	ADP	N;MASC;SG
contra	קונטרה	contra	קונטרה	ADP	PROPN
encuentra	מצאי	encontrar	מצאי	V;IND;SG;3;PRS;FIN	
encuentra	תמצא	encontrar	מצא	V;IND;SG;3;PRS;FIN	V;MASC;SG;2;FUT;ACT
encuentra	מצא	encontrar	מצא	V;IND;SG;3;PRS;FIN	V;MASC;SG;3;PST;ACT
encuentra	מוצאת	encontrar	מצא	V;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP
encuentra	מוצא	encontrar	מוצא	V;IND;SG;3;PRS;FIN	PROPN
otras	אחרים	otro	אחר	PRO;FEM;PL	ADJ;MASC;PL
otras	אחר	otro	אחר	PRO;FEM;PL	ADP
otras	אחרות	otro	אחר	PRO;FEM;PL	ADJ;FEM;PL
otras	אחרים	otro	אחר	PRO;FEM;PL	ADJ;MASC;PL
otras	ואחרים	otro	ואחר	PRO;FEM;PL	PROPN
todos	כולם	todo	None	PRO;MASC;PL	N;MASC;PL
todos	כולם	todo	None	PRO;MASC;PL	N;MASC;PL
todos	הכל	todo	הכיל	PRO;MASC;PL	N
todos	כל	todo	כול	PRO;MASC;PL	DET;PSSD
todos	כולם	todo	None	PRO;MASC;PL	N;MASC;PL
josé	יוסף	josé	יוסף	PROPN	PROPN
josé	יוזף	josé	יוזף	PROPN	PROPN
josé	חוסה	josé	חוסה	PROPN	PROPN
bajo	שפל	bajo	שפל	ADP	N;MASC;SG
bajo	נמוך	bajo	נמוך	ADP	ADJ;MASC;SG
bajo	נמוכה	bajo	נמוך	ADP	ADJ;FEM;SG
bajo	בס	bajo	בס	ADP	
bajo	באס	bajo	None	ADP	PROPN
serie	סדרתי	serie	סדרתי	N;FEM;SG	ADJ;MASC;SG
serie	סידורי	serie	סידורי	N;FEM;SG	N;MASC;PL
fútbol	פוטבול	fútbol	None	N;MASC;SG	PROPN
norte	נורטה	norte	נורט	N;MASC;SG	PROPN
norte	צפונה	norte	צפון	N;MASC;SG	ADV
norte	הצפון	norte	הצפון	N;MASC;SG	PROPN
norte	נורד	norte	נורד	N;MASC;SG	PROPN
río	בריו	río	בריו	N;MASC;SG	PROPN
río	ריו	río	ריו	N;MASC;SG	PROPN
río	ריבר	río	ריבר	N;MASC;SG	PROPN
río	הנהר	río	הנהר	N;MASC;SG	
río	נהר	río	נהר	N;MASC;SG	PROPN
méxico	מקסיקו	méxico	מקסיקו	N;MASC;SG	PROPN
han	האן	haber	האן	V;IND;PL;3;PRS;FIN	PROPN
argentina	ארגנטינה	argentino	ארגנטינה	ADJ;FEM;SG	PROPN
argentina	ארגנטינה	argentino	ארגנטינה	ADJ;FEM;SG	PROPN
argentina	ארגנטינאי	argentino	ארגנטינאי	ADJ;FEM;SG	PROPN
inglés	אנגלית	inglés	אנגלית	N;MASC;SG	PROPN
nuevo	חדשים	nuevo	חדש	ADJ;MASC;SG	ADJ;MASC;PL
véase	ראי	véase	ראי	V;SBJV;SG;3;PRS;FIN	
véase	רואה	véase	ראה	V;SBJV;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
véase	ראה	véase	ראה	V;SBJV;SG;3;PRS;FIN	V;MASC;SG;3;PST;ACT
junto	לאורך	junto	לאורך	ADJ	ADP
septiembre	ספטמבר	septiembre	ספטמבר	N	PROPN
octubre	באוקטובר	octubre	באוקטובר	N	PROPN
octubre	אוקטובר	octubre	אוקטובר	N	PROPN
segunda	שניה	segundo	שניה	ADJ;FEM;SG	NUM;FEM;SG
segunda	שנייה	segundo	שנייה	ADJ;FEM;SG	NUM;FEM;SG
segunda	שני	segundo	שני	ADJ;FEM;SG	NUM;MASC;PL
segunda	שנית	segundo	שנית	ADJ;FEM;SG	
gobierno	הממשלה	gobierno	הממשלה	N;MASC;SG	PROPN
condado	המחוז	condado	המחוז	N;MASC;SG	
final	סוף	final	None	N;MASC;SG	ADV
final	סופו	final	סופה	N;MASC;SG	
final	קץ	final	קץ	N;MASC;SG	
final	סופית	final	סופית	N;MASC;SG	ADV
final	סופי	final	סופי	N;MASC;SG	
final	סופיות	final	סופיות	N;MASC;SG	N;FEM;PL
vida	life	vida	life	N;FEM;SG	
vida	החיים	vida	החיים	N;FEM;SG	ADV
vida	חיים	vida	חיים	N;FEM;SG	PROPN
español	ספרדי	español	ספרדי	N;MASC;SG	PROPN
español	ספרדית	español	ספרדית	N;MASC;SG	PROPN
centro	סנטרו	centro	סנטרו	N;MASC;SG	PROPN
centro	המרכז	centro	המרכז	N;MASC;SG	PROPN
centro	סנטר	centro	סנטר	N;MASC;SG	PROPN
centro	המרכז	centro	המרכז	N;MASC;SG	PROPN
julio	חוליו	julio	חוליו	N	PROPN
julio	יוליוס	julio	יוליוס	N	PROPN
julio	ביולי	julio	ביולי	N	PROPN
julio	יולי	julio	יולי	N	PROPN
hay	חציר	haber	חציר	V;IND;SG;3;PRS;FIN	
lincoln	לינקולן	lincoln	לינקולן	N;MASC;SG	PROPN
país	ארצי	país	ארצי	N;MASC;SG	PROPN
mientras	בזמן	mientras	בזמן	CONJ	PROPN
web	האתר	web	האתר	N;FEM;SG	
web	אינטרנט	web	אינטרנט	N;FEM;SG	
internacional	international	internacional	קגקגק	ADJ;SG	PROPN
internacional	בינלאומית	internacional	בינלאומית	ADJ;SG	PROPN
internacional	בינלאומי	internacional	בינלאומי	ADJ;SG	PROPN
internacional	הבינלאומי	internacional	הבינלאומי	ADJ;SG	PROPN
santa	קדושה	santo	קדוש	ADJ;FEM;SG	PROPN
santa	קודש	santo	קודש	ADJ;FEM;SG	
santa	קדוש	santo	קדוש	ADJ;FEM;SG	
santa	קדושים	santo	קדוש	ADJ;FEM;SG	N;MASC;PL
santa	קדוש	santo	קדוש	ADJ;FEM;SG	
santa	הקדוש	santo	הקדוש	ADJ;FEM;SG	PROPN
santa	קדושה	santo	קדוש	ADJ;FEM;SG	PROPN
santa	סנטה	santo	סנט	ADJ;FEM;SG	PROPN
antes	לפני	antes	לפני	ADV	ADP
oficial	רישמי	oficial	רישמי	ADJ;SG	PROPN
oficial	קצינה	oficial	קצין	ADJ;SG	N;FEM;SG
oficial	שוטר	oficial	שוטר	ADJ;SG	N;MASC;SG
oficial	קצין	oficial	קצין	ADJ;SG	N;MASC;SG
oficial	שוטרת	oficial	שוטרה	ADJ;SG	N;FEM;SG
quien	מי	quien	מי	PRO;SG	ADV
mundo	העולם	mundo	העולם	N;MASC;SG	
mundo	מונדו	mundo	מונדו	N;MASC;SG	
embargo	אמברגו	embargo	אמברגו	N;MASC;SG	PROPN
tanto	שתיהן	tanto	שתיים	ADV	PRO;FEM;PL;3
tanto	שניהם	tanto	שניים	ADV	
mayo	מיי	mayo	מיי	N	
mayo	מאי	mayo	מאי	N	PROPN
mayo	מיו	mayo	מיו	N	
mayo	מאיו	mayo	מאיו	N	PROPN
algunos	כמה	alguno	כמה	PRO;MASC;PL	DET;PSSD
algunos	חלקם	alguno	חלקם	PRO;MASC;PL	
temporada	עונתי	temporada	עון	N;FEM;SG	ADJ;MASC;SG
temporada	העונה	temporada	העונה	N;FEM;SG	ADV
hacia	לכיוון	hacia	לכיוון	ADP	PROPN
mejor	עדיף	mejor	עדיף	ADV	ADJ;MASC;SG
mejor	best	mejor	best	ADV	
luego	ואז	luego	ואז	ADV	
marzo	מרץ	marzo	מרץ	N	PROPN
marzo	במרץ	marzo	במרץ	N	PROPN
día	day	día	day	N;MASC;SG	
siendo	היותך	ser	היותך	V;V.MSDR	
siendo	להיות	ser	היה	V;V.MSDR	V;POS;NFIN
madrid	מדריד	madrid	מדריד	N;MASC;SG	PROPN
madrid	ליברפול	madrid	ליברפול	N;MASC;SG	PROPN
enero	יאן	enero	יאן	N	PROPN
enero	ינואר	enero	ינואר	N	PROPN
enero	בינואר	enero	בינואר	N	
número	המספר	número	המספר	N;MASC;SG	PROPN
agosto	אוגוסט	agosto	אוגוסט	N	PROPN
agosto	אוג	agosto	אוג	N	
diciembre	בדצמבר	diciembre	בדצמבר	N	PROPN
diciembre	דצמבר	diciembre	דצמבר	N	PROPN
artículo	המאמר	artículo	המאמר	N;MASC;SG	PROPN
artículo	הפריט	artículo	הפריט	N;MASC;SG	V;MASC;SG;3;PST;ACT
noviembre	נובמבר	noviembre	נובמבר	N	PROPN
noviembre	בנובמבר	noviembre	בנובמבר	N	ADV
noviembre	נוב	noviembre	נוב	N	
otro	אחרים	otro	אחר	PRO;MASC;SG	ADJ;MASC;PL
otro	אחר	otro	אחר	PRO;MASC;SG	ADP
estaba	היה	estar	היה	V;IND;SG;3;IPFV;FIN	V;MASC;SG;3;POS;PST
estaba	הייתה	estar	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
estaba	היתה	estar	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
abril	אפריל	abril	אפריל	N	PROPN
total	הכולל	total	הכולל	ADJ;SG	PROPN
sistema	המערכת	sistema	המערך	N;MASC;SG	
habitantes	מתמחים	habitante	התמחה	N;PL	V;MASC;PL;V.PTCP
maría	מרי	maría	מרי	N;FEM;SG	PROPN
maría	מארי	maría	מארי	N;FEM;SG	PROPN
maría	מרי	maría	מרי	N;FEM;SG	PROPN
maría	מארי	maría	מארי	N;FEM;SG	PROPN
maría	מריה	maría	מריה	N;FEM;SG	PROPN
real	ריאל	real	ריאל	ADJ;SG	PROPN
real	אמיתית	real	אמיתי	ADJ;SG	ADV
real	אמיתיים	real	אמיתי	ADJ;SG	ADJ;MASC;PL
real	אמיתיות	real	אמיתי	ADJ;SG	ADJ;FEM;PL
real	מלכותי	real	מלכותי	ADJ;SG	N;MASC;SG
real	רויאל	real	רויאל	ADJ;SG	PROPN
página	דף	página	דף	N;FEM;SG	
página	עמוד	página	עמוד	N;FEM;SG	
página	הדף	página	הדף	N;FEM;SG	
mundial	העולם	mundial	העולם	ADJ;SG	
mundial	עולם	mundial	עולם	ADJ;SG	N;MASC;SG
mundial	גלובל	mundial	גלובל	ADJ;SG	PROPN
mundial	גלובלי	mundial	גלובלי	ADJ;SG	PROPN
presidente	נשיאה	presidente	נשיאה	N;MASC;SG	PROPN
presidente	הנשיא	presidente	הנשיא	N;MASC;SG	PROPN
casa	הבית	casa	הבית	N;FEM;SG	ADV
casa	האוס	casa	האוס	N;FEM;SG	PROPN
casa	הביתה	casa	הביתה	N;FEM;SG	ADV
casa	הום	casa	הום	N;FEM;SG	
casa	בבית	casa	בבית	N;FEM;SG	
casa	הבית	casa	הבית	N;FEM;SG	ADV
casa	home	casa	home	N;FEM;SG	
sólo	פשוט	sólo	פשוט	ADV	
álbum	האלבום	álbum	האלבום	N;MASC;SG	PROPN
debido	עקב	debido	None	ADJ	CONJ
debido	בשל	debido	בשל	ADJ	ADP
cuenta	רוזן	contar	רוזן	V;IND;SG;3;PRS;FIN	PROPN
cuenta	ספירה	contar	ספירה	V;IND;SG;3;PRS;FIN	N;FEM;SG
cuenta	החשבון	contar	החשבון	V;IND;SG;3;PRS;FIN	PROPN
cuenta	חשבון	contar	חשבון	V;IND;SG;3;PRS;FIN	N;MASC;SG
cuenta	נחשב	contar	נחשב	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;MID
cuenta	סעיפים	contar	סעיף	V;IND;SG;3;PRS;FIN	N;MASC;PL
junio	יוני	junio	יוני	N	PROPN
febrero	בפברואר	febrero	בפברואר	N	ADV
febrero	פברואר	febrero	פברואר	N	PROPN
ella	אלה	él	אלה	PRO;FEM;SG;3	PRO;MASC;PL;3
ella	שלה	él	של	PRO;FEM;SG;3	
ella	בה	él	ב	PRO;FEM;SG;3	
ella	לה	él	ל	PRO;FEM;SG;3	
ella	עליה	él	על	PRO;FEM;SG;3	
pueden	יכולה	poder	יכול	V;IND;PL;3;PRS;FIN	V;FEM;SG;V.PTCP
pueden	יכול	poder	None	V;IND;PL;3;PRS;FIN	V;MASC;SG;V.PTCP
varios	שונות	varios	שונה	PRO;MASC;PL	ADJ;FEM;PL
varios	שונים	varios	שונה	PRO;MASC;PL	ADJ;MASC;PL
francia	צרפת	francia	צרפת	PROPN	PROPN
solo	לבדי	solo	לבדי	ADV	
solo	לבדו	solo	לבד	ADV	
solo	לבד	solo	לבד	ADV	
solo	סולו	solo	סול	ADV	
solo	פשוט	solo	פשוט	ADV	
chile	ילה	chile	ילה	PROPN	ADV
iglesia	כנסיה	iglesia	כנסיה	N;FEM;SG	PROPN
entonces	ואז	entonces	ואז	ADV	
banda	הלהקה	banda	הלהקה	N;FEM;SG	PROPN
banda	באנדה	banda	באנדה	N;FEM;SG	PROPN
banda	גאנג	banda	גאנג	N;FEM;SG	PROPN
cuatro	four	cuatro	four	NUM;PL	
cuatro	ארבעה	cuatro	ארבעה	NUM;PL	NUM;MASC;SG
cuatro	ארבע	cuatro	ארבע	NUM;PL	NUM;FEM;SG
zona	האזור	zona	האזור	N;FEM;SG	PROPN
principal	המנהל	principal	המנהל	ADJ;SG	
carlos	קרל	carlo	קרל	N;MASC;SG	PROPN
carlos	קארל	carlo	קארל	N;MASC;SG	PROPN
carlos	קרל	carlo	קרל	N;MASC;SG	PROPN
carlos	קארל	carlo	קארל	N;MASC;SG	PROPN
carlos	קרלוס	carlo	קרלוס	N;MASC;SG	
rey	המלך	rey	המלך	N;MASC;SG	
rey	קינג	rey	קינג	N;MASC;SG	PROPN
premio	פרס	premio	פרס	N;MASC;SG	PROPN
premio	פרס	premio	פרס	N;MASC;SG	PROPN
hace	גורם	hacer	גורם	V;IND;SG;3;PRS;FIN	N;MASC;SG
hace	הופך	hacer	הפך	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
edición	ערוך	edición	ערך	N;FEM;SG	PROPN
edición	ערכי	edición	ערך	N;FEM;SG	
edición	המהדורה	edición	המהדורה	N;FEM;SG	PROPN
premios	גמול	premio	גמול	N;MASC;PL	PROPN
premios	פרס	premio	פרס	N;MASC;PL	PROPN
sitio	האתר	sitio	האתר	N;MASC;SG	
bien	טוב	bien	טוב	ADV	ADJ;MASC;SG
bien	יופי	bien	יופי	ADV	PROPN
bien	פיין	bien	פיין	ADV	PROPN
bien	קנס	bien	קנס	ADV	PROPN
segundo	שניה	segundo	שניה	ADJ;MASC;SG	NUM;FEM;SG
segundo	שנייה	segundo	שנייה	ADJ;MASC;SG	NUM;FEM;SG
segundo	שני	segundo	שני	ADJ;MASC;SG	NUM;MASC;PL
segundo	שנית	segundo	שנית	ADJ;MASC;SG	
mar	מאר	mar	מאר	N;SG	PROPN
mar	הים	mar	הים	N;SG	
mar	האוקיינוס	mar	האוקיינוס	N;SG	PROPN
poco	קטן	poco	קטן	ADV	ADJ;MASC;SG
poco	קטנה	poco	קטן	ADV	ADJ;FEM;SG
poco	ליטל	poco	ניטל	ADV	PROPN
estadounidense	אמריקאים	estadounidense	אמריקני	ADJ;SG	N;MASC;PL
estadounidense	אמריקני	estadounidense	אמריקני	ADJ;SG	PROPN
estadounidense	אמריקאית	estadounidense	אמריקני	ADJ;SG	ADV
agua	מיים	agua	מיים	N;FEM;SG	PROPN
agua	מים	agua	מים	N;FEM;SG	N;MASC;PL
tierra	הארץ	tierra	הארץ	N;FEM;SG	
earth	הארץ	earth	הארץ	N	
división	הדיוויזיה	división	הדיוויזיה	N;FEM;SG	PROPN
canción	השיר	canción	השיר	N;FEM;SG	ADV
fecha	תאריך	fecha	תאריך	N;FEM;SG	PROPN
fecha	התאריך	fecha	התאריך	N;FEM;SG	ADV
fecha	דייט	fecha	דייט	N;FEM;SG	PROPN
trabajo	איוב	trabajo	איוב	N;MASC;SG	
especie	מין	especie	מין	N;FEM;SG	
especie	מינים	especie	מין	N;FEM;SG	N;MASC;PL
especie	זן	especie	זן	N;FEM;SG	
luis	לואי	luis	לואי	N;MASC;SG	PROPN
luis	לואיס	luis	לואיס	N;MASC;SG	PROPN
luis	לואי	luis	לואי	N;MASC;SG	PROPN
luis	לודוויג	luis	לודוויג	N;MASC;SG	PROPN
caso	קייס	caso	קייס	N;MASC;SG	PROPN
dentro	בפנים	dentro	בפנים	ADV	
dentro	בתוכו	dentro	בתוך	ADV	
dentro	בתוך	dentro	בתוך	ADV	ADP
obras	פועל	obra	פועל	N;FEM;PL	N;MASC;SG
obras	עובדת	obra	עובדה	N;FEM;PL	N;FEM;SG
obras	עובד	obra	עובד	N;FEM;PL	PROPN
obras	מנגן	obra	מנגן	N;FEM;PL	N;MASC;SG
color	הצבע	color	הצבע	N;MASC;SG	
superficie	משטח	superficie	משטח	N;FEM;SG	
superficie	האזור	superficie	האזור	N;FEM;SG	PROPN
copa	ספל	copa	ספל	N;FEM;SG	PROPN
copa	כוס	copa	כוס	N;FEM;SG	
muchos	הרבה	mucho	הרבה	PRO;MASC;PL	ADV
muchos	רבות	mucho	רב	PRO;MASC;PL	N;FEM;PL
muchos	רבים	mucho	רב	PRO;MASC;PL	V;MASC;PL;V.PTCP;ACT
francisco	פרנסיסקו	francisco	פרנסיסקו	N;MASC;SG	PROPN
francisco	פראנסיס	francisco	פראנסיס	N;MASC;SG	PROPN
francisco	פרנסיס	francisco	פרנסיס	N;MASC;SG	PROPN
les	לז	él	לז	PRO;DAT;PL;3	
les	לס	él	לס	PRO;DAT;PL;3	PROPN
siguiente	עוקבים	siguiente	עקב	ADJ;SG	V;MASC;PL;V.PTCP;ACT
siguiente	עוקבת	siguiente	עקב	ADJ;SG	V;FEM;SG;V.PTCP;ACT
siguiente	עוקב	siguiente	עקב	ADJ;SG	V;MASC;SG;V.PTCP;ACT
siguiente	הבא	siguiente	הבא	ADJ;SG	PROPN
área	האזור	área	האזור	N;FEM;SG	PROPN
grandes	גדול	grande	גדול	ADJ;PL	ADJ;MASC;SG
grandes	גדולה	grande	גדול	ADJ;PL	ADJ;FEM;SG
grandes	ביג	grande	ביג	ADJ;PL	
grandes	גדול	grande	גדול	ADJ;PL	ADJ;MASC;SG
grandes	גדולה	grande	גדול	ADJ;PL	ADJ;FEM;SG
liga	הליגה	liga	הליגה	N;FEM;SG	
muerte	המוות	muerte	המווה	N;FEM;SG	
muerte	מות	muerte	מוות	N;FEM;SG	
medio	בינוני	medio	בינוני	NUM;MASC;SG	ADJ;MASC;SG
medio	מדיום	medio	מדיום	NUM;MASC;SG	N;MASC;SG
medio	מדיה	medio	מדיה	NUM;MASC;SG	N;MASC;SG
medio	בינונית	medio	בינוני	NUM;MASC;SG	ADJ;FEM;SG
medio	מחצית	medio	None	NUM;MASC;SG	DET;PSSD
medio	חצי	medio	חץ	NUM;MASC;SG	N;PSSD;MASC;PL
menos	מינוס	menos	מינוס	ADV	
largo	לארגו	largo	לארגו	ADJ;MASC;SG	PROPN
largo	לונג	largo	לונג	ADJ;MASC;SG	PROPN
buenos	טובה	buen	None	ADJ;MASC;PL	ADV
buenos	טוב	buen	טוב	ADJ;MASC;PL	ADJ;MASC;SG
buenos	יופי	buen	יופי	ADJ;MASC;PL	PROPN
hijo	בני	hijo	בני	N;MASC;SG	PROPN
hijo	בן	hijo	בן	N;MASC;SG	PROPN
hecho	עשה	hecho	עשה	ADJ;MASC;SG;V.PTCP	V;MASC;SG;3;PST;ACT
hecho	הכין	hecho	הכין	ADJ;MASC;SG;V.PTCP	V;MASC;SG;3;PST;ACT
hecho	בוצע	hecho	בוצע	ADJ;MASC;SG;V.PTCP	V;MASC;SG;3;PST;PASS
hecho	סיים	hecho	סיים	ADJ;MASC;SG;V.PTCP	V;MASC;SG;3;PST;ACT
hecho	סיימתי	hecho	סיימתי	ADJ;MASC;SG;V.PTCP	V;SG;1;PST;ACT
hecho	סגור	hecho	סגור	ADJ;MASC;SG;V.PTCP	
hecho	עובדה	hecho	עובדה	ADJ;MASC;SG;V.PTCP	N;FEM;SG
