από	from	από	from	ADP	
περιοχή	regionie	περιοχή	region	N;NOM;FEM;SG	N;ACC;MASC;SG
περιοχή	regiony	περιοχή	regić	N;NOM;FEM;SG	N;NOM;MASC;PL
περιοχή	regionu	περιοχή	regić	N;NOM;FEM;SG	N;GEN;MASC;SG
περιοχή	obszarze	περιοχή	obszarz	N;NOM;FEM;SG	N;ACC;MASC;SG
αιώνα	wieku	αιώνας	wiek	N;ACC;MASC;SG	N;GEN;MASC;SG
αιώνα	wiek	αιώνας	wiek	N;ACC;MASC;SG	N;NOM;MASC;SG
αθήνα	atenach	αθήνα	aten	PROPN;ACC;FEM;SG	PROPN;GEN;NEUT;PL
αθήνα	aten	αθήνα	aten	PROPN;ACC;FEM;SG	PROPN;NOM;NEUT;SG
αθήνα	ateny	αθήνα	atena	PROPN;ACC;FEM;SG	
περίοδο	okres	περίοδος	okres	N;ACC;FEM;SG	N;NOM;MASC;SG
ελλάδα	grecji	ελλάδα	grecja	PROPN;ACC;FEM;SG	N;GEN;FEM;SG
ελλάδα	grecja	ελλάδα	grecja	PROPN;ACC;FEM;SG	N;NOM;FEM;SG
μέρος	częściowo	μέρος	częściowo	N;NOM;NEUT;SG	ADV
σήμερα	today	σήμερα	toda	ADV	
μέσα	wewnątrz	μέσα	wewnątrz	ADV	
πως	jak	πως	jak	CONJ	ADV
ιστορία	story	ιστορία	stora	N;NOM;FEM;SG	
ιστορία	historii	ιστορία	historia	N;NOM;FEM;SG	N;GEN;FEM;SG
ιστορία	historię	ιστορία	historia	N;NOM;FEM;SG	N;ACC;FEM;SG
πρωτάθλημα	league	πρωτάθλημα	leagu	N;NOM;NEUT;SG	
πρωτάθλημα	lidze	πρωτάθλημα	liga	N;NOM;NEUT;SG	N;DAT;FEM;SG
πρωτάθλημα	ligi	πρωτάθλημα	liga	N;NOM;NEUT;SG	N;ACC;FEM;SG
πρωτάθλημα	mistrzostwa	πρωτάθλημα	mistrzostwa	N;NOM;NEUT;SG	N;NOM;NEUT;PL
πρωτάθλημα	championship	πρωτάθλημα	championship	N;NOM;NEUT;SG	
πρωτάθλημα	mistrzostw	πρωτάθλημα	mistrzostwa	N;NOM;NEUT;SG	N;GEN;NEUT;PL
αργότερα	pozniej	αργά	pozno	ADV;CMPR	V;PFV;IND;SG;FIN;ACT
νέα	nowości	νέος	nowość	ADJ;NOM;NEUT;PL	N;ACC;FEM;PL
νέα	nowe	νέος	nowy	ADJ;NOM;NEUT;PL	ADJ;NOM;NEUT;SG
νέα	nowość	νέος	nowość	ADJ;NOM;NEUT;PL	N;NOM;FEM;SG
νέα	nowy	νέος	nowy	ADJ;NOM;NEUT;PL	ADJ;NOM;MASC;SG
νέα	nowa	νέος	nowy	ADJ;NOM;NEUT;PL	
νέα	aktualności	νέος	aktualność	ADJ;NOM;NEUT;PL	N;ACC;FEM;PL
νέα	wieści	νέος	wieść	ADJ;NOM;NEUT;PL	N;NOM;FEM;PL
νέα	nowości	νέος	nowość	ADJ;NOM;NEUT;PL	N;ACC;FEM;PL
νέα	wiadomości	νέος	wiadomość	ADJ;NOM;NEUT;PL	N;ACC;FEM;PL
νέα	news	νέος	news	ADJ;NOM;NEUT;PL	
περίπου	około	περίπου	około	ADV	PART
αυτά	tych	αυτός	ten	PRO;NOM;NEUT;PL;3	DET;GEN;MASC;PL
αυτά	te	αυτός	ten	PRO;NOM;NEUT;PL;3	DET;NOM;MASC;PL
πριν	zanim	πριν	zanim	ADV	CONJ
πριν	przed	πριν	przed	ADV	ADP
εθνική	krajowych	εθνικός	krajowy	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;PL
συζήτηση	rozmowy	συζήτηση	rozmowa	N;ACC;FEM;SG	N;ACC;FEM;PL
συζήτηση	rozmowa	συζήτηση	rozmowa	N;ACC;FEM;SG	N;NOM;FEM;SG
συζήτηση	konwersacji	συζήτηση	konwersacja	N;ACC;FEM;SG	N;GEN;FEM;SG
συζήτηση	dyskusja	συζήτηση	dyskusja	N;ACC;FEM;SG	N;NOM;FEM;SG
συζήτηση	omówienie	συζήτηση	omówienie	N;ACC;FEM;SG	N;NOM;NEUT;SG
συζήτηση	dyskusji	συζήτηση	dyskusja	N;ACC;FEM;SG	N;GEN;FEM;SG
συζήτηση	dyskusje	συζήτηση	dyskusja	N;ACC;FEM;SG	N;NOM;FEM;PL
συζήτηση	debata	συζήτηση	debata	N;ACC;FEM;SG	N;NOM;FEM;SG
αρχείο	archiwa	αρχείο	archiwa	N;NOM;NEUT;SG	
αρχείο	plik	αρχείο	plik	N;NOM;NEUT;SG	N;ACC;MASC;SG
αρχείο	pliku	αρχείο	plik	N;NOM;NEUT;SG	N;GEN;MASC;SG
πρέπει	muszą	πρέπει	musieć	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
φορά	czasu	φορά	czas	N;ACC;FEM;SG	N;GEN;MASC;SG
φορά	czas	φορά	czas	N;ACC;FEM;SG	N;NOM;MASC;SG
έλληνες	grecy	έλληνας	greca	ADJ;NOM;MASC;PL	N;NOM;MASC;PL
έλληνες	greków	έλληνας	grek	ADJ;NOM;MASC;PL	N;GEN;MASC;PL
ομάδες	grup	ομάδα	grupa	N;NOM;FEM;PL	
ομάδες	grupy	ομάδα	grupa	N;NOM;FEM;PL	N;ACC;FEM;SG
ομάδες	grupach	ομάδα	grupa	N;NOM;FEM;PL	N;GEN;MASC;PL
ομάδες	zespołów	ομάδα	zespół	N;NOM;FEM;PL	N;GEN;MASC;PL
ομάδες	drużyny	ομάδα	drużyna	N;NOM;FEM;PL	N;ACC;FEM;PL
πρώτο	pierwszy	πρώτος	pierwszy	NUM;NOM;NEUT;SG	ADJ;NOM;MASC;SG
πρώτο	pierwsze	πρώτος	pierwszy	NUM;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
πρώτο	najpierw	πρώτος	najpierw	NUM;NOM;NEUT;SG	ADV
πρώτο	pierwsza	πρώτος	pierwszy	NUM;NOM;NEUT;SG	ADJ;NOM;FEM;SG
έργο	project	έργο	project	N;NOM;NEUT;SG	
έργο	pracuj	έργο	pracować	N;NOM;NEUT;SG	V;IPFV;IMP;SG;2;FIN;ACT
έργο	prace	έργο	praca	N;NOM;NEUT;SG	N;NOM;FEM;PL
έργο	pracy	έργο	praca	N;NOM;NEUT;SG	N;GEN;FEM;SG
έργο	roboty	έργο	robota	N;NOM;NEUT;SG	N;ACC;FEM;PL
κυρίως	głównie	κυρίως	głównie	ADV	PART
κυρίως	przeważnie	κυρίως	przeważnie	ADV	
κυρίως	głównie	κυρίως	głównie	ADV	PART
ελληνική	grecja	ελληνικός	grecja	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
μεγάλη	big	μεγάλος	big	ADJ;NOM;FEM;SG	
ποδοσφαιριστές	piłkarzy	ποδοσφαιριστής	piłkarz	N;NOM;MASC;PL	N;ACC;MASC;PL
ταινία	filmu	ταινία	film	N;NOM;FEM;SG	N;GEN;MASC;SG
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;ACC;MASC;SG
ταινία	taśmy	ταινία	taśma	N;NOM;FEM;SG	
ταινία	filmy	ταινία	film	N;NOM;FEM;SG	N;NOM;MASC;PL
ταινία	film	ταινία	film	N;NOM;FEM;SG	N;ACC;MASC;SG
άλλα	innych	άλλος	inny	PRO;NOM;NEUT;PL;3	ADJ;GEN;MASC;PL
άλλα	inne	άλλος	inny	PRO;NOM;NEUT;PL;3	ADJ;NOM;NEUT;SG
άλλα	pozostał	άλλος	pozostać	PRO;NOM;NEUT;PL;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
άλλα	inny	άλλος	inny	PRO;NOM;NEUT;PL;3	ADJ;NOM;MASC;SG
άλλα	inne	άλλος	inny	PRO;NOM;NEUT;PL;3	ADJ;NOM;NEUT;SG
άλλα	pozostał	άλλος	pozostać	PRO;NOM;NEUT;PL;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
άλλα	inni	άλλος	inny	PRO;NOM;NEUT;PL;3	ADJ;NOM;MASC;PL
τμήμα	sekcję	τμήμα	sekcja	N;NOM;NEUT;SG	N;ACC;FEM;SG
τμήμα	sekcji	τμήμα	sekcja	N;NOM;NEUT;SG	N;GEN;FEM;SG
σαν	like	σαν	lik	ADV	
ωστόσο	jakkolwiek	ωστόσο	jakkolwiek	CONJ	
ωστόσο	jednak	ωστόσο	jednak	CONJ	PART
ωστόσο	jednakże	ωστόσο	jednakże	CONJ	
άλλες	innych	άλλος	inny	PRO;NOM;FEM;PL;3	ADJ;GEN;MASC;PL
άλλες	inne	άλλος	inny	PRO;NOM;FEM;PL;3	ADJ;NOM;NEUT;SG
άλλες	pozostał	άλλος	pozostać	PRO;NOM;FEM;PL;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
άλλες	inny	άλλος	inny	PRO;NOM;FEM;PL;3	ADJ;NOM;MASC;SG
τέλος	wreszcie	τέλος	wreszcie	ADV	
τέλος	nareszcie	τέλος	nareszcie	ADV	
τέλος	koniec	τέλος	koniec	ADV	N;NOM;MASC;SG
τέλος	end	τέλος	end	ADV	
σειρά	serie	σειρά	serie	N;ACC;FEM;SG	
σειρά	series	σειρά	series	N;ACC;FEM;SG	
σειρά	seria	σειρά	seria	N;ACC;FEM;SG	N;NOM;FEM;SG
σειρά	serii	σειρά	seria	N;ACC;FEM;SG	
σειρά	porządek	σειρά	porządek	N;ACC;FEM;SG	N;NOM;MASC;SG
σειρά	zamówienie	σειρά	zamówienie	N;ACC;FEM;SG	N;NOM;NEUT;SG
σειρά	kolejność	σειρά	kolejność	N;ACC;FEM;SG	N;NOM;FEM;SG
σειρά	rząd	σειρά	rząd	N;ACC;FEM;SG	N;NOM;MASC;SG
σειρά	wiersz	σειρά	wiersz	N;ACC;FEM;SG	N;NOM;MASC;SG
σειρά	row	σειρά	row	N;ACC;FEM;SG	
στοιχεία	data	στοιχείο	datać	N;NOM;NEUT;PL	
συνέχεια	ciągłości	συνέχεια	ciągłość	N;ACC;FEM;SG	N;GEN;FEM;SG
συνέχεια	ciągłość	συνέχεια	ciągłość	N;ACC;FEM;SG	N;NOM;FEM;SG
συνέχεια	kontynuować	συνέχεια	kontynuować	N;ACC;FEM;SG	V;IPFV;NFIN;ACT
συνέχεια	kontynuacja	συνέχεια	kontynuacja	N;ACC;FEM;SG	N;NOM;FEM;SG
συνέχεια	kontynuował	συνέχεια	kontynuować	N;ACC;FEM;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
συνέχεια	dalszy	συνέχεια	daleki	N;ACC;FEM;SG	ADJ;NOM;CMPR;MASC;SG
κάτω	dół	κάτω	dół	ADV	N;NOM;MASC;SG
κάτω	niższy	κάτω	nisszyć	ADV	ADJ;NOM;CMPR;MASC;SG
κάτω	lower	κάτω	lower	ADV	N;NOM;MASC;SG
κάτω	niższa	κάτω	nissza	ADV	ADJ;NOM;CMPR;FEM;SG
κάτω	dolna	κάτω	dolny	ADV	
κάτω	poniżej	κάτω	poniżej	ADV	
πολλές	wielu	πολύς	wiele	ADJ;NOM;FEM;PL	DET;ACC;MASC;PL
πολλές	wiele	πολύς	wiele	ADJ;NOM;FEM;PL	DET;ACC;MASC;PL
όλα	wszystko	όλος	wszystko	ADJ;NOM;NEUT;PL	PRO;NOM;NEUT;SG
όλα	wszystkie	όλος	wszystek	ADJ;NOM;NEUT;PL	DET;NOM;MASC;PL
όλα	wszystko	όλος	wszystko	ADJ;NOM;NEUT;PL	PRO;NOM;NEUT;SG
όλα	all	όλος	all	ADJ;NOM;NEUT;PL	
όλα	wszyscy	όλος	wszyscy	ADJ;NOM;NEUT;PL	PRO;NOM;MASC;PL
σύστημα	systemu	σύστημα	system	N;NOM;NEUT;SG	N;GEN;MASC;SG
σύστημα	system	σύστημα	system	N;NOM;NEUT;SG	N;ACC;MASC;SG
σύστημα	systemowe	σύστημα	systemowy	N;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ακόμα	jeszcze	ακόμα	jeszcze	ADV	PART
φορές	razy	φορά	raz	N;NOM;FEM;PL	N;ACC;MASC;PL
φορές	times	φορά	times	N;NOM;FEM;PL	
ιουλίου	lipca	ιούλιος	lipiec	N;GEN;NEUT;SG	
ιουλίου	lipiec	ιούλιος	lipiec	N;GEN;NEUT;SG	
χώρα	kraje	χώρα	kraj	N;NOM;FEM;SG	N;NOM;MASC;PL
χώρα	kraju	χώρα	kraj	N;NOM;FEM;SG	N;GEN;MASC;SG
αποτέλεσμα	rezultat	αποτέλεσμα	rezultat	N;ACC;NEUT;SG	N;NOM;MASC;SG
αποτέλεσμα	wynik	αποτέλεσμα	wynik	N;ACC;NEUT;SG	N;NOM;MASC;SG
αποτέλεσμα	rezultat	αποτέλεσμα	rezultat	N;ACC;NEUT;SG	N;NOM;MASC;SG
αποτέλεσμα	efekt	αποτέλεσμα	efekt	N;ACC;NEUT;SG	N;NOM;MASC;SG
αποτέλεσμα	wynik	αποτέλεσμα	wynik	N;ACC;NEUT;SG	N;NOM;MASC;SG
αποτέλεσμα	efekt	αποτέλεσμα	efekt	N;ACC;NEUT;SG	N;NOM;MASC;SG
αποτέλεσμα	skutek	αποτέλεσμα	skutek	N;ACC;NEUT;SG	N;NOM;MASC;SG
οκτωβρίου	październik	οκτώβριος	październik	N;GEN;MASC;SG	N;NOM;MASC;SG
ιανουαρίου	styczeń	ιανουάριος	styczenie	PROPN;GEN;MASC;SG	
ιανουαρίου	stycznia	ιανουάριος	styczeń	PROPN;GEN;MASC;SG	N;GEN;MASC;SG
ιανουαρίου	styczniu	ιανουάριος	styczeń	PROPN;GEN;MASC;SG	N;GEN;MASC;SG
σεπτεμβρίου	wrzesień	σεπτέμβριο	wrzesień	N;GEN;MASC;SG	
σεπτεμβρίου	września	σεπτέμβριο	wrzesień	N;GEN;MASC;SG	
νοεμβρίου	listopadzie	νόεμβριος	listopad	N;GEN;MASC;SG	N;ACC;MASC;SG
νοεμβρίου	listopad	νόεμβριος	listopad	N;GEN;MASC;SG	
αγώνες	dopasowania	αγώνας	dopasowanie	N;NOM;MASC;PL	N;PFV;GEN;NEUT;SG;POS;V.MSDR
αγώνες	zapałki	αγώνας	zapałka	N;NOM;MASC;PL	N;ACC;FEM;PL
αγώνες	gier	αγώνας	gier	N;NOM;MASC;PL	
αγώνες	gry	αγώνας	gra	N;NOM;MASC;PL	
μέσω	via	μέσω	via	ADP	
μέσω	poprzez	μέσω	poprzez	ADP	
μαρτίου	marzec	μάρτιος	marzec	N;GEN;MASC;SG	
μαρτίου	marca	μάρτιος	marza	N;GEN;MASC;SG	
μαρτίου	marsz	μάρτιος	marsz	N;GEN;MASC;SG	N;NOM;MASC;SG
γεννήθηκε	urodzony	γεννώ	urodzić	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
γεννήθηκε	urodzona	γεννώ	urodzić	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
γεννήθηκε	urodzone	γεννώ	urodzić	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ιουνίου	june	ιούνιος	juny	N;GEN;MASC;SG	
ιουνίου	czerwiec	ιούνιος	czerwiec	N;GEN;MASC;SG	
αυτές	tych	αυτός	ten	PRO;NOM;FEM;PL;3	DET;GEN;MASC;PL
αυτές	te	αυτός	ten	PRO;NOM;FEM;PL;3	DET;NOM;MASC;PL
πολλά	wielu	πολύς	wiele	ADJ;NOM;NEUT;PL	DET;ACC;MASC;PL
πολλά	wiele	πολύς	wiele	ADJ;NOM;NEUT;PL	DET;ACC;MASC;PL
απριλίου	kwietnia	απρίλιος	kwiecia	N;GEN;MASC;SG	
απριλίου	april	απρίλιος	april	N;GEN;MASC;SG	
απριλίου	kwiecień	απρίλιος	kwiecienie	N;GEN;MASC;SG	N;NOM;NEUT;SG
τρεις	trzy	τρεις	trzy	NUM;NOM;MASC;PL	NUM;ACC;MASC;PL
αυγούστου	augusta	αυγούστος	augusta	N;GEN;MASC;SG	
αυγούστου	august	αυγούστος	august	N;GEN;MASC;SG	N;NOM;MASC;SG
αυγούστου	sierpień	αυγούστος	sierpienie	N;GEN;MASC;SG	
έργα	działa	έργο	działać	N;NOM;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
έργα	dziala	έργο	dzialać	N;NOM;NEUT;PL	V;IPFV;IND;SG;PST;FIN;ACT
έργα	projektów	έργο	projekt	N;NOM;NEUT;PL	N;GEN;MASC;PL
δεκεμβρίου	grudzień	δεκέμβριο	grudzienie	N;GEN;MASC;SG	N;NOM;MASC;SG
δεκεμβρίου	grudnia	δεκέμβριο	grudzień	N;GEN;MASC;SG	
χρήση	wykorzystanie	χρήση	wykorzystać	N;ACC;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
χρήση	użyć	χρήση	użyć	N;ACC;FEM;SG	V;PFV;NFIN;ACT
χρήση	użyj	χρήση	użyj	N;ACC;FEM;SG	V;PFV;IMP;SG;2;FIN;ACT
πρόεδρος	przewodniczący	πρόεδρος	przewodniczący	N;ACC;MASC;SG	N;NOM;MASC;SG
πρόεδρος	prezes	πρόεδρος	prezes	N;ACC;MASC;SG	N;NOM;MASC;SG
πρόεδρος	prezydent	πρόεδρος	prezydent	N;ACC;MASC;SG	N;NOM;MASC;SG
πρόεδρος	przewodnicząca	πρόεδρος	przewodnicząca	N;ACC;MASC;SG	
πρόεδρος	prezydenci	πρόεδρος	prezydent	N;ACC;MASC;SG	N;NOM;MASC;PL
πολιτική	polityki	πολιτική	polityka	N;NOM;FEM;SG	N;GEN;FEM;SG
πολιτική	politycy	πολιτική	polityk	N;NOM;FEM;SG	N;NOM;MASC;PL
πολιτική	polityki	πολιτική	polityka	N;NOM;FEM;SG	N;GEN;FEM;SG
ακόμη	jeszcze	ακόμα	jeszcze	ADV	PART
μας	nasz	μου	nasz	PRO;GEN;MASC;PL;1	DET;NOM;MASC;SG;1
μας	nasza	μου	nasz	PRO;GEN;MASC;PL;1	DET;NOM;FEM;SG;1
μας	nasi	μου	nasz	PRO;GEN;MASC;PL;1	DET;NOM;MASC;PL;1
μας	nasze	μου	nasz	PRO;GEN;MASC;PL;1	DET;NOM;NEUT;SG;1
μας	our	μου	our	PRO;GEN;MASC;PL;1	
εκλογές	wyborach	εκλογή	wybory	N;NOM;FEM;PL	N;DAT;NEUT;PL
εκλογές	wyborów	εκλογή	wybory	N;NOM;FEM;PL	
εκλογές	wyborów	εκλογή	wybory	N;NOM;FEM;PL	
μέλη	członkom	μέλος	członek	N;NOM;NEUT;PL	N;DAT;MASC;PL
μέλη	członków	μέλος	członek	N;NOM;NEUT;PL	N;ACC;MASC;PL
μέλη	członkami	μέλος	członek	N;NOM;NEUT;PL	N;INS;MASC;PL
τελικά	wreszcie	τελικά	wreszcie	ADV	
τελικά	nareszcie	τελικά	nareszcie	ADV	
μέλος	członka	μέλος	członek	N;NOM;NEUT;SG	N;ACC;MASC;SG
μέλος	członkowskie	μέλος	członkowski	N;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
μέλος	członkiem	μέλος	członek	N;NOM;NEUT;SG	N;INS;MASC;SG
εποχή	epoka	εποχή	epoka	N;ACC;FEM;SG	N;NOM;FEM;SG
εποχή	epoki	εποχή	epoka	N;ACC;FEM;SG	
εποχή	era	εποχή	era	N;ACC;FEM;SG	
εποχή	sezonie	εποχή	sezon	N;ACC;FEM;SG	N;INS;MASC;SG
εποχή	sezon	εποχή	sezon	N;ACC;FEM;SG	N;NOM;MASC;SG
εποχή	epoka	εποχή	epoka	N;ACC;FEM;SG	N;NOM;FEM;SG
εποχή	era	εποχή	era	N;ACC;FEM;SG	
εποχή	ery	εποχή	ery	N;ACC;FEM;SG	
χωριό	wiosce	χωριό	wioska	N;NOM;NEUT;SG	N;DAT;FEM;SG
χωριό	wioski	χωριό	wioska	N;NOM;NEUT;SG	N;ACC;FEM;SG
αρχικά	inicjały	αρχικά	inicjał	ADV	N;NOM;MASC;PL
δήμος	gmina	δήμος	gmina	N;NOM;MASC;SG	
κύπελλο	puchar	κύπελλος	puchar	N;NOM;NEUT;SG	N;ACC;MASC;SG
κύπελλο	cup	κύπελλος	cup	N;NOM;NEUT;SG	
ζωή	zycie	ζωή	zyt	N;ACC;FEM;SG	V;IPFV;IND;SG;1;FIN;ACT
ζωή	life	ζωή	lifa	N;ACC;FEM;SG	
ζωή	życia	ζωή	życie	N;ACC;FEM;SG	N;GEN;NEUT;SG
ζωή	dożywocie	ζωή	dożywocie	N;ACC;FEM;SG	N;NOM;NEUT;SG
ζωή	życie	ζωή	życie	N;ACC;FEM;SG	N;NOM;NEUT;SG
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
μεγάλο	dużych	μεγάλος	duży	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL
μεγάλο	big	μεγάλος	big	ADJ;NOM;NEUT;SG	
βάση	baza	βάση	baza	N;ACC;FEM;SG	N;NOM;FEM;SG
βάση	podstawa	βάση	podstawa	N;ACC;FEM;SG	N;NOM;FEM;SG
βάση	base	βάση	bas	N;ACC;FEM;SG	
βάση	bazy	βάση	baza	N;ACC;FEM;SG	N;GEN;FEM;SG
βάση	podstawa	βάση	podstawa	N;ACC;FEM;SG	N;NOM;FEM;SG
βάση	podstawie	βάση	podstawa	N;ACC;FEM;SG	N;DAT;FEM;SG
βάση	podstawy	βάση	podstawa	N;ACC;FEM;SG	N;ACC;FEM;PL
