категория	категории	категория	категория	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
всички	всем	всеки	все	PRO;NOM;PL	PRO;ANIM;DAT;PL
всички	всех	всеки	все	PRO;NOM;PL	PRO;ANIM;ACC;PL
всички	all	всеки	all	PRO;NOM;PL	PROPN
всички	все	всеки	все	PRO;NOM;PL	PRO;INAN;NOM;NEUT;SG
всички	всем	всеки	все	PRO;NOM;PL	PRO;ANIM;DAT;PL
всички	всех	всеки	все	PRO;NOM;PL	PRO;ANIM;ACC;PL
всички	все	всеки	все	PRO;NOM;PL	PRO;INAN;NOM;NEUT;SG
всички	каждый	всеки	каждый	PRO;NOM;PL	DET;NOM;MASC;SG
семейство	семейное	семейство	семейный	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
семейство	семьи	семейство	семья	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
семейство	родные	семейство	родной	N;INDF;NEUT;SG	ADJ;NOM;PL
започва	начинается	започвам-(се)	начинаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
започва	начинается	започвам-(се)	начинаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
македония	македонии	македония	македония	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
македония	македония	македония	македония	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
сащ	сша	сащ	сшать	PROPN;INDF;MASC;PL	N;INAN;NOM;PL
сащ	usa	сащ	usa	PROPN;INDF;MASC;PL	PROPN
над	over	над	over	ADP	PROPN
над	выше	над	высокий	ADP	ADJ;CMPR
него	ему	аз	он	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
души	души	души	душа	N;INDF	N;INAN;NOM;FEM;PL
мини	mini	мина	mini	N;INDF;FEM;PL	PROPN
мини	мини	мина	мин	N;INDF;FEM;PL	
мини	мин	мина	минута	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
мини	минни	мина	минни	N;INDF;FEM;PL	N;ANIM;NOM;FEM;SG
намира	найдет	намирам-(се)	найти	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
република	республики	република	республика	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
късно	опаздывает	късно	опаздывать	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
късно	поздний	късно	поздний	ADV	ADJ;NOM;MASC;SG
късно	опоздал	късно	опоздать	ADV	V;PFV;MASC;IND;SG;PST;FIN;ACT
май	мая	май	май	PROPN;INDF;MASC;SG	N;INAN;GEN;MASC;SG
май	мэй	май	мэй	PROPN;INDF;MASC;SG	N;ANIM;NOM;FEM;SG
май	май	май	май	PROPN;INDF;MASC;SG	
май	майские	май	майский	PROPN;INDF;MASC;SG	ADJ;NOM;PL
път	дорожной	път	дорожный	N;INDF;MASC;SG	ADJ;INS;FEM;SG
път	road	път	road	N;INDF;MASC;SG	PROPN
отбор	team	отбор	team	N;INDF;MASC;SG	PROPN
няколко	немногим	няколко	немногие	PRO;INDF	ADJ;INS;NEUT;SG
няколко	немногие	няколко	немногие	PRO;INDF	ADJ;NOM;PL
няколко	немногих	няколко	немногие	PRO;INDF	ADJ;GEN;PL
няколко	несколько	няколко	несколько	PRO;INDF	ADV
роден	родилась	родя-(се)	рождаться	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;MID
роден	родился	родя-(се)	рождаться	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;MID
преди	прежде	преди	прежде	ADP	ADV
група	band	група	band	N;INDF;FEM;SG	PROPN
група	группы	група	группа	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
група	group	група	group	N;INDF;FEM;SG	PROPN
някои	некоторых	някой	некоторый	PRO;NOM;PL	DET;GEN;PL
някои	некоторые	някой	некоторый	PRO;NOM;PL	DET;NOM;PL
река	ривер	река	ривер	N;INDF;FEM;SG	
река	реки	река	река	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
фон	фон	фон	фон	N;INDF;MASC;SG	PART
фон	справочный	фон	справочный	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
американски	американские	американски	американский	ADJ;INDF;MASC;SG	ADJ;NOM;PL
американски	american	американски	american	ADJ;INDF;MASC;SG	PROPN
американски	американских	американски	американский	ADJ;INDF;MASC;SG	ADJ;GEN;PL
американски	американец	американски	американец	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
ноември	ноя	ноември	она	N;INDF;MASC;SG	
април	апр	април	апр	N;INDF;MASC;SG	
декември	дек	декември	дек	N;INDF;MASC;SG	
чрез	виа	чрез	виа	ADP	N;INAN;NOM;MASC;SG
чрез	via	чрез	via	ADP	PROPN
история	story	история	story	N;INDF;FEM;SG	PROPN
история	истории	история	история	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
различни	прочее	различен	прочий	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	разное	различен	разный	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
работи	работа	работя	работа	V;IPFV;IMP;SG;2;FIN	N;INAN;NOM;FEM;SG
работи	работы	работя	работа	V;IPFV;IMP;SG;2;FIN	N;INAN;NOM;FEM;PL
работи	труд	работя	труд	V;IPFV;IMP;SG;2;FIN	N;INAN;NOM;MASC;SG
работи	работает	работя	работать	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
империя	империи	империя	империя	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
иван	иван	иван	иван	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
повече	более	повече	более	ADV;INDF;PL	ADV;CMPR
повече	больше	повече	больше	ADV;INDF;PL	ADV;CMPR
страна	страны	страна	страна	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
завършва	концы	завършвам	конец	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
завършва	заканчивается	завършвам	заканчиваться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
бил	билл	съм	билла	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;ANIM;NOM;MASC;SG
бил	законопроект	съм	законопроект	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;INAN;NOM;MASC;SG
малко	little	малко	little	ADV;INDF;PL	PROPN
малко	маленький	малко	маленький	ADV;INDF;PL	ADJ;NOM;MASC;SG
малко	маленькая	малко	маленький	ADV;INDF;PL	ADJ;NOM;FEM;SG
малко	маленькие	малко	маленький	ADV;INDF;PL	ADJ;NOM;PL
хора	народ	хора	народ	N;INDF	N;INAN;NOM;MASC;SG
хора	людей	хора	человек	N;INDF	N;ANIM;GEN;MASC;PL
хора	люди	хора	человек	N;INDF	N;ANIM;NOM;MASC;PL
германия	германия	германия	германий	PROPN;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
германия	германию	германия	германия	PROPN;INDF;FEM;SG	N;INAN;ACC;NEUT;SG
германия	германии	германия	германия	PROPN;INDF;FEM;SG	N;INAN;ESS;NEUT;SG
могат	может	мога	мочь	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
могат	могу	мога	мочь	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
могат	можно	мога	можно	V;IPFV;IND;PL;3;PRS;FIN;ACT	ADV
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	PROPN
син	синий	син	синий	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
син	blue	син	blue	N;INDF;MASC;SG	PROPN
син	синие	син	синий	N;INDF;MASC;SG	ADJ;NOM;PL
син	голубые	син	голубой	N;INDF;MASC;SG	ADJ;NOM;PL
син	голубой	син	голубой	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
георги	георгий	георга	георгий	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
голяма	крупных	голям	крупный	ADJ;INDF;FEM;SG	ADJ;GEN;PL
голяма	крупные	голям	крупный	ADJ;INDF;FEM;SG	ADJ;NOM;PL
голяма	большие	голям	большой	ADJ;INDF;FEM;SG	ADJ;NOM;PL
голяма	big	голям	big	ADJ;INDF;FEM;SG	PROPN
голяма	большие	голям	большой	ADJ;INDF;FEM;SG	ADJ;NOM;PL
голяма	биг	голям	биг	ADJ;INDF;FEM;SG	
италия	италия	италия	италия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
италия	италию	италия	италия	PROPN;INDF;FEM;SG	N;INAN;ACC;FEM;SG
италия	италии	италия	италия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
световна	worldwide	световен	worldwide	ADJ;INDF;FEM;SG	PROPN
край	конце	край	конец	ADP	N;INAN;ESS;MASC;SG
край	end	край	end	ADP	PROPN
край	конец	край	конец	ADP	N;INAN;NOM;MASC;SG
уикипедия	википедии	уикипедия	википедия	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
днес	today	днес	today	ADV	PROPN
смъртта	death	смърт	death	N;DEF;FEM;SG	PROPN
франция	франции	франция	франция	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
франция	франс	франция	франс	PROPN;INDF;FEM;SG	N;INAN;NOM;MASC;SG
франция	франция	франция	франция	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
франция	france	франция	france	PROPN;INDF;FEM;SG	PROPN
национален	национальные	национален	национальный	ADJ;INDF;MASC;SG	ADJ;NOM;PL
национален	национальных	национален	национальный	ADJ;INDF;MASC;SG	ADJ;GEN;PL
национален	national	национален	national	ADJ;INDF;MASC;SG	PROPN
гърция	греции	гърция	греция	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;PL
гърция	грецию	гърция	греция	PROPN;INDF;FEM;SG	N;INAN;ACC;FEM;SG
гърция	греция	гърция	греция	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
вижте	видишь	видя-(се)	видеть	V;PFV;IMP;PL;2;FIN	V;IPFV;IND;SG;2;PRS;FIN;ACT
вижте	см	видя-(се)	сантиметр	V;PFV;IMP;PL;2;FIN	ADV
русия	россия	русия	россия	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
русия	russia	русия	russia	PROPN;INDF;FEM;SG	PROPN
едно	одна	един	один	NUM;INDF;NEUT;SG	DET;NOM;FEM;SG
едно	one	един	one	NUM;INDF;NEUT;SG	PROPN
едно	одно	един	один	NUM;INDF;NEUT;SG	DET;NOM;NEUT;SG
първи	сначала	първи	сначала	ADJ;INDF;MASC;SG	ADV
първи	first	първи	first	ADJ;INDF;MASC;SG	PROPN
система	system	система	system	N;INDF;FEM;SG	PROPN
нея	ей	аз	она	PRO;ACC;FEM;SG;3	PRO;DAT;FEM;SG;3
училище	school	училище	school	N;INDF;NEUT;SG	PROPN
училище	школы	училище	школа	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
били	билли	съм	билль	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;ANIM;NOM;MASC;SG
били	билли	съм	билль	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;ANIM;NOM;MASC;SG
света	world	свят	world	N;DEF;MASC;SG	PROPN
филми	кино	филм	кино	N;INDF;MASC;PL	N;INAN;NOM;NEUT;SG
александър	александр	александър	александр	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
александър	александер	александър	александер	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
умира	умрет	умирам	умереть	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
умира	умирают	умирам	умирать	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
умира	умираю	умирам	умирать	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
южна	южные	южен	южный	ADJ;INDF;FEM;SG	ADJ;NOM;PL
южна	юг	южен	юг	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
европа	europe	европа	europe	PROPN;INDF;FEM;SG	PROPN
европа	европу	европа	европа	PROPN;INDF;FEM;SG	N;INAN;ACC;FEM;SG
европа	европа	европа	европа	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
европа	европы	европа	европа	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
европа	europa	европа	europa	PROPN;INDF;FEM;SG	PROPN
европа	европа	европа	европа	PROPN;INDF;FEM;SG	N;INAN;NOM;FEM;SG
димитър	димитр	димитър	димитр	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
всеки	любой	всеки	любой	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
всеки	всем	всеки	все	PRO;NOM;MASC;SG	PRO;ANIM;DAT;PL
всеки	всех	всеки	все	PRO;NOM;MASC;SG	PRO;ANIM;ACC;PL
всеки	каждый	всеки	каждый	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
всеки	каждая	всеки	каждый	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
всеки	каждую	всеки	каждый	PRO;NOM;MASC;SG	DET;ACC;FEM;SG
всеки	каждый	всеки	каждый	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
всеки	каждое	всеки	каждый	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
всеки	каждая	всеки	каждый	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
всеки	каждому	всеки	каждый	PRO;NOM;MASC;SG	DET;DAT;MASC;SG
всеки	каждый	всеки	каждый	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
всеки	каждое	всеки	каждый	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
баща	отче	баща	отче	N;INDF;MASC;SG	INTJ
нова	новые	нов	новый	ADJ;INDF;FEM;SG	ADJ;NOM;PL
нова	новинка	нов	новинка	ADJ;INDF;FEM;SG	N;INAN;NOM;FEM;SG
нова	новых	нов	новый	ADJ;INDF;FEM;SG	ADJ;GEN;PL
крал	king	крал	king	N;INDF;MASC;SG	PROPN
докато	до	докато	до	CONJ	ADP
официален	официальных	официален	официальный	ADJ;INDF;MASC;SG	ADJ;GEN;PL
официален	официальные	официален	официальный	ADJ;INDF;MASC;SG	ADJ;NOM;PL
официален	формальные	официален	формальный	ADJ;INDF;MASC;SG	ADJ;NOM;PL
северна	север	северен	север	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
северна	норт	северен	норт	ADJ;INDF;FEM;SG	N;INAN;NOM;MASC;SG
северна	северные	северен	северный	ADJ;INDF;FEM;SG	ADJ;NOM;PL
времето	time	време	time	N;DEF;NEUT;SG	PROPN
българска	болгарии	български	болгария	ADJ;INDF;FEM;SG	N;INAN;NOM;FEM;PL
начин	way	начин	way	N;INDF;MASC;SG	PROPN
резултат	итоги	резултат	итог	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
данни	data	данна	data	N;INDF;FEM;PL	PROPN
страница	page	страница	page	N;INDF;FEM;SG	PROPN
страница	страницы	страница	страница	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
картинка	изображения	картинка	изображение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;PL
граф	графф	граф	графф	N;INDF;MASC;SG	
родени	родилась	родя-(се)	рождаться	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;MID
родени	родился	родя-(се)	рождаться	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;MID
играе	play	играя	play	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
играе	играйте	играя	играть	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IMP;PL;2;FIN;ACT
играе	играй	играя	играть	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
играе	пьесы	играя	пьеса	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;FEM;PL
играе	играю	играя	играть	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
живот	life	живот	life	N;INDF;MASC;SG	PROPN
живот	жизни	живот	жизнь	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
тук	вот	там	вот	ADV	PART
ден	day	ден	day	N;INDF;MASC;SG	PROPN
руски	русские	руски	русский	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
известен	известные	известен	известный	ADJ;INDF;MASC;SG	ADJ;NOM;PL
известен	знаменитость	известен	знаменитость	ADJ;INDF;MASC;SG	N;INAN;NOM;FEM;SG
добре	хорош	добре	хороший	ADV	ADJ;MASC;SG
добре	хороша	добре	хороший	ADV	ADJ;FEM;SG
добре	хороший	добре	хороший	ADV	ADJ;NOM;MASC;SG
добре	хорошее	добре	хороший	ADV	ADJ;NOM;NEUT;SG
води	ведет	водя	вести	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
води	водах	водя	вода	V;IPFV;IMP;SG;2;FIN	N;INAN;ESS;FEM;PL
води	свинца	водя	свинец	V;IPFV;IMP;SG;2;FIN	N;INAN;GEN;MASC;SG
води	свинец	водя	свинец	V;IPFV;IMP;SG;2;FIN	N;INAN;NOM;MASC;SG
води	ведущие	водя	ведущий	V;IPFV;IMP;SG;2;FIN	ADJ;NOM;PL
голям	крупных	голям	крупный	ADJ;INDF;MASC;SG	ADJ;GEN;PL
голям	крупные	голям	крупный	ADJ;INDF;MASC;SG	ADJ;NOM;PL
голям	большие	голям	большой	ADJ;INDF;MASC;SG	ADJ;NOM;PL
голям	big	голям	big	ADJ;INDF;MASC;SG	PROPN
голям	большие	голям	большой	ADJ;INDF;MASC;SG	ADJ;NOM;PL
голям	биг	голям	биг	ADJ;INDF;MASC;SG	
филм	film	филм	film	N;INDF;MASC;SG	PROPN
код	code	код	code	N;INDF;MASC;SG	PROPN
френски	французы	френски	француз	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
генерал	общие	генерал	общий	N;INDF;MASC;SG	ADJ;NOM;PL
държава	страны	държава	страна	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
големи	большой	голям	большой	ADJ;INDF;PL	ADJ;NOM;MASC;SG
големи	крупный	голям	крупный	ADJ;INDF;PL	ADJ;NOM;MASC;SG
големи	большая	голям	большой	ADJ;INDF;PL	ADJ;NOM;FEM;SG
големи	большая	голям	большой	ADJ;INDF;PL	ADJ;NOM;FEM;SG
големи	big	голям	big	ADJ;INDF;PL	PROPN
големи	большой	голям	большой	ADJ;INDF;PL	ADJ;NOM;MASC;SG
големи	биг	голям	биг	ADJ;INDF;PL	
деца	kids	дете	kids	N;INDF;NEUT;PL	PROPN
петър	петр	петър	петр	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
петър	питер	петър	питер	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
петър	петер	петър	петер	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
петър	пётр	петър	пётр	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
петър	петр	петър	петр	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
петър	петар	петър	петар	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
остава	останки	оставам	останки	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
остава	остаётся	оставам	оставаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
остава	останется	оставам	остаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN;MID
дължина	долготы	дължина	долгота	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
гръцки	греки	гръцки	грек	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
гръцки	греков	гръцки	грек	ADJ;INDF;MASC;SG	N;ANIM;GEN;MASC;PL
дни	days	ден	days	N;INDF;MASC;PL	PROPN
съюз	union	съюз	union	N;INDF;MASC;SG	PROPN
партия	party	партия	party	N;INDF;FEM;SG	PROPN
работа	работы	работа	работа	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
остров	острова	остров	остров	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
остров	island	остров	island	N;INDF;MASC;SG	PROPN
остров	островных	остров	островной	N;INDF;MASC;SG	ADJ;GEN;PL
среща	познакомиться	среща	знакомиться	N;INDF;FEM;SG	V;PFV;NFIN;MID
среща	знакомьтесь	среща	знакомиться	N;INDF;FEM;SG	V;IPFV;IMP;PL;2;FIN;MID
среща	встретиться	среща	встретиться	N;INDF;FEM;SG	V;PFV;NFIN;MID
информация	info	информация	info	N;INDF;FEM;SG	PROPN
информация	инфо	информация	инфо	N;INDF;FEM;SG	
нови	новинка	нов	новинка	ADJ;INDF;PL	N;INAN;NOM;FEM;SG
нови	новая	нов	новый	ADJ;INDF;PL	ADJ;NOM;FEM;SG
нови	новый	нов	новый	ADJ;INDF;PL	ADJ;NOM;MASC;SG
нови	новое	нов	новый	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
пъти	времена	път	время	N;MASC	N;INAN;NOM;NEUT;PL
пъти	таймс	път	таймс	N;MASC	N;INAN;NOM;MASC;SG
пъти	times	път	times	N;MASC	PROPN
участие	участвовать	участие	участвовать	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
войната	войны	война	война	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
войната	war	война	war	N;DEF;FEM;SG	PROPN
никола	николя	никол	николь	PROPN;INDF;MASC;SG	PART
никола	никола	никол	никол	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
никола	никола	никол	никол	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
никола	николя	никол	николь	PROPN;INDF;MASC;SG	PART
море	моря	море	море	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
море	sea	море	sea	N;INDF;NEUT;SG	PROPN
пловдив	пловдив	пловдив	пловдить	PROPN;INDF;MASC;SG	N;INAN;NOM;MASC;SG
отбора	team	отбор	team	N;DEF;MASC;SG	PROPN
продължава	продолжаются	продължавам	продолжаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;MID
продължава	продолжается	продължавам	продолжаться	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
историята	истории	история	история	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
брой	считать	брой	считать	N;INDF;MASC;SG	V;IPFV;NFIN;ACT
известни	известное	известен	известный	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
известни	известный	известен	известный	ADJ;INDF;PL	ADJ;NOM;MASC;SG
известни	известен	известен	известный	ADJ;INDF;PL	ADJ;MASC;SG
известни	известная	известен	известный	ADJ;INDF;PL	ADJ;NOM;FEM;SG
известни	известная	известен	известный	ADJ;INDF;PL	ADJ;NOM;FEM;SG
известни	знаменитая	известен	знаменитый	ADJ;INDF;PL	ADJ;NOM;FEM;SG
известни	известный	известен	известный	ADJ;INDF;PL	ADJ;NOM;MASC;SG
известни	знаменитость	известен	знаменитость	ADJ;INDF;PL	N;INAN;NOM;FEM;SG
известни	знаменитый	известен	знаменитый	ADJ;INDF;PL	ADJ;NOM;MASC;SG
степен	степени	степен	степень	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
повечето	большинство	повече	большинство	ADV;DEF;PL	N;INAN;NOM;NEUT;SG
разположен	расположенных	разположа-(се)	расположенный	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;GEN;PL
разположен	расположенный	разположа-(се)	расположенный	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;MASC;SG
друг	другие	друг	другой	ADJ;INDF;MASC;SG	ADJ;NOM;PL
друг	прочие	друг	прочий	ADJ;INDF;MASC;SG	ADJ;NOM;PL
джон	джон	джон	джон	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
джон	иоанн	джон	иоанный	PROPN;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
малки	маленькая	малък	маленький	ADJ;INDF;PL	ADJ;NOM;FEM;SG
малки	маленький	малък	маленький	ADJ;INDF;PL	ADJ;NOM;MASC;SG
малки	little	малък	little	ADJ;INDF;PL	PROPN
