年	year	年	year	N	PROPN
王	raja	王	raja	PROPN	PROPN;SG
王	king	王	king	PROPN	PROPN
王	wang	王	wang	PROPN	PROPN
林	lam	林	lam	PROPN	PROPN
林	lin	林	lin	PROPN	PROPN
公司	corporate	公司	corporate	N	PROPN
公司	company	公司	company	N	PROPN
李	lee	李	lee	PROPN	PROPN
一	one	一	one	NUM	PROPN
西	maghrib	西	maghrib	N	PROPN
西	west	西	west	N	PROPN
省	provinsi	省	provinsi	N	PROPN;SG
省	lubusz	省	lubusz	N	PROPN
卡	kartu	卡	kartu	PROPN	N;SG
卡	card	卡	card	PROPN	PROPN
卡	kartu	卡	kartu	PROPN	N;SG
二	two	二	two	NUM	PROPN
小	small	小	small	PART	PROPN
小	kecil	小	kecil	PART	ADJ;SG
小	little	小	little	PART	PROPN
小	kecil	小	kecil	PART	ADJ;SG
小	sedikit	小	sedikit	PART	ADV;SG
小	beraktifitas	小	beraktifitas	PART	V;SG;ACT
小	tiny	小	tiny	PART	PROPN
小	kecil	小	kecil	PART	ADJ;SG
小	mungil	小	mungil	PART	ADJ;SG
相似	serupa	相似	serupa	V	ADJ;SG
相似	mirip	相似	mirip	V	ADJ;SG
相似	kemiripan	相似	kemiripan	V	N;SG
相似	kesamaan	相似	kesamaan	V	N;SG
相似	kemiripan	相似	kemiripan	V	N;SG
區	zone	區	zone	N	PROPN
四	four	四	four	NUM	PROPN
道	dao	道	dao	PROPN	PROPN
將	will	將	will	V;CAUS	PROPN
將	akan	將	akan	V;CAUS	ADV
高	high	高	high	PROPN	PROPN
高	tinggi	高	tinggi	PROPN	ADJ;SG
高	tall	高	tall	PROPN	PROPN
高	jangkung	高	jangkung	PROPN	N
高	gao	高	gao	PROPN	PROPN
美國	amerika	美國	amerika	PROPN	PROPN;SG
美國	america	美國	america	PROPN	PROPN
集	tetapkan	集	tetapkan	N	V;SG;ACT
集	set	集	set	N	PROPN;SG
集	atur	集	atur	N	;ACT
台灣	taiwan	台灣	taiwan	PROPN	PROPN;SG
布	kain	布	kain		N;SG
世界	world	世界	world	N	PROPN
南	nan	南	nan	N	PROPN
南	south	南	south	N	PROPN
南	nam	南	nam	N	PROPN
路	road	路	road	N	PROPN
五	five	五	five	NUM	PROPN
本	ben	本	ben		PROPN
金	jin	金	jin	PROPN	N;SG
金	onde	金	onde	PROPN	PROPN
金	emas	金	emas	PROPN	N;SG
金	gold	金	gold	PROPN	PROPN
金	kim	金	kim	PROPN	PROPN
曾	zeng	曾	zeng	ADV	PROPN
文	wen	文	wen	N	PROPN
林	lincoln	林	lincoln	PROPN	PROPN
人民	people	人民	people	N	PROPN
包括	include	包括	include	V	PROPN
峰	peak	峰	peak	PROPN	PROPN
峰	puncak	峰	puncak	PROPN	N;SG
峰	puncak	峰	puncak	PROPN	N;SG
其他	lain	其他	lain	DET	ADJ;SG
其他	lainnya	其他	lainnya	DET	N
其他	lain	其他	lain	DET	ADJ;SG
其他	lainnya	其他	lainnya	DET	N
縣	county	縣	county	N	PROPN
縣	canton	縣	canton	N	PROPN
縣	kanton	縣	kanton	N	PROPN
第一	duluan	第一	duluan	NUM	
第一	dulu	第一	dulu	NUM	N
第一	first	第一	first	NUM	PROPN
任	ren	任	ren	N	PROPN
時間	time	時間	time	N	PROPN
比	rasio	比	rasio	ADP	N;SG
元	meta	元	meta	PROPN	N
元	yuan	元	yuan	PROPN	PROPN
元	dollar	元	dollar	PROPN	PROPN
元	dolar	元	dolar	PROPN	N;SG
元	won	元	won	PROPN	PROPN
元	dimenangkan	元	dimenangkan	PROPN	V;SG;PASS
元	menang	元	menang	PROPN	;SG
中國	tiongkok	中國	tiongkok	PROPN	PROPN
中國	china	中國	china	PROPN	PROPN
中國	jatim	中國	jatim	PROPN	PROPN
中國	cina	中國	cina	PROPN	PROPN;SG
六	six	六	six	NUM	PROPN
主要	major	主要	major	ADV	PROPN
主要	mayor	主要	mayor	ADV	PROPN
主要	jurusan	主要	jurusan	ADV	N;SG
主要	utama	主要	utama	ADV	ADJ;SG
城	city	城	city	N	PROPN
城	castle	城	castle	N	PROPN
法	metoda	法	metoda	PROPN	N;SG
法	method	法	method	PROPN	PROPN
法	metode	法	metode	PROPN	N;SG
中心	tengah	中心	tengah	N	PROPN;SG
中心	center	中心	center	N	PROPN
中心	tengah	中心	tengah	N	PROPN;SG
中心	centre	中心	centre	N	PROPN
線	garis	線	garis	N	PROPN;SG
線	lines	線	lines	N	PROPN
線	garis	線	garis	N	PROPN;SG
第二	detik	第二	detik	NUM	N;SG
第二	second	第二	second	NUM	PROPN
山	mountain	山	mountain	N	PROPN
山	mount	山	mount	N	PROPN
山	bukit	山	bukit	N	PROPN;SG
山	hill	山	hill	N	PROPN
加	tambah	加	tambah	ADP	
加	add	加	add	ADP	PROPN
加	tambahkan	加	tambahkan	ADP	V;SG;ACT
加	ditambah	加	ditambah	ADP	V;SG;PASS
加	plus	加	plus	ADP	PROPN
太空	space	太空	space	N	PROPN
自己	myself	自己	myself	PRO	PROPN
自己	diri	自己	diri	PRO	N;SG
張	chang	張	chang	PROPN	PROPN
張	zhang	張	zhang	PROPN	PROPN
內	inner	內	inner	N	PROPN
主	lord	主	lord	PART	PROPN
主	tuhan	主	tuhan	PART	N;SG
雷	sinar	雷	sinar	PROPN	N;SG
雷	ray	雷	ray	PROPN	PROPN
管理	management	管理	management	V	PROPN
管理	manajemen	管理	manajemen	V	N;SG
管理	pengelolaan	管理	penkelolaan	V	N;SG
管理	kelola	管理	kelola	V	PROPN;SG
建	bina	建	bina	V	PROPN;SG
建	build	建	build	V	PROPN
建	built	建	built	V	PROPN
性	seksual	性	seksual	N	ADJ;SG
性	sex	性	sex	N	PROPN
成	sung	成	sung	V	PROPN
那	lalu	那	lalu	PRO	CONJ;SG
那	maka	那	maka	PRO	CONJ
那	kemudian	那	kemudian	PRO	ADV
公里	km	公里	km	N	
海	samudera	海	samudera	N	PROPN;SG
海	samudra	海	samudra	N	PROPN;SG
海	ocean	海	ocean	N	PROPN
這	ini	這	ini	PRO	DET
大學	universitas	大學	universitas	N	PROPN;SG
大學	universitas	大學	universitas	N	PROPN;SG
大學	university	大學	university	N	PROPN
大學	college	大學	college	N	PROPN
大學	kampus	大學	kampus	N	PROPN;SG
羅	luo	羅	luo	PROPN	PROPN
原	asli	原	asli	PART	ADJ;SG
原	original	原	original	PART	PROPN
原	hara	原	hara	PART	N
工作	job	工作	job	N	PROPN
工作	ayub	工作	ayub	N	PROPN;SG
工作	bekerja	工作	bekerja	N	V;SG;ACT
工作	berfungsi	工作	berfungsi	N	V;SG;ACT
工作	bekerja	工作	bekerja	N	V;SG;ACT
北	kita	北	kita	N	PRO;PL;1
北	utara	北	utara	N	PROPN;SG
北	north	北	north	N	PROPN
星	star	星	star	N	PROPN
星	stars	星	stars	N	PROPN
她	she	她	she	PRO;3	PROPN
陳	chen	陳	chen	PROPN	PROPN
陳	chan	陳	chan	PROPN	PROPN
陳	tran	陳	tran	PROPN	PROPN
陳	trần	陳	trần	PROPN	PROPN
他	his	他	his	PRO;3	PROPN
面	mi	面	mi	N	
作品	bekerja	作品	bekerja	N	V;SG;ACT
作品	works	作品	works	N	PROPN
河	sungai	河	sungai	N	PROPN;SG
河	river	河	river	N	PROPN
馬	horse	馬	horse	N	PROPN
氏	clan	氏	clan	N	PROPN
氏	thi	氏	thi	N	PROPN
更	selengkapnya	更	selengkap	ADV	N;SG
更	lainnya	更	lainnya	ADV	N
曼	mann	曼	mann	PROPN	PROPN
電影	movie	電影	movie	N	PROPN
電影	cinema	電影	cinema	N	PROPN
電影	movies	電影	movies	N	PROPN
季	season	季	season	N	PROPN
季	seasons	季	seasons	N	PROPN
龍	dragons	龍	dragons	N	PROPN
龍	paru	龍	paru	N	PROPN;SG
龍	lung	龍	lung	N	PROPN
龍	dragon	龍	dragon	N	PROPN
女	woman	女	woman	N	PROPN
女	female	女	female	N	PROPN
正式	formal	正式	formal	ADV	ADJ
正式	formal	正式	formal	ADV	ADJ
外	luar	外	luar	N	ADJ;SG
外	diluar	外	diluar	N	ADP;SG;PASS
明	ming	明	ming	PROPN	PROPN
美	beautiful	美	beautiful	PROPN	PROPN
美	cantiknya	美	cantik	PROPN	N;SG
美	cantik	美	cantik	PROPN	ADJ;SG
美	indah	美	indah	PROPN	ADJ;SG
美	keindahan	美	keindahan	PROPN	N;SG
美	cantiknya	美	cantik	PROPN	N;SG
美	kecantikan	美	kecantikan	PROPN	N;SG
美	beauty	美	beauty	PROPN	PROPN
字	word	字	word	N	PROPN
字	firman	字	firman	N	PROPN;SG
因為	karena	因為	karena	ADP	CONJ
北京	beijing	北京	beijing	PROPN	PROPN
北京	peking	北京	peking	PROPN	PROPN
不同	berbeda	不同	berbeda	ADJ	V;SG;ACT
足球	soccer	足球	soccer	N	PROPN
足球	football	足球	football	N	PROPN
目前	current	目前	current	N	PROPN
目前	skrg	目前	skrg	N	PROPN
所有	all	所有	all	DET	PROPN
所有	aii	所有	aii	DET	PROPN
部分	parsial	部分	parsial	N	ADJ;SG
中央	central	中央	central	N	PROPN
中央	tengah	中央	tengah	N	PROPN;SG
中央	upt	中央	upt	N	PROPN
森	sen	森	sen	PROPN	
森	mori	森	mori	PROPN	PROPN
郡	county	郡	county	N	PROPN
國家	state	國家	state	N	PROPN
國家	gimn	國家	gimn	N	PROPN
國家	national	國家	national	N	PROPN
國家	nasional	國家	nasional	N	ADJ;SG
球	ball	球	ball	N	PROPN
生	mentah	生	mentah	N	PROPN;SG
生	baku	生	baku	N	ADJ;SG
生	raw	生	raw	N	PROPN
但是	tapi	但是	tapi	ADV	CONJ
但是	tetapi	但是	tetapi	ADV	CONJ
提供	asalkan	提供	asalkan	V	
城市	city	城市	city	N	PROPN
一些	some	一些	some	ADJ	PROPN
一些	beberapa	一些	beberapa	ADJ	DET
長	lama	長	lama	PART	ADJ;SG
長	panjang	長	panjang	PART	ADJ;SG
長	long	長	long	PART	PROPN
水	water	水	water	N	PROPN
人物	character	人物	character	N	PROPN
軍	army	軍	army	N	PROPN
加入	join	加入	join	V	PROPN
加入	aksesi	加入	aksesi	V	N;SG
英	ying	英	ying	PROPN	PROPN
上海	shanghai	上海	shanghai	PROPN	PROPN
史	shi	史	shi	N	PROPN
波	wave	波	wave	N	PROPN
波	gelombang	波	gelombang	N	PROPN;SG
波	ombak	波	ombak	N	PROPN
回	kembali	回	kembali	PROPN	V;SG;ACT
回	balik	回	balik	PROPN	N;SG;ACT
回	mundur	回	mundur	PROPN	V;SG;ACT
回	back	回	back	PROPN	PROPN
回	belakang	回	belakang	PROPN	N;SG
吉	kat	吉	kat	PROPN	PROPN
你	you	你	you	PRO;2	PROPN
方	fang	方	fang	N	PROPN
話	amoy	話	amoy	N	PROPN
東	east	東	east	N	PROPN
東	dong	東	dong	N	PROPN
英國	inggris	英國	inggris	PROPN	PROPN;SG
周	week	周	week	PROPN	PROPN
周	minggu	周	minggu	PROPN	N;SG
周	minggu	周	minggu	PROPN	N;SG
周	zhou	周	zhou	PROPN	PROPN
周	chow	周	chow	PROPN	PROPN
石	shi	石	shi	N	PROPN
石	stone	石	stone	N	PROPN
建立	pembuatan	建立	penbuatan	V	N;SG
建立	ciptaan	建立	ciptaan	V	N;SG
建立	penciptaan	建立	penciptaan	V	N;SG
建立	kreasi	建立	kreasi	V	N;SG;ACT
建立	pembentukan	建立	penbentukan	V	N;SG
建立	pendirian	建立	pendirian	V	N;SG
建立	bina	建立	bina	V	PROPN;SG
建立	build	建立	build	V	PROPN
生活	kehidupan	生活	kehidupan	V	N;SG
生活	life	生活	life	V	PROPN
生活	hidup	生活	hidup	V	N;SG
派	pai	派	pai	V;CAUS	PROPN
派	pie	派	pie	V;CAUS	PROPN
教育	mendidik	教育	mendidik	N	V;SG;ACT
之後	sesudah	之後	sesudah	N	CONJ
之後	after	之後	after	N	PROPN
之後	setelah	之後	setelah	N	ADP
萬	wan	萬	wan	PROPN	PROPN
國際	internasional	國際	internasional	N	ADJ;SG
完成	selesai	完成	selesai	V	ADV;SG
完成	finish	完成	finish	V	PROPN
完成	selesai	完成	selesai	V	ADV;SG
完成	beres	完成	beres	V	
完成	done	完成	done	V	PROPN
完成	komplit	完成	komplit	V	ADJ;SG
完成	lengkap	完成	lengkap	V	ADJ;SG
白	white	白	white	N	PROPN
白	putih	白	putih	N	ADJ;SG
白	bai	白	bai	N	PROPN
音樂	music	音樂	music	N	PROPN
音樂	musical	音樂	musical	N	PROPN
沙	sha	沙	sha	PROPN	
沙	sand	沙	sand	PROPN	PROPN
沙	pasir	沙	pasir	PROPN	PROPN;SG
沙	papak	沙	papak	PROPN	N
沙	shah	沙	shah	PROPN	PROPN
沙	syah	沙	syah	PROPN	PROPN
可能	mungkin	可能	mungkin	N	ADV
可能	dimungkinkan	可能	dimungkinkan	N	V;SG;ACT
分布	distribusi	分布	distribusi	V	N;SG
分布	distribusi	分布	distribusi	V	N;SG
車	car	車	car	N	PROPN
車	cars	車	cars	N	PROPN
官	officer	官	officer	N	PROPN
梅	may	梅	may	PROPN	PROPN
梅	mei	梅	mei	PROPN	PROPN;SG
梅	mei	梅	mei	PROPN	PROPN;SG
中文	china	中文	china	N	PROPN
中文	cina	中文	cina	N	PROPN;SG
自由	freedom	自由	freedom	N	PROPN
自由	liberty	自由	liberty	N	PROPN
自由	bebas	自由	bebas	N	ADJ;SG
自由	free	自由	free	N	PROPN
黃	wong	黃	wong	PROPN	PROPN
黃	hwang	黃	hwang	PROPN	PROPN
黃	huang	黃	huang	PROPN	PROPN
黃	kuning	黃	kuning	PROPN	N;SG
光	light	光	light	N	PROPN
光	terang	光	terang	N	ADJ;SG
光	ringan	光	ringan	N	ADJ;SG
光	hikari	光	hikari	N	PROPN
重要	pentingnya	重要	penting	ADJ	N;SG
重要	jga	重要	jga	ADJ	PROPN
工程	bekerja	工程	bekerja	N	V;SG;ACT
工程	works	工程	works	N	PROPN
港	harbor	港	harbor	PROPN	PROPN
港	pelabuhan	港	penlabuhan	PROPN	N;SG
港	pelabuhan	港	penlabuhan	PROPN	N;SG
港	dermaga	港	dermaga	PROPN	N;SG
港	port	港	port	PROPN	PROPN
港	pelabuhan	港	penlabuhan	PROPN	N;SG
港	harbour	港	harbour	PROPN	PROPN
列	kolom	列	kolom	V	N;SG
段	duan	段	duan	N	PROPN
最後	last	最後	last	N	PROPN
最後	terakhir	最後	terakhir	N	ADJ;RL;SG
提交	pengiriman	提交	penkiriman	V	N;SG
提交	pengajuan	提交	penajuan	V	N;SG
提交	penyerahan	提交	penserahan	V	N;SG
提交	ajukan	提交	ajukan	V	N;SG
提交	pengajuan	提交	penajuan	V	N;SG
經	sutra	經	sutra	ADP	N
需要	perlukan	需要	perlukan	V	N;SG
需要	kebutuhan	需要	kebutuhan	V	N;SG
需要	need	需要	need	V	PROPN
需要	kebutuhan	需要	kebutuhan	V	N;SG
江	sungai	江	sungai	PROPN	PROPN;SG
江	river	江	river	PROPN	PROPN
江	jiang	江	jiang	PROPN	PROPN
臺灣	taiwan	臺灣	taiwan	PROPN	PROPN;SG
臺灣	taiwan	臺灣	taiwan	PROPN	PROPN;SG
泰	tae	泰	tae	PROPN	PROPN
泰	tai	泰	tai	PROPN	PROPN
地方	tempatkan	地方	tempatkan	N	V;SG;ACT
地方	place	地方	place	N	PROPN
系列	series	系列	series	N	PROPN
電視	television	電視	television	N	PROPN
登	deng	登	deng	N	
黑	dark	黑	dark	N	PROPN
黑	gelap	黑	gelap	N	ADJ;SG
黑	hitam	黑	hitam	N	ADJ;SG
黑	black	黑	black	N	PROPN
花	flower	花	flower	N	PROPN
神	god	神	god	N	PROPN
神	allah	神	allah	N	PROPN;SG
遊戲	games	遊戲	games	N	PROPN
宗	zong	宗	zong	PROPN	PROPN
清	qing	清	qing	PROPN	PROPN
最高	puncak	最高	puncak	ADJ	N;SG
最高	supreme	最高	supreme	ADJ	PROPN
要求	persyaratan	要求	persyaratan	V	N;SG
要求	persyaratan	要求	persyaratan	V	N;SG
要求	tuntutan	要求	tuntutan	V	N;SG
要求	request	要求	request	V	PROPN
要求	permintaan	要求	permintaan	V	N;SG
要求	permintaan	要求	permintaan	V	N;SG
要求	demand	要求	demand	V	PROPN
要求	permintaan	要求	permintaan	V	N;SG
讓	jean	讓	jean	V;CAUS	PROPN
讓	biarkan	讓	biarkan	V;CAUS	;ACT
讓	biarlah	讓	biar	V;CAUS	V;SG;ACT
讓	let	讓	let	V;CAUS	PROPN
發現	temuan	發現	temuan	V	N;SG
發現	penemuan	發現	pentemuan	V	N;SG
發現	discovery	發現	discovery	V	PROPN
只有	only	只有	only	ADP	PROPN
只有	saja	只有	saja	ADP	ADV
只有	hanya	只有	hanya	ADP	ADV
最大	max	最大	max	ADJ	
最大	maks	最大	maks	ADJ	PROPN
華	hua	華	hua	PROPN	PROPN
華	wah	華	wah	PROPN	PROPN
製作	production	製作	production	V	PROPN
製作	produksi	製作	produksi	V	N;SG
製作	productions	製作	productions	V	PROPN
出生	born	出生	born	V	PROPN
出生	kelahiran	出生	kelahiran	V	N;SG
朱	zhu	朱	zhu	PROPN	PROPN
朱	joo	朱	joo	PROPN	PROPN
航空	aviation	航空	aviation	N	PROPN
航空	aero	航空	aero	N	PROPN
航空	airline	航空	airline	N	PROPN
數	hitunglah	數	hitung	N	V;SG;ACT
數	hitung	數	hitung	N	PROPN;SG;ACT
數	cacah	數	cacah	N	PROPN;SG
數	nomer	數	nomer	N	PROPN;SG
出版	penerbit	出版	penterbit	V	N;SG
出版	terbitan	出版	terbitan	V	N;SG
出版	penerbitan	出版	penterbitan	V	N;SG
出版	publikasi	出版	publikasi	V	N
出版	publikasi	出版	publikasi	V	N
出版	penerbitan	出版	penterbitan	V	N;SG
出版	terbitan	出版	terbitan	V	N;SG
發展	pengembangan	發展	penkembangan	V	N;SG
發展	perkembangan	發展	perkembangan	V	N;SG
發展	pembangunan	發展	penbangunan	V	N;SG
成功	sukses	成功	sukses	N	ADJ;SG
成功	berhasil	成功	berhasil	N	V;SG
成功	sukses	成功	sukses	N	ADJ;SG
成功	berhasil	成功	berhasil	N	V;SG
堡	fort	堡	fort	N	PROPN
系統	systems	系統	systems	N	PROPN
蘭	lan	蘭	lan	PROPN	PROPN
劉	yoo	劉	yoo	PROPN	PROPN
劉	liu	劉	liu	PROPN	PROPN
劉	lau	劉	lau	PROPN	PROPN
班	skuad	班	skuad	PROPN	N;SG
班	squad	班	squad	PROPN	N
班	regu	班	regu	PROPN	N;SG
班	pasukan	班	pasukan	PROPN	N;SG
冠軍	champ	冠軍	champ	N	PROPN
問題	problem	問題	problem	N	PROPN
康	kang	康	kang	PROPN	PROPN
福	fuk	福	fuk	PROPN	PROPN
島	pulau	島	pulau	PROPN	N;SG
島	island	島	island	PROPN	PROPN
島	isle	島	isle	PROPN	PROPN
方式	method	方式	method	N	PROPN
請	harap	請	harap	V	
請	tolong	請	tolong	V	
請	silakan	請	silakan	V	
請	silahkan	請	silahkan	V	
名稱	names	名稱	names	N	PROPN
名稱	mamang	名稱	mamang	N	PROPN
愛	rpp	愛	rpp	V	N;SG
愛	love	愛	love	V	PROPN
愛	cinta	愛	cinta	V	N;SG
平	flat	平	flat		PROPN
平	rata	平	rata		ADJ;SG
平	datar	平	datar		N;SG
平	ping	平	ping		PROPN
印度	india	印度	india	PROPN	PROPN
存在	keberadaan	存在	keberadaan	V	N;SG
存在	keberadaannya	存在	keberadaan	V	N;SG
存在	eksistensi	存在	eksistensi	V	N
存在	kehadirannya	存在	kehadiran	V	N;SG
存在	kehadiran	存在	kehadiran	V	N;SG
刪除	penghapusan	刪除	penhapusan	V	N;SG
刪除	buang	刪除	buang	V	PROPN;SG;ACT
刪除	hapus	刪除	hapus	V	PROPN;SG
刪除	hapus	刪除	hapus	V	PROPN;SG
刪除	delete	刪除	delete	V	PROPN
設計	desain	設計	desain	V	N;SG
設計	disain	設計	disain	V	N;SG
設計	design	設計	design	V	N;SG
設計	desain	設計	desain	V	N;SG
卡特	carter	卡特	carter	PROPN	PROPN
群	kelompokkan	群	kelompokkan	N	V;SG;ACT
命名	penamaan	命名	pennamaan	V	N;SG
服務	servis	服務	servis	V	PROPN;SG
服務	pelayanan	服務	penlayanan	V	N;SG
服務	layanan	服務	layanan	V	N;SG
服務	jasa	服務	jasa	V	N;SG
服務	service	服務	service	V	PROPN
服務	jasa	服務	jasa	V	N;SG
服務	layanan	服務	layanan	V	N;SG
服務	servis	服務	servis	V	PROPN;SG
服務	pelayanan	服務	penlayanan	V	N;SG
任何	sembarang	任何	sembarang	DET	N
任何	any	任何	any	DET	PROPN
列表	daftar	列表	daftar		N;SG
列表	list	列表	list		N
唐	tang	唐	tang	PROPN	PROPN
唐	don	唐	don	PROPN	PROPN
西班牙	spanyol	西班牙	spanyol	PROPN	PROPN;SG
兩	two	兩	two	NUM	PROPN
當	kapan	當	kapan	ADP	PRO
當	saat	當	saat	ADP	N;SG
當	apabila	當	apabila	ADP	CONJ
當	ketika	當	ketika	ADP	CONJ
超	ultra	超	ultra	PART	PROPN
超	super	超	super	PART	PROPN
丁	ding	丁	ding	PROPN	PROPN
夏	xia	夏	xia	PROPN	PROPN
以上	diatas	以上	diatas	DET	ADP;SG;PASS
著名	famous	著名	famous	ADJ	PROPN
聖	santo	聖	santo	PROPN	PROPN
聖	saint	聖	saint	PROPN	PROPN
志	zhi	志	zhi	N	PROPN
志	chi	志	chi	N	PROPN;SG;ACT
志	khi	志	khi	N	PROPN
梁	beam	梁	beam	PROPN	PROPN
梁	balok	梁	balok	PROPN	PROPN;SG
梁	sinar	梁	sinar	PROPN	N;SG
梁	leung	梁	leung	PROPN	PROPN
梁	liang	梁	liang	PROPN	N
梁	balok	梁	balok	PROPN	PROPN;SG
角色	character	角色	character	N	PROPN
武	takeshi	武	takeshi	N	PROPN
赫	hyuk	赫	hyuk	PROPN	PROPN
半	separuh	半	separuh	PART	ADJ;SG
半	setengahnya	半	setengah	PART	N;SG
半	half	半	half	PART	PROPN
半	setengah	半	setengah	PART	ADJ;SG
成員	member	成員	menber	N	
東京	tokyo	東京	tokyo	PROPN	PROPN
新聞	news	新聞	news	N	
現在	sekarang	現在	sekarang	N	ADV
現在	now	現在	now	N	PROPN
後來	kemudian	後來	kemudian	N	ADV
後來	nanti	後來	nanti	N	
女性	female	女性	female	N	PROPN
女性	women	女性	women	N	PROPN
高度	tinggi	高度	tinggi	N	ADJ;SG
說	say	說	say	V	PROPN
男	male	男	male	N	PROPN
之前	sebelum	之前	sebelum	N	ADP
之前	sebelumnya	之前	sebelumnya	N	ADV
之前	before	之前	before	N	PROPN
合作	kolaborasi	合作	kolaborasi	V	N;SG
合作	kerjasama	合作	kerjasama	V	N;SG
門	gate	門	gate	N	PROPN
門	door	門	door	N	PROPN
門	doors	門	doors	N	PROPN
卷	roll	卷	roll	N	PROPN
卷	rolls	卷	rolls	N	PROPN
活動	aktivitas	活動	aktivitas	N	PROPN;SG
活動	aktivitas	活動	aktivitas	N	PROPN;SG
只	only	只	only	ADV	PROPN
歷史	history	歷史	history	N	PROPN
歌曲	songs	歌曲	songs	N	PROPN
歌曲	song	歌曲	song	N	PROPN
點	dots	點	dots	N	PROPN
點	dot	點	dot	N	PROPN
一	once	一	once	NUM	PROPN
一	sekali	一	sekali	NUM	ADV
植物	plant	植物	plant	N	PROPN
封	feng	封	feng	V	PROPN;SG
封	segel	封	segel	V	N;SG
封	meterai	封	meterai	V	N;SG
封	seal	封	seal	V	PROPN
皮	leather	皮	leather	N	PROPN
而且	dan	而且	dan	ADV	CONJ
通常	normalnya	通常	normal	ADV	N;SG
形成	pembentukan	形成	penbentukan	V	N;SG
形成	formasi	形成	formasi	V	N;SG
比賽	race	比賽	race	N	PROPN
比賽	contest	比賽	contest	N	PROPN
聯賽	league	聯賽	league	N	PROPN
九	sembilan	九	sembilan		NUM
九	nine	九	nine		PROPN
完全	seutuhnya	完全	seutuh	ADV	N;SG
信	letters	信	letters	N	PROPN
信	letter	信	letter	N	PROPN
接受	kepasrahan	接受	kepasrahan	V	N;SG
接受	penerimaan	接受	penterimaan	V	N;SG
接受	terima	接受	terrima	V	N;SG;ACT
書	book	書	book	N	PROPN
交通	transport	交通	transport	N	PROPN
木	wood	木	wood	N	PROPN
討論	diskusi	討論	diskusi	V	N;SG
故事	story	故事	story	N	PROPN
故事	stories	故事	stories	N	PROPN
直接	direct	直接	direct	ADV	PROPN
參與	keterlibatan	參與	keterlibatan	V	N;SG
參與	engagement	參與	engagement	V	PROPN
參與	pertunangan	參與	pertunangan	V	N;SG
參與	interaksi	參與	interaksi	V	N;SG
參與	keterlibatan	參與	keterlibatan	V	N;SG
參與	keterlibatannya	參與	keterlibatan	V	N;SG
參與	partisipasi	參與	partisipasi	V	N;SG
朗	lang	朗	lang		PROPN
朗	lon	朗	lon		PROPN
根	root	根	root	PROPN	PROPN
根	akar	根	akar	PROPN	N;SG
根	akar	根	akar	PROPN	N;SG
保留	reservasi	保留	reservasi	V	PROPN
保留	pemesanan	保留	penpesanan	V	N;SG
保留	reservasi	保留	reservasi	V	PROPN
保留	pemesanan	保留	penpesanan	V	N;SG
希望	harapan	希望	harapan	V	N;SG
希望	asa	希望	asa	V	PROPN;SG
希望	hope	希望	hope	V	PROPN
手	hand	手	hand	N	PROPN
手	hands	手	hands	N	PROPN
心	heart	心	heart	N	PROPN
心	hearts	心	hearts	N	PROPN
心	kalbu	心	kalbu	N	PROPN;SG
