और	un	और	un		CONJ
जो	kurš	जो	kurš	PRO;NOM;SG;3	PRO;NOM;MASC;SG
ही	hee	ही	hee	PART	
कर	nodokļi	कर	nodoklis	V;ACT	N;NOM;MASC;PL
कर	nodoklis	कर	nodoklis	V;ACT	N;NOM;MASC;SG
कर	nodokļi	कर	nodoklis	V;ACT	N;NOM;MASC;PL
नहीं	nav	नहीं	nebūt	PART;NEG	V;FH;IND;3;NEG;PRS;FIN;ACT
साथ	gar	साथ	gar	ADV;NOM;MASC;SG;3	ADP
साथ	ar	साथ	ar	ADV;NOM;MASC;SG;3	ADP
पूर्व	austrumos	पूर्व	austrumi	ADV;NOM;MASC;SG;3	N;ESS;MASC
पूर्व	austrumu	पूर्व	austrumi	ADV;NOM;MASC;SG;3	N;GEN;MASC
पूर्व	austrumi	पूर्व	austrumi	ADV;NOM;MASC;SG;3	N;NOM;MASC
पूर्व	bijusī	पूर्व	būt	ADV;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
पूर्व	bijušie	पूर्व	būt	ADV;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
पूर्व	bijušais	पूर्व	bijušais	ADV;NOM;MASC;SG;3	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
होता	būtu	हो	būt	V;IPFV;MASC;SG;V.PTCP;ACT	V;COND;POS;FIN;ACT
बाद	vēlākā	बाद	vēla	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;FEM;SG
बाद	pēc	बाद	pēc	ADV;NOM;MASC;SG;3	ADP
तक	līdz	तक	līdz	CONJ	ADV
तक	tak	तक	tak	CONJ	
अपने	paša	अपना	pats	PRO;NOM;MASC	PRO;NOM;MASC;SG
अपने	pašu	अपना	pats	PRO;NOM;MASC	PRO;ACC;MASC;SG
अपने	tavu	अपना	tava	PRO;NOM;MASC	PRO;ACC;SG;3
अपने	jūsu	अपना	jūs	PRO;NOM;MASC	PRO;GEN;PL;2
जिले	apgabali	जिला	apgabali	N;NOM;MASC;SG;3	N;NOM;MASC;PL
जिले	rajoni	जिला	rajons	N;NOM;MASC;SG;3	N;NOM;MASC;PL
था	bija	था	būt	V;MASC;IND;SG;PST;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
था	bija	था	būt	V;MASC;IND;SG;PST;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
राज्य	valstis	राज्य	valsts	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बाहरी	āra	बाहरी	āra	ADJ;NOM	N
बाहरी	sportot	बाहरी	sportot	ADJ;NOM	V;POS;NFIN
कुछ	dažas	कुछ	daža	DET	PRO;NOM;FEM;PL
कुछ	dažiem	कुछ	dažs	DET	PRO;DAT;MASC;PL
कुछ	daži	कुछ	dažs	DET	PRO;NOM;MASC;PL
कुछ	kautkas	कुछ	kautka	DET	N;NOM;MASC;SG
गाँव	ciema	गाँव	ciems	N;NOM;MASC;PL;3	N;GEN;MASC;SG
गाँव	ciemata	गाँव	ciemats	N;NOM;MASC;PL;3	N;GEN;MASC;SG
गाँव	ciems	गाँव	ciems	N;NOM;MASC;PL;3	N;NOM;MASC;SG
गाँव	ciematu	गाँव	ciemats	N;NOM;MASC;PL;3	N;ACC;MASC;SG
गाँव	ciemu	गाँव	ciems	N;NOM;MASC;PL;3	N;ACC;MASC;SG
गाँव	ciemats	गाँव	ciemats	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सरकार	biedējoši	सरकार	biedēt	N;NOM;FEM;SG;3	ADV
सरकार	valdības	सरकार	valdība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
कड़ियाँ	ķēdēm	कड़ी	ķēde	N;NOM;FEM;PL;3	N;DAT;FEM;PL
कड़ियाँ	ķēdēs	कड़ी	ķēde	N;NOM;FEM;PL;3	N;ESS;FEM;PL
कड़ियाँ	links	कड़ी	links	N;NOM;FEM;PL;3	N;NOM;MASC;SG
इसके	tās	यह	tā	PRO;MASC;SG;3	PRO;NOM;FEM;PL
दिया	dotas	दे	doties	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
अन्य	pārējie	अन्य	pārējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
अन्य	citi	अन्य	cits	N;NOM;MASC;SG;3	PRO;NOM;MASC;PL
अन्य	cits	अन्य	cits	N;NOM;MASC;SG;3	PRO;NOM;MASC;SG
अन्य	citādi	अन्य	citādi	N;NOM;MASC;SG;3	ADV
अन्य	citas	अन्य	cita	N;NOM;MASC;SG;3	PRO;NOM;FEM;PL
अन्य	citas	अन्य	cita	N;NOM;MASC;SG;3	PRO;NOM;FEM;PL
अन्य	citi	अन्य	cits	N;NOM;MASC;SG;3	PRO;NOM;MASC;PL
अन्य	pārējie	अन्य	pārējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
वर्ष	gadus	वर्ष	gads	N;NOM;MASC;SG;3	N;ACC;MASC;PL
वर्ष	gadi	वर्ष	gads	N;NOM;MASC;SG;3	N;NOM;MASC;PL
वर्ष	gadiem	वर्ष	gads	N;NOM;MASC;SG;3	N;DAT;MASC;PL
वर्ष	gadu	वर्ष	gads	N;NOM;MASC;SG;3	N;ACC;MASC;SG
समय	laika	समय	laiks	N;NOM;MASC;SG;3	N;GEN;MASC;SG
वे	viņi	वह	viņš	PRO;NOM;SG;3	PRO;NOM;MASC;PL;3
वे	tie	वह	tas	PRO;NOM;SG;3	PRO;NOM;MASC;PL
वे	tās	वह	tā	PRO;NOM;SG;3	PRO;NOM;FEM;PL
प्रकार	tipi	प्रकार	tips	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रकार	veidi	प्रकार	veids	N;NOM;MASC;SG;3	N;NOM;MASC;PL
भारतीय	indiešu	भारतीय	indietis	PROPN;NOM;SG;3	N;GEN;MASC;PL
भारतीय	indijas	भारतीय	indija	PROPN;NOM;SG;3	PROPN;NOM;FEM;PL
किसी	kāds	कोई	kāds	PRO;ACC;SG;3	PRO;NOM;MASC;SG
किसी	kādam	कोई	kāds	PRO;ACC;SG;3	PRO;DAT;MASC;SG
क्षेत्र	jomas	क्षेत्र	joma	N;NOM;MASC;SG;3	N;NOM;FEM;PL
क्षेत्र	apgabali	क्षेत्र	apgabali	N;NOM;MASC;SG;3	N;NOM;MASC;PL
क्षेत्र	teritorijas	क्षेत्र	teritorija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
क्षेत्र	platības	क्षेत्र	platība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अधिक	vairāk	अधिक	daudz	DET	ADV;CMPR
अधिक	vairak	अधिक	vairāk	DET	
कई	daudziem	कई	daudzi	DET	PRO;DAT;MASC;PL
कई	daudz	कई	daudz	DET	ADV
कई	daudzi	कई	daudzi	DET	PRO;NOM;MASC;PL
कई	daudzus	कई	daudzi	DET	PRO;ACC;MASC;PL
कई	daudzas	कई	daudzas	DET	PRO;NOM;FEM;PL
कई	vairākas	कई	vairākas	DET	PRO;NOM;FEM;PL
कई	vairāki	कई	vairāki	DET	PRO;NOM;MASC;PL
स्थित	atrodas	स्थित	atrasties	ADJ	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
मण्डल	zona	मण्डल	zons	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
आधिकारिक	amatpersona	आधिकारिक	amatpersons	ADJ	N;NOM;FEM;SG
आधिकारिक	ierēdnis	आधिकारिक	ierēdnis	ADJ	N;NOM;MASC;SG
कारण	iemesli	कारण	iemesls	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	izraisīt	कारण	izraisīt	N;NOM;MASC;SG;3	V;POS;NFIN
कारण	cēloņi	कारण	cēlonis	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	iemesli	कारण	iemesls	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	cēloņus	कारण	cēlonis	N;NOM;MASC;SG;3	N;ACC;MASC;PL
होने	tiek	हो	tikt	V;MASC;NFIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
जैसे	patīk	जैसे	patikt	CONJ	V;FH;IND;3;POS;PRS;FIN;ACT
जैसे	like	जैसे	like	CONJ	
उनके	viņu	वह	viņš	PRO;MASC;SG;3;FORM	PRO;ACC;MASC;SG;3
उनके	viņiem	वह	viņš	PRO;MASC;SG;3;FORM	PRO;DAT;MASC;PL;3
सबसे	vairums	सबसे	vairums	ADJ;NOM	N;NOM;MASC;SG
सबसे	visvairāk	सबसे	visvairāk	ADJ;NOM	ADV;RL
हिन्दी	hindi	हिन्दी	hinde	PROPN;NOM;FEM;SG;3	
बहुत	ļoti	बहुत	ļoti	DET	ADV
बहुत	loti	बहुत	loti	DET	ADV
पहले	pirms	पहले	pirms	ADV;NOM;MASC;SG;3	ADP
पहले	pirmais	पहले	pirmais	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
पहले	pirmā	पहले	pirmā	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
पहले	pirmās	पहले	pirmā	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;PL
पहले	pirmie	पहले	pirmais	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;PL
पहले	pirma	पहले	pirma	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अपनी	paša	अपना	pats	PRO;NOM;FEM	PRO;NOM;MASC;SG
अपनी	pašu	अपना	pats	PRO;NOM;FEM	PRO;ACC;MASC;SG
जब	kad	जब	kad	PRO;NOM	ADV
उन्होंने	viņi	वह	viņš	PRO;SG;3;FORM	PRO;NOM;MASC;PL;3
उन्होंने	tie	वह	tas	PRO;SG;3;FORM	PRO;NOM;MASC;PL
उन्होंने	tās	वह	tā	PRO;SG;3;FORM	PRO;NOM;FEM;PL
उन्होंने	ēģiptieši	वह	ēģiptietis	PRO;SG;3;FORM	N;NOM;MASC;PL
जन्म	dzimuši	जन्म	dzimt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
जन्म	dzimis	जन्म	dzimt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
जन्म	dzimusi	जन्म	dzimt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
जन्म	dzemdības	जन्म	dzemdība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कोई	jebkuru	कोई	jebkurš	PRO;NOM;SG;3	PRO;ACC;MASC;SG
कोई	jebkura	कोई	jebkura	PRO;NOM;SG;3	PRO;NOM;FEM;SG
कोई	jebkurš	कोई	jebkurš	PRO;NOM;SG;3	PRO;NOM;MASC;SG
इन	snn	यह	snn	DET;ACC;PL;3	N
इन	inn	यह	inn	DET;ACC;PL;3	
ये	šī	यह	šī	PRO;NOM;PL;3	PRO;NOM;FEM;SG
ये	šo	यह	šis	PRO;NOM;PL;3	PRO;ACC;MASC;SG
ये	šis	यह	šis	PRO;NOM;PL;3	PRO;NOM;MASC;SG
ये	tas	यह	tas	PRO;NOM;PL;3	PRO;NOM;MASC;SG
ये	šīs	यह	šī	PRO;NOM;PL;3	PRO;NOM;FEM;PL
ये	šie	यह	šis	PRO;NOM;PL;3	PRO;NOM;MASC;PL
कम	zema	कम	zema	DET	ADJ;NOM;FEM;SG
कम	zemā	कम	zems	DET	ADJ;NOM;FEM;SG
कम	mazs	कम	mazs	DET	ADJ;NOM;MASC;SG
कम	zems	कम	zems	DET	ADJ;NOM;MASC;SG
कम	mazāk	कम	mazi	DET	ADV;CMPR
लोग	tauta	लोग	tauta	N;NOM;MASC;PL;3	N;NOM;FEM;SG
लोग	cilvēkiem	लोग	cilvēks	N;NOM;MASC;PL;3	N;DAT;MASC;PL
आदि	etc	आदि	etc	PART	
आदि	utt	आदि	utt.	PART	
आदि	vairāk	आदि	daudz	PART	ADV;CMPR
आदि	vairak	आदि	vairāk	PART	
आदि	adi	आदि	adīt	PART	
उसके	viņa	वह	viņa	PRO;MASC;SG;3	PRO;NOM;FEM;SG;3
उसके	viņai	वह	viņa	PRO;MASC;SG;3	PRO;DAT;FEM;SG;3
उसके	viņas	वह	viņa	PRO;MASC;SG;3	PRO;NOM;FEM;PL;3
देखें	pulkstenis	देख	pulkstenis	V;SBJV;PL;FIN;ACT	N;NOM;MASC;SG
देखें	skaties	देख	skatīties	V;SBJV;PL;FIN;ACT	V;IMP;SG;2;POS;REFL;FIN;ACT
देखें	redz	देख	redzēt	V;SBJV;PL;FIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
देखें	skats	देख	skats	V;SBJV;PL;FIN;ACT	N;NOM;MASC;SG
उत्तर	atbildēt	उत्तर	atbildēt	PROPN;NOM;MASC;SG;3	V;POS;NFIN
उत्तर	atbildi	उत्तर	atbilde	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
उत्तर	atbilde	उत्तर	atbilde	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्तर	ziemeļi	उत्तर	ziemelis	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
उत्तर	ziemeļos	उत्तर	ziemelis	PROPN;NOM;MASC;SG;3	N;ESS;MASC;PL
उत्तर	ziemeļu	उत्तर	ziemelis	PROPN;NOM;MASC;SG;3	N;GEN;MASC;PL
उत्तर	atbildes	उत्तर	atbilde	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
भाषा	valodas	भाषा	valoda	N;NOM;FEM;SG;3	N;NOM;FEM;PL
लिये	par	ले	par	V;PFV;MASC;SG;V.PTCP;ACT	
लिये	priekš	ले	priekš	V;PFV;MASC;SG;V.PTCP;ACT	ADP
लिये	for	ले	for	V;PFV;MASC;SG;V.PTCP;ACT	
सभी	visiem	सब	viss	PRO;NOM;3	PRO;DAT;MASC;PL
सभी	visu	सब	viss	PRO;NOM;3	PRO;ACC;MASC;SG
सभी	visas	सब	visa	PRO;NOM;3	PRO;NOM;FEM;PL
सभी	visi	सब	viss	PRO;NOM;3	PRO;NOM;MASC;PL
सभी	visa	सब	viss	PRO;NOM;3	PRO;NOM;FEM;SG
प्राप्त	iegūtie	प्राप्त	iegūt	ADJ	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
प्राप्त	iegūti	प्राप्त	iegūt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
प्राप्त	iegūta	प्राप्त	iegūt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
प्राप्त	iegūts	प्राप्त	iegūt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
प्राप्त	iegūtā	प्राप्त	iegūt	ADJ	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
प्राप्त	saņemts	प्राप्त	saņemt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
प्राप्त	saņemtas	प्राप्त	saņemt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
प्राप्त	saņemtās	प्राप्त	saņemt	ADJ	V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
प्राप्त	saņemti	प्राप्त	saņemt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
प्राप्त	saņēma	प्राप्त	saņemt	ADJ	V;FH;IND;3;POS;PST;FIN;ACT
प्राप्त	saņemt	प्राप्त	saņemt	ADJ	V;POS;NFIN
प्राप्त	saņem	प्राप्त	saņemt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
इसका	tās	यह	tā	PRO;MASC;SG;3	PRO;NOM;FEM;PL
प्रयोग	eksperimentos	प्रयोग	eksperiments	N;NOM;MASC;SG;3	N;ESS;MASC;PL
प्रयोग	izmēģinājumi	प्रयोग	izmēģinājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रयोग	eksperimenti	प्रयोग	eksperiments	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रयोग	eksperimentu	प्रयोग	eksperiments	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रयोग	eksperimentā	प्रयोग	eksperiments	N;NOM;MASC;SG;3	N;ESS;MASC;SG
प्रयोग	eksperimenta	प्रयोग	eksperiments	N;NOM;MASC;SG;3	N;GEN;MASC;SG
शामिल	iesaistītas	शामिल	iesaistīt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
शामिल	iesaistīts	शामिल	iesaistīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
शामिल	iesaistīta	शामिल	iesaistīt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
शामिल	ietilpst	शामिल	ietilpt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
शामिल	ietver	शामिल	ietvert	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
शामिल	iekļāva	शामिल	iekļaut	ADJ	V;FH;IND;3;POS;PST;FIN;ACT
शामिल	iekļauta	शामिल	iekļaut	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
शामिल	iekļauti	शामिल	iekļaut	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
शामिल	iekļautas	शामिल	iekļaut	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
शामिल	iekļauts	शामिल	iekļaut	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
शामिल	iekļaut	शामिल	iekļaut	ADJ	V;POS;NFIN
शामिल	ietvert	शामिल	ietvert	ADJ	V;POS;NFIN
शामिल	ietver	शामिल	ietvert	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
उन्हें	viņiem	वह	viņš	PRO;SG;3;FORM	PRO;DAT;MASC;PL;3
उस	ka	वह	ka	DET;ACC;SG;3	
उस	tas	वह	tas	DET;ACC;SG;3	PRO;NOM;MASC;SG
स्थान	vietām	स्थान	vieta	N;NOM;MASC;SG;3	N;DAT;FEM;PL
स्थान	vietas	स्थान	vieta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्थान	vietas	स्थान	vieta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रमुख	galvenais	प्रमुख	galvenais	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
प्रमुख	galvenās	प्रमुख	galvenā	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
प्रमुख	galvenā	प्रमुख	galvenā	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	pludmale	बीच	pludmale	ADV;NOM;MASC;SG;3	N;NOM;FEM;SG
बीच	pludmales	बीच	pludmale	ADV;NOM;MASC;SG;3	N;NOM;FEM;PL
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	
बीच	centrs	बीच	centrs	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
बीच	centrā	बीच	centrs	ADV;NOM;MASC;SG;3	N;ESS;MASC;SG
गए	prom	जा	prom	V;PFV;MASC;PL;V.PTCP;ACT	ADV
मुख्य	priekšnieks	मुख्य	priekšnieks	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मुख्य	galvenais	मुख्य	galvenais	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मुख्य	galvenās	मुख्य	galvenā	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
मुख्य	galvenā	मुख्य	galvenā	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
थी	bija	था	būt	V;FEM;IND;SG;PST;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
बिहार	biharas	बिहार	bihara	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
उसे	viņam	वह	viņš	PRO;SG;3	PRO;DAT;MASC;SG;3
उसे	viņu	वह	viņš	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	viņai	वह	viņa	PRO;SG;3	PRO;DAT;FEM;SG;3
उसे	viņas	वह	viņa	PRO;SG;3	PRO;NOM;FEM;PL;3
कार्य	uzdevumi	कार्य	uzdevums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कार्य	darbi	कार्य	darbs	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कार्य	darbavietas	कार्य	darbavieta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्य	uzdevumu	कार्य	uzdevums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
उनकी	viņu	वह	viņš	PRO;FEM;SG;3;FORM	PRO;ACC;MASC;SG;3
आंध्र	andra	आंध्र	andrs	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
उपयोग	lietot	उपयोग	lietot	N;NOM;MASC;SG;3	V;POS;NFIN
उपयोग	izlietot	उपयोग	izlietot	N;NOM;MASC;SG;3	V;POS;NFIN
उपयोग	lietojumi	उपयोग	lietojums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
लोगों	cilveki	लोग	cilveks	N;ACC;MASC;PL;3	N;NOM;MASC;PL
लोगों	cilvēki	लोग	cilvēks	N;ACC;MASC;PL;3	N;NOM;MASC;PL
लोगों	tauta	लोग	tauta	N;ACC;MASC;PL;3	N;NOM;FEM;SG
लोगों	cilvēkiem	लोग	cilvēks	N;ACC;MASC;PL;3	N;DAT;MASC;PL
आधार	priekšnoteikumu	आधार	priekšnoteikums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
जीवन	dzīvi	जीवन	dzīve	N;NOM;MASC;SG;3	N;ACC;FEM;SG
विश्व	pasaulē	विश्व	pasaule	N;NOM;MASC;SG;3	N;ESS;FEM;SG
भाग	iedaļas	भाग	iedaļa		N;NOM;FEM;PL
भाग	nodaļas	भाग	nodaļa		N;NOM;FEM;PL
भाग	sekcijas	भाग	sekcija		N;NOM;FEM;PL
भाग	sadaļas	भाग	sadaļa		N;NOM;FEM;PL
भाग	daļa	भाग	daļa		N;NOM;FEM;SG
भाग	daļas	भाग	daļa		N;NOM;FEM;PL
भाग	detaļas	भाग	detaļa		N;NOM;FEM;PL
निर्माण	būvēt	निर्माण	būvēt	N;NOM;MASC;SG;3	V;POS;NFIN
निर्माण	veidot	निर्माण	veidot	N;NOM;MASC;SG;3	V;POS;NFIN
दोनों	abas	दो	abas	N;ACC;MASC;PL;3	PRO;NOM;FEM;PL
दोनों	abus	दो	abi	N;ACC;MASC;PL;3	PRO;ACC;MASC;PL
दोनों	gan	दो	gan	N;ACC;MASC;PL;3	CONJ
दोनों	abi	दो	abi	N;ACC;MASC;PL;3	PRO;NOM;MASC;PL
राष्ट्रीय	nacionālais	राष्ट्रीय	nacionāls	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पोर्टल	portāla	पोर्टल	portāls	N;NOM;MASC;SG;3	N;GEN;MASC;SG
पोर्टल	portālā	पोर्टल	portāls	N;NOM;MASC;SG;3	N;ESS;MASC;SG
शहर	centrā	शहर	centrs	N;NOM;MASC;SG;3	N;ESS;MASC;SG
शहर	pilsētu	शहर	pilsēta	N;NOM;MASC;SG;3	N;ACC;FEM;SG
शहर	pilsētas	शहर	pilsēta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बार	stieņi	बार	stiene	N;NOM;FEM;SG;3	N;NOM;MASC;PL
बार	bāri	बार	bāri	N;NOM;FEM;SG;3	N;NOM;MASC;PL
बार	bar	बार	bar	N;NOM;FEM;SG;3	
बार	laiki	बार	laiks	N;NOM;FEM;SG;3	N;NOM;MASC;PL
लगभग	gandrīz	लगभग	gandrīz	PART	ADV
लगभग	teju	लगभग	teju	PART	
लगभग	aptuveni	लगभग	aptuveni	PART	ADV
लगभग	apmēram	लगभग	apmēram	PART	ADV
फिल्म	filmu	फिल्म	filma	N;NOM;FEM;SG;3	N;ACC;FEM;SG
फिल्म	plēves	फिल्म	plēve	N;NOM;FEM;SG;3	N;NOM;FEM;PL
यहाँ	šeit	यहाँ	šeit	PRO;NOM	ADV
यहाँ	te	यहाँ	te	PRO;NOM	ADV
देश	valstīm	देश	valsts	N;NOM;MASC;SG;3	N;DAT;FEM;PL
देश	valstis	देश	valsts	N;NOM;MASC;SG;3	N;NOM;FEM;PL
वेबसाइट	mājaslapā	वेबसाइट	mājaslaps	N;NOM;FEM;SG;3	N;ESS;MASC;SG
अलग	nodala	अलग	nodalīt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
अलग	atdalīta	अलग	atdalīt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
अलग	atdalītas	अलग	atdalīt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
अलग	atdalīts	अलग	atdalīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
अलग	atšķirīgi	अलग	atšķirīgs	ADJ	ADV
अलग	atsevišķi	अलग	atsevišķi	ADJ	ADV
विशेष	ekskluzīvi	विशेष	ekskluzīvi	ADJ;NOM	ADV
विशेष	īpaši	विशेष	īpaši	ADJ;NOM	ADV
इसकी	tās	यह	tā	PRO;FEM;SG;3	PRO;NOM;FEM;PL
कभी	kādreiz	कभी	kādreiz	PRO	ADV
कभी	ever	कभी	evērt	PRO	
कभी	jebkad	कभी	jebkad	PRO	
दी	dotas	दे	doties	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
पृष्ठ	lapas	पृष्ठ	lapa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पृष्ठ	lappuses	पृष्ठ	lappuse	N;NOM;MASC;SG;3	N;NOM;FEM;PL
