din	from	din	from	ADP;ACC	N
vedere	vista	vedere	visto	N;INDF;FEM;SG	ADJ;FEM;SG;V.PTCP
vedere	view	vedere	view	N;INDF;FEM;SG	PROPN
vedere	ver	vedere	ver	N;INDF;FEM;SG	V;NFIN
specie	especies	specie	especie	N;INDF;FEM;SG	N;FEM;PL
unite	united	unit	united	ADJ;INDF;FEM;PL	N;SG
unite	unido	unit	unido	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
unite	unió	unit	unir	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
unite	unida	unit	unido	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
moldova	moldavia	moldova	moldavia	PROPN	N;FEM;SG
moldova	moldova	moldova	moldova	PROPN	N;FEM;SG
aceste	éstas	acest	este	DET;FEM;PL;3	PRO;FEM;PL
aceste	estos	acest	este	DET;FEM;PL;3	PRO;MASC;PL
aceste	estas	acest	este	DET;FEM;PL;3	PRO;FEM;PL
aceste	éstos	acest	este	DET;FEM;PL;3	PRO;MASC;PL
secolul	century	secol	century	N;DEF;MASC;SG	PROPN
una	una	unul	uno	PRO;FEM;SG;3	DET;INDF;FEM;SG
una	one	unul	one	PRO;FEM;SG;3	N
life	vida	life	vida		N;FEM;SG
life	life	life	life		N
resedinta	residence	resedinta	residence	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
resedinta	residence	resedinta	residence	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
resedinta	residence	resedinta	residence	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
tot	todas	tot	todo	PRO;MASC;SG;3	PRO;FEM;PL
tot	all	tot	all	PRO;MASC;SG;3	N
tot	todos	tot	todo	PRO;MASC;SG;3	PRO;MASC;PL
tot	todavia	tot	todavia	PRO;MASC;SG;3	INTJ
tot	still	tot	still	PRO;MASC;SG;3	N
tot	todavía	tot	todavía	PRO;MASC;SG;3	ADV
tot	aún	tot	aún	PRO;MASC;SG;3	ADV
chiar	hasta	chiar	hasta	ADV	ADP
facut	made	face	mader	ADJ;INDF;MASC;SG	N
cunoscute	conocida	cunoscut	conocido	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
cunoscute	conocido	cunoscut	conocido	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
date	data	dată	datar	N;INDF;FEM;PL	N;FEM;SG
date	dato	dată	dato	N;INDF;FEM;PL	N;MASC;SG
trebuie	mosto	trebui	mosto	V;IND;3;PRS;FIN	N;MASC;SG
cunoscuta	conocidas	cunoscuta	conocido	ADJ;DEF;FEM;SG	ADJ;FEM;PL;V.PTCP
cunoscuta	conocidos	cunoscuta	conocido	ADJ;DEF;FEM;SG	ADJ;MASC;PL;V.PTCP
decat	than	decat	than		N
decat	than	decat	than		N
aici	aca	aici	acair	ADV	INTJ
aici	aqui	aici	aqui	ADV	INTJ
mari	big	mare	big	ADJ;INDF;PL	N
mari	grande	mare	grande	ADJ;INDF;PL	ADJ;SG
mari	gran	mare	gran	ADJ;INDF;PL	ADJ;SG
mari	mari	mare	mari	ADJ;INDF;PL	PROPN
mari	mares	mare	mare	ADJ;INDF;PL	N;MASC;PL
fata	frontal	fată	frontal	N;DEF;FEM;SG	ADJ;SG
est	este	est	este	N;INDF;MASC;SG	PRO;MASC;SG
nou	novedad	nou	novedad	ADJ;INDF;MASC;SG	N;FEM;SG
nou	nuevas	nou	nuevo	ADJ;INDF;MASC;SG	ADJ;FEM;PL
nou	nuevos	nou	nuevo	ADJ;INDF;MASC;SG	ADJ;MASC;PL
nou	novedades	nou	novedad	ADJ;INDF;MASC;SG	N;FEM;PL
ales	escogidos	ales	escogido	ADV	ADJ;MASC;PL;V.PTCP
ales	elegido	ales	elegido	ADV	ADJ;MASC;SG;V.PTCP
ales	escogido	ales	escogido	ADV	ADJ;MASC;SG;V.PTCP
ales	elegida	ales	elegido	ADV	ADJ;FEM;SG;V.PTCP
ales	escogida	ales	escogida	ADV	ADJ;FEM;SG;V.PTCP
ales	elegidos	ales	elegido	ADV	ADJ;MASC;PL;V.PTCP
avand	teniendo	avand	tener		V;V.MSDR
avand	tener	avand	tener		V;NFIN
avand	habiendo	avand	haber		V;V.MSDR
avand	teniendo	avand	tener		V;V.MSDR
avand	tener	avand	tener		V;NFIN
avand	habiendo	avand	haber		V;V.MSDR
ioan	juan	ioan	juan	PROPN	PROPN
ioan	john	ioan	john	PROPN	PROPN
ioan	ioan	ioan	ir	PROPN	N;MASC;SG
ion	iones	ion	ion	N;INDF;MASC;SG	N;MASC;PL
rusa	rusas	rusa	ruso	N;DEF;FEM;SG	ADJ;FEM;PL
rusa	rusa	rusa	ruso	N;DEF;FEM;SG	ADJ;FEM;SG
rusa	ruso	rusa	ruso	N;DEF;FEM;SG	ADJ;MASC;SG
rusa	rusos	rusa	ruso	N;DEF;FEM;SG	N;MASC;PL
rusa	rusas	rusa	ruso	N;DEF;FEM;SG	ADJ;FEM;PL
rusa	rusa	rusa	ruso	N;DEF;FEM;SG	ADJ;FEM;SG
rusa	ruso	rusa	ruso	N;DEF;FEM;SG	ADJ;MASC;SG
rusa	rusos	rusa	ruso	N;DEF;FEM;SG	N;MASC;PL
isbn	isbn	isbn	isbn		N
doi	two	doi	two	NUM;MASC;PL	PROPN
acelasi	mismo	acelasi	mismo	DET;MASC;SG;3	ADJ;MASC;SG
acelasi	misma	acelasi	mismo	DET;MASC;SG;3	DET;FEM;SG
acelasi	igual	acelasi	igual	DET;MASC;SG;3	ADV
numit	llamados	numit	llamado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
numit	llamé	numit	llamar	ADJ;INDF;MASC;SG	V;IND;SG;1;PST;FIN
descrisa	descritos	descrisa	descrito	ADJ;DEF;FEM;SG	ADJ;MASC;PL;V.PTCP
oficial	funcionario	oficial	funcionario	ADJ;INDF;MASC;SG	N;MASC;SG
oficial	official	oficial	official	ADJ;INDF;MASC;SG	N
oficial	funcionaria	oficial	funcionaria	ADJ;INDF;MASC;SG	N;FEM;SG
oficial	oficialmente	oficial	oficialmente	ADJ;INDF;MASC;SG	ADV
nici	ni	nici	ni	ADV	CONJ
nici	nor	nici	nor	ADV	N
impotriva	contra	impotriva	contra	N;DEF;FEM;SG	ADP
impotriva	contra	impotriva	contra	N;DEF;FEM;SG	ADP
impotriva	contra	impotriva	contra	N;DEF;FEM;SG	ADP
desi	aunque	desi	aunque		CONJ
desi	aunque	desi	aunque		CONJ
desi	desi	desi	desi		N;SG
desi	aunque	desi	aunque		CONJ
desi	aunque	desi	aunque		CONJ
desi	aunque	desi	aunque		CONJ
desi	aunque	desi	aunque		CONJ
saint	santo	saint	santo	N;INDF;MASC;SG	
saint	santa	saint	santo	N;INDF;MASC;SG	ADJ;FEM;SG
impreuna	juntos	impreuna	junto		ADJ;MASC;PL
impreuna	juntas	impreuna	junto		ADJ;FEM;PL
impreuna	together	impreuna	together		N
impreuna	juntos	impreuna	junto		ADJ;MASC;PL
impreuna	juntas	impreuna	junto		ADJ;FEM;PL
impreuna	together	impreuna	together		N
impreuna	juntos	impreuna	junto		ADJ;MASC;PL
impreuna	juntas	impreuna	junto		ADJ;FEM;PL
impreuna	together	impreuna	together		N
specia	especies	specie	especie	N;DEF;FEM;SG	N;FEM;PL
vest	occidental	vest	occidental	N;INDF;MASC;SG	ADJ;SG
vest	occidental	vest	occidental	N;INDF;MASC;SG	ADJ;SG
vest	occidentales	vest	occidental	N;INDF;MASC;SG	ADJ;PL
italia	italia	italia	italia	PROPN	PROPN
italia	italia	italia	italia	PROPN	PROPN
putin	poco	putin	poco		ADV
putin	little	putin	little		N
putin	pequeño	putin	pequeño		ADJ;MASC;SG
putin	pequeña	putin	pequeño		ADJ;FEM;SG
putin	poquito	putin	poquito		ADJ;MASC;SG
putin	putin	putin	putin		N;MASC;SG
inca	todavia	inca	todavia		INTJ
inca	still	inca	still		N
inca	todavía	inca	todavía		ADV
inca	aún	inca	aún		ADV
inca	todavia	inca	todavia		INTJ
inca	still	inca	still		N
inca	todavía	inca	todavía		ADV
inca	aún	inca	aún		ADV
descoperit	descubierto	descoperit	descubrir	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
descoperit	descubiertas	descoperit	descubierto	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
descoperit	descubiertos	descoperit	descubierto	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
descoperit	descubrió	descoperit	descubrir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
descoperit	descubiertas	descoperit	descubierto	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
descoperit	descubierto	descoperit	descubrir	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
inainte	adelante	inainte	adelante		ADV
inainte	forward	inainte	forward		N
inainte	delantero	inainte	delantero		N;MASC;SG
inainte	antes	inainte	antes		ADV
inainte	adelante	inainte	adelante		ADV
inainte	forward	inainte	forward		N
inainte	delantero	inainte	delantero		N;MASC;SG
inainte	antes	inainte	antes		ADV
lemn	maderas	lemn	madera	N;INDF;MASC;SG	N;FEM;PL
noi	novedad	eu	novedad	PRO;PL;1	N;FEM;SG
noi	nuevas	eu	nuevo	PRO;PL;1	ADJ;FEM;PL
noi	nuevos	eu	nuevo	PRO;PL;1	ADJ;MASC;PL
noi	nuevo	eu	nuevo	PRO;PL;1	ADJ;MASC;SG
noi	novedades	eu	novedad	PRO;PL;1	N;FEM;PL
noi	nueva	eu	nuevo	PRO;PL;1	ADJ;FEM;SG
nicolae	nicolás	nicolae	nicolás	PROPN	N;MASC;SG
nicolae	nicholas	nicolae	nichola	PROPN	N;SG
nicolae	nicolae	nicolae	nicolae	PROPN	N;MASC;SG
nationala	nacionales	national	nacional	N;DEF;FEM;SG	ADJ;PL
nationala	national	national	national	N;DEF;FEM;SG	ADJ;SG
nationala	nacional	national	nacional	N;DEF;FEM;SG	ADJ;SG
nationala	nacionales	national	nacional	N;DEF;FEM;SG	ADJ;PL
nationala	national	national	national	N;DEF;FEM;SG	ADJ;SG
nationala	nacional	national	nacional	N;DEF;FEM;SG	ADJ;SG
subspecii	subespecie	subspeciu	subespecie	N;DEF;FEM;PL	N;FEM;SG
drept	recto	drept	recto		ADJ;MASC;SG
drept	directo	drept	directo		ADJ;MASC;SG
drept	recta	drept	recta		N;FEM;SG
drept	directamente	drept	directamente		ADV
drept	heterosexual	drept	heterosexual		ADJ;SG
american	american	american	americar	ADJ;INDF;MASC;SG	N;FEM;SG
american	americanos	american	americano	ADJ;INDF;MASC;SG	N;MASC;PL
fiecare	cada	fiecare	cada	PRO;SG;3	DET;SG
fiecare	cada	fiecare	cada	PRO;SG;3	DET;SG
prezent	presente	prezent	presente	N;INDF;MASC;SG	ADJ;SG
cluj	cluj	cluj	cluj	PROPN	N;MASC;SG
bine	buenas	bine	buen	ADV	ADJ;FEM;PL
bine	bueno	bine	buen	ADV	INTJ
bine	buena	bine	buen	ADV	ADJ;FEM;SG
bine	buenos	bine	buen	ADV	ADJ;MASC;PL
bine	okey	bine	okey	ADV	INTJ
bine	okay	bine	okay	ADV	N
bine	ok	bine	ok	ADV	INTJ
bine	vale	bine	valer	ADV	V;IND;SG;3;PRS;FIN
site	sitio	sită	sitio	N;INDF;FEM;PL	N;MASC;SG
site	site	sită	sitir	N;INDF;FEM;PL	N;MASC;SG
alexandru	alexandru	alexandru	alexandru	PROPN	ADJ;SG
alexandru	alejandro	alexandru	alejandro	PROPN	
unele	some	unul	some	PRO;FEM;PL;3	N
milioane	millones	milion	millón	NUM;INDF;FEM;PL	N;MASC;PL
milioane	millón	milion	millón	NUM;INDF;FEM;PL	N;MASC;SG
milioane	millon	milion	millon	NUM;INDF;FEM;PL	N;MASC;SG
milioane	millones	milion	millón	NUM;INDF;FEM;PL	N;MASC;PL
iasi	iasi	iași	iasi	PROPN	N;MASC;PL
iasi	iasi	iași	iasi	PROPN	N;MASC;PL
iasi	iasi	iași	iasi	PROPN	N;MASC;PL
ori	ori	ori	ori	CONJ;POS	N
sate	poblados	sat	poblado	N;INDF;FEM;PL	ADJ;MASC;PL;V.PTCP
tarziu	tarde	tarziu	tarde		ADV
tarziu	tardía	tarziu	tarder		ADJ;FEM;SG
tarziu	tarde	tarziu	tarde		ADV
tarziu	tardía	tarziu	tarder		ADJ;FEM;SG
maria	maria	maria	mario	N;DEF;FEM;SG	
cunoscut	conocidas	cunoscut	conocido	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
cunoscut	conocidos	cunoscut	conocido	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
patru	four	patru	four	NUM;PL	N
raul	raul	raul	raul	N;DEF;MASC;SG	
raul	malvado	raul	malvar	N;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
raul	mal	raul	mal	N;DEF;MASC;SG	ADV
raul	malvada	raul	malvado	N;DEF;MASC;SG	ADJ;FEM;SG;V.PTCP
formata	formadas	formata	formado	ADJ;DEF;FEM;SG	ADJ;FEM;PL;V.PTCP
formata	formados	formata	formado	ADJ;DEF;FEM;SG	ADJ;MASC;PL;V.PTCP
paris	paris	paris	pari	PROPN	N;SG
paris	parís	paris	parís	PROPN	PROPN
gheorghe	gheorghe	gheorghe	gheorghe	PROPN	N;MASC;SG
gheorghe	jordi	gheorghe	jordi	PROPN	PROPN
gheorghe	jorge	gheorghe	jorge	PROPN	PROPN
tip	guy	tip	guy	N;INDF;MASC;SG	PROPN
tip	escribe	tip	escribir	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
tip	escriba	tip	escribir	N;INDF;MASC;SG	V;IMP;SG;3;FIN
premiul	premiado	premiu	premiado	N;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
premiul	premios	premiu	premio	N;DEF;MASC;SG	N;MASC;PL
putea	podrían	putea	poder	V;IND;SG;3;IPFV;FIN	V;COND;PL;3;FIN
putea	podría	putea	poder	V;IND;SG;3;IPFV;FIN	V;COND;SG;3;FIN
putea	podria	putea	podria	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
persoane	pueblo	persoană	pueblo	N;INDF;FEM;PL	N;MASC;SG
persoane	gente	persoană	gente	N;INDF;FEM;PL	N;FEM;SG
constantin	constantin	constantin	constantin	PROPN	N;MASC;SG
constantin	constantine	constantin	constantine	PROPN	N;SG
constantin	constantino	constantin	constantino	PROPN	N;MASC;SG
