loại	kirjoita	loại	kirja	N	V;IMP;SG;2;FIN;ACT
đến	saapuminen	đến	saapuminen	PART	N;NOM;SG
đến	saapumisen	đến	saapuminen	PART	N;GEN;SG
đến	saapuivat	đến	saapua	PART	V;IND;PL;3;PST;FIN;ACT
đến	saapuneet	đến	saapua	PART	V;NOM;PL;V.PTCP;ACT
đến	saapui	đến	saapua	PART	V;IND;SG;3;PST;FIN;ACT
đến	saapunut	đến	saapua	PART	V;NOM;SG;V.PTCP;ACT
đến	tulee	đến	tulla	PART	V;IND;SG;3;PRS;FIN;ACT
đến	tulossa	đến	tulo	PART	N;IN+ESS;SG
đến	tullaan	đến	tulla	PART	V;IND;PRS;FIN;PASS
theo	theo	theo	theo	V	PROPN;NOM;SG
theo	jälkeen	theo	jälkeen	V	ADV
theo	after	theo	after	V	
tỉnh	hereillä	tỉnh	hereillä	N	ADV
sau	jälkeen	sau	jälkeen	N	ADV
sau	after	sau	after	N	
sau	myöhemmin	sau	myöhemmin	N	ADV
sau	myöhempi	sau	myöhä	N	ADJ;NOM;CMPR;SG
trung	keskikokoinen	trung	keski#kokoinen	N	ADJ;NOM;SG
trung	keskimmäinen	trung	keskimmäinen	N	ADJ;NOM;SG
trung	lähi	trung	lähi	N	INTJ
trên	yläpuolelle	trên	yläpuolelle		ADV
trên	yläpuolelta	trên	yläpuolelta		ADV
trên	yllä	trên	yllä		ADV
trên	yläpuolella	trên	yläpuolella		ADV
trên	edellä	trên	edellä		ADV
nhà	kotona	nhà	kotona	N	ADV
như	tykkää	như	tykätä	CONJ	V;IMP;SG;2;FIN;ACT
như	kuten	như	kuten	CONJ	CONJ
như	kuin	như	kuin	CONJ	CONJ
gia	gia	gia	gia	N	
bản	hollantilainen	bản	hollantilainen	N	ADJ;NOM;SG
miêu	miao	miêu	miao	N	PROPN;NOM;SG
hành	toimia	hành	toimia	N	V;SG;NFIN;ACT
đại	iso	đại	iso	N	ADJ;NOM;SG
đại	isot	đại	iso	N	ADJ;NOM;PL
đại	suuri	đại	suuri	N	ADJ;NOM;SG
đại	đại	đại	đại	N	PROPN;NOM;SG
hiện	näytä	hiện	näyttää	N	V;IMP;SG;2;FIN;ACT
thế	tuo	thế	tuo	PROPN	PRO;NOM;SG
thế	että	thế	että	PROPN	CONJ
chiến	chien	chiến	chien	N	INTJ
bar	baariin	bar	baari		N;IN+ALL;SG
bar	baarissa	bar	baari		N;IN+ESS;SG
bar	baari	bar	baari		N;NOM;SG
bar	baarin	bar	baari		N;GEN;SG
lại	uudestaan	lại	uudestaan		ADV
lại	uudelleen	lại	uudelleen		ADV
lại	taas	lại	taas		ADV
lại	jälleen	lại	jälleen		ADV
cũng	lisäksi	cũng	lisäksi		ADV
cũng	myöskin	cũng	myöskin		ADV
cũng	myös	cũng	myös		ADV
nhất	paras	nhất	hyvä		ADJ;NOM;RL;SG
nhất	parhaat	nhất	hyvä		ADJ;NOM;RL;PL
nhất	parhaiten	nhất	parhaiten		ADV
nhất	best	nhất	best		
nhất	parasta	nhất	hyvä		ADJ;PRT;RL;SG
nhân	ytimen	nhân	ydin		N;GEN;SG
nhân	ytimessä	nhân	ydin		N;IN+ESS;SG
nhân	ydin	nhân	ydin		N;NOM;SG
nhân	potilaat	nhân	potilas		N;NOM;PL
nhân	potilas	nhân	potilas		N;NOM;SG
nhân	potilaan	nhân	potilas		N;GEN;SG
phát	lähetys	phát	lähetys	V	N;NOM;SG
phát	laukaus	phát	laukaus	V	N;NOM;SG
phát	laukausta	phát	laukaus	V	N;PRT;SG
phát	laukaukset	phát	laukaus	V	N;NOM;PL
phát	laukauksia	phát	laukaus	V	N;PRT;PL
anh	sinä	anh	sinä	N	PRO;NOM;SG;2
pháp	ranska	pháp	ranska	N	PROPN;NOM;SG
pháp	ranskalainen	pháp	ranskalainen	N	ADJ;NOM;SG
pháp	ranska	pháp	ranska	N	PROPN;NOM;SG
chúng	ne	chúng	se	PROPN	PRO;NOM;PL
chúng	he	chúng	hän	PROPN	PRO;NOM;PL;3
tập	jakso	tập	jaksaa		N;NOM;SG
tập	jakson	tập	jakso		N;GEN;SG
tập	jaksoista	tập	jakso		N;IN+ABL;PL
tập	jaksot	tập	jakso		N;NOM;PL
nhiều	monet	nhiều	moni	ADJ	PRO;NOM;PL
nhiều	monia	nhiều	moni	ADJ	PRO;PRT;PL
nhiều	monta	nhiều	moni	ADJ	PRO;PRT;SG
nhiều	moni	nhiều	moni	ADJ	PRO;NOM;SG
nhiều	much	nhiều	much	ADJ	
nhiều	paljon	nhiều	paljon	ADJ	ADV
nhiều	paljo	nhiều	paljon	ADJ	ADV
chi	aiheuttaa	chi	aiheuttaa	N	V;IND;SG;3;PRS;FIN;ACT
chi	koska	chi	koska	N	CONJ
chỉ	ainoastaan	chỉ	ainoastaan		ADV
chỉ	vain	chỉ	vain		ADV
chỉ	vain	chỉ	vain		ADV
đây	täällä	đây	täällä	PROPN	ADV
đây	tässä	đây	tämä	PROPN	PRO;IN+ESS;SG
sinh	synnytys	sinh	synnytys	V	N;NOM;SG
sinh	synty	sinh	syntyä	V	N;NOM;SG
sinh	syntymä	sinh	syntymä	V	N;NOM;SG
con	con	con	con	N	INTJ
quan	guan	quan	guan	V	N;NOM;SG
quan	quan	quan	quan	V	PROPN;NOM;SG
quan	upseeri	quan	upseeri	V	N;NOM;SG
quan	virkailija	quan	virkailija	V	N;NOM;SG
quan	konstaapeli	quan	konstaapeli	V	N;NOM;SG
tin	uskoa	tin	uskoa		V;SG;NFIN;ACT
tin	uskoo	tin	uskoa		V;IND;SG;3;PRS;FIN;ACT
tin	usko	tin	uskoa		V;IMP;SG;2;FIN;ACT
tin	tina	tin	tina		N;NOM;SG
tin	kertomuksia	tin	kertomus		N;PRT;PL
tin	tarinat	tin	tarina		N;NOM;PL
tin	tarinoita	tin	tarina		N;PRT;PL
tin	tarinoiden	tin	tarina		N;GEN;PL
tin	uutisia	tin	uutinen		N;PRT;PL
tin	uutinen	tin	uutinen		N;NOM;SG
tin	uutiset	tin	uutinen		N;NOM;PL
tin	ajankohtaista	tin	ajan#kohtainen		ADJ;PRT;SG
tin	luottaa	tin	luottaa		V;IND;SG;PRS;FIN;ACT
tin	luottamusta	tin	luottamus		N;PRT;SG
tin	luottamus	tin	luottamus		N;NOM;SG
tin	luota	tin	luottaa		V;IMP;SG;2;FIN;ACT
đồng	đồng	đồng	đồng	N	
viên	park	viên	park	N	PROPN;NOM;SG
viên	wien	viên	wien	N	PROPN;NOM;SG
viên	wienin	viên	wien	N	PROPN;GEN;SG
viên	wienissä	viên	wieni	N	PROPN;IN+ESS;SG
phải	täytyy	phải	täytyä	V	V;IND;SG;3;PRS;FIN;ACT
tiểu	pieni	tiểu	pieni		ADJ;NOM;SG
tiểu	pikku	tiểu	pikku		ADJ
tiểu	vähä	tiểu	vähän		ADV
khác	muu	khác	muu	ADJ	PRO;NOM;SG
khác	muut	khác	muu	ADJ	PRO;NOM;PL
khác	toinen	khác	toinen	ADJ	PRO;NOM;SG
khác	muut	khác	muu	ADJ	PRO;NOM;PL
khác	toiset	khác	toinen	ADJ	PRO;NOM;PL
khác	muita	khác	muu	ADJ	PRO;PRT;PL
cao	high	cao	high	ADJ	N;NOM;SG
cao	gao	cao	gao	ADJ	N;NOM;SG
văn	wen	văn	wen	N	PROPN;NOM;SG
văn	văn	văn	v)n	N	PROPN;NOM;SG
tây	west	tây	west	N	PROPN;NOM;SG
tây	läntinen	tây	läntinen	N	ADJ;NOM;SG
tây	western	tây	western	N	
tây	läntinen	tây	läntinen	N	ADJ;NOM;SG
hội	chance	hội	chance	N	
cùng	sama	cùng	sama	ADJ	PRO;NOM;SG
cùng	samoin	cùng	samoin	ADJ	ADV
cùng	samaa	cùng	sama	ADJ	PRO;PRT;SG
giải	irti	giải	irti	V	ADV
giải	löysä	giải	löysä	V	ADJ;NOM;SG
giải	vapaana	giải	vapaa	V	ADJ;FRML;SG
giải	nyrkkeilyä	giải	nyrkkeily	V	N;PRT;SG
giải	nyrkkeily	giải	nyrkkeily	V	N;NOM;SG
giải	päätöslauselman	giải	päätös#lauselma	V	N;GEN;SG
giải	päätöslauselma	giải	päätös#lauselma	V	N;NOM;SG
bang	viranomaiset	bang	viran#omainen		N;NOM;PL
bang	viranomaisten	bang	viran#omainen		N;GEN;PL
bang	osavaltio	bang	osa#valtio		N;NOM;SG
bang	valtion	bang	valtio		N;GEN;SG
bang	valtio	bang	valtio		N;NOM;SG
bang	bang	bang	bang		N;NOM;SG
đông	itä	đông	itä	ADJ	N;NOM;SG
đông	itään	đông	itä	ADJ	N;IN+ALL;SG
phố	city	phố	city	N	PROPN;NOM;SG
xuất	vie	xuất	vie	N	INTJ
khu	ward	khu	ward	N	PROPN;NOM;SG
cánh	wing	cánh	wing	N	PROPN;NOM;SG
lập	itsenäiset	lập	itsenäinen	V	ADJ;NOM;PL
lập	riippumaton	lập	riippumaton	V	ADJ;NOM;SG
lập	itsenäinen	lập	itsenäinen	V	ADJ;NOM;SG
cách	tapoja	cách	tapa	V	N;PRT;PL
cách	keinoja	cách	keino	V	N;PRT;PL
cách	keinot	cách	keino	V	N;NOM;PL
cách	tavat	cách	tavata	V	N;NOM;PL
đội	team	đội	team	N	
phần	osaa	phần	osata	N	V;IMP;SG;2;FIN;ACT
phần	osittain	phần	osittain	N	ADV
dưới	alapuolelle	dưới	alapuolelle	N	ADV
dưới	alle	dưới	alle	N	ADV
dưới	alapuolella	dưới	alapuolella	N	ADV
dưới	alla	dưới	alla	N	ADV
dưới	alta	dưới	alta	N	ADV
dưới	alle	dưới	alle	N	ADV
dưới	alla	dưới	alla	N	ADV
quận	huomaa	quận	huomata	N	V;IMP;SG;2;FIN;ACT
giới	world	giới	world	N	PROPN;NOM;SG
châu	america	châu	america	N	
đoàn	yhdeksäs	đoàn	yhdeksäs	N	ADJ;NOM;SG
điều	tuo	điều	tuo	N	PRO;NOM;SG
điều	että	điều	että	N	CONJ
thông	pine	thông	pine		PROPN;NOM;SG
bay	kärpänen	bay	kärpänen		N;NOM;SG
bay	lennä	bay	lennä		V;IMP;SG;2;FIN;ACT
bay	lentää	bay	lentää		V;IND;SG;3;PRS;FIN;ACT
bay	lentäminen	bay	lentäminen		N;NOM;SG
bay	lentävä	bay	lentää		V;NOM;SG;V.PTCP;ACT
bay	lentää	bay	lentää		V;IND;SG;3;PRS;FIN;ACT
bay	lentävät	bay	lentää		V;IND;PL;3;PRS;FIN;ACT
bay	lento	bay	lento		N;NOM;SG
bay	lennon	bay	lento		N;GEN;SG
bay	lentoa	bay	lento		N;PRT;SG
bay	bay	bay	bay		PROPN;NOM;SG
bay	lahti	bay	lahti		N;NOM;SG
bài	cards	bài	cards	N	
bài	lyhyet	bài	lyhyt	N	ADJ;NOM;PL
bài	lyhyt	bài	lyhyt	N	ADJ;NOM;SG
tích	staattinen	tích	staattinen	N	ADJ;NOM;SG
phim	elokuvat	phim	elo#kuva		N;NOM;PL
phim	elokuvia	phim	elo#kuva		N;PRT;PL
phim	elokuvan	phim	elo#kuva		N;GEN;SG
phim	elokuva	phim	elo#kuva		N;NOM;SG
phim	leffa	phim	leffa		N;NOM;SG
phim	elokuva	phim	elo#kuva		N;NOM;SG
phim	kalvo	phim	kalvo		N;NOM;SG
phim	filmi	phim	filmi		N;NOM;SG
phim	elokuvista	phim	elo#kuva		N;IN+ABL;PL
phim	elokuvat	phim	elo#kuva		N;NOM;PL
phim	elokuvissa	phim	elo#kuva		N;IN+ESS;PL
phim	elokuvia	phim	elo#kuva		N;PRT;PL
trước	ensin	trước	ensin		ADV
trước	ensimmäinen	trước	ensimmäinen		ADJ;NOM;SG
trước	eka	trước	ensin		N;NOM;SG
trước	ensiksi	trước	ensiksi		ADV
trước	aikaisemmat	trước	aikainen		ADJ;NOM;CMPR;PL
trước	aiempi	trước	aiempi		ADJ;NOM;SG
trước	edellinen	trước	edellinen		ADJ;NOM;SG
trước	edelliset	trước	edellinen		ADJ;NOM;PL
trước	aiemmat	trước	aiempi		ADJ;NOM;PL
trước	ennen	trước	ennen		ADV
đức	saksalainen	đức	saksalainen	N	ADJ;NOM;SG
đức	saksa	đức	saksa	N	PROPN;NOM;SG
đức	saksa	đức	saksa	N	PROPN;NOM;SG
đêm	night	đêm	nightä	N	
bằng	mukaan	bằng	mukaan	ADP	ADV
bằng	mukana	bằng	mukana	ADP	ADV
bằng	with	bằng	with	ADP	N;NOM;SG
bằng	kanssa	bằng	kanssa	ADP	ADV
nhỏ	vähä	nhỏ	vähän	ADJ	ADV
nhỏ	junior	nhỏ	junior	ADJ	N;NOM;SG
nhỏ	juniori	nhỏ	juniori	ADJ	N;NOM;SG
hợp	sovi	hợp	sovi	ADJ	V;IMP;SG;2;FIN;ACT
hợp	unioni	hợp	unioni	ADJ	N;NOM;SG
hợp	unionin	hợp	unioni	ADJ	N;GEN;SG
hợp	sopii	hợp	sopia	ADJ	V;IND;SG;3;PRS;FIN;ACT
hợp	mahtuu	hợp	mahtua	ADJ	V;IND;SG;3;PRS;FIN;ACT
đường	way	đường	way	N	
thêm	lisääminen	thêm	lisääminen	V	N;NOM;SG
thêm	lisää	thêm	lisää	V	ADV
thêm	add	thêm	add	V	N;NOM;SG
thêm	lisää	thêm	lisää	V	ADV
thêm	enemmän	thêm	enemmän	V	ADV
xem	show	xem	show	V	N;NOM;SG
xem	kello	xem	kello	V	N;NOM;SG
xem	nää	xem	tämä	V	PRO;NOM;PL
xem	katsominen	xem	katsominen	V	N;NOM;SG
xem	katselu	xem	katselu	V	N;NOM;SG
xem	näkymä	xem	näkymä	V	N;NOM;SG
xem	view	xem	view	V	N;NOM;SG
xem	mieltä	xem	mieli	V	N;PRT;SG
diễn	näyttelemistä	diễn	näytellä	V	N;PRT;SG
diễn	näyttelijä	diễn	näyttelijä	V	N;NOM;SG
hoàng	huang	hoàng	huang	N	PROPN;NOM;SG
hoàng	prince	hoàng	prince	N	
chức	pidetty	chức	pitää	N	V;NOM;SG;V.PTCP;PASS
dương	positiiviset	dương	positiivinen	N	ADJ;NOM;PL
dương	myönteinen	dương	myönteinen	N	ADJ;NOM;SG
dương	positiivinen	dương	positiivinen	N	ADJ;NOM;SG
dương	positiivista	dương	positiivinen	N	ADJ;PRT;SG
thủ	täsmää	thủ	täsmä	N	V;IMP;SG;2;FIN;ACT
hay	hay	hay	hay	CONJ	
hay	heinää	hay	heinä	CONJ	N;PRT;SG
hay	heinä	hay	hän	CONJ	N;NOM;SG
hay	hyvää	hay	hyvä	CONJ	ADJ;PRT;SG
hay	hyvä	hay	hyvä	CONJ	ADJ;NOM;SG
sống	asuminen	sống	asuminen	V	N;NOM;SG
sống	elävä	sống	elää	V	ADJ;NOM;SG
sống	eläminen	sống	eläminen	V	N;NOM;SG
sống	live	sống	live	V	N;NOM;SG
sống	livenä	sống	livi	V	N;FRML;SG
sống	hengissä	sống	henki	V	N;IN+ESS;PL
sống	elävä	sống	elää	V	ADJ;NOM;SG
sống	elossa	sống	elossa	V	ADV
thường	yleensä	thường	yleensä		ADV
thường	tavallisesti	thường	tavallisesti		ADV
thường	säännöllisesti	thường	säännöllisesti		ADV
thường	tavallinen	thường	tavallinen		ADJ;NOM;SG
thường	säännöllinen	thường	säännöllinen		ADJ;NOM;SG
thường	säännölliset	thường	säännöllinen		ADJ;NOM;PL
thường	tavallinen	thường	tavallinen		ADJ;NOM;SG
thường	normaali	thường	normaali		ADJ;NOM;SG
thường	normaalia	thường	normaali		ADJ;PRT;SG
thường	tavanomainen	thường	tavan#omainen		ADJ;NOM;SG
ban	noin	ban	noin		ADV
ban	osastot	ban	osasto		N;NOM;PL
ban	bändi	ban	bändi		N;NOM;SG
ban	band	ban	band		N;NOM;SG
ban	yhtye	ban	yhtye		N;NOM;SG
ban	bändiä	ban	bändi		N;PRT;SG
ban	kieltää	ban	kieltää		V;IND;SG;PRS;FIN;ACT
ban	kiellä	ban	kieltää		V;IMP;SG;2;FIN;ACT
ban	kielto	ban	kielto		N;NOM;SG
ban	kieltäminen	ban	kieltäminen		N;NOM;SG
cộng	lisäksi	cộng	lisäksi		ADV
cộng	plus	cộng	plus		N;NOM;SG
cộng	plussaa	cộng	plussa		N;PRT;SG
nhận	vaatimus	nhận	vaatimus	V	N;NOM;SG
nhận	väite	nhận	väite	V	N;NOM;SG
qua	mennyttä	qua	mennyt	V	ADJ;PRT;SG
qua	ohi	qua	ohi	V	ADV
qua	menneisyys	qua	menneisyys	V	N;NOM;SG
qua	ohi	qua	ohi	V	ADV
qua	yli	qua	yli	V	ADV
qua	kautta	qua	kautta	V	ADV
qua	via	qua	via	V	N;NOM;SG
qua	kautta	qua	kautta	V	ADV
qua	läpi	qua	läpi	V	ADV
qua	syöttö	qua	syöttö	V	N;NOM;SG
qua	ohi	qua	ohi	V	ADV
hòa	peace	hòa	peace	N	
hòa	fred	hòa	fred	N	PROPN;NOM;SG
tổng	yhteensä	tổng	yhteensä	N	ADV
minh	minh	minh	minh	N	PROPN;NOM;SG
minh	älykäs	minh	älykäs	N	ADJ;NOM;SG
minh	viisas	minh	viisas	N	ADJ;NOM;SG
minh	fiksu	minh	fiksu	N	ADJ;NOM;SG
tác	alkuperäinen	tác	alku#peräinen	N	ADJ;NOM;SG
tác	alkuperäiset	tác	alku#peräinen	N	ADJ;NOM;PL
kinh	sutra	kinh	sutra	V	N;NOM;SG
kinh	pekingin	kinh	pekinki	V	N;GEN;SG
kinh	pekingissä	kinh	pekinki	V	N;IN+ESS;SG
kinh	pekingin	kinh	pekinki	V	N;GEN;SG
biển	beachin	biển	beach	N	PROPN;GEN;SG
biển	ocean	biển	ocea	N	
tiếp	seuraava	tiếp	seuraava	V	ADJ;NOM;SG
tiếp	seuraavaksi	tiếp	seuraavaksi	V	ADV
xếp	kokoaja	xếp	kokoaja	V	N;NOM;SG
rằng	tuo	rằng	tuo	CONJ	PRO;NOM;SG
rằng	että	rằng	että	CONJ	CONJ
đánh	osuma	đánh	osuma	V	N;NOM;SG
nhạc	musiikkia	nhạc	musiikki	V	N;PRT;SG
nhạc	musiikin	nhạc	musiikki	V	N;GEN;SG
nhạc	music	nhạc	music	V	PROPN;NOM;SG
nhạc	musiikki	nhạc	musiikki	V	N;NOM;SG
nhạc	musikaali	nhạc	musikaali	V	N;NOM;SG
hóa	kemikaali	hóa	kemikaali		N;NOM;SG
hóa	kemiallinen	hóa	kemiallinen		ADJ;NOM;SG
hóa	kemialliset	hóa	kemiallinen		ADJ;NOM;PL
hóa	kemia	hóa	kemata		N;NOM;SG
hóa	kemian	hóa	kemia		N;GEN;SG
hóa	kemiaa	hóa	kemia		N;PRT;SG
gọi	kutsu	gọi	kutsu	V	N;NOM;SG
gọi	puhelu	gọi	puhelu	V	N;NOM;SG
trang	puoli	trang	puoli	N	NUM;NOM;SG
tạo	luominen	tạo	luominen	V	N;NOM;SG
tạo	luo	tạo	luo	V	ADV
tạo	luominen	tạo	luominen	V	N;NOM;SG
tạo	perustaminen	tạo	perustaminen	V	N;NOM;SG
tạo	luonti	tạo	luonti	V	N;NOM;SG
tạo	tiimi	tạo	tiimi	V	N;NOM;SG
tạo	ryhmä	tạo	ryhmä	V	N;NOM;SG
tạo	joukkue	tạo	joukkue	V	N;NOM;SG
tạo	team	tạo	team	V	
cầu	bridge	cầu	bridge	N	
đặc	kiinteää	đặc	kiinteä	N	ADJ;PRT;SG
đặc	kiinteät	đặc	kiinteä	N	ADJ;NOM;PL
đặc	kiinteä	đặc	kiinteä	N	ADJ;NOM;SG
nên	pitäisi	nên	pitää	CONJ	V;COND;SG;3;FIN;ACT
nên	pitäis	nên	pitää	CONJ	V;COND;SG;3;FIN;ACT
nên	pitäisikö	nên	pitää	CONJ	V;COND;SG;3;FIN;ACT
phương	zoe	phương	zoe	N	PROPN;NOM;SG
mới	uudet	mới	uusi		ADJ;NOM;PL
mới	uusi	mới	uusi		ADJ;NOM;SG
mới	uutta	mới	uusi		ADJ;PRT;SG
mới	uusia	mới	uusi		ADJ;PRT;PL
đạo	moraalinen	đạo	moraalinen	N	ADJ;NOM;SG
đạo	moraalista	đạo	moraali	N	ADJ;PRT;SG
bắt	juju	bắt	juju	V	N;NOM;SG
bắt	saalis	bắt	saalis	V	N;NOM;SG
bắt	catch	bắt	catch	V	N;NOM;SG
bắt	kiinni	bắt	kiinni	V	ADV
bắt	talteenotto	bắt	talteen#otto	V	N;NOM;SG
mặt	face	mặt	face	N	
tinh	jing	tinh	jing	N	PROPN;NOM;SG
rất	hyvin	rất	hyvin		ADV
rất	erittäin	rất	erittäin		ADV
thức	reseptiä	thức	resepti	V	N;PRT;SG
thức	reseptin	thức	resepti	V	N;GEN;SG
thức	resepti	thức	resepti	V	N;NOM;SG
tới	tulossa	tới	tulo	V	N;IN+ESS;SG
luận	kommentoi	luận	kommentoida	N	V;IND;SG;3;PST;FIN;ACT
luận	looginen	luận	looginen	N	ADJ;NOM;SG
khoảng	noin	khoảng	noin	ADJ	ADV
khoảng	tilat	khoảng	tila	ADJ	N;NOM;PL
khoảng	ympärillä	khoảng	ympärillä	ADJ	ADV
khoảng	ympäri	khoảng	ympäri	ADJ	ADV
khoảng	maisemissa	khoảng	maisema	ADJ	N;IN+ESS;PL
khoảng	suunnilleen	khoảng	suunnilleen	ADJ	ADV
khoảng	karkeasti	khoảng	karkeasti	ADJ	ADV
lần	times	lần	times	N	
làng	kyl	làng	kyllä	N	ADV
vương	crown	vương	crown	N	
vương	wang	vương	wang	N	PROPN;NOM;SG
vương	rikkaita	vương	rikas	N	ADJ;PRT;PL
vương	rikkaat	vương	rikas	N	ADJ;NOM;PL
vương	rich	vương	rich	N	PROPN;NOM;SG
vương	rikas	vương	rikas	N	ADJ;NOM;SG
toàn	koko	toàn	koko	N	ADJ
toàn	kokonaisena	toàn	kokonainen	N	ADJ;FRML;SG
toàn	kokonainen	toàn	kokonainen	N	ADJ;NOM;SG
toàn	kokonaiset	toàn	kokonainen	N	ADJ;NOM;PL
nhật	japanilaista	nhật	japanilainen		N;PRT;SG
nhật	japani	nhật	japani		N;NOM;SG
nhật	japanilainen	nhật	japanilainen		ADJ;NOM;SG
nhật	japanin	nhật	japani		N;GEN;SG
nhật	japanilaiset	nhật	japanilainen		N;NOM;PL
viết	tulostin	viết	tulostaa	V	N;NOM;SG
