der	do	der	do	DET;NOM;DEF;MASC;SG	PROPN
einer	un	ein	un	PRO;NOM;INDF;MASC;SG	DET
werden	vai	werden	ir	V;NFIN;PASS	V
werden	nunha	werden	nunha	V;NFIN;PASS	N
werden	ser	werden	ser	V;NFIN;PASS	V
werden	en	werden	en	V;NFIN;PASS	ADP
werden	se	werden	se	V;NFIN;PASS	CONJ
werden	ser	werden	ser	V;NFIN;PASS	V
werden	estar	werden	estar	V;NFIN;PASS	V
sind	son	sein	ser	V;IND;PL;3;PRS;FIN	V
sind	hai	sein	haber	V;IND;PL;3;PRS;FIN	V
wird	vai	werden	ir	V;IND;SG;3;PRS;FIN;PASS	V
wird	convértese	werden	convérter	V;IND;SG;3;PRS;FIN;PASS	V
wird	en	werden	en	V;IND;SG;3;PRS;FIN;PASS	ADP
wird	se	werden	se	V;IND;SG;3;PRS;FIN;PASS	CONJ
wird	vólvese	werden	vólvese	V;IND;SG;3;PRS;FIN;PASS	V
wird	é	werden	ser	V;IND;SG;3;PRS;FIN;PASS	V
wird	é	werden	ser	V;IND;SG;3;PRS;FIN;PASS	V
durch	través	durch	través	ADP	N
durch	a	durch	o	ADP	DET
durch	pola	durch	pola	ADP	N
durch	polo	durch	polo	ADP	N
score	arranxar	scoren	arranxar	PROPN	V
einen	un	ein	un	PRO;ACC;INDF;MASC;SG	DET
einen	unha	ein	un	PRO;ACC;INDF;MASC;SG	DET
einen	unha	ein	un	PRO;ACC;INDF;MASC;SG	DET
einen	un	ein	un	PRO;ACC;INDF;MASC;SG	DET
einen	unha	ein	un	PRO;ACC;INDF;MASC;SG	DET
einen	un	ein	un	PRO;ACC;INDF;MASC;SG	DET
dass	que	dass	que	CONJ	PRO
dass	iso	dass	iso	CONJ	PRO
über	no	über	no	ADP	V
über	na	über	na	ADP	N
über	veña	über	vir	ADP	V
über	través	über	través	ADP	N
über	via	über	via	ADP	PROPN
über	rúa	über	rúa	ADP	N
über	ascende	über	ascender	ADP	V
über	riba	über	riba	ADP	ADV
über	da	über	da	ADP	V
über	enriba	über	enriba	ADP	ADV
über	arriba	über	arriba	ADP	ADV
einem	un	ein	un	PRO;DAT;INDF;MASC;SG	DET
einem	unha	ein	un	PRO;DAT;INDF;MASC;SG	DET
einem	unha	ein	un	PRO;DAT;INDF;MASC;SG	DET
einem	un	ein	un	PRO;DAT;INDF;MASC;SG	DET
wie	como	wie	como	ADP	PRO
wie	que	wie	que	ADP	PRO
wie	canto	wie	canto	ADP	PRO
wie	como	wie	como	ADP	PRO
wie	coma	wie	coma	ADP	CONJ
wie	así	wie	así	ADP	ADV
wie	como	wie	como	ADP	PRO
wie	coma	wie	coma	ADP	CONJ
nur	único	nur	único	ADV	ADJ
nur	única	nur	único	ADV	ADJ
nur	de	nur	de	ADV	ADP
noch	segue	noch	seguir	ADV	V
noch	non	noch	non	ADV	PART
noch	nin	noch	nin	ADV	CONJ
noch	non	noch	non	ADV	PART
unter	na	unter	na	ADP	N
unter	no	unter	no	ADP	V
unter	debaixo	unter	debaixo	ADP	ADV
hat	sombreiro	haben	sombreiro	V;IND;SG;3;PRS;FIN	N
hat	o	haben	o	V;IND;SG;3;PRS;FIN	DET
hat	chapeu	haben	chapar	V;IND;SG;3;PRS;FIN	N
hat	sombreiriño	haben	sombreiriño	V;IND;SG;3;PRS;FIN	PROPN
artikel	artigo	artikel	artigo	ADJ	N
artikel	obxectos	artikel	obxecto	ADJ	N
artikel	os	artikel	o	ADJ	DET
artikel	puntos	artikel	punto	ADJ	N
artikel	artigos	artikel	artigo	ADJ	N
artikel	das	artikel	das	ADJ	N
artikel	artigos	artikel	artigo	ADJ	N
man	home	man	home	PRO;NOM;INDF;SG	N
man	meu	man	meu	PRO;NOM;INDF;SG	DET
vor	diante	vor	diante	ADP	ADV
vor	fronte	vor	fronte	ADP	N
vor	antes	vor	antes	ADP	ADV
vor	antes	vor	antes	ADP	ADV
wurden	foi	werden	ser	V;IND;PL;3;PST;FIN;PASS	V
wurden	a	werden	o	V;IND;PL;3;PST;FIN;PASS	DET
wurden	converteuse	werden	converteuse	V;IND;PL;3;PST;FIN;PASS	V
wurden	nunha	werden	nunha	V;IND;PL;3;PST;FIN;PASS	N
wurden	nun	werden	nun	V;IND;PL;3;PST;FIN;PASS	PROPN
wurden	en	werden	en	V;IND;PL;3;PST;FIN;PASS	ADP
wurden	se	werden	se	V;IND;PL;3;PST;FIN;PASS	CONJ
wurden	converteu	werden	converter	V;IND;PL;3;PST;FIN;PASS	V
wurden	eran	werden	ser	V;IND;PL;3;PST;FIN;PASS	V
wurden	foron	werden	ser	V;IND;PL;3;PST;FIN;PASS	V
sein	ser	sein	ser	DET;NOM;MASC;SG	V
sein	estar	sein	estar	DET;NOM;MASC;SG	V
diese	esta	dies	este	PRO;NOM;FEM;SG	DET
diese	este	dies	este	PRO;NOM;FEM;SG	DET
diese	estas	dies	este	PRO;NOM;FEM;SG	DET
diese	estes	dies	este	PRO;NOM;FEM;SG	DET
vom	de	vom	de		ADP
vom	do	vom	do		PROPN
vom	dos	vom	dos		PROPN
vom	da	vom	da		V
vom	de	vom	de		ADP
vom	da	vom	da		V
vom	do	vom	do		PROPN
vom	dende	vom	dende		ADP
kann	poden	können	poder	V;IND;SG;3;PRS;FIN	V
kann	pode	können	poder	V;IND;SG;3;PRS;FIN	V
kann	maio	können	maio	V;IND;SG;3;PRS;FIN	N
kann	que	können	que	V;IND;SG;3;PRS;FIN	PRO
kann	podo	können	podar	V;IND;SG;3;PRS;FIN	V
kann	poden	können	poder	V;IND;SG;3;PRS;FIN	V
kann	podo	können	podar	V;IND;SG;3;PRS;FIN	V
kann	podes	können	poder	V;IND;SG;3;PRS;FIN	V
kann	podemos	können	poder	V;IND;SG;3;PRS;FIN	V
kann	pode	können	poder	V;IND;SG;3;PRS;FIN	V
kann	non	können	non	V;IND;SG;3;PRS;FIN	PART
seine	sena	sein	seno	DET;NOM;FEM;SG	N
seit	xa	seit	xa	ADP	ADV
seit	que	seit	que	ADP	PRO
dieser	esta	dies	este	PRO;NOM;MASC;SG	DET
dieser	este	dies	este	PRO;NOM;MASC;SG	DET
wenn	cando	wenn	cando	CONJ	PRO
dann	e	dann	e	ADV	CONJ
zwei	dous	zwei	dous	NUM	N
zwei	dúas	zwei	dous	NUM	N
jahre	ano	jahren	ano	ADV	N
jahre	anos	jahren	ano	ADV	N
mai	poden	mai	poder	PROPN;NOM;MASC;SG	V
mai	pode	mai	poder	PROPN;NOM;MASC;SG	V
mai	maio	mai	maio	PROPN;NOM;MASC;SG	N
mai	que	mai	que	PROPN;NOM;MASC;SG	PRO
mai	podo	mai	podar	PROPN;NOM;MASC;SG	V
was	o	was	o	PRO;NOM;NEUT;SG	DET
hatte	que	haben	que	V;IND;SG;3;PST;FIN	PRO
zwischen	os	zwischen	o	ADP	DET
team	de	team	de	N;NOM;NEUT;SG	ADP
gegen	os	gegen	o	ADP	DET
keine	ningunha	kein	ningún	PRO;NOM;INDF;FEM;SG;NEG	DET
keine	ningún	kein	ningún	PRO;NOM;INDF;FEM;SG;NEG	DET
keine	non	kein	non	PRO;NOM;INDF;FEM;SG;NEG	PART
keine	é	kein	ser	PRO;NOM;INDF;FEM;SG;NEG	V
keine	non	kein	non	PRO;NOM;INDF;FEM;SG;NEG	PART
keine	hai	kein	haber	PRO;NOM;INDF;FEM;SG;NEG	V
waren	bens	sein	ben	V;IND;PL;3;PST;FIN	N
waren	luxo	sein	luxo	V;IND;PL;3;PST;FIN	N
waren	o	sein	o	V;IND;PL;3;PST;FIN	DET
waren	ben	sein	ben	V;IND;PL;3;PST;FIN	ADV
waren	eran	sein	ser	V;IND;PL;3;PST;FIN	V
waren	foron	sein	ser	V;IND;PL;3;PST;FIN	V
waren	mercadoría	sein	mercadoría	V;IND;PL;3;PST;FIN	N
zeit	período	zeit	período	ADJ	N
zeit	periodo	zeit	periodo	ADJ	N
zeit	tempo	zeit	tempo	ADJ	N
zeit	a	zeit	o	ADJ	DET
zeit	adolescencia	zeit	adolescencia	ADJ	N
zeit	momento	zeit	momento	ADJ	N
zeit	tempo	zeit	tempo	ADJ	N
zeit	vez	zeit	vez	ADJ	N
zeit	hora	zeit	hora	ADJ	N
stadt	cidade	staden	cidade		N
stadt	pobo	staden	pobo		N
stadt	vila	staden	vila		N
stadt	aldea	staden	aldea		N
stadt	city	staden	city		PROPN
stadt	cidade	staden	cidade		N
stadt	da	staden	da		V
stadt	cidades	staden	cidade		N
stadt	nas	staden	nas		PROPN
wieder	outra	wieder	outro	ADV	DET
wieder	vez	wieder	vez	ADV	N
wieder	novo	wieder	novo	ADV	ADJ
wieder	de	wieder	de	ADV	ADP
wieder	volver	wieder	volver	ADV	V
wieder	volta	wieder	volta	ADV	N
haben	que	haben	que	V;IND;PL;3;FIN	PRO
gibt	está	geben	estar	V;IND;SG;3;PRS;FIN	V
deutscher	alemaña	deutsch	alemaña	ADJ	PROPN
deutscher	alemáns	deutsch	alemán	ADJ	N
deutscher	alemáns	deutsch	alemán	ADJ	N
jahren	anos	jahren	ano	ADJ	N
mal	cando	mal	cando	ADV	PRO
mal	unha	mal	un	ADV	DET
mal	vez	mal	vez	ADV	N
mal	veces	mal	vez	ADV	N
mal	times	mal	time	ADV	PROPN
mal	tempos	mal	tempo	ADV	N
jedoch	con	jedoch	con	ADV	ADP
jedoch	todo	jedoch	todo	ADV	DET
jedoch	sen	jedoch	sen	ADV	ADP
jedoch	embargo	jedoch	embargo	ADV	N
jedoch	pero	jedoch	pero	ADV	CONJ
jedoch	pero	jedoch	pero	ADV	CONJ
jedoch	mais	jedoch	mais	ADV	CONJ
dort	hai	dort	haber	ADV	V
seed	sementes	seed	semente		N
seed	semente	seed	semente		N
drei	tres	drei	tres	NUM	N
etwa	sobre	etwa	sobre	ADV	ADP
etwa	de	etwa	de	ADV	ADP
deutschen	alemaña	deutsch	alemaña	ADJ	PROPN
deutschen	alemáns	deutsch	alemán	ADJ	N
deutschen	alemáns	deutsch	alemán	ADJ	N
teil	parte	teil	parte	ADV	N
berlin	de	berlin	de	PROPN;NOM;NEUT;SG	ADP
berlin	berlín	berlin	berlín	PROPN;NOM;NEUT;SG	PROPN
heute	día	heute	día	ADV	N
habe	teño	haben	ter	V;SBJV;SG;3;PRS;FIN	V
habe	que	haben	que	V;SBJV;SG;3;PRS;FIN	PRO
habe	tes	haben	tes	V;SBJV;SG;3;PRS;FIN	V
habe	ten	haben	ter	V;SBJV;SG;3;PRS;FIN	V
habe	temos	haben	ter	V;SBJV;SG;3;PRS;FIN	V
habe	que	haben	que	V;SBJV;SG;3;PRS;FIN	PRO
habe	ter	haben	ter	V;SBJV;SG;3;PRS;FIN	V
habe	teñen	haben	ter	V;SBJV;SG;3;PRS;FIN	V
habe	temos	haben	ter	V;SBJV;SG;3;PRS;FIN	V
habe	teño	haben	ter	V;SBJV;SG;3;PRS;FIN	V
alle	todo	alle	todo	PRO;NOM;INDF;PL	DET
alle	todos	alle	todo	PRO;NOM;INDF;PL	DET
alle	mundo	alle	mundo	PRO;NOM;INDF;PL	N
alle	o	alle	o	PRO;NOM;INDF;PL	DET
alle	todo	alle	todo	PRO;NOM;INDF;PL	DET
alle	todos	alle	todo	PRO;NOM;INDF;PL	DET
alle	todas	alle	todo	PRO;NOM;INDF;PL	DET
alle	todo	alle	todo	PRO;NOM;INDF;PL	DET
alle	o	alle	o	PRO;NOM;INDF;PL	DET
alle	mundo	alle	mundo	PRO;NOM;INDF;PL	N
alle	todos	alle	todo	PRO;NOM;INDF;PL	DET
während	durante	während	durante	CONJ	ADP
während	na	während	na	CONJ	N
während	mentres	während	mentres	CONJ	ADV
während	tempo	während	tempo	CONJ	N
ihre	túa	ihr	teu	DET;NOM;FEM;SG	PRO
ihre	ela	ihr	el	DET;NOM;FEM;SG	PRO
ihre	túa	ihr	teu	DET;NOM;FEM;SG	PRO
damit	que	damit	que	ADV	PRO
anderen	outra	ander	outro	ADJ;NOM;PL	DET
anderen	outros	ander	outro	ADJ;NOM;PL	DET
anderen	outro	ander	outro	ADJ;NOM;PL	DET
anderen	outras	ander	outro	ADJ;NOM;PL	DET
anderen	aos	ander	aos	ADJ;NOM;PL	PROPN
anderen	outros	ander	outro	ADJ;NOM;PL	DET
anderen	demais	ander	demais	ADJ;NOM;PL	DET
anderen	outras	ander	outro	ADJ;NOM;PL	DET
später	despois	spät	despois	ADJ	ADV
später	máis	spät	máis	ADJ	ADV
später	tarde	spät	tarde	ADJ	N
später	logo	spät	logo	ADJ	ADV
können	poden	können	poder	V;IND;PL;3;PRS;FIN	V
können	podo	können	podar	V;IND;PL;3;PRS;FIN	V
können	podes	können	poder	V;IND;PL;3;PRS;FIN	V
können	podemos	können	poder	V;IND;PL;3;PRS;FIN	V
können	pode	können	poder	V;IND;PL;3;PRS;FIN	V
können	non	können	non	V;IND;PL;3;PRS;FIN	PART
mir	min	ich	min	PRO;DAT;SG;1	
ihr	a	ihr	o	PRO;NOM;MASC;SG	DET
ihr	teu	ihr	teu	PRO;NOM;MASC;SG	DET
ihr	o	ihr	o	PRO;NOM;MASC;SG	DET
ihr	seu	ihr	seu	PRO;NOM;MASC;SG	DET
ihr	súa	ihr	seu	PRO;NOM;MASC;SG	DET
ihr	a	ihr	o	PRO;NOM;MASC;SG	DET
ihr	seu	ihr	seu	PRO;NOM;MASC;SG	DET
ihr	súa	ihr	seu	PRO;NOM;MASC;SG	DET
liegt	está	liegen	estar	V;IND;SG;3;PRS;FIN	V
liegt	mentira	liegen	mentira	V;IND;SG;3;PRS;FIN	ADJ
liegt	mentiras	liegen	mentira	V;IND;SG;3;PRS;FIN	N
august	de	augusten	de	PROPN;NOM;MASC;SG	ADP
august	agosto	augusten	agosto	PROPN;NOM;MASC;SG	N
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	PROPN
sollte	debería	sollen	deber	V;IND;SG;3;PST;FIN	V
sollte	que	sollen	que	V;IND;SG;3;PST;FIN	PRO
deutschland	alemaña	deutschland	alemaña	PROPN;NOM	PROPN
ihm	o	er	o	PRO;DAT;MASC;SG;3	DET
ihm	está	er	estar	PRO;DAT;MASC;SG;3	V
ende	termina	ende	terminar	N;ACC;NEUT;SG	V
ende	remata	ende	rematar	N;ACC;NEUT;SG	V
ende	a	ende	o	N;ACC;NEUT;SG	DET
ende	terminar	ende	terminar	N;ACC;NEUT;SG	V
ende	rematar	ende	rematar	N;ACC;NEUT;SG	V
ende	acabar	ende	acabar	N;ACC;NEUT;SG	V
märz	marzo	märz	marzo	PROPN;NOM;MASC;SG	N
märz	de	märz	de	PROPN;NOM;MASC;SG	ADP
märz	marcha	märz	marcha	PROPN;NOM;MASC;SG	N
deutsche	alemaña	deutsch	alemaña	ADJ;NOM;FEM;PL	PROPN
deutsche	alemáns	deutsch	alemán	ADJ;NOM;FEM;PL	N
deutsche	alemáns	deutsch	alemán	ADJ;NOM;FEM;PL	N
band	banda	binden	banda		N
band	cinta	binden	cintar		N
januar	xaneiro	januar	xaneiro	PROPN;NOM;MASC;SG	N
januar	de	januar	de	PROPN;NOM;MASC;SG	ADP
doch	non	doch	non	ADV	PART
doch	pero	doch	pero	ADV	CONJ
doch	mais	doch	mais	ADV	CONJ
oktober	outubro	oktober	outubro	PROPN;NOM;SG	N
oktober	de	oktober	de	PROPN;NOM;SG	ADP
also	que	also	que	ADV	PRO
ihn	o	er	o	PRO;ACC;MASC;SG;3	DET
kirche	igrexas	kirche	igrexa		N
kirche	igrexa	kirche	igrexir		N
kirche	á	kirche	á		N
kirche	da	kirche	da		V
juni	xuño	juni	xuño	PROPN;NOM;MASC;SG	N
konnte	podía	können	podía	V;IND;SG;3;PST;FIN	V
konnte	podería	können	poder	V;IND;SG;3;PST;FIN	V
konnte	podía	können	podía	V;IND;SG;3;PST;FIN	V
konnte	non	können	non	V;IND;SG;3;PST;FIN	PART
konnte	puiden	können	pudir	V;IND;SG;3;PST;FIN	V
konnte	podería	können	poder	V;IND;SG;3;PST;FIN	V
april	abril	april	abril	PROPN;NOM;MASC;SG	N
april	de	april	de	PROPN;NOM;MASC;SG	ADP
september	setembro	september	setembro	PROPN;SG	N
september	de	september	de	PROPN;SG	ADP
selbst	nin	selbst	nin	ADV	CONJ
selbst	mesmo	selbst	mesmo	ADV	DET
selbst	eu	selbst	eu	ADV	PRO
selbst	presente	selbst	presente	ADV	ADJ
selbst	mesmo	selbst	mesmo	ADV	DET
selbst	mesma	selbst	mesmo	ADV	DET
selbst	se	selbst	se	ADV	CONJ
selbst	min	selbst	min	ADV	
selbst	mesma	selbst	mesmo	ADV	DET
selbst	mesmo	selbst	mesmo	ADV	DET
selbst	eu	selbst	eu	ADV	PRO
selbst	me	selbst	me	ADV	PRO
selbst	te	selbst	te	ADV	PRO
selbst	mesmo	selbst	mesmo	ADV	DET
selbst	ti	selbst	ti	ADV	
selbst	vostede	selbst	vostede	ADV	PROPN
weitere	máis	weit	máis	ADJ;NOM;FEM;PL	ADV
weitere	lonxe	weit	lonxe	ADJ;NOM;FEM;PL	ADV
weitere	máis	weit	máis	ADJ;NOM;FEM;PL	ADV
juli	xullo	juli	xullo	PROPN;NOM;MASC;SG	N
juli	de	juli	de	PROPN;NOM;MASC;SG	ADP
andere	outra	ander	outro	ADJ;NOM;FEM;PL	DET
andere	outros	ander	outro	ADJ;NOM;FEM;PL	DET
andere	outro	ander	outro	ADJ;NOM;FEM;PL	DET
andere	outras	ander	outro	ADJ;NOM;FEM;PL	DET
andere	aos	ander	aos	ADJ;NOM;FEM;PL	PROPN
andere	outros	ander	outro	ADJ;NOM;FEM;PL	DET
andere	demais	ander	demais	ADJ;NOM;FEM;PL	DET
andere	outras	ander	outro	ADJ;NOM;FEM;PL	DET
kein	non	kein	non	PRO;NOM;INDF;MASC;SG;NEG	PART
kein	non	kein	non	PRO;NOM;INDF;MASC;SG;NEG	PART
kein	hai	kein	haber	PRO;NOM;INDF;MASC;SG;NEG	V
geschichte	historia	geschicht	historia		N
geschichte	relato	geschicht	relato		N
geschichte	historia	geschicht	historia		N
geschichte	da	geschicht	da		V
dezember	decembro	dezember	decembro	PROPN;NOM;MASC;SG	N
dezember	de	dezember	de	PROPN;NOM;MASC;SG	ADP
universität	universidade	universität	universidade	ADJ	N
universität	de	universität	de	ADJ	ADP
universität	da	universität	da	ADJ	V
universität	universidades	universität	universidade	ADJ	N
platz	cadrado	platz	cadrado	ADV	ADJ
platz	square	platz	square	ADV	V
platz	cadradas	platz	cadrada	ADV	ADJ
platz	praza	platz	praza	ADV	N
platz	limpo	platz	limpo	ADV	ADJ
platz	lugar	platz	lugar	ADV	N
platz	casa	platz	casa	ADV	N
platz	sitio	platz	sitio	ADV	N
platz	espazo	platz	espazo	ADV	N
platz	espacio	platz	espacio	ADV	N
platz	no	platz	no	ADV	V
ihrer	túa	ihr	teu	DET;NOM;MASC;SG	PRO
ihrer	túa	ihr	teu	DET;NOM;MASC;SG	PRO
steht	está	stehen	estar	V;IND;SG;3;PRS;FIN	V
steht	entre	stehen	entre	V;IND;SG;3;PRS;FIN	ADP
november	novembro	november	novembro	PROPN	N
november	de	november	de	PROPN	ADP
bzw	ou	bzw	ou		CONJ
wir	temos	wir	ter	PRO;NOM;PL;1	V
wir	nós	wir	nós	PRO;NOM;PL;1	ADV
jahrhundert	século	jahrhundert	século	ADJ	N
jahrhundert	xiii	jahrhundert	xiii	ADJ	PROPN
beiden	tanto	beide	tanto	PRO;NOM;INDF;PL	ADV
beiden	dúas	beide	dous	PRO;NOM;INDF;PL	N
beiden	dous	beide	dous	PRO;NOM;INDF;PL	N
beiden	os	beide	o	PRO;NOM;INDF;PL	DET
beiden	ambos	beide	ambos	PRO;NOM;INDF;PL	DET
beiden	dous	beide	dous	PRO;NOM;INDF;PL	N
beiden	dúas	beide	dous	PRO;NOM;INDF;PL	N
vier	catro	vier	catro	NUM	N
zweiten	segundo	zweit	segundo	ADJ;NOM;MASC;PL	ADP
seite	secundarios	seit	secundario	N	ADJ
februar	febreiro	februaer	febreiro	PROPN;NOM;SG	N
februar	de	februaer	de	PROPN;NOM;SG	ADP
dessen	que	der	que	DET;GEN;MASC;SG	PRO
dessen	cuxo	der	cuxo	DET;GEN;MASC;SG	N
dessen	cuxa	der	cuxa	DET;GEN;MASC;SG	N
dessen	cuxos	der	cuxo	DET;GEN;MASC;SG	N
dessen	de	der	de	DET;GEN;MASC;SG	ADP
dessen	quen	der	quen	DET;GEN;MASC;SG	PRO
soll	que	sollen	que	V;IND;SG;3;PRS;FIN	PRO
soll	debería	sollen	deber	V;IND;SG;3;PRS;FIN	V
soll	que	sollen	que	V;IND;SG;3;PRS;FIN	PRO
gab	a	geben	o	V;IND;SG;3;PST;FIN	DET
etwas	algo	etwas	algo	ADV	PRO
etwas	cousa	etwas	cousa	ADV	N
mich	min	ich	min	PRO;ACC;SG;1	
mich	min	ich	min	PRO;ACC;SG;1	
mich	mesma	ich	mesmo	PRO;ACC;SG;1	DET
mich	mesmo	ich	mesmo	PRO;ACC;SG;1	DET
zusammen	xuntos	zusammen	xunto	ADV	ADJ
neben	lado	neben	lado	ADP	N
neben	ao	neben	ao	ADP	PROPN
neben	ademais	neben	ademais	ADP	ADV
neben	ademáis	neben	ademáis	ADP	ADV
neben	e	neben	e	ADP	CONJ
allerdings	con	allerdings	con	ADV	ADP
allerdings	todo	allerdings	todo	ADV	DET
allerdings	sen	allerdings	sen	ADV	ADP
allerdings	embargo	allerdings	embargo	ADV	N
allerdings	pero	allerdings	pero	ADV	CONJ
allerdings	pero	allerdings	pero	ADV	CONJ
allerdings	mais	allerdings	mais	ADV	CONJ
allerdings	que	allerdings	que	ADV	PRO
allerdings	se	allerdings	se	ADV	CONJ
film	película	falmen	película		N
film	filme	falmen	filme		N
film	cine	falmen	cinir		N
film	cinema	falmen	cinema		N
film	película	falmen	película		N
film	filme	falmen	filme		N
wäre	que	sein	que	V;SBJV;SG;3;PST;FIN	PRO
leben	vivo	leben	vivo	V;NFIN	ADJ
leben	vida	leben	vida	V;NFIN	N
leben	vida	leben	vida	V;NFIN	N
leben	a	leben	o	V;NFIN	DET
leben	estilo	leben	estilo	V;NFIN	N
leben	de	leben	de	V;NFIN	ADP
leben	vida	leben	vida	V;NFIN	N
leben	vivo	leben	vivo	V;NFIN	ADJ
leben	viva	leben	vivo	V;NFIN	ADJ
namen	nome	name	nome		N
namen	se	name	se		CONJ
namen	nomes	name	nome		N
namen	nome	name	nome		N
namen	os	name	o		DET
weil	por	weil	por	CONJ	ADP
bitte	por	bitte	por		ADP
bitte	favor	bitte	favor		N
relevanz	relevancia	relevanz	relevancia	ADJ	N
muss	debo	müssen	deber	V;IND;SG;3;PRS;FIN	V
muss	que	müssen	que	V;IND;SG;3;PRS;FIN	PRO
muss	debe	müssen	deber	V;IND;SG;3;PRS;FIN	V
muss	debemos	müssen	deber	V;IND;SG;3;PRS;FIN	V
muss	deben	müssen	deber	V;IND;SG;3;PRS;FIN	V
muss	hai	müssen	haber	V;IND;SG;3;PRS;FIN	V
einige	algúns	einige	algún	PRO;NOM;INDF;PL	DET
einige	algunhas	einige	algún	PRO;NOM;INDF;PL	DET
einige	de	einige	de	PRO;NOM;INDF;PL	ADP
einige	un	einige	un	PRO;NOM;INDF;PL	DET
mitglied	membro	mitglied	membro	ADJ	N
mitglied	da	mitglied	da	ADJ	V
mitglied	membros	mitglied	membro	ADJ	N
wegen	porque	wegen	porque	ADP	CONJ
deren	que	der	que	DET;GEN;PL	PRO
deren	cuxo	der	cuxo	DET;GEN;PL	N
deren	cuxa	der	cuxa	DET;GEN;PL	N
deren	cuxos	der	cuxo	DET;GEN;PL	N
deren	de	der	de	DET;GEN;PL	ADP
deren	quen	der	quen	DET;GEN;PL	PRO
viele	moita	viel	moito	ADJ;NOM;INDF;PL	DET
viele	moreas	viel	morea	ADJ;NOM;INDF;PL	N
viele	moitas	viel	moito	ADJ;NOM;INDF;PL	DET
viele	moito	viel	moito	ADJ;NOM;INDF;PL	ADV
viele	moitos	viel	moito	ADJ;NOM;INDF;PL	DET
viele	moitos	viel	moito	ADJ;NOM;INDF;PL	DET
viele	cantas	viel	canto	ADJ;NOM;INDF;PL	DET
viele	moitas	viel	moito	ADJ;NOM;INDF;PL	DET
viele	cantos	viel	canto	ADJ;NOM;INDF;PL	N
text	texto	Text	texto		N
