den	the	den	the	PRO;DEF;MASC+FEM;SG	
högsta	høyeste	hög	høyeste	ADJ;NOM;DEF;RL	N;INDF;NEUT;SG
kan	kunne	kunna	kunne	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
kan	kan	kunna	kunne	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
kan	can	kunna	cann	V;IND;PRS;FIN;ACT	N
externa	ekstern	ext	ekstern	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;SG
externa	eksternt	ext	eksternt	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;NEUT;SG
externa	eksterne	ext	ekstern	N;NOM;DEF;MASC+FEM;PL	ADJ;PL
läge	beliggenhet	läge	beliggenhet	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
läge	sted	läge	stå	N;NOM;INDF;NEUT;SG	
även	even	även	even	ADV	N;INDF;MASC;SG
även	selv	även	selv	ADV	
även	tilogmed	även	tilogmed	ADV	N;INDF;MASC;SG
sjö	havet	sjö	hav	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
inte	ikke	inte	ikke	PART;NEG	
inte	not	inte	not	PART;NEG	N;INDF;NEUT;SG
sig	sig	sig	sige	PRO;ACC;DEF	N;INDF;MASC;SG
två	two	två	Two	NUM;NOM	
lac	lac	lac	lac	V;IMP;FIN;ACT	N;INDF;MASC;SG
terrängen	terreng	terräng	terreng	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
long	lenge	long	lenge	N;NOM;INDF;MASC+FEM;SG	ADJ
long	lang	long	lang	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
long	lange	long	lang	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
lat	lat	lat	la	N;NOM;INDF;MASC+FEM;SG	V;IMP;FIN
växer	dyrket	växa	dyrke	V;IND;PRS;FIN;ACT	N;DEF;NEUT;SG
växer	vokser	växa	vokse	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
växer	voksende	växa	voksende	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
växer	voks	växa	vekse	V;IND;PRS;FIN;ACT	V;IND;PST;FIN
växer	vokse	växa	vokse	V;IND;PRS;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
växer	vokser	växa	vokse	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
många	mangt	mången	mangt	PRO;INDF;PL	N;INDF;MASC;SG
många	many	mången	many	PRO;INDF;PL	N
många	mangen	mången	mang	PRO;INDF;PL	N;DEF;MASC;SG
många	mange	mången	mange	PRO;INDF;PL	ADJ;PL
efter	after	efter	after	ADP	N;INDF;NEUT;SG
efter	etterpå	efter	etterpå	ADP	ADV
efter	efter	efter	efter	ADP	
nära	nære	nära	nær	ADV	ADJ;PL
nära	lukk	nära	lukk	ADV	N;INDF;NEUT;SG
nära	lukke	nära	lukke	ADV	N;INDF;FEM;SG
nära	nær	nära	nær	ADV	ADJ;INDF;SG
nära	close	nära	close	ADV	N
nära	nært	nära	nær	ADV	ADJ;INDF;NEUT;SG
nära	near	nära	near	ADV	N;INDF;MASC;SG
nära	nær	nära	nær	ADV	ADJ;INDF;SG
väster	vest	väster	vest	N;NOM;INDF;MASC+FEM;SG	ADP
väster	vesten	väster	vest	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
provins	provinsen	provins	provins	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
öster	east	öster	eest	N;NOM;INDF;MASC+FEM;SG	PROPN
först	første	först	første	ADV	ADJ;DEF;SG
först	forst	först	forst	ADV	N;INDF;MASC;SG
först	first	först	first	ADV	N
berg	fjellet	berg	fjell	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
indonesien	indonesia	indonesien	indonesie	PROPN;NOM	N;INDF;NEUT;SG
usa	usa	usa	usa	PROPN;NOM	N
mars	marsjere	mars	marsjere	N;NOM;INDF;MASC+FEM;SG	V;NFIN
mindre	lesser	lite	lesse	ADV;CMPR	N;INDF;FEM;PL
mindre	mindre	lite	liten	ADV;CMPR	ADJ;CMPR
mindre	mindreårig	lite	mindreårig	ADV;CMPR	ADJ;INDF;NEUT;SG
mindre	mindre	lite	liten	ADV;CMPR	ADJ;CMPR
mindre	minor	lite	minor	ADV;CMPR	N;INDF;MASC;SG
mindre	færre	lite	få	ADV;CMPR	ADJ;CMPR
mindre	less	lite	less	ADV;CMPR	
mindre	mindre	lite	liten	ADV;CMPR	ADJ;CMPR
norr	nordover	norr	nordov	N;NOM;INDF;MASC+FEM;SG	ADP
norr	north	norr	north	N;NOM;INDF;MASC+FEM;SG	PROPN
norr	nord	norr	nord	N;NOM;INDF;MASC+FEM;SG	ADP
man	mannfolk	man	mannfolk	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
man	mannen	man	mann	PRO;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
man	mann	man	mann	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
större	majoren	stor	major	ADJ;NOM;CMPR	N;DEF;MASC;SG
större	major	stor	major	ADJ;NOM;CMPR	N;INDF;MASC;SG
större	dur	stor	dur	ADJ;NOM;CMPR	N;INDF;MASC;SG
större	avdelingsleder	stor	avdelingslede	ADJ;NOM;CMPR	N;INDF;FEM;PL
centrala	central	central	central	ADJ;NOM;PL	N;INDF;MASC;SG
centrala	sentral	central	sentral	ADJ;NOM;PL	ADJ;INDF;SG
centrala	sentralt	central	sentral	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
nordväst	nordvest	nordväst	nordvest	ADV	ADP
blev	ble	bli	ble	V;IND;PST;FIN;ACT	
andra	sekund	annan	sekund	PRO;INDF;PL	N;INDF;NEUT;SG
andra	andre	annan	annan	PRO;INDF;PL	DET;PL
andra	second	annan	second	PRO;INDF;PL	N
andra	andre	annan	annan	PRO;INDF;PL	DET;PL
andra	annet	annan	annet	PRO;INDF;PL	N;INDF;NEUT;SG
andra	annen	annan	annen	PRO;INDF;PL	N;INDF;MASC;SG
andra	andre	annan	annan	PRO;INDF;PL	DET;PL
där	hvor	där	hvor	ADV	
nordost	nordøst	nordost	nordøs	ADV	N;INDF;NEUT;SG
nog	nog	nog	nog	ADV	N;INDF;MASC;SG
huvudsakligen	hovedsakelig	huvudsakligen	hovedsakelig	ADV	N;INDF;FEM;SG
huvudsakligen	hovedsaklig	huvudsakligen	hovedsaklig	ADV	ADJ;INDF;NEUT;SG
huvudsakligen	primært	huvudsakligen	primær	ADV	ADJ;INDF;NEUT;SG
ovanligt	uvanlige	ovanlig	uvanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
namngivna	navngitt	namngiven	navngitt	ADJ;NOM;PL;PST;V.PTCP	N;INDF;MASC;SG
namngivna	oppkalt	namngiven	oppkalt	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;SG;V.PTCP
söder	syden	söder	syde	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
söder	sør	söder	sør	N;NOM;INDF;MASC+FEM;SG	ADP
söder	south	söder	south	N;NOM;INDF;MASC+FEM;SG	PROPN
mycket	svært	mycket	svær	ADV	ADJ;INDF;NEUT;SG
mycket	very	mycket	very	ADV	
mycket	meget	mycket	meget	ADV	N;DEF;NEUT;SG
mycket	veldig	mycket	veldig	ADV	ADJ;INDF;NEUT;SG
mycket	mye	mycket	mye	ADV	N;INDF;MASC;SG
regionen	region	region	region	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
ottawa	ottawa	ottal	ottawe	PROPN;NOM	PROPN
närmaste	nærmeste	nära	nærmast	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
närmaste	nærmeste	nära	nærmast	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
närmaste	nærmest	nära	nær	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
cest	cest	cest	cra		N
platt	platt	platt	platt	ADV	N;INDF;MASC;SG
platt	flat	platt	flat	ADV	ADJ;INDF;SG
platt	flatt	platt	flat	ADV	ADJ;INDF;NEUT;SG
platt	flate	platt	flate	ADV	N;INDF;NEUT;SG
född	born	född	barn	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;INDF;NEUT;PL
finland	finland	finland	finland	PROPN;NOM	N;INDF;NEUT;SG
finland	finlands	finland	finlands	PROPN;NOM	N;INDF;MASC;SG
samhälle	samfunnet	samhälle	samfunn	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
samhälle	samfunnet	samhälle	samfunn	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
samhälle	fellesskapet	samhälle	fellesskap	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
hon	hun	hon	hun	PRO;NOM;DEF;MASC+FEM;SG	
hon	she	hon	she	PRO;NOM;DEF;MASC+FEM;SG	N;INDF;SG
består	komponert	bestå	komponere	V;IND;PRS;FIN;ACT	ADJ;INDF;SG;V.PTCP
platser	seter	plats	seter	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
platser	posisjoner	plats	posisjon	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
platser	spisesteder	plats	spisestede	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
platser	nettsteder	plats	nettstede	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
första	først	en	først	ADJ;NOM	ADV
första	forst	en	forst	ADJ;NOM	N;INDF;MASC;SG
första	first	en	first	ADJ;NOM	N
fick	henta	få	hente	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
fick	got	få	got	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
fick	har	få	ha	V;IND;PST;FIN;ACT	V;IND;PRS;FIN
fick	mottatte	få	motta	V;IND;PST;FIN;ACT	N;INDF;FEM;SG
fick	mottatt	få	motta	V;IND;PST;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
sydväst	sørvest	sydväst	sørvest	ADV	ADP
sydväst	sydvest	sydväst	sydvast	ADV	N;INDF;MASC;SG
området	areal	område	areal	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
området	område	område	område	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
området	area	område	area	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
australien	australia	australien	australia	PROPN;NOM	N;INDF;MASC;SG
sydöstra	sørøst	sydöstra	sørøs	ADJ;NOM;DEF;SG	N;INDF;NEUT;SG
bar	bar	ba	bere	N;NOM;INDF;NEUT;SG	V;IND;PST;FIN
sydost	sørøst	sydost	sørøs	ADV	N;INDF;NEUT;SG
södra	sørlige	södra	sørlig	ADJ;NOM;DEF;SG	ADJ;PL
södra	southern	södra	southern	ADJ;NOM;DEF;SG	N;INDF;NEUT;SG
södra	søndre	södra	søndre	ADJ;NOM;DEF;SG	ADJ;CMPR
södra	syd	södra	syd	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
södra	syden	södra	syde	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
södra	sør	södra	sør	ADJ;NOM;DEF;SG	ADP
södra	south	södra	south	ADJ;NOM;DEF;SG	PROPN
toppen	flott	topp	flott	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
toppen	supert	topp	super	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
toppen	flotte	topp	flott	N;NOM;DEF;MASC+FEM;SG	ADJ;PL
toppen	kjempefint	topp	kjempefint	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
toppen	øverst	topp	øver	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
toppen	overdel	topp	overdel	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
toppen	topp	topp	topp	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
sverige	sweden	sverige	swede	PROPN;NOM	N;DEF;MASC;SG
sverige	sverige	sverige	sverige	PROPN;NOM	N;INDF;NEUT;SG
sedan	siden	sedan	siden	ADV	
östra	east	östra	eest	ADJ;NOM;DEF;SG	PROPN
östra	øst	östra	øs	ADJ;NOM;DEF;SG	N;INDF;NEUT;SG
östra	østlig	östra	østlig	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
östra	øst	östra	øs	ADJ;NOM;DEF;SG	N;INDF;NEUT;SG
genom	through	genom	through	ADP	
sitt	sitte	sig	sitte	PRO;DEF;NEUT;SG	N;INDF;MASC;SG
sitt	sit	sig	sitje	PRO;DEF;NEUT;SG	V;IND;PRS;FIN
norra	nordover	norra	nordov	ADJ;NOM;DEF;SG	ADP
norra	north	norra	north	ADJ;NOM;DEF;SG	PROPN
norra	nord	norra	nord	ADJ;NOM;DEF;SG	ADP
norra	nordlige	norra	nordlig	ADJ;NOM;DEF;SG	ADJ;PL
norra	northern	norra	northern	ADJ;NOM;DEF;SG	N;INDF;NEUT;SG
också	too	också	too	ADV	N
talet	tale	tal	tale	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
detta	this	denna	this	PRO;DEF;NEUT;SG	
detta	dette	denna	dette	PRO;DEF;NEUT;SG	PRO;NEUT;SG;3
detta	denne	denna	denne	PRO;DEF;NEUT;SG	PRO;SG;3
detta	detta	denna	dette	PRO;DEF;NEUT;SG	PRO;NEUT;SG;3
västra	west	onstra	west	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
västra	vest	onstra	vest	ADJ;NOM;DEF;SG	ADP
västra	vesten	onstra	vest	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
västra	vestlig	onstra	vestlig	ADJ;NOM;DEF;SG	ADJ;INDF;NEUT;SG
västra	vest	onstra	vest	ADJ;NOM;DEF;SG	ADP
västra	vestlige	onstra	vestlig	ADJ;NOM;DEF;SG	ADJ;PL
västra	western	onstra	western	ADJ;NOM;DEF;SG	N
del	del	del	dele	N;NOM;INDF;MASC+FEM;SG	V;IMP;FIN
del	del	del	dele	N;NOM;INDF;MASC+FEM;SG	V;IMP;FIN
riktning	retningen	riktning	retning	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
namn	navnet	namn	navn	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
vilket	hvilket	vilken	hvilk	PRO;INDF;NEUT;SG	N;DEF;NEUT;SG
vilket	hvilken	vilken	hvilk	PRO;INDF;NEUT;SG	N;DEF;MASC;SG
svenska	svensk	svensk	svensk	ADJ;NOM;PL	N;INDF;MASC;SG
svenska	svenska	svensk	svenske	ADJ;NOM;PL	N;INDF;MASC;SG
svensk	svenske	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
svensk	svensken	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
svensk	svenske	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
när	when	när	when	ADV	
frankrike	frankrike	frankrike	frankrike	PROPN;NOM	N;INDF;NEUT;SG
frankrike	france	frankrike	france	PROPN;NOM	N
död	døden	död	død	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
död	dødt	död	død	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
död	døde	död	død	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	PROPN
kina	china	kina	china	PROPN;NOM	N
kina	kina	kina	Kina	PROPN;NOM	PROPN
kommunen	kommune	kommun	kommune	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
klimatet	klima	klimate	klima	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
est	est	est	est	PROPN;NOM	N
jordbruksmark	jordbruksland	jordbruksmark	jordbruksland	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
text	teksten	text	tekst	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
lista	listen	lista	list	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
annat	andre	annan	annan	PRO;INDF;NEUT;SG	DET;PL
annat	annet	annan	annet	PRO;INDF;NEUT;SG	N;INDF;NEUT;SG
annat	annen	annan	annen	PRO;INDF;NEUT;SG	N;INDF;MASC;SG
edt	edt	edt	edt	NUM;NOM	N;INDF;MASC;SG
största	størst	stor	stor	ADJ;NOM;DEF;RL	ADJ;INDF;RL
största	størst	stor	stor	ADJ;NOM;DEF;RL	ADJ;INDF;RL
största	flotteste	stor	flotteste	ADJ;NOM;DEF;RL	N;INDF;NEUT;SG
största	greatest	stor	greaté	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
största	størst	stor	stor	ADJ;NOM;DEF;RL	ADJ;INDF;RL
skulle	ville	skola	vilje	V;IND;PST;FIN;ACT	V;IND;PST;FIN
inom	innenfor	inom	innenfor	ADP	
inom	innen	inom	innen	ADP	
departementet	avdeling	departement	avdeling	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
departementet	department	departement	department	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
departementet	departement	departement	departement	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
denna	this	denna	this	PRO;DEF;MASC+FEM;SG	
denna	dette	denna	dette	PRO;DEF;MASC+FEM;SG	PRO;NEUT;SG;3
denna	denne	denna	denne	PRO;DEF;MASC+FEM;SG	PRO;SG;3
denna	detta	denna	dette	PRO;DEF;MASC+FEM;SG	PRO;NEUT;SG;3
hill	hill	hill	hill	PROPN;NOM	PROPN
hill	ås	hill	ås	PROPN;NOM	N;INDF;MASC;SG
flera	flere	flera	flere	PRO;INDF;PL	
flera	multippel	flera	multippel	PRO;INDF;PL	N;INDF;NEUT;SG
nord	nordover	nord	nordov	PROPN;NOM	ADP
nord	north	nord	north	PROPN;NOM	PROPN
nord	nord	nord	nord	PROPN;NOM	ADP
nord	nord	nord	nord	PROPN;NOM	ADP
stockholm	stockholm	stockholm	stockholm	PROPN;NOM	N;INDF;NEUT;SG
stockholm	stockholms	stockholm	stockholm	PROPN;NOM	N;INDF;MASC;SG
alla	alle	all	alle	PRO;INDF;PL	PRO;PL;3
alla	alt	all	alt	PRO;INDF;PL	PRO;NEUT;SG;3
alla	all	all	all	PRO;INDF;PL	DET;MASC;SG
alla	alle	all	alle	PRO;INDF;PL	PRO;PL;3
samma	same	samma	same	DET;INDF	DET;DEF
samma	samme	samma	samme	DET;INDF	N;INDF;NEUT;SG
senare	senere	sen	senere	ADV;CMPR	
senare	seinere	sen	seinere	ADV;CMPR	N;INDF;NEUT;SG
senare	seinare	sen	sein	ADV;CMPR	ADJ;CMPR
olika	annerledes	olik	annerledes	ADJ;NOM;PL	N;INDF;MASC;SG
olika	forskjellig	olik	forskjellig	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
ort	byen	ort	by	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
nya	ny	ny	ny	ADJ;NOM;PL	ADJ;INDF;SG
nya	nyhet	ny	nyh	ADJ;NOM;PL	N;INDF;MASC;SG
nya	new	ny	new	ADJ;NOM;PL	N;INDF;SG
nya	nytt	ny	ny	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
island	island	island	island	PROPN;NOM	N;INDF;NEUT;SG
dock	imidlertid	dock	imidlertid	ADV	N;INDF;FEM;SG
dock	imidlertid	dock	imidlertid	ADV	N;INDF;FEM;SG
sjön	innsjø	sjö	innsjø	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
sjön	sjø	sjö	sjø	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
sjön	lake	sjö	lake	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
tidigare	tidligere	tidig	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidigare	tidligere	tidig	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidigare	tidligere	tidig	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidigare	tidligere	tidig	tidligere	ADV;CMPR	N;INDF;FEM;SG
tidigare	førre	tidig	førre	ADV;CMPR	DET;DEF
tidigare	forrige	tidig	forrige	ADV;CMPR	ADJ;PL
brasilien	brasil	brasili	brasil	PROPN;NOM	N;INDF;MASC;SG
colombia	columbia	colombia	columbi	PROPN;NOM	PROPN
colombia	colombias	colombia	colombias	PROPN;NOM	N
colombia	colombia	colombia	colombi	PROPN;NOM	N;INDF;MASC;SG
utan	without	utan	without	ADP	N;INDF;NEUT;SG
utan	uten	utan	uten	ADP	N;INDF;NEUT;SG
sina	deres	sig	deres	PRO;DEF;PL	N;INDF;MASC;SG
spanien	spania	spani	spanie	PROPN;NOM	PROPN
boreala	boreal	boreal	boreal	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
mount	mount	mount	mount	PROPN;NOM	N;INDF;NEUT;SG
kom	come	komma	come	V;IMP;FIN;ACT	N;INDF;MASC;SG
stora	large	stor	larg	ADJ;NOM;PL	N
stora	stor	stor	stor	ADJ;NOM;PL	ADJ;INDF;SG
stora	stort	stor	stor	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
