que	że	que	że	PRO;MASC;SG	PART
foram	były	ser	być	V;IND;PL;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
foram	byli	ser	być	V;IND;PL;3;PST;FIN	V;IPFV;MASC;IND;PL;PST;FIN;ACT
janeiro	styczeń	janeiro	styczenie	N;MASC;SG	
grande	dużych	grande	duży	ADJ;MASC;SG	ADJ;GEN;MASC;PL
grande	big	grande	big	ADJ;MASC;SG	
grande	świetnie	grande	świetnie	ADJ;MASC;SG	ADV
grande	super	grande	super	ADJ;MASC;SG	
grande	wspaniale	grande	wspaniale	ADJ;MASC;SG	
grande	grande	grande	grandy	ADJ;MASC;SG	
rio	rio	rio	rio	N;MASC;SG	
rio	rzeki	rio	rzeka	N;MASC;SG	
rio	river	rio	river	N;MASC;SG	
depois	pozniej	depois	pozno	ADV	V;PFV;IND;SG;FIN;ACT
depois	after	depois	after	ADV	
depois	po	depois	po	ADV	INTJ
estado	state	estado	staty	N;MASC;SG	
após	after	após	after	ADP	
após	po	após	po	ADP	INTJ
primeiro	pierwszy	primeiro	pierwszy	ADV	ADJ;NOM;MASC;SG
primeiro	pierwsze	primeiro	pierwszy	ADV	ADJ;NOM;NEUT;SG
primeiro	pierwsza	primeiro	pierwszy	ADV	ADJ;NOM;FEM;SG
pode	majowe	poder	majowy	V;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG
pode	maja	poder	mieć	V;IND;SG;3;PRS;FIN	
pode	majowy	poder	majowy	V;IND;SG;3;PRS;FIN	ADJ;NOM;MASC;SG
pode	maj	poder	maj	V;IND;SG;3;PRS;FIN	
pode	can	poder	can	V;IND;SG;3;PRS;FIN	
ligações	znajomości	ligação	znajomość	N;FEM;PL	N;GEN;FEM;SG
ligações	powiązania	ligação	powiązanie	N;FEM;PL	N;NOM;NEUT;SG
ligações	łącza	ligação	łączyć	N;FEM;PL	
parte	częściowo	parte	częściowo	N;FEM;SG	ADV
este	tym	este	to	DET;MASC;SG	PRO;INS;NEUT;SG
primeira	najpierw	primeiro	najpierw	ADJ;FEM;SG	ADV
externas	zewnętrzne	externo	zewnętrzny	N;FEM;PL	ADJ;NOM;NEUT;SG
sendo	bycie	ser	bycie	V;V.MSDR	
sendo	będąc	ser	być	V;V.MSDR	V;IPFV;PRS;V.CVB;ACT
sendo	bycia	ser	być	V;V.MSDR	
ainda	jeszcze	ainda	jeszcze	ADV	PART
outros	innych	outro	inny	PRO;MASC;PL	ADJ;GEN;MASC;PL
outros	inne	outro	inny	PRO;MASC;PL	ADJ;NOM;NEUT;SG
outros	pozostał	outro	pozostać	PRO;MASC;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
outros	inny	outro	inny	PRO;MASC;PL	ADJ;NOM;MASC;SG
outros	inne	outro	inny	PRO;MASC;PL	ADJ;NOM;NEUT;SG
outros	pozostał	outro	pozostać	PRO;MASC;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
outros	inni	outro	inny	PRO;MASC;PL	ADJ;NOM;MASC;PL
ela	jej	ela	on	PRO;NOM;FEM;SG;3	PRO;GEN;FEM;SG;3
ela	ją	ela	on	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
dia	dzien	dia	dzien	N;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
dia	dia	dia	dia	N;MASC;SG	
muito	much	muito	much	ADV	
muito	wiele	muito	wiele	ADV	DET;ACC;MASC;PL
região	regiony	região	regić	N;FEM;SG	N;NOM;MASC;PL
suas	ich	seu	on	DET;FEM;PL	PRO;GEN;MASC;PL;3
segundo	druga	segundo	drugi	ADV	ADJ;NOM;FEM;SG
segundo	drugi	segundo	drugi	ADV	ADJ;NOM;MASC;SG
segundo	drugie	segundo	drugi	ADV	ADJ;NOM;NEUT;SG
apenas	tylko	apenas	tylko	ADV	PART
apenas	tylko	apenas	tylko	ADV	PART
ter	ter	ter	ter	V;NFIN	
msg	msg	msg	msg	N;FEM;SG	
julho	lipca	julho	lipiec	N;MASC;SG	
julho	lipiec	julho	lipiec	N;MASC;SG	
agosto	augusta	agosto	augusta	N;MASC;SG	
agosto	sierpień	agosto	sierpienie	N;MASC;SG	
agosto	sierpień	agosto	sierpienie	N;MASC;SG	
lista	listy	lista	list	N;FEM;SG	
lista	listy	lista	list	N;FEM;SG	
lista	wykazy	lista	wykaz	N;FEM;SG	N;ACC;MASC;PL
maio	majowe	maio	majowy	N;MASC;SG	ADJ;NOM;NEUT;SG
maio	maja	maio	mieć	N;MASC;SG	
maio	może	maio	móc	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
maio	majowy	maio	majowy	N;MASC;SG	ADJ;NOM;MASC;SG
maio	maj	maio	maj	N;MASC;SG	
março	marzec	março	marzec	N;MASC;SG	
março	marca	março	marza	N;MASC;SG	
norte	norte	norte	norty	N;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
norte	północnej	norte	północny	N;MASC;SG	ADJ;GEN;FEM;SG
norte	north	norte	north	N;MASC;SG	
norte	północna	norte	północny	N;MASC;SG	
norte	północne	norte	północny	N;MASC;SG	ADJ;NOM;NEUT;SG
norte	północnej	norte	północny	N;MASC;SG	ADJ;GEN;FEM;SG
família	rodziny	família	rodzina	N;FEM;SG	N;NOM;FEM;PL
família	rodzinne	família	rodzinny	N;FEM;SG	ADJ;NOM;NEUT;SG
família	rodzinnie	família	rodzinnie	N;FEM;SG	ADV
abril	kwietnia	abril	kwiecia	N;MASC;SG	
abril	april	abril	april	N;MASC;SG	
sul	sul	sul	sula	N;MASC;SG	INTJ
sul	południowa	sul	południowy	N;MASC;SG	ADJ;NOM;FEM;SG
sul	południowej	sul	południowy	N;MASC;SG	ADJ;GEN;FEM;SG
sul	południowe	sul	południowy	N;MASC;SG	ADJ;NOM;NEUT;SG
setembro	wrzesień	setembro	wrzesień	N;MASC;SG	
setembro	września	setembro	wrzesień	N;MASC;SG	
paulo	paulo	paulo	paulo	N;MASC;SG	PROPN;NOM;MASC;SG
paulo	pawel	paulo	pawel	N;MASC;SG	V;IPFV;IND;SG;PST;FIN;ACT
paulo	paweł	paulo	paweł	N;MASC;SG	PROPN;NOM;MASC;SG
ver	widok	ver	widok	V;NFIN	N;NOM;MASC;SG
isso	że	isso	że	PRO;MASC;SG	PART
maior	największych	grande	duży	ADJ;MASC;SG	ADJ;GEN;CMPR;MASC;PL
maior	najwięksi	grande	wielki	ADJ;MASC;SG	ADJ;NOM;CMPR;MASC;PL
todos	każdy	todo	każdy	PRO;MASC;PL	DET;NOM;MASC;SG
todos	wszystkie	todo	wszystek	PRO;MASC;PL	DET;NOM;MASC;PL
todos	wszystko	todo	wszystko	PRO;MASC;PL	PRO;NOM;NEUT;SG
todos	all	todo	all	PRO;MASC;PL	
todos	każdy	todo	każdy	PRO;MASC;PL	DET;NOM;MASC;SG
nova	nowości	novo	nowość	ADJ;FEM;SG	N;ACC;FEM;PL
nova	nowość	novo	nowość	ADJ;FEM;SG	N;NOM;FEM;SG
nova	nowa	novo	nowy	ADJ;FEM;SG	
nova	nova	novo	nova	ADJ;FEM;SG	
álbum	albumu	álbum	album	N;MASC;SG	
junho	june	junho	juny	N;MASC;SG	
junho	czerwiec	junho	czerwiec	N;MASC;SG	
contra	kontra	contra	kontry	ADP	
contra	contra	contra	contry	ADP	
contra	przeciw	contra	przeciw	ADP	
dezembro	grudnia	dezembro	grudzień	N;MASC;SG	
dezembro	dec	dezembro	dec	N;MASC;SG	
fevereiro	luty	fevereiro	luty	N;MASC;SG	
fevereiro	lutego	fevereiro	luty	N;MASC;SG	
fevereiro	luty	fevereiro	luty	N;MASC;SG	
fevereiro	lutego	fevereiro	luty	N;MASC;SG	
forma	formy	forma	forma	N;FEM;SG	N;ACC;FEM;PL
novembro	listopad	novembro	listopad	N;MASC;SG	
principal	główna	principal	główna	ADJ;MASC;SG	
principal	main	principal	main	ADJ;MASC;SG	
principal	dyrektor	principal	dyrektor	ADJ;MASC;SG	N;NOM;MASC;SG
três	três	três	três	NUM	
série	serie	série	serie	N;FEM;SG	
série	series	série	series	N;FEM;SG	
série	serii	série	seria	N;FEM;SG	
série	seryjny	série	seryjny	N;FEM;SG	ADJ;NOM;MASC;SG
série	seryjne	série	seryjny	N;FEM;SG	ADJ;NOM;NEUT;SG
além	poza	além	poza	ADV	ADP
final	finale	final	finał	N;MASC;SG	
final	finały	final	finały	N;MASC;SG	N;NOM;MASC;PL
final	end	final	end	N;MASC;SG	
final	ostateczny	final	ostateczny	N;MASC;SG	ADJ;NOM;MASC;SG
final	ostateczna	final	ostateczny	N;MASC;SG	ADJ;NOM;FEM;SG
final	ostateczne	final	ostateczny	N;MASC;SG	ADJ;NOM;NEUT;SG
final	końcowe	final	końcowy	N;MASC;SG	ADJ;NOM;NEUT;SG
história	story	história	stora	N;FEM;SG	
filme	filmy	filme	film	N;MASC;SG	N;NOM;MASC;PL
antes	zanim	antes	zanim	ADV	CONJ
antes	przed	antes	przed	ADV	ADP
melhor	lepsza	melhor	dobry	ADV	ADJ;NOM;CMPR;FEM;SG
melhor	lepsze	melhor	dobry	ADV	ADJ;NOM;CMPR;MASC;SG
melhor	najlepsza	melhor	dobry	ADV	ADJ;NOM;CMPR;FEM;SG
melhor	najlepszy	melhor	dobry	ADV	ADJ;NOM;CMPR;MASC;SG
melhor	best	melhor	best	ADV	
melhor	najlepsze	melhor	dobry	ADV	ADJ;NOM;CMPR;NEUT;SG
guerra	war	guerra	war	N;FEM;SG	
bem	cóż	bem	cóż	ADV	PRO;ACC;NEUT;SG
mundo	swiat	mundo	swiat	N;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
mundo	world	mundo	world	N;MASC;SG	
banda	band	banda	band	N;FEM;SG	
outras	innych	outro	inny	PRO;FEM;PL	ADJ;GEN;MASC;PL
outras	inne	outro	inny	PRO;FEM;PL	ADJ;NOM;NEUT;SG
outras	pozostał	outro	pozostać	PRO;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
outras	inny	outro	inny	PRO;FEM;PL	ADJ;NOM;MASC;SG
outras	inne	outro	inny	PRO;FEM;PL	ADJ;NOM;NEUT;SG
outras	pozostał	outro	pozostać	PRO;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
outras	inni	outro	inny	PRO;FEM;PL	ADJ;NOM;MASC;PL
km²	km²	km²	kąć	N;MASC;SG	
nacional	krajowych	nacional	krajowy	ADJ;MASC;SG	ADJ;GEN;MASC;PL
nacional	nacional	nacional	nacional	ADJ;MASC;SG	PROPN;NOM;MASC;SG
jogos	gier	jogo	gier	N;MASC;PL	
jogos	gry	jogo	gra	N;MASC;PL	
qual	które	qual	który	PRO;MASC;SG	DET;ACC;MASC;SG
qual	która	qual	który	PRO;MASC;SG	DET;NOM;FEM;SG
qual	który	qual	który	PRO;MASC;SG	DET;NOM;MASC;SG
alguns	niektóre	algum	niektóry	PRO;MASC;PL	DET;NOM;MASC;SG
alguns	niektórzy	algum	niektóry	PRO;MASC;PL	DET;NOM;MASC;PL
alguns	trochę	algum	trochę	PRO;MASC;PL	ADV
center	center	center	center	N;MASC;SG	
vida	zycie	vida	zyt	N;FEM;SG	V;IPFV;IND;SG;1;FIN;ACT
vida	life	vida	lifa	N;FEM;SG	
vida	vida	vida	vida	N;FEM;SG	
país	kraje	país	kraj	N;MASC;SG	N;NOM;MASC;PL
eles	je	eles	on	PRO;NOM;MASC;PL;3	PRO;ACC;NEUT;PL;3
eles	ich	eles	on	PRO;NOM;MASC;PL;3	PRO;GEN;MASC;PL;3
eles	im	eles	on	PRO;NOM;MASC;PL;3	PRO;DAT;MASC;PL;3
música	music	música	musieć	N;FEM;SG	
música	muzyki	música	muzyka	N;FEM;SG	
página	page	página	page	N;FEM;SG	
página	strony	página	strona	N;FEM;SG	N;NOM;FEM;PL
dias	dias	dia	dias	N;MASC;PL	PROPN;NOM;MASC;SG
dias	days	dia	days	N;MASC;PL	
campeonato	mistrzostwa	campeonato	mistrzostwa	N;MASC;SG	N;NOM;NEUT;PL
campeonato	championship	campeonato	championship	N;MASC;SG	
campeonato	mistrzostw	campeonato	mistrzostwa	N;MASC;SG	N;GEN;NEUT;PL
josé	jose	josé	josy	N;MASC;SG	PROPN;NOM;MASC;SG
josé	joseph	josé	joseph	N;MASC;SG	PROPN;NOM;MASC;SG
josé	józef	josé	józef	N;MASC;SG	PROPN;NOM;MASC;SG
josé	józefa	josé	józef	N;MASC;SG	
josé	jose	josé	josy	N;MASC;SG	PROPN;NOM;MASC;SG
josé	josé	josé	jos	N;MASC;SG	PROPN;NOM;MASC;SG
município	gmina	município	gmina	N;MASC;SG	
futebol	football	futebol	football	N;MASC;SG	
futebol	futbol	futebol	futbol	N;MASC;SG	
espécie	gatunki	espécie	gatunek	N;FEM;SG	N;NOM;MASC;PL
joão	jan	joão	jan	N;MASC;SG	PROPN;NOM;MASC;SG
joão	johna	joão	johny	N;MASC;SG	
joão	janek	joão	janek	N;MASC;SG	PROPN;NOM;MASC;SG
joão	john	joão	john	N;MASC;SG	PROPN;NOM;MASC;SG
joão	jana	joão	jani	N;MASC;SG	
joão	joão	joão	joão	N;MASC;SG	PROPN;NOM;MASC;SG
tinha	mial	ter	mial	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
tinha	miał	ter	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
tinha	miała	ter	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
tinha	miał	ter	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
clube	club	clube	club	N;MASC;SG	
clube	clube	clube	cluć	N;MASC;SG	PROPN;NOM;MASC;SG
unidos	zjednoczone	unido	zjednoczyć	N;MASC;PL	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
unidos	united	unido	united	N;MASC;PL	
unidos	zjednoczona	unido	zjednoczyć	N;MASC;PL	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
unidos	zjednoczeni	unido	zjednoczyć	N;MASC;PL	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
unidos	zjednoczonych	unido	zjednoczyć	N;MASC;PL	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
novo	novo	novo	novo	ADJ;MASC;SG	
novo	nowości	novo	nowość	ADJ;MASC;SG	N;ACC;FEM;PL
novo	nowość	novo	nowość	ADJ;MASC;SG	N;NOM;FEM;SG
novo	nowa	novo	nowy	ADJ;MASC;SG	
segunda	poniedziałek	segundo	poniedziałek	ADJ;FEM;SG	N;NOM;MASC;SG
pessoas	people	pessoa	peopło	N;FEM;PL	
presidente	przewodnicząca	presidente	przewodnicząca	N;MASC;SG	
presidente	prezydenci	presidente	prezydent	N;MASC;SG	N;NOM;MASC;PL
presidente	prezesie	presidente	prezes	N;MASC;SG	
presidente	presidente	presidente	president	N;MASC;SG	
caso	case	caso	cas	N;MASC;SG	
jogo	game	jogo	gam	N;MASC;SG	
jogo	gry	jogo	gra	N;MASC;SG	
jogo	gra	jogo	grać	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
sistema	systemowe	sistema	systemowy	N;MASC;SG	ADJ;NOM;NEUT;SG
americano	americano	americano	american	N;MASC;SG	ADV
americano	amerykańska	americano	amerykański	N;MASC;SG	ADJ;NOM;FEM;SG
americano	american	americano	american	N;MASC;SG	
americano	amerykański	americano	amerykański	N;MASC;SG	ADJ;NOM;MASC;SG
americano	amerykańskie	americano	amerykański	N;MASC;SG	ADJ;NOM;NEUT;SG
casa	house	casa	housy	N;FEM;SG	
enquanto	podczas	enquanto	podczas	ADV	ADP
oficial	urzędnik	oficial	urzędnik	ADJ;MASC;SG	N;NOM;MASC;SG
oficial	oficjalnie	oficial	oficjalnie	ADJ;MASC;SG	ADV
oficial	oficer	oficial	oficer	ADJ;MASC;SG	N;NOM;MASC;SG
oficial	funkcjonariusz	oficial	funkcjonariusz	ADJ;MASC;SG	N;NOM;MASC;SG
oficial	oficerze	oficial	oficerz	ADJ;MASC;SG	
vezes	times	vez	times	N;MASC;PL	
governo	rządowe	governo	rządowy	N;MASC;SG	ADJ;NOM;NEUT;SG
governo	rządowy	governo	rządowy	N;MASC;SG	ADJ;NOM;MASC;SG
artigos	pozycji	artigo	pozycja	N;MASC;PL	N;GEN;FEM;SG
distrito	powiat	distrito	powiat	N;MASC;SG	
local	miejscowa	local	miejscowy	N;MASC;SG	ADJ;NOM;FEM;SG
local	lokalny	local	lokalny	N;MASC;SG	ADJ;NOM;MASC;SG
local	lokalna	local	lokalny	N;MASC;SG	ADJ;NOM;FEM;SG
local	lokalne	local	lokalny	N;MASC;SG	ADJ;NOM;NEUT;SG
local	miejscowy	local	miejscowy	N;MASC;SG	ADJ;NOM;MASC;SG
local	lokalnych	local	lokalny	N;MASC;SG	ADJ;GEN;MASC;PL
trabalho	pracuj	trabalho	pracować	N;MASC;SG	V;IPFV;IMP;SG;2;FIN;ACT
trabalho	prace	trabalho	praca	N;MASC;SG	N;NOM;FEM;PL
trabalho	roboty	trabalho	robota	N;MASC;SG	N;ACC;FEM;PL
outro	innych	outro	inny	PRO;MASC;SG	ADJ;GEN;MASC;PL
outro	inne	outro	inny	PRO;MASC;SG	ADJ;NOM;NEUT;SG
outro	pozostał	outro	pozostać	PRO;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
outro	inny	outro	inny	PRO;MASC;SG	ADJ;NOM;MASC;SG
outro	kolejny	outro	kolejny	PRO;MASC;SG	ADJ;ACC;MASC;SG
outro	inny	outro	inny	PRO;MASC;SG	ADJ;NOM;MASC;SG
outro	kolejna	outro	kolejny	PRO;MASC;SG	ADJ;NOM;FEM;SG
fez	fez	fazer	fez	V;IND;SG;3;PST;FIN	PROPN;NOM;MASC;SG
através	poprzez	através	poprzez	ADV	
através	przez	através	przez	ADV	ADP
estava	była	estar	być	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
estava	był	estar	być	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
estava	było	estar	być	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
maria	marie	maria	mara	N;FEM;SG	PROPN;NOM;FEM;SG
maria	maryjo	maria	maryć	N;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
maria	maria	maria	maria	N;FEM;SG	PROPN;NOM;FEM;SG
maria	maryja	maria	maryj	N;FEM;SG	
maria	mary	maria	mary	N;FEM;SG	PROPN;NOM;FEM;SG
maria	maryi	maria	mary	N;FEM;SG	
maria	mario	maria	mario	N;FEM;SG	
maria	marii	maria	maria	N;FEM;SG	
maria	maria	maria	maria	N;FEM;SG	PROPN;NOM;FEM;SG
estão	są	estar	być	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
vários	różnych	vários	różny	PRO;MASC;PL	ADJ;GEN;MASC;PL
vários	różne	vários	różny	PRO;MASC;PL	ADJ;NOM;NEUT;SG
vários	rozmaite	vários	rozmaity	PRO;MASC;PL	
vários	kilkanaście	vários	kilkanaście	PRO;MASC;PL	DET;ACC;MASC;PL
vários	kilka	vários	kilka	PRO;MASC;PL	DET;ACC;MASC;PL
vários	kilku	vários	kilka	PRO;MASC;PL	DET;ACC;MASC;PL
vários	różne	vários	różny	PRO;MASC;PL	ADJ;NOM;NEUT;SG
terra	earth	terra	earth	N;FEM;SG	
terra	land	terra	land	N;FEM;SG	
terra	grunty	terra	grunt	N;FEM;SG	N;NOM;MASC;PL
terra	terra	terra	terry	N;FEM;SG	
gênero	płci	gênero	płzcieć	N;MASC;SG	
igreja	church	igreja	chury	N;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
universidade	uniwersytety	universidade	uniwersytet	N;FEM;SG	N;NOM;MASC;PL
universidade	university	universidade	universit	N;FEM;SG	
universidade	studia	universidade	studia	N;FEM;SG	N;NOM;NEUT;PL
qualquer	dowolny	qualquer	dowolny	DET;FEM;SG	ADJ;NOM;MASC;SG
podem	can	poder	can	V;IND;PL;3;PRS;FIN	
centro	centro	centro	centro	N;MASC;SG	
centro	center	centro	center	N;MASC;SG	
centro	centre	centro	centry	N;MASC;SG	
início	start	início	start	N;MASC;SG	
início	zacznij	início	zacząć	N;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
início	poczatek	início	poczatek	N;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
essa	że	esse	że	PRO;FEM;SG	PART
tipo	wpisz	tipo	wpić	N;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
tipo	typ	tipo	typ	N;MASC;SG	
santa	święty	santo	święty	N;FEM;SG	
santa	święta	santo	święto	N;FEM;SG	
santa	saint	santo	saint	N;FEM;SG	
conhecido	znani	conhecido	znany	ADJ;MASC;SG	N;NOM;MASC;PL
conhecido	znany	conhecido	znany	ADJ;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
conhecido	znana	conhecido	znany	ADJ;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
conhecido	znajomość	conhecido	znajomość	ADJ;MASC;SG	N;NOM;FEM;SG
esse	tym	esse	to	DET;MASC;SG	PRO;INS;NEUT;SG
canção	piosenki	canção	piosenka	N;FEM;SG	N;ACC;FEM;PL
canção	pieśń	canção	pieśń	N;FEM;SG	
canção	song	canção	song	N;FEM;SG	
edição	wyd	edição	wyd	N;FEM;SG	
edição	montaż	edição	montaż	N;FEM;SG	
edição	publikacje	edição	publikacja	N;FEM;SG	N;NOM;FEM;PL
cerca	ogrodzenia	cerca	ogrodzić	ADV	N;NOM;NEUT;SG
cerca	płot	cerca	płot	ADV	N;ACC;MASC;SG
cerca	ogrodzenie	cerca	ogrodzenie	ADV	N;NOM;NEUT;SG
todas	wszystko	todo	wszystko	DET;FEM;PL	PRO;NOM;NEUT;SG
todas	all	todo	all	DET;FEM;PL	
todas	wszyscy	todo	wszyscy	DET;FEM;PL	PRO;NOM;MASC;PL
português	portugalii	português	portugalia	N;MASC;SG	
português	portugalski	português	portugalski	N;MASC;SG	ADJ;NOM;MASC;SG
português	portugalska	português	portugalski	N;MASC;SG	ADJ;NOM;FEM;SG
português	portugalskie	português	portugalski	N;MASC;SG	ADJ;NOM;NEUT;SG
português	portugalskim	português	portugalski	N;MASC;SG	ADJ;INS;MASC;SG
lançado	zwolnione	lançar	zwolnić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
lançado	wydane	lançar	wydać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
lançado	wydany	lançar	wydać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
lançado	zwolniony	lançar	zwolnić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
lançado	wydana	lançar	wydać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
lançado	uruchomiony	lançar	uruchomić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
lançado	uruchomiona	lançar	uruchomić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
rei	king	rei	king	N;MASC;SG	
rei	kinga	rei	kinga	N;MASC;SG	PROPN;NOM;FEM;SG
rei	rei	rei	reić	N;MASC;SG	
algumas	niektóre	algum	niektóry	PRO;FEM;PL	DET;NOM;MASC;SG
algumas	niektórzy	algum	niektóry	PRO;FEM;PL	DET;NOM;MASC;PL
algumas	trochę	algum	trochę	PRO;FEM;PL	ADV
quem	kto	quem	kto	PRO;SG	PRO;NOM;MASC;SG
quem	kogo	quem	kto	PRO;SG	PRO;ACC;MASC;SG
quem	who	quem	who	PRO;SG	
quatro	quatro	quatro	quatro	NUM	
época	epoki	época	epoka	N;FEM;SG	
época	era	época	era	N;FEM;SG	
exemplo	przykładowy	exemplo	przykładowy	N;MASC;SG	ADJ;ACC;MASC;SG
exemplo	przykładowe	exemplo	przykładowy	N;MASC;SG	ADJ;NOM;NEUT;SG
morte	death	morte	death	N;FEM;SG	
devido	należne	devido	należny	ADV	ADJ;NOM;NEUT;SG
devido	należny	devido	należny	ADV	ADJ;NOM;MASC;SG
eram	były	ser	być	V;IND;PL;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
eram	byli	ser	być	V;IND;PL;3;IPFV;FIN	V;IPFV;MASC;IND;PL;PST;FIN;ACT
seguinte	następna	seguinte	następny	ADJ;MASC;SG	
muitos	wielu	muito	wiele	PRO;MASC;PL	DET;ACC;MASC;PL
muitos	wiele	muito	wiele	PRO;MASC;PL	DET;ACC;MASC;PL
wikipédia	wikipedia	wikipédia	wikipediać	N;FEM;SG	
time	team	time	team	N;MASC;SG	
time	drużyny	time	drużyna	N;MASC;SG	N;ACC;FEM;PL
geral	ogólny	geral	ogólny	N;MASC;SG	ADJ;NOM;MASC;SG
geral	ogólnie	geral	ogólnie	N;MASC;SG	ADV
geral	ogólna	geral	ogólny	N;MASC;SG	ADJ;NOM;FEM;SG
