til	för	til	för	ADV	ADP
flere	multipel	mange	multipel	ADJ;CMPR;PL	N;NOM;INDF;NEUT;SG
flere	flertal	mange	flertal	ADJ;CMPR;PL	N;NOM;INDF;NEUT;SG
flere	mera	mange	mycket	ADJ;CMPR;PL	ADV;CMPR
flere	more	mange	more	ADJ;CMPR;PL	
flere	fler	mange	mången	ADJ;CMPR;PL	PRO;INDF;PL
flere	mer	mange	mycket	ADJ;CMPR;PL	ADV;CMPR
deres	deras	deres	de	DET;3	PRO;DEF
deres	sina	deres	sig	DET;3	PRO;DEF;PL
deres	deras	deres	de	DET;3	PRO;DEF
alle	allt	al	all	ADJ;PL	PRO;INDF;NEUT;SG
alle	alla	al	all	ADJ;PL	PRO;INDF;PL
alle	allihopa	al	allihopa	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
alle	alla	al	all	ADJ;PL	PRO;INDF;PL
danmark	danmark	danmark	danmark		PROPN;NOM
mange	många	mange	mången	ADJ;PL	PRO;INDF;PL
team	laget	team	lag	N;INDF;NEUT;SG	N;NOM;DEF;NEUT;SG
kunne	kan	kunne	kunna	V;IND;PST;FIN;ACT	V;IND;PRS;FIN;ACT
danske	danskt	dansk	danskt	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
danske	dansk	dansk	dansk	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
danske	danska	dansk	dansk	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
danske	danske	dansk	danske	ADJ;PL	N;NOM;DEF;MASC+FEM;SG
tidligere	föregående	tidligere	föregående	ADV;CMPR	N;NOM;INDF;NEUT;SG
siden	sida	siden	sida	ADV	N;NOM;INDF;MASC+FEM;SG
siden	sidan	siden	sida	ADV	N;NOM;DEF;MASC+FEM;SG
siden	page	siden	page	ADV	V;IMP;FIN;ACT
skal	bör	skulle	böra	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
skal	ska	skulle	skola	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
skal	borde	skulle	böra	V;IND;PRS;FIN;ACT	V;IND;PST;FIN;ACT
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
skal	skal	skulle	skal	V;IND;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
skal	skall	skulle	skola	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
skal	ska	skulle	skola	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
skal	måste	skulle	måste	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
skal	must	skulle	must	V;IND;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
have	trädgård	have	trädgård	V;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
have	trädgården	have	trädgård	V;NFIN;ACT	N;NOM;DEF;MASC+FEM;SG
have	ha	have	ha	V;NFIN;ACT	INTJ
mere	more	mere	more	ADV;CMPR	
mere	fler	mere	mången	ADV;CMPR	PRO;INDF;PL
store	large	stor	large	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
store	stor	stor	stor	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
store	stort	stor	stor	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
store	big	stor	big	ADJ;PL	N;NOM;INDF;NEUT;SG
store	stor	stor	stor	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
store	stort	stor	stor	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
meget	mycket	meget	mycket	ADJ;INDF;SG	ADV
meget	mycke	meget	mycke	ADJ;INDF;SG	N;NOM;INDF;MASC+FEM;SG
meget	much	meget	much	ADJ;INDF;SG	N;NOM;INDF;NEUT;SG
meget	mycket	meget	mycket	ADJ;INDF;SG	ADV
været	varit	være	vara	V;INDF;SG;PST;V.PTCP	V;V.CVB;ACT
end	än	end	än	ADP	CONJ
samme	samma	samme	samma	ADJ	DET;INDF
samme	detsamma	samme	densamma	ADJ	PRO;DEF;NEUT;SG
vil	will	ville	will	V;IND;PRS;FIN;ACT	V;IMP;FIN;ACT
vil	want	ville	want	V;IND;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
seed	seed	seed	seed		N;NOM;INDF;NEUT;SG
seed	frö	seed	frö		N;NOM;INDF;NEUT;SG
seed	utsäde	seed	utsäde		N;NOM;INDF;NEUT;SG
omkring	kring	omkring	kring	ADV	ADP
selv	jämn	selv	jämn	PRO	ADJ;NOM;INDF;MASC+FEM;SG
selv	även	selv	även	PRO	ADV
københavn	copenhagen	københavn	copenhagen	PROPN	N;NOM;DEF;MASC+FEM;SG
københavn	köpenhamn	københavn	köpenhamn	PROPN	PROPN;NOM
københavn	köpenhamns	københavn	köpenhamn	PROPN	PROPN;GEN
kom	come	komme	come	V;IND;PST;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
kom	kommer	komme	komma	V;IND;PST;FIN;ACT	V;IND;PRS;FIN;ACT
kom	kom	komme	komma	V;IND;PST;FIN;ACT	V;IMP;FIN;ACT
kom	kom	komme	komma	V;IND;PST;FIN;ACT	V;IMP;FIN;ACT
skulle	bör	skulle	böra	V;IND;PST;FIN;ACT	V;IND;PRS;FIN;ACT
skulle	ska	skulle	skola	V;IND;PST;FIN;ACT	V;IND;PRS;FIN;ACT
and	anka	and	anka		N;NOM;INDF;MASC+FEM;SG
and	duck	and	duck		N;NOM;INDF;MASC+FEM;SG
tre	three	tre	three	NUM	N;NOM;INDF;MASC+FEM;SG
byen	town	by	town	N;DEF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
byen	stad	by	stad	N;DEF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
byen	city	by	city	N;DEF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
byen	ort	by	ort	N;DEF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
byen	stad	by	stad	N;DEF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nogle	några	nogen	någon	PRO;PL	DET;INDF;PL
anden	sekund	anden	sekund	PRO;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
anden	andra	anden	annan	PRO;MASC+FEM;SG	PRO;INDF;PL
andet	sekund	anden	sekund	PRO;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
andet	andra	anden	annan	PRO;NEUT;SG	PRO;INDF;PL
andet	annan	anden	annan	PRO;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
andet	övrig	anden	övrig	PRO;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
andet	övriga	anden	övrig	PRO;NEUT;SG	ADJ;NOM;PL
andet	andra	anden	annan	PRO;NEUT;SG	PRO;INDF;PL
andet	övrigt	anden	övrigt	PRO;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
andet	annat	anden	annan	PRO;NEUT;SG	PRO;INDF;NEUT;SG
dag	dagen	dag	dag	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
tilbage	rygg	tilbage	rygg	ADV	N;NOM;INDF;MASC+FEM;SG
tilbage	backa	tilbage	backa	ADV	V;IMP;FIN;ACT
kommune	kommunen	kommune	kommun	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
cest	cest	cest	cest		
død	döden	død	död	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
død	dödsfall	død	dödsfall	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;PL
død	döda	død	död	N;INDF;MASC+FEM;SG	ADJ;NOM;PL
død	dött	død	döda	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
dem	dom	de	de	PRO;ACC;PL;3	PRO;NOM;DEF;PL
findes	existera	findes	existera	V;IND;PRS;FIN;ACT	V;IMP;FIN;ACT
gang	tiden	gang	tid	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
forskellige	annorlunda	forskellig	annorlunda	ADJ;PL	ADV
forskellige	diverse	forskellig	diverse	ADJ;PL	N;NOM;INDF;MASC+FEM;PL
tid	tiden	tid	tid	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
nye	ny	ny	ny	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
nye	nyhet	ny	nyhet	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
nye	nytt	ny	ny	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
både	båtar	både	båta	ADV	N;NOM;INDF;MASC+FEM;PL
både	båda	både	båda	ADV	PRO;DEF;PL
både	både	både	både	ADV	CONJ
gennem	via	gennem	via	ADV	N;NOM;INDF;MASC+FEM;SG
gennem	igenom	gennem	igenom	ADV	ADP
gennem	genom	gennem	genom	ADV	ADP
stor	large	stor	large	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
stor	stora	stor	stor	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
stor	big	stor	big	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
stor	stora	stor	stor	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
stor	jättebra	stor	jättebra	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
stor	toppen	stor	topp	ADJ;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
usa	america	usa	americ	PROPN	N;NOM;INDF;MASC+FEM;SG
usa	amerika	usa	amerik	PROPN	N;NOM;INDF;MASC+FEM;SG
usa	usa	usa	usa	PROPN	PROPN;NOM
uden	utan	uden	utan	ADV	ADP
hold	håll	holde	håll	V;IMP	N;NOM;INDF;NEUT;SG
hold	arbetslag	holde	arbetslag	V;IMP	N;NOM;INDF;NEUT;SG
hold	lag	holde	lag	V;IMP	N;NOM;INDF;MASC+FEM;SG
hold	team	holde	team	V;IMP	N;NOM;INDF;NEUT;SG
hold	laget	holde	lag	V;IMP	N;NOM;DEF;NEUT;SG
hold	lag	holde	lag	V;IMP	N;NOM;INDF;MASC+FEM;SG
hold	team	holde	team	V;IMP	N;NOM;INDF;NEUT;SG
når	när	når	när	CONJ	ADV
kendt	kända	kendt	känd	ADJ;INDF;SG	ADJ;NOM;PL;PST;V.PTCP
kendt	kända	kendt	känd	ADJ;INDF;SG	ADJ;NOM;PL;PST;V.PTCP
kendt	berömda	kendt	berömma	ADJ;INDF;SG	ADJ;NOM;PL;PST;V.PTCP
før	före	før	före	ADV	ADP
før	innan	før	innan	ADV	CONJ
hvilket	vilka	hvilken	vilken	PRO;NEUT;SG	PRO;INDF;PL
hvilket	vilket	hvilken	vilken	PRO;NEUT;SG	PRO;INDF;NEUT;SG
hvilket	vilken	hvilken	vilken	PRO;NEUT;SG	PRO;INDF;MASC+FEM;SG
hvilket	som	hvilken	som	PRO;NEUT;SG	CONJ
mest	most	mest	most	ADV;RL	N;NOM;INDF;MASC+FEM;SG
marts	marschera	marts	marschera	N;INDF;MASC+FEM;SG	V;IMP;FIN;ACT
hele	hel	hel	hel	ADJ;DEF;SG	ADJ;NOM;INDF;MASC+FEM;SG
kirke	kyrkan	kirke	kyrka	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
række	raderna	række	rad	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;PL
række	rader	række	rad	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;PL
række	raden	række	rad	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
derfor	härav	derfor	härav	ADV	N;NOM;INDF;MASC+FEM;SG
style	stil	style	stil		N;NOM;INDF;MASC+FEM;SG
style	style	style	style		N;NOM;INDF;MASC+FEM;SG
navn	namnge	navn	namnge	N;INDF;NEUT;SG	V;IMP;FIN;ACT
jpg	jpg	jpg	jpg		N
ville	skulle	ville	skola	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
først	första	først	en	ADV	ADJ;NOM
mål	målet	mål	måle	N;INDF;NEUT;SG	N;NOM;DEF;NEUT;SG
mål	target	mål	targ	N;INDF;NEUT;SG	N;NOM;DEF;NEUT;SG
mål	syften	mål	syfte	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;PL
mål	målsättningar	mål	målsättning	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
mål	målsättningar	mål	målsättning	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
mål	objektivt	mål	objektiv	N;INDF;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
mål	måltavlor	mål	måltavlor	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
film	filmar	film	filma	N;INDF;MASC+FEM;PL	V;IND;PRS;FIN;ACT
film	filma	film	filma	N;INDF;MASC+FEM;PL	V;IMP;FIN;ACT
film	film	film	film	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;SG
sidste	senast	sidste	senast	ADJ	ADV;RL
sidste	senaste	sidste	sen	ADJ	ADJ;NOM;DEF;RL
sidste	sista	sidste	sista	ADJ	ADJ;NOM;DEF;RL
sidste	sist	sidste	sist	ADJ	ADV;RL
noget	nånting	nogen	nånting	PRO;NEUT;SG	PRO;INDF;NEUT;SG
tyske	tyska	tysk	tysk	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
tyske	tysk	tysk	tysk	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
tyske	tyskt	tysk	tysk	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
gik	åkte	gå	åka	V;IND;PST;FIN;ACT	V;IMP;PST;FIN;ACT
gik	promenerade	gå	promenera	V;IND;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
indtil	tills	indtil	tills	CONJ	ADV
vandt	vunna	vinde	vunna	V;IND;PST;FIN;ACT	ADJ;NOM;PL
vandt	won	vinde	won	V;IND;PST;FIN;ACT	N;NOM;INDF;NEUT;SG
inden	före	inden	före	ADV	ADP
inden	innan	inden	innan	ADV	CONJ
mindre	minderårig	mindre	minderårig	ADV;CMPR	ADJ;NOM;INDF;MASC+FEM;SG
mindre	minor	mindre	mina	ADV;CMPR	N;NOM;INDF;MASC+FEM;SG
mindre	färre	mindre	få	ADV;CMPR	ADJ;NOM;CMPR
christian	kristet	christian	kristen		ADJ;NOM;INDF;NEUT;SG
christian	christian	christian	christian		PROPN;NOM
christian	kristna	christian	kristen		ADJ;NOM;PL
christian	kristen	christian	kristen		ADJ;NOM;INDF;MASC+FEM;SG
frem	vidarebefordra	frem	vidarebefordra	ADV	V;IMP;FIN;ACT
største	störst	stor	stor	ADJ;DEF;RL	ADJ;NOM;INDF;RL
største	störst	stor	stor	ADJ;DEF;RL	ADJ;NOM;INDF;RL
største	störst	stor	stor	ADJ;DEF;RL	ADJ;NOM;INDF;RL
hjemmeside	webbplatsen	hjemmeside	pebbplats	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
hjemmeside	hemsidan	hjemmeside	hemsida	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
cet	cet	cet	cet		
alt	everything	al	everything	ADJ;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
alt	allt	al	all	ADJ;NEUT;SG	PRO;INDF;NEUT;SG
alt	allting	al	allting	ADJ;NEUT;SG	PRO;INDF;NEUT;SG
alt	allt	al	all	ADJ;NEUT;SG	PRO;INDF;NEUT;SG
alt	alla	al	all	ADJ;NEUT;SG	PRO;INDF;PL
side	sidan	side	sida	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
side	page	side	page	N;INDF;MASC+FEM;SG	V;IMP;FIN;ACT
side	sidan	side	sida	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
side	side	side	side	N;INDF;MASC+FEM;SG	PROPN;NOM
medlem	medlemmen	medlem	medlem	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
spillede	lekte	spille	leka	V;IND;PST;FIN;ACT	V;IMP;FIN;ACT
spillede	spelas	spille	spela	V;IND;PST;FIN;ACT	V;IND;FIN;PASS
spillede	spelades	spille	spela	V;IND;PST;FIN;ACT	V;IND;PST;FIN;PASS
søn	sonen	søn	son	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
tog	träna	tage	träna	V;IND;PST;FIN;ACT	V;IMP;FIN;ACT
tog	tåget	tage	tågen	V;IND;PST;FIN;ACT	N;NOM;DEF;NEUT;SG
tog	train	tage	train	V;IND;PST;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
tog	tåg	tage	tåg	V;IND;PST;FIN;ACT	N;NOM;INDF;NEUT;SG
tog	tågen	tage	tågen	V;IND;PST;FIN;ACT	N;NOM;DEF;NEUT;PL
tog	tåg	tage	tåg	V;IND;PST;FIN;ACT	N;NOM;INDF;NEUT;SG
amerikansk	american	amerikansk	america	ADJ;INDF;SG	N;NOM;INDF;MASC+FEM;SG
amerikansk	amerikan	amerikansk	amerika	ADJ;INDF;SG	N;NOM;INDF;MASC+FEM;SG
amerikansk	amerikanska	amerikansk	amerikansk	ADJ;INDF;SG	ADJ;NOM;PL
lille	small	lille	small	ADJ;SG	N;NOM;INDF;NEUT;SG
lille	små	lille	liten	ADJ;SG	ADJ;NOM;PL
lille	litet	lille	litet	ADJ;SG	ADV
lille	little	lille	littal	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
lille	litet	lille	litet	ADJ;SG	ADV
lille	lille	lille	liten	ADJ;SG	N;NOM;DEF;MASC+FEM;SG
not	inte	not	inte		PART;NEG
not	ej	not	ej		PART;NEG
hendes	hennes	hendes	hon	DET;3	PRO;DEF
hendes	hennes	hendes	hon	DET;3	PRO;DEF
hendes	her	hendes	her	DET;3	N;NOM;INDF;MASC+FEM;SG
hendes	henne	hendes	hon	DET;3	PRO;ACC;DEF;MASC+FEM;SG
von	von	von	von		PROPN;NOM
hvad	vad	hvad	vad	PRO;SG	PRO;INDF;NEUT;SG
nord	norra	nord	norra	N;INDF	ADJ;NOM;DEF;SG
nord	norrut	nord	norrut	N;INDF	ADV
nord	nord	nord	nord	N;INDF	PROPN;NOM
nord	nord	nord	nord	N;INDF	PROPN;NOM
kort	karta	kort	karta	ADJ;INDF;SG	N;NOM;INDF;NEUT;SG
kort	kartlägga	kort	kartlägga	ADJ;INDF;SG	V;IMP;NFIN;ACT
kort	kartan	kort	karta	ADJ;INDF;SG	N;NOM;DEF;MASC+FEM;SG
kort	kort	kort	kort	ADJ;INDF;SG	ADV
kort	korta	kort	kort	ADJ;INDF;SG	ADJ;NOM;PL
kort	short	kort	short	ADJ;INDF;SG	N;NOM;INDF;MASC+FEM;SG
kort	kartor	kort	karta	ADJ;INDF;SG	N;NOM;INDF;MASC+FEM;PL
kort	kort	kort	kort	ADJ;INDF;SG	ADV
kort	cards	kort	card	ADJ;INDF;SG	N;NOM;INDF;NEUT;SG
kort	kortspel	kort	kortspel	ADJ;INDF;SG	N;NOM;INDF;NEUT;SG
kort	kort	kort	kort	ADJ;INDF;SG	ADV
kort	kortet	kort	kort	ADJ;INDF;SG	N;NOM;DEF;NEUT;SG
artikler	artiklarna	artikel	artikel	N;INDF;MASC+FEM;PL	N;NOM;DEF;MASC+FEM;PL
begyndte	startat	begynde	starta	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
begyndte	påbörjad	begynde	påbörjad	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
begyndte	startad	begynde	starta	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
udgivet	utsläppt	udgive	utsläppa	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
udgivet	släppt	udgive	släppa	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
udgivet	släpps	udgive	släppa	V;INDF;SG;PST;V.PTCP	V;IND;PRS;FIN;PASS
udgivet	frisläppt	udgive	frisläppa	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
udgivet	utgiven	udgive	utge	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
udgivet	publicerade	udgive	publicera	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
udgivet	publicerat	udgive	publicerad	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
udgivet	offentliggjord	udgive	offentliggjord	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
udgivet	publicerad	udgive	publicera	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
helt	hjälten	helt	hjält	ADV	N;NOM;DEF;MASC+FEM;SG
helt	hero	helt	hero	ADV	N;NOM;INDF;MASC+FEM;SG
helt	hjälte	helt	hjälte	ADV	N;NOM;INDF;MASC+FEM;SG
gamle	gammal	gammel	gammal	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
gamle	gammalt	gammel	gammal	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
gange	tiderna	gang	tid	N;INDF;MASC+FEM;PL	N;NOM;DEF;MASC+FEM;PL
gange	times	gang	tim	N;INDF;MASC+FEM;PL	PROPN;NOM
gange	ggr	gang	gå	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;SG
bedste	bäst	god	bra	ADJ;DEF;RL	ADV;RL
døde	död	død	död	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
døde	dött	død	döda	ADJ;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
døde	dead	død	dead	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
døde	dog	død	dö	ADJ;PL	V;IMP;FIN;ACT
døde	dött	død	döda	ADJ;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
amerikanske	american	amerikansk	america	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
amerikanske	amerikan	amerikansk	amerika	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
amerikanske	amerikanskt	amerikansk	amerikansk	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
amerikanske	amerikansk	amerikansk	amerikansk	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
tysk	tyska	tysk	tysk	ADJ;INDF;SG	N;NOM;INDF;MASC+FEM;SG
gruppe	gruppen	gruppe	grupp	N;INDF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
gruppe	gruppera	gruppe	gruppera	N;INDF;MASC+FEM;SG	V;IMP;FIN;ACT
stedet	ställe	sted	ställe	N;DEF;NEUT;SG	N;NOM;INDF;NEUT;SG
stedet	place	sted	place	N;DEF;NEUT;SG	N;NOM;INDF;NEUT;SG
stedet	placera	sted	placera	N;DEF;NEUT;SG	V;IMP;FIN;ACT
stedet	plats	sted	plats	N;DEF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
tyskland	tyskland	tyskland	tyskland	PROPN	PROPN;NOM
lige	straight	lige	straight	ADV	N;NOM;INDF;MASC+FEM;SG
lige	rak	lige	rak	ADV	ADJ;NOM;INDF;MASC+FEM;SG
lige	raka	lige	rak	ADV	ADJ;NOM;PL
