les	the	le	the	DET;DEF;PL	
fin	end	fin	end	N;FEM;SG	
vers	vers	vers	vers	ADP	
plusieurs	nhiều	plusieurs	nhiều	PRO;PL	ADJ
plusieurs	nhiều	plusieurs	nhiều	PRO;PL	ADJ
faire	pha	faire	pha	V;NFIN	N
faire	faire	faire	faire	V;NFIN	N
mars	march	mars	march	N;MASC;SG	
mars	mars	mars	mars	N;MASC;SG	
mai	may	mai	may	N;MASC;SG	ADJ
mai	mai	mai	mai	N;MASC;SG	
tour	tower	tour	tower	N;MASC;SG	
mort	mort	mourir	mort	V;MASC;SG;PST;V.PTCP	
juin	june	juin	june	N;MASC;SG	
française	pháp	français	pháp	ADJ;FEM;SG	N
pierre	stone	pierre	stone	N;FEM;SG	
pierre	peter	pierre	peter	N;FEM;SG	
pierre	pierre	pierre	pierre	N;FEM;SG	
région	loạt	région	loạt	N;FEM;SG	
région	loạt	région	loạt	N;FEM;SG	
avoir	đã	avoir	đã	V;NFIN	
fois	times	fois	times	N;FEM;SG	
autre	autre	autre	autre	PRO;SG	
autre	khác	autre	khác	PRO;SG	ADJ
état	bang	état	bang	N;MASC;SG	
état	tiêm	état	tiêm	N;MASC;SG	V
octobre	oct	octobre	oct	N;MASC;SG	
octobre	octobre	octobre	octobre	N;MASC;SG	
général	chung	général	chung	N;MASC;SG	ADJ
avril	apr	avril	apr	N;MASC;SG	
tous	hết	tout	hết	PRO;MASC;PL	V
août	august	août	august	N;MASC;SG	
todo	todo	todo	todo	PROPN	
novembre	nov	novembre	nov	N;MASC;SG	
avait	nan	avoir	nan	V;IND;SG;3;IPFV;FIN	N
avait	xịt	avoir	xịt	V;IND;SG;3;IPFV;FIN	V
prix	price	prix	price	N;MASC;SG	
nouvelle	new	nouveau	new	ADJ;FEM;SG	
nouvelle	mới	nouveau	mới	ADJ;FEM;SG	
nouvelle	sâm	nouveau	sâm	ADJ;FEM;SG	N
février	feb	février	feb	N;MASC;SG	
grande	đúc	grand	đúc	ADJ;FEM;SG	V
grande	đại	grand	đại	ADJ;FEM;SG	N
grande	big	grand	big	ADJ;FEM;SG	
grande	grande	grand	grande	ADJ;FEM;SG	N
peu	vài	peu	vài	ADV	DET
peu	nhỏ	peu	nhỏ	ADV	ADJ
peu	tiểu	peu	tiểu	ADV	
américain	american	américain	american	ADJ;MASC;SG	N
américain	mỹ	américain	mỹ	ADJ;MASC;SG	N
soit	thà	soit	thà	CONJ	PART
soit	chùm	soit	chùm	CONJ	N
début	khởi	début	khởi	N;MASC;SG	V
ligne	line	ligne	line	N;FEM;SG	
suite	suite	suite	suite	N;FEM;SG	
nationale	gạt	national	gạt	ADJ;FEM;SG	V
nationale	nationale	national	nationale	ADJ;FEM;SG	N
encore	lại	encore	lại	ADV	
encore	côn	encore	côn	ADV	N
encore	vẫn	encore	vẫn	ADV	
encore	encore	encore	encore	ADV	
vie	vie	vie	vie	N;FEM;SG	
unis	united	unir	united	V;MASC;PL;PST;V.PTCP	N
unis	hoa	unir	hoa	V;MASC;PL;PST;V.PTCP	N
jeux	gaming	jeu	gaming	N;MASC;PL	
moins	trừ	moins	trừ	ADV	V
moins	bớt	moins	bớt	ADV	V
moins	ít	moins	ít	ADV	ADJ
moins	giảm	moins	giảm	ADV	V
page	page	page	page	N;FEM;SG	
nouveau	new	nouveau	new	ADJ;MASC;SG	
nouveau	mới	nouveau	mới	ADJ;MASC;SG	
nouveau	sâm	nouveau	sâm	ADJ;MASC;SG	N
vous	các	vous	các	PRO;PL;2	DET
vous	cac	vous	cac	PRO;PL;2	
vous	bạn	vous	bạn	PRO;PL;2	N
vous	anh	vous	anh	PRO;PL;2	N
vous	cô	vous	cô	PRO;PL;2	N
notamment	notably	notamment	notably	ADV	
centre	tâm	centre	tâm	N;MASC;SG	
louis	louis	loui	louis	N;MASC;SG	
quelques	cầy	quelque	cầy	PRO;PL	N
leurs	nhị	son	nhị	DET;MASC;PL	N
coupe	tách	coupe	tách	N;FEM;SG	V
coupe	cutting	coupe	cutting	N;FEM;SG	
coupe	cắt	coupe	cắt	N;FEM;SG	V
coupe	cắt	coupe	cắt	N;FEM;SG	V
coupe	méo	coupe	méo	N;FEM;SG	V
coupe	chém	coupe	chém	N;FEM;SG	V
connexes	related	connexe	related	ADJ;MASC;PL	V
homme	hãm	homme	hãm	N;MASC;SG	V
homme	man	homme	man	N;MASC;SG	
président	cậy	président	cậy	N;MASC;SG	
président	chairperson	président	chairperson	N;MASC;SG	V
national	gạt	national	gạt	ADJ;MASC;SG	V
société	ty	société	ty	N;FEM;SG	
cas	case	cas	case	N;MASC;SG	
jeu	gaming	jeu	gaming	N;MASC;SG	
jeu	chơi	jeu	chơi	N;MASC;SG	V
genre	như	genre	như	N;MASC;SG	CONJ
genre	thích	genre	thích	N;MASC;SG	V
genre	like	genre	like	N;MASC;SG	V
musique	nhạc	musique	nhạc	N;FEM;SG	V
roi	king	roi	king	N;MASC;SG	
roi	guy	roi	guy	N;MASC;SG	
roi	roi	roi	roi	N;MASC;SG	
parti	đảng	partir	đảng	V;MASC;SG;PST;V.PTCP	N
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	
parti	tiệc	partir	tiệc	V;MASC;SG;PST;V.PTCP	N
jour	day	jour	day	N;MASC;SG	
mise	mise	mettre	mise	V;FEM;SG;PST;V.PTCP	
mise	cược	mettre	cược	V;FEM;SG;PST;V.PTCP	N
forme	form	forme	form	N;FEM;SG	
époque	era	époque	era	N;FEM;SG	
ancien	tuổi	ancien	tuổi	ADJ;MASC;SG	N
ancien	elder	ancien	elder	ADJ;MASC;SG	N
ancien	cựu	ancien	cựu	ADJ;MASC;SG	N
origine	vạn	origine	vạn	N;FEM;SG	ADJ
origine	origins	origine	origins	N;FEM;SG	
école	học	école	học	N;FEM;SG	V
carrière	nghiệp	carrière	nghiệp	N;FEM;SG	ADJ
carrière	quarry	carrière	quarry	N;FEM;SG	
part	chia	part	chia	N;FEM;SG	V
part	share	part	share	N;FEM;SG	V
deuxième	giây	deuxième	giây	ADJ;MASC;SG	
bar	bar	bar	bar	N;MASC;SG	
charles	charles	charle	charles	N;MASC;SG	
points	chấm	point	chấm	N;MASC;PL	V
paul	paul	paul	paul	N;MASC;SG	
rue	street	rue	street	N;FEM;SG	
exemple	dụ	exemple	dụ	N;MASC;SG	V
trouve	xạo	trouver	xạo	V;IND;SG;3;PRS;FIN	
durant	durant	durant	durant	ADP	N
art	art	art	art	N;MASC;SG	
dernier	cuối	dernier	cuối	ADJ;MASC;SG	N
type	gõ	type	gõ	N;MASC;SG	V
point	beat	point	beat	N;MASC;SG	
point	chấm	point	chấm	N;MASC;SG	V
compte	đếm	compte	đếm	N;MASC;SG	V
marie	marie	marier	marie	N;FEM;SG	
marie	mary	marier	mary	N;FEM;SG	
discuter	chát	discuter	chát	V;NFIN	ADJ
discuter	chat	discuter	chat	V;NFIN	N
car	vì	car	vì	CONJ	ADP
chaque	mỗi	chaque	mỗi	DET;FEM;SG	NUM
chaque	hằng	chaque	hằng	DET;FEM;SG	
chaque	mỗi	chaque	mỗi	DET;FEM;SG	NUM
john	gioan	john	gioan	PROPN	N
john	john	john	john	PROPN	N
conseil	khuyên	conseil	khuyên	N;MASC;SG	V
françois	phanxicô	françois	phanxicô	PROPN	N
françois	francis	françois	francis	PROPN	
françois	francois	françois	francois	PROPN	N
françois	françois	françois	françois	PROPN	N
françois	francois	françois	francois	PROPN	N
françois	françois	françois	françois	PROPN	N
cela	này	cela	này	PRO;SG	PROPN
cela	thế	cela	thế	PRO;SG	PROPN
cela	rằng	cela	rằng	PRO;SG	CONJ
cela	điều	cela	điều	PRO;SG	N
cela	mà	cela	mà	PRO;SG	CONJ
cela	vn	cela	vn	PRO;SG	N
demande	bảo	demande	bảo	N;FEM;SG	V
demande	hỏi	demande	hỏi	N;FEM;SG	V
toujours	luôn	toujours	luôn	ADV	
toujours	côn	toujours	côn	ADV	N
toujours	vẫn	toujours	vẫn	ADV	
certains	cầy	certain	cầy	PRO;MASC;PL	N
près	gần	près	gần	ADV	ADJ
meilleur	meilleur	meilleur	meilleur	ADJ;MASC;SG	
meilleur	nhất	meilleur	nhất	ADJ;MASC;SG	
droit	phải	droit	phải	N;MASC;SG	V
droit	đúng	droit	đúng	N;MASC;SG	ADJ
ensuite	rồi	ensuite	rồi	ADV	CONJ
dit	said	dire	said	V;MASC;SG;PST;V.PTCP	
center	tâm	center	tâm	N;MASC;SG	
elles	elles	il	elles	PRO;FEM;PL;3	
elles	quất	il	quất	PRO;FEM;PL;3	N
elles	những	il	những	PRO;FEM;PL;3	DET
elles	chúng	il	chúng	PRO;FEM;PL;3	PROPN
elles	họ	il	họ	PRO;FEM;PL;3	PROPN
petit	petit	petit	petit	ADJ;MASC;SG	N
petit	tiểu	petit	tiểu	ADJ;MASC;SG	
toutes	hết	tout	hết	PRO;FEM;PL	V
argent	tien	argent	tien	N;MASC;SG	
argent	cash	argent	cash	N;MASC;SG	
style	style	style	style	N;MASC;SG	
olympiques	olympic	olympique	olympic	ADJ;MASC;PL	N
olympiques	olympic	olympique	olympic	ADJ;MASC;PL	N
olympiques	olympics	olympique	olympics	ADJ;MASC;PL	N
quand	khi	quand	khi	CONJ	N
top	top	top	top	N;MASC;SG	
mondiale	giới	mondial	giới	ADJ;FEM;SG	N
ensemble	ensemble	ensemble	ensemble	ADV	N
épisode	tập	épisode	tập	N;MASC;SG	
épisode	episode	épisode	episode	N;MASC;SG	
toute	hết	tout	hết	DET;FEM;SG	V
asp	asp	asp	asp	N;MASC;SG	
création	tạo	création	tạo	N;FEM;SG	V
stade	estadio	stade	estadio	N;MASC;SG	
tard	sen	tard	sen	ADV	N
tard	trễ	tard	trễ	ADV	ADJ
tard	khuya	tard	khuya	ADV	N
tard	muộn	tard	muộn	ADV	ADJ
reste	stay	rester	stay	V;IND;SG;3;PRS;FIN	N
seconde	giây	second	giây	ADJ;FEM;SG	
hui	huệ	hui	huệ		N
hui	hui	hui	hui		N
hui	hủi	hui	hủi		N
hui	huy	hui	huy		N
hui	nay	hui	nay		PROPN
édition	sửa	édition	sửa	N;FEM;SG	V
édition	edition	édition	edition	N;FEM;SG	
éditions	éditions	édition	éditions	N;FEM;PL	
sera	will	être	will	V;IND;SG;3;FUT;FIN	
sera	sẽ	être	sẽ	V;IND;SG;3;FUT;FIN	
sera	muốn	être	muốn	V;IND;SG;3;FUT;FIN	V
robert	robert	robert	robert	N;MASC;SG	
officiel	officiel	officiel	officiel	ADJ;MASC;SG	N
champion	champ	champion	champ	N;MASC;SG	
champion	champion	champion	champion	N;MASC;SG	V
michel	michael	michel	michael	PROPN	
michel	michel	michel	michel	PROPN	N
femme	vơ	femme	vơ	N;FEM;SG	V
femme	vk	femme	vk	N;FEM;SG	
cinq	năm	cinq	năm	NUM	N
cinq	cinq	cinq	cinq	NUM	
déjà	đã	déjà	đã	ADV	
bas	vớ	bas	vớ	ADJ;MASC;SG	N
bas	low	bas	low	ADJ;MASC;SG	
bas	bas	bas	bas	ADJ;MASC;SG	
terre	đáp	terre	đáp	N;FEM;SG	V
allemagne	allemagne	allemagne	allemagne	PROPN	N
allemagne	đức	allemagne	đức	PROPN	N
britannique	british	britannique	british	ADJ;MASC;SG	N
porte	gate	porte	gate	N;FEM;SG	
hommes	hãm	homme	hãm	N;MASC;PL	V
italie	italy	italie	italy	PROPN	N
bataille	battle	bataille	battle	N;FEM;SG	
corps	thân	corps	thân	N;MASC;SG	
corps	body	corps	body	N;MASC;SG	
demi	nửa	demi	nửa	ADJ;MASC;SG	NUM
demi	demi	demi	demi	ADJ;MASC;SG	N
route	road	route	road	N;FEM;SG	
jeune	trẻ	jeune	trẻ	ADJ;MASC;SG	N
jeune	young	jeune	young	ADJ;MASC;SG	
match	chơi	match	chơi	N;MASC;SG	V
york	york	york	york	PROPN	N
royaume	royaume	royaume	royaume	N;MASC;SG	
ceux	những	celui	những	PRO;MASC;PL	DET
long	long	long	long	ADJ;MASC;SG	N
base	base	base	base	N;FEM;SG	
livre	pound	livre	pound	N;MASC;SG	
livre	livre	livre	livre	N;MASC;SG	
américaine	american	américain	american	ADJ;FEM;SG	N
américaine	mỹ	américain	mỹ	ADJ;FEM;SG	N
haut	nắp	haut	nắp	ADJ;MASC;SG	N
haut	top	haut	top	ADJ;MASC;SG	
haut	đỉnh	haut	đỉnh	ADJ;MASC;SG	N
suisse	swiss	suisse	swiss	ADJ;MASC;SG	N
valign	valign	valign	valign	PROPN	
suivant	kit	suivre	kit	V;PRS;V.PTCP	
beaucoup	nhiều	beaucoup	nhiều	ADV	ADJ
beaucoup	nhiều	beaucoup	nhiều	ADV	ADJ
dire	tràng	dire	tràng	V;NFIN	N
seul	chỉ	seul	chỉ	ADJ;MASC;SG	
seul	duy	seul	duy	ADJ;MASC;SG	N
pouvoir	lực	pouvoir	lực	V;NFIN	N
but	đo	but	đo	N;MASC;SG	V
tête	đàu	tête	đàu	N;FEM;SG	
tête	head	tête	head	N;FEM;SG	
tête	vát	tête	vát	N;FEM;SG	V
union	hợp	union	hợp	N;FEM;SG	ADJ
ancienne	tuổi	ancien	tuổi	ADJ;FEM;SG	N
ancienne	cựu	ancien	cựu	ADJ;FEM;SG	N
premiers	trước	premier	trước	ADJ;MASC;PL	
premiers	đầu	premier	đầu	ADJ;MASC;PL	N
présente	quà	présent	quà	ADJ;FEM;SG	N
public	công	public	công	ADJ;MASC;SG	N
pages	page	page	page	N;FEM;PL	
simple	singles	simple	singles	ADJ;MASC;SG	NUM
dernière	cuối	dernier	cuối	ADJ;FEM;SG	N
henri	henry	henri	henry	PROPN	
henri	henri	henri	henri	PROPN	N
chanson	song	chanson	song	N;FEM;SG	CONJ
poste	đăng	poste	đăng	N;MASC;SG	V
grâce	grace	grâce	grace	N;FEM;SG	
grâce	tha	grâce	tha	N;FEM;SG	V
sortie	xuất	sortir	xuất	V;FEM;SG;PST;V.PTCP	N
sortie	outing	sortir	outing	V;FEM;SG;PST;V.PTCP	N
sortie	tứ	sortir	tứ	V;FEM;SG;PST;V.PTCP	N
empire	empire	empire	empire	N;MASC;SG	
david	david	david	david	PROPN	
loi	act	loi	act	N;FEM;SG	NUM
haute	haute	haut	haute	ADJ;FEM;SG	
espagne	espagne	espagner	espagne	N;MASC;SG	
acteur	diễn	acteur	diễn	N;MASC;SG	V
recherche	tìm	recherche	tìm	N;FEM;SG	V
double	double	double	double	ADJ;MASC;SG	
double	đôi	double	đôi	ADJ;MASC;SG	NUM
double	trùng	double	trùng	ADJ;MASC;SG	V
double	kép	double	kép	ADJ;MASC;SG	N
double	dual	double	dual	ADJ;MASC;SG	N
entraîneur	trainer	entraîneur	trainer	N;MASC;SG	
ici	đây	ici	đây	ADV	PROPN
devant	devant	devant	devant	ADP	
petite	tiểu	petit	tiểu	ADJ;FEM;SG	
petite	petite	petit	petite	ADJ;FEM;SG	
bois	uống	bois	uống	N;MASC;SG	V
bois	ly	bois	ly	N;MASC;SG	V
bois	timber	bois	timber	N;MASC;SG	
entreprise	ty	entreprendre	ty	V;FEM;SG;PST;V.PTCP	
entreprise	enterprise	entreprendre	enterprise	V;FEM;SG;PST;V.PTCP	
retour	throwback	retour	throwback	N;MASC;SG	
principale	chính	principal	chính	ADJ;FEM;SG	PART
principale	main	principal	main	ADJ;FEM;SG	N
sainte	sainte	saint	sainte	ADJ;FEM;SG	N
sainte	thánh	saint	thánh	ADJ;FEM;SG	N
sainte	saint	saint	saint	ADJ;FEM;SG	
sainte	thánh	saint	thánh	ADJ;FEM;SG	N
comté	shire	comté	shire	N;MASC;SG	
second	giây	second	giây	ADJ;MASC;SG	
formation	luyện	formation	luyện	N;FEM;SG	V
formation	training	formation	training	N;FEM;SG	DET
etc	etc	etc	etc		
etc	vv	etc	vv		
mon	mon	son	mon	DET;MASC;SG	N
philippe	philippe	philippe	philippe	N;MASC;SG	
philippe	philip	philippe	philip	N;MASC;SG	
lorsque	khi	lorsque	khi	CONJ	N
cinéma	phim	cinéma	phim	N;MASC;SG	
plan	plan	plan	plan	N;MASC;SG	
van	trù	van	trù	PROPN	N
van	van	van	van	PROPN	V
serait	tòng	être	tòng	V;COND;SG;3;PRS;FIN	N
serait	cốt	être	cốt	V;COND;SG;3;PRS;FIN	N
zone	zone	zone	zone	N;FEM;SG	
zone	loạt	zone	loạt	N;FEM;SG	
compagnie	ty	compagnie	ty	N;FEM;SG	
championnats	championships	championnat	championships	N;MASC;PL	V
laquelle	mà	lequel	mà	PRO;FEM;SG	CONJ
films	phim	film	phim	N;MASC;PL	
films	phim	film	phim	N;MASC;PL	
parfois	đôi	parfois	đôi	ADV	NUM
moyenne	vừa	moyenne	vừa	N;FEM;SG	
moyenne	medium	moyenne	medium	N;FEM;SG	
rivière	rivière	rivière	rivière	N;FEM;SG	
jamais	bao	jamais	bao	ADV	
jamais	từng	jamais	từng	ADV	PROPN
martin	martin	martin	martin	PROPN	
député	phó	député	phó	N;MASC;SG	
moyen	vừa	moyen	vừa	ADJ;MASC;SG	
moyen	medium	moyen	medium	ADJ;MASC;SG	
moyen	trung	moyen	trung	ADJ;MASC;SG	N
san	san	san	san	PROPN	
notre	plr	son	plr	DET;MASC;SG	
bon	hay	bon	hay	ADJ;MASC;SG	CONJ
rouge	đỏ	rouge	đỏ	ADJ;MASC;SG	N
rouge	rouge	rouge	rouge	ADJ;MASC;SG	
seulement	chỉ	seulement	chỉ	ADV	
seulement	duy	seulement	duy	ADV	N
libre	free	libre	free	ADJ;MASC;SG	
libre	rảnh	libre	rảnh	ADJ;MASC;SG	V
libre	libre	libre	libre	ADJ;MASC;SG	NUM
air	air	air	air	N;MASC;SG	
milieu	giữa	milieu	giữa	N;MASC;SG	ADP
milieu	đọng	milieu	đọng	N;MASC;SG	V
milieu	vừa	milieu	vừa	N;MASC;SG	
milieu	medium	milieu	medium	N;MASC;SG	
festival	festival	festival	festival	N;MASC;SG	
belgique	bỉ	belgique	bỉ	ADJ;MASC;SG	N
belgique	belgique	belgique	belgique	ADJ;MASC;SG	
georges	george	george	george	N;MASC;SG	
georges	georges	george	georges	N;MASC;SG	
blanc	white	blanc	white	N;MASC;SG	
blanc	trống	blanc	trống	N;MASC;SG	V
blanc	blank	blanc	blank	N;MASC;SG	V
gauche	trái	gauche	trái	ADJ;MASC;SG	
passe	đèo	passer	đèo	V;IND;SG;3;PRS;FIN	N
passe	pass	passer	pass	V;IND;SG;3;PRS;FIN	N
diffusion	phát	diffusion	phát	N;FEM;SG	V
aide	aid	aide	aid	N;FEM;SG	
aide	cứu	aide	cứu	N;FEM;SG	V
aide	giúp	aide	giúp	N;FEM;SG	V
andré	andre	andré	andre	PROPN	
andré	andré	andré	andré	PROPN	
andré	andre	andré	andre	PROPN	
andré	andré	andré	andré	PROPN	
andré	andrew	andré	andrew	PROPN	
victoire	victoire	victoire	victoire	N;FEM;SG	
aurait	tòng	avoir	tòng	V;COND;SG;3;PRS;FIN	N
aurait	cốt	avoir	cốt	V;COND;SG;3;PRS;FIN	N
autour	khoảng	autour	khoảng	ADV	ADJ
autour	vòng	autour	vòng	ADV	N
belge	belge	belge	belge	ADJ;MASC;SG	
belge	bỉ	belge	bỉ	ADJ;MASC;SG	N
certaines	cầy	certain	cầy	PRO;FEM;PL	N
afrique	phi	afrique	phi	ADJ;MASC;SG	N
sens	sens	sens	sens	N;MASC;SG	
mis	chua	mettre	chua	V;MASC;SG;PST;V.PTCP	N
mis	norad	mettre	norad	V;MASC;SG;PST;V.PTCP	
mis	mis	mettre	mis	V;MASC;SG;PST;V.PTCP	N
municipalité	municipality	municipalité	municipality	N;FEM;SG	
frère	frère	frère	frère	N;MASC;SG	
rencontre	họp	rencontre	họp	N;FEM;SG	V
rencontre	meet	rencontre	meet	N;FEM;SG	ADJ
rencontre	gặp	rencontre	gặp	N;FEM;SG	V
trop	quá	trop	quá	ADV	
trop	khoáng	trop	khoáng	ADV	N
trop	too	trop	too	ADV	
japon	japan	japon	japan	PROPN	N
domaine	field	domaine	field	N;MASC;SG	
domaine	loạt	domaine	loạt	N;MASC;SG	
eux	them	soi	them	PRO;MASC;PL;3	
eux	cói	soi	cói	PRO;MASC;PL;3	N
eux	chúng	soi	chúng	PRO;MASC;PL;3	PROPN
eux	họ	soi	họ	PRO;MASC;PL;3	PROPN
eux	quất	soi	quất	PRO;MASC;PL;3	N
eux	những	soi	những	PRO;MASC;PL;3	DET
eux	chúng	soi	chúng	PRO;MASC;PL;3	PROPN
eux	họ	soi	họ	PRO;MASC;PL;3	PROPN
scientifique	khoa	scientifique	khoa	ADJ;MASC;SG	
seule	chỉ	seul	chỉ	ADJ;FEM;SG	
seule	duy	seul	duy	ADJ;FEM;SG	N
nouvelles	tin	nouveau	tin	ADJ;FEM;PL	
nouvelles	new	nouveau	new	ADJ;FEM;PL	
nouvelles	mới	nouveau	mới	ADJ;FEM;PL	
nouvelles	sâm	nouveau	sâm	ADJ;FEM;PL	N
comte	đếm	comte	đếm	N;MASC;SG	V
comte	earl	comte	earl	N;MASC;SG	
suivante	kế	suivant	kế	ADJ;FEM;SG	V
suivante	tiếp	suivant	tiếp	ADJ;FEM;SG	V
suivante	kit	suivant	kit	ADJ;FEM;SG	
fort	mạnh	fort	mạnh	ADV	ADJ
fort	strong	fort	strong	ADV	
fort	fort	fort	fort	ADV	
rome	phòng	rome	phòng	PROPN	N
rome	rome	rome	rome	PROPN	N
rome	roma	rome	roma	PROPN	N
dix	dix	dix	dix	NUM	
principal	chính	principal	chính	ADJ;MASC;SG	PART
principal	main	principal	main	ADJ;MASC;SG	N
croix	chinh	croix	chinh	N;FEM;SG	
croix	chon	croix	chon	N;FEM;SG	V
mettre	chua	mettre	chua	V;NFIN	N
mettre	norad	mettre	norad	V;NFIN	
millions	triệu	million	triệu	N;MASC;PL	NUM
millions	triệu	million	triệu	N;MASC;PL	NUM
noir	dark	noir	dark	N;MASC;SG	
noir	noir	noir	noir	N;MASC;SG	
