το	az	ο	az	DET;NOM;DEF;NEUT;SG	
μία	egy	ένας	egy	NUM;NOM;FEM;SG	DET;INDF
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
μπορεί	lehet	μπορώ	lesz	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;POT;SG;3;PRS;FIN;ACT
ομάδα	brigád	ομάδα	brigád	N;ACC;FEM;SG	N;NOM;SG
ομάδα	osztag	ομάδα	osztag	N;ACC;FEM;SG	N;NOM;SG
ομάδα	csoport	ομάδα	csoport	N;ACC;FEM;SG	N;NOM;SG
ομάδα	csoportban	ομάδα	csoport	N;ACC;FEM;SG	N;IN+ESS;SG
ομάδα	csapat	ομάδα	csapat	N;ACC;FEM;SG	N;NOM;SG
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	
θέση	állás	θέση	állás	N;ACC;FEM;SG	N;NOM;SG
θέση	pozíció	θέση	pozíció	N;ACC;FEM;SG	N;NOM;SG
θέση	álláspont	θέση	álláspont	N;ACC;FEM;SG	N;NOM;SG
χρόνια	krónikus	χρόνος	krónikus	N;NOM;NEUT;PL	N;NOM;SG
χρόνια	év	χρόνος	év	N;NOM;NEUT;PL	N;NOM;SG
πρώτη	először	πρώτος	először	NUM;NOM;FEM;SG	ADV
πρώτη	első	πρώτος	első	NUM;NOM;FEM;SG	ADJ;NOM;SG
πιο	több	πιο	több	ADV	DET;INDF
πιο	more	πιο	more	ADV	
πιο	további	πιο	további	ADV	N;NOM;SG
πιο	tobb	πιο	tobb	ADV	
πόλη	városban	πόλη	város	N;NOM;FEM;SG	N;IN+ESS;SG
πόλη	town	πόλη	town	N;NOM;FEM;SG	
πόλη	city	πόλη	city	N;NOM;FEM;SG	
πόλη	városi	πόλη	városi	N;NOM;FEM;SG	ADJ;NOM;SG
σύνδεσμοι	linkek	σύνδεσμος	link	N;ACC;MASC;SG	N;NOM;PL
σύνδεσμοι	hivatkozások	σύνδεσμος	hivatkozás	N;ACC;MASC;SG	N;NOM;PL
σύνδεσμοι	kapcsolatok	σύνδεσμος	kapcsolat	N;ACC;MASC;SG	N;NOM;PL
μόνο	kizárólag	μόνο	kizárólag	ADV	
έγινε	kész	γίνομαι	kész	V;PFV;IND;SG;3;PST;FIN;PASS	
κάθε	minden	κάθε	minden	PRO;ACC;FEM;SG;3	PRO;NOM;SG;3
κάθε	mindegyik	κάθε	mindegyik	PRO;ACC;FEM;SG;3	
περιοχή	régiók	περιοχή	régió	N;NOM;FEM;SG	N;NOM;PL
αιώνα	évszázad	αιώνας	évszázad	N;ACC;MASC;SG	N;NOM;SG
αιώνα	század	αιώνας	század	N;ACC;MASC;SG	N;NOM;SG
αθήνα	athéni	αθήνα	athéni	PROPN;ACC;FEM;SG	ADJ;NOM;SG
περίοδο	időszak	περίοδος	időszak	N;ACC;FEM;SG	N;NOM;SG
περίοδο	időtartam	περίοδος	időtartam	N;ACC;FEM;SG	N;NOM;SG
περίοδο	periódus	περίοδος	periódus	N;ACC;FEM;SG	N;NOM;SG
τότε	aztán	τότε	aztán	ADV	
ελλάδα	görögország	ελλάδα	görögország	PROPN;ACC;FEM;SG	N;NOM;SG
μέρος	részben	μέρος	részben	N;NOM;NEUT;SG	ADV
μέσα	belül	μέσα	belül	ADV	ADP
πως	hogyan	πως	hogyan	CONJ	ADV
μαζί	együtt	μαζί	együtt	ADV	
διάρκεια	időtartam	διάρκεια	időtartam	N;ACC;FEM;SG	N;NOM;SG
διάρκεια	időtartama	διάρκεια	időtartam	N;ACC;FEM;SG	N;NOM;SG
ιστορία	story	ιστορία	story	N;NOM;FEM;SG	
ιστορία	előzmények	ιστορία	előzmény	N;NOM;FEM;SG	N;NOM;PL
πρωτάθλημα	league	πρωτάθλημα	leag	N;NOM;NEUT;SG	
νέα	újdonság	νέος	újdonság	ADJ;NOM;NEUT;PL	N;NOM;SG
νέα	új	νέος	új	ADJ;NOM;NEUT;PL	ADJ;NOM;SG
νέα	hírek	νέος	hír	ADJ;NOM;NEUT;PL	N;NOM;PL
νέα	hír	νέος	hír	ADJ;NOM;NEUT;PL	N;NOM;SG
περίπου	kb	περίπου	kb	ADV	N;NOM;SG
περίπου	nagyjából	περίπου	nagy	ADV	N;IN+ABL;SG
περίπου	megközelítőleg	περίπου	megközelítőleg	ADV	ADJ;FRML;SG
αυτά	ezeket	αυτός	ez	PRO;NOM;NEUT;PL;3	PRO;ACC;PL;3
πριν	előtte	πριν	előtte	ADV	
πριν	előtt	πριν	előtt	ADV	ADP
χωρίς	anélkül	χωρίς	anélkül	ADP	
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	
συζήτηση	társalgás	συζήτηση	társalgás	N;ACC;FEM;SG	N;NOM;SG
συζήτηση	beszélgetés	συζήτηση	beszélgetés	N;ACC;FEM;SG	N;NOM;SG
συζήτηση	vita	συζήτηση	vita	N;ACC;FEM;SG	N;NOM;SG
συζήτηση	megbeszélés	συζήτηση	megbeszélés	N;ACC;FEM;SG	N;NOM;SG
συζήτηση	beszélgetés	συζήτηση	beszélgetés	N;ACC;FEM;SG	N;NOM;SG
συζήτηση	vita	συζήτηση	vita	N;ACC;FEM;SG	N;NOM;SG
φορά	ideje	φορά	idő	N;ACC;FEM;SG	N;NOM;SG
φορά	időpont	φορά	időpont	N;ACC;FEM;SG	N;NOM;SG
φορά	idő	φορά	idő	N;ACC;FEM;SG	N;NOM;SG
πάνω	fent	πάνω	fent	ADV	
έλληνες	görögök	έλληνας	görög	ADJ;NOM;MASC;PL	
ομάδες	csoportoknak	ομάδα	csoport	N;NOM;FEM;PL	N;DAT;PL
πρώτο	először	πρώτος	először	NUM;NOM;NEUT;SG	ADV
πρώτο	első	πρώτος	első	NUM;NOM;NEUT;SG	ADJ;NOM;SG
έργο	projekt	έργο	projekt	N;NOM;NEUT;SG	
έργο	project	έργο	projec	N;NOM;NEUT;SG	
κυρίως	főként	κυρίως	főként	ADV	
κυρίως	főleg	κυρίως	főleg	ADV	
κυρίως	főleg	κυρίως	főleg	ADV	
κυρίως	főként	κυρίως	főként	ADV	
κυρίως	többnyire	κυρίως	többnyir	ADV	
όχι	nem	όχι	nem	PART	ADV
ελληνική	görög	ελληνικός	görög	ADJ;NOM;FEM;SG	
μεγάλη	nagyok	μεγάλος	nagy	ADJ;NOM;FEM;SG	N;NOM;PL
υπό	alatta	υπό	alat	ADP	
ταινία	filmet	ταινία	film	N;NOM;FEM;SG	N;ACC;SG
άλλα	egyéb	άλλος	egyéb	PRO;NOM;NEUT;PL;3	
άλλα	más	άλλος	más	PRO;NOM;NEUT;PL;3	PRO;NOM;SG;3
άλλα	másoknak	άλλος	más	PRO;NOM;NEUT;PL;3	PRO;DAT;PL;3
άλλα	egyéb	άλλος	egyéb	PRO;NOM;NEUT;PL;3	
άλλα	mások	άλλος	más	PRO;NOM;NEUT;PL;3	
άλλα	egyebek	άλλος	egyéb	PRO;NOM;NEUT;PL;3	
τμήμα	megye	τμήμα	megye	N;NOM;NEUT;SG	
σαν	mint	σαν	mint	ADV	CONJ
σαν	like	σαν	lik	ADV	
σαν	tetszik	σαν	tetszik	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
ωστόσο	mindamellett	ωστόσο	mindamellett	CONJ	
άλλες	egyéb	άλλος	egyéb	PRO;NOM;FEM;PL;3	
άλλες	más	άλλος	más	PRO;NOM;FEM;PL;3	PRO;NOM;SG;3
τέλος	végre	τέλος	végre	ADV	
τέλος	befejezés	τέλος	befejezés	ADV	N;NOM;SG
τέλος	vége	τέλος	vég	ADV	N;NOM;SG
τέλος	vég	τέλος	vég	ADV	N;NOM;SG
σειρά	sorozat	σειρά	sorozat	N;ACC;FEM;SG	N;NOM;SG
σειρά	megrendelés	σειρά	megrendelés	N;ACC;FEM;SG	N;NOM;SG
σειρά	rendelés	σειρά	rendelés	N;ACC;FEM;SG	N;NOM;SG
σειρά	rend	σειρά	rend	N;ACC;FEM;SG	N;NOM;SG
σειρά	parancs	σειρά	parancs	N;ACC;FEM;SG	N;NOM;SG
σειρά	sor	σειρά	sor	N;ACC;FEM;SG	
στοιχεία	adat	στοιχείο	adat	N;NOM;NEUT;PL	N;NOM;SG
στοιχεία	adatforgalom	στοιχείο	adatforgalom	N;NOM;NEUT;PL	N;NOM;SG
εκτός	hacsak	εκτός	hacsak	ADV	CONJ
εκτός	kivéve	εκτός	kivév	ADV	
συνέχεια	folytonosság	συνέχεια	folytonosság	N;ACC;FEM;SG	N;NOM;SG
συνέχεια	folytasd	συνέχεια	folytasd	N;ACC;FEM;SG	V;DEF;IMP;SG;1;PRS;FIN;ACT
συνέχεια	folytatás	συνέχεια	folytatás	N;ACC;FEM;SG	N;NOM;SG
συνέχεια	folyamatos	συνέχεια	folyamatos	N;ACC;FEM;SG	
συνέχεια	folytatása	συνέχεια	folytatás	N;ACC;FEM;SG	N;NOM;SG
συνέχεια	folytatta	συνέχεια	folytat	N;ACC;FEM;SG	V;DEF;IND;SG;3;PST;FIN;ACT
συνέχεια	folytatás	συνέχεια	folytatás	N;ACC;FEM;SG	N;NOM;SG
συνέχεια	folytatódott	συνέχεια	folytatódik	N;ACC;FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
κάτω	lefelé	κάτω	lefelé	ADV	
κάτω	alacsonyabb	κάτω	alacsony	ADV	ADJ;NOM;CMPR;SG
κάτω	alsó	κάτω	alsó	ADV	
κάτω	lent	κάτω	lesz	ADV	
κάτω	alul	κάτω	alul	ADV	
κάτω	alatt	κάτω	alatt	ADV	ADP
κάτω	alatta	κάτω	alat	ADV	
κάτω	lent	κάτω	lesz	ADV	
πολλές	sok	πολύς	sok	ADJ;NOM;FEM;PL	
πολλές	sokan	πολύς	sokan	ADJ;NOM;FEM;PL	ADV
όλα	mindent	όλος	minden	ADJ;NOM;NEUT;PL	
όλα	minden	όλος	minden	ADJ;NOM;NEUT;PL	PRO;NOM;SG;3
όλα	mindegyik	όλος	mindegyik	ADJ;NOM;NEUT;PL	
όλα	mind	όλος	mind	ADJ;NOM;NEUT;PL	CONJ
όλα	minden	όλος	minden	ADJ;NOM;NEUT;PL	PRO;NOM;SG;3
σύστημα	system	σύστημα	system	N;NOM;NEUT;SG	
φορές	idők	φορά	idő	N;NOM;FEM;PL	
φορές	times	φορά	times	N;NOM;FEM;PL	N;NOM;SG
ίδια	egyforma	ίδιος	egyforma	ADJ;NOM;FEM;SG	
ίδια	megegyező	ίδιος	megegyező	ADJ;NOM;FEM;SG	
ίδια	azonos	ίδιος	azonos	ADJ;NOM;FEM;SG	
ίδια	ugyanez	ίδιος	ugyanez	ADJ;NOM;FEM;SG	
ίδια	ugyanaz	ίδιος	ugyanaz	ADJ;NOM;FEM;SG	
ιουλίου	júliusban	ιούλιος	július	N;GEN;NEUT;SG	N;IN+ESS;SG
ιουλίου	júliusi	ιούλιος	júliusi	N;GEN;NEUT;SG	ADJ;NOM;SG
ιουλίου	július	ιούλιος	július	N;GEN;NEUT;SG	N;NOM;SG
χώρα	országban	χώρα	ország	N;NOM;FEM;SG	N;IN+ESS;SG
αποτέλεσμα	végeredmény	αποτέλεσμα	végeredmény	N;ACC;NEUT;SG	N;NOM;SG
αποτέλεσμα	eredmény	αποτέλεσμα	eredmény	N;ACC;NEUT;SG	N;NOM;SG
αποτέλεσμα	hatása	αποτέλεσμα	hatás	N;ACC;NEUT;SG	N;NOM;SG
αποτέλεσμα	hatás	αποτέλεσμα	hatás	N;ACC;NEUT;SG	N;NOM;SG
αποτέλεσμα	effektus	αποτέλεσμα	effektus	N;ACC;NEUT;SG	N;NOM;SG
οκτωβρίου	októberi	οκτώβριος	októberi	N;GEN;MASC;SG	ADJ;NOM;SG
οκτωβρίου	októberben	οκτώβριος	október	N;GEN;MASC;SG	N;IN+ESS;SG
οκτωβρίου	október	οκτώβριος	október	N;GEN;MASC;SG	N;NOM;SG
ιανουαρίου	januári	ιανουάριος	januári	PROPN;GEN;MASC;SG	ADJ;NOM;SG
ιανουαρίου	január	ιανουάριος	január	PROPN;GEN;MASC;SG	N;NOM;SG
ιανουαρίου	januárban	ιανουάριος	január	PROPN;GEN;MASC;SG	N;IN+ESS;SG
σεπτεμβρίου	szeptemberben	σεπτέμβριο	szeptember	N;GEN;MASC;SG	N;IN+ESS;SG
σεπτεμβρίου	szeptember	σεπτέμβριο	szeptember	N;GEN;MASC;SG	N;NOM;SG
σεπτεμβρίου	szeptemberi	σεπτέμβριο	szeptemberi	N;GEN;MASC;SG	ADJ;NOM;SG
νοεμβρίου	november	νόεμβριος	november	N;GEN;MASC;SG	N;NOM;SG
νοεμβρίου	novemberi	νόεμβριος	novemberi	N;GEN;MASC;SG	ADJ;NOM;SG
νοεμβρίου	novemberben	νόεμβριος	november	N;GEN;MASC;SG	N;IN+ESS;SG
αγώνες	gyufa	αγώνας	gyufa	N;NOM;MASC;PL	N;NOM;SG
αγώνες	egyezés	αγώνας	egyezés	N;NOM;MASC;PL	N;NOM;SG
αγώνες	egyezik	αγώνας	egyezik	N;NOM;MASC;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
αγώνες	játék	αγώνας	játék	N;NOM;MASC;PL	N;NOM;SG
ταινίες	filmeket	ταινία	film	N;NOM;FEM;PL	N;ACC;PL
ταινίες	mozi	ταινία	mozi	N;NOM;FEM;PL	N;NOM;SG
ταινίες	filmeket	ταινία	film	N;NOM;FEM;PL	N;ACC;PL
μέσω	via	μέσω	via	ADP	
μέσω	át	μέσω	át	ADP	ADV
μαρτίου	március	μάρτιος	március	N;GEN;MASC;SG	N;NOM;SG
μαρτίου	márciusi	μάρτιος	márciusi	N;GEN;MASC;SG	ADJ;NOM;SG
γεννήθηκε	született	γεννώ	születik	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
γεννήθηκε	megszületett	γεννώ	meg+szület	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
ιουνίου	júniusi	ιούνιος	júniusi	N;GEN;MASC;SG	ADJ;NOM;SG
ιουνίου	june	ιούνιος	june	N;GEN;MASC;SG	
ιουνίου	június	ιούνιος	június	N;GEN;MASC;SG	N;NOM;SG
ιουνίου	júniusban	ιούνιος	június	N;GEN;MASC;SG	N;IN+ESS;SG
αυτές	ezeket	αυτός	ez	PRO;NOM;FEM;PL;3	PRO;ACC;PL;3
πολλά	sok	πολύς	sok	ADJ;NOM;NEUT;PL	
πολλά	sokan	πολύς	sokan	ADJ;NOM;NEUT;PL	ADV
απριλίου	april	απρίλιος	ap	N;GEN;MASC;SG	
απριλίου	április	απρίλιος	április	N;GEN;MASC;SG	N;NOM;SG
απριλίου	áprilisi	απρίλιος	áprilisi	N;GEN;MASC;SG	ADJ;NOM;SG
απριλίου	áprilisban	απρίλιος	április	N;GEN;MASC;SG	N;IN+ESS;SG
τρεις	három	τρεις	három	NUM;NOM;MASC;PL	NUM;NOM;SG
αυγούστου	augusztusban	αυγούστος	augusztus	N;GEN;MASC;SG	N;IN+ESS;SG
αυγούστου	august	αυγούστος	augus	N;GEN;MASC;SG	
αυγούστου	augusztus	αυγούστος	augusztus	N;GEN;MASC;SG	N;NOM;SG
έργα	működik	έργο	működik	N;NOM;NEUT;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
δεκεμβρίου	december	δεκέμβριο	december	N;GEN;MASC;SG	N;NOM;SG
δεκεμβρίου	decemberi	δεκέμβριο	decemberi	N;GEN;MASC;SG	ADJ;NOM;SG
δεκεμβρίου	decemberben	δεκέμβριο	december	N;GEN;MASC;SG	N;IN+ESS;SG
χρήση	használat	χρήση	használat	N;ACC;FEM;SG	N;NOM;SG
χρήση	használata	χρήση	használat	N;ACC;FEM;SG	N;NOM;SG
χρήση	felhasználás	χρήση	felhasználás	N;ACC;FEM;SG	N;NOM;SG
χρήση	használni	χρήση	használ	N;ACC;FEM;SG	V;NFIN;ACT
πρόεδρος	elnök	πρόεδρος	elnök	N;ACC;MASC;SG	N;NOM;SG
ίδιο	ugyanez	ίδιος	ugyanez	ADJ;NOM;NEUT;SG	
ίδιο	ugyanaz	ίδιος	ugyanaz	ADJ;NOM;NEUT;SG	
εκλογές	választási	εκλογή	választási	N;NOM;FEM;PL	ADJ;NOM;SG
εκλογές	választás	εκλογή	választás	N;NOM;FEM;PL	
μέλη	tagoknak	μέλος	tag	N;NOM;NEUT;PL	N;DAT;PL
τελικά	végre	τελικά	végre	ADV	
εποχή	epoch	εποχή	epoch	N;ACC;FEM;SG	
εποχή	korszak	εποχή	korsz	N;ACC;FEM;SG	N;NOM;SG
εποχή	idény	εποχή	idény	N;ACC;FEM;SG	N;NOM;SG
εποχή	évszak	εποχή	évszú	N;ACC;FEM;SG	N;NOM;SG
εποχή	évad	εποχή	évad	N;ACC;FEM;SG	N;NOM;SG
εποχή	szezon	εποχή	szez	N;ACC;FEM;SG	N;NOM;SG
εποχή	korszak	εποχή	korsz	N;ACC;FEM;SG	N;NOM;SG
χωριό	falusi	χωριό	falusi	N;NOM;NEUT;SG	ADJ;NOM;SG
αρχικά	kezdetben	αρχικά	kezdet	ADV	N;IN+ESS;SG
αρχικά	eleinte	αρχικά	eleint	ADV	
αρχικά	eredetileg	αρχικά	eredeti	ADV	
αρχικά	monogramja	αρχικά	monogram	ADV	N;NOM;SG
κύπελλο	cup	κύπελλος	cup	N;NOM;NEUT;SG	
ζωή	élet	ζωή	élet	N;ACC;FEM;SG	N;NOM;SG
ζωή	életem	ζωή	élet	N;ACC;FEM;SG	N;NOM;SG
ζωή	life	ζωή	life	N;ACC;FEM;SG	
ζωή	zoé	ζωή	zoé	N;ACC;FEM;SG	
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	
έδρα	ülést	έδρα	ülés	N;NOM;FEM;SG	N;ACC;SG
μεγάλο	nagyok	μεγάλος	nagy	ADJ;NOM;NEUT;SG	N;NOM;PL
μεγάλο	nagyok	μεγάλος	nagy	ADJ;NOM;NEUT;SG	N;NOM;PL
βάση	alap	βάση	alap	N;ACC;FEM;SG	
βάση	bázis	βάση	bázis	N;ACC;FEM;SG	N;NOM;SG
κέντρο	középre	κέντρο	közép	N;NOM;NEUT;SG	N;ON+ALL;SG
κέντρο	center	κέντρο	center	N;NOM;NEUT;SG	
κέντρο	középre	κέντρο	közép	N;NOM;NEUT;SG	N;ON+ALL;SG
φεβρουαρίου	februárban	φεβρουάριο	február	N;GEN;MASC;SG	N;IN+ESS;SG
φεβρουαρίου	februári	φεβρουάριο	februári	N;GEN;MASC;SG	ADJ;NOM;SG
φεβρουαρίου	február	φεβρουάριο	február	N;GEN;MASC;SG	N;NOM;SG
κάτι	valami	κάτι	valami	PRO;NOM;NEUT;SG;3	
κάτι	valamit	κάτι	valamit	PRO;NOM;NEUT;SG;3	
κοντά	közel	κοντά	közel	ADV	
κοντά	szoros	κοντά	szoros	ADV	
κοντά	közel	κοντά	közel	ADV	
κοντά	bezárása	κοντά	bezárás	ADV	N;NOM;SG
κοντά	közeli	κοντά	közeli	ADV	
κοντά	közelben	κοντά	közel	ADV	N;IN+ESS;SG
κοντά	közeli	κοντά	közeli	ADV	
μορφή	formájában	μορφή	forma	N;NOM;FEM;SG	N;IN+ESS;SG
χρόνο	ideje	χρόνος	idő	N;ACC;MASC;SG	N;NOM;SG
χρόνο	időpont	χρόνος	időpont	N;ACC;MASC;SG	N;NOM;SG
χρόνο	idő	χρόνος	idő	N;ACC;MASC;SG	N;NOM;SG
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	
κόμμα	parti	κόμμα	parti	N;NOM;NEUT;SG	ADJ;NOM;SG
κόμμα	vessző	κόμμα	vessző	N;NOM;NEUT;SG	
γιατί	miért	γιατί	miért	CONJ	ADV
ρόλο	rollo	ρόλος	rollo	N;ACC;MASC;SG	
ρόλο	szerep	ρόλος	szerep	N;ACC;MASC;SG	N;NOM;SG
ρόλο	szerepe	ρόλος	szerep	N;ACC;MASC;SG	N;NOM;SG
άλμπουμ	albumok	άλμπουμ	album	N;MASC;SG	N;NOM;PL
έκδοση	kiadás	έκδοση	kiadás	N;ACC;FEM;SG	N;NOM;SG
έκδοση	verzió	έκδοση	verzió	N;ACC;FEM;SG	N;NOM;SG
έκδοση	változat	έκδοση	változat	N;ACC;FEM;SG	N;NOM;SG
γκολ	célkitűzések	γκολ	célkitűzés		N;NOM;PL
γκολ	célokat	γκολ	cél		N;ACC;PL
γκολ	célok	γκολ	cél		N;NOM;PL
γκολ	gól	γκολ	gól		N;NOM;SG
γκολ	cél	γκολ	cél		N;NOM;SG
γύρω	körül	γύρω	körül	ADV	ADP
συνήθως	általában	συνήθως	általában	ADV	
συνήθως	rendszerint	συνήθως	rendszerint	ADV	
ονομασία	megjelölés	ονομασία	megjelölés	N;NOM;FEM;SG	
κοινότητα	közösség	κοινότητα	közösség	N;ACC;FEM;SG	N;NOM;SG
κοινότητα	közösségi	κοινότητα	közösségi	N;ACC;FEM;SG	ADJ;NOM;SG
τελευταία	last	τελευταία	last	ADV	
τελευταία	utolsó	τελευταία	utolsó	ADV	
τελευταία	mostanában	τελευταία	mostanában	ADV	N;IN+ESS;SG
πρώτος	először	πρώτος	először	NUM;NOM;MASC;SG	ADV
πρώτος	első	πρώτος	első	NUM;NOM;MASC;SG	ADJ;NOM;SG
κάνει	kész	κάνω	kész	V;IPFV;IND;SG;3;PRS;FIN;ACT	
ηπα	usa	λπο	usa	N	
ανάμεσα	között	ανάμεσα	között	ADV	ADP
δεύτερη	másodszor	δεύτερος	másod	NUM;NOM;FEM;SG	
δεύτερη	másodperc	δεύτερος	másodperc	NUM;NOM;FEM;SG	
δεύτερη	második	δεύτερος	második	NUM;NOM;FEM;SG	
μάχη	harc	μάχη	harc	N;ACC;FEM;SG	N;NOM;SG
μάχη	csata	μάχη	csata	N;ACC;FEM;SG	N;NOM;SG
μάχη	harci	μάχη	harci	N;ACC;FEM;SG	
μάχη	küzdelem	μάχη	küzdelem	N;ACC;FEM;SG	N;NOM;SG
μάχη	harc	μάχη	harc	N;ACC;FEM;SG	N;NOM;SG
μάχη	harc	μάχη	harc	N;ACC;FEM;SG	N;NOM;SG
μάχη	harcolni	μάχη	harcol	N;ACC;FEM;SG	V;NFIN;ACT
πανεπιστήμιο	university	πανεπιστήμιο	university	N;NOM;NEUT;SG	
όλες	mindegyik	όλος	mindegyik	ADJ;NOM;FEM;PL	
όλες	mind	όλος	mind	ADJ;NOM;FEM;PL	CONJ
όλες	minden	όλος	minden	ADJ;NOM;FEM;PL	PRO;NOM;SG;3
κάποια	néhány	κάποιος	néhány	PRO;NOM;NEUT;PL;3	DET;INDF
δείτε	lásd	βλέπω	lásd	V;PFV;IMP;PL;2;FIN;ACT	
δείτε	óra	βλέπω	óra	V;PFV;IMP;PL;2;FIN;ACT	N;NOM;SG
δείτε	vigyázz	βλέπω	vigyázz	V;PFV;IMP;PL;2;FIN;ACT	V;DEF;IND;SG;1;PRS;FIN;ACT
πόλεμο	háború	πόλεμος	háború	N;ACC;MASC;SG	N;NOM;SG
συχνά	gyakran	συχνά	gyakran	ADV	
συχνά	gyakran	συχνά	gyakran	ADV	
περιοχές	régiói	περιοχή	régiói	N;NOM;FEM;PL	N;NOM;SG
πρώην	korábbi	πρώην	korábbi	ADV	ADJ;NOM;CMPR;SG
εικόνα	képet	εικόνα	kép	N;NOM;FEM;SG	N;ACC;SG
εικόνα	képet	εικόνα	kép	N;NOM;FEM;SG	N;ACC;SG
επίσημη	tisztviselő	επίσημος	tisztviselő	ADJ;NOM;FEM;SG	N;NOM;SG
επίσημη	formális	επίσημος	formális	ADJ;NOM;FEM;SG	
κατοίκους	lakói	κάτοικος	lakó	N;ACC;MASC;PL	N;NOM;PL
κατοίκους	lakosok	κάτοικος	lakos	N;ACC;MASC;PL	N;NOM;PL
κατοίκους	lakos	κάτοικος	lakos	N;ACC;MASC;PL	N;NOM;SG
κατοίκους	lakói	κάτοικος	lakó	N;ACC;MASC;PL	N;NOM;PL
κατοίκους	lakók	κάτοικος	lakó	N;ACC;MASC;PL	N;NOM;PL
κατοίκους	lakosok	κάτοικος	lakos	N;ACC;MASC;PL	N;NOM;PL
πηγές	forrás	πηγή	forrás	N;NOM;FEM;PL	N;NOM;SG
βόρεια	észak	βόρεια	észak	ADV	
βόρεια	északi	βόρεια	északi	ADV	
βόρεια	északra	βόρεια	észak	ADV	N;ON+ALL;SG
βόρεια	észak	βόρεια	észak	ADV	
βόρεια	északi	βόρεια	északi	ADV	
πόλεις	városokat	πόλη	város	N;NOM;FEM;PL	N;ACC;PL
ιδιαίτερα	különösen	ιδιαίτερα	különös	ADV	ADJ;FRML;SG
ιδιαίτερα	különösen	ιδιαίτερα	különös	ADV	ADJ;FRML;SG
ιδιαίτερα	főleg	ιδιαίτερα	főleg	ADV	
αγώνα	faj	αγώνας	faj	N;ACC;MASC;SG	N;NOM;SG
αγώνα	futam	αγώνας	futa	N;ACC;MASC;SG	N;NOM;SG
αγώνα	verseny	αγώνας	verseny	N;ACC;MASC;SG	N;NOM;SG
αγώνα	mérkőzés	αγώνας	mérkőzés	N;ACC;MASC;SG	N;NOM;SG
αγώνα	egyezés	αγώνας	egyezés	N;ACC;MASC;SG	N;NOM;SG
αγώνα	találat	αγώνας	találat	N;ACC;MASC;SG	N;NOM;SG
αγώνα	meccs	αγώνας	meccs	N;ACC;MASC;SG	N;NOM;SG
αγώνα	gyufa	αγώνας	gyufa	N;ACC;MASC;SG	N;NOM;SG
