til	लिये	til	ले	ADV	V;PFV;MASC;SG;V.PTCP;ACT
flere	अनेक	mange	अनेक	ADJ;CMPR;PL	DET
flere	मल्टीपल	mange	मल्टीपल	ADJ;CMPR;PL	PROPN;NOM;MASC;SG;3
flere	बहुमुखी	mange	बहुमुखी	ADJ;CMPR;PL	N;NOM;MASC;SG;3
flere	बहु	mange	बहु	ADJ;CMPR;PL	
flere	अनेक	mange	अनेक	ADJ;CMPR;PL	DET
flere	ज्यादा	mange	ज्यादा	ADJ;CMPR;PL	DET
flere	आदि	mange	आदि	ADJ;CMPR;PL	PART
flere	अधिक	mange	अधिक	ADJ;CMPR;PL	DET
dette	ये	denne	यह	PRO;NEUT;SG	PRO;NOM;PL;3
dette	यह	denne	यह	PRO;NEUT;SG	PRO;NOM;SG;3
dette	इस	denne	यह	PRO;NEUT;SG	DET;ACC;SG;3
deres	उनकी	deres	वह	DET;3	PRO;FEM;SG;3;FORM
deres	इनकी	deres	यह	DET;3	PRO;FEM;PL;3
deres	उनका	deres	वह	DET;3	PRO;MASC;SG;3;FORM
deres	उनके	deres	वह	DET;3	PRO;MASC;SG;3;FORM
alle	सभी	al	सब	ADJ;PL	PRO;NOM;3
alle	सब	al	सब	ADJ;PL	N;NOM;MASC;SG;3
danmark	डेनमार्क	danmark	डेनमार्क		PROPN;NOM;MASC;SG;3
mange	कई	mange	कई	ADJ;PL	DET
mange	अनेक	mange	अनेक	ADJ;PL	DET
danske	डेनिश	dansk	डेनिश	ADJ;PL	PROPN;NOM;MASC;SG;3
danske	दानिश	dansk	दानिश	ADJ;PL	PROPN;NOM;MASC;SG;3
danske	डैनिश	dansk	डैनिश	ADJ;PL	
kun	सिर्फ	kun	सिर्फ	ADV	PART
kun	केवल	kun	केवल	ADV	PART
kun	तभी	kun	तभी	ADV	PRO;NOM
tidligere	पिछले	tidligere	पिछला	ADV;CMPR	ADJ;ACC;MASC;PL
tidligere	पिछला	tidligere	पिछला	ADV;CMPR	ADJ;NOM;MASC;SG
siden	जबसे	siden	जबसे	ADV	
siden	चूंकि	siden	चूंकि	ADV	CONJ
siden	पृष्ठ	siden	पृष्ठ	ADV	N;NOM;MASC;SG;3
siden	पेज	siden	पेज	ADV	N;NOM;MASC;SG;3
skal	शेल	skulle	शेल	V;IND;PRS;FIN;ACT	
skal	जरूर	skulle	जरूर	V;IND;PRS;FIN;ACT	ADV
have	बगीचा	have	बगीचा	V;NFIN;ACT	PROPN;NOM;MASC;SG;3
have	बगीचे	have	बगीचा	V;NFIN;ACT	N;NOM;MASC;PL;3
have	बाग	have	बाग	V;NFIN;ACT	N;NOM;MASC;SG;3
have	गार्डन	have	गार्डन	V;NFIN;ACT	N;NOM;MASC;SG;3
mere	ज्यादा	mere	ज्यादा	ADV;CMPR	DET
mere	आदि	mere	आदि	ADV;CMPR	PART
mere	अधिक	mere	अधिक	ADV;CMPR	DET
store	बड़ा	stor	बड़ा	ADJ;PL	ADJ;NOM;MASC;SG
store	बड़ी	stor	बडा	ADJ;PL	ADJ;NOM;FEM;SG
store	बड़ा	stor	बड़ा	ADJ;PL	ADJ;NOM;MASC;SG
store	बड़ी	stor	बडा	ADJ;PL	ADJ;NOM;FEM;SG
store	बिग	stor	बिग	ADJ;PL	
meget	बहुत	meget	बहुत	ADJ;INDF;SG	DET
været	महरूम	være	महरूम	V;INDF;SG;PST;V.PTCP	
end	than	end	than	ADP	
samme	समान	samme	समान	ADJ	
samme	वही	samme	वह	ADJ	PRO;NOM;SG;3
vil	करेंगे	ville	कर	V;IND;PRS;FIN;ACT	V;MASC;IND;PL;3;FUT;FIN;ACT
vil	होगी	ville	हो	V;IND;PRS;FIN;ACT	V;FEM;IND;SG;3;FUT;FIN;ACT
vil	करेगा	ville	कर	V;IND;PRS;FIN;ACT	V;MASC;IND;SG;3;FUT;FIN;ACT
vil	करेगी	ville	कर	V;IND;PRS;FIN;ACT	V;FEM;IND;SG;3;FUT;FIN;ACT
vil	होगा	ville	हो	V;IND;PRS;FIN;ACT	V;MASC;IND;SG;3;FUT;FIN;ACT
seed	बीज	seed	बीज		N;NOM;MASC;SG;3
ham	उससे	han	वह	PRO;ACC;MASC+FEM;SG;3	PRO;SG;3
ham	उसको	han	वह	PRO;ACC;MASC+FEM;SG;3	PRO;SG;3
ham	उसे	han	वह	PRO;ACC;MASC+FEM;SG;3	PRO;SG;3
omkring	परिचय	omkring	परिचय	ADV	N;NOM;MASC;SG;3
blevet	महरूम	blive	महरूम	V;INDF;SG;PST;V.PTCP	
selv	सम	selv	सम	PRO	
selv	भी	selv	भी	PRO	PART
københavn	कोपेनहेगन	københavn	कोपेनहेगन	PROPN	PROPN;NOM;MASC;SG;3
kom	आईये	komme	आईया	V;IND;PST;FIN;ACT	PROPN;NOM;MASC;SG;3
kom	आइये	komme	आ	V;IND;PST;FIN;ACT	V;SBJV;PL;3;FIN;ACT
and	बत्तख	and	बत्तख		
and	डक	and	डक		
and	बतख	and	बतख		N;NOM;MASC;SG;3
disse	ये	denne	यह	PRO;PL	PRO;NOM;PL;3
nogle	कुछ	nogen	कुछ	PRO;PL	DET
maj	मई	maj	मई	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG;3
maj	may	maj	may	N;INDF;MASC+FEM;SG	
anden	दूसरा	anden	दूसरा	PRO;MASC+FEM;SG	ADJ;NOM;MASC;SG
anden	सेकेंड	anden	सेकेंड	PRO;MASC+FEM;SG	N;NOM;MASC;SG;3
anden	द्वितीय	anden	द्वितीय	PRO;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
anden	सेकण्ड	anden	सेकण्ड	PRO;MASC+FEM;SG	
anden	सेकंड	anden	सेकंड	PRO;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
anden	दूसरी	anden	दूसरा	PRO;MASC+FEM;SG	ADJ;NOM;FEM;SG
mens	जबकी	mens	जबकी	CONJ	
mens	जबकि	mens	जबकि	CONJ	CONJ
andet	दूसरा	anden	दूसरा	PRO;NEUT;SG	ADJ;NOM;MASC;SG
andet	सेकेंड	anden	सेकेंड	PRO;NEUT;SG	N;NOM;MASC;SG;3
andet	द्वितीय	anden	द्वितीय	PRO;NEUT;SG	PROPN;NOM;MASC;SG;3
andet	सेकण्ड	anden	सेकण्ड	PRO;NEUT;SG	
andet	सेकंड	anden	सेकंड	PRO;NEUT;SG	PROPN;NOM;MASC;SG;3
andet	दूसरी	anden	दूसरा	PRO;NEUT;SG	ADJ;NOM;FEM;SG
andet	अन्य	anden	अन्य	PRO;NEUT;SG	N;NOM;MASC;SG;3
dag	दाग़	dag	दाग़	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
her	यहां	her	यहाँ	ADV	PRO;NOM
her	यहा	her	यहा	ADV	
her	यहाँ	her	यहाँ	ADV	PRO;NOM
tilbage	बैक	tilbage	बैक	ADV	
tilbage	पिछे	tilbage	पिछ	ADV	V;MASC;SG;FIN;ACT
tilbage	वापस	tilbage	वापस	ADV	ADJ
cest	cest	cest	cest		
død	मोत	død	मोत	N;INDF;MASC+FEM;SG	
død	मर	død	मर	N;INDF;MASC+FEM;SG	V;ACT
dem	उनसे	de	वह	PRO;ACC;PL;3	PRO;SG;3;FORM
dem	उनके	de	वह	PRO;ACC;PL;3	PRO;MASC;SG;3;FORM
dem	उनको	de	वह	PRO;ACC;PL;3	PRO;SG;3;FORM
dem	उन्हें	de	वह	PRO;ACC;PL;3	PRO;SG;3;FORM
findes	मौजूद	findes	मौजूद	V;IND;PRS;FIN;ACT	ADJ
august	अगस्त	august	अगस्त	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
forskellige	भिन्न	forskellig	भिन्न	ADJ;PL	ADP
nye	नया	ny	नया	ADJ;PL	ADJ;NOM;MASC;SG
nye	नई	ny	नया	ADJ;PL	ADJ;NOM;FEM;SG
både	नौकाएँ	både	नौका	ADV	N;NOM;MASC;PL;3
både	दोनों	både	दो	ADV	N;ACC;MASC;PL;3
både	दोनो	både	दोनो	ADV	
januar	जनवरी	januar	जनवरी	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG;3
stor	बड़े	stor	बडा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
stor	बड़े	stor	बडा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
stor	बिग	stor	बिग	ADJ;INDF;MASC+FEM;SG	
stor	ग्रेट	stor	ग्रेट	ADJ;INDF;MASC+FEM;SG	
usa	अमरीका	usa	अमरीका	PROPN	PROPN;NOM;MASC;SG;3
usa	अमेरिका	usa	अमेरिका	PROPN	PROPN;NOM;MASC;SG;3
usa	यूएसए	usa	यूएसए	PROPN	PROPN;NOM;MASC;SG;3
uden	बिना	uden	बिना	ADV	PART
uden	बगैर	uden	बगैर	ADV	PART
hold	टीम	holde	टीम	V;IMP	N;NOM;FEM;SG;3
hold	टीमों	holde	टीम	V;IMP	N;ACC;FEM;PL;3
hold	टीम	holde	टीम	V;IMP	N;NOM;FEM;SG;3
hold	टोली	holde	टोली	V;IMP	N;NOM;FEM;SG;3
når	कब	når	कब	CONJ	PRO
når	जब	når	जब	CONJ	PRO;NOM
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
juni	जून	juni	जून	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
kendt	ज्ञात	kendt	ज्ञात	ADJ;INDF;SG	
hvilket	जिससे	hvilken	जो	PRO;NEUT;SG	PRO;SG;3
sogn	मोहल्ला	sogn	मोहल्ला	N;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
september	सितम्बर	september	सितंबर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
september	सितंबर	september	सितंबर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mest	अधिकांश	mest	अधिकांश	ADV;RL	CONJ
mest	सर्वाधिक	mest	सर्वाधिक	ADV;RL	ADJ;NOM
mest	मोस्ट	mest	मोस्ट	ADV;RL	
mest	सबसे	mest	सबसे	ADV;RL	ADJ;NOM
april	अप्रैल	april	अप्रैल	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
oktober	अक्टूबर	oktober	अक्टूबर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
oktober	अक्तूबर	oktober	अक्तूबर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
marts	मार्च	marts	मार्च	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
hele	पूरे	hel	पूरा	ADJ;DEF;SG	ADJ;MASC;PL
juli	जुलाई	juli	जुलाई	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG;3
række	पंक्तियां	række	पंक्ति	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;3
række	पंक्तियाँ	række	पंक्ति	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL;3
derfor	अतः	derfor	अतः	ADV	
derfor	इसलिए	derfor	इसलिए	ADV	PRO
style	शैली	style	शैली		N;NOM;FEM;SG;3
style	style	style	style		
style	अंदाज़	style	अंदाज़		N;NOM;MASC;SG;3
style	स्टाइल	style	स्टाइल		N;NOM;MASC;SG;3
ofte	अकसर	ofte	अकसर	ADV	CONJ
november	नवंबर	november	नवंबर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
november	नवम्बर	november	नवंबर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
december	दिसंबर	december	दिसंबर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
december	दिसम्बर	december	दिसम्बर	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
jpg	jpg	jpg	jpg		N;NOM;MASC;SG;3
først	प्रथम	først	प्रथम	ADV	ADJ
først	पहली	først	पहला	ADV	ADJ;NOM;FEM;SG
først	पहला	først	पहला	ADV	ADJ;NOM;MASC;SG
mål	लक्ष्यों	mål	लक्ष्य	N;INDF;NEUT;SG	N;ACC;MASC;PL;3
film	मूवी	film	मूवी	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;3
film	फ़िल्म	film	फ़िल्म	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;3
film	फिल्मी	film	फिल्मी	N;INDF;MASC+FEM;PL	ADJ;NOM
film	चलचित्र	film	चलचित्र	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
film	फ़िल्म	film	फ़िल्म	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;3
film	मूवी	film	मूवी	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;3
sidste	आखरी	sidste	आखरी	ADJ	
noget	कुछ	nogen	कुछ	PRO;NEUT;SG	DET
tyske	जर्मन	tysk	जर्मन	ADJ;PL	PROPN;NOM;MASC;SG;3
tyske	जर्मनी	tysk	जर्मनी	ADJ;PL	PROPN;NOM;MASC;SG;3
indtil	तक	indtil	तक	CONJ	CONJ
indtil	जबतक	indtil	जबतक	CONJ	
februar	फरवरी	februar	फरवरी	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG;3
februar	फ़रवरी	februar	फ़रवरी	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG;3
mindre	छोटी	mindre	छोटा	ADV;CMPR	ADJ;FEM;SG
mindre	लघु	mindre	लघु	ADV;CMPR	
mindre	हीन	mindre	हीन	ADV;CMPR	
mindre	माइनर	mindre	माइनर	ADV;CMPR	PROPN;NOM;MASC;SG;3
mindre	नाबालिग	mindre	नाबालिग	ADV;CMPR	ADJ;NOM
mindre	कम	mindre	कम	ADV;CMPR	DET
christian	क्रिश्चियन	christian	क्रिश्चियन		PROPN;NOM;MASC;SG;3
christian	क्रिस्चियन	christian	क्रिस्चियन		PROPN;NOM;MASC;SG;3
christian	ईसाई	christian	ईसाई		
største	महानतम	stor	महानतम	ADJ;DEF;RL	PROPN;NOM;MASC;SG;3
alt	सबकुछ	al	सबकुछ	ADJ;NEUT;SG	
alt	सभी	al	सब	ADJ;NEUT;SG	PRO;NOM;3
alt	सब	al	सब	ADJ;NEUT;SG	N;NOM;MASC;SG;3
side	पार्श्व	side	पार्श्व	N;INDF;MASC+FEM;SG	
side	तरफ	side	तरफ	N;INDF;MASC+FEM;SG	ADV;NOM;FEM;SG;3
medlem	सदस्य	medlem	सदस्य	N;INDF;NEUT;SG	N;NOM;MASC;PL;3
større	वृहद	stor	वृहद	ADJ;CMPR	
større	बडे	stor	बडा	ADJ;CMPR	V;MASC;SG;3;V.PTCP;ACT
søn	लाडला	søn	लाडला	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
søn	सोन	søn	सोन	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG;3
tog	ट्रेन	tage	ट्रेन	V;IND;PST;FIN;ACT	N;NOM;FEM;SG;3
tog	रेलगाड़ी	tage	रेलगाड़ी	V;IND;PST;FIN;ACT	N;NOM;FEM;SG;3
tog	ट्रैन	tage	ट्रैन	V;IND;PST;FIN;ACT	
tog	ट्रेन	tage	ट्रेन	V;IND;PST;FIN;ACT	N;NOM;FEM;SG;3
tog	ट्रेनों	tage	ट्रेन	V;IND;PST;FIN;ACT	N;ACC;FEM;PL;3
tog	रेल	tage	रेल	V;IND;PST;FIN;ACT	N;NOM;FEM;SG;3
amerikansk	अमेरिकन	amerikansk	अमेरिकन	ADJ;INDF;SG	PROPN;NOM;MASC;SG;3
amerikansk	अमेरिकी	amerikansk	अमेरिकी	ADJ;INDF;SG	PROPN;NOM;SG;3
lille	छोटे	lille	छोटा	ADJ;SG	ADJ;NOM;MASC;PL
lille	छोटे	lille	छोटा	ADJ;SG	ADJ;NOM;MASC;PL
lille	लिटिल	lille	लिटिल	ADJ;SG	
not	नही	not	नही		
not	नहीं	not	नहीं		PART;NEG
hendes	उसे	hendes	वह	DET;3	PRO;SG;3
hendes	उसका	hendes	वह	DET;3	PRO;MASC;SG;3
hendes	उसकी	hendes	वह	DET;3	PRO;FEM;SG;3
hendes	उसके	hendes	वह	DET;3	PRO;MASC;SG;3
von	वॉन	von	वॉन		PROPN;NOM;MASC;SG;3
von	वोन	von	वोन		PROPN;NOM;MASC;SG;3
hvad	क्या	hvad	क्या	PRO;SG	PRO
hvad	कया	hvad	कया	PRO;SG	V;SG;FIN;ACT
således	यूँ	således	यूँ	ADV	
nord	उत्तर	nord	उत्तर	N;INDF	PROPN;NOM;MASC;SG;3
kort	नक्शा	kort	नक्शा	ADJ;INDF;SG	N;NOM;MASC;SG;3
kort	मानचित्र	kort	मानचित्र	ADJ;INDF;SG	N;NOM;MASC;SG;3
kort	मैप	kort	मैप	ADJ;INDF;SG	N;NOM;MASC;SG;3
kort	नक्शे	kort	नक्शा	ADJ;INDF;SG	N;NOM;MASC;SG;3
kort	मानचित्र	kort	मानचित्र	ADJ;INDF;SG	N;NOM;MASC;SG;3
kort	कार्ड	kort	कार्ड	ADJ;INDF;SG	N;NOM;MASC;SG;3
kort	ताश	kort	ताश	ADJ;INDF;SG	N;NOM;MASC;SG;3
kort	कार्ड	kort	कार्ड	ADJ;INDF;SG	N;NOM;MASC;SG;3
artikler	लेख	artikel	लेख	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
artikler	आलेख	artikel	आलेख	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
begyndte	शुरू	begynde	शुरू	V;IND;PST;FIN;ACT	N;NOM;MASC;SG;3
begyndte	प्रारंभ	begynde	प्रारंभ	V;IND;PST;FIN;ACT	N;NOM;MASC;SG;3
udgivet	प्रकाशित	udgive	प्रकाशित	V;INDF;SG;PST;V.PTCP	ADJ
helt	हीरो	helt	हीरो	ADV	N;NOM;MASC;SG;3
helt	hero	helt	hero	ADV	PROPN;NOM;MASC;SG;3
helt	नायक	helt	नायक	ADV	PROPN;NOM;MASC;SG;3
helt	नायिका	helt	नायिका	ADV	N;NOM;FEM;SG;3
gamle	ओल्ड	gammel	ओल्ड	ADJ;PL	
gamle	पुरानी	gammel	पुराना	ADJ;PL	ADJ;FEM;SG
gamle	पुराना	gammel	पुराना	ADJ;PL	ADJ;MASC;SG
gamle	वृद्ध	gammel	वृद्ध	ADJ;PL	PROPN;NOM;MASC;SG;3
gamle	बूढ़ा	gammel	बूढ़ा	ADJ;PL	PROPN;NOM;MASC;SG;3
isbn	isbn	isbn	ओप	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
gange	बार	gang	बार	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG;3
gange	टाइम्स	gang	टाइम्स	N;INDF;MASC+FEM;PL	PROPN;NOM;MASC;SG;3
bedste	बेस्ट	god	बेस्ट	ADJ;DEF;RL	PROPN;NOM;MASC;SG;3
bedste	सर्वश्रेष्ठ	god	सर्वश्रेष्ठ	ADJ;DEF;RL	PROPN;NOM;MASC;SG;3
døde	मर	død	मर	ADJ;PL	V;ACT
døde	मुर्दे	død	मुर्दा	ADJ;PL	N;NOM;MASC;SG;3
amerikanske	अमेरिकन	amerikansk	अमेरिकन	ADJ;PL	PROPN;NOM;MASC;SG;3
amerikanske	अमेरिकी	amerikansk	अमेरिकी	ADJ;PL	PROPN;NOM;SG;3
tysk	जर्मन	tysk	जर्मन	ADJ;INDF;SG	PROPN;NOM;MASC;SG;3
tysk	जर्मनी	tysk	जर्मनी	ADJ;INDF;SG	PROPN;NOM;MASC;SG;3
meter	मीटर	meter	मीटर	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
meter	मीटर	meter	मीटर	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
meter	मीटर	meter	मीटर	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
meter	मीटर	meter	मीटर	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
tyskland	जर्मनी	tyskland	जर्मनी	PROPN	PROPN;NOM;MASC;SG;3
lige	सीधी	lige	सीधा	ADV	ADJ;FEM;SG
lige	सीधा	lige	सीधा	ADV	ADJ;NOM;MASC;SG
lige	बराबर	lige	बराबर	ADV	CONJ
spillet	गेम	spille	गेम	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG;3
spillet	खेल	spille	खेल	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG;3
peter	पीटर	peter	पीटर		PROPN;NOM;MASC;SG;3
hver	हर	hver	हर	PRO;MASC+FEM;SG	DET
hver	प्रत्येक	hver	प्रत्येक	PRO;MASC+FEM;SG	DET
hver	प्रत्येक	hver	प्रत्येक	PRO;MASC+FEM;SG	DET
engelsk	english	engelsk	english	ADJ;INDF;SG	
engelsk	अंग्रेज	engelsk	अंग्रेज	ADJ;INDF;SG	N;NOM;MASC;SG;3
engelsk	अंग्रेजी	engelsk	अंग्रेजी	ADJ;INDF;SG	PROPN;NOM;FEM;SG;3
engelsk	अंग्रेज़ी	engelsk	अंग्रेजी	ADJ;INDF;SG	PROPN;NOM;FEM;SG;3
århundrede	सदियों	århundrede	सदी	N;INDF;NEUT;SG	N;ACC;FEM;PL;3
århundrede	सदियां	århundrede	सदियां	N;INDF;NEUT;SG	N;NOM;FEM;PL;3
århundrede	सदी	århundrede	सदी	N;INDF;NEUT;SG	PROPN;NOM;FEM;SG;3
stadig	स्टिल	stadig	स्टिल	ADV	
john	जॉन	john	जॉन	PROPN	PROPN;NOM;MASC;SG;3
gift	विवाहित	gift	विवाहित	ADJ;INDF;SG	N;NOM;MASC;SG;3
gift	शादीशुदा	gift	शादीशुदा	ADJ;INDF;SG	N;NOM;FEM;SG;3
gift	विष	gift	विष	ADJ;INDF;SG	N;NOM;MASC;SG;3
gift	जहर	gift	जहर	ADJ;INDF;SG	
gift	ज़हर	gift	ज़हर	ADJ;INDF;SG	
center	केन्द्र	center	केंद्र	N;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
center	केंद्र	center	केंद्र	N;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
center	मध्य	center	मध्य	N;INDF;NEUT;SG	
center	बीच	center	बीच	N;INDF;NEUT;SG	ADV;NOM;MASC;SG;3
center	केंद्र	center	केंद्र	N;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
center	केन्द्र	center	केंद्र	N;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
forhold	रिश्ते	forhold	रिश्ता	N;INDF;NEUT;SG	N;NOM;MASC;PL;3
forhold	रिश्तों	forhold	रिश्ता	N;INDF;NEUT;SG	N;ACC;MASC;PL;3
forhold	अनुपात	forhold	अनुपात	N;INDF;NEUT;SG	
forhold	रिश्ते	forhold	रिश्ता	N;INDF;NEUT;SG	N;NOM;MASC;PL;3
