obliczu	αντιμετωπίζοντας	oblicze	αντιμετωπίζω	N;DAT;NEUT;SG	V;IPFV;V.CVB;ACT
reklamy	διαφημίσεις	reklama	διάφημιση	N;ACC;FEM;SG	N;NOM;FEM;PL
reklamy	διαφήμιση	reklama	διαφήμιση	N;ACC;FEM;SG	N;NOM;FEM;SG
odznaki	σήματα	odznak	σήμα	V;IPFV;IND;SG;3;FIN;ACT	N;NOM;NEUT;PL
kent	κεντ	kent	κεντ	PROPN;NOM;MASC;SG	
pomocnicze	βοηθητικά	pomocniczy	βοηθητικός	ADJ;NOM;NEUT;SG	ADV
mali	μάλι	mala	μάλι		PROPN;NOM;NEUT;SG
colin	κόλιν	colina	κόλιν	N;NOM;MASC;SG	
colin	colin	colina	colin	N;NOM;MASC;SG	
pacific	ειρηνικός	pacifica	ειρηνικός	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
pacific	ειρηνικού	pacifica	ειρηνικός	N;NOM;MASC;SG	ADJ;GEN;NEUT;SG
pacific	πασίφικ	pacifica	πασίφικ	N;NOM;MASC;SG	
pacific	ειρηνικό	pacifica	ειρηνικός	N;NOM;MASC;SG	ADJ;NOM;NEUT;SG
ralph	ράλφ	ralph	ράλφ	PROPN;NOM;MASC;SG	N
ralph	ραλφ	ralph	ραλφ	PROPN;NOM;MASC;SG	
todd	τοντ	todd	τοντ	PROPN;NOM;MASC;SG	
joan	ιωάννα	joan	ιωάννα	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
joan	joan	joan	joan	PROPN;NOM;MASC;SG	
joan	τζόαν	joan	τζόω	PROPN;NOM;MASC;SG	
joan	τζοάν	joan	τζοά	PROPN;NOM;MASC;SG	N
global	παγκόσμια	global	παγκόσμιος		ADJ;NOM;FEM;SG
global	global	global	global		
global	παγκόσμιο	global	παγκόσμιος		ADJ;NOM;NEUT;SG
karla	κάρλ	karla	κάρλ		
karla	καρλ	karla	καρλ		N
karla	karl	karla	karl		
ośrodki	κέντρων	ośrodek	κέντρο	N;NOM;MASC;PL	N;GEN;NEUT;PL
stwierdzenie	δήλωση	stwierdzenie	δήλωση	N;NOM;NEUT;SG	N;ACC;FEM;SG
zwalczania	εκρίζωση	zwalczać	εκρίζωση	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;ACC;FEM;SG
zwalczania	εξάλειψη	zwalczać	εξάλειψη	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;ACC;FEM;SG
zwalczania	μαχη	zwalczać	μαχη	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;ACC;FEM;SG
zwalczania	μάχη	zwalczać	μάχη	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;ACC;FEM;SG
autonomii	αυτονομία	autonomia	αυτονομία	N;GEN;FEM;SG	N;ACC;FEM;SG
fotografie	φωτογραφια	fotografia	φωτογραφια	N;NOM;FEM;PL	N;NOM;FEM;SG
fotografie	φωτογραφίας	fotografia	φωτογραφία	N;NOM;FEM;PL	N;GEN;FEM;SG
fotografie	φωτογραφία	fotografia	φωτογραφία	N;NOM;FEM;PL	N;ACC;FEM;SG
zależne	εξαρτημένος	zależny	εξαρτημένος	ADJ;NOM;NEUT;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
zależne	εξαρτημένη	zależny	εξαρτημένος	ADJ;NOM;NEUT;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
zależne	θυγατρικές	zależny	θυγατρικός	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
niebieskie	μπλέ	niebieski	μπλέ	ADJ;NOM;NEUT;SG	N
niebieskie	μπλε	niebieski	μπλε	ADJ;NOM;NEUT;SG	N
niebieskie	γαλάζιο	niebieski	γαλάζιος	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
owoców	καρποί	owóc	καρπός	N;GEN;MASC;PL	N;NOM;MASC;PL
owoców	καρπός	owóc	καρπός	N;GEN;MASC;PL	N;NOM;MASC;SG
owoców	φρούτο	owóc	φρούτος	N;GEN;MASC;PL	N;NOM;NEUT;SG
owoców	φρούτα	owóc	φρούτα	N;GEN;MASC;PL	N;NOM;NEUT;PL
owoców	καρποί	owóc	καρπός	N;GEN;MASC;PL	N;NOM;MASC;PL
owoców	φρούτα	owóc	φρούτα	N;GEN;MASC;PL	N;NOM;NEUT;PL
pius	πίος	pius	πίος	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
męski	άνδρας	męski	άντρας	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
męski	αρσενικά	męski	αρσενικά	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;PL
męski	άρρεν	męski	άρρεν	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
weryfikacji	εξακρίβωση	weryfikacja	εξακρίβωση	N;GEN;FEM;SG	N;ACC;FEM;SG
weryfikacji	επαλήθευση	weryfikacja	επαλήθευση	N;GEN;FEM;SG	N;NOM;FEM;SG
chińskich	κινέζος	chiński	κινέζος	ADJ;GEN;MASC;PL	N;NOM;MASC;SG
chińskich	κινεζική	chiński	κινεζικός	ADJ;GEN;MASC;PL	ADJ;NOM;FEM;SG
chińskich	κινέζικο	chiński	κινέζικος	ADJ;GEN;MASC;PL	ADJ;NOM;NEUT;SG
chińskich	κινέζικα	chiński	κινέζικος	ADJ;GEN;MASC;PL	N;NOM;NEUT;PL
chińskich	κινέζοι	chiński	κινέζος	ADJ;GEN;MASC;PL	N;NOM;MASC;PL
uznawane	αναγνωρισμένο	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
uznawane	αναγνωρίζεται	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
uznawane	αναγνωρίστηκε	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
uznawane	αναγνωρισμένη	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
uznawane	αναγνωρίζεται	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
uznawane	αναγνωρισμένο	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
uznawane	αναγνωρισμένος	uznawać	αναγνωρισμένος	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
uznawane	αναγνωρισμένη	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
uznawane	αναγνωρισμένα	uznawać	αναγνωρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
organizmów	οργανισμοί	organizm	οργανισμός	N;GEN;MASC;PL	N;NOM;MASC;PL
używanie	χρησιμοποιώντας	używać	χρησιμοποιώ	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;IPFV;V.CVB;ACT
cząstek	σωματίδια	cząstka	σωματίδιο	N;GEN;FEM;PL	N;NOM;NEUT;PL
cząstek	σωματίδιο	cząstka	σωματίδιο	N;GEN;FEM;PL	N;NOM;NEUT;SG
przypuszczalnie	υποτίθεται	przypuszczalnie	υποτίθεμαι	ADV	V;IPFV;IND;SG;3;PRS;FIN;PASS
xxx	χχχ	xxx	χχω		
xxx	xxx	xxx	xxx		
duchu	φάντασμα	duch	φάντασμα	N;ACC;MASC;SG	N;NOM;NEUT;SG
duchu	πνεύμα	duch	πνεύμα	N;ACC;MASC;SG	N;NOM;NEUT;SG
duchu	πνευμα	duch	πνευμα	N;ACC;MASC;SG	N;NOM;NEUT;SG
komputerów	κομπιούτερ	komputer	κομπιούτερ	N;GEN;MASC;PL	N;NOM;NEUT;SG
komputerów	υπολογιστές	komputer	υπολογιστής	N;GEN;MASC;PL	N;NOM;MASC;PL
amt	amt	amt	amt		
niebo	παράδεισο	niebo	παράδεισος	N;NOM;NEUT;SG	N;ACC;MASC;SG
niebo	ουρανού	niebo	ουρανός	N;NOM;NEUT;SG	N;GEN;NEUT;SG
niebo	ουρανός	niebo	ουρανός	N;NOM;NEUT;SG	ADJ;NOM;MASC;SG
niebo	ουρανό	niebo	ουρανός	N;NOM;NEUT;SG	N;ACC;MASC;SG
niebo	s	niebo	s	N;NOM;NEUT;SG	
niebo	σκάι	niebo	σκάι	N;NOM;NEUT;SG	
niebo	ουρανοί	niebo	ουρανός	N;NOM;NEUT;SG	N;NOM;MASC;PL
niebo	ουρανός	niebo	ουρανός	N;NOM;NEUT;SG	ADJ;NOM;MASC;SG
niebo	ουρανούς	niebo	ουρανός	N;NOM;NEUT;SG	N;ACC;MASC;PL
kłopoty	πρόβλημα	kłopot	πρόβλημα	N;ACC;MASC;PL	N;NOM;NEUT;SG
kłopoty	μπελάς	kłopot	μπελάς	N;ACC;MASC;PL	ADJ;NOM;MASC;SG
kłopoty	μπελάδες	kłopot	μπελάδα	N;ACC;MASC;PL	N;NOM;MASC;PL
kłopoty	προβλημα	kłopot	προβλημα	N;ACC;MASC;PL	N;NOM;NEUT;SG
kłopoty	ιδιαιτερότητες	kłopot	ιδιαιτερότητα	N;ACC;MASC;PL	N;NOM;FEM;PL
węgierska	ούγγροι	węgierski	ούγγρος	ADJ;NOM;FEM;SG	N;NOM;MASC;PL
cleveland	κλίβλαντ	cleveland	κλίβλαντ	N;NOM;MASC;SG	V;IPFV;IND;PL;3;PST;FIN;ACT
cleveland	κλήβελαντ	cleveland	κλήβελαντ	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
cleveland	κλίβελαντ	cleveland	κλίβελαντ	N;NOM;MASC;SG	PROPN;NOM;FEM;SG
kampanię	καμπάνια	kampania	καμπάνια	N;ACC;FEM;SG	N;NOM;FEM;SG
tłumaczy	εξηγείται	tłumaczyć	εξηγώ	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
tłumaczy	translators	tłumaczyć	translators	V;IPFV;IND;SG;3;PRS;FIN;ACT	
piątej	πέμπτη	piąty	πέμπτη	ADJ;GEN;FEM;SG	N;ACC;FEM;SG
piątej	πέμπτος	piąty	πέμπτος	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG
piątej	πέμπτο	piąty	πέμπτος	ADJ;GEN;FEM;SG	NUM;NOM;NEUT;SG
wood	ξύλο	wood	ξύλο		N;NOM;NEUT;SG
wood	ξυλεία	wood	ξυλεία		N;NOM;FEM;SG
odkryte	ανακάλυψα	odkryć	ανακάλυσα	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;1;PST;FIN;ACT
odkryte	ανακάλυψε	odkryć	ανακαλύπτω	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
odkryte	ανακαλύφθηκε	odkryć	ανακαλύπτω	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
odkryte	ανακάλυψαν	odkryć	ανακαλύπτω	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;3;PST;FIN;ACT
mont	mont	mont	mont		
mont	μον	mont	μον		N
tlenu	οξυγόνο	tlen	οξυγόνο	N;GEN;MASC;SG	N;NOM;NEUT;SG
franciszkanów	φραγκισκανός	franciszkan	φραγκισκανός	N;ACC;MASC;PL	N;NOM;MASC;SG
classic	κλασσικά	classicie	κλασσικός		ADV
classic	κλασικά	classicie	κλασικός		ADV
classic	κλασσικό	classicie	κλασσικός		ADJ;NOM;NEUT;SG
classic	κλασική	classicie	κλασικός		ADJ;NOM;FEM;SG
classic	κλασικό	classicie	κλασικός		ADJ;NOM;NEUT;SG
konto	account	konto	account	N;NOM;NEUT;SG	
konto	λογαριασμό	konto	λογαριασμός	N;NOM;NEUT;SG	N;ACC;MASC;SG
pat	αδιέξοδο	pat	αδιέξοδος		N;NOM;NEUT;SG
pat	pat	pat	pat		
pat	πατ	pat	πατ		
castro	κάστρο	castro	κάστρο	PROPN;NOM;MASC;SG	PROPN;NOM;NEUT;SG
zalecenia	σύσταση	zalecenie	σύσταση	N;NOM;NEUT;PL	N;NOM;FEM;SG
roberts	ρόμπερτς	roberts	ρόμπερτς	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
róża	ρόδο	róża	ρόδος		PROPN;ACC;FEM;SG
róża	ροζ	róża	ροζ		N;NOM;FEM;SG
róża	ρόουζ	róża	ρόουζ		PROPN;NOM;MASC;SG
róża	τριαντάφυλλο	róża	τριαντάφυλλο		N;NOM;NEUT;SG
róża	rose	róża	rose		
róża	ρόζα	róża	ρόζος		PROPN;NOM;FEM;SG
róża	rosa	róża	rosa		
armaty	κανόνια	armata	κανόνι	N;ACC;FEM;SG	N;NOM;NEUT;PL
armaty	κανόνι	armata	κανόνι	N;ACC;FEM;SG	N;NOM;NEUT;SG
armaty	κανόνια	armata	κανόνι	N;ACC;FEM;SG	N;NOM;NEUT;PL
jung	γιουνγκ	junga	γιουνγκ	PROPN;NOM;MASC;SG	NUM;NOM;MASC;SG
jung	τζουνγκ	junga	τζουνγκ	PROPN;NOM;MASC;SG	N
dowody	απόδειξη	dowód	απόδειξη	N;NOM;MASC;PL	N;ACC;FEM;SG
zachowany	διατηρηθεί	zachować	διατηρώ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NFIN;PASS
zachowany	διατηρήθηκαν	zachować	διατηρώ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;3;PST;FIN;PASS
zachowany	διατηρημένο	zachować	διατηρώ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
zachowany	διατηρημένα	zachować	διατηρώ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
zachowany	διατηρήθηκαν	zachować	διατηρώ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;3;PST;FIN;PASS
amerykanie	αμερικάνοι	amerykanin	Αμερικάνος	N;NOM;MASC;PL	PROPN;NOM;MASC;PL
amerykanie	αμερικανοί	amerykanin	Αμερικανός	N;NOM;MASC;PL	PROPN;NOM;MASC;PL
ósemka	οκτώ	ósemka	οκτώ	N;NOM;FEM;SG	NUM;NOM;MASC;PL
ósemka	eight	ósemka	eight	N;NOM;FEM;SG	
ósemka	οχτώ	ósemka	οχτώ	N;NOM;FEM;SG	NUM;NOM;MASC;PL
obsługiwane	υποστηρίχθηκε	obsługiwać	υποστηρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
obsługiwane	υποστηρίζεται	obsługiwać	υποστηρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
obsługiwane	υποστήριξε	obsługiwać	υποστηρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
obsługiwane	υποστηρίζονται	obsługiwać	υποστηρίζω	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;PL;3;PRS;FIN;PASS
obsługiwane	σέρβις	obsługiwać	σέρβι	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;NOM;NEUT;SG
obsługiwane	λειτουργούσε	obsługiwać	λειτουργώ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;PST;FIN;ACT
basista	μπασίστα	basisty	μπασίστα	N;NOM;MASC;SG	
impreza	party	impreza	party	N;NOM;FEM;SG	
uszkodzony	βλάβη	uszkodzić	βλάβη	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;ACC;FEM;SG
uszkodzony	κατεστραμμένο	uszkodzić	κατεστρέφω	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
uszkodzony	κατεστραμμένος	uszkodzić	κατεστραμμένος	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
uszkodzony	ζημιά	uszkodzić	ζημιά	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;ACC;FEM;SG
uszkodzony	κατεστραμμένη	uszkodzić	καταστρέφω	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
uszkodzony	διεφθαρμένη	uszkodzić	διεφθαρμένος	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
uszkodzony	κατεστραμμένο	uszkodzić	κατεστρέφω	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
uszkodzony	κατεστραμμένα	uszkodzić	κατεστρέφω	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
uszkodzony	ελαττωματικά	uszkodzić	ελαττωματικά	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADV
administratorem	διαχειριστής	administrator	διαχειριστής	N;INS;MASC;SG	N;NOM;MASC;SG
administratorem	διαχειριστή	administrator	διαχειριστής	N;INS;MASC;SG	N;NOM;FEM;SG
administratorem	διαχειριστής	administrator	διαχειριστής	N;INS;MASC;SG	N;NOM;MASC;SG
administratorem	διαχειριστή	administrator	διαχειριστής	N;INS;MASC;SG	N;NOM;FEM;SG
airways	airway	airways	airway		
trofeum	τρόπαιο	trofeum	τρόπαιο	N;ACC;MASC;SG	N;NOM;NEUT;SG
mandatu	εντολή	mandat	εντολή	N;GEN;MASC;SG	N;ACC;FEM;SG
legia	λεγεώνα	legia	λεγεώνας		N;GEN;FEM;PL
zniszczenie	καταστροφή	zniszczyć	καταστροφή	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;ACC;FEM;SG
libertadores	λιμπερταδόρες	libertadores	λιμπερταδόρος	N;NOM;MASC;SG	N;NOM;NEUT;PL
umieścić	βάλτε	umieścić	βάλτε	V;PFV;NFIN;ACT	V;IPFV;IND;PL;2;PRS;FIN;ACT
umieścić	βάλε	umieścić	βάλε	V;PFV;NFIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
pfalz	pfalz	pfalzyć	pfalz	PROPN;NOM;MASC;SG	
zabrze	zabrze	zabrze	zabrze	PROPN;NOM;MASC;SG	
iran	ιράν	iran	ιράν	PROPN;NOM;MASC;SG	
han	χαν	han	χαν	PROPN;NOM;MASC;SG	N
han	han	han	han	PROPN;NOM;MASC;SG	
olympic	ολυμπιακή	olympic	ολυμπιακός		ADJ;NOM;FEM;SG
olympic	ολυμπιακός	olympic	ολυμπιακός		ADJ;NOM;MASC;SG
olympic	ολυμπιακό	olympic	ολυμπιακός		
słownika	λεξικό	słownik	λεξικός	N;GEN;MASC;SG	N;NOM;NEUT;SG
dochód	έσοδα	dochód	έσοδο	N;NOM;MASC;SG	N;NOM;NEUT;PL
dochód	έσοδα	dochód	έσοδο	N;NOM;MASC;SG	N;NOM;NEUT;PL
dochód	εισοδήματα	dochód	εισόδημα	N;NOM;MASC;SG	N;NOM;NEUT;PL
dochód	εισοδήματος	dochód	εισόδημα	N;NOM;MASC;SG	N;GEN;NEUT;SG
winter	χειμώνα	winter	χειμώνω		N;NOM;NEUT;PL
winter	χειμώνας	winter	χειμώνας		N;NOM;MASC;SG
winter	γουίντερ	winter	γουίντερ		
poprawki	διορθώσεις	poprawka	διορθώση	N;ACC;FEM;PL	N;NOM;FEM;PL
poprawki	τροποποιήσεις	poprawka	τροποποίηση	N;ACC;FEM;PL	N;NOM;FEM;PL
poprawki	τροπολογίες	poprawka	τροπολογία	N;ACC;FEM;PL	N;NOM;FEM;PL
poprawki	αναθεωρήσεις	poprawka	αναθεώρηση	N;ACC;FEM;PL	N;NOM;FEM;PL
samolotem	αεροπλάνο	samolot	αεροπλάνο	N;INS;MASC;SG	N;NOM;NEUT;SG
samolotem	αεροπλάνο	samolot	αεροπλάνο	N;INS;MASC;SG	N;NOM;NEUT;SG
samolotem	αεροπλάνο	samolot	αεροπλάνο	N;INS;MASC;SG	N;NOM;NEUT;SG
samolotem	αεροπλάνου	samolot	αεροπλάνο	N;INS;MASC;SG	N;GEN;NEUT;SG
