סטודנט	studerande	סטודנט	studerande	N;MASC;SG	ADJ;NOM;PRS;V.PTCP
המכילים	innehållande	המכיל	innehålla	N;MASC;PL	ADJ;NOM;PRS;V.PTCP
מנדטים	mandat	מנדט	manda	N;MASC;PL	N;NOM;INDF;NEUT;SG
מנדטים	mandaten	מנדט	mandat	N;MASC;PL	N;NOM;DEF;MASC+FEM;SG
ארמסטרונג	armstrong	ארמסטרונג	armstrong	PROPN	PROPN;NOM
ספרטה	spartan	ספרטה	spartan	PROPN	N;NOM;DEF;MASC+FEM;SG
ספרטה	sparta	ספרטה	sparta	PROPN	N;NOM;INDF;MASC+FEM;SG
מבוגר	vuxen	מבוגר	vuxen	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
מבוגר	vuxna	מבוגר	vuxen	ADJ;MASC;SG	ADJ;NOM;PL
עבה	tjock	עבה	tjock		ADJ;NOM;INDF;MASC+FEM;SG
עבה	tjocka	עבה	tjocka		ADJ;NOM;PL
עבה	tjockt	עבה	tjocka		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
ביצה	träsk	ביצה	träsk	PROPN	N;NOM;INDF;NEUT;SG
ביצה	egg	ביצה	egg	PROPN	N;NOM;INDF;NEUT;SG
ביצה	ägg	ביצה	ägg	PROPN	N;NOM;INDF;NEUT;SG
קולורדו	colorado	קולורדו	colorado	PROPN	N;NOM;INDF;MASC+FEM;SG
אתמול	igår	אתמול	igå	ADV	N;NOM;INDF;MASC+FEM;SG
אתמול	gårdagens	אתמול	gårdag	ADV	N;GEN;DEF;MASC+FEM;SG
נצר	scion	נצר	scion	PROPN	N;NOM;INDF;MASC+FEM;SG
מסרים	budskap	מסר	budskap	N;MASC;PL	N;NOM;INDF;NEUT;SG
הלחם	bröd	הלחם	bröd		N;NOM;INDF;NEUT;SG
איסלנד	island	איסלנד	island	PROPN	PROPN;NOM
בובי	bobby	בובי	bobby	PROPN	PROPN;NOM
סליחה	sorry	סליחה	sorry	PROPN	V;IMP;FIN;ACT
סליחה	förlåt	סליחה	förlåt	PROPN	N;NOM;INDF;NEUT;SG
סליחה	ledsen	סליחה	leds	PROPN	N;NOM;DEF;MASC+FEM;SG
סליחה	beklagar	סליחה	beklaga	PROPN	V;IND;PRS;FIN;ACT
אריסטו	aristoteles	אריסטו	aristoteles	PROPN	PROPN;NOM
להינשא	gifta	ננשא	gift	V;NFIN;MID	ADJ;NOM;PL;PST;V.PTCP
פורמלי	formella	פורמאלי	formell	ADJ;MASC;SG	ADJ;NOM;PL
הערכת	bedömning	הערכה	bedömning	N;PSSD;FEM;SG	N;NOM;INDF;MASC+FEM;SG
הערכת	utvärdering	הערכה	utvärdering	N;PSSD;FEM;SG	N;NOM;INDF;MASC+FEM;SG
דולב	plantain	דולב	plantain	PROPN	N;NOM;INDF;MASC+FEM;SG
סיפון	däck	סיפון	däck	N;MASC;SG	N;NOM;INDF;NEUT;PL
בכר	behar	בכר	beha	PROPN	N;NOM;INDF;MASC+FEM;SG
בכר	bakr	בכר	bakr	PROPN	PROPN;NOM
הגיל	ålder	הגיל	ålder	ADV	N;NOM;INDF;MASC+FEM;SG
הגיל	åldern	הגיל	ålder	ADV	N;NOM;DEF;MASC+FEM;SG
טק	tec	טק	tec		N;NOM
טק	tech	טק	tech		PROPN;NOM
בצמוד	angränsande	בצמוד	angränsande		ADJ;NOM;PRS;V.PTCP
בצמוד	intilliggande	בצמוד	intilliggande		ADJ;NOM;PRS;V.PTCP
בצמוד	angränsande	בצמוד	angränsande		ADJ;NOM;PRS;V.PTCP
תומפסון	thompson	תומפסון	thompson	PROPN	PROPN;NOM
תומפסון	thomson	תומפסון	thomson	PROPN	PROPN;NOM
שלד	skelettet	שלד	skelett	PROPN	N;NOM;DEF;NEUT;SG
שלד	skelett	שלד	skelett	PROPN	N;NOM;INDF;NEUT;SG
כותבת	skrivande	כתב	skrivande	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
כותבת	skrift	כתב	skrift	V;FEM;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
כותבת	skrivning	כתב	skrivning	V;FEM;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
פרננדו	fernando	פרננדו	fernando	PROPN	PROPN;NOM
חיתוך	skär	חיתוך	skära	N;MASC;SG	V;IMP;FIN;ACT
פסוקים	vers	פסוק	vers	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
פסוקים	budskap	פסוק	budskap	N;MASC;PL	N;NOM;INDF;NEUT;SG
גויס	rekryterade	גויס	rekrytera	PROPN	ADJ;NOM;PL;PST;V.PTCP
גויס	rekryteras	גויס	rekrytera	PROPN	V;IND;PRS;NFIN;PASS
גויס	rekryterades	גויס	rekrytera	PROPN	V;IND;PST;FIN;PASS
קודמת	föregående	קודם	föregående	ADJ;FEM;SG	N;NOM;INDF;NEUT;SG
קודמת	tidigare	קודם	tidig	ADJ;FEM;SG	ADV;CMPR
נורמן	norman	נורמן	norman	PROPN	PROPN;NOM
מוקשים	gruvor	מקשה	gruva	V;MASC;PL;V.PTCP;PASS	N;NOM;INDF;MASC+FEM;PL
מוקשים	gruva	מקשה	gruva	V;MASC;PL;V.PTCP;PASS	N;NOM;INDF;MASC+FEM;SG
מוקשים	minor	מקשה	mina	V;MASC;PL;V.PTCP;PASS	N;NOM;INDF;MASC+FEM;SG
חסד	barmhärtighet	חסד	barmhärtighet		N;NOM;INDF;MASC+FEM;SG
חסד	mercy	חסד	mercy		N;NOM;INDF;MASC+FEM;SG
חסד	nåd	חסד	nåd		N;NOM;INDF;MASC+FEM;SG
חסד	vänlighet	חסד	vänlighet		N;NOM;INDF;MASC+FEM;SG
חסד	nåd	חסד	nåd		N;NOM;INDF;MASC+FEM;SG
חסד	grace	חסד	grace		N;NOM;INDF;MASC+FEM;SG
הולמס	holmes	הולמס	holmes	PROPN	PROPN;NOM
גולדשטיין	goldstein	גולדשטיין	goldstein	PROPN	PROPN;NOM
