van	f	van	!	ADP	
meer	بحيرة	veel	بُحَيرَة	PRO	N;NOM;INDF;SG
meer	لايك	veel	لَايك	PRO	
meer	البحيرة	veel	بُحَيرَة	PRO	N;NOM;DEF;SG
meer	المزيد	veel	مَزِيد	PRO	N;NOM;DEF;SG
meer	اكتر	veel	أَكتَر	PRO	
meer	اكثر	veel	أَكثَر	PRO	ADJ;NOM;INDF;MASC;SG
meer	مزيد	veel	مَزِيد	PRO	N;NOM;INDF;SG
kan	يم	kunnen	يم	V;SG;PRS;FIN	
kan	kan	kunnen	ثَصَث	V;SG;PRS;FIN	
cet	c	cet	هُوَ		
haar	الشعر	haar	شَعر	PRO;ACC;3	N;NOM;DEF;SG
haar	شعر	haar	شعر	PRO;ACC;3	
haar	لها	haar	لها	PRO;ACC;3	
haar	هي	haar	هُوَ	PRO;ACC;3	PRO;NOM;FEM;SG;3
wel	حسنا	wel	حسنا	ADV	ADJ;ACC;INDF;MASC;SG
jaar	السنين	jaar	سَنَة	N;NEUT;SG	N;NOM;DEF;PL
jaar	اعوام	jaar	عَام	N;NEUT;SG	N;NOM;INDF;PL
jaar	سنين	jaar	سَنَة	N;NEUT;SG	N;NOM;INDF;PL
jaar	السنوات	jaar	سَنَة	N;NEUT;SG	N;NOM;DEF;PL
jaar	سنوات	jaar	سَنَة	N;NEUT;SG	N;NOM;INDF;PL
twee	اثنان	twee	اِثنَان	NUM	N;NOM;INDF;SG
inwoners	ساكن	inwoner	سَاكِن	N;PL	ADJ;NOM;INDF;MASC;SG
inwoners	المقيمين	inwoner	مُقِيم	N;PL	ADJ;ACC;DEF;MASC;PL
wat	ما	wat	مَا	PRO;3	DET
wat	ماذا	wat	مَاذَا	PRO;3	DET
wat	ايش	wat	أَيش	PRO;3	
wat	شنو	wat	شَنُو	PRO;3	
deel	شارك	deel	شَارَك	N;NEUT;SG	V;PFV;MASC;SG;3;ACT
werden	صارت	worden	صَار	V;PL;PST;FIN	V;PFV;FEM;SG;3;ACT
externe	الخارجية	extern	خَارِجِيَّة	ADJ	N;NOM;DEF;SG
externe	خارجية	extern	خَارِجِيَّة	ADJ	N;NOM;INDF;SG
overleg	المشاورات	overleg	مُشَاوَرَة	N;NEUT;SG	N;NOM;DEF;PL
overleg	مشاورات	overleg	مُشَاوَرَة	N;NEUT;SG	N;NOM;INDF;PL
overleg	المشاورات	overleg	مُشَاوَرَة	N;NEUT;SG	N;NOM;DEF;PL
waar	اين	waar	أَينَ	ADV	DET
waar	حيث	waar	حَيثُ	ADV	CONJ
waar	حقيقي	waar	حَقِيقِيّ	ADV	ADJ;NOM;INDF;MASC;SG
waar	صحيح	waar	صَحِيح	ADV	ADJ;NOM;INDF;MASC;SG
hebben	عندي	hebben	عُندِيّ	V;PL;PRS;FIN	
veel	كثير	veel	كَثِير	PRO	ADJ;NOM;INDF;MASC;SG
veel	العديد	veel	عَدِيد	PRO	ADJ;NOM;DEF;MASC;SG
veel	الكثيرون	veel	كَثِير	PRO	ADJ;NOM;DEF;MASC;PL
veel	كثيرون	veel	كَثِير	PRO	ADJ;NOM;INDF;MASC;PL
veel	الكثير	veel	كَثِير	PRO	ADJ;NOM;DEF;MASC;SG
veel	ماتش	veel	مَاتِش	PRO	
hun	هون	hun	هُون	PRO;ACC;3	
staat	الولاية	staan	وِلَايَة	V;SG;PRS;FIN	N;NOM;DEF;SG
staat	دولة	staan	دَولَة	V;SG;PRS;FIN	N;NOM;INDF;SG
staat	ولاية	staan	وِلَايَة	V;SG;PRS;FIN	N;NOM;INDF;SG
staat	الحالة	staan	حَالَة	V;SG;PRS;FIN	N;NOM;DEF;SG
staat	الدولة	staan	دَولَة	V;SG;PRS;FIN	N;NOM;DEF;SG
tweede	الثانيه	twee	الثانيه	ADJ	
tweede	تاني	twee	تَانِي	ADJ	
tweede	ثاني	twee	ثاني	ADJ	
kunnen	يستطيع	kunnen	اِستَطَاع	V;PL;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
kunnen	يمكن	kunnen	أَمكَن	V;PL;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
kunnen	يم	kunnen	يم	V;PL;PRS;FIN	
zie	شاهد	zien	شَاهَد	V;SG;PRS;FIN	
geslacht	الجنسانية	geslacht	جِنسَانِيّ	N;NEUT;SG	
zoals	مثل	zoals	مِثلَ	CONJ	ADP;NOM
zoals	لايك	zoals	لَايك	CONJ	
grote	كبيره	groot	كبيره	ADJ	
bar	بار	bar	بَار	N;MASC+FEM;SG	
nieuwe	جدد	nieuw	جَدَّد	ADJ	V;PFV;MASC;SG;3;ACT
zij	انها	zij	انها	PRO;NOM;3	
zij	انهم	zij	اِنهَمّ	PRO;NOM;3	
via	فيا	via	فِيَا	ADP	
hem	له	hem	هُوَ	PRO;ACC;3	
hem	هو	hem	هُوَ	PRO;ACC;3	PRO;NOM;MASC;SG;3
nederlandse	داتش	nederlands	داتش	ADJ	
mei	قد	mei	قَد	PROPN;MASC+FEM;SG	PART
mei	ماي	mei	مَاي	PROPN;MASC+FEM;SG	
mei	مايو	mei	مَايُو	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
mei	ايار	mei	أَيَّار	PROPN;MASC+FEM;SG	N;NOM;INDF;SG
mei	مي	mei	مَيّ	PROPN;MASC+FEM;SG	
alle	كلهم	al	كلهم	DET	
alle	كله	al	كٰلِهَ	DET	
alle	جميع	al	جَمِيع	DET	N;NOM;INDF;SG
alle	كل	al	كُلّ	DET	N;NOM;INDF;SG
alle	الكل	al	كُلّ	DET	
stad	تاون	stad	تَاون	N;MASC+FEM;SG	
stad	المدينه	stad	المدينه	N;MASC+FEM;SG	
stad	سيتي	stad	سِيتِي	N;MASC+FEM;SG	
lijst	قائمه	lijst	قائمه	N;MASC+FEM;SG	
omdat	لان	omdat	لِأَنَّ	CONJ	CONJ
omdat	لانه	omdat	لانه	CONJ	
omdat	عشان	omdat	عشان	CONJ	
omdat	لانني	omdat	لانني	CONJ	N;NOM;DEF;SG
omdat	بسبب	omdat	بسبب	CONJ	N;NOM;INDF;SG
omdat	لاني	omdat	لاني	CONJ	
links	الوصلات	links	وُصلَة	ADJ	N;NOM;DEF;PL
links	الصلات	links	صَلَة	ADJ	N;NOM;DEF;PL
links	روابط	links	روابط	ADJ	N;NOM;INDF;PL
links	الروابط	links	رَابِطَة	ADJ	N;NOM;DEF;PL
links	وصلات	links	وُصلَة	ADJ	N;NOM;INDF;PL
links	اليسار	links	يَسَار	ADJ	N;NOM;DEF;SG
links	يسار	links	سَار	ADJ	
nederland	الهولندية	nederland	هُولَندِيّ	N;NEUT;SG	ADJ;NOM;DEF;FEM;SG
nederland	هولندا	nederland	هولندا	N;NEUT;SG	
jan	جان	jan	جَان	N;MASC+FEM;SG	
jan	يان	jan	يان	N;MASC+FEM;SG	
weer	الجو	weer	جَوّ	ADV	N;NOM;DEF;SG
weer	الطقس	weer	طَقس	ADV	N;NOM;DEF;SG
weer	طقس	weer	طَقس	ADV	N;NOM;INDF;SG
drie	th	drie	th	NUM	
drie	ثلاثه	drie	ثلاثه	NUM	
vanaf	f	vanaf	!	ADP	
jpg	jpg	jpg	مُثَّة	N;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
kwam	جيت	komen	جيت	V;SG;PST;FIN	
provincie	الاقليم	provincie	إِقلِيم	N;MASC+FEM;SG	
provincie	اقليم	provincie	اقليم	N;MASC+FEM;SG	
link	لينك	link	لينك	N;MASC+FEM;SG	
http	http	ht	أَطقَم	N;MASC+FEM;SG	
gebruikt	مستخدم	gebruiken	مُستَخدَم	V;V.PTCP	N;NOM;INDF;SG
der	دير	de	دير	DET;DEF	
alleen	لوحدي	alleen	لوحدي	ADV	
alleen	وحده	alleen	وحده	ADV	PRO;NOM;MASC;SG;3
alleen	وحيد	alleen	وحيد	ADV	
alleen	وحيدة	alleen	وَحِيد	ADV	ADJ;NOM;INDF;FEM;SG
alleen	وحدي	alleen	وَحدِيّ	ADV	
nederlands	داتش	nederland	داتش	ADJ	
vlinder	فراشه	vlinder	فراشه	N;MASC+FEM;SG	PRO;NOM;MASC;SG;3
club	نادى	club	نَادِي	N;MASC+FEM;SG	
club	نادي	club	نادي	N;MASC+FEM;SG	
club	كلوب	club	كلوب	N;MASC+FEM;SG	
sinds	مند	sinds	مَنَّد	ADP	
laatste	تدوم	laat	دَام	ADJ;RL	V;IPFV;FEM;IND;SG;3;FIN;ACT
laatste	الاحدث	laat	أَحدَث	ADJ;RL	N;NOM;DEF;SG
samen	سويا	samen	سُويَا	ADV	
samen	سوية	samen	سُوِيّ	ADV	
samen	معا	samen	مَعًا	ADV	
één	احد	één	أَحَد	NUM	N;NOM;INDF;SG
één	واحدة	één	وَاحِد	NUM	ADJ;NOM;INDF;FEM;SG
één	واحد	één	وَاحِد	NUM	ADJ;NOM;INDF;MASC;SG
één	واحده	één	واحده	NUM	PRO;NOM;MASC;SG;3
moet	ينبغي	moeten	اِنبَغَى	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
moet	لازم	moeten	لَازِم	V;SG;PRS;FIN	
moet	يجب	moeten	وَجَب	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
maken	انشاء	maken	إِنشَاء	V;NFIN	N;NOM;INDF;SG
maken	انشئ	maken	أَنشَأ	V;NFIN	
amerikaanse	امريكيون	amerikaans	أَمرِيكِيّ	ADJ	N;NOM;INDF;PL
amerikaanse	الامريكي	amerikaans	أَمرِيكِيّ	ADJ	N;NOM;DEF;SG
enkele	البعض	enkele	بَعض	PRO	N;NOM;DEF;SG
enkele	بعض	enkele	بَعض	PRO	N;NOM;INDF;SG
april	ابريل	april	أَبرِيل	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
april	نيسان	april	نِيسَان	PROPN;MASC+FEM;SG	N;NOM;INDF;SG
verschillende	عدة	verschillend	عِدَّة	ADJ	N;NOM;INDF;SG
verschillende	شتى	verschillend	شتى	ADJ	N;NOM;INDF;SG
eigen	امتلك	eigen	اِمتَلَك	ADJ	V;PFV;MASC;SG;3;ACT
volgende	التالية	volgen	تَالِي	V;V.PTCP	
volgende	القادم	volgen	قَادِم	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
volgende	التالي	volgen	تَالِي	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
volgende	التالى	volgen	تَالِي	V;V.PTCP	
weg	بعيدا	weg	بَعِيد	ADV	ADJ;ACC;INDF;MASC;SG
weg	الطريق	weg	طَرِيق	ADV	N;NOM;DEF;SG
weg	طريق	weg	طَرِيق	ADV	N;NOM;INDF;SG
insect	باغ	insect	بَاغ	N;NEUT;SG	
insect	باج	insect	باج	N;NEUT;SG	
zelf	الذاتي	zelf	ذَاوتِيّ	ADV	ADJ;NOM;DEF;MASC;SG
zelf	ذاتي	zelf	ذَاوتِيّ	ADV	ADJ;NOM;INDF;MASC;SG
zelf	النفس	zelf	نَفس	ADV	N;NOM;DEF;SG
zelf	سلف	zelf	سَالِف	ADV	
zelf	الذات	zelf	ذَات	ADV	N;NOM;DEF;SG
zelf	نفسي	zelf	نفسي	ADV	
zelf	نفسى	zelf	نفسى	ADV	
franse	بالفرنسية	frans	بالفرنسية	ADJ	N;NOM;DEF;SG
franse	الفرنسية	frans	فَرَنسِيَّة	ADJ	N;NOM;DEF;SG
terug	الظهر	terug	ظُهر	ADV	N;NOM;DEF;SG
terug	عاد	terug	عَاد	ADV	V;PFV;MASC;SG;3;ACT
terug	العودة	terug	عَودَة	ADV	N;NOM;DEF;SG
terug	عودة	terug	عَودَة	ADV	N;NOM;INDF;SG
terug	ارجع	terug	أَرجَع	ADV	V;PFV;MASC;SG;3;ACT
terug	ظهر	terug	ظَهَر	ADV	V;PFV;MASC;SG;3;ACT
rond	حو	rond	حو	ADP	
rond	حولي	rond	حَولَى	ADP	
rond	مستديرة	rond	مُستَدِير	ADP	ADJ;NOM;INDF;FEM;SG
rond	الجولة	rond	جَولَة	ADP	N;NOM;DEF;SG
heb	حصلت	hebben	حَصَل	V;SG;PRS;FIN	V;PFV;FEM;SG;3;ACT
heb	عندي	hebben	عُندِيّ	V;SG;PRS;FIN	
land	البلاد	land	بَلَد	N;NEUT;SG	N;NOM;DEF;PL
land	بلاد	land	بَلَد	N;NEUT;SG	N;NOM;INDF;PL
land	ارض	land	ارض	N;NEUT;SG	
land	اراض	land	أَرض	N;NEUT;SG	N;NOM;INDF;PL
land	الاراضي	land	أَرض	N;NEUT;SG	N;NOM;DEF;PL
werk	اعمل	werk	عَمَل	N;NEUT;SG	
juni	حزيران	juni	حَزِيرَان	PROPN;MASC+FEM;SG	N;NOM;INDF;SG
juni	يونيو	juni	يُونِيُو	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
goed	الخير	goed	خَير	ADJ	N;NOM;DEF;SG
goed	طيب	goed	طيب	ADJ	
goed	بخير	goed	بخير	ADJ	
duitse	المان	duits	أَلمَانِيّ	ADJ	
duitse	المانيا	duits	أَلمَانِيَا	ADJ	
mensen	البشر	mens	بَشَر	N;PL	N;NOM;DEF;SG
mensen	بشر	mens	بَشَّر	N;PL	
mensen	ناس	mens	نَاسِي	N;PL	
gaan	ذهاب	gaan	ذَهَاب	V;PRS;NFIN	N;NOM;INDF;SG
gaan	ذاهب	gaan	ذَاهِب	V;PRS;NFIN	
gaan	ذاهبة	gaan	ذَاهِبَة	V;PRS;NFIN	ADJ;NOM;INDF;FEM;SG
januari	يناير	januari	يَنَايِر	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
groot	كبيره	groot	كبيره	ADJ	
groot	غروت	groot	غروت	ADJ	
vooral	وخاصة	vooral	وخاصة	ADV	N;NOM;INDF;SG
vooral	خاصة	vooral	خَاصّ	ADV	ADJ;ACC;INDF;FEM;SG
vooral	خصوصا	vooral	خُصُوص	ADV	N;ACC;INDF;SG
vooral	بالاخص	vooral	بالاخص	ADV	
vooral	غالبا	vooral	غَالِب	ADV	ADJ;ACC;INDF;MASC;SG
marine	بحرية	marine	بَحرِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
kerk	كنيسه	kerk	كنيسه	N;MASC+FEM;SG	PRO;NOM;MASC;SG;3
kerk	كنيست	kerk	كَنِيس	N;MASC+FEM;SG	
regio	الاقليم	regio	إِقلِيم	N;MASC+FEM;SG	
regio	اقليم	regio	اقليم	N;MASC+FEM;SG	
genoemd	مسمى	noemen	مُسَمَّى	V;V.PTCP	N;NOM;INDF;SG
komen	ات	komen	أَت	V;NFIN	
komen	قادمون	komen	قَادِم	V;NFIN	ADJ;NOM;INDF;MASC;PL
komen	قادم	komen	قَادِم	V;NFIN	ADJ;NOM;INDF;MASC;SG
komen	قادمة	komen	قَادِم	V;NFIN	ADJ;NOM;INDF;FEM;SG
september	ايلول	september	أَيلُول	PROPN;MASC+FEM;SG	N;NOM;INDF;SG
september	سبتمبر	september	سِبتَمبِر	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
ongeveer	حول	ongeveer	حَولَ	ADV	ADP;ACC
ongeveer	بشان	ongeveer	بشان	ADV	N;NOM;INDF;SG
ongeveer	بخصوص	ongeveer	بخصوص	ADV	N;NOM;INDF;SG
ongeveer	عن	ongeveer	عَن	ADV	ADP
juli	يوليو	juli	يُولِيُو	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
juli	تموز	juli	تَمُّوز	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
leven	lif	leven	قَثحَة	N;NEUT;SG	
leven	تعيش	leven	عَاش	N;NEUT;SG	V;IPFV;FEM;IND;SG;3;FIN;ACT
leven	يعيش	leven	عَاش	N;NEUT;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
leven	مباشر	leven	مُبَاشِر	N;NEUT;SG	ADJ;NOM;INDF;MASC;SG
leven	عيش	leven	عَيش	N;NEUT;SG	
leven	عش	leven	عَشّ	N;NEUT;SG	
oktober	اكتوبر	oktober	أُكتُوبِر	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
binnen	للداخل	binnen	لِ	ADP	N;NOM;DEF;SG
binnen	داخلي	binnen	دَاخِلِيّ	ADP	ADJ;NOM;INDF;MASC;SG
binnen	بالداخل	binnen	بِ	ADP	N;GEN;DEF;SG
binnen	الداخل	binnen	دَاخِل	ADP	N;NOM;DEF;SG
augustus	اغسطس	augustus	أَغُسطُس	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
augustus	اوغست	augustus	أَوغَس	PROPN;MASC+FEM;SG	
augustus	اغسطس	augustus	أَغُسطُس	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
maart	المسيرة	maart	مَسِيرَة	PROPN;MASC+FEM;SG	N;NOM;DEF;SG
maart	مارس	maart	مَارِس	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
maart	مسيرة	maart	مَسِيرَة	PROPN;MASC+FEM;SG	N;NOM;INDF;SG
maart	اذار	maart	آذَار	PROPN;MASC+FEM;SG	N;NOM;INDF;SG
register	سجل	register	سَجَّل	N;NEUT;SG	V;PFV;MASC;SG;3;ACT
zal	ويل	zullen	وِيل	V;SG;PRS;FIN	
zal	راح	zullen	رَاح	V;SG;PRS;FIN	
zal	سوف	zullen	سَوفَ	V;SG;PRS;FIN	PART
meter	امتار	meter	مِتر	N;MASC+FEM;SG	N;NOM;INDF;PL
meter	امتار	meter	مِتر	N;MASC+FEM;SG	N;NOM;INDF;PL
vier	اربعه	vier	اربعه	NUM	PRO;NOM;MASC;SG;3
toch	بعد	toch	بَعدَ	ADV	ADP;NOM
december	ديسمبر	december	دِيسَمبِر	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
amsterdam	امستردام	amsterdam	اِمسِترَام	PROPN;NEUT;SG	
zeer	جدا	zeer	جِدّ	ADV	N;ACC;INDF;SG
top	توب	top	تَوَبِّ	N;MASC+FEM;SG	
top	الاعلى	top	أَعلَى	N;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
november	نوفمبر	november	نُوفِمبِر	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
oude	قديمه	oud	قديمه	ADJ	
oude	عجوز	oud	عَجُوز	ADJ	N;NOM;INDF;SG
zonder	بدون	zonder	بدون	ADP	
den	دن	den	دَن	DET;DEF	
den	عرين	den	عَرِين	DET;DEF	
ronde	مستديرة	ronde	مُستَدِير	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
kon	يمكن	kunnen	أَمكَن	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
gemaakt	مصنوع	maken	مَصنُوع	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
won	وون	winnen	وون	V;SG;PST;FIN	
gebruik	استعمل	gebruik	اِستَعمَل	N;NEUT;SG	V;PFV;MASC;SG;3;ACT
gebruik	استخدم	gebruik	اِستَخدَم	N;NEUT;SG	V;PFV;MASC;SG;3;ACT
werken	العمل	werken	عَمَل	V;NFIN	N;NOM;DEF;SG
werken	اعمل	werken	عَمَل	V;NFIN	
werken	عمل	werken	عَمَل	V;NFIN	N;NOM;INDF;SG
werken	اعمل	werken	عَمَل	V;NFIN	
werken	اشغال	werken	شُغل	V;NFIN	N;NOM;INDF;PL
net	الشبكة	net	شَبَكَة	ADV	N;NOM;DEF;SG
net	صافي	net	صافي	ADV	
net	الصافي	net	صَافِي	ADV	
ter	تير	te	تَيَرّ	ADP	
iets	شيء	iets	شَيء	PRO;3	N;NOM;INDF;SG
iets	شئ	iets	شئ	PRO;3	N;NOM;INDF;SG
iets	حاجه	iets	حَاجَه	PRO;3	
iets	شي	iets	شي	PRO;3	
februari	فبراير	februari	فِبرَايِر	PROPN;MASC+FEM;SG	N;GEN;INDF;SG
februari	شباط	februari	شُبَاط	PROPN;MASC+FEM;SG	N;NOM;INDF;SG
zuid	zuid	zuid	مُثَمَّه	ADJ	
zuid	جنوبا	zuid	جَنُوب	ADJ	N;ACC;INDF;SG
zuid	الجنوب	zuid	جَنُوب	ADJ	N;NOM;DEF;SG
zuid	جنوب	zuid	جَنُوب	ADJ	N;NOM;INDF;SG
zuid	ساوث	zuid	سَاوث	ADJ	
kleine	صغيره	klein	صغيره	ADJ	PRO;NOM;FEM;SG;3
kleine	صغر	klein	صَغَر	ADJ	N;NOM;INDF;SG
kleine	الصغير	klein	صَغِير	ADJ	
kleine	القليل	klein	قَلِيل	ADJ	
eens	مرة	eens	مَرَّة	ADV	N;NOM;INDF;SG
eens	مره	eens	مَرَّه	ADV	N;NOM;INDF;SG
zien	شاهد	zien	شَاهَد	V;NFIN	
album	البوم	album	أَلبُوم	N;NEUT;SG	
wil	اريد	willen	اريد	V;SG;PRS;FIN	
moeten	لازم	moeten	لَازِم	V;PL;PRS;FIN	
moeten	يجب	moeten	وَجَب	V;PL;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
lijkt	يبدو	lijken	بَدَا	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
lijkt	يظهر	lijken	ظَهَر	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
lijkt	نظرات	lijken	نَظرَة	V;SG;PRS;FIN	N;NOM;INDF;PL
lijkt	النظرات	lijken	نَظَرَة	V;SG;PRS;FIN	N;NOM;DEF;PL
lijkt	يبدو	lijken	بَدَا	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
verenigde	متحدين	verenigen	مُتَّحِد	V;V.PTCP	ADJ;ACC;INDF;MASC;PL
verenigde	المتحدة	verenigen	مُتَّحِد	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
verenigde	متحدة	verenigen	مُتَّحِد	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
zoon	ابن	zoon	ابن	N;MASC+FEM;SG	
zoon	بني	zoon	بني	N;MASC+FEM;SG	
man	man	man	فَصَم	N;MASC+FEM;SG	
man	مان	man	مَان	N;MASC+FEM;SG	
water	مياه	water	مَاء	N;NEUT;SG	N;NOM;INDF;PL
water	المياه	water	مَاء	N;NEUT;SG	N;NOM;DEF;PL
gezien	رايت	zien	رَاي	V;V.PTCP	
koning	ملك	koning	مَلِك	N;MASC+FEM;SG	
koning	كينغ	koning	كينغ	N;MASC+FEM;SG	
koning	كينج	koning	كينج	N;MASC+FEM;SG	
spelen	مسرحية	spelen	مَسرَحِيّ	V;NFIN	N;NOM;INDF;SG
spelen	العب	spelen	العب	V;NFIN	
spelen	تشغيل	spelen	تَشغِيل	V;NFIN	N;NOM;INDF;SG
spelen	اللعب	spelen	لَعب	V;NFIN	N;NOM;DEF;SG
spelen	اللعب	spelen	لَعب	V;NFIN	N;NOM;DEF;SG
officiële	مسؤول	officeel	مَسؤُول	ADJ	N;NOM;INDF;SG
titel	شرح	titel	شَرح	N;MASC+FEM;SG	
belgië	بلجيكا	belgiën	بِلجِيكَا	PROPN;NEUT;SG	
beide	كلاهما	beide	كلاهما	PRO	
