κβαντική	quantum	κβαντικός	quantum	ADJ;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
παρουσιάστηκαν	presenteras	παρουσιάζω	presentera	V;PFV;IND;PL;3;PST;FIN;PASS	V;IND;PRS;FIN;PASS
παρουσιάστηκαν	presenterad	παρουσιάζω	presentera	V;PFV;IND;PL;3;PST;FIN;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
παρουσιάστηκαν	presenterat	παρουσιάζω	presentera	V;PFV;IND;PL;3;PST;FIN;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
μέτρια	medelhög	μέτρι	medelhög	N;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
μέτρια	medellång	μέτρι	medellång	N;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
μέτρια	medelstor	μέτρι	medelstor	N;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
μέτρια	måttliga	μέτρι	måttlig	N;NOM;FEM;SG	ADJ;NOM;PL
μέτρια	måttligt	μέτρι	måttlig	N;NOM;FEM;SG	ADV
μέτρια	moderata	μέτρι	moderat	N;NOM;FEM;SG	ADJ;NOM;PL
μέτρια	måttlig	μέτρι	måttlig	N;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
επηρεάσει	påverka	επηρεάζω	påverka	V;PFV;IND;SG;3;FIN;ACT	V;IMP;FIN;ACT
επηρεάσει	påverkade	επηρεάζω	påverka	V;PFV;IND;SG;3;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
επηρεάσει	påverkad	επηρεάζω	påverka	V;PFV;IND;SG;3;FIN;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
επηρεάσει	påverkat	επηρεάζω	påverka	V;PFV;IND;SG;3;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
μάρσαλ	marshall	μάρσαλ	marshall		PROPN;NOM
ποσά	belopp	ποσό	belopp	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;SG
συνταγματική	konstitutionell	συνταγματικός	konstitutionell	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
συνταγματική	konstitutionella	συνταγματικός	konstitutionell	ADJ;NOM;FEM;SG	ADJ;NOM;PL
υποδομών	infrastruktur	υποδομή	infrastruktur	N;GEN;FEM;PL	N;NOM;INDF;MASC+FEM;SG
δορυφόρο	satellit	δορυφόρο	satellit	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
δορυφόρο	satelliten	δορυφόρο	satelliten	N;ACC;MASC;SG	N;NOM;DEF;MASC+FEM;SG
στροφές	varvar	στροφή	varvar	N;NOM;FEM;PL	V;IND;PRS;FIN;ACT
στροφές	hastighet	στροφή	hastighet	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
στροφές	snabbhet	στροφή	snabbhet	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
στροφές	speed	στροφή	speed	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
στροφές	varvtal	στροφή	varvtal	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
στροφές	växlad	στροφή	växla	N;NOM;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
διονύσου	dionysos	διόνυσος	dionysos	N;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
διαφοροποίηση	differentiering	διαφοροποίηση	differentiering	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
διαφοροποίηση	modulering	διαφοροποίηση	modulering	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
διαφοροποίηση	diversifiering	διαφοροποίηση	diversifiering	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
κόμβο	skarv	κόμβος	skarv	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
εντοπιστεί	spårat	εντοπίζω	spåra	V;PFV;NFIN;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
εντοπιστεί	spårade	εντοπίζω	spåra	V;PFV;NFIN;PASS	ADJ;NOM;PL;PST;V.PTCP
συνδεδεμένη	anslutet	συνδέδω	ansluta	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
συνδεδεμένη	ansluten	συνδέδω	ansluta	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
συνδεδεμένη	anslutna	συνδέδω	ansluta	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
συνδεδεμένη	länkade	συνδέδω	länka	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
συνδεδεμένη	kopplade	συνδέδω	koppla	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
συνδεδεμένη	länkat	συνδέδω	länka	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
συνδεδεμένη	länkad	συνδέδω	länkad	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
αναφέρω	omnämnande	αναφέρω	omnämnande	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;INDF;NEUT;SG
αναφέρω	nämna	αναφέρω	nämna	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IMP;FIN;ACT
εγκέφαλο	hjärna	εγκέφαλος	hjärna	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
εγκέφαλο	hjärnan	εγκέφαλος	hjärna	N;ACC;MASC;SG	N;NOM;DEF;MASC+FEM;SG
εγκέφαλο	brain	εγκέφαλος	brain	N;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
χασάν	hassan	χάσα	hassa		PROPN;NOM
χασάν	hasan	χάσα	hasa		PROPN;NOM
εκτελέστηκαν	avrättade	εκτελώ	avrätta	V;PFV;IND;PL;3;PST;FIN;PASS	ADJ;NOM;PL;PST;V.PTCP
εκτελέστηκαν	utförd	εκτελώ	utföra	V;PFV;IND;PL;3;PST;FIN;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
εκτελέστηκαν	avrättad	εκτελώ	avrätta	V;PFV;IND;PL;3;PST;FIN;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
φλόγα	låga	φλόγα	låg	N;NOM;FEM;SG	ADJ;NOM;PL
ηλέκτρα	elektra	ηλέκτρα	elektra	PROPN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ηλέκτρα	electra	ηλέκτρα	electra	PROPN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ηλέκτρα	elektra	ηλέκτρα	elektra	PROPN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ραούλ	raoul	ραούλ	raoul	PROPN;NOM;MASC;SG	PROPN;NOM
ραούλ	raul	ραούλ	raul	PROPN;NOM;MASC;SG	PROPN;NOM
ραούλ	raúl	ραούλ	raúl	PROPN;NOM;MASC;SG	PROPN;NOM
ραούλ	raúl	ραούλ	raúl	PROPN;NOM;MASC;SG	PROPN;NOM
κυκλάδες	kykladerna	κυκλάδα	kyklad	PROPN;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
απεικονίζουν	skildra	απεικονίζω	skildra	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IMP;FIN;ACT
εξελίσσεται	utvecklande	εξελίσσω	utvecklande	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;NOM;PRS;V.PTCP
δολοφονίες	dödande	δολοφονία	dödande	N;NOM;FEM;PL	ADJ;NOM;PRS;V.PTCP
δολοφονίες	lönnmord	δολοφονία	lönnmord	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
δολοφονίες	mördar	δολοφονία	morde	N;NOM;FEM;PL	V;IND;PRS;FIN;ACT
δολοφονίες	mord	δολοφονία	mord	N;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
μποτσουάνα	botswana	μποτσουάνα	botswana		PROPN;NOM
ρήνου	rhen	ρήνος	rhen	N;GEN;MASC;SG	PROPN;NOM
τσάρλι	charlie	τσάρλι	charlie	PROPN;NOM;MASC;SG	PROPN;NOM
ηλιακή	solar	ηλιακός	sola	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
μοτίβα	mönster	μοτίβα	mönster	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;SG
κινδύνους	risker	κίνδυνος	risk	N;ACC;MASC;PL	N;NOM;INDF;MASC+FEM;PL
κινδύνους	faror	κίνδυνος	fara	N;ACC;MASC;PL	N;NOM;INDF;MASC+FEM;PL
πύργοι	towers	πύργος	tow	N;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
πύργοι	torn	πύργος	torn	N;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
μεμονωμένα	individuell	μεμονωμένος	individuell	ADV	ADJ;NOM;INDF;MASC+FEM;SG
μεμονωμένα	individ	μεμονωμένος	individ	ADV	N;NOM;INDF;MASC+FEM;SG
μεμονωμένα	individuella	μεμονωμένος	individuell	ADV	ADJ;NOM;PL
στράτευμα	trupper	στράτευμα	trupp	N;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
διασταύρωση	korsning	διασταύρωση	korsning	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
διασταύρωση	korsningen	διασταύρωση	korsning	N;ACC;FEM;SG	N;NOM;DEF;MASC+FEM;SG
διασταύρωση	junction	διασταύρωση	junction	N;ACC;FEM;SG	N;NOM;INDF;NEUT;SG
διασταύρωση	korsning	διασταύρωση	korsning	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
τει	tei	ο	tei	N;NOM;NEUT;SG	PROPN;NOM
μαχητικά	fighters	μαχητικά	fight	ADV	N;NOM;INDF;MASC+FEM;PL
μαχητικά	jaktplan	μαχητικά	jaktplan	ADV	N;NOM;INDF;NEUT;SG
μαχητικά	boxare	μαχητικά	boxare	ADV	N;NOM;INDF;MASC+FEM;PL
αιχμάλωτος	fånge	αιχμάλωτος	fånge	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
αιχμάλωτος	fången	αιχμάλωτος	fång	ADJ;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
αιχμάλωτος	fångenskap	αιχμάλωτος	fångenskap	ADJ;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
αιχμάλωτος	fånge	αιχμάλωτος	fånge	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
αιχμάλωτος	tillfångatagna	αιχμάλωτος	tillfångatagen	ADJ;NOM;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
αιχμάλωτος	fångade	αιχμάλωτος	fånga	ADJ;NOM;MASC;SG	V;NOM;PL;PST;V.PTCP
αιχμάλωτος	tillfångatagen	αιχμάλωτος	tillfångatag	ADJ;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
συνομοσπονδίας	edsförbundet	συνομοσπονδία	edsförbund	N;GEN;FEM;SG	N;NOM;DEF;NEUT;SG
χίτσκοκ	hitchcock	χίτσκομαι	hitchcock		PROPN;NOM
αντίποινα	vedergällning	αντίποινο	vedergällning	N;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;SG
παραχώρηση	koncession	παραχώρηση	koncession	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
παραχώρηση	eftergift	παραχώρηση	eftergift	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
παραχώρηση	koncessionen	παραχώρηση	koncession	N;ACC;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ιδανικό	ideal	ιδανικός	ideal	ADJ;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
ιδανικό	idealiska	ιδανικός	idealisk	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
ιδανικό	ideala	ιδανικός	ideal	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
ενηλίκων	vuxen	ενήλικος	vuxen	N;GEN;NEUT;PL	N;NOM;INDF;MASC+FEM;SG
ενηλίκων	vuxna	ενήλικος	vuxen	N;GEN;NEUT;PL	ADJ;NOM;PL
ενηλίκων	vuxna	ενήλικος	vuxen	N;GEN;NEUT;PL	ADJ;NOM;PL
ύδατα	vatten	ύδωρ	vatten	N;NOM;NEUT;PL	N;NOM;INDF;NEUT;SG
ύδατα	waters	ύδωρ	pat	N;NOM;NEUT;PL	PROPN;NOM
αυστριακό	österrikiska	αυστριακός	österrikisk	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
αυστριακό	österrikare	αυστριακός	österrik	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
τέλεια	perfect	τέλεια	perfect	ADJ;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
τέλεια	perfekta	τέλεια	perfekta	ADJ;NOM;FEM;SG	ADJ;NOM;PL
τέλεια	jättebra	τέλεια	jättebra	ADJ;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
τέλεια	toppen	τέλεια	topp	ADJ;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
θαύμα	undrar	θαύμα	undra	N;NOM;NEUT;SG	V;IMP;FIN;ACT
θαύμα	undra	θαύμα	undra	N;NOM;NEUT;SG	V;IMP;FIN;ACT
ισότητα	jämlikhet	ισότητα	jämlikhet	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ισότητα	jämställdhet	ισότητα	jämställdhet	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ισότητα	lika	ισότητα	lika	N;ACC;FEM;SG	ADV
ισότητα	jämställda	ισότητα	jämställd	N;ACC;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
ισότητα	equal	ισότητα	equal	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ίκαρος	icarus	ίκαρος	icarus	PROPN;NOM;MASC;SG	PROPN;NOM
αλγερίας	algeriet	αλγερία	algeri	PROPN;GEN;FEM;SG	N;NOM;DEF;NEUT;SG
γκαλερί	gallerier	γκαλώ	gallerium	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
κολούμπια	columbia	κολούμπιος	columbia	PROPN;NOM;FEM;SG	PROPN;NOM
κολούμπια	colombia	κολούμπιος	colombia	PROPN;NOM;FEM;SG	PROPN;NOM
εγκεφαλικό	stroke	εγκεφαλικός	stroke	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
