yang	yang	yang	yang	PRO	
timur	timur	timur	timur	N;SG	
timur	østlig	timur	østlig	N;SG	ADJ;INDF;MASC+FEM;SG
timur	østlige	timur	østlig	N;SG	ADJ;PL
tempat	place	tempat	place	N;SG	
tempat	pladser	tempat	plads	N;SG	N;INDF;MASC+FEM;PL
tempat	steder	tempat	sted	N;SG	N;INDF;NEUT;PL
para	para	para	para	DET	
dua	dua	dua	dua	NUM	N;INDF;NEUT;SG
selatan	sydlige	selatan	sydlig	N;SG	ADJ;PL
selatan	sydpå	selatan	sydpå	N;SG	ADV
selatan	sydlige	selatan	sydlig	N;SG	ADJ;PL
amerika	amerikaner	amerika	amerikaner	PROPN;SG	N;INDF;MASC+FEM;SG
amerika	american	amerika	american	PROPN;SG	N;INDF;MASC+FEM;SG
amerika	amerikanske	amerika	amerikansk	PROPN;SG	ADJ;PL
amerika	amerikansk	amerika	amerikansk	PROPN;SG	ADJ;INDF;SG
amerika	america	amerika	america	PROPN;SG	
amerika	amerika	amerika	amerika	PROPN;SG	N;INDF;MASC+FEM;SG
amerika	usa	amerika	usa	PROPN;SG	PROPN
atas	øvre	atas	øvre	ADP;SG	ADJ
atas	øverste	atas	øvre	ADP;SG	ADJ;DEF;RL
atas	overdel	atas	overdel	ADP;SG	N;INDF;MASC+FEM;SG
kingdom	kongeriget	kingdom	kongerig	PROPN	N;DEF;NEUT;SG
kingdom	kongerige	kingdom	kongerig	PROPN	N;INDF;NEUT;SG
animalia	animalia	animalia	animalia	N	
filum	phylum	filum	phylum	N;SG	
mei	may	mei	may	PROPN;SG	
mei	maj	mei	maj	PROPN;SG	N;INDF;MASC+FEM;SG
mei	kan	mei	kunne	PROPN;SG	V;IND;PRS;FIN;ACT
mei	mei	mei	mei	PROPN;SG	
anak	anak	anak	anak	N;SG	
anak	børn	anak	barn	N;SG	N;INDF;NEUT;PL
anak	børns	anak	barn	N;SG	N;GEN;INDF;NEUT;PL
anak	child	anak	child	N;SG	
hidup	life	hidup	life	N;SG	
lagu	song	lagu	song	N;SG	
lagu	sange	lagu	sang	N;SG	N;INDF;MASC+FEM;PL
provinsi	provins	provinsi	provins	PROPN;SG	N;INDF;MASC+FEM;SG
provinsi	provinsen	provinsi	provins	PROPN;SG	N;DEF;MASC+FEM;SG
provinsi	provinser	provinsi	provins	PROPN;SG	N;INDF;MASC+FEM;PL
provinsi	provinserne	provinsi	provins	PROPN;SG	N;DEF;MASC+FEM;PL
provinsi	region	provinsi	region	PROPN;SG	N;INDF;MASC+FEM;SG
utara	nordpå	utara	nordpå	PROPN;SG	ADV
utara	nordlige	utara	nordlig	PROPN;SG	ADJ;PL
utara	north	utara	north	PROPN;SG	N;INDF;MASC+FEM;SG
utara	nord	utara	nord	PROPN;SG	N;INDF
utara	nordlige	utara	nordlig	PROPN;SG	ADJ;PL
utara	nordlig	utara	nordlig	PROPN;SG	ADJ;INDF;MASC+FEM;SG
jawa	java	jawa	java	PROPN;SG	N;INDF;MASC+FEM;SG
jawa	javanesiske	jawa	javanesisk	PROPN;SG	ADJ;PL
daerah	regionerne	daerah	region	N;SG	N;DEF;MASC+FEM;PL
daerah	regioner	daerah	region	N;SG	N;INDF;MASC+FEM;PL
daerah	områder	daerah	område	N;SG	N;INDF;NEUT;PL
sekolah	skoler	sekolah	skole	N;SG	N;INDF;MASC+FEM;PL
sekolah	skolerne	sekolah	skole	N;SG	N;DEF;MASC+FEM;PL
air	farvande	air	farvand	N;SG	N;INDF;NEUT;PL
air	vandområder	air	vandområde	N;SG	N;INDF;NEUT;PL
air	air	air	air	N;SG	
terletak	beliggende	terletak	beliggende	V;SG;PASS	ADJ
terletak	beliggende	terletak	beliggende	V;SG;PASS	ADJ
terletak	løgn	terletak	løgn	V;SG;PASS	N;INDF;MASC+FEM;SG
terletak	løgne	terletak	løgn	V;SG;PASS	N;INDF;MASC+FEM;PL
hari	dage	hari	dag	N;SG	N;INDF;MASC+FEM;PL
hingga	indtil	hingga	indtil	ADP	CONJ
sampai	indtil	sampai	indtil	ADP	CONJ
digunakan	brugte	digunakan	bruge	V;SG;PASS	V;IND;PST;FIN;ACT
kali	kali	kali	kali	N;SG	
kali	tidspunkter	kali	tidspunkt	N;SG	N;INDF;NEUT;PL
kali	gange	kali	gang	N;SG	N;INDF;MASC+FEM;PL
kali	tiderne	kali	tid	N;SG	N;DEF;MASC+FEM;PL
kali	tider	kali	tid	N;SG	N;INDF;MASC+FEM;PL
sama	sama	sama	sama	ADJ;SG	
sama	lige	sama	lige	ADJ;SG	ADV
sama	equal	sama	equal	ADJ;SG	
ketika	da	ketika	da	CONJ	ADV
ketika	hvornår	ketika	hvornår	CONJ	ADV
sangat	meget	sangat	meget	ADV	ADJ;INDF;SG
sangat	ekstremt	sangat	ekstremt	ADV	ADJ;INDF;SG
album	albummer	album	albumme	N;SG	N;INDF;NEUT;PL
hal	ting	hal	ting	N;SG	N;INDF;MASC+FEM;PL
hal	ting	hal	ting	N;SG	N;INDF;MASC+FEM;PL
hal	hal	hal	hal	N;SG	
hal	ting	hal	ting	N;SG	N;INDF;MASC+FEM;PL
hal	tingene	hal	ting	N;SG	N;DEF;MASC+FEM;PL
utc	utc	utc	utc	PROPN	N;INDF;MASC+FEM;SG
jepang	japan	jepang	japan	PROPN;SG	
jepang	japansk	jepang	japansk	PROPN;SG	ADJ;INDF;SG
jepang	japanerne	jepang	japaner	PROPN;SG	N;DEF;MASC+FEM;PL
jepang	japaner	jepang	japaner	PROPN;SG	N;INDF;MASC+FEM;SG
jepang	japanere	jepang	japanere	PROPN;SG	N;INDF;MASC+FEM;PL
jepang	japanske	jepang	japansk	PROPN;SG	ADJ;PL
panjang	længde	panjang	længde	ADJ;SG	N;INDF;MASC+FEM;SG
panjang	længden	panjang	længde	ADJ;SG	N;DEF;MASC+FEM;SG
panjang	lange	panjang	lang	ADJ;SG	ADJ;PL
panjang	længe	panjang	længe	ADJ;SG	ADV
anggota	medlemmer	anggota	medlem	N;SG	N;INDF;NEUT;PL
anggota	medlemmerne	anggota	medlem	N;SG	N;DEF;NEUT;PL
kedua	sekund	kedua	sekund	NUM	N;INDF;NEUT;SG
kedua	andet	kedua	anden	NUM	PRO;NEUT;SG
kedua	anden	kedua	anden	NUM	PRO;MASC+FEM;SG
tengah	central	tengah	central	PROPN;SG	N;INDF;MASC+FEM;SG
tengah	centralt	tengah	centralt	PROPN;SG	ADJ;INDF;NEUT;SG
tengah	centret	tengah	center	PROPN;SG	N;DEF;NEUT;SG
tengah	centrum	tengah	centrum	PROPN;SG	N;INDF;NEUT;SG
tengah	centre	tengah	centre	PROPN;SG	N;INDF;MASC+FEM;SG
tengah	center	tengah	center	PROPN;SG	N;INDF;NEUT;SG
tengah	centreret	tengah	centerere	PROPN;SG	V;INDF;SG;PST;V.PTCP
tengah	centreret	tengah	centerere	PROPN;SG	V;INDF;SG;PST;V.PTCP
tengah	midten	tengah	midte	PROPN;SG	N;DEF;MASC+FEM;SG
tengah	midterste	tengah	midter	PROPN;SG	ADJ;DEF;RL
tengah	mellemste	tengah	mellem	PROPN;SG	ADJ;DEF;RL
tengah	centrum	tengah	centrum	PROPN;SG	N;INDF;NEUT;SG
tengah	midtpunkt	tengah	midtpunkt	PROPN;SG	N;INDF;NEUT;SG
tengah	center	tengah	center	PROPN;SG	N;INDF;NEUT;SG
tengah	midten	tengah	midte	PROPN;SG	N;DEF;MASC+FEM;SG
tengah	centreret	tengah	centerere	PROPN;SG	V;INDF;SG;PST;V.PTCP
bisa	kan	bisa	kunne	ADV	V;IND;PRS;FIN;ACT
bisa	can	bisa	cinke	ADV	
team	holdet	team	hold	PROPN	N;DEF;NEUT;SG
team	hold	team	holde	PROPN	V;IMP
team	teamet	team	team	PROPN	N;DEF;NEUT;SG
team	team	team	team	PROPN	N;INDF;NEUT;SG
sejak	siden	sejak	siden	ADP	ADV
pula	pula	pula	pula	ADV	PROPN
lainnya	andre	lainnya	anden	N	PRO;PL
lainnya	andet	lainnya	anden	N	PRO;NEUT;SG
lainnya	andre	lainnya	anden	N	PRO;PL
lainnya	mere	lainnya	mere	N	ADV;CMPR
lainnya	flere	lainnya	mange	N	ADJ;CMPR;PL
menggunakan	brug	mengunakan	brug	V;SG;ACT	N;INDF;MASC+FEM;SG
menggunakan	anvendelse	mengunakan	anvendelse	V;SG;ACT	N;INDF;MASC+FEM;SG
menggunakan	anvendelser	mengunakan	anvendelse	V;SG;ACT	N;INDF;MASC+FEM;PL
raja	raja	raja	raja	PROPN;SG	
raja	konge	raja	konge	PROPN;SG	N;INDF;MASC+FEM;SG
raja	kongens	raja	konge	PROPN;SG	N;GEN;DEF;MASC+FEM;SG
raja	kong	raja	kong	PROPN;SG	
raja	kongen	raja	konge	PROPN;SG	N;DEF;MASC+FEM;SG
raja	king	raja	king	PROPN;SG	
bersama	gensidig	bersama	gensidig	ADP;SG;ACT	ADJ;INDF;MASC+FEM;SG
bersama	gensidigt	bersama	gensidigt	ADP;SG;ACT	ADV
bersama	gensidige	bersama	gensidig	ADP;SG;ACT	ADJ;PL
bersama	sammen	bersama	sammen	ADP;SG;ACT	ADV
serikat	union	serikat	union	PROPN;SG	N;INDF;MASC+FEM;SG
serikat	fagforening	serikat	fagforening	PROPN;SG	N;INDF;MASC+FEM;SG
serikat	fagforeningen	serikat	fagforening	PROPN;SG	N;DEF;MASC+FEM;SG
serikat	unionen	serikat	union	PROPN;SG	N;DEF;MASC+FEM;SG
inggris	englands	inggris	englands	PROPN;SG	N;GEN;INDF;MASC+FEM;SG
inggris	england	inggris	england	PROPN;SG	PROPN
inggris	englændere	inggris	englænder	PROPN;SG	N;INDF;MASC+FEM;PL
inggris	engelske	inggris	engelsk	PROPN;SG	ADJ;PL
inggris	engelsk	inggris	engelsk	PROPN;SG	ADJ;INDF;SG
inggris	english	inggris	english	PROPN;SG	
utama	vigtigste	utama	vigtig	ADJ;SG	ADJ;DEF;RL
utama	main	utama	main	ADJ;SG	
utama	primære	utama	primær	ADJ;SG	ADJ;PL
utama	primært	utama	primært	ADJ;SG	ADV
utama	primær	utama	primær	ADJ;SG	N;INDF;NEUT;SG
disebut	ringede	disebut	ringe	V;SG;PASS	V;IND;PST;FIN;ACT
disebut	kaldte	disebut	kalde	V;SG;PASS	V;IND;PST;FIN;ACT
disebut	henviste	disebut	henvise	V;SG;PASS	V;IND;PST;FIN;ACT
disebut	omhandlede	disebut	omhandle	V;SG;PASS	V;PL;PST;V.PTCP
kembali	retur	kembali	retur	V;SG;ACT	N;INDF;MASC+FEM;SG
kembali	afkast	kembali	afkast	V;SG;ACT	N;INDF;NEUT;SG
kembali	retur	kembali	retur	V;SG;ACT	N;INDF;MASC+FEM;SG
kembali	ryg	kembali	ryg	V;SG;ACT	N;INDF;MASC+FEM;SG
kembali	tilbage	kembali	tilbage	V;SG;ACT	ADV
menyebabkan	årsag	mensebabkan	årsag	V;SG;ACT	N;INDF;MASC+FEM;SG
menyebabkan	årsagen	mensebabkan	årsag	V;SG;ACT	N;DEF;MASC+FEM;SG
menyebabkan	årsager	mensebabkan	årsag	V;SG;ACT	N;INDF;MASC+FEM;PL
menyebabkan	årsagerne	mensebabkan	årsag	V;SG;ACT	N;DEF;MASC+FEM;PL
lihat	kig	lihat	kig	V;SG;ACT	N;INDF;NEUT;SG
lihat	vis	lihat	vis	V;SG;ACT	N;INDF;MASC+FEM;SG
lihat	udsigt	lihat	udsigt	V;SG;ACT	N;INDF;MASC+FEM;SG
tinggi	høje	tinggi	høj	ADJ;SG	ADJ;PL
tinggi	højere	tinggi	høj	ADJ;SG	ADJ;CMPR
tinggi	højden	tinggi	højde	ADJ;SG	N;DEF;MASC+FEM;SG
tinggi	højde	tinggi	højde	ADJ;SG	N;INDF;MASC+FEM;SG
jenis	venlig	jenis	venlig	N;SG	ADJ;INDF;MASC+FEM;SG
jenis	indtast	jenis	indtast	N;SG	V;IMP
jenis	skriv	jenis	skrive	N;SG	V;IMP
jenis	typerne	jenis	type	N;SG	N;DEF;MASC+FEM;PL
jenis	typer	jenis	type	N;SG	N;INDF;MASC+FEM;PL
bulan	moon	bulan	moon	N;SG	
bulan	måneder	bulan	måned	N;SG	N;INDF;MASC+FEM;PL
bulan	måneder	bulan	måned	N;SG	N;INDF;MASC+FEM;PL
departemen	afdelingerne	departemen	afdeling	N;SG	N;DEF;MASC+FEM;PL
departemen	departementer	departemen	departement	N;SG	N;INDF;NEUT;PL
departemen	afdelinger	departemen	afdeling	N;SG	N;INDF;MASC+FEM;PL
situs	sites	situs	sites	N;SG	N;INDF;MASC+FEM;PL
situs	lokaliteter	situs	lokalitet	N;SG	N;INDF;MASC+FEM;PL
dikenal	genkendte	dikenal	genkende	V;SG;PASS	V;IND;PST;FIN;ACT
dikenal	genkendte	dikenal	genkende	V;SG;PASS	V;IND;PST;FIN;ACT
dikenal	vidst	dikenal	vidst	V;SG;PASS	ADV
dikenal	kendte	dikenal	kende	V;SG;PASS	V;IND;PST;FIN;ACT
dikenal	kendt	dikenal	kendt	V;SG;PASS	ADJ;INDF;SG
sementara	midlertidig	sementara	midlertidig	CONJ	ADJ;INDF;MASC+FEM;SG
sementara	midlertidigt	sementara	midlertidigt	CONJ	ADV
sementara	midlertidig	sementara	midlertidig	CONJ	ADJ;INDF;MASC+FEM;SG
sementara	midlertidigt	sementara	midlertidigt	CONJ	ADV
mulai	start	mulai	start	V;SG;ACT	N;INDF;MASC+FEM;SG
mulai	start	mulai	start	V;SG;ACT	N;INDF;MASC+FEM;SG
resmi	officielt	resmi	officielt	ADJ;SG	ADV
resmi	embedsmand	resmi	embedsmand	ADJ;SG	N;INDF;MASC+FEM;SG
resmi	tjenestemand	resmi	tjenestemand	ADJ;SG	N;INDF;MASC+FEM;SG
resmi	godkendt	resmi	godkende	ADJ;SG	V;INDF;SG;PST;V.PTCP
resmi	autoriseret	resmi	autorisere	ADJ;SG	V;INDF;SG;PST;V.PTCP
resmi	bemyndiget	resmi	bemyndige	ADJ;SG	V;INDF;SG;PST;V.PTCP
resmi	tilladt	resmi	tillade	ADJ;SG	V;INDF;SG;PST;V.PTCP
sekitar	omkring	sekitar	omkring	ADP	ADV
sekitar	omkring	sekitar	omkring	ADP	ADV
sekitar	nærheden	sekitar	nærhed	ADP	N;DEF;MASC+FEM;SG
sekitar	nærliggende	sekitar	nærliggende	ADP	ADJ
udara	air	udara	air	N;SG	
melalui	gennem	melalui	gennem	ADP	ADV
melalui	gennem	melalui	gennem	ADP	ADV
melalui	igennem	melalui	igennem	ADP	ADV
nasional	nationale	nasional	national	ADJ;SG	ADJ;PL
nasional	nationalt	nasional	nationalt	ADJ;SG	ADV
nasional	national	nasional	national	ADJ;SG	
nasional	landsplan	nasional	landsplan	ADJ;SG	N;INDF;NEUT;SG
tetapi	men	tetapi	men	CONJ	CONJ
note	note	note	note	PROPN	N;INDF;MASC+FEM;SG
note	bemærk	note	bemærke	PROPN	V;IMP
perang	war	perang	war	N;SG	
perang	krige	perang	krig	N;SG	N;INDF;MASC+FEM;PL
perang	krigene	perang	krig	N;SG	N;DEF;MASC+FEM;PL
perang	krige	perang	krig	N;SG	N;INDF;MASC+FEM;PL
tentang	omkring	tentang	omkring	ADP;SG;ACT	ADV
pulau	øerne	pulau	øerne	N;SG	N;DEF;NEUT;PL
pulau	øer	pulau	øe	N;SG	N;INDF;NEUT;PL
rumah	hjem	rumah	hjem	N;SG	ADV
rumah	hjemme	rumah	hjemme	N;SG	ADV
rumah	hjemad	rumah	hjemad	N;SG	ADV
rumah	home	rumah	home	N;SG	
rumah	husene	rumah	hus	N;SG	N;DEF;NEUT;PL
rumah	huse	rumah	hus	N;SG	N;INDF;NEUT;PL
pendidikan	pædagogisk	pendidikan	pædagogisk	N;SG	ADV
pendidikan	uddannelsesmæssige	pendidikan	uddannelsesmæssig	N;SG	ADJ;PL
pendidikan	lærerigt	pendidikan	lærerig	N;SG	ADJ;INDF;NEUT;SG
laut	sea	laut	sea	N;SG	
laut	ocean	laut	ocean	N;SG	
tim	tim	tim	tim	N;SG	
tim	holdene	tim	holde	N;SG	N;DEF;MASC+FEM;PL
tim	hold	tim	holde	N;SG	V;IMP
tim	teams	tim	teams	N;SG	N;INDF;NEUT;PL
tim	hold	tim	holde	N;SG	V;IMP
sistem	systemerne	sistem	system	N;SG	N;DEF;NEUT;PL
sistem	systemer	sistem	system	N;SG	N;INDF;NEUT;PL
universitas	universiteter	universitas	universitet	PROPN;SG	N;INDF;MASC+FEM;PL
universitas	universiteterne	universitas	universitet	PROPN;SG	N;DEF;MASC+FEM;PL
universitas	university	universitas	university	PROPN;SG	N;INDF;MASC+FEM;SG
universitas	universitet	universitas	universitet	PROPN;SG	N;INDF;NEUT;SG
universitas	universitetet	universitas	universitet	PROPN;SG	N;DEF;NEUT;SG
komune	kollektiv	komune	kollektiv	N	ADJ;INDF;SG
termasuk	omfattet	termasuk	omfatte	V	N;DEF;NEUT;SG
semua	alle	semua	al	DET	ADJ;PL
semua	alt	semua	al	DET	ADJ;NEUT;SG
terhadap	imod	terhadap	imod	ADP	ADV
terhadap	mod	terhadap	mod	ADP	N;INDF;NEUT;SG
berbagai	forskellige	berbagai	forskellig	DET	ADJ;PL
seed	såsæd	seed	såsæd	PROPN	N;INDF;NEUT;SG
seed	frø	seed	frø	PROPN	N;INDF;NEUT;PL
seed	seed	seed	seed	PROPN	
selain	udover	selain	udover	ADP;SG	ADV
batang	stamceller	batang	stamcel	N;SG	N;INDF;MASC+FEM;PL
oktober	oktober	oktober	oktober	PROPN;SG	N;INDF;MASC+FEM;SG
sendiri	alene	sendiri	alene	ADJ;SG	ADV
sendiri	eje	sendiri	eje	ADJ;SG	V;NFIN;ACT
sendiri	egne	sendiri	egn	ADJ;SG	N;INDF;MASC+FEM;PL
red	rødt	red	rød	PROPN	ADJ;INDF;NEUT;SG
red	røde	red	rød	PROPN	ADJ;PL
red	rød	red	rød	PROPN	ADJ;INDF;MASC+FEM;SG
red	red	red	red	PROPN	
center	centrum	center	centrum	PROPN	N;INDF;NEUT;SG
center	midtpunkt	center	midtpunkt	PROPN	N;INDF;NEUT;SG
center	center	center	center	PROPN	N;INDF;NEUT;SG
center	midten	center	midte	PROPN	N;DEF;MASC+FEM;SG
center	centreret	center	centerere	PROPN	V;INDF;SG;PST;V.PTCP
matahari	sun	matahari	sun	N;SG	
masyarakat	society	masyarakat	society	N;SG	
masyarakat	samfundene	masyarakat	samfund	N;SG	N;DEF;NEUT;PL
pernah	ever	pernah	ever	ADV	
tiga	threes	tiga	thrie	NUM	V;NFIN;PASS
tiga	three	tiga	thre	NUM	
tiga	tiga	tiga	tiga	NUM	
musik	music	musik	music	N;SG	
musik	musikalske	musik	musikalsk	N;SG	ADJ;PL
musik	musikalsk	musik	musikalsk	N;SG	ADV
planet	planeterne	planet	planet	N;SG	N;DEF;MASC+FEM;PL
planet	planeter	planet	planet	N;SG	N;INDF;NEUT;PL
world	world	world	world	PROPN	
world	verden	world	verden	PROPN	N;INDF;MASC+FEM;SG
umum	generelt	umum	generel	ADJ;SG	ADV
umum	generelle	umum	generel	ADJ;SG	ADJ;PL
kerusakan	ødelæggelser	kerusakan	ødelæggelse	N;SG	N;INDF;MASC+FEM;PL
kerusakan	skader	kerusakan	skade	N;SG	N;INDF;MASC+FEM;PL
kerusakan	skader	kerusakan	skade	N;SG	N;INDF;MASC+FEM;PL
new	ny	new	ny	PROPN	ADJ;INDF;MASC+FEM;SG
new	nyt	new	ny	PROPN	ADJ;INDF;NEUT;SG
new	nye	new	ny	PROPN	ADJ;PL
diakses	tilgængeligt	diakses	tilgængeligt	V;SG;PASS	ADJ;INDF;NEUT;SG
diakses	tilgængelige	diakses	tilgængelig	V;SG;PASS	ADJ;PL
diakses	tilgængelig	diakses	tilgængelig	V;SG;PASS	ADJ;INDF;MASC+FEM;SG
belanda	nederlandene	belanda	nederland	PROPN;SG	N;DEF;NEUT;PL
belanda	holland	belanda	holland	PROPN;SG	
belanda	holland	belanda	holland	PROPN;SG	
