der	را	der	را	DET;NOM;DEF;MASC;SG	PART
man	انسان	man	انسان	PRO;NOM;INDF;SG	N;SG
man	مَرد	man	مَرد	PRO;NOM;INDF;SG	N;SG
man	مرد	man	مرد	PRO;NOM;INDF;SG	N;SG
vor	جبهه	vor	جبهه	ADP	N;SG
vor	جلو	vor	جلو	ADP	N;SG
vor	pre	vor	pre	ADP	N;SG
wurden	بودند	werden	بود	V;IND;PL;3;PST;FIN;PASS	V;PL;3;PST
sein	او	sein	او	DET;NOM;MASC;SG	PRO;SG;3
sein	sein	sein	sein	DET;NOM;MASC;SG	N;SG
diese	این	dies	این	PRO;NOM;FEM;SG	DET
diese	اینها	dies	این	PRO;NOM;FEM;SG	PRO;PL
diese	اینا	dies	اینا	PRO;NOM;FEM;SG	
vom	از	vom	از		ADP
vom	vom	vom	vom		N;SG
kann	می	können	می	V;IND;SG;3;PRS;FIN	
kann	مه	können	مه	V;IND;SG;3;PRS;FIN	N;SG
kann	تا	können	تا	V;IND;SG;3;PRS;FIN	ADP
seine	او	sein	او	DET;NOM;FEM;SG	PRO;SG;3
seine	its	sein	its	DET;NOM;FEM;SG	
seine	سن	sein	سن	DET;NOM;FEM;SG	N;SG
dieser	این	dies	این	PRO;NOM;MASC;SG	DET
zwei	دوتا	zwei	دوتا	NUM	N;SG
seiner	او	sein	او	DET;NOM;MASC;SG	PRO;SG;3
seiner	its	sein	its	DET;NOM;MASC;SG	
jahre	yrs	jahren	yrs	ADV	
jahre	قبرس	jahren	قبرس	ADV	N;SG
jahre	سال	jahren	سال	ADV	N;SG
jahre	سالهای	jahren	سال	ADV	N;PL
jahre	سالها	jahren	سال	ADV	N;PL
jahre	سال	jahren	سال	ADV	N;SG
mai	می	mai	می	PROPN;NOM;MASC;SG	
mai	مه	mai	مه	PROPN;NOM;MASC;SG	N;SG
mai	تا	mai	تا	PROPN;NOM;MASC;SG	ADP
mai	mai	mai	mai	PROPN;NOM;MASC;SG	N;SG
mai	مای	mai	ما	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	isbn	;SG	N;SG
was	چی	was	چه	PRO;NOM;NEUT;SG	ADV
was	چه	was	چه	PRO;NOM;NEUT;SG	CONJ
hatte	had	haben	had	V;IND;SG;3;PST;FIN	
zwischen	میانجی	zwischen	میانجی	ADP	N;SG
zwischen	واسطه	zwischen	واسطه	ADP	N;SG
zwischen	میانی	zwischen	None	ADP	N;SG
mehr	بیشتر	mehr	بیش	ADV	ADJ;CMPR
waren	کالاهای	sein	کالا	V;IND;PL;3;PST;FIN	N;PL
waren	کالا	sein	کالا	V;IND;PL;3;PST;FIN	N;SG
waren	اجناس	sein	اجناس	V;IND;PL;3;PST;FIN	N;PL
waren	کالاها	sein	کالا	V;IND;PL;3;PST;FIN	N;PL
waren	کالای	sein	کالا	V;IND;PL;3;PST;FIN	N;SG
waren	متاع	sein	متاع	V;IND;PL;3;PST;FIN	N;SG
waren	کالاها	sein	کالا	V;IND;PL;3;PST;FIN	N;PL
waren	بودند	sein	بود	V;IND;PL;3;PST;FIN	V;PL;3;PST
zeit	zeit	zeit	zeit	ADJ	N;SG
zeit	دوره	zeit	دوره	ADJ	N;SG
zeit	دورهای	zeit	دور	ADJ	N;PL
zeit	پریود	zeit	پریود	ADJ	N;SG
zeit	دورۀ	zeit	دورۀ	ADJ	N;SG
zeit	زمان	zeit	زمان	ADJ	N;SG
zeit	تایم	zeit	تایم	ADJ	N;SG
zeit	time	zeit	time	ADJ	
stadt	قریه	staden	قریه		N;SG
stadt	شهر	staden	شهر		N;SG
stadt	شهرک	staden	شهرک		N;SG
stadt	شهری	staden	شهر		N;SG
stadt	شهر	staden	شهر		N;SG
stadt	سیتی	staden	سیتی		N;SG
stadt	شهرها	staden	شهر		N;PL
wieder	عقب	wieder	عقب	ADV	N;SG
wieder	پشت	wieder	پشت	ADV	ADP
wieder	باز	wieder	باز	ADV	ADJ
wieder	برگشت	wieder	بر#گشت#گرد	ADV	V;SG;3;PST
gibt	جوار	geben	جوار	V;IND;SG;3;PRS;FIN	N;SG
deutscher	آلمان	deutsch	آلمان	ADJ	N;SG
deutscher	آلمانی	deutsch	آلمانی	ADJ	N;SG
deutscher	دویچر	deutsch	دویچر	ADJ	
deutscher	آلمانیا	deutsch	آلمانیا	ADJ	N;SG
deutscher	آلمانیها	deutsch	آلمانی	ADJ	N;PL
deutscher	آلمانها	deutsch	آلمان	ADJ	N;PL
jahren	yrs	jahren	yrs	ADJ	
jahren	قبرس	jahren	قبرس	ADJ	N;SG
jahren	سالهای	jahren	سال	ADJ	N;PL
jahren	سالها	jahren	سال	ADJ	N;PL
jahren	سال	jahren	سال	ADJ	N;SG
mal	زمانهای	mal	زمان	ADV	N;PL
mal	times	mal	times	ADV	
mal	دفعات	mal	دفعه	ADV	N;PL
mal	تایمز	mal	تایمز	ADV	N;SG
mal	مال	mal	مال	ADV	N;SG
ersten	ابتدا	erst	ابتدا	ADJ;NOM;PL	N;SG
jedoch	هرچند	jedoch	هرچند	ADV	CONJ
jedoch	ولی	jedoch	ولی	ADV	CONJ
jedoch	اما	jedoch	اما	ADV	CONJ
seed	بذر	seed	بذر		N;SG
seed	دانه	seed	دانه		N;SG
seed	نسل	seed	نسل		N;SG
siehe	see	sehen	see	V;IMP;SG;FIN	
siehe	دیدن	sehen	دیدن	V;IMP;SG;FIN	N;SG
etwa	درباره	etwa	درباره	ADV	ADP
etwa	دربارۀ	etwa	دربارۀ	ADV	ADP
deutschen	آلمان	deutsch	آلمان	ADJ	N;SG
deutschen	آلمانی	deutsch	آلمانی	ADJ	N;SG
deutschen	آلمانیا	deutsch	آلمانیا	ADJ	N;SG
deutschen	آلمانیها	deutsch	آلمانی	ADJ	N;PL
deutschen	آلمانها	deutsch	آلمان	ADJ	N;PL
teil	جزء	teil	جزء	ADV	N;SG
teil	قسمت	teil	قسمت	ADV	N;SG
teil	پارت	teil	پارت	ADV	N;SG
berlin	برلین	berlin	برلین	PROPN;NOM;NEUT;SG	N;SG
alle	همه	alle	همه	PRO;NOM;INDF;PL	PRO
alle	همه	alle	همه	PRO;NOM;INDF;PL	PRO
alle	همه	alle	همه	PRO;NOM;INDF;PL	PRO
alle	اله	alle	اله	PRO;NOM;INDF;PL	N;SG
ihre	its	ihr	its	DET;NOM;FEM;SG	
ihre	شما	ihr	شما	DET;NOM;FEM;SG	PRO;PL;2
ihre	او	ihr	او	DET;NOM;FEM;SG	PRO;SG;3
anderen	دیگر	ander	دیگر	ADJ;NOM;PL	ADV
anderen	غیره	ander	غیره	ADJ;NOM;PL	N;SG
anderen	دیگران	ander	دیگری	ADJ;NOM;PL	PRO
anderen	دیگر	ander	دیگر	ADJ;NOM;PL	ADV
später	بعدها	spät	بعد	ADJ	ADV
später	بعدا	spät	بعداً	ADJ	
später	بعداً	spät	بعداً	ADJ	ADV
jan	jan	jan	jan	PROPN;NOM;MASC;SG	N;SG
jan	یان	jan	یان	PROPN;NOM;MASC;SG	N;SG
mir	میر	ich	میر	PRO;DAT;SG;1	N;SG
mir	mir	ich	mir	PRO;DAT;SG;1	
seinen	او	sein	او	DET;ACC;MASC;SG	PRO;SG;3
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	
ihr	شما	ihr	شما	PRO;NOM;MASC;SG	PRO;PL;2
ihr	شما	ihr	شما	PRO;NOM;MASC;SG	PRO;PL;2
gemeinde	شهرهای	gemeinde	شهر	N;NOM;FEM;SG	N;PL
gemeinde	دهستانهای	gemeinde	دهستان	N;NOM;FEM;SG	N;PL
seinem	او	sein	او	DET;DAT;MASC;SG	PRO;SG;3
erste	ابتدا	erst	ابتدا	ADJ;NOM;FEM;PL	N;SG
liegt	دروغ	liegen	دروغ	V;IND;SG;3;PRS;FIN	ADJ
august	آگوست	augusten	آگوست	PROPN;NOM;MASC;SG	N;SG
august	آگست	augusten	آگست	PROPN;NOM;MASC;SG	N;SG
august	اوت	augusten	اوت	PROPN;NOM;MASC;SG	N;SG
august	اوت	augusten	اوت	PROPN;NOM;MASC;SG	N;SG
august	aug	augusten	aug	PROPN;NOM;MASC;SG	N;SG
august	آگوستوس	augusten	آگوستوس	PROPN;NOM;MASC;SG	N;SG
ohne	بى	ohne	بى	ADP	
deutschland	آلمان	deutschland	آلمان	PROPN;NOM	N;SG
märz	مارس	märz	مارس	PROPN;NOM;MASC;SG	N;SG
märz	پیشروی	märz	پیشروی	PROPN;NOM;MASC;SG	N;SG
märz	راهپیمایی	märz	راهپیمایی	PROPN;NOM;MASC;SG	N;SG
aug	اوت	augen	اوت		N;SG
aug	aug	augen	aug		N;SG
deutsche	آلمان	deutsch	آلمان	ADJ;NOM;FEM;PL	N;SG
deutsche	آلمانی	deutsch	آلمانی	ADJ;NOM;FEM;PL	N;SG
deutsche	دویچه	deutsch	دویچه	ADJ;NOM;FEM;PL	N;SG
deutsche	آلمانیا	deutsch	آلمانیا	ADJ;NOM;FEM;PL	N;SG
deutsche	آلمانیها	deutsch	آلمانی	ADJ;NOM;FEM;PL	N;PL
deutsche	آلمانها	deutsch	آلمان	ADJ;NOM;FEM;PL	N;PL
band	b	binden	b		INTJ
band	بند	binden	بند		N;SG
band	گروه	binden	گروه		N;SG
band	نوار	binden	None		N;SG
band	نواری	binden	نواری		N;SG
band	روبان	binden	روبان		N;SG
januar	ژانویه	januar	ژانویه	PROPN;NOM;MASC;SG	N;SG
januar	januar	januar	None	PROPN;NOM;MASC;SG	
doch	ولی	doch	ولی	ADV	CONJ
doch	اما	doch	اما	ADV	CONJ
oktober	اکتبر	oktober	اکتبر	PROPN;NOM;SG	N;SG
oktober	october	oktober	None	PROPN;NOM;SG	N;SG
immer	always	immer	always	ADV	
nov	نوامبر	nov	نوامبر		N;SG
wikipedia	ویکیپدیا	wikipedia	ویکیپدیا		N;SG
wikipedia	ویکیپدیای	wikipedia	ویکیپدیا		N;SG
jun	jun	jun	jun		N;SG
jun	ژون	jun	ژون		N;SG
kirche	کلیساها	kirche	کلیسا		N;PL
kirche	کلیساهای	kirche	کلیسا		N;PL
kirche	کلیسا	kirche	None		N;SG
kirche	چرچ	kirche	چرچ		N;SG
kirche	کلیسای	kirche	None		N;SG
juni	jun	juni	jun	PROPN;NOM;MASC;SG	N;SG
juni	ژون	juni	ژون	PROPN;NOM;MASC;SG	N;SG
juni	ژوئن	juni	None	PROPN;NOM;MASC;SG	N;SG
juni	june	juni	june	PROPN;NOM;MASC;SG	
konnte	میتوانست	können	توانست#توان	V;IND;SG;3;PST;FIN	V;SG;3;PST
april	apr	april	apr	PROPN;NOM;MASC;SG	N;SG
april	آوریل	april	None	PROPN;NOM;MASC;SG	N;SG
april	اپریل	april	اپریل	PROPN;NOM;MASC;SG	N;SG
april	آوریل	april	None	PROPN;NOM;MASC;SG	N;SG
september	september	september	september	PROPN;SG	N;SG
september	سپتامبر	september	سپتامبر	PROPN;SG	N;SG
september	اسپ	september	اسپ	PROPN;SG	N;SG
september	sep	september	sep	PROPN;SG	N;SG
selbst	حتى	selbst	حتى	ADV	
selbst	وحتی	selbst	وحتی	ADV	CONJ
selbst	نفس	selbst	نفس	ADV	N;SG
selbst	بخود	selbst	خود	ADV	
selbst	خودم	selbst	None	ADV	
selbst	خودت	selbst	None	ADV	
weitere	دیگر	weit	دیگر	ADJ;NOM;FEM;PL	ADV
juli	ژوئیه	juli	ژوئیه	PROPN;NOM;MASC;SG	N;SG
juli	جولای	juli	جولا	PROPN;NOM;MASC;SG	N;SG
andere	دیگر	ander	دیگر	ADJ;NOM;FEM;PL	ADV
andere	غیره	ander	غیره	ADJ;NOM;FEM;PL	N;SG
andere	دیگران	ander	دیگری	ADJ;NOM;FEM;PL	PRO
andere	دیگر	ander	دیگر	ADJ;NOM;FEM;PL	ADV
feb	فوریه	feb	فوریه		N;SG
geschichte	داستان	geschicht	داستان		N;SG
geschichte	داستانی	geschicht	داستان		N;SG
geschichte	قصه	geschicht	None		N;SG
geschichte	تاریخچه	geschicht	تاریخچه		N;SG
geschichte	تاریخ	geschicht	تاریخ		N;SG
verlag	انتشارات	verliegen	انتشار	N;NOM;MASC;SG	N;PL
apr	apr	apr	apr		N;SG
apr	آوریل	apr	None		N;SG
jpg	jpg	jpg	jpg		N;SG
dezember	دسامبر	dezember	دسامبر	PROPN;NOM;MASC;SG	N;SG
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	N;SG
dezember	دکلان	dezember	دکل	PROPN;NOM;MASC;SG	N;SG
dez	dec	dez	dec		N;SG
dez	دکلان	dez	دکل		N;SG
universität	دانشگاه	universität	دانشگاه	ADJ	N;SG
universität	qom	universität	qom	ADJ	N;SG
platz	پلازا	platz	پلاز	ADV	N;SG
platz	مربع	platz	مربع	ADV	N;SG
platz	میدان	platz	میدان	ADV	N;SG
platz	محل	platz	محل	ADV	N;SG
platz	مکانی	platz	مکان	ADV	N;SG
platz	مکان	platz	مکان	ADV	N;SG
platz	جای	platz	جا	ADV	N;SG
platz	جایی	platz	جا	ADV	N;SG
platz	پلاتز	platz	پلاتز	ADV	N;SG
platz	فضای	platz	فضا	ADV	N;SG
platz	فضا	platz	فضا	ADV	N;SG
platz	فضایی	platz	فضا	ADV	N;SG
platz	فاصله	platz	فاصله	ADV	N;SG
ihrer	شما	ihr	شما	DET;NOM;MASC;SG	PRO;PL;2
steht	حایل	stehen	حا	V;IND;SG;3;PRS;FIN	N;SG
sep	اسپ	sepen	اسپ		N;SG
sep	sep	sepen	sep		N;SG
november	نوامبر	november	نوامبر	PROPN	N;SG
november	نوامبر	november	نوامبر	PROPN	N;SG
kam	کام	kommen	کام	V;IND;SG;3;PST;FIN	N;SG
kam	کم	kommen	کم	V;IND;SG;3;PST;FIN	ADJ
wir	wir	wir	wir	PRO;NOM;PL;1	N;SG
jahrhundert	jahrhundert	jahrhundert	jahrhundert	ADJ	N;SG
jahrhundert	قرن	jahrhundert	قرن	ADJ	N;SG
jahrhundert	قرنه	jahrhundert	قرنه	ADJ	N;SG
jahrhundert	سده	jahrhundert	سده	ADJ	N;SG
beiden	هردو	beide	هردو	PRO;NOM;INDF;PL	
beiden	دوتا	beide	دوتا	PRO;NOM;INDF;PL	N;SG
beiden	دو	beide	دو	PRO;NOM;INDF;PL	NUM
zweiten	ثانیه	zweit	ثانیه	ADJ;NOM;MASC;PL	N;SG
seite	کنار	seit	کنار	N	ADP
februar	فوریه	februaer	فوریه	PROPN;NOM;SG	N;SG
februar	فوریه	februaer	فوریه	PROPN;NOM;SG	N;SG
mich	خودم	ich	None	PRO;ACC;SG;1	
mich	میچ	ich	میچ	PRO;ACC;SG;1	N;SG
mich	mich	ich	mich	PRO;ACC;SG;1	N;SG
allerdings	هرچند	allerdings	هرچند	ADV	CONJ
allerdings	ولی	allerdings	ولی	ADV	CONJ
allerdings	اما	allerdings	اما	ADV	CONJ
allerdings	هرچند	allerdings	هرچند	ADV	CONJ
allerdings	اگرچه	allerdings	اگرچه	ADV	CONJ
allerdings	گرچه	allerdings	گرچه	ADV	CONJ
film	فیلمی	falmen	فیلم		N;SG
film	فیلم	falmen	فیلم		N;SG
film	سینمایی	falmen	سینمایی		ADJ
film	فیلم	falmen	فیلم		N;SG
neue	تازه	neu	تازه	ADJ;NOM;FEM;PL	ADV
neue	نیو	neu	نیو	ADJ;NOM;FEM;PL	N;SG
neue	نویه	neu	نویه	ADJ;NOM;FEM;PL	N;SG
leben	living	leben	None	V;NFIN	N;SG
leben	وزندگی	leben	وزندگی	V;NFIN	N;SG
leben	زندگی	leben	زندگی	V;NFIN	N;SG
leben	زندگى	leben	زندگى	V;NFIN	N;SG
leben	زندگی	leben	زندگی	V;NFIN	N;SG
leben	استایل	leben	استایل	V;NFIN	N;SG
leben	leben	leben	leben	V;NFIN	N;SG
namen	نام	name	نام		N;SG
namen	نامها	name	نامه		N;PL
namen	نامهای	name	نامه		N;PL
weil	پسرعمو	weil	پسرعمو	CONJ	N;SG
weil	weil	weil	weil	CONJ	N;SG
bitte	pls	bitte	pls		N;SG
bitte	plz	bitte	plz		INTJ
einige	بعضیها	einige	بعضی	PRO;NOM;INDF;PL	N;PL
mitglied	عضو	mitglied	عضو	ADJ	N;SG
mitglied	عضوی	mitglied	عضو	ADJ	N;SG
wegen	چون	wegen	چون	ADP	CONJ
viele	قرعه	viel	قرعه	ADJ;NOM;INDF;PL	N;SG
viele	بسیار	viel	بسیار	ADJ;NOM;INDF;PL	ADV
text	متن	Text	متن		N;SG
text	شعر	Text	شعر		N;SG
text	شعرای	Text	شاعر		N;PL
ebenfalls	همچنین	ebenfalls	همچنین	ADV	CONJ
ebenfalls	همچنین	ebenfalls	همچنین	ADV	CONJ
ebenfalls	همچنین	ebenfalls	همچنین	ADV	CONJ
münchen	مونیخ	münchen	مونیخ	PROPN;NOM;NEUT;SG	N;SG
löschen	روشن	löschen	روشن	V;NFIN	ADJ
löschen	حذف	löschen	حذف	V;NFIN	N;SG
löschen	حذف	löschen	حذف	V;NFIN	N;SG
bekannt	دانسته	bekennen	دانست#دان	ADJ	V;SG;3;V.PTCP
zurück	بازگشت	zurück	بازگشت	ADV	N;SG
zurück	عقب	zurück	عقب	ADV	N;SG
zurück	پشت	zurück	پشت	ADV	ADP
zurück	باز	zurück	باز	ADV	ADJ
zurück	برگشت	zurück	بر#گشت#گرد	ADV	V;SG;3;PST
friedrich	فردریش	friedrich	فردریش	PROPN;NOM;SG	N;SG
friedrich	فریدریش	friedrich	فریدریش	PROPN;NOM;SG	N;SG
friedrich	فردریک	friedrich	فردریک	PROPN;NOM;SG	N;SG
friedrich	فریدریش	friedrich	فریدریش	PROPN;NOM;SG	N;SG
neuen	تازه	neu	تازه	ADJ;ACC;MASC;SG	ADV
neuen	نیو	neu	نیو	ADJ;ACC;MASC;SG	N;SG
art	مهربان	art	مهربان	N;NOM;FEM;SG	ADJ
stand	بوث	stehen	بوث	V;IND;SG;3;PST;FIN	N;SG
stand	بوت	stehen	بوت	V;IND;SG;3;PST;FIN	N;SG
stand	باجه	stehen	باجه	V;IND;SG;3;PST;FIN	N;SG
stand	غرفه	stehen	غرفه	V;IND;SG;3;PST;FIN	N;SG
stand	استند	stehen	است	V;IND;SG;3;PST;FIN	N;SG
stand	ایستادن	stehen	None	V;IND;SG;3;PST;FIN	N;SG
diesen	اینها	dies	این	PRO;ACC;MASC;SG	PRO;PL
diesen	اینا	dies	اینا	PRO;ACC;MASC;SG	
würde	شأن	werden	شأن	V;SBJV;SG;3;PST;FIN	N;SG
würde	بزرگواری	werden	بزرگواری	V;SBJV;SG;3;PST;FIN	N;SG
würde	وقار	werden	وقار	V;SBJV;SG;3;PST;FIN	N;SG
politiker	سیاست	politik	سیاست	ADJ	N;SG
politiker	سیاستمداران	politik	سیاستمدار	ADJ	N;PL
politiker	سیاستمدار	politik	سیاستمدار	ADJ	N;SG
personen	پکس	Person	پکس	N;NOM;FEM;PL	N;SG
personen	مردم	Person	مردم	N;NOM;FEM;PL	N;SG
titel	جزر	titel	None		N;SG
titel	عناوین	titel	عناوین		N;PL
karl	شارل	karlen	شارل	PROPN;NOM;MASC;SG	N;SG
karl	چارلز	karlen	چارلز	PROPN;NOM;MASC;SG	N;SG
gut	خوبی	gut	خوبی	ADJ	N;SG
gut	good	gut	good	ADJ	
gut	خوب	gut	خوب	ADJ	ADV
gut	خوبش	gut	خوبش	ADJ	
gut	خب	gut	خب	ADJ	ADV
gut	خوب	gut	خوب	ADJ	ADV
weiter	ادامه	weiter	ادامه	ADV	N;SG
weiter	ادامه	weiter	ادامه	ADV	N;SG
behalten	نگهداشتن	behalten	نگهداشتن	V;NFIN	N;SG
behalten	نگهداری	behalten	نگهداری	V;NFIN	N;SG
außerdem	همچنین	außerdem	همچنین	ADV	CONJ
hans	هانس	hans	هانس	PROPN;NOM;MASC;SG	N;SG
johann	یوهان	johann	یوهان	PROPN;NOM;MASC;SG	N;SG
johann	جان	johann	جان	PROPN;NOM;MASC;SG	N;SG
johann	یوحنا	johann	یوحنا	PROPN;NOM;MASC;SG	N;SG
großen	بیگ	groß	بیگ	ADJ;PL	N;SG
großen	b	groß	b	ADJ;PL	N;SG
großen	بزرگی	groß	بزرگی	ADJ;PL	N;SG
großen	ماژور	groß	ماژور	ADJ;PL	N;SG
großen	سرگرد	groß	سرگرد	ADJ;PL	N;SG
bild	عکسه	bild	عکسه		N;SG
bild	عکس	bild	عکس		N;SG
bild	تصویر	bild	تصویر		N;SG
bild	نگاره	bild	نگاره		N;SG
bild	عکس	bild	عکس		N;SG
wien	وین	weinen	وین		N;SG
wien	وینا	weinen	وینا		N;SG
große	بیگ	groß	بیگ	ADJ;NOM;FEM;PL	N;SG
große	b	groß	b	ADJ;NOM;FEM;PL	N;SG
große	بزرگی	groß	بزرگی	ADJ;NOM;FEM;PL	N;SG
große	عالیه	groß	عالیه	ADJ;NOM;FEM;PL	N;SG
denn	چون	denn	چون	CONJ	CONJ
peter	پتر	peter	پتر	PROPN;NOM;MASC;SG	N;SG
peter	پیتر	peter	پیتر	PROPN;NOM;MASC;SG	N;SG
peter	پطرس	peter	پطرس	PROPN;NOM;MASC;SG	N;SG
kommt	بیا	kommen	آمد#آ	V;IND;SG;3;PRS;FIN	V;IMP;SG;2
kommt	بیاید	kommen	آمد#آ	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS
kommt	آید	kommen	آمد#آ	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS
kommt	میاد	kommen	میاد	V;IND;SG;3;PRS;FIN	V;SG;2;PRS
kommt	آمدن	kommen	آمدن	V;IND;SG;3;PRS;FIN	N;SG
menschen	بشر	menschen	بشر	N;NOM;PL	N;SG
menschen	انسان	menschen	انسان	N;NOM;PL	N;SG
menschen	انسانی	menschen	انسانی	N;NOM;PL	N;SG
menschen	بشر	menschen	بشر	N;NOM;PL	N;SG
menschen	مردم	menschen	مردم	N;NOM;PL	N;SG
aufgrund	سررسید	aufgrund	سررسید	ADP	N;SG
jahrhunderts	jahrhunderts	jahrhundert	jahrhunderts	ADV	N;SG
jahrhunderts	قرن	jahrhundert	قرن	ADV	N;SG
jahrhunderts	قرنه	jahrhundert	قرنه	ADV	N;SG
jahrhunderts	سده	jahrhundert	سده	ADV	N;SG
fall	پرونده	fall	پرونده	ADV	N;SG
fall	کیس	fall	کیس	ADV	N;SG
fall	مورد	fall	مورد	ADV	N;SG
fall	سقوط	fall	سقوط	ADV	N;SG
fall	پاییز	fall	پاییز	ADV	N;SG
fall	fall	fall	fall	ADV	N;SG
fall	افتادن	fall	افتادن	ADV	N;SG
wilhelm	ویلیام	wilhelm	ویلیام	PROPN;NOM;MASC;SG	N;SG
wilhelm	ویلهلم	wilhelm	ویلهلم	PROPN;NOM;MASC;SG	N;SG
englisch	انگلیسی	englisch	انگلیسی	ADJ	N;SG
englisch	english	englisch	english	ADJ	N;SG
fünf	فایو	fünf	فایو	NUM	N;SG
welche	چی	welch	چه	PRO;NOM;SG	ADV
welche	چه	welch	چه	PRO;NOM;SG	CONJ
welche	کدام	welch	کدام	PRO;NOM;SG	N;SG
mehrere	چندین	mehrere	چندین	PRO;NOM;INDF;PL	ADJ
mehrere	چندگانه	mehrere	چندگانه	PRO;NOM;INDF;PL	ADJ
mehrere	چندین	mehrere	چندین	PRO;NOM;INDF;PL	ADJ
meter	متر	meter	متر	ADV	N;SG
meter	متری	meter	متری	ADV	N;SG
