berkeley	berkeley	berkeley	berkeley	PROPN	PROPN
ruas	câmpurile	ruas	câmp	N;SG	N;DEF;FEM;PL
taksi	taxiurile	taksi	taxiu	N;SG	N;DEF;FEM;PL
taksi	taxiuri	taksi	taxiu	N;SG	N;INDF;FEM;PL
taksi	taxiurile	taksi	taxiu	N;SG	N;DEF;FEM;PL
taksi	taxiuri	taksi	taxiu	N;SG	N;INDF;FEM;PL
wabah	epidemii	wabah	epidemie	N;SG	N;INDF;FEM;PL
financial	financiară	financial	financiar	N	ADJ;INDF;FEM;SG
financial	financiar	financial	financiar	N	ADV
financial	financiara	financial	financiară	N	ADJ;DEF;FEM;SG
financial	financiare	financial	financiar	N	ADJ;INDF;FEM;PL
bala	bala	bala	bală	N;SG	PROPN
lilin	ceară	lilin	cere	N;SG	V;SBJV;3;PRS;FIN
lilin	lumânările	lilin	lumânare	N;SG	N;DEF;FEM;PL
lilin	lumânări	lilin	lumânare	N;SG	N;INDF;FEM;PL
wolf	lup	wolf	lup	PROPN	N;INDF;MASC;SG
wolf	wolf	wolf	wolf	PROPN	PROPN
wolf	lupul	wolf	lup	PROPN	N;DEF;MASC;SG
rwy	rwy	rwy	rwy	PROPN	
harrison	harrison	harrison	harrison	PROPN	PROPN
menyerbu	invadatoare	menserbu	invadator	V;SG;ACT	
menyerbu	invadată	menserbu	invadată	V;SG;ACT	ADJ;INDF;FEM;SG
menyerbu	invadat	menserbu	invada	V;SG;ACT	ADJ;INDF;MASC;SG
teritorial	teritorială	teritorial	teritorial	N;SG	ADJ;INDF;FEM;SG
teritorial	teritoriale	teritorial	teritorial	N;SG	ADJ;INDF;FEM;PL
teritorial	teritorial	teritorial	teritorial	N;SG	ADV
angola	angola	angola	angola	PROPN	PROPN
tanzania	tanzania	tanzania	tanzanie	PROPN	N;DEF;FEM;SG
mind	minte	mind	minte	PROPN	N;INDF;FEM;SG
mind	mintea	mind	minte	PROPN	N;DEF;FEM;SG
duke	duce	duke	duce	PROPN	V;IND;SG;3;PRS;FIN
duke	ducele	duke	duce	PROPN	N;DEF;MASC;SG
duke	duke	duke	duke	PROPN	PROPN
grammy	grammy	grammy	grammy	PROPN	N;INDF;MASC;SG
akademisi	academicieni	akademisi	academician	N;SG	N;INDF;MASC;PL
akademisi	academic	akademisi	academic	N;SG	ADJ;INDF;MASC;SG
akademisi	academică	akademisi	academic	N;SG	ADJ;INDF;FEM;SG
akademisi	academice	akademisi	academic	N;SG	ADJ;INDF;FEM;PL
yosua	joshua	yosua	joshua	PROPN	PROPN
dibuktikan	dovedite	dibuktikan	dovedi	V;SG;PASS	ADJ;INDF;FEM;PL
dibuktikan	dovedită	dibuktikan	dovedit	V;SG;PASS	ADJ;INDF;FEM;SG
dibuktikan	demonstrate	dibuktikan	demonstrat	V;SG;PASS	ADJ;INDF;FEM;PL
dibuktikan	dovedit	dibuktikan	dovedi	V;SG;PASS	ADJ;INDF;MASC;SG
dibuktikan	demonstrat	dibuktikan	demonstra	V;SG;PASS	ADJ;INDF;MASC;SG
dibuktikan	atestat	dibuktikan	atestat	V;SG;PASS	ADJ;INDF;MASC;SG
evolution	evolutia	evolution	evolutie	PROPN	N;DEF;FEM;SG
evolution	evoluție	evolution	evoluție	PROPN	N;INDF;FEM;SG
evolution	evoluția	evolution	evoluție	PROPN	N;DEF;FEM;SG
evolution	evoluţia	evolution	evolugie	PROPN	N;DEF;FEM;SG
patroli	patrulele	patroli	patrulă	N;SG	N;DEF;FEM;PL
patroli	patrule	patroli	patrulă	N;SG	N;INDF;FEM;PL
eyes	ochii	eyes	ochi	PROPN	N;DEF;MASC;PL
eyes	ochi	eyes	ochi	PROPN	N;INDF;MASC
joan	joan	joan	joan	PROPN	PROPN
joan	ioana	joan	ioană	PROPN	N;DEF;FEM;SG
screen	ecran	screen	ecran	PROPN	N;INDF;MASC;SG
screen	ecranul	screen	ecran	PROPN	N;DEF;MASC;SG
tbs	tbs	tbs	tbs	PROPN	N;INDF;MASC;SG
vosges	vosges	vosges	vosges	PROPN	N;INDF;MASC;SG
maurice	maurice	maurice	mauric	PROPN	N;INDF;MASC;SG
ukm	imm	ukm	imm	PROPN	N;INDF;MASC;SG
ukm	smb	ukm	smb	PROPN	N;INDF;MASC
plasma	plasmatice	plasma	plasmatic	N	ADJ;INDF;FEM;PL
seat	scaun	seat	scaun	PROPN	N;INDF;MASC;SG
fauna	fauna	fauna	faună	PROPN	N;DEF;FEM;SG
volkswagen	volkswagen	volkswagen	volkswagen	N	PROPN
leon	leon	leon	leon	PROPN	N;INDF;MASC;SG
six	sase	six	sas	PROPN	
six	six	six	six	PROPN	N;INDF;MASC;SG
six	şase	six	şase	PROPN	NUM;PL
six	șase	six	șase	PROPN	NUM;PL
emma	emma	emma	emma	PROPN	PROPN
tertangkap	prinsă	tertangkap	prinde	V;SG;PASS	ADJ;INDF;FEM;SG
tertangkap	prins	tertangkap	prinde	V;SG;PASS	ADJ;INDF;MASC;SG
tertangkap	capturat	tertangkap	capturat	V;SG;PASS	ADJ;INDF;MASC;SG
tertangkap	capturată	tertangkap	captura	V;SG;PASS	ADJ;INDF;FEM;SG
tertangkap	capturate	tertangkap	captura	V;SG;PASS	ADJ;INDF;FEM;PL
pelaut	marinari	penlaut	marinar	N;SG	N;INDF;MASC;PL
pelaut	marinarii	penlaut	marinar	N;SG	N;DEF;MASC;PL
pelaut	marinari	penlaut	marinar	N;SG	N;INDF;MASC;PL
pelaut	marinarii	penlaut	marinar	N;SG	N;DEF;MASC;PL
pelaut	marinarilor	penlaut	marinar	N;SG	N;DEF;MASC;PL
utang	datoriile	utang	datorie	N;SG	N;DEF;FEM;PL
utang	datorii	utang	dator	N;SG	N;INDF;FEM;PL
utang	datorii	utang	dator	N;SG	N;INDF;FEM;PL
wordpress	wordpress	wordpress	wordpress	PROPN	PROPN
montenegro	muntenegru	montenegro	muntenegru	PROPN	PROPN
montenegro	muntenegrul	montenegro	muntenegru	PROPN	N;DEF;MASC;SG
montenegro	muntenegrean	montenegro	muntenegrean	PROPN	ADV
pecinta	iubitori	pecinta	iubitor	N;SG	ADJ;INDF;MASC;PL
pecinta	iubiți	pecinta	iubi	N;SG	V;IND;PL;2;IPFV;FIN
tayangan	impresii	tayangan	impresie	N;SG	N;INDF;FEM;PL
tayangan	vizualizări	tayangan	vizualizare	N;SG	N;INDF;FEM;PL
tayangan	păreri	tayangan	părere	N;SG	N;INDF;FEM;PL
commons	commons	commons	commons	PROPN	N;INDF;MASC;SG
menyelidiki	sondare	menselidiki	sondare	V;SG;ACT	N;INDF;FEM;SG
menyelidiki	investigarea	menselidiki	investigare	V;SG;ACT	N;DEF;FEM;SG
diperhatikan	remarcat	diperhatikan	remarca	V;SG;PASS	ADJ;INDF;MASC;SG
diperhatikan	observat	diperhatikan	observa	V;SG;PASS	ADJ;INDF;MASC;SG
sandy	sandy	sandy	sandy	PROPN	PROPN
mangga	mango	mangga	mango	N	ADJ
mangga	mango	mangga	mango	N	ADJ
diana	diana	diana	diană	PROPN	N;DEF;FEM;SG
tai	tai	tai	tăia	PROPN	
engineer	inginer	engineer	inginer	PROPN	N;INDF;MASC;SG
banding	recurs	banding	recurs	PROPN;SG;ACT	N;INDF;MASC;SG
banding	apel	banding	apel	PROPN;SG;ACT	N;INDF;MASC;SG
idris	idris	idris	idris		N;INDF;MASC;SG
newcastle	newcastle	newcastle	newcastlu	PROPN	PROPN
bir	beri	bir	beri	N;SG	N;INDF;FEM;PL
bir	berile	bir	beră	N;SG	N;DEF;FEM;PL
rusa	moose	rusa	moos	N	PROPN
redaksi	editorul	redaksi	editor	PROPN	N;DEF;MASC;SG
redaksi	redactor	redaksi	redactor	PROPN	N;INDF;MASC;SG
redaksi	editor	redaksi	editor	PROPN	N;INDF;MASC;SG
redaksi	editorial	redaksi	editorial	PROPN	N;INDF;MASC;SG
redaksi	editorialul	redaksi	editorial	PROPN	N;DEF;MASC;SG
redaksi	editorii	redaksi	editoare	PROPN	N;DEF;MASC;PL
redaksi	editori	redaksi	editor	PROPN	N;INDF;MASC;PL
cooper	cooper	cooper	cooper	PROPN	N;INDF;MASC;SG
bahu	umeri	bahu	umăr	N;SG	N;INDF;MASC;PL
bahu	umerii	bahu	umăr	N;SG	N;DEF;MASC;PL
berlari	ran	berlari	ran	V;SG;ACT	N;INDF;MASC;SG
berlari	rularea	berlari	rulare	V;SG;ACT	N;DEF;FEM;SG
residen	rezidente	residen	rezidentă	N	ADJ;INDF;FEM;PL
anggrek	orhidee	anggrek	orhidee	N;SG	N;INDF;FEM;PL
anggrek	orhidee	anggrek	orhidee	N;SG	N;INDF;FEM;PL
berinteraksi	logodit	berinteraksi	logodi	V;SG;ACT	ADJ;INDF;MASC;SG
berinteraksi	logodită	berinteraksi	logodit	V;SG;ACT	ADJ;INDF;FEM;SG
diteruskan	înaintat	diteruskan	înainta	V;SG;PASS	ADJ;INDF;MASC;SG
arwah	spirite	arwah	spirit	N;SG	N;INDF;FEM;PL
arwah	spiritele	arwah	spirit	N;SG	N;DEF;FEM;PL
arwah	spiritelor	arwah	spirit	N;SG	N;DEF;FEM;PL
michelle	michelle	michelle	michellă	N	PROPN
michelle	michele	michelle	miche	N	PROPN
electronic	electronice	electronic	electronic	PROPN	ADJ;INDF;FEM;PL
electronic	electronică	electronic	electronic	PROPN	ADJ;INDF;FEM;SG
electronic	electronic	electronic	electronic	PROPN	ADJ;INDF;MASC;SG
campbell	campbell	campbell	campbell	PROPN	PROPN
nevada	nevada	nevada	nevada	PROPN	PROPN
meiji	meiji	meiji	meij	PROPN	N;INDF;MASC;SG
haruka	haruka	haruka	harukă	PROPN	N;DEF;FEM;SG
sajak	rimează	sajak	rima	N	V;IND;3;PRS;FIN
côte	côte	côte	côte	PROPN	PROPN
bermotor	motorizate	bermotor	motoriza	V;SG;ACT	ADJ;INDF;FEM;PL
bermotor	motorizat	bermotor	motoriza	V;SG;ACT	ADJ;INDF;MASC;SG
disk	discul	disk	disc	PROPN	N;DEF;MASC;SG
disk	disc	disk	disc	PROPN	N;INDF;MASC;SG
disk	discheta	disk	discheta	PROPN	N;DEF;FEM;SG
disk	discul	disk	disc	PROPN	N;DEF;MASC;SG
disk	disc	disk	disc	PROPN	N;INDF;MASC;SG
disk	discuri	disk	disc	PROPN	N;INDF;FEM;PL
thompson	thompson	thompson	thompson	PROPN	PROPN
rudy	rudy	rudy	rudy	PROPN	PROPN
elit	elite	elit	elită	N;SG	N;INDF;FEM;PL
susan	susan	susan	susan	PROPN	N;INDF;MASC;SG
shadow	shadow	shadow	shadow	PROPN	N;INDF;MASC;SG
shadow	umbră	shadow	umbră	PROPN	N;INDF;FEM;SG
shadow	umbra	shadow	umbră	PROPN	N;DEF;FEM;SG
kobayashi	kobayashi	kobayashi	kobayashi	PROPN	PROPN
bull	taur	bull	taur	PROPN	N;INDF;MASC;SG
bull	taurul	bull	taur	PROPN	N;DEF;MASC;SG
bull	bull	bull	bull	PROPN	N;INDF;MASC;SG
jujur	sincer	jujur	sincer	ADJ;SG	ADV
jujur	sincer	jujur	sincer	ADJ;SG	ADV
instalasi	instalări	instalasi	instalare	N;SG	N;INDF;FEM;PL
instalasi	instalatii	instalasi	instalat	N;SG	N;INDF;FEM;PL
instalasi	instalări	instalasi	instalare	N;SG	N;INDF;FEM;PL
instalasi	instalații	instalasi	instalație	N;SG	N;INDF;FEM;PL
cabai	chili	cabai	chil	N;SG	
antarktika	antarctica	antarktika	antarctică	PROPN	N;DEF;FEM;SG
antarktika	antarctica	antarktika	antarctică	PROPN	N;DEF;FEM;SG
diiringi	însoțit	diiringi	însoțit	V;SG;PASS	ADJ;INDF;MASC;SG
diiringi	însoțite	diiringi	însoțit	V;SG;PASS	ADJ;INDF;FEM;PL
diiringi	însoțită	diiringi	însoți	V;SG;PASS	ADJ;INDF;FEM;SG
room	cameră	room	cameră	PROPN	N;INDF;FEM;SG
room	camera	room	cameră	PROPN	N;DEF;FEM;SG
launch	lansare	launch	lansare	PROPN	N;INDF;FEM;SG
launch	lansează	launch	lansa	PROPN	V;IND;3;PRS;FIN
launch	lansarea	launch	lansare	PROPN	N;DEF;FEM;SG
lencana	insigne	lencana	insign	N;SG	N;INDF;FEM;PL
lencana	insignele	lencana	insign	N;SG	N;DEF;FEM;PL
