terry	terry	terry	terry	PROPN	N;MASC;SG
short	curto	short	curto	N;INDF;MASC;SG	ADJ;MASC;SG
short	curtas	short	curto	N;INDF;MASC;SG	ADJ;FEM;PL
short	curta	short	curto	N;INDF;MASC;SG	ADJ;FEM;SG
suficienta	suficientes	suficient	suficiente	ADJ;DEF;FEM;SG	ADJ;MASC;PL
barry	barry	barry	barry	PROPN	N;MASC;SG
tun	canhões	tun	canhão	N;INDF;MASC;SG	N;MASC;PL
cresc	cresce	crește	crescer	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
cresc	cresçam	crește	crescer	V;IND;PL;3;PRS;FIN	V;SBJV;PL;3;PRS;FIN
cresc	cresça	crește	cresco	V;IND;PL;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
admis	admitida	admite	admitir	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
admis	admitido	admite	admitir	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
admis	admitiu	admite	admitir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
admis	admitidos	admite	admitir	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
astronomic	astronomia	astronomic	astronomia	ADJ;INDF;MASC;SG	N;FEM;SG
demonstreaza	demonstre	demonstreaza	demonstre	V;IND;SG;3;IPFV;FIN	V;SBJV;SG;3;PRS;FIN
demonstreaza	demonstre	demonstreaza	demonstre	V;IND;SG;3;IPFV;FIN	V;SBJV;SG;3;PRS;FIN
ideal	ideais	ideal	ideal	ADJ;INDF;MASC;SG	N;MASC;PL
ungureanu	ungureanu	ungureanu	ungureanu	PROPN	N;MASC;SG
gasita	encontrada	gasita	encontrar	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
gasita	encontrados	gasita	encontrar	ADJ;DEF;FEM;SG	V;MASC;PL;V.PTCP
gasita	achado	gasita	achado	ADJ;DEF;FEM;SG	N;MASC;SG
gasita	encontraram	gasita	encontrar	ADJ;DEF;FEM;SG	V;IND;PL;3;FIN
gasita	encontrado	gasita	encontrar	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
haine	roupa	haină	roupa	N;INDF;FEM;PL	N;FEM;SG
abdallah	abdallah	abdallah	abdallah	PROPN	N;MASC;SG
repetat	repetido	repetat	repetir	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
repetat	repetidas	repetat	repetir	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
repetat	repetidos	repetat	repetir	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
repetat	repetida	repetat	repetir	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
repetat	repetidamente	repetat	repetidamente	ADJ;INDF;MASC;SG	ADV
tinere	young	tânăr	young	ADJ;INDF;FEM;PL	N;MASC;SG
tinere	jovem	tânăr	jovem	ADJ;INDF;FEM;PL	ADJ;MASC;SG
tinere	jovens	tânăr	jovem	ADJ;INDF;FEM;PL	N;MASC;PL
gros	grossa	gros	grosso	ADJ;INDF;MASC;SG	N;FEM;SG
gros	grosso	gros	grosso	ADJ;INDF;MASC;SG	N;MASC;SG
vocale	vocal	vocal	vocal	N;INDF;FEM;PL	N;MASC;SG
donat	doou	donat	doar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
donat	doados	donat	doar	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
donat	doado	donat	doar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
dakota	dakota	dakota	dakota	PROPN	N;FEM;SG
dakota	dacota	dakota	dacota	PROPN	N;MASC;SG
valle	valle	vall	valler	PROPN	N;MASC;SG
holt	holt	holt	holt	N;INDF;MASC;SG	PROPN;MASC;SG
federala	federal	federală	federal	N;DEF;FEM;SG	ADJ;MASC;SG
federala	federais	federală	federal	N;DEF;FEM;SG	N;MASC;PL
inlocuirea	substituir	inlocuire	substituir	N;DEF;FEM;SG	V;NFIN
inlocuirea	substituindo	inlocuire	substituir	N;DEF;FEM;SG	V;V.MSDR
nepenthes	nepenthes	nepenthes	nepenthe	PROPN	N;FEM;PL
dame	dama	damă	dama	N;INDF;FEM;PL	N;FEM;SG
dame	dame	damă	dame	N;INDF;FEM;PL	N;MASC;SG
adaugarea	adicionando	adaugare	adicionar	N;DEF;FEM;SG	V;V.MSDR
adaugarea	acrescentando	adaugare	acrescentar	N;DEF;FEM;SG	V;V.MSDR
bois	bois	bois	bois	PROPN	N;MASC;PL
formularul	formar	formular	formar	N;DEF;MASC;SG	V;NFIN
grupate	agrupadas	grupat	agrupar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
grupate	agrupados	grupat	agrupar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
gotic	gótico	gotic	gótico	N;INDF;MASC;SG	ADJ;MASC;SG
tre	tre	tre	tre		N;MASC;SG
roz	pink	roz	pink		N;MASC;SG
roz	rosa	roz	rosa		N;FEM;SG
ahmed	ahmed	ahmed	ahmed	PROPN	N;MASC;SG
latine	latim	latin	latim	ADJ;INDF;FEM;PL	N;MASC;SG
latine	latino	latin	latino	ADJ;INDF;FEM;PL	N;MASC;SG
latine	latinos	latin	latino	ADJ;INDF;FEM;PL	N;MASC;PL
latine	latina	latin	latino	ADJ;INDF;FEM;PL	N;FEM;SG
moscovei	moscou	moscovă	moscar	PROPN;DEF;FEM;SG	N;MASC;SG
moscovei	moscovo	moscovă	moscovo	PROPN;DEF;FEM;SG	N;MASC;SG
kashmir	caxemira	kashmir	caxemira	PROPN	N;FEM;SG
belgian	belgas	belgian	belga	N;INDF;MASC;SG	N;MASC;PL
wikimapia	wikimapia	wikimapia	wikimapia	PROPN	N;MASC;SG
naviga	vela	naviga	vela	V;IND;SG;3;IPFV;FIN	N;FEM;SG
echipament	equipamentos	echipament	equipamento	N;INDF;MASC;SG	N;MASC;PL
joachim	joaquim	joachim	joaquim	PROPN	N;MASC;SG
joachim	joachim	joachim	joachim	PROPN	N;MASC;SG
formal	formais	formal	formal	ADV	ADJ;MASC;PL
formal	formal	formal	formal	ADV	ADJ;MASC;SG
austin	austin	austin	austin	PROPN	N;MASC;SG
aedes	aedes	aedes	aede	PROPN	N;MASC;SG
wall	parede	wall	parede	PROPN	N;FEM;SG
wall	muro	wall	muro	PROPN	N;MASC;SG
wall	mural	wall	mural	PROPN	N;MASC;SG
wall	muralha	wall	muralha	PROPN	N;FEM;SG
harald	harald	harald	harald	PROPN	N;MASC;SG
harald	haroldo	harald	haroldo	PROPN	N;MASC;SG
autonome	autónomo	autonom	autónomo	ADJ;INDF;FEM;PL	ADJ;MASC;SG
autonome	autônomo	autonom	autônomo	ADJ;INDF;FEM;PL	N;MASC;SG
autonome	autónoma	autonom	autónomo	ADJ;INDF;FEM;PL	N;FEM;SG
autonome	autônoma	autonom	autônomo	ADJ;INDF;FEM;PL	ADJ;FEM;SG
village	vila	villag	vila	PROPN	N;FEM;SG
village	aldeia	villag	aldeia	PROPN	N;FEM;SG
raspandirea	espalhando	raspandire	espalhar	N;DEF;FEM;SG	V;V.MSDR
raspandirea	espalhar	raspandire	espalhar	N;DEF;FEM;SG	V;NFIN
raspandirea	espalhe	raspandire	espalhe	N;DEF;FEM;SG	V;SBJV;SG;3;PRS;FIN
raspandirea	espalhar	raspandire	espalhar	N;DEF;FEM;SG	V;NFIN
intensa	intensas	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;FEM;PL
intensa	intensos	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;MASC;PL
intensa	intensas	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;FEM;PL
intensa	intensos	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;MASC;PL
mutata	movida	mutată	mover	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
mutata	movido	mutată	mover	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
mutata	comovida	mutată	comover	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
mutata	comovido	mutată	comover	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
refugiat	refugiados	refugiat	refugiado	ADJ;INDF;MASC;SG	N;MASC;PL
refugiat	refugiado	refugiat	refugiado	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
ungara	húngaros	ungar	húngaro	N;DEF;FEM;SG	N;MASC;PL
scazuta	baixa	scazuta	baixa	ADJ;DEF;FEM;SG	N;FEM;SG
scazuta	baixos	scazuta	baixo	ADJ;DEF;FEM;SG	N;MASC;PL
scazuta	low	scazuta	low	ADJ;DEF;FEM;SG	N;MASC;SG
scazuta	baixo	scazuta	baixo	ADJ;DEF;FEM;SG	ADV
exterioara	exteriores	exterior	exterior	ADJ;DEF;FEM;SG	N;MASC;PL
exterioara	exterior	exterior	exterior	ADJ;DEF;FEM;SG	N;MASC;SG
interventie	intervenções	interventie	intervenção	N;INDF;FEM;SG	N;FEM;PL
fenomene	fenômeno	fenomen	fenômeno	N;INDF;FEM;PL	N;MASC;SG
austrieci	austríacos	austriac	austríaco	N;INDF;MASC;PL	ADJ;MASC;PL
austrieci	austríaca	austriac	austríaco	N;INDF;MASC;PL	ADJ;FEM;SG
austrieci	austrian	austriac	austrian	N;INDF;MASC;PL	N;MASC;SG
austrieci	áustria	austriac	áustria	N;INDF;MASC;PL	N;FEM;SG
austrieci	austríacos	austriac	austríaco	N;INDF;MASC;PL	ADJ;MASC;PL
austrieci	austríaco	austriac	austríaco	N;INDF;MASC;PL	ADJ;MASC;SG
costume	figurino	costum	figurino	N;INDF;FEM;PL	N;MASC;SG
grija	carinhoso	grijă	carinhoso	N;DEF;FEM;SG	ADJ;MASC;SG
grija	carinhosa	grijă	carinhoso	N;DEF;FEM;SG	ADJ;FEM;SG
grija	cuidando	grijă	cuidar	N;DEF;FEM;SG	V;V.MSDR
grija	cuidados	grijă	cuidado	N;DEF;FEM;SG	N;MASC;PL
modelele	models	model	model	N;DEF;FEM;PL	N;MASC;SG
indeplini	cumpra	indeplin	cumprir	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
józsef	józsef	józsef	józsef	PROPN	N;MASC;SG
agricol	agrícola	agricol	agrícola	ADJ;INDF;MASC;SG	N;MASC;SG
khan	cã	khan	cã	PROPN	N;MASC;SG
khan	khan	khan	khan	PROPN	N;MASC;SG
mutarea	movendo	mutare	mover	N;DEF;FEM;SG	V;V.MSDR
ladislau	ladislau	ladisla	ladislar	V;IND;PL;3;IPFV;FIN	N;MASC;SG
invazie	invasões	invazie	invasão	N;INDF;FEM;SG	N;FEM;PL
dealuri	hills	deal	hills	N;INDF;FEM;PL	N;MASC;SG
danny	danny	danny	danny	PROPN	N;MASC;SG
danny	danni	danny	danni	PROPN	N;MASC;SG
determinata	determinado	determinat	determinar	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
determinata	determinada	determinat	determinar	ADJ;DEF;FEM;SG	V;FEM;SG;V.PTCP
determinata	determinados	determinat	determinar	ADJ;DEF;FEM;SG	V;MASC;PL;V.PTCP
tag	marcar	tag	marcar		V;NFIN
tag	marca	tag	marca		N;FEM;SG
tag	marque	tag	marque		V;SBJV;SG;3;PRS;FIN
tag	etiqueta	tag	etiqueta		N;FEM;SG
tag	tag	tag	tag		N;FEM;SG
nicholas	nicolás	nicholas	nicolás	PROPN	N;MASC;SG
nicholas	nicholas	nicholas	nichola	PROPN	N;FEM;PL
nicholas	nicolau	nicholas	nicolar	PROPN	N;MASC;SG
ixodes	ixodes	ixodes	ixode	N;INDF;MASC;SG	N;MASC;PL
straina	estrangeiro	straină	estrangeiro	ADJ;DEF;FEM;SG	N;MASC;SG
straina	estrangeira	straină	estrangeiro	ADJ;DEF;FEM;SG	N;FEM;SG
straina	estrangeiras	straină	estrangeiro	ADJ;DEF;FEM;SG	N;FEM;PL
straina	estrangeiros	straină	estrangeiro	ADJ;DEF;FEM;SG	N;MASC;PL
iubit	amei	iubit	amei	ADJ;INDF;MASC;SG	V;IND;SG;1;PST;FIN
iubit	amava	iubit	amavar	ADJ;INDF;MASC;SG	V;IND;SG;3;IPFV;FIN
iubit	amado	iubit	amado	ADJ;INDF;MASC;SG	N;MASC;SG
iubit	amada	iubit	amada	ADJ;INDF;MASC;SG	N;FEM;SG
iubit	amados	iubit	amado	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
iubit	amadas	iubit	amada	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
iubit	amada	iubit	amada	ADJ;INDF;MASC;SG	N;FEM;SG
iubit	amado	iubit	amado	ADJ;INDF;MASC;SG	N;MASC;SG
iubit	amados	iubit	amado	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
iubit	namorado	iubit	namorar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
entitate	entidades	entitate	entidade	N;INDF;FEM;SG	N;FEM;PL
rezolva	resolve	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
rezolva	resolva	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;SBJV;SG;3;PRS;FIN
rezolva	resolve	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
rezolva	resolva	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;SBJV;SG;3;PRS;FIN
continental	continental	continental	continental	ADV	N;MASC;SG
continental	continentais	continental	continental	ADV	N;MASC;PL
conferit	conferidos	conferi	conferir	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
conferit	conferido	conferi	conferir	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
conferit	conferida	conferi	conferir	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
conferit	conferidas	conferi	conferir	ADJ;INDF;MASC;SG	V;FEM;PL;V.PTCP
pcupdate	pcupdate	pcupat	pcupdate	ADJ;INDF;FEM;PL	N;MASC;SG
pierdute	perdido	pierdut	perder	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
pierdute	perdi	pierdut	perder	ADJ;INDF;FEM;PL	V;IND;SG;1;PST;FIN
pierdute	lost	pierdut	lost	ADJ;INDF;FEM;PL	N;MASC;SG
pierdute	perdida	pierdut	perder	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
pierdute	perdidos	pierdut	perder	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
pierdute	perdeu	pierdut	perder	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
ilustreaza	ilustra	ilustrațză	ilustra	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
ilustreaza	ilustram	ilustrațză	ilustrar	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
clare	clare	clar	clare	ADJ;INDF;FEM;PL	N;FEM;SG
mostenit	herdou	mostenit	herdar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
mostenit	herdado	mostenit	herdar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
mostenit	herdou	mostenit	herdar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
mostenit	herdado	mostenit	herdar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
curentului	correntes	curent	corrente	N;DEF;MASC;SG	N;MASC;PL
curentului	atual	curent	atual	N;DEF;MASC;SG	ADJ;MASC;SG
curentului	atuais	curent	atual	N;DEF;MASC;SG	ADJ;MASC;PL
curentului	actual	curent	actual	N;DEF;MASC;SG	ADJ;MASC;SG
hawaii	havaí	hawai	haver	PROPN	N;MASC;SG
hawaii	hawaii	hawai	hawair	PROPN	N;MASC;SG
hawaii	havai	hawai	haver	PROPN	N;MASC;SG
baby	nenê	baby	nenê		N;MASC;SG
baby	neném	baby	neném		N;MASC;SG
baby	bebé	baby	bebé		N;MASC;SG
baby	bebê	baby	bebê		N;MASC;SG
baby	baby	baby	baby		N;MASC;SG
danez	dinamarquesa	danez	dinamarquesa	ADJ;INDF;MASC;SG	N;FEM;SG
danez	dinamarqueses	danez	dinamarquês	ADJ;INDF;MASC;SG	N;MASC;PL
danez	dinamarquês	danez	dinamarquês	ADJ;INDF;MASC;SG	N;MASC;SG
raportat	denunciado	raporta	denunciar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
raportat	denunciou	raporta	denunciar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
raportat	relatado	raporta	relatar	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP
raportat	comunicados	raporta	comunicado	ADJ;INDF;MASC;SG	V;MASC;PL;V.PTCP
raportat	denunciada	raporta	denunciar	ADJ;INDF;MASC;SG	V;FEM;SG;V.PTCP
acoperis	telhados	acoperis	telhado	N;INDF;MASC;SG	N;MASC;PL
acoperis	telhados	acoperis	telhado	N;INDF;MASC;SG	N;MASC;PL
acoperis	telhados	acoperis	telhado	N;INDF;MASC;SG	N;MASC;PL
legala	jurídica	legală	jurídico	ADJ;DEF;FEM;SG	N;FEM;SG
legala	legais	legală	legal	ADJ;DEF;FEM;SG	ADJ;MASC;PL
elisabeth	elisabeth	elisabeth	elisabeth	PROPN	N;FEM;SG
citeste	lidos	citesc	ler	V;IND;SG;3;PRS;FIN	V;MASC;PL;V.PTCP
citeste	leia	citesc	ler	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
citeste	lidos	citesc	ler	V;IND;SG;3;PRS;FIN	V;MASC;PL;V.PTCP
citeste	leia	citesc	ler	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
variate	variada	variat	variar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
variate	variado	variat	variar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
variate	variados	variat	variado	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
variate	variadas	variat	variar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
bros	bros	bros	bro	PROPN	N;MASC;SG
bros	manos	bros	mano	PROPN	N;MASC;PL
prabusit	caiu	prabusi	cair	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
prabusit	despenhou	prabusi	despenhar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
prabusit	ruiu	prabusi	ruir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
prabusit	desmoronou	prabusi	desmoronar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
prabusit	desabou	prabusi	desabar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
clasificate	classificadas	clasificat	classificar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
clasificate	confidencial	clasificat	confidencial	ADJ;INDF;FEM;PL	ADJ;MASC;SG
clasificate	classificada	clasificat	classificar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
clasificate	classificados	clasificat	classificar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
clasificate	classificado	clasificat	classificar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
clasificate	classificados	clasificat	classificar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
pic	foto	pic	foto	ADV	N;FEM;SG
pic	pic	pic	pic	ADV	N;MASC;SG
cereale	grão	cereală	grão	N;INDF;FEM;PL	N;MASC;SG
cereale	cereal	cereală	cereal	N;INDF;FEM;PL	N;MASC;SG
warren	warren	warren	warren	PROPN	N;MASC;SG
parlamentara	parlamentares	parlamentar	parlamentar	N;DEF;FEM;SG	N;MASC;PL
ferenc	ferenc	ferenc	ferenc	PROPN	N;MASC;SG
basel	basileia	basel	basileia	PROPN	N;FEM;SG
étienne	étienne	étienne	étienne	PROPN	N;MASC;SG
étienne	etienne	étienne	etienne	PROPN	N;MASC;SG
absolvent	graduado	absolvent	graduar	N;INDF;MASC;SG	V;MASC;SG;V.PTCP
islamica	islâmico	islamică	islâmico	N;DEF;FEM;SG	ADJ;MASC;SG
islamica	islâmicos	islamică	islâmico	N;DEF;FEM;SG	N;MASC;PL
islamica	islâmicas	islamică	islâmico	N;DEF;FEM;SG	N;FEM;PL
deriva	deriva	deriva	deriva	V;IND;SG;3;IPFV;FIN	N;FEM;SG
deriva	deriva	deriva	deriva	V;IND;SG;3;IPFV;FIN	N;FEM;SG
deriva	deriva	deriva	deriva	V;IND;SG;3;IPFV;FIN	N;FEM;SG
aires	aires	aires	aire	PROPN	N;MASC;SG
roberts	roberts	roberts	robert	PROPN	N;MASC;SG
amandoi	ambos	amandoi	ambos		PRO;MASC;PL
amandoi	ambas	amandoi	ambos		DET;FEM;PL
tennessee	tennessee	tennessee	tennessear	PROPN	N;MASC;SG
mostenirea	legados	mostenire	legar	N;DEF;FEM;SG	V;MASC;PL;V.PTCP
oslo	oslo	oslo	oslo	PROPN	N;MASC;SG
turner	turner	turner	turner	PROPN	N;MASC;SG
adaugate	adicionado	adauga	adicionar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
adaugate	adicionada	adauga	adicionar	ADJ;INDF;FEM;PL	V;FEM;SG;V.PTCP
adaugate	acrescentado	adauga	acrescentar	ADJ;INDF;FEM;PL	V;MASC;SG;V.PTCP
adaugate	adicionados	adauga	adicionar	ADJ;INDF;FEM;PL	V;MASC;PL;V.PTCP
adaugate	adicionou	adauga	adicionar	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
adaugate	adicionadas	adauga	adicionar	ADJ;INDF;FEM;PL	V;FEM;PL;V.PTCP
aripi	wings	aripă	wing	N;INDF;FEM;PL	N;MASC;SG
interzisa	proibida	interzisa	proibir	N;DEF;FEM;SG	V;FEM;SG;V.PTCP
interzisa	proibidos	interzisa	proibir	N;DEF;FEM;SG	V;MASC;PL;V.PTCP
interzisa	proibidas	interzisa	proibir	N;DEF;FEM;SG	V;FEM;PL;V.PTCP
interzisa	proibido	interzisa	proibir	N;DEF;FEM;SG	V;MASC;SG;V.PTCP
interzisa	proibida	interzisa	proibir	N;DEF;FEM;SG	V;FEM;SG;V.PTCP
interzisa	proibidos	interzisa	proibir	N;DEF;FEM;SG	V;MASC;PL;V.PTCP
interzisa	proibidas	interzisa	proibir	N;DEF;FEM;SG	V;FEM;PL;V.PTCP
interzisa	proibido	interzisa	proibir	N;DEF;FEM;SG	V;MASC;SG;V.PTCP
alexandre	alexandre	alexandre	alexandre	PROPN	N;MASC;SG
ocean	oceanos	ocean	oceano	N;INDF;MASC;SG	N;MASC;PL
claudia	cláudia	claudie	cláudia	PROPN	N;FEM;SG
claudia	claudia	claudie	claudia	PROPN	N;FEM;SG
placut	gostou	placut	gostar	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
placut	curtido	placut	curtido	N;INDF;MASC;SG	V;MASC;SG;V.PTCP
placut	gostei	placut	gostar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
placut	gostava	placut	gostar	N;INDF;MASC;SG	V;IND;SG;3;IPFV;FIN
placut	agradável	placut	agradável	N;INDF;MASC;SG	ADJ;MASC;SG
placut	agradáveis	placut	agradável	N;INDF;MASC;SG	ADJ;MASC;PL
evans	evans	evans	evans	PROPN	N;MASC;SG
wien	wien	wien	wien	PROPN	N;MASC;SG
intrand	entrando	intrand	entrar		V;V.MSDR
indiei	índia	indie	índia	PROPN;DEF;FEM;SG	N;FEM;SG
indiei	india	indie	india	PROPN;DEF;FEM;SG	N;MASC;SG
keith	keith	keith	keith	PROPN	N;MASC;SG
asigurata	segurado	asigurat	segurar	ADJ;DEF;FEM;SG	V;MASC;SG;V.PTCP
asigurata	segurados	asigurat	segurar	ADJ;DEF;FEM;SG	N;MASC;PL
asigurata	seguro	asigurat	seguro	ADJ;DEF;FEM;SG	N;MASC;SG
emise	emitidos	emite	emitir	V;IND;SG;3;PST;FIN	V;MASC;PL;V.PTCP
emise	emitidas	emite	emitir	V;IND;SG;3;PST;FIN	V;FEM;PL;V.PTCP
organ	órgãos	organ	órgão	N;INDF;MASC;SG	N;MASC;PL
cald	quente	cald	quente	ADJ;INDF;MASC;SG	N;MASC;SG
cald	gostosa	cald	gostoso	ADJ;INDF;MASC;SG	N;FEM;SG
