ψωμί	pães	ψωμί	pão	N;NOM;NEUT;SG	N;MASC;PL
μάριος	marios	μάριος	mario	N;NOM;MASC;SG	N;MASC;PL
καταστρέψει	destruam	καταστρέφω	destruar	V;PFV;IND;SG;3;FIN;ACT	V;SBJV;PL;3;PRS;FIN
καταστρέψει	destrua	καταστρέφω	destrua	V;PFV;IND;SG;3;FIN;ACT	V;SBJV;SG;3;PRS;FIN
επιβεβαίωσε	confirmaram	επιβεβαιώνω	confirmar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
επιβεβαίωσε	confirmados	επιβεβαιώνω	confirmar	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
χαλκίδας	cálcis	χαλκίδα	cálci	PROPN;GEN;FEM;SG	N;MASC;SG
εξερεύνηση	explorar	εξερεύνηση	explorar	N;ACC;FEM;SG	V;NFIN
εξερεύνηση	explorando	εξερεύνηση	explorar	N;ACC;FEM;SG	V;V.MSDR
εξερεύνηση	explorar	εξερεύνηση	explorar	N;ACC;FEM;SG	V;NFIN
εξερεύνηση	explore	εξερεύνηση	explore	N;ACC;FEM;SG	V;SBJV;PL;3;PRS;FIN
εξερεύνηση	explora	εξερεύνηση	explorar	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
θεοδώρα	teodora	θεοδώρα	teodora	PROPN;NOM;FEM;SG	N;FEM;SG
αλφόνσο	afonso	αλφόνσο	afonso		N;MASC;SG
αλφόνσο	alfonso	αλφόνσο	alfonso		N;MASC;SG
αντίγκουα	antígua	αντίγκω	antígua	PROPN;NOM;FEM;SG	N;FEM;SG
γαβριήλ	gabriel	γαβριήλ	gabriel	PROPN;NOM;MASC;SG	N;MASC;SG
λόρενς	laurence	λόρης	laurence	PROPN;NOM;FEM;SG	N;MASC;SG
λόρενς	lourenço	λόρης	lourenço	PROPN;NOM;FEM;SG	N;MASC;SG
λόρενς	lourenço	λόρης	lourenço	PROPN;NOM;FEM;SG	N;MASC;SG
λόρενς	lawrence	λόρης	lawrence	PROPN;NOM;FEM;SG	N;MASC;SG
λούντβιχ	ludwig	λούντβιχ	ludwig	PROPN;NOM;MASC;SG	N;MASC;SG
λούντβιχ	luís	λούντβιχ	luís	PROPN;NOM;MASC;SG	N;MASC;SG
κεραυνός	trovões	κεραυνός	trovão	N;NOM;MASC;SG	N;MASC;PL
κεραυνός	relâmpagos	κεραυνός	relâmpago	N;NOM;MASC;SG	N;MASC;PL
παρών	presentes	παράνω	presente	N;NOM;MASC;SG	ADJ;MASC;PL
παρών	presente	παράνω	presente	N;NOM;MASC;SG	ADJ;MASC;SG
τσε	che	τσε	che		N;MASC;SG
τετράγωνα	praças	τετράγωνος	praça	ADV	N;FEM;PL
τετράγωνα	quadrados	τετράγωνος	quadrados	ADV	N;MASC;PL
τετράγωνα	blocos	τετράγωνος	bloco	ADV	N;MASC;PL
τετράγωνα	bloqueios	τετράγωνος	bloqueio	ADV	N;MASC;PL
τετράγωνα	quadras	τετράγωνος	quadra	ADV	N;FEM;PL
όλιβερ	oliver	όλιβερ	oliver	V;PFV;IND;SG;3;PST;FIN;ACT	N;MASC;SG
αραβικό	árabe	αραβικός	árabe	ADJ;NOM;NEUT;SG	N;MASC;SG
αραβικό	árabes	αραβικός	árabe	ADJ;NOM;NEUT;SG	N;MASC;PL
αραβικό	árabe	αραβικός	árabe	ADJ;NOM;NEUT;SG	N;MASC;SG
αραβικό	árabes	αραβικός	árabe	ADJ;NOM;NEUT;SG	N;MASC;PL
αραβικό	arábia	αραβικός	arábia	ADJ;NOM;NEUT;SG	N;FEM;SG
γραπτή	escrito	γραπτός	escrever	N;NOM;FEM;SG	V;MASC;SG;V.PTCP
γραπτή	escritas	γραπτός	escrever	N;NOM;FEM;SG	V;FEM;PL;V.PTCP
γραπτή	escritos	γραπτός	escrever	N;NOM;FEM;SG	V;MASC;PL;V.PTCP
μολδαβία	moldávia	μολδαβία	moldávia	PROPN;ACC;FEM;SG	N;FEM;SG
καναδός	canadenses	καναδός	canadense	N;NOM;MASC;SG	N;MASC;PL
ριχάρδος	richard	ριχάρδος	richard	PROPN;NOM;MASC;SG	N;MASC;SG
ριχάρδος	ricardo	ριχάρδος	ricardo	PROPN;NOM;MASC;SG	N;MASC;SG
κιμ	kim	κιμ	kim	PROPN;NOM;MASC;SG	N;MASC;SG
μπάρι	bari	μπάρι	bari		N;MASC;SG
μπάρι	barry	μπάρι	barry		N;MASC;SG
προσφέροντας	oferenda	προσφέρω	oferenda	V;IPFV;V.CVB;ACT	N;FEM;SG
ακουστική	acústica	ακουστικός	acústico	ADJ;NOM;FEM;SG	N;FEM;SG
ακουστική	acústica	ακουστικός	acústico	ADJ;NOM;FEM;SG	N;FEM;SG
ακουστική	acústicos	ακουστικός	acústico	ADJ;NOM;FEM;SG	N;MASC;PL
ακουστική	acústicas	ακουστικός	acústico	ADJ;NOM;FEM;SG	N;FEM;PL
ακουστική	acústico	ακουστικός	acústico	ADJ;NOM;FEM;SG	N;MASC;SG
πολωνική	polonês	πολωνικός	polonês	ADJ;NOM;FEM;SG	N;MASC;SG
πολωνική	polaco	πολωνικός	polaco	ADJ;NOM;FEM;SG	N;MASC;SG
πολωνική	polonesa	πολωνικός	polonesa	ADJ;NOM;FEM;SG	N;FEM;SG
πέδρο	pedro	πέδρο	pedro		N;MASC;SG
αμοιβή	honorários	αμοιβός	honorários	N;NOM;FEM;SG	N;MASC;PL
αμοιβή	remunerações	αμοιβός	remuneração	N;NOM;FEM;SG	N;FEM;PL
αμοιβή	recompensar	αμοιβός	recompensar	N;NOM;FEM;SG	V;NFIN
αμοιβή	recompensas	αμοιβός	recompensa	N;NOM;FEM;SG	N;FEM;PL
μύθοι	legends	μύθος	legends	N;NOM;MASC;PL	N;MASC;SG
υψηλότερα	superior	ψηλά	alto	ADV;CMPR	ADJ;MASC;SG
μετατόπιση	deslocando	μετατόπιση	deslocar	N;ACC;FEM;SG	V;V.MSDR
παρουσιάστηκαν	apresentado	παρουσιάζω	apresentar	V;PFV;IND;PL;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
μέτρια	médio	μέτρι	médio	N;NOM;FEM;SG	ADJ;MASC;SG
μέτρια	meio	μέτρι	meio	N;NOM;FEM;SG	ADV
μέτρια	moderar	μέτρι	moderar	N;NOM;FEM;SG	V;NFIN
μέτρια	moderado	μέτρι	moderar	N;NOM;FEM;SG	V;MASC;SG;V.PTCP
μέτρια	moderados	μέτρι	moderar	N;NOM;FEM;SG	V;MASC;PL;V.PTCP
μέτρια	moderada	μέτρι	moderar	N;NOM;FEM;SG	V;FEM;SG;V.PTCP
επηρεάσει	afetam	επηρεάζω	afetar	V;PFV;IND;SG;3;FIN;ACT	V;IND;PL;3;PRS;FIN
επηρεάσει	influenciados	επηρεάζω	influenciar	V;PFV;IND;SG;3;FIN;ACT	V;MASC;PL;V.PTCP
μάρσαλ	marshall	μάρσαλ	marshall		N;MASC;SG
μάρσαλ	marechal	μάρσαλ	marechal		N;MASC;SG
συνταγματική	constitucionais	συνταγματικός	constitucional	ADJ;NOM;FEM;SG	N;MASC;PL
δορυφόρο	satélites	δορυφόρο	satélite	N;ACC;MASC;SG	N;MASC;PL
στροφές	rapidez	στροφή	rapidez	N;NOM;FEM;PL	N;FEM;SG
στροφές	velocidade	στροφή	velocidade	N;NOM;FEM;PL	N;FEM;SG
στροφές	speed	στροφή	speed	N;NOM;FEM;PL	N;MASC;SG
διαφοροποίηση	diversificar	διαφοροποίηση	diversificar	N;ACC;FEM;SG	V;NFIN
συνδεδεμένη	conectados	συνδέδω	conectar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;PL;V.PTCP
συνδεδεμένη	ligados	συνδέδω	ligar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;PL;V.PTCP
συνδεδεμένη	ligados	συνδέδω	ligar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;PL;V.PTCP
αναφέρω	menção	αναφέρω	menção	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;FEM;SG
εγκέφαλο	miolos	εγκέφαλος	miolo	N;ACC;MASC;SG	N;MASC;PL
προσθέτοντας	adição	προσθέτω	adição	V;IPFV;V.CVB;ACT	N;FEM;SG
χασάν	hassan	χάσα	hassan		N;MASC;SG
χασάν	hasan	χάσα	hasan		N;MASC;SG
εκτελέστηκαν	executado	εκτελώ	executar	V;PFV;IND;PL;3;PST;FIN;PASS	V;MASC;SG;V.PTCP
εκτελέστηκαν	executada	εκτελώ	executar	V;PFV;IND;PL;3;PST;FIN;PASS	V;FEM;SG;V.PTCP
φλόγα	chama	φλόγα	chamar	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
φλόγα	chamas	φλόγα	chama	N;NOM;FEM;SG	N;FEM;PL
ηλέκτρα	elektra	ηλέκτρα	elektrar	PROPN;NOM;FEM;SG	N;FEM;SG
ηλέκτρα	electra	ηλέκτρα	electra	PROPN;NOM;FEM;SG	N;FEM;SG
ραούλ	raul	ραούλ	raul	PROPN;NOM;MASC;SG	N;MASC;SG
ραούλ	raoul	ραούλ	raoul	PROPN;NOM;MASC;SG	N;MASC;SG
ραούλ	raul	ραούλ	raul	PROPN;NOM;MASC;SG	N;MASC;SG
ραούλ	raúl	ραούλ	raúl	PROPN;NOM;MASC;SG	N;MASC;SG
ραούλ	rahul	ραούλ	rahul	PROPN;NOM;MASC;SG	N;MASC;SG
κυκλάδες	cíclades	κυκλάδα	cíclade	PROPN;NOM;FEM;PL	N;FEM;PL
δον	don	δον	don	N;NOM;MASC;SG	PROPN;MASC;SG
μποτσουάνα	botswana	μποτσουάνα	botswano		N;MASC;SG
μποτσουάνα	botsuana	μποτσουάνα	botsuano		N;FEM;SG
τσάρλι	charlie	τσάρλι	charlie	PROPN;NOM;MASC;SG	N;MASC;SG
ηλιακή	solares	ηλιακός	solar	N;NOM;FEM;SG	N;MASC;PL
φόρουμ	fóruns	φόρουμ	fórum	N;NOM;MASC;SG	N;MASC;PL
μεμονωμένα	indivíduo	μεμονωμένος	indivíduo	ADV	N;MASC;SG
μεμονωμένα	individual	μεμονωμένος	individual	ADV	ADJ;MASC;SG
μεμονωμένα	individuais	μεμονωμένος	individual	ADV	ADJ;MASC;PL
στράτευμα	tropas	στράτευμα	tropa	N;NOM;NEUT;SG	N;FEM;PL
τετάρτη	quarta	τετάρτη	quarto	N;NOM;FEM;SG	ADJ;FEM;SG
μαχητικά	combatentes	μαχητικά	combatente	ADV	N;MASC;PL
μαχητικά	lutadores	μαχητικά	lutador	ADV	N;MASC;PL
μαχητικά	caças	μαχητικά	caça	ADV	N;FEM;PL
αιχμάλωτος	prisioneiro	αιχμάλωτος	prisioneiro	ADJ;NOM;MASC;SG	N;MASC;SG
αιχμάλωτος	prisioneira	αιχμάλωτος	prisioneira	ADJ;NOM;MASC;SG	N;FEM;SG
αιχμάλωτος	cativo	αιχμάλωτος	cativo	ADJ;NOM;MASC;SG	N;MASC;SG
αιχμάλωτος	cativa	αιχμάλωτος	cativa	ADJ;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
αιχμάλωτος	cativas	αιχμάλωτος	cativa	ADJ;NOM;MASC;SG	N;MASC;PL
αιχμάλωτος	cativeiro	αιχμάλωτος	cativeiro	ADJ;NOM;MASC;SG	N;MASC;SG
αιχμάλωτος	capturado	αιχμάλωτος	capturar	ADJ;NOM;MASC;SG	V;MASC;SG;V.PTCP
αιχμάλωτος	capturaram	αιχμάλωτος	capturar	ADJ;NOM;MASC;SG	V;IND;PL;3;FIN
αιχμάλωτος	capturados	αιχμάλωτος	capturar	ADJ;NOM;MASC;SG	V;MASC;PL;V.PTCP
αιχμάλωτος	capturadas	αιχμάλωτος	capturar	ADJ;NOM;MASC;SG	V;FEM;PL;V.PTCP
αιχμάλωτος	capturada	αιχμάλωτος	capturar	ADJ;NOM;MASC;SG	V;FEM;SG;V.PTCP
χίτσκοκ	hitchcock	χίτσκομαι	hitchcock		N;MASC;SG
αντίποινα	retaliação	αντίποινο	retaliação	N;NOM;NEUT;PL	N;FEM;SG
αντίποινα	represália	αντίποινο	represália	N;NOM;NEUT;PL	N;FEM;SG
ιδανικό	ideais	ιδανικός	ideal	ADJ;NOM;NEUT;SG	N;MASC;PL
ενηλίκων	adulto	ενήλικος	adulto	N;GEN;NEUT;PL	N;MASC;SG
ενηλίκων	adulta	ενήλικος	adulta	N;GEN;NEUT;PL	N;FEM;SG
αυστριακό	austrian	αυστριακός	austrian	ADJ;NOM;NEUT;SG	N;MASC;SG
αυστριακό	áustria	αυστριακός	áustria	ADJ;NOM;NEUT;SG	N;FEM;SG
αυστριακό	austríacos	αυστριακός	austríaco	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
τέλεια	perfeito	τέλεια	perfeito	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP
τέλεια	perfeitas	τέλεια	perfeito	ADJ;NOM;FEM;SG	V;FEM;PL;V.PTCP
τέλεια	perfeitos	τέλεια	perfeito	ADJ;NOM;FEM;SG	V;MASC;PL;V.PTCP
τέλεια	perfeita	τέλεια	perfazer	ADJ;NOM;FEM;SG	V;FEM;SG;V.PTCP
τέλεια	perfect	τέλεια	perfect	ADJ;NOM;FEM;SG	N;MASC;SG
ισότητα	iguais	ισότητα	igual	N;ACC;FEM;SG	ADJ;MASC;PL
ισότητα	igualar	ισότητα	igualar	N;ACC;FEM;SG	V;NFIN
ίκαρος	ícaro	ίκαρος	ícaro	PROPN;NOM;MASC;SG	N;MASC;SG
ίκαρος	icarus	ίκαρος	icar	PROPN;NOM;MASC;SG	N;MASC;SG
αλγερίας	argélia	αλγερία	argélia	PROPN;GEN;FEM;SG	N;FEM;SG
γκαλερί	galerias	γκαλώ	galeria	N;NOM;FEM;SG	N;FEM;PL
κολούμπια	colúmbia	κολούμπιος	colúmbia	PROPN;NOM;FEM;SG	N;FEM;SG
κολούμπια	columbia	κολούμπιος	columbia	PROPN;NOM;FEM;SG	N;FEM;SG
κολούμπια	colômbia	κολούμπιος	colômbia	PROPN;NOM;FEM;SG	N;FEM;SG
εγκεφαλικό	derrame	εγκεφαλικός	derrame	ADJ;NOM;NEUT;SG	N;MASC;SG
εγκεφαλικό	avc	εγκεφαλικός	avc	ADJ;NOM;NEUT;SG	N;MASC;SG
αλαμπάμα	alabama	αλαμπάμα	alabama		N;MASC;SG
εντάξει	ok	εντάξει	ok	ADV	N;FEM;SG
λειτουργική	funcionais	λειτουργικός	funcional	ADJ;NOM;FEM;SG	N;MASC;PL
λειτουργική	operacional	λειτουργικός	operacional	ADJ;NOM;FEM;SG	N;MASC;SG
λειτουργική	operacionais	λειτουργικός	operacional	ADJ;NOM;FEM;SG	N;MASC;PL
πωλήσεων	sales	πώληση	sale	N;GEN;FEM;PL	N;MASC;SG
γλυκό	meiga	γλυκό	meiga	N;NOM;NEUT;SG	ADJ;FEM;SG
γλυκό	doces	γλυκό	doce	N;NOM;NEUT;SG	N;MASC;PL
γλυκό	meigo	γλυκό	meigo	N;NOM;NEUT;SG	ADJ;MASC;SG
γκαρντ	gard	γκαρντ	gard		N;MASC;SG
μιγκέλ	miguel	μιγκέλ	miguel		N;MASC;SG
ρούντολφ	rodolfo	ρούντολφ	rodolfo	PROPN;NOM;MASC;SG	N;MASC;SG
ρούντολφ	rudolph	ρούντολφ	rudolph	PROPN;NOM;MASC;SG	N;MASC;SG
ρούντολφ	rodolfo	ρούντολφ	rodolfo	PROPN;NOM;MASC;SG	N;MASC;SG
ρούντολφ	rudolf	ρούντολφ	rudolf	PROPN;NOM;MASC;SG	N;MASC;SG
πήτερ	pedro	πήτερ	pedro		N;MASC;SG
πήτερ	peter	πήτερ	peter		N;MASC;SG
χρήσιμες	utilidade	χρήσιμος	utilidade	ADJ;NOM;FEM;PL	N;FEM;SG
χρήσιμες	útil	χρήσιμος	útil	ADJ;NOM;FEM;PL	ADJ;MASC;SG
χρήσιμες	úteis	χρήσιμος	útil	ADJ;NOM;FEM;PL	N;MASC;PL
κοπεγχάγη	copenhague	κοπεγχάγη	copenhagar	PROPN;ACC;FEM;SG	N;FEM;SG
κοπεγχάγη	copenhagen	κοπεγχάγη	copenhagen	PROPN;ACC;FEM;SG	N;MASC;SG
κοπεγχάγη	copenhaga	κοπεγχάγη	copenhago	PROPN;ACC;FEM;SG	N;FEM;SG
δίσκοι	records	δίσκος	record	N;NOM;MASC;PL	N;MASC;SG
βενεζουέλας	venezuelana	βενεζουέλα	venezuelano	PROPN;GEN;FEM;SG	ADJ;FEM;SG
βενεζουέλας	venezuelano	βενεζουέλα	venezuelano	PROPN;GEN;FEM;SG	N;MASC;SG
βενεζουέλας	venezuela	βενεζουέλα	venezuela	PROPN;GEN;FEM;SG	N;FEM;SG
υποκείμενο	sujeito	υποκείμενο	sujeitar	N;NOM;NEUT;SG	V;MASC;SG;V.PTCP
κυριάκος	kyriakos	κυριάκος	kyriakos	PROPN;NOM;MASC;SG	N;MASC;PL
παναμά	panamá	παναμύς	panamá	PROPN;NOM;NEUT;SG	N;MASC;SG
λιγότερες	menos	λίγος	menos	ADJ;NOM;CMPR;FEM;PL	ADV
λιγότερες	menos	λίγος	menos	ADJ;NOM;CMPR;FEM;PL	ADV
αλκοόλ	álcool	αλκοόλ	álcool		N;MASC;SG
αλκοόλ	alcool	αλκοόλ	alcool		N;MASC;SG
τόνο	atuns	τόνος	atum	N;ACC;MASC;SG	N;MASC;PL
τόνο	tons	τόνος	tom	N;ACC;MASC;SG	N;MASC;PL
κατάχρηση	abusos	κατάχρηση	abuso	N;ACC;FEM;SG	N;MASC;PL
ρίτσι	ritchie	ρίτσι	ritchie		N;MASC;SG
ρίτσι	richie	ρίτσι	richie		N;MASC;SG
ρίτσι	ricci	ρίτσι	ricci		N;MASC;SG
χώμα	solos	χώμα	solo	N;NOM;NEUT;SG	N;MASC;PL
άλεξ	alex	άλεξ	alex		N;MASC;SG
στενός	estreita	στενός	estreito	N;NOM;MASC;SG	ADJ;FEM;SG
στενός	estreitas	στενός	estreito	N;NOM;MASC;SG	N;FEM;PL
μαχητές	combatentes	μαχητός	combatente	ADJ;NOM;MASC;PL	N;MASC;PL
μαχητές	warriors	μαχητός	warrior	ADJ;NOM;MASC;PL	N;MASC;SG
μαχητές	guerreiras	μαχητός	guerreira	ADJ;NOM;MASC;PL	N;FEM;PL
μαχητές	guerreiros	μαχητός	guerreiro	ADJ;NOM;MASC;PL	N;MASC;PL
μαχητές	combatentes	μαχητός	combatente	ADJ;NOM;MASC;PL	N;MASC;PL
μαχητές	lutadores	μαχητός	lutador	ADJ;NOM;MASC;PL	N;MASC;PL
μαχητές	caças	μαχητός	caça	ADJ;NOM;MASC;PL	N;FEM;PL
μαχητές	militantes	μαχητός	militante	ADJ;NOM;MASC;PL	N;MASC;PL
αποκτήθηκε	adquiridos	αποκτώ	adquirir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
αποκτήθηκε	adquiridas	αποκτώ	adquirir	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
υγιεινής	higiene	υγιεινής	higiene	ADJ;GEN;FEM;SG	N;FEM;SG
μοντάζ	editando	μοντάζ	editar		V;V.MSDR
μοντάζ	edição	μοντάζ	edição		N;FEM;SG
μηχανικοί	mecânicos	μηχανικός	mecânico	ADJ;NOM;MASC;PL	N;MASC;PL
μηχανικοί	mecânica	μηχανικός	mecânico	ADJ;NOM;MASC;PL	N;FEM;SG
μηχανικοί	engenheiros	μηχανικός	engenheiro	ADJ;NOM;MASC;PL	N;MASC;PL
λατ	lat	λατ	lat		N;MASC;SG
ενέκρινε	aprovados	εγκρίνω	aprovar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
ενέκρινε	aprovadas	εγκρίνω	aprovar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;FEM;PL;V.PTCP
μασσαλία	marselha	μασσαλία	marselha	PROPN;ACC;FEM;SG	N;MASC;SG
μασσαλία	marselha	μασσαλία	marselha	PROPN;ACC;FEM;SG	N;MASC;SG
πλημμύρες	cheias	πλημμύρα	cheia	N;NOM;FEM;PL	ADJ;FEM;PL
πλημμύρες	inundação	πλημμύρα	inundação	N;NOM;FEM;PL	N;FEM;SG
αλλα	outro	αλλα	outro	ADV	PRO;MASC;SG
αλλα	outros	αλλα	outro	ADV	PRO;MASC;PL
αλλα	outras	αλλα	outro	ADV	PRO;FEM;PL
αλλα	outra	αλλα	outro	ADV	PRO;FEM;SG
αλλα	mas	αλλα	mas	ADV	CONJ
διαβήτη	diabetes	διαβήτης	diabete	N;SG	N;MASC;PL
ασημένια	prateado	ασημένιος	pratear	ADV	V;MASC;SG;V.PTCP
ασημένια	silver	ασημένιος	silver	ADV	N;MASC;SG
ασημένια	prata	ασημένιος	prata	ADV	N;FEM;SG
νικολά	nicolas	νικολά	nicola	PROPN;NOM;MASC;SG	N;MASC;SG
νικολά	nicolás	νικολά	nicolás	PROPN;NOM;MASC;SG	N;MASC;SG
συνήθεια	personalizadas	συνήθεια	personalizar	N;NOM;FEM;SG	V;FEM;PL;V.PTCP
συνήθεια	personalizada	συνήθεια	personalizar	N;NOM;FEM;SG	V;FEM;SG;V.PTCP
συνήθεια	personalizado	συνήθεια	personalizar	N;NOM;FEM;SG	V;MASC;SG;V.PTCP
συνήθεια	personalizados	συνήθεια	personalizar	N;NOM;FEM;SG	V;MASC;PL;V.PTCP
τσάρου	czar	τσάρος	czar	PROPN;NOM;MASC;SG	N;MASC;SG
κατάρτιση	treinos	κατάρτιση	treino	N;ACC;FEM;SG	N;MASC;PL
μεταξάς	metaxás	μεταξάς	metaxás	PROPN;NOM;MASC;SG	N;MASC;PL
κάι	kai	κάι	kai		N;MASC;SG
απολύθηκε	despedida	απολύω	despedida	V;PFV;IND;SG;3;PST;FIN;PASS	N;FEM;SG
ανακάλυψαν	descoberta	ανακαλύπτω	descoberta	V;PFV;IND;PL;3;PST;FIN;ACT	N;FEM;SG
ανακάλυψαν	descoberto	ανακαλύπτω	descobrir	V;PFV;IND;PL;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
αγαπημένο	favorito	αγαπημένος	favorito	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;MASC;SG
αγαπημένο	favorita	αγαπημένος	favorito	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;FEM;SG
αγαπημένο	favorito	αγαπημένος	favorito	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;MASC;SG
ρομπέρτο	roberto	ρομπέρτο	roberto		N;MASC;SG
πάτρικ	patrick	πάτρικ	patrick		N;MASC;SG
πάτρικ	nuno	πάτρικ	nuno		N;MASC;SG
πάτρικ	patrício	πάτρικ	patrício		N;MASC;SG
πρόβλεψη	previsões	πρόβλεψη	previsão	N;ACC;FEM;SG	N;FEM;PL
κούπερ	cooper	κούπερ	cooper		N;MASC;SG
ρούμπενς	rubens	ρούμπενς	rubem		N;MASC;SG
τάφους	graves	τάφος	grave	N;NOM;MASC;PL	ADJ;MASC;PL
τάφους	covas	τάφος	covo	N;NOM;MASC;PL	N;MASC;SG
συγγενής	relativo	συγγενής	relativo	N;NOM;MASC;SG	ADJ;MASC;SG
αίγινα	egina	αίγινος	egina	PROPN;NOM;FEM;SG	N;FEM;SG
απόκλιση	desvios	απόκλιση	desvio	N;ACC;FEM;SG	N;MASC;PL
απόκλιση	divergências	απόκλιση	divergência	N;ACC;FEM;SG	N;FEM;PL
κατοικείται	habitadas	κατοικώ	habitar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;PL;V.PTCP
ντιν	dean	ντιν	dean		PROPN;MASC;SG
ντιν	reitor	ντιν	reitor		N;MASC;SG
ντιν	decano	ντιν	decano		N;MASC;SG
ντιν	reitora	ντιν	reitora		N;FEM;SG
νιλ	neil	νιλ	neil		N;MASC;SG
νιλ	neal	νιλ	neal		N;MASC;SG
