pietro	pietro	pietro	pietro	PROPN;NOM;SG	N;MASC;SG
kristityt	cristian	kristityt	cristiar	N;NOM;PL	PROPN
kristityt	cristián	kristityt	cristián	N;NOM;PL	N;MASC;SG
kerää	colecciona	kerätä	coleccionar	V;IMP;SG;2;FIN;ACT	V;IND;SG;3;PRS;FIN
kerää	recopila	kerätä	recopilar	V;IMP;SG;2;FIN;ACT	V;IND;SG;3;PRS;FIN
anime	anime	anime	animar		N;MASC;SG
vaunut	vagón	vaunu	vagón	N;NOM;PL	N;MASC;SG
vaunut	carreta	vaunu	carreta	N;NOM;PL	N;FEM;SG
vaunut	carro	vaunu	carro	N;NOM;PL	N;MASC;SG
vaunut	carruaje	vaunu	carruaje	N;NOM;PL	N;MASC;SG
vaunut	carroza	vaunu	carroza	N;NOM;PL	N;FEM;SG
vaunut	carro	vaunu	carro	N;NOM;PL	N;MASC;SG
vaunut	carroza	vaunu	carroza	N;NOM;PL	N;FEM;SG
vuosituhannen	millennium	vuosi#tuhat	millennium	N;GEN;SG	N;MASC;PL
fisher	fisher	fisher	fisher	PROPN;NOM;SG	PROPN
fisher	pescador	fisher	pescador	PROPN;NOM;SG	N;MASC;SG
piirsi	drew	piirtää	drew	V;IND;SG;3;PST;FIN;ACT	PROPN
epäilty	presuntos	epäillä	presunto	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL
epäilty	sospechado	epäillä	sospechar	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
epäilty	sospechosa	epäillä	sospechoso	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG
epäilty	sospechoso	epäillä	sospechoso	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG
epäilty	sospecha	epäillä	sospecha	V;NOM;SG;V.PTCP;PASS	N;FEM;SG
mainitsi	mencionado	mainita	mencionado	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
mainitsi	mencionada	mainita	mencionado	V;IND;SG;3;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
mainitsi	mencionados	mainita	mencionado	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;PL;V.PTCP
hotellin	hoteles	hotelli	hotel	N;GEN;SG	N;MASC;PL
olympia	olimpia	olympi	olimpia	ADJ;NOM;CMPR;SG	N;FEM;SG
olympia	olympia	olympi	olympia	ADJ;NOM;CMPR;SG	N;FEM;SG
olympia	olympic	olympi	olympic	ADJ;NOM;CMPR;SG	N;MASC;SG
olympia	olímpicos	olympi	olímpico	ADJ;NOM;CMPR;SG	ADJ;MASC;PL
olympia	olimpiadas	olympi	olimpiado	ADJ;NOM;CMPR;SG	ADJ;FEM;PL;V.PTCP
vajaan	derramada	vajaa	derramado	N;GEN;SG	ADJ;FEM;SG;V.PTCP
ratkaisi	resuelto	ratkaista	resolver	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
ratkaisi	resueltos	ratkaista	resolver	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;PL;V.PTCP
ratkaisi	solucionado	ratkaista	solucionado	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
ratkaisi	resuelta	ratkaista	resuelto	V;IND;SG;3;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
havaittavissa	observable	havaita	observable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;SG
havaittavissa	discernible	havaita	discernible	V;IN+ESS;PL;V.PTCP;PASS	ADJ;SG
havaittavissa	perceptible	havaita	perceptible	V;IN+ESS;PL;V.PTCP;PASS	ADJ;SG
havaittavissa	apreciable	havaita	apreciable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;SG
havaittavissa	perceptible	havaita	perceptible	V;IN+ESS;PL;V.PTCP;PASS	ADJ;SG
havaittavissa	detectable	havaita	detectable	V;IN+ESS;PL;V.PTCP;PASS	ADJ;SG
rannat	playa	ranta	playa	N;NOM;PL	N;FEM;SG
brandon	brandon	brandon	brandon	N;NOM;SG	PROPN
vastarintaa	resistencias	vastarinta	resistencia	N;PRT;SG	N;FEM;PL
painettu	impreso	painaa	impreso	V;NOM;SG;V.PTCP;PASS	N;MASC;SG
painettu	impresa	painaa	impresa	V;NOM;SG;V.PTCP;PASS	N;FEM;SG
painettu	impresos	painaa	impreso	V;NOM;SG;V.PTCP;PASS	N;MASC;PL
tuhoa	destruyan	tuho	destruir	N;PRT;SG	V;IMP;PL;3;FIN
tuhoa	destruye	tuho	destruir	N;PRT;SG	V;IND;SG;3;PRS;FIN
tuhoa	destruyen	tuho	destruir	N;PRT;SG	V;IND;PL;3;PRS;FIN
tuhoa	destruir	tuho	destruir	N;PRT;SG	V;NFIN
cole	cole	cole	cole	PROPN;NOM;SG	N;MASC;SG
säde	haz	säde	hacer	N;NOM;SG	V;IND;SG;2;PRS;FIN
säde	vigas	säde	viga	N;NOM;SG	N;FEM;PL
vieras	visitantes	vieras	visitante	N;NOM;SG	N;PL
vieras	invitada	vieras	invitada	N;NOM;SG	ADJ;FEM;SG;V.PTCP
vieras	invitado	vieras	invitado	N;NOM;SG	ADJ;MASC;SG;V.PTCP
vieras	invitados	vieras	invitado	N;NOM;SG	N;MASC;PL
vieras	extraña	vieras	extraño	N;NOM;SG	ADJ;FEM;SG
vieras	extraño	vieras	extraño	N;NOM;SG	ADJ;MASC;SG
ulkopuolinen	externos	ulko#puolinen	externo	ADJ;NOM;SG	ADJ;MASC;PL
ulkopuolinen	forastero	ulko#puolinen	forastero	ADJ;NOM;SG	N;MASC;SG
keskikokoinen	medium	keski#kokoinen	medium	ADJ;NOM;SG	N
keskikokoinen	medianas	keski#kokoinen	mediano	ADJ;NOM;SG	ADJ;FEM;PL
keskikokoinen	medio	keski#kokoinen	medio	ADJ;NOM;SG	NUM;MASC;SG
keskikokoinen	médium	keski#kokoinen	médium	ADJ;NOM;SG	N;MASC;SG
teemoja	temáticas	teemo	temático	N;PRT;PL	ADJ;FEM;PL
estetty	prohibida	estää	prohibido	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
estetty	prohibido	estää	prohibido	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
estetty	prohibidas	estää	prohibido	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
estetty	prohibidos	estää	prohibido	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
estetty	bloqueada	estää	bloqueado	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
estetty	bloqueadas	estää	bloqueado	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
estetty	bloqueados	estää	bloqueado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
estetty	bloqueado	estää	bloqueado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
sid	sid	sid	sid	PROPN;NOM;SG	N;MASC;SG
mayer	mayer	mayer	mayer	N;NOM;SG	PROPN
osallistuminen	asistentes	osallistuminen	asistente	N;NOM;SG	N;PL
solujen	celular	solu	celular	N;GEN;PL	ADJ;SG
lopullisen	definitivas	lopullinen	definitivo	ADJ;GEN;SG	ADJ;FEM;PL
lopullisen	definitivos	lopullinen	definitivo	ADJ;GEN;SG	ADJ;MASC;PL
ralf	ralf	ralf	ralf	PROPN;NOM;SG	PROPN
myynnin	rebajas	myynti	rebaja	N;GEN;SG	N;FEM;PL
myynnin	sales	myynti	sal	N;GEN;SG	N;FEM;PL
myynnin	ventas	myynti	venta	N;GEN;SG	N;FEM;PL
joni	joni	joni	joni	PROPN;NOM;SG	N;SG
kirjaimellisesti	literal	kirjaimellisesti	literal	ADV	ADJ;SG
kirjaimellisesti	literal	kirjaimellisesti	literal	ADV	ADJ;SG
kirjaimellisesti	literales	kirjaimellisesti	literal	ADV	N;PL
iss	iss	iss	iss	PROPN;NOM;SG	N;SG
crawford	crawford	crawford	crawford	PROPN;NOM;SG	N;MASC;SG
yksilöiden	particulares	yksilö	particular	N;GEN;PL	ADJ;PL
yksilöiden	individuales	yksilö	individual	N;GEN;PL	ADJ;PL
työntekijät	asalariados	työn#tekijä	asalariado	N;NOM;PL	ADJ;MASC;PL;V.PTCP
työntekijät	empleadas	työn#tekijä	empleada	N;NOM;PL	ADJ;FEM;PL;V.PTCP
aktiivisia	activos	aktiivinen	activo	ADJ;PRT;PL	N;MASC;PL
aktiivisia	activo	aktiivinen	activo	ADJ;PRT;PL	ADJ;MASC;SG
aktiivisia	activa	aktiivinen	activo	ADJ;PRT;PL	ADJ;FEM;SG
castro	castro	castro	castro	N;NOM;SG	PROPN
järjestöt	asociativo	järjestö	asociativo	N;NOM;PL	ADJ;MASC;SG
sekaisin	confundidos	sekaisin	confundido	ADV	ADJ;MASC;PL;V.PTCP
sekaisin	confundido	sekaisin	confundido	ADV	ADJ;MASC;SG;V.PTCP
sekaisin	confuso	sekaisin	confuso	ADV	ADJ;MASC;SG
sekaisin	confundida	sekaisin	confundido	ADV	ADJ;FEM;SG;V.PTCP
aukio	cuadrada	aukio	cuadrado	N;NOM;SG	ADJ;FEM;SG
pérez	pérez	pérez	pérez	PROPN;NOM;SG	N;MASC;SG
sullivan	sullivan	sulla	sullivar	ADJ;NOM;SG	N;SG
toimintoja	funcionalidad	toiminto	funcionalidad	N;PRT;PL	N;FEM;SG
isot	big	iso	big	ADJ;NOM;PL	N
isot	grande	iso	grande	ADJ;NOM;PL	ADJ;SG
isot	gran	iso	gran	ADJ;NOM;PL	ADJ;SG
sánchez	sánchez	sánchez	sánchez	PROPN;NOM;SG	PROPN
sánchez	sanchez	sánchez	sanchez	PROPN;NOM;SG	PROPN
sánchez	sánchez	sánchez	sánchez	PROPN;NOM;SG	PROPN
riitti	rito	riittää	rito	V;IND;SG;3;PST;FIN;ACT	N;MASC;SG
puhemies	altavoces	puhe#mies	altavoz	N;NOM;SG	N;MASC;PL
richards	richards	richards	richards	PROPN;NOM;SG	PROPN
edwin	edwin	edwin	edwin	N;NOM;SG	PROPN
aamu	mañana	aamu	mañana	N;NOM;SG	ADV
aamu	mañanas	aamu	mañana	N;NOM;SG	N;FEM;PL
viestinnän	comunicaciones	viestintä	comunicación	N;GEN;SG	N;FEM;PL
liittoutuneet	aliado	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
liittoutuneet	aliadas	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
liittoutuneet	aliada	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
liittoutuneet	aliados	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	N;MASC;PL
liittoutuneet	aliadas	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
liittoutuneet	aliados	liittoutua	aliado	V;NOM;PL;V.PTCP;ACT	N;MASC;PL
hallinnut	dominado	hallita	dominado	V;NOM;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
hallinnut	dominados	hallita	dominado	V;NOM;SG;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
hallinnut	dominada	hallita	dominado	V;NOM;SG;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
hallinnut	dominadas	hallita	dominado	V;NOM;SG;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
indianapolis	indianápolis	indiana#polis	indianápolis	N;NOM;SG	N;FEM;PL
kenen	cuya	kuka	cuyo	PRO;GEN;SG	PRO;FEM;SG
kenen	cuyo	kuka	cuyo	PRO;GEN;SG	PRO;MASC;SG
kenen	cuyos	kuka	cuyo	PRO;GEN;SG	PRO;MASC;PL
sukellusveneen	submarinos	sukeltus#vene	submarino	N;GEN;SG	N;MASC;PL
markkinat	mercado	markkinat	mercado	N;NOM;PL	N;MASC;SG
washingtonissa	washington	washington	washington	N;IN+ESS;SG	PROPN
korvattu	sustituido	korvata	sustituir	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
korvattu	sustituidos	korvata	sustituido	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
korvattu	sustituida	korvata	sustituido	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
korvattu	sustituido	korvata	sustituir	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
korvattu	reemplazados	korvata	reemplazado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
korvattu	reemplazado	korvata	reemplazar	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
yksinään	alone	yksinään	alone	ADV	INTJ
yksinään	solos	yksinään	solo	ADV	ADJ;MASC;PL
yksinään	sola	yksinään	solo	ADV	ADJ;FEM;SG
sabbath	sabbath	sabbath	sabbath		N;FEM;SG
lindgren	lindgren	lindgri	lindgrar	PROPN;NOM;SG	N;SG
puhdas	puras	puhdas	puro	ADJ;NOM;SG	ADJ;FEM;PL
puhdas	puros	puhdas	puro	ADJ;NOM;SG	ADJ;MASC;PL
puhdas	limpios	puhdas	limpio	ADJ;NOM;SG	ADJ;MASC;PL
puhdas	limpieza	puhdas	limpieza	ADJ;NOM;SG	N;FEM;SG
puhdas	limpiar	puhdas	limpiar	ADJ;NOM;SG	V;NFIN
milanon	milán	milano	milán	PROPN;GEN;SG	N;MASC;SG
milanon	milan	milano	milar	PROPN;GEN;SG	N;MASC;SG
kansalainen	ciudadanas	kansalainen	ciudadana	N;NOM;SG	N;FEM;PL
kansalainen	ciudadanos	kansalainen	ciudadano	N;NOM;SG	N;MASC;PL
fis	fis	fis	fis	N;NOM;SG	
maku	degustar	maku	degustar	N;NOM;SG	V;NFIN
maku	gustos	maku	gusto	N;NOM;SG	N;MASC;PL
fia	fia	fia	fia	N;NOM;SG	
suojella	protección	suojella	protección	V;SG;NFIN;ACT	N;FEM;SG
suojella	protegerla	suojella	protegerla	V;SG;NFIN;ACT	PROPN
vuoret	montaña	vuori	montaña	N;NOM;PL	N;FEM;SG
ajatukset	pensamiento	ajatus	pensamiento	N;NOM;PL	N;MASC;SG
dem	dem	dem	dem	N;NOM;SG	
kerros	capas	kerros	capa	N;NOM;SG	N;FEM;PL
ohjus	misiles	ohjus	misil	N;NOM;SG	N;MASC;PL
villi	wild	villi	wild	ADJ;NOM;SG	N
villi	silvestres	villi	silvestre	ADJ;NOM;SG	N;FEM;PL
villi	salvajes	villi	salvaje	ADJ;NOM;SG	N;PL
luxemburgin	luxemburgo	luxemburgi	luxemburgo	PROPN;GEN;SG	N;MASC;SG
fair	feria	fair	feria		N;FEM;SG
fair	justa	fair	justo		ADJ;FEM;SG
fair	justo	fair	justo		ADV
wallace	wallace	wallace	wallace	PROPN;NOM;SG	PROPN
orlando	orlando	orlando	orlar		V;V.MSDR
lokakuu	oct	lokakuu	oct	N;NOM;SG	
suuntaus	tendencias	suuntaus	tendencia	N;NOM;SG	N;FEM;PL
jensen	jensen	jensen	jensen		N;SG
hirviö	monstruos	hirviö	monstruo	N;NOM;SG	N;MASC;PL
espanjaa	española	espanja	español	N;PRT;SG	ADJ;FEM;SG
epäselvä	ambiguas	epä#selvä	ambiguo	ADJ;NOM;SG	ADJ;FEM;PL
epäselvä	borrosas	epä#selvä	borroso	ADJ;NOM;SG	ADJ;FEM;PL
luodaan	creación	luoda	creación	V;IND;PRS;FIN;PASS	N;FEM;SG
kalaa	peces	kala	pez	N;PRT;SG	N;MASC;PL
kalaa	pescados	kala	pescado	N;PRT;SG	N;MASC;PL
historiallista	históricas	historiallinen	histórico	ADJ;PRT;SG	ADJ;FEM;PL
historiallista	históricos	historiallinen	histórico	ADJ;PRT;SG	ADJ;MASC;PL
historiallista	históricas	historiallinen	histórico	ADJ;PRT;SG	ADJ;FEM;PL
historiallista	históricos	historiallinen	histórico	ADJ;PRT;SG	ADJ;MASC;PL
vuorten	montaña	vuori	montaña	N;GEN;PL	N;FEM;SG
ajoitettu	programados	ajoittaa	programado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
ajoitettu	programado	ajoittaa	programado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
ajoitettu	cronometrado	ajoittaa	cronometrado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
suojata	protegerla	suojata	protegerla	V;SG;NFIN;ACT	PROPN
paolo	paolo	paolo	paolo	PROPN;NOM;SG	N;MASC;SG
kiinnostuneita	interesados	kiinnostua	interesado	V;PRT;PL;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
kiinnostuneita	interesado	kiinnostua	interesado	V;PRT;PL;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
kiinnostuneita	interesada	kiinnostua	interesado	V;PRT;PL;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
kiinnostuneita	interesadas	kiinnostua	interesado	V;PRT;PL;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
muotoilu	formatos	muotoilu	formato	N;NOM;SG	N;MASC;PL
puolustajat	defensoras	puolustaja	defensora	N;NOM;PL	ADJ;FEM;PL
sudanin	sudan	sudan	sudar	N;GEN;SG	V;IND;PL;3;PRS;FIN
sudanin	sudaneses	sudan	sudanés	N;GEN;SG	N;MASC;PL
sudanin	sudanesa	sudan	sudanesa	N;GEN;SG	ADJ;FEM;SG
mitat	dimensión	mitta	dimensión	N;NOM;PL	N;FEM;SG
erotettu	separadas	erottaa	separado	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
erotettu	separado	erottaa	separar	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
erotettu	separada	erottaa	separado	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
erotettu	separados	erottaa	separado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
erotettu	expulsada	erottaa	expulsado	V;NOM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
erotettu	expulsado	erottaa	expulsado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
erotettu	expulsados	erottaa	expulsado	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
erotettu	despedidos	erottaa	despedido	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
erotettu	despedido	erottaa	despedido	V;NOM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
erotettu	despedida	erottaa	despedida	V;NOM;SG;V.PTCP;PASS	N;FEM;SG
prosessin	procesos	prosessi	proceso	N;GEN;SG	N;MASC;PL
prosessin	procesar	prosessi	procesar	N;GEN;SG	V;NFIN
kirjoittaminen	escribiendo	kirjoittaminen	escribir	N;NOM;SG	V;V.MSDR
kirjoittaminen	escribir	kirjoittaminen	escribir	N;NOM;SG	V;NFIN
keltaiset	amarilla	keltainen	amarillo	ADJ;NOM;PL	ADJ;FEM;SG
keltaiset	amarillo	keltainen	amarillo	ADJ;NOM;PL	ADJ;MASC;SG
uskoivat	creyó	uskoa	creer	V;IND;PL;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
uskoivat	creído	uskoa	creer	V;IND;PL;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
uskoivat	creía	uskoa	creer	V;IND;PL;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
dylan	dylan	dyla	dylar	N;NOM;SG	PROPN
luominen	crear	luominen	crear	N;NOM;SG	V;NFIN
luominen	creando	luominen	crear	N;NOM;SG	V;V.MSDR
vaihdella	varían	vaihti	variar	V;SG;NFIN;ACT	V;IND;PL;3;PRS;FIN
seikkailu	aventuras	seikkailu	aventura	N;NOM;SG	N;FEM;PL
palmer	palmer	palmer	palmer	PROPN;NOM;SG	N;SG
käymään	visita	käydä	visita	V;IN+ALL;SG;NFIN;ACT	N;FEM;SG
linkkiä	enlazar	linkki	enlazar	N;PRT;SG	V;NFIN
joachim	joachim	joachim	joachim	PROPN;NOM;SG	N;MASC;SG
joachim	joaquín	joachim	joaquín	PROPN;NOM;SG	PROPN
kane	kane	kane	kaner	PROPN;NOM;SG	N;SG
karibian	caribeño	karibia	caribeño	N;GEN;SG	ADJ;MASC;SG
karibian	caribeños	karibia	caribeño	N;GEN;SG	N;MASC;PL
kokemus	experiencias	kokemus	experiencia	N;NOM;SG	N;FEM;PL
katto	tejados	katto	tejado	N;NOM;SG	N;MASC;PL
katto	tejado	katto	tejado	N;NOM;SG	ADJ;MASC;SG;V.PTCP
kommune	kommune	kommune	kommunir	INTJ	N;MASC;SG
petter	petter	petter	petter	PROPN;NOM;SG	PROPN
maila	murciélagos	maila	murciélago	N;NOM;SG	N;MASC;PL
maastossa	terrenos	maasto	terreno	N;IN+ESS;SG	N;MASC;PL
riippumaton	independent	riippumaton	independent	ADJ;NOM;SG	N;SG
riippumaton	independientes	riippumaton	independiente	ADJ;NOM;SG	N;PL
asemat	puestos	asema	puesto	N;NOM;PL	ADJ;MASC;PL;V.PTCP
pysähtyi	parado	pysähtyä	parado	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
nalle	osos	nalle	ose	N;NOM;SG	N;MASC;PL
irma	irma	irma	irma	PROPN;NOM;SG	N;FEM;SG
laukaisu	lanzar	laukaisu	lanzar	N;NOM;SG	V;NFIN
valvoo	monitores	valvoa	monitor	V;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
wim	wim	wim	wim	PROPN;NOM;SG	PROPN
vastuu	pasivo	vastuu	pasivo	N;NOM;SG	ADJ;MASC;SG
vastuu	responsabilidades	vastuu	responsabilidad	N;NOM;SG	N;FEM;PL
varaa	reservar	vara	reservar	N;PRT;SG	V;NFIN
varaa	reserve	vara	reserve	N;PRT;SG	V;SBJV;SG;3;PRS;FIN
tiettyjen	ciertos	tietty	cierto	ADJ;GEN;PL	PRO;MASC;PL
