loại	type	loại	type	N	
trung	κεντρική	trung	κεντρικός	N	ADJ;NOM;FEM;SG
trung	κεντρικός	trung	κεντρικός	N	ADJ;NOM;MASC;SG
trung	central	trung	central	N	
trung	μεσαία	trung	μεσαίος	N	ADV
trên	ανωτέρω	trên	ανωτέρω		ADV
trên	παραπάνω	trên	παραπάνω		ADV
nhà	χάουζ	nhà	χάουζ	N	
nhà	house	nhà	house	N	
thị	γραφική	thị	γραφικός	N	ADJ;NOM;FEM;SG
như	όπως	như	όπως	CONJ	ADV
như	οπως	như	οπως	CONJ	ADV
như	like	như	like	CONJ	
như	σαν	như	σαν	CONJ	ADV
nước	ύδωρ	nước	ύδωρ	N	PROPN;NOM;MASC;SG
gia	gia	gia	gia	N	
thời	χρονος	thời	χρονος	N	DET;NOM;DEF;MASC;SG
bản	ολλανδός	bản	ολλανδός	N	PROPN;NOM;MASC;SG
bản	ολλανδικό	bản	ολλανδικός	N	ADJ;NOM;NEUT;SG
bản	ολλανδικά	bản	ολλανδικά	N	ADV
bản	ολλανδική	bản	ολλανδικός	N	ADJ;NOM;FEM;SG
đại	μεγάλη	đại	μεγάλος	N	ADJ;NOM;FEM;SG
đại	μεγάλα	đại	μεγάλος	N	ADJ;NOM;NEUT;PL
đại	μεγάλος	đại	μεγάλος	N	ADJ;NOM;MASC;SG
đại	μεγάλο	đại	μεγάλος	N	ADJ;NOM;NEUT;SG
hiện	show	hiện	show	N	
hiện	δείξω	hiện	δείξω	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
thế	αυτό	thế	αυτός	PROPN	PRO;NOM;NEUT;SG;3
thế	ότι	thế	ότι	PROPN	CONJ
thế	that	thế	that	PROPN	
bar	ράβδος	bar	ράβδος		N;NOM;FEM;SG
bar	μπαρ	bar	μπαρ		N;NOM;NEUT;PL
bar	bar	bar	bar		
bar	μπάρ	bar	μπάρ		N;NOM;NEUT;SG
bar	μπάρα	bar	μπάρα		N;NOM;FEM;SG
lại	πάλι	lại	πάλι		ADV
lại	ξανά	lại	ξανά		ADV
lại	παλι	lại	παλι		ADV
cũng	επισης	cũng	επισης		ADV
cũng	επίσης	cũng	επίσης		ADV
việt	việt	việt	việt	N	
việt	βιετνάμ	việt	βιετνάμ	N	
the	το	the	ο		DET;NOM;DEF;NEUT;SG
nhất	καλύτερα	nhất	καλά		ADV;CMPR
nhất	καλύτερο	nhất	καλά		ADJ;NOM;CMPR;NEUT;SG
nhất	best	nhất	best		
nhân	πολλαπλασιάζονται	nhân	πολλαπλασιάζω		V;IPFV;IND;PL;3;PRS;FIN;PASS
nhân	πυρήνας	nhân	πυρήνας		N;NOM;MASC;SG
nhân	πυρήνα	nhân	πυρήνας		N;ACC;MASC;SG
nhân	ασθενής	nhân	ασθενής		ADJ;NOM;MASC;SG
nhân	ασθενή	nhân	ασθενής		ADJ;NOM;MASC;SG
phát	μετάδοση	phát	μετάδοση	V	N;ACC;FEM;SG
phát	εκπομπή	phát	εκπομπή	V	N;ACC;FEM;SG
phát	βολή	phát	βολή	V	N;ACC;FEM;SG
phát	σουτ	phát	σουτ	V	
phát	πυροβολισμός	phát	πυροβολισμός	V	N;NOM;MASC;SG
anh	εσύ	anh	εσύ	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
anh	εσείς	anh	εγώ	N	PRO;NOM;MASC;PL;2
anh	εσυ	anh	εσυ	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
pháp	γάλλοι	pháp	γάλλος	N	PROPN;NOM;MASC;PL
pháp	γαλλική	pháp	γαλλική	N	ADJ;NOM;FEM;SG
pháp	γαλλικό	pháp	γαλλικός	N	ADJ;NOM;NEUT;SG
pháp	γαλλικά	pháp	γαλλικά	N	ADV
pháp	γαλλία	pháp	γαλλία	N	PROPN;ACC;FEM;SG
chúng	τους	chúng	μου	PROPN	PRO;GEN;MASC;PL;3
chúng	αυτοί	chúng	αυτός	PROPN	PRO;NOM;MASC;PL;3
tập	επεισόδιο	tập	επεισόδιο		N;NOM;NEUT;SG
tập	επεισόδια	tập	επεισόδιο		N;NOM;NEUT;PL
nhiều	πολλα	nhiều	πολύς	ADJ	ADV
nhiều	πολλαπλά	nhiều	πολλαπλά	ADJ	ADV
chi	τσι	chi	τσι	N	
chỉ	μόνον	chỉ	μόνο		ADV
chỉ	μόνο	chỉ	μόνο		ADV
chỉ	μονο	chỉ	μονο		ADV
chỉ	απλα	chỉ	απλά		ADV
chỉ	απλά	chỉ	απλά		ADV
chỉ	απλώς	chỉ	απλά		ADV
đây	εδω	đây	εδω	PROPN	ADV
đây	εδώ	đây	εδώ	PROPN	ADV
sinh	γεννηθείς	sinh	γεννηθής	V	ADJ;NOM;MASC;SG
sinh	γέννησης	sinh	γέννηση	V	N;GEN;FEM;SG
sinh	γέννηση	sinh	γέννηση	V	N;ACC;FEM;SG
sinh	γέννα	sinh	γέννα	V	N;NOM;FEM;SG
con	κον	con	κον	N	
con	con	con	con	N	
quan	κουάν	quan	κουάν	V	N
quan	αξιωματικός	quan	αξιωματικός	V	ADJ;NOM;MASC;SG
tin	πιστέψτε	tin	πιστέψτε		V;PFV;IND;PL;2;PST;FIN;ACT
tin	πίστεψε	tin	πιστεύω		V;PFV;IND;SG;3;PST;FIN;ACT
tin	τιν	tin	ο		N
tin	ιστορίες	tin	ιστορία		N;NOM;FEM;PL
tin	ανακοινώσεις	tin	ανακοίνωση		N;NOM;FEM;PL
tin	ειδήσεις	tin	είδηση		N;NOM;FEM;PL
tin	νέα	tin	νέος		ADJ;NOM;NEUT;PL
tin	νεα	tin	νέος		N;NOM;FEM;SG
tin	news	tin	news		
tin	εμπιστοσύνη	tin	εμπιστοσύνη		N;ACC;FEM;SG
viên	παρκ	viên	παρκ	N	
viên	park	viên	park	N	
viên	βιέννης	viên	βιέννης	N	PROPN;GEN;FEM;SG
viên	βιέννη	viên	βιέννος	N	PROPN;ACC;FEM;SG
hai	two	hai	two	NUM	
phải	σωστα	phải	σωστα	V	ADV
phải	δεξιά	phải	δεξιά	V	ADV
phải	σωστό	phải	σωστός	V	ADJ;NOM;NEUT;SG
phải	σωστά	phải	σωστά	V	ADV
bắc	βόρεια	bắc	βόρεια	N	ADV
bắc	βόρειος	bắc	βόρειος	N	ADJ;NOM;MASC;SG
bắc	βόρειο	bắc	βόρειο	N	ADJ;NOM;NEUT;SG
bắc	βόρεια	bắc	βόρεια	N	ADV
tiểu	στοιχειώδη	tiểu	στοιχειώδη		N;NOM;NEUT;PL
tiểu	στοιχειώδες	tiểu	στοιχειώδης		N;NOM;NEUT;SG
tiểu	δημοτικό	tiểu	δημοτικός		ADJ;NOM;NEUT;SG
tiểu	μικρή	tiểu	μικρός		ADJ;NOM;FEM;SG
tiểu	little	tiểu	little		
tiểu	μικρό	tiểu	μικρός		ADJ;NOM;NEUT;SG
khác	διαφορετικά	khác	διαφορετικά	ADJ	ADV
khác	λοιπά	khác	λοιπός	ADJ	ADV
khác	αλλα	khác	αλλα	ADJ	ADV
khác	άλλες	khác	άλλος	ADJ	PRO;NOM;FEM;PL;3
khác	άλλα	khác	άλλος	ADJ	PRO;NOM;NEUT;PL;3
khác	άλλους	khác	άλλος	ADJ	PRO;NOM;MASC;PL;3
khác	άλλοι	khác	άλλος	ADJ	PRO;NOM;MASC;PL;3
khác	αλλοι	khác	αλλος	ADJ	PRO;NOM;MASC;PL;3
khác	άλλα	khác	άλλος	ADJ	PRO;NOM;NEUT;PL;3
cao	high	cao	high	ADJ	
cao	ψηλά	cao	ψηλώ	ADJ	ADV
cao	γκάο	cao	γκάο	ADJ	N
tây	δυτικά	tây	δυτικά	N	ADV
tây	δυτική	tây	δυτικός	N	ADJ;NOM;FEM;SG
tây	γουέστ	tây	γουέστ	N	
tây	δυτικά	tây	δυτικά	N	ADV
tây	γουέστερν	tây	γουέστερν	N	
tây	δυτική	tây	δυτικός	N	ADJ;NOM;FEM;SG
tây	western	tây	western	N	
cùng	ιδια	cùng	ιδιος	ADJ	ADV
giải	χαλαρά	giải	χαλαρά	V	ADV
giải	χαλαρό	giải	χαλαρός	V	ADJ;NOM;NEUT;SG
giải	πυγμαχία	giải	πυγμαχία	V	N;NOM;FEM;SG
giải	μποξ	giải	μποξ	V	
giải	επίλυση	giải	επίλυση	V	N;ACC;FEM;SG
giải	ψήφισμα	giải	ψήφισμα	V	N;NOM;NEUT;SG
bang	αρχές	bang	αρχή		N;NOM;FEM;PL
bang	αρχες	bang	αρχή		N;NOM;FEM;PL
bang	κράτος	bang	κράτος		N;NOM;NEUT;SG
bang	πολιτεία	bang	πολιτεία		N;ACC;FEM;SG
bang	state	bang	state		
bang	μπανγκ	bang	μπανγκ		
bang	μπαμ	bang	μπαμ		
điểm	spot	điểm	spot	N	
điểm	σκορ	điểm	σκορ	N	
điểm	σκοράρει	điểm	σκοράρω	N	V;PFV;NFIN;ACT
điểm	σκορ	điểm	σκορ	N	
điểm	πόντος	điểm	πόντος	N	PROPN;NOM;MASC;SG
đông	ανατολή	đông	ανατολή	ADJ	N;NOM;FEM;SG
đông	ανατολικά	đông	ανατολικά	ADJ	ADV
đông	ιστ	đông	ιστ	ADJ	NUM;NOM;MASC;SG
phố	town	phố	town	N	
phố	city	phố	city	N	
phố	στριτ	phố	στριτ	N	
khu	γουόρντ	khu	γουόρντ	N	
nhưng	αλλα	nhưng	αλλα	CONJ	ADV
nhưng	μα	nhưng	μα	CONJ	ADV
cánh	wing	cánh	wing	N	
lập	ανεξάρτητοι	lập	ανεξάρτητος	V	ADJ;NOM;MASC;PL
lập	ανεξάρτητο	lập	ανεξάρτητος	V	ADJ;NOM;NEUT;SG
lập	ανεξάρτητος	lập	ανεξάρτητος	V	ADJ;NOM;MASC;SG
lập	ανεξάρτητη	lập	ανεξάρτητος	V	ADJ;NOM;FEM;SG
lập	ανεξάρτητες	lập	ανεξάρτητος	V	ADJ;NOM;FEM;PL
cách	τρόποι	cách	τρόπος	V	N;NOM;MASC;PL
cách	τρόπους	cách	τρόπος	V	N;ACC;MASC;PL
dưới	κατωτέρω	dưới	κατωτέρω	N	ADV
dưới	κάτω	dưới	κάτω	N	ADV
dưới	παρακάτω	dưới	παράκατος	N	ADV
dưới	κατω	dưới	κατω	N	ADV
dưới	υπό	dưới	υπό	N	ADP
quận	νομό	quận	νομός	N	ADV
giới	world	giới	world	N	
châu	αμερική	châu	αμερικός	N	PROPN;ACC;FEM;SG
châu	τσάο	châu	τσάος	N	
đoàn	ένατη	đoàn	ένατος	N	NUM;NOM;FEM;SG
đoàn	ένατο	đoàn	ένατος	N	NUM;ACC;NEUT;SG
điều	αυτό	điều	αυτός	N	PRO;NOM;NEUT;SG;3
điều	ότι	điều	ότι	N	CONJ
điều	that	điều	that	N	
thông	πάιν	thông	πάιν		
thông	πεύκο	thông	πεύκο		N;NOM;NEUT;SG
bay	πετάξει	bay	πετώ		V;PFV;NFIN;ACT
bay	πέτα	bay	πέτα		N
bay	μύγα	bay	μύγα		N;NOM;FEM;SG
bay	πέταξε	bay	πετώ		V;PFV;IND;SG;3;PST;FIN;ACT
bay	πετώντας	bay	πετώ		V;IPFV;V.CVB;ACT
bay	πέταγμα	bay	πέταγμα		N;NOM;NEUT;SG
bay	ιπτάμενο	bay	ιπτάμενος		N;NOM;NEUT;SG
bay	φυγή	bay	φυγή		N;ACC;FEM;SG
bay	πτήση	bay	πτήση		N;NOM;FEM;SG
bay	κόλπος	bay	κόλπος		N;NOM;MASC;SG
bay	μπέι	bay	μπέι		
bay	bay	bay	bay		
bài	χαρτιά	bài	χαρτιά	N	ADV
bài	κοντή	bài	κοντός	N	ADJ;NOM;FEM;SG
bài	κοντός	bài	κοντός	N	ADJ;NOM;MASC;SG
tích	στατική	tích	στατικός	N	ADJ;NOM;FEM;SG
tích	στατικό	tích	στατικός	N	ADJ;NOM;NEUT;SG
phim	ταινίες	phim	ταινία		N;NOM;FEM;PL
phim	ταινία	phim	ταινία		N;NOM;FEM;SG
phim	ταινια	phim	ταινιά		N;NOM;FEM;SG
phim	μεμβράνη	phim	μεμβράνη		N;NOM;FEM;SG
phim	ταινία	phim	ταινία		N;NOM;FEM;SG
phim	ταινια	phim	ταινιά		N;NOM;FEM;SG
phim	φιλμ	phim	φιλμ		N;NOM;NEUT;SG
phim	ταινίες	phim	ταινία		N;NOM;FEM;PL
trước	πρώτο	trước	πρώτος		NUM;NOM;NEUT;SG
trước	πρώτον	trước	πρώτον		ADV
trước	πρώτη	trước	πρώτος		NUM;NOM;FEM;SG
trước	πρώτα	trước	πρώτα		ADV
trước	πρώτος	trước	πρώτος		NUM;NOM;MASC;SG
trước	προηγούμενη	trước	προηγούμενος		ADJ;NOM;FEM;SG
trước	προηγούμενα	trước	προηγούμενος		ADV
trước	προηγούμενος	trước	προηγούμενος		ADJ;NOM;MASC;SG
trước	προηγούμενο	trước	προηγούμενος		ADJ;NOM;NEUT;SG
trước	προηγούμενες	trước	προηγούμενος		ADJ;NOM;FEM;PL
trước	πρίν	trước	πρίν		N
trước	πριν	trước	πριν		ADV
đức	γερμανοί	đức	γερμανός	N	PROPN;NOM;MASC;PL
đức	γερμανός	đức	γερμανός	N	ADJ;NOM;MASC;SG
đức	γερμανικό	đức	γερμανικός	N	ADJ;NOM;NEUT;SG
đức	γερμανικά	đức	γερμανικά	N	ADV
đức	γερμανική	đức	γερμανικός	N	ADJ;NOM;FEM;SG
đức	γερμανία	đức	γερμανία	N	PROPN;ACC;FEM;SG
bằng	ισούται	bằng	ισόύω	ADP	V;IPFV;IND;SG;3;PRS;FIN;PASS
bằng	ίσον	bằng	ίσο	ADP	
nhỏ	μικρά	nhỏ	μικρός	ADJ	ADV
nhỏ	little	nhỏ	little	ADJ	
nhỏ	τζούνιορ	nhỏ	τζούνιορ	ADJ	PROPN;NOM;NEUT;PL
nhỏ	junior	nhỏ	junior	ADJ	
hợp	ταιριάζει	hợp	ταιριάζω	ADJ	V;IPFV;IND;SG;1;PRS;FIN;ACT
hợp	ένωση	hợp	ένωση	ADJ	N;NOM;FEM;SG
hợp	ενωση	hợp	ενωση	ADJ	N;NOM;FEM;SG
hợp	συνδικάτο	hợp	συνδικάτο	ADJ	N;NOM;NEUT;SG
hợp	σωματείο	hợp	σωματείο	ADJ	N;NOM;NEUT;SG
hợp	ταιριάζει	hợp	ταιριάζω	ADJ	V;IPFV;IND;SG;1;PRS;FIN;ACT
hợp	χωράει	hợp	χωρώ	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
đường	τανγκ	đường	τανγκ	N	
đường	road	đường	road	N	
đường	way	đường	way	N	
thêm	πρόσθεση	thêm	πρόσθεση	V	N;NOM;FEM;SG
thêm	προσθήκη	thêm	προσθήκη	V	N
thêm	περισσότερο	thêm	πολύ	V	ADV;CMPR
thêm	περισσότεροι	thêm	πολύς	V	ADJ;NOM;CMPR;MASC;PL
thêm	πιο	thêm	πιο	V	ADV
thêm	περισσότερες	thêm	πολύς	V	ADJ;NOM;CMPR;FEM;PL
thêm	περισσότερα	thêm	πολύς	V	ADJ;NOM;CMPR;NEUT;PL
xem	εμφάνιση	xem	εμφάνιση	V	N;ACC;FEM;SG
xem	show	xem	show	V	
xem	παράσταση	xem	παράσταση	V	N;ACC;FEM;SG
xem	ρολόι	xem	ρολός	V	N;NOM;NEUT;SG
xem	βλέπε	xem	βλέπω	V	
xem	δειτε	xem	δειτε	V	
xem	θεα	xem	θεα	V	N;NOM;FEM;SG
xem	θέα	xem	θέα	V	N;NOM;FEM;SG
xem	όψη	xem	όψο	V	N;NOM;FEM;SG
xem	προβολή	xem	προβολή	V	N;NOM;FEM;SG
xem	view	xem	view	V	
diễn	ηθοποιία	diễn	ηθοποιία	V	N;NOM;FEM;SG
diễn	υποκριτική	diễn	υποκριτικός	V	N;NOM;FEM;SG
diễn	ηθοποιός	diễn	ηθοποιός	V	N;NOM;MASC;SG
máy	φιλοξενεί	máy	φιλοξενώ	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
hoàng	χουάνγκ	hoàng	χουάνγκ	N	
hoàng	πρινς	hoàng	πρινς	N	
hoàng	prince	hoàng	prince	N	
dương	θετικές	dương	θετικός	N	ADJ;NOM;FEM;PL
dương	θετικά	dương	θετικός	N	ADV
dương	θετικός	dương	θετικός	N	ADJ;NOM;MASC;SG
dương	θετικό	dương	θετικός	N	ADJ;NOM;NEUT;SG
dương	θετική	dương	θετικός	N	ADJ;NOM;FEM;SG
dương	γιουνγκ	dương	γιουνγκ	N	NUM;NOM;MASC;SG
dương	yang	dương	yang	N	
dương	γιάνγκ	dương	γιάνγκ	N	
thủ	ματς	thủ	ματός	N	
lực	power	lực	power	N	
hay	σανό	hay	σανό	CONJ	N;NOM;NEUT;SG
hay	καλή	hay	καλός	CONJ	ADJ;NOM;FEM;SG
hay	καλο	hay	καλος	CONJ	ADV
hay	καλό	hay	καλός	CONJ	ADJ;NOM;NEUT;SG
hay	καλά	hay	καλά	CONJ	ADV
hay	καλα	hay	καλά	CONJ	ADV
sống	ζωντανά	sống	ζωντανός	V	ADV
sống	live	sống	live	V	
sống	ζωντανός	sống	ζωντανός	V	ADJ;NOM;MASC;SG
sống	ζωντανό	sống	ζωντανός	V	ADJ;NOM;NEUT;SG
sống	ζωντανοί	sống	ζωντανός	V	ADJ;NOM;MASC;PL
sống	ζωντανή	sống	ζωντανός	V	ADJ;NOM;FEM;SG
thường	συνήθως	thường	συνήθως		ADV
thường	συνηθως	thường	συνηθως		ADV
thường	τακτικά	thường	τακτικός		ADV
thường	τακτική	thường	τακτικός		ADJ;NOM;FEM;SG
thường	κανονική	thường	κανονικός		ADJ;NOM;FEM;SG
thường	κανονικός	thường	κανονικός		ADJ;NOM;MASC;SG
thường	κανονικό	thường	κανονικός		ADJ;NOM;NEUT;SG
thường	φυσιολογικός	thường	φυσιολογικός		ADJ;NOM;MASC;SG
thường	κανονικό	thường	κανονικός		ADJ;NOM;NEUT;SG
thường	φυσιολογική	thường	φυσιολογικός		ADJ;NOM;FEM;SG
thường	φυσιολογικό	thường	φυσιολογικός		ADJ;NOM;NEUT;SG
thường	κανονική	thường	κανονικός		ADJ;NOM;FEM;SG
tính	υπολογισμός	tính	υπολογισμός	V	N;NOM;MASC;SG
ban	περίπου	ban	περίπου		ADV
ban	πτέρυγες	ban	πτέρυγας		N;NOM;FEM;PL
ban	ορχήστρα	ban	ορχήστρα		N;NOM;FEM;SG
ban	συγκρότημα	ban	συγκρότημα		N;NOM;NEUT;SG
ban	μπάντα	ban	μπάντα		N;NOM;FEM;SG
ban	απαγόρευση	ban	απαγόρευση		N;ACC;FEM;SG
ban	αποκλεισμός	ban	αποκλεισμός		N;NOM;MASC;SG
ban	μπαν	ban	μπαν		
jpg	jpg	jpg	jpg	N	
cộng	συν	cộng	συν		N
cộng	plus	cộng	plus		
nhận	αξίωση	nhận	αξίωση	V	N;ACC;FEM;SG
nhận	διεκδίκηση	nhận	διεκδίκηση	V	N;ACC;FEM;SG
nhận	κατοχύρωση	nhận	κατοχύρωση	V	N;ACC;FEM;SG
nhận	ισχυρισμός	nhận	ισχυρισμός	V	N;NOM;MASC;SG
nhận	παραλαβή	nhận	παραλαβή	V	N;NOM;FEM;SG
qua	παρελθον	qua	παρελθον	V	N;NOM;NEUT;SG
qua	περασμένες	qua	περασμένος	V	ADJ;NOM;FEM;PL
qua	περασμένα	qua	περασμένος	V	ADJ;NOM;NEUT;PL
qua	παρελθόν	qua	παρελθόν	V	N;NOM;NEUT;SG
qua	over	qua	over	V	
qua	via	qua	via	V	
qua	μέσω	qua	μέσω	V	ADP
qua	μεσω	qua	μεσω	V	ADP
qua	μέσω	qua	μέσω	V	ADP
qua	πέρασμα	qua	πέρασμα	V	N;NOM;NEUT;SG
qua	πάσα	qua	πάσα	V	N;ACC;FEM;SG
qua	πάσο	qua	πάσο	V	
ảnh	photo	ảnh	photo	N	
ảnh	φωτο	ảnh	φωτος	N	
thái	τάι	thái	ο	N	
thái	tai	thái	tai	N	
hòa	ειρηνη	hòa	ειρηνη	N	PROPN;NOM;FEM;SG
hòa	φρεντ	hòa	φρεντ	N	
hòa	fred	hòa	fred	N	
tổng	συνολικά	tổng	συνολικά	N	ADV
minh	μινχ	minh	μινχ	N	
minh	έξυπνο	minh	έξυπνο	N	ADJ;NOM;NEUT;SG
