til	para	til	para	ADV	ADP
score	puntuación	score	puntuación	V;NFIN;ACT	N;FEM;SG
score	partitura	score	partitura	V;NFIN;ACT	N;FEM;SG
score	partituras	score	partitura	V;NFIN;ACT	N;FEM;PL
score	puntuación	score	puntuación	V;NFIN;ACT	N;FEM;SG
score	puntuaciones	score	puntuación	V;NFIN;ACT	N;FEM;PL
hvor	where	hvor	where	ADV	N
hvor	donde	hvor	donde	ADV	PRO
hvor	adonde	hvor	adonde	ADV	
hvor	dónde	hvor	dónde	ADV	PRO
havde	tenía	have	tener	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
havde	tenido	have	tener	V;IND;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
havde	había	have	haber	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
under	bajo	under	bajo	ADV	ADP
under	under	under	under	ADV	PROPN
hans	hans	hans	haber	DET;3	N;MASC;SG
over	over	over	over	ADV	PROPN
over	supra	over	supro	ADV	
første	primero	første	primero	ADJ	ADV
henvisninger	remisión	henvisning	remisión	N;INDF;MASC+FEM;PL	N;FEM;SG
dansk	danés	dansk	danés	ADJ;INDF;SG	N;MASC;SG
dansk	daneses	dansk	danés	ADJ;INDF;SG	N;MASC;PL
dansk	dinamarca	dansk	dinamarco	ADJ;INDF;SG	N;FEM;SG
dansk	dansk	dansk	dansk	ADJ;INDF;SG	N;MASC;SG
mod	hacia	mod	hacia	N;INDF;NEUT;SG	ADP
mod	contra	mod	contra	N;INDF;NEUT;SG	ADP
andre	otro	anden	otro	PRO;PL	PRO;MASC;SG
fik	got	få	got	V;IND;PST;FIN;ACT	PROPN
fik	tengo	få	tener	V;IND;PST;FIN;ACT	V;IND;SG;1;PRS;FIN
del	del	del	del	N;INDF;MASC+FEM;SG	ADP;MASC;SG
del	compartan	del	compartir	N;INDF;MASC+FEM;SG	V;IMP;PL;3;FIN
del	comparte	del	compartir	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
del	compartir	del	compartir	N;INDF;MASC+FEM;SG	V;NFIN
del	comparta	del	compartir	N;INDF;MASC+FEM;SG	V;IMP;SG;3;FIN
født	nacidos	føde	nacido	V;INDF;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
født	born	føde	born	V;INDF;SG;PST;V.PTCP	N
født	nacido	føde	nacido	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
flere	varios	mange	varios	ADJ;CMPR;PL	PRO;MASC;PL
flere	varias	mange	varios	ADJ;CMPR;PL	PRO;FEM;PL
flere	múltiple	mange	múltiple	ADJ;CMPR;PL	ADJ;SG
flere	más	mange	más	ADJ;CMPR;PL	ADV
flere	mas	mange	mas	ADJ;CMPR;PL	ADV
flere	more	mange	more	ADJ;CMPR;PL	
alle	todas	al	todo	ADJ;PL	PRO;FEM;PL
alle	all	al	all	ADJ;PL	N
alle	todo	al	todo	ADJ;PL	PRO;MASC;SG
alle	todos	al	todo	ADJ;PL	PRO;MASC;PL
alle	todos	al	todo	ADJ;PL	PRO;MASC;PL
danmark	dinamarca	danmark	dinamarco		N;FEM;SG
mange	muchas	mange	mucho	ADJ;PL	PRO;FEM;PL
mange	muchos	mange	mucho	ADJ;PL	PRO;MASC;PL
kunne	podrían	kunne	poder	V;IND;PST;FIN;ACT	V;COND;PL;3;FIN
kunne	podía	kunne	poder	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
kunne	podría	kunne	poder	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN
kunne	podria	kunne	podria	V;IND;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
danske	danés	dansk	danés	ADJ;PL	N;MASC;SG
danske	danesa	dansk	danés	ADJ;PL	ADJ;FEM;SG
danske	daneses	dansk	danés	ADJ;PL	N;MASC;PL
danske	dinamarca	dansk	dinamarco	ADJ;PL	N;FEM;SG
danske	danske	dansk	danske	ADJ;PL	N
tidligere	anterior	tidligere	anterior	ADV;CMPR	ADJ;SG
tidligere	anteriores	tidligere	anterior	ADV;CMPR	ADJ;PL
tidligere	antiguo	tidligere	antiguo	ADV;CMPR	ADJ;MASC;SG
tidligere	ex	tidligere	ex	ADV;CMPR	ADJ
tidligere	anterior	tidligere	anterior	ADV;CMPR	ADJ;SG
tidligere	previo	tidligere	previo	ADV;CMPR	ADJ;MASC;SG
tidligere	anteriores	tidligere	anterior	ADV;CMPR	ADJ;PL
tidligere	previos	tidligere	previo	ADV;CMPR	ADJ;MASC;PL
siden	desde	siden	desde	ADV	ADP
siden	pagina	siden	pagina	ADV	N;FEM;SG
siden	página	siden	página	ADV	N;FEM;SG
siden	page	siden	pager	ADV	N
skal	debería	skulle	deber	V;IND;PRS;FIN;ACT	V;COND;SG;3;FIN
skal	deberían	skulle	deber	V;IND;PRS;FIN;ACT	V;COND;PL;3;FIN
skal	debiera	skulle	deber	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;IPFV;FIN
skal	concha	skulle	concha	V;IND;PRS;FIN;ACT	N;FEM;SG
skal	caparazón	skulle	caparazón	V;IND;PRS;FIN;ACT	N;MASC;SG
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	N;SG
skal	cáscara	skulle	cáscara	V;IND;PRS;FIN;ACT	N;FEM;SG
skal	mosto	skulle	mosto	V;IND;PRS;FIN;ACT	N;MASC;SG
have	jardín	have	jardín	V;NFIN;ACT	N;MASC;SG
have	jardinería	have	jardinería	V;NFIN;ACT	N;FEM;SG
have	jardin	have	jardin	V;NFIN;ACT	N;MASC;SG
have	han	have	haber	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
mere	more	mere	more	ADV;CMPR	
store	large	stor	large	ADJ;PL	N
store	grande	stor	grande	ADJ;PL	ADJ;SG
store	big	stor	big	ADJ;PL	N
store	grande	stor	grande	ADJ;PL	ADJ;SG
store	gran	stor	gran	ADJ;PL	ADJ;SG
meget	very	meget	ver	ADJ;INDF;SG	N
meget	muy	meget	mucho	ADJ;INDF;SG	ADV
meget	much	meget	much	ADJ;INDF;SG	N
meget	mucho	meget	mucho	ADJ;INDF;SG	ADV
været	sido	være	ser	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
sammen	juntos	sammen	junto	ADV	ADJ;MASC;PL
sammen	juntas	sammen	junto	ADV	ADJ;FEM;PL
sammen	together	sammen	together	ADV	N
bliver	quedarse	blive	quedar	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;IPFV;FIN
end	than	end	than	ADP	N
samme	misma	samme	mismo	ADJ	DET;FEM;SG
samme	igual	samme	igual	ADJ	ADV
vil	will	ville	will	V;IND;PRS;FIN;ACT	PROPN
vil	voluntad	ville	voluntad	V;IND;PRS;FIN;ACT	N;FEM;SG
vil	testamento	ville	testamento	V;IND;PRS;FIN;ACT	N;MASC;SG
vil	want	ville	want	V;IND;PRS;FIN;ACT	N
seed	semilla	seed	semilla		N;FEM;SG
seed	semillas	seed	semilla		N;FEM;PL
omkring	sobre	omkring	sobre	ADV	ADP
omkring	around	omkring	around	ADV	N
selv	hasta	selv	hasta	PRO	ADP
selv	incluso	selv	incluso	PRO	ADV
selv	aun	selv	aun	PRO	ADV
københavn	copenhague	københavn	copenhague	PROPN	PROPN
kom	ven	komme	ver	V;IND;PST;FIN;ACT	V;IND;PL;3;PRS;FIN
kom	venid	komme	venir	V;IND;PST;FIN;ACT	V;IND;PL;2;PRS;FIN
kom	vente	komme	vente	V;IND;PST;FIN;ACT	INTJ
kom	venga	komme	venir	V;IND;PST;FIN;ACT	V;SBJV;SG;3;PRS;FIN
kom	vengan	komme	venir	V;IND;PST;FIN;ACT	V;IMP;PL;3;FIN
skulle	debería	skulle	deber	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN
skulle	deberían	skulle	deber	V;IND;PST;FIN;ACT	V;COND;PL;3;FIN
skulle	deberia	skulle	deberia	V;IND;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
skulle	debiera	skulle	deber	V;IND;PST;FIN;ACT	V;SBJV;SG;3;IPFV;FIN
and	patos	and	pato		N;MASC;PL
and	patito	and	patito		N;MASC;SG
and	pato	and	pato		N;MASC;SG
and	duck	and	duck		N;SG
tre	tre	tre	tre	NUM	
nogle	some	nogen	some	PRO;PL	N
maj	may	maj	maber	N;INDF;MASC+FEM;SG	
anden	segundos	anden	segundo	PRO;MASC+FEM;SG	N;MASC;PL
anden	segunda	anden	segundo	PRO;MASC+FEM;SG	ADJ;FEM;SG
anden	segundas	anden	segundo	PRO;MASC+FEM;SG	ADJ;FEM;PL
anden	segundo	anden	segundo	PRO;MASC+FEM;SG	ADJ;MASC;SG
andet	segundos	anden	segundo	PRO;NEUT;SG	N;MASC;PL
andet	segunda	anden	segundo	PRO;NEUT;SG	ADJ;FEM;SG
andet	segundas	anden	segundo	PRO;NEUT;SG	ADJ;FEM;PL
andet	segundo	anden	segundo	PRO;NEUT;SG	ADJ;MASC;SG
andet	otras	anden	otro	PRO;NEUT;SG	PRO;FEM;PL
andet	otros	anden	otro	PRO;NEUT;SG	PRO;MASC;PL
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	PROPN
dag	day	dag	day	N;INDF;MASC+FEM;SG	
her	aca	her	acair	ADV	INTJ
her	aqui	her	aqui	ADV	INTJ
tilbage	volver	tilbage	volver	ADV	V;NFIN
tilbage	espalda	tilbage	espalda	ADV	N;FEM;SG
tilbage	regreso	tilbage	regreso	ADV	N;MASC;SG
tilbage	back	tilbage	back	ADV	
cest	cest	cest	cest		N
død	muerta	død	muerto	N;INDF;MASC+FEM;SG	ADJ;FEM;SG;V.PTCP
død	muertos	død	muerto	N;INDF;MASC+FEM;SG	N;MASC;PL
død	muerto	død	muerto	N;INDF;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
august	august	august	augusto	N;INDF;MASC+FEM;SG	PROPN
forskellige	distinta	forskellig	distinto	ADJ;PL	ADJ;FEM;SG
forskellige	diferente	forskellig	diferente	ADJ;PL	ADJ;SG
forskellige	distintos	forskellig	distinto	ADJ;PL	PRO;MASC;PL
forskellige	distinto	forskellig	distinto	ADJ;PL	ADJ;MASC;SG
forskellige	varios	forskellig	varios	ADJ;PL	PRO;MASC;PL
forskellige	varias	forskellig	varios	ADJ;PL	PRO;FEM;PL
nye	novedad	ny	novedad	ADJ;PL	N;FEM;SG
nye	nuevo	ny	nuevo	ADJ;PL	ADJ;MASC;SG
nye	novedades	ny	novedad	ADJ;PL	N;FEM;PL
nye	nueva	ny	nuevo	ADJ;PL	ADJ;FEM;SG
både	barcos	både	barco	ADV	N;MASC;PL
både	embarcaciones	både	embarcación	ADV	N;FEM;PL
både	botes	både	bote	ADV	N;MASC;PL
både	lanchas	både	lancha	ADV	N;FEM;PL
både	ambos	både	ambos	ADV	NUM;MASC;PL
både	ambas	både	ambos	ADV	NUM;FEM;PL
gennem	via	gennem	via	ADV	
gennem	vía	gennem	vía	ADV	
gennem	mediante	gennem	mediante	ADV	ADP
gennem	through	gennem	through	ADV	N
stor	large	stor	large	ADJ;INDF;MASC+FEM;SG	N
stor	grandes	stor	grande	ADJ;INDF;MASC+FEM;SG	ADJ;PL
stor	big	stor	big	ADJ;INDF;MASC+FEM;SG	N
stor	grandes	stor	grande	ADJ;INDF;MASC+FEM;SG	ADJ;PL
usa	america	usa	america	PROPN	N;FEM;SG
usa	américa	usa	américa	PROPN	N;FEM;SG
usa	eeuu	usa	eeuu	PROPN	PROPN
usa	usa	usa	usar	PROPN	V;IND;SG;3;PRS;FIN
uden	sin	uden	sin	ADV	ADP
hold	hold	holde	hold	V;IMP	N
hold	aguanta	holde	aguantar	V;IMP	V;IND;SG;3;PRS;FIN
hold	equipos	holde	equipo	V;IMP	N;MASC;PL
hold	equipo	holde	equipo	V;IMP	N;MASC;SG
hold	team	holde	team	V;IMP	N
når	cuándo	når	cuándo	CONJ	PRO
når	when	når	when	CONJ	N
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	PROPN
juni	june	juni	june	N;INDF;MASC+FEM;SG	PROPN
kendt	conocidas	kendt	conocido	ADJ;INDF;SG	ADJ;FEM;PL;V.PTCP
kendt	conocidos	kendt	conocido	ADJ;INDF;SG	ADJ;MASC;PL;V.PTCP
kendt	famosas	kendt	famoso	ADJ;INDF;SG	ADJ;FEM;PL
kendt	famosos	kendt	famoso	ADJ;INDF;SG	ADJ;MASC;PL
hvilket	cuáles	hvilken	cuál	PRO;NEUT;SG	PRO;PL
hvilket	cuál	hvilken	cuál	PRO;NEUT;SG	PRO;SG
hvilket	cual	hvilken	cual	PRO;NEUT;SG	PRO;SG
mest	most	mest	most	ADV;RL	N
april	april	april	april	N;INDF;MASC+FEM;SG	PROPN
marts	marchen	marts	marchen	N;INDF;MASC+FEM;SG	V;IMP;PL;3;FIN
hele	enteras	hel	entero	ADJ;DEF;SG	ADJ;FEM;PL
hele	enteros	hel	entero	ADJ;DEF;SG	ADJ;MASC;PL
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	
række	hileras	række	hilera	N;INDF;MASC+FEM;SG	N;FEM;PL
række	filas	række	fila	N;INDF;MASC+FEM;SG	N;FEM;PL
række	remar	række	remar	N;INDF;MASC+FEM;SG	V;NFIN
række	rema	række	rema	N;INDF;MASC+FEM;SG	
style	style	style	style		N
style	estilo	style	estilo		N;MASC;SG
ofte	frecuente	ofte	frecuente	ADV	ADJ;SG
ofte	frecuentes	ofte	frecuente	ADV	ADJ;PL
ofte	menudo	ofte	menudo	ADV	N
jpg	jpg	jpg	jpg		PROPN
først	primera	først	primero	ADV	ADJ;FEM;SG
først	primeras	først	primero	ADV	ADJ;FEM;PL
først	primer	først	primero	ADV	ADJ;MASC;SG
først	primeros	først	primero	ADV	ADJ;MASC;PL
mål	blanco	mål	blanco	N;INDF;NEUT;SG	ADJ;MASC;SG
mål	objetivos	mål	objetivo	N;INDF;NEUT;SG	N;MASC;PL
mål	metas	mål	meta	N;INDF;NEUT;SG	N;FEM;PL
mål	objetivos	mål	objetivo	N;INDF;NEUT;SG	N;MASC;PL
mål	goles	mål	gol	N;INDF;NEUT;SG	N;MASC;PL
mål	objetivas	mål	objetivo	N;INDF;NEUT;SG	ADJ;FEM;PL
mål	objetiva	mål	objetivo	N;INDF;NEUT;SG	ADJ;FEM;SG
mål	metas	mål	meta	N;INDF;NEUT;SG	N;FEM;PL
mål	blanco	mål	blanco	N;INDF;NEUT;SG	ADJ;MASC;SG
mål	objetivos	mål	objetivo	N;INDF;NEUT;SG	N;MASC;PL
mål	blancos	mål	blanco	N;INDF;NEUT;SG	N;MASC;PL
film	cine	film	cine	N;INDF;MASC+FEM;PL	N;MASC;SG
film	cine	film	cine	N;INDF;MASC+FEM;PL	N;MASC;SG
film	pelicula	film	pelicula	N;INDF;MASC+FEM;PL	N;FEM;SG
film	cine	film	cine	N;INDF;MASC+FEM;PL	N;MASC;SG
film	película	film	película	N;INDF;MASC+FEM;PL	N;FEM;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;MASC;SG
film	pelicula	film	pelicula	N;INDF;MASC+FEM;PL	N;FEM;SG
film	cine	film	cine	N;INDF;MASC+FEM;PL	N;MASC;SG
film	movie	film	movie	N;INDF;MASC+FEM;PL	N;SG
film	película	film	película	N;INDF;MASC+FEM;PL	N;FEM;SG
sidste	last	sidste	last	ADJ	N
tyske	alemanes	tysk	alemán	ADJ;PL	N;MASC;PL
tyske	alemán	tysk	alemán	ADJ;PL	N;MASC;SG
tyske	alemana	tysk	alemán	ADJ;PL	ADJ;FEM;SG
tyske	aleman	tysk	alemar	ADJ;PL	N;MASC;SG
gik	caminado	gå	caminar	V;IND;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
indtil	hasta	indtil	hasta	CONJ	ADP
fire	four	fire	four	NUM	N
vandt	ganados	vinde	ganado	V;IND;PST;FIN;ACT	ADJ;MASC;PL;V.PTCP
vandt	ganado	vinde	ganado	V;IND;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
vandt	gano	vinde	ganar	V;IND;PST;FIN;ACT	V;IND;SG;1;PRS;FIN
mindre	menor	mindre	menor	ADV;CMPR	ADJ;SG
mindre	menores	mindre	menor	ADV;CMPR	ADJ;PL
mindre	minor	mindre	minor	ADV;CMPR	N
christian	cristiano	christian	cristiano		ADJ;MASC;SG
christian	christian	christian	christiar		PROPN
christian	cristianos	christian	cristiano		N;MASC;PL
christian	cristiana	christian	cristiano		ADJ;FEM;SG
christian	cristian	christian	cristiar		PROPN
christian	cristián	christian	cristián		N;MASC;SG
frem	forward	frem	forward	ADV	N
frem	delantero	frem	delantero	ADV	N;MASC;SG
største	greatest	stor	greatest	ADJ;DEF;RL	N
cet	cet	cet	cet		N
alt	everything	al	everything	ADJ;NEUT;SG	N
alt	todo	al	todo	ADJ;NEUT;SG	PRO;MASC;SG
alt	todas	al	todo	ADJ;NEUT;SG	PRO;FEM;PL
alt	all	al	all	ADJ;NEUT;SG	N
alt	todo	al	todo	ADJ;NEUT;SG	PRO;MASC;SG
alt	todos	al	todo	ADJ;NEUT;SG	PRO;MASC;PL
side	side	side	sedir	N;INDF;MASC+FEM;SG	
side	costado	side	costar	N;INDF;MASC+FEM;SG	ADJ;MASC;SG;V.PTCP
side	laterales	side	lateral	N;INDF;MASC+FEM;SG	N;PL
spillede	jugado	spille	jugado	V;IND;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
spillede	desempeñado	spille	desempeñado	V;IND;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
igen	again	igen	again	ADV	N
tog	train	tage	train	V;IND;PST;FIN;ACT	N
tog	trenes	tage	tren	V;IND;PST;FIN;ACT	N;MASC;PL
tog	entreno	tage	entreno	V;IND;PST;FIN;ACT	N;MASC;SG
tog	tren	tage	tren	V;IND;PST;FIN;ACT	N;MASC;SG
tog	trenes	tage	tren	V;IND;PST;FIN;ACT	N;MASC;PL
amerikansk	american	amerikansk	americar	ADJ;INDF;SG	N;FEM;SG
amerikansk	americanos	amerikansk	americano	ADJ;INDF;SG	N;MASC;PL
lille	small	lille	small	ADJ;SG	N
lille	pequeñas	lille	pequeño	ADJ;SG	ADJ;FEM;PL
lille	pequeños	lille	pequeño	ADJ;SG	ADJ;MASC;PL
lille	poco	lille	poco	ADJ;SG	ADV
lille	little	lille	little	ADJ;SG	N
lille	lille	lille	lille	ADJ;SG	N;MASC;SG
not	not	not	not		INTJ
not	no	not	no		ADV;NEG
hendes	ella	hendes	él	DET;3	PRO;FEM;SG;3
hendes	her	hendes	her	DET;3	N
von	von	von	von		PROPN
hvad	qué	hvad	qué	PRO;SG	PRO;SG
nord	nord	nord	nord	N;INDF	
kort	plano	kort	plano	ADJ;INDF;SG	N;MASC;SG
kort	mapa	kort	mapa	ADJ;INDF;SG	N;MASC;SG
kort	mapas	kort	mapa	ADJ;INDF;SG	N;MASC;PL
kort	short	kort	short	ADJ;INDF;SG	N
kort	cortos	kort	corto	ADJ;INDF;SG	ADJ;MASC;PL
kort	mapas	kort	mapa	ADJ;INDF;SG	N;MASC;PL
kort	mapa	kort	mapa	ADJ;INDF;SG	N;MASC;SG
kort	cartas	kort	carta	ADJ;INDF;SG	N;FEM;PL
kort	naipes	kort	naipe	ADJ;INDF;SG	N;MASC;PL
kort	baraja	kort	barajar	ADJ;INDF;SG	N;FEM;SG
kort	tarjetas	kort	tarjeta	ADJ;INDF;SG	N;FEM;PL
kort	tarjeta	kort	tarjeta	ADJ;INDF;SG	N;FEM;SG
kort	tarjetas	kort	tarjeta	ADJ;INDF;SG	N;FEM;PL
kort	card	kort	card	ADJ;INDF;SG	N
begyndte	iniciada	begynde	iniciado	V;IND;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
begyndte	iniciado	begynde	iniciado	V;IND;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
udgivet	liberados	udgive	liberado	V;INDF;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
udgivet	liberada	udgive	liberado	V;INDF;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
udgivet	lanzado	udgive	lanzado	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
udgivet	liberado	udgive	liberado	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
udgivet	publicados	udgive	publicado	V;INDF;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
udgivet	publicadas	udgive	publicado	V;INDF;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
udgivet	publicada	udgive	publicado	V;INDF;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
udgivet	publicado	udgive	publicado	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
helt	heroe	helt	heroe	ADV	N;MASC;SG
helt	hero	helt	hero	ADV	N;MASC;SG
helt	héroe	helt	héroe	ADV	N;MASC;SG
gamle	viejo	gammel	viejo	ADJ;PL	ADJ;MASC;SG
gamle	antiguo	gammel	antiguo	ADJ;PL	ADJ;MASC;SG
gamle	antigua	gammel	antiguo	ADJ;PL	ADJ;FEM;SG
gamle	vieja	gammel	viejo	ADJ;PL	ADJ;FEM;SG
bedste	best	god	best	ADJ;DEF;RL	N;MASC;SG
bedste	mejor	god	mejor	ADJ;DEF;RL	ADV
døde	muerta	død	muerto	ADJ;PL	ADJ;FEM;SG;V.PTCP
døde	muertos	død	muerto	ADJ;PL	N;MASC;PL
døde	dead	død	dead	ADJ;PL	N
døde	muerto	død	muerto	ADJ;PL	ADJ;MASC;SG;V.PTCP
døde	murió	død	morir	ADJ;PL	V;IND;SG;3;PST;FIN
døde	murio	død	murio	ADJ;PL	V;IND;SG;1;PRS;FIN
døde	murieron	død	morir	ADJ;PL	V;IND;PL;3;PST;FIN
amerikanske	americano	amerikansk	americano	ADJ;PL	ADJ;MASC;SG
amerikanske	american	amerikansk	americar	ADJ;PL	N;FEM;SG
amerikanske	estadounidense	amerikansk	estadounidense	ADJ;PL	ADJ;SG
amerikanske	americanos	amerikansk	americano	ADJ;PL	N;MASC;PL
amerikanske	americana	amerikansk	americana	ADJ;PL	ADJ;FEM;SG
tysk	alemanes	tysk	alemán	ADJ;INDF;SG	N;MASC;PL
tysk	alemán	tysk	alemán	ADJ;INDF;SG	N;MASC;SG
tysk	aleman	tysk	alemar	ADJ;INDF;SG	N;MASC;SG
meter	medidor	meter	medidor	N;INDF;MASC+FEM;PL	N;MASC;SG
gruppe	agrupar	gruppe	agrupar	N;INDF;MASC+FEM;SG	V;NFIN
tyskland	alemania	tyskland	alemania	PROPN	N;FEM;SG
lige	recto	lige	recto	ADV	ADJ;MASC;SG
lige	directo	lige	directo	ADV	ADJ;MASC;SG
lige	recta	lige	recta	ADV	N;FEM;SG
lige	heterosexual	lige	heterosexual	ADV	ADJ;SG
lige	equal	lige	equal	ADV	N
lige	iguales	lige	igual	ADV	ADJ;PL
spillet	juego	spille	juego	V;INDF;SG;PST;V.PTCP	N;MASC;SG
spillet	jugaron	spille	jugar	V;INDF;SG;PST;V.PTCP	V;IND;PL;3;PST;FIN
spillet	jugado	spille	jugado	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
spillet	desempeñado	spille	desempeñado	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
peter	pedro	peter	pedro		N;MASC;SG
peter	peter	peter	peter		N;MASC;SG
hver	cada	hver	cada	PRO;MASC+FEM;SG	DET;SG
hver	cada	hver	cada	PRO;MASC+FEM;SG	DET;SG
engelsk	inglés	engelsk	inglés	ADJ;INDF;SG	N;MASC;SG
engelsk	ingles	engelsk	ingle	ADJ;INDF;SG	
engelsk	espanol	engelsk	espanol	ADJ;INDF;SG	N;MASC;SG
århundrede	siglos	århundrede	siglo	N;INDF;NEUT;SG	N;MASC;PL
århundrede	century	århundrede	century	N;INDF;NEUT;SG	PROPN
stadig	todavia	stadig	todavia	ADV	INTJ
stadig	still	stadig	still	ADV	N
john	juan	john	juan	PROPN	PROPN
john	john	john	john	PROPN	PROPN
gift	casadas	gift	casada	ADJ;INDF;SG	N;FEM;PL
gift	casados	gift	casado	ADJ;INDF;SG	ADJ;MASC;PL;V.PTCP
gift	veneno	gift	veneno	ADJ;INDF;SG	N;MASC;SG
gift	veneno	gift	veneno	ADJ;INDF;SG	N;MASC;SG
center	centrar	center	centrar	N;INDF;NEUT;SG	V;NFIN
forhold	relaciones	forhold	relación	N;INDF;NEUT;SG	N;FEM;PL
forhold	relaciones	forhold	relación	N;INDF;NEUT;SG	N;FEM;PL
spiller	player	spille	player	V;IND;PRS;FIN;ACT	N;SG
spiller	reproductor	spille	reproductor	V;IND;PRS;FIN;ACT	N;MASC;SG
