năm	пет	năm	пет	N	NUM;INDF;PL
pháp	френска	pháp	френски	N	ADJ;INDF;FEM;SG
pháp	френски	pháp	френски	N	ADJ;INDF;MASC;SG
pháp	франция	pháp	франция	N	PROPN;INDF;FEM;SG
chúng	ги	chúng	аз	PROPN	PRO;ACC;PL;3
chúng	тях	chúng	аз	PROPN	PRO;ACC;PL;3
chúng	те	chúng	аз	PROPN	PRO;NOM;PL;3
tập	епизод	tập	епизод		N;INDF;MASC;SG
tập	епизоди	tập	епизод		N;INDF;MASC;PL
nhiều	mnogo	nhiều	mnogo	ADJ	PROPN;INDF;NEUT;SG
nhiều	много	nhiều	много	ADJ	ADV;INDF;PL
nhiều	множество	nhiều	множество	ADJ	N;INDF;NEUT;SG
chi	chi	chi	chi	N	PROPN;INDF;MASC;SG
chi	чи	chi	чи	N	PROPN;INDF;FEM;SG
chỉ	само	chỉ	само		ADV
chỉ	единствено	chỉ	единствено		ADV
chỉ	просто	chỉ	просто		ADV
chỉ	само	chỉ	само		ADV
đây	тук	đây	там	PROPN	ADV
sinh	раждането	sinh	раждане	V	N;DEF;NEUT;SG
sinh	раждане	sinh	раждане	V	N;INDF;NEUT;SG
sinh	рождение	sinh	рождение	V	N;INDF;NEUT;SG
quan	куан	quan	куан	V	PROPN;INDF;MASC;SG
quan	офицер	quan	офицер	V	N;INDF;MASC;SG
quan	полицай	quan	полицай	V	N;INDF;MASC;SG
tin	вярвай	tin	вярвам		V;IPFV;IMP;SG;2;FIN
tin	тин	tin	тин		PROPN;MASC;SG
tin	истории	tin	история		N;INDF;FEM;PL
tin	разкази	tin	разказ		N;INDF;MASC;PL
tin	новини	tin	новина		N;INDF;FEM;PL
tin	новина	tin	новина		N;INDF;FEM;SG
tin	новините	tin	новина		N;DEF;FEM;PL
tin	доверие	tin	доверие		N;INDF;NEUT;SG
tin	вярвай	tin	вярвам		V;IPFV;IMP;SG;2;FIN
đồng	меден	đồng	меден	N	ADJ;INDF;MASC;SG
đồng	медни	đồng	меден	N	ADJ;INDF;PL
đồng	медна	đồng	меден	N	ADJ;INDF;FEM;SG
đồng	бронзова	đồng	бронзова	N	ADJ;INDF;FEM;SG
đồng	бронзови	đồng	бронзов	N	ADJ;INDF;PL
viên	park	viên	park	N	ADJ
viên	виен	viên	виен	N	PROPN;INDF;MASC;SG
viên	виена	viên	виен	N	PROPN;INDF;FEM;SG
phải	правилно	phải	правилно	V	ADV
bắc	северно	bắc	северно	N	ADV
bắc	северна	bắc	северен	N	ADJ;INDF;FEM;SG
bắc	северни	bắc	северен	N	ADJ;INDF;PL
bắc	северна	bắc	северен	N	ADJ;INDF;FEM;SG
tiểu	елементарен	tiểu	елементарен		ADJ;INDF;MASC;SG
tiểu	елементарно	tiểu	елементарно		ADV
tiểu	елементарна	tiểu	елементарен		ADJ;INDF;FEM;SG
tiểu	начално	tiểu	начално		ADV
tiểu	малка	tiểu	малък		ADJ;INDF;FEM;SG
tiểu	малки	tiểu	малък		ADJ;INDF;PL
tiểu	малък	tiểu	малък		ADJ;INDF;MASC;SG
tiểu	литъл	tiểu	литъл		N;INDF;MASC;SG
tiểu	малко	tiểu	малко		ADV;INDF;PL
khác	различно	khác	различно	ADJ	ADV
khác	друго	khác	друг	ADJ	ADV
cao	високо	cao	високо	ADJ	ADV
cao	гао	cao	гао	ADJ	PROPN;INDF;MASC;SG
tây	западно	tây	западно	N	ADV
tây	западна	tây	западна	N	ADJ;INDF;FEM;SG
tây	западен	tây	западя-(се)	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
tây	уест	tây	уест	N	PROPN;INDF;MASC;SG
tây	западна	tây	западна	N	ADJ;INDF;FEM;SG
tây	западни	tây	западен	N	ADJ;INDF;PL
tây	западен	tây	западя-(се)	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
tây	западните	tây	западен	N	ADJ;DEF;PL
giải	бокс	giải	бокс	V	N;INDF;MASC;SG
giải	бокса	giải	бокса	V	N;DEF;MASC;SG
giải	разрешаване	giải	разрешаване	V	N;INDF;NEUT;SG
giải	решаване	giải	решаване	V	N;INDF;NEUT;SG
giải	резолюция	giải	резолюция	V	N;INDF;FEM;SG
bang	властите	bang	власт		N;DEF;FEM;PL
bang	власти	bang	власт		N;INDF;FEM;PL
bang	органи	bang	орган		N;INDF;MASC;PL
bang	щат	bang	щат		N;INDF;MASC;SG
bang	държава	bang	държава		N;INDF;FEM;SG
bang	държавно	bang	държавен		ADV
bang	банг	bang	банг		N;INDF;MASC;SG
bang	взрив	bang	взрив		N;INDF;MASC;SG
đông	източно	đông	източно	ADJ	ADV
đông	изток	đông	изток	ADJ	N;INDF;MASC;SG
phố	city	phố	city	N	PROPN;INDF;MASC;SG
phố	street	phố	street	N	PROPN;INDF;MASC;SG
khu	уорд	khu	уорд	N	PROPN;INDF;MASC;SG
cánh	крилати	cánh	крилат	N	V;IPFV;INDF;PL;V.PTCP;PASS
cánh	уинг	cánh	уинг	N	PROPN;INDF;MASC;SG
lập	независима	lập	независим	V	ADJ;INDF;FEM;SG
lập	независими	lập	независим	V	ADJ;INDF;PL
lập	независим	lập	независим	V	ADJ;INDF;MASC;SG
cách	начини	cách	начин	V	N;INDF;MASC;PL
đội	team	đội	team	N	PROPN;INDF;MASC;SG
dưới	долу	dưới	долу	N	ADV
dưới	отдолу	dưới	отдолу	N	ADV
dưới	отдолу	dưới	отдолу	N	ADV
dưới	под	dưới	под	N	ADP
quận	забележи	quận	забележа-(се)	N	V;PFV;IND;SG;3;PST;FIN;ACT
quận	забележете	quận	забележа-(се)	N	V;PFV;IMP;PL;2;FIN
châu	америка	châu	америка	N	PROPN;INDF;FEM;SG
đoàn	дуан	đoàn	дуан	N	PROPN;INDF;MASC;SG
đoàn	девета	đoàn	девети	N	ADJ;INDF;FEM;SG
đoàn	девети	đoàn	девети	N	ADJ;INDF;MASC;SG
điều	че	điều	че	N	CONJ
điều	неща	điều	някой	N	DET;INDF;PL
điều	нещата	điều	някой	N	PRO;NOM;DEF;PL
thông	пайн	thông	пайн		PROPN;INDF;MASC;SG
thông	бор	thông	бор		N;INDF;MASC;SG
bay	лети	bay	летя		V;IPFV;IND;SG;3;PRS;FIN;ACT
bay	полети	bay	полет		N;INDF;MASC;PL
bay	летене	bay	летене		N;INDF;NEUT;SG
bay	летящи	bay	летящ		ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
bay	лети	bay	летя		V;IPFV;IND;SG;3;PRS;FIN;ACT
bay	полета	bay	поле		N;INDF;NEUT;PL
bay	полет	bay	полет		N;INDF;MASC;SG
bay	бей	bay	бей		N;INDF;MASC;SG
bay	залив	bay	залив		N;INDF;MASC;SG
bay	заливът	bay	залив		N;DEF;MASC;SG
bay	bay	bay	bay		N;INDF;MASC;SG
bài	кратко	bài	кратко	N	ADV
bài	къса	bài	къс	N	ADJ;INDF;FEM;SG
bài	кратка	bài	кратък	N	ADJ;INDF;FEM;SG
bài	късо	bài	къс	N	ADV
bài	кратък	bài	кратък	N	ADJ;INDF;MASC;SG
lượng	energy	lượng	energy	N	INTJ
tích	статично	tích	статичен	N	ADV
lớn	голямо	lớn	голям	ADJ	ADV
lớn	биг	lớn	биг	ADJ	N;INDF;MASC;SG
lớn	голямо	lớn	голям	ADJ	ADV
phim	филми	phim	филм		N;INDF;MASC;PL
phim	филмова	phim	филмов		ADJ;INDF;FEM;SG
phim	филм	phim	филм		N;INDF;MASC;SG
phim	филм	phim	филм		N;INDF;MASC;SG
phim	лента	phim	лента		N;INDF;FEM;SG
phim	филми	phim	филм		N;INDF;MASC;PL
trước	прев	trước	прев		N;INDF;FEM;SG
trước	първи	trước	първи		ADJ;INDF;MASC;SG
trước	първо	trước	първо		ADV
trước	предишна	trước	предишен		ADJ;INDF;FEM;SG
trước	предишни	trước	предишен		ADJ;INDF;PL
trước	предишен	trước	предишен		ADJ;INDF;MASC;SG
trước	предишно	trước	предишно		ADV
trước	преди	trước	преди		ADP
đức	германски	đức	германски	N	ADJ;INDF;MASC;SG
đức	немски	đức	немски	N	ADJ;INDF;MASC;SG
đức	немска	đức	немски	N	ADJ;INDF;FEM;SG
đức	германска	đức	германски	N	ADJ;INDF;FEM;SG
đức	германия	đức	германия	N	PROPN;INDF;FEM;SG
bằng	равно	bằng	равен	ADP	ADV
bằng	равни	bằng	равен	ADP	ADJ;INDF;PL
nhỏ	литъл	nhỏ	литъл	ADJ	N;INDF;MASC;SG
nhỏ	малко	nhỏ	малко	ADJ	ADV;INDF;PL
nhỏ	младши	nhỏ	младш	ADJ	PROPN;INDF;MASC;SG
nhỏ	джуниър	nhỏ	джуниър	ADJ	N;INDF;MASC;SG
hợp	профсъюз	hợp	профсъюз	ADJ	N;INDF;MASC;SG
hợp	съюз	hợp	съюз	ADJ	N;INDF;MASC;SG
hợp	съюза	hợp	съюз	ADJ	N;DEF;MASC;SG
hợp	юниън	hợp	юниън	ADJ	N;INDF;MASC;SG
hợp	припадъци	hợp	припадък	ADJ	N;INDF;MASC;PL
hợp	пасва	hợp	пасвам-(се)	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
hợp	съвпада	hợp	съвпадам	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
đường	танг	đường	танг	N	PROPN;INDF;MASC;SG
thêm	добавяне	thêm	добавяне	V	N;INDF;NEUT;SG
thêm	повече	thêm	повече	V	ADV;INDF;PL
thêm	още	thêm	още	V	ADV
xem	показване	xem	показване	V	N;INDF;NEUT;SG
xem	гледане	xem	гледане	V	N;INDF;NEUT;SG
xem	изглед	xem	изглед	V	N;INDF;MASC;SG
xem	гледка	xem	гледка	V	N;INDF;FEM;SG
xem	оглед	xem	оглед	V	N;INDF;MASC;SG
xem	преглед	xem	преглед	V	N;INDF;MASC;SG
diễn	актьор	diễn	актьор	V	N;INDF;MASC;SG
máy	водещ	máy	водя	N	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
máy	водещи	máy	водя	N	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
hoàng	хуан	hoàng	хуан	N	PROPN;INDF;MASC;SG
hoàng	принс	hoàng	принс	N	PROPN;INDF;MASC;SG
chức	държана	chức	държана	N	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
chức	проведе	chức	проведа	N	V;PFV;IND;SG;3;PST;FIN;ACT
chức	държани	chức	държа-(се)	N	V;IPFV;INDF;PL;V.PTCP;PASS
chức	държан	chức	държа-(се)	N	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
dương	позитивна	dương	позитивен	N	ADJ;INDF;FEM;SG
dương	положителен	dương	положителен	N	ADJ;INDF;MASC;SG
dương	положителни	dương	положителен	N	ADJ;INDF;PL
dương	положителна	dương	положителен	N	ADJ;INDF;FEM;SG
dương	положително	dương	положително	N	ADV
dương	янг	dương	янг	N	PROPN;INDF;MASC;SG
hay	сеното	hay	сено	CONJ	N;DEF;NEUT;SG
hay	сено	hay	сено	CONJ	N;INDF;NEUT;SG
hay	добър	hay	добър	CONJ	ADJ;INDF;MASC;SG
hay	добро	hay	добър	CONJ	ADV
hay	добре	hay	добре	CONJ	ADV
sống	жива	sống	жив	V	ADJ;INDF;FEM;SG
sống	живите	sống	жив	V	ADJ;DEF;PL
sống	живи	sống	жив	V	ADJ;INDF;PL
sống	живи	sống	жив	V	ADJ;INDF;PL
sống	жива	sống	жив	V	ADJ;INDF;FEM;SG
sống	live	sống	live	V	ADJ
sống	жив	sống	жив	V	ADJ;INDF;MASC;SG
sống	живи	sống	жив	V	ADJ;INDF;PL
sống	жива	sống	жив	V	ADJ;INDF;FEM;SG
sống	жив	sống	жив	V	ADJ;INDF;MASC;SG
thường	обикновенно	thường	обикновенно		ADV
thường	обикновено	thường	обикновено		ADV
thường	редовно	thường	редовно		ADV
thường	редовен	thường	редовен		ADJ;INDF;MASC;SG
thường	редовни	thường	редовен		ADJ;INDF;PL
thường	редовна	thường	редовен		ADJ;INDF;FEM;SG
thường	нормален	thường	нормален		ADJ;INDF;MASC;SG
thường	нормално	thường	нормално		ADV
thường	нормални	thường	нормален		ADJ;INDF;PL
thường	нормална	thường	нормален		ADJ;INDF;FEM;SG
tính	изчисляване	tính	изчисляване	V	N;INDF;NEUT;SG
tính	изчисление	tính	изчисление	V	N;INDF;NEUT;SG
tính	изчисляване	tính	изчисляване	V	N;INDF;NEUT;SG
ban	относно	ban	относно		ADP
ban	отделения	ban	отделение		N;INDF;NEUT;PL
ban	група	ban	група		N;INDF;FEM;SG
ban	оркестър	ban	оркестър		N;INDF;MASC;SG
ban	банда	ban	банда		N;INDF;FEM;SG
ban	лента	ban	лента		N;INDF;FEM;SG
ban	забрана	ban	забрана		N;INDF;FEM;SG
ban	забрани	ban	забраня		V;PFV;IND;SG;3;PST;FIN;ACT
ban	бан	ban	бан		PROPN;INDF;MASC;SG
jpg	jpg	jpg	jpg	N	PROPN;INDF;MASC;SG
cộng	плюс	cộng	плюс		ADV
nhận	иск	nhận	иск	V	N;INDF;MASC;SG
nhận	твърдение	nhận	твърдение	V	N;INDF;NEUT;SG
nhận	претенция	nhận	претенция	V	N;INDF;FEM;SG
nhận	получаване	nhận	получаване	V	N;INDF;NEUT;SG
nhận	получаване	nhận	получаване	V	N;INDF;NEUT;SG
nhận	получаващи	nhận	получавам	V	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
qua	минало	qua	минало	V	N;INDF;NEUT;SG
qua	над	qua	над	V	ADP
qua	виа	qua	видя-(се)	V	N;INDF;MASC;SG
qua	via	qua	via	V	ADJ
qua	чрез	qua	чрез	V	ADP
qua	чрез	qua	чрез	V	ADP
qua	през	qua	през	V	ADP
qua	пропуск	qua	пропуск	V	N;INDF;MASC;SG
qua	пас	qua	пас	V	N;INDF;MASC;SG
qua	преминаване	qua	преминаване	V	N;INDF;NEUT;SG
thái	тай	thái	така	N	PROPN;INDF;MASC;SG
thái	таи	thái	този	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
hòa	фред	hòa	фред	N	PROPN;INDF;MASC;SG
tổng	общо	tổng	общо	N	ADV
tổng	общ	tổng	общ	N	ADJ;INDF;MASC;SG
tổng	обща	tổng	общ	N	ADJ;INDF;FEM;SG
minh	умна	minh	умна	N	ADJ;INDF;FEM;SG
minh	интелигентно	minh	интелигентно	N	ADV
minh	умно	minh	умно	N	ADV
minh	умни	minh	умна	N	ADJ;INDF;PL
minh	умен	minh	умен	N	ADJ;INDF;MASC;SG
tác	оригинални	tác	оригинален	N	ADJ;INDF;PL
tác	оригинално	tác	оригинален	N	ADV
tác	оригинална	tác	оригинален	N	ADJ;INDF;FEM;SG
tác	оригинален	tác	оригинален	N	ADJ;INDF;MASC;SG
gồm	включително	gồm	включително	V	ADV
kinh	сутра	kinh	сутра	V	N;INDF;FEM;SG
kinh	пекин	kinh	пекин	V	PROPN;INDF;MASC;SG
kinh	пекин	kinh	пекин	V	PROPN;INDF;MASC;SG
cứng	трудно	cứng	трудно	ADJ	ADV
cứng	силно	cứng	силно	ADJ	ADV
cứng	здраво	cứng	здраво	ADJ	ADV
cứng	твърдо	cứng	твърдо	ADJ	ADV
tiếp	следващо	tiếp	следвам	V	ADV
tiếp	следващ	tiếp	следвам	V	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
tiếp	следваща	tiếp	следвам	V	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
xếp	сортиране	xếp	сортиране	V	N;INDF;NEUT;SG
rằng	че	rằng	че	CONJ	CONJ
đánh	ритъм	đánh	ритъм	V	N;INDF;MASC;SG
đánh	победи	đánh	победа	V	N;INDF;FEM;PL
đánh	удари	đánh	удар	V	N;INDF;MASC;PL
đánh	хит	đánh	хит	V	N;INDF;MASC;SG
nhạc	music	nhạc	music	V	PROPN;INDF;MASC;SG
nhạc	музиката	nhạc	музика	V	N;DEF;FEM;SG
nhạc	музика	nhạc	музика	V	N;INDF;FEM;SG
nhạc	музикален	nhạc	музикален	V	ADJ;INDF;MASC;SG
nhạc	музикално	nhạc	музикален	V	ADV
nhạc	мюзикъл	nhạc	мюзикъл	V	N;INDF;MASC;SG
nhạc	музикална	nhạc	музикален	V	ADJ;INDF;FEM;SG
hóa	химична	hóa	химичен		ADJ;INDF;FEM;SG
hóa	химически	hóa	химически		ADJ;INDF;MASC;SG
hóa	химикал	hóa	химикал		N;INDF;MASC;SG
hóa	химия	hóa	химия		N;INDF;FEM;SG
gọi	повикване	gọi	повикване	V	N;INDF;NEUT;SG
gọi	обаждане	gọi	обаждане	V	N;INDF;NEUT;SG
gọi	призвание	gọi	призвание	V	N;INDF;NEUT;SG
trang	страничен	trang	страничен	N	ADJ;INDF;MASC;SG
trang	page	trang	page	N	INTJ
nguyên	материално	nguyên	материален	N	ADV
tạo	създаване	tạo	създаване	V	N;INDF;NEUT;SG
tạo	създаване	tạo	създаване	V	N;INDF;NEUT;SG
tạo	създаването	tạo	създаване	V	N;DEF;NEUT;SG
tạo	тийм	tạo	тийм	V	N;INDF;MASC;PL
tạo	отбор	tạo	отбор	V	N;INDF;MASC;SG
tạo	отбора	tạo	отбор	V	N;DEF;MASC;SG
tạo	екип	tạo	екип	V	N;INDF;MASC;SG
tạo	team	tạo	team	V	PROPN;INDF;MASC;SG
tạo	генериране	tạo	генериране	V	N;INDF;NEUT;SG
đặc	твърда	đặc	твърд	N	ADJ;INDF;FEM;SG
đặc	солиден	đặc	солиден	N	ADJ;INDF;MASC;SG
đặc	твърдо	đặc	твърдо	N	ADV
đặc	твърд	đặc	твърд	N	ADJ;INDF;MASC;SG
phương	зои	phương	зой	N	PROPN;INDF;MASC;SG
mới	ню	mới	ню		PROPN;INDF;MASC;SG
mới	ново	mới	нов		ADV
mới	нов	mới	нов		ADJ;INDF;MASC;SG
mới	нови	mới	нов		ADJ;INDF;PL
mới	нова	mới	нов		ADJ;INDF;FEM;SG
đạo	морална	đạo	морален	N	ADJ;INDF;FEM;SG
đạo	морален	đạo	морален	N	ADJ;INDF;MASC;SG
đạo	морални	đạo	морален	N	ADJ;INDF;PL
đạo	морално	đạo	морално	N	ADV
bắt	хващане	bắt	хващане	V	N;INDF;NEUT;SG
