loại	type	loại	type	N	PROPN
thực	подлинный	thực	подлинный	V	ADJ;NOM;MASC;SG
thực	настоящие	thực	настоящий	V	ADJ;NOM;PL
thực	подлинные	thực	подлинный	V	ADJ;NOM;PL
thực	реально	thực	реально	V	ADV
thực	действительно	thực	действительно	V	ADV
tham	совместных	tham	совместный	V	ADJ;GEN;PL
tham	совместное	tham	совместный	V	ADJ;NOM;NEUT;SG
tham	совместная	tham	совместный	V	ADJ;NOM;FEM;SG
tham	совместный	tham	совместный	V	ADJ;NOM;MASC;SG
kết	end	kết	end	N	PROPN
đầu	head	đầu	head	N	PROPN
đầu	первый	đầu	первый	N	ADJ;NOM;MASC;SG
đầu	сначала	đầu	сначала	N	ADV
đầu	первое	đầu	первый	N	ADJ;NOM;NEUT;SG
đầu	первая	đầu	первый	N	ADJ;NOM;FEM;SG
đầu	first	đầu	first	N	PROPN
ngoài	снаружи	ngoài	снаружи	N	ADV
ngoài	вне	ngoài	вне	N	ADP
ngoài	внешняя	ngoài	внешний	N	ADJ;NOM;FEM;SG
ngoài	внешний	ngoài	внешний	N	ADJ;NOM;MASC;SG
thành	ченг	thành	ченг	V	
thành	чэн	thành	чэн	V	N;INAN;NOM;MASC;SG
thành	цитадель	thành	цитадель	V	N;INAN;NOM;FEM;SG
khoa	наука	khoa	наука		N;INAN;NOM;FEM;SG
khoa	науки	khoa	наука		N;INAN;NOM;FEM;PL
khoa	преподаватели	khoa	преподаватель		N;ANIM;NOM;MASC;PL
khoa	факультет	khoa	факультет		N;INAN;NOM;MASC;SG
với	with	với	with	ADP	PROPN
cho	чо	cho	чо	V	
cho	для	cho	для	V	ADP
cho	for	cho	for	V	PROPN
cho	за	cho	за	V	ADP
không	не	không	не	;NEG	PART
không	неа	không	она	;NEG	
hoa	объединенные	hoa	объединить	N	V;PFV;NOM;PL;PST;V.PTCP;PASS
hoa	united	hoa	united	N	PROPN
ngày	day	ngày	day	N	PROPN
ngày	days	ngày	days	N	PROPN
những	они	những	они	DET	PRO;NOM;PL;3
nam	мужской	nam	мужской	N	ADJ;NOM;MASC;SG
nam	мужские	nam	мужской	N	ADJ;NOM;PL
nam	нэн	nam	нэн	N	
nam	южная	nam	южный	N	ADJ;NOM;FEM;SG
nam	южный	nam	южный	N	ADJ;NOM;MASC;SG
nam	южной	nam	южный	N	ADJ;INS;FEM;SG
công	атаковать	công	атаковать	N	V;IPFV;NFIN;ACT
công	публичные	công	публичный	N	ADJ;NOM;PL
chính	собственная	chính	собственный	PART	ADJ;NOM;FEM;SG
chính	собственных	chính	собственный	PART	ADJ;GEN;PL
chính	собственные	chính	собственный	PART	ADJ;NOM;PL
chính	собственный	chính	собственный	PART	ADJ;NOM;MASC;SG
chính	собственное	chính	собственный	PART	ADJ;NOM;NEUT;SG
chính	начального	chính	начальный	PART	ADJ;GEN;MASC;SG
chính	первичные	chính	первичный	PART	ADJ;NOM;PL
chính	начальное	chính	начальный	PART	ADJ;NOM;NEUT;SG
chính	основная	chính	основной	PART	ADJ;NOM;FEM;SG
chính	основные	chính	основной	PART	ADJ;NOM;PL
chính	главная	chính	главный	PART	ADJ;NOM;FEM;SG
chính	основных	chính	основной	PART	ADJ;GEN;PL
động	динамические	động	динамический	V	ADJ;NOM;PL
động	динамических	động	динамический	V	ADJ;GEN;PL
động	динамично	động	динамично	V	ADV
động	автоматические	động	автоматический	V	ADJ;NOM;PL
động	автоматическое	động	автоматический	V	ADJ;NOM;NEUT;SG
động	автоматический	động	автоматический	V	ADJ;NOM;MASC;SG
động	автоматическая	động	автоматический	V	ADJ;NOM;FEM;SG
động	автоматического	động	автоматический	V	ADJ;GEN;MASC;SG
động	автоматически	động	автоматически	V	ADV
động	автоматически	động	автоматически	V	ADV
khi	когда	khi	когда	N	CONJ
khi	when	khi	when	N	PROPN
đến	прибытия	đến	прибытие	PART	N;INAN;NOM;NEUT;PL
đến	прибытие	đến	прибытие	PART	N;INAN;NOM;NEUT;SG
đến	прибыл	đến	прибыть	PART	V;PFV;MASC;IND;SG;PST;FIN;ACT
đến	приехали	đến	приехать	PART	V;PFV;IND;PL;PST;FIN;ACT
đến	прибыли	đến	прибыть	PART	V;PFV;IND;PL;PST;FIN;ACT
đến	прибыла	đến	прибыть	PART	V;PFV;FEM;IND;SG;PST;FIN;ACT
đến	приходите	đến	приходить	PART	V;IPFV;IMP;PL;2;FIN;ACT
đến	приходи	đến	приходить	PART	V;IPFV;IMP;SG;2;FIN;ACT
đến	иду	đến	идти	PART	V;IPFV;IND;SG;1;PRS;FIN;ACT
đến	предстоящие	đến	предстоять	PART	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
theo	тео	theo	тео	V	N;ANIM;NOM;MASC;SG
theo	follow	theo	follow	V	PROPN
theo	после	theo	после	V	ADP
theo	after	theo	after	V	PROPN
tỉnh	проснулась	tỉnh	проснуться	N	V;PFV;FEM;IND;SG;PST;FIN;MID
tỉnh	проснулся	tỉnh	проснуться	N	V;PFV;MASC;IND;SG;PST;FIN;MID
sau	после	sau	после	N	ADP
sau	after	sau	after	N	PROPN
sau	позднее	sau	поздно	N	ADV;CMPR
sau	позже	sau	поздно	N	ADV;CMPR
trung	средняя	trung	средний	N	ADJ;NOM;FEM;SG
trung	средних	trung	средний	N	ADJ;GEN;PL
trung	средний	trung	средний	N	ADJ;NOM;MASC;SG
trung	среднее	trung	средний	N	ADJ;NOM;NEUT;SG
trung	средние	trung	средний	N	ADJ;NOM;PL
trung	центральная	trung	центральный	N	ADJ;NOM;FEM;SG
trung	центральное	trung	центральный	N	ADJ;NOM;NEUT;SG
trung	центральной	trung	центральный	N	ADJ;INS;FEM;SG
trung	центральный	trung	центральный	N	ADJ;NOM;MASC;SG
trung	средняя	trung	средний	N	ADJ;NOM;FEM;SG
trung	ближнем	trung	ближний	N	ADJ;ESS;MASC;SG
trung	средний	trung	средний	N	ADJ;NOM;MASC;SG
trung	среднее	trung	средний	N	ADJ;NOM;NEUT;SG
trên	выше	trên	высокий		ADJ;CMPR
nhà	дома	nhà	дома	N	ADV
nhà	дома	nhà	дома	N	ADV
nhà	домой	nhà	домой	N	ADV
nhà	домашний	nhà	домашний	N	ADJ;NOM;MASC;SG
nhà	home	nhà	home	N	PROPN
nhà	дома	nhà	дома	N	ADV
nhà	house	nhà	house	N	PROPN
nhà	хауз	nhà	хауз	N	
nhà	хаус	nhà	хаус	N	INTJ
như	нравится	như	нравиться	CONJ	V;IPFV;IND;SG;3;PRS;FIN;MID
như	like	như	like	CONJ	PROPN
như	как	như	как	CONJ	CONJ
thời	time	thời	time	N	PROPN
bản	голландский	bản	голландский	N	ADJ;NOM;MASC;SG
đại	большая	đại	большой	N	ADJ;NOM;FEM;SG
đại	big	đại	big	N	PROPN
đại	большие	đại	большой	N	ADJ;NOM;PL
đại	большой	đại	большой	N	ADJ;NOM;MASC;SG
đại	биг	đại	биг	N	
hiện	показывать	hiện	показывать	N	V;IPFV;NFIN;ACT
hiện	show	hiện	show	N	PROPN
hiện	показать	hiện	показать	N	V;PFV;NFIN;ACT
thế	это	thế	это	PROPN	PRO;INAN;NOM;NEUT;SG
thế	that	thế	that	PROPN	PROPN
chiến	war	chiến	war	N	PROPN
chiến	чинь	chiến	чинь	N	
bar	бар	bar	бар		N;INAN;NOM;MASC;SG
lại	опять	lại	опять		ADV
lại	вновь	lại	вновь		ADV
lại	снова	lại	снова		ADV
cũng	также	cũng	также		ADV
nhất	лучшие	nhất	лучший		ADJ;NOM;PL
nhất	лучшая	nhất	лучший		ADJ;NOM;FEM;SG
nhất	лучший	nhất	лучший		ADJ;NOM;MASC;SG
nhất	best	nhất	best		PROPN
nhất	лучшее	nhất	лучший		ADJ;NOM;NEUT;SG
nhân	умножить	nhân	умножить		V;PFV;NFIN;ACT
nhân	core	nhân	core		PROPN
nhân	ядро	nhân	ядро		N;INAN;NOM;NEUT;SG
nhân	пациентка	nhân	пациентка		N;ANIM;NOM;FEM;SG
nhân	пациент	nhân	пациент		N;ANIM;NOM;MASC;SG
nhân	пациента	nhân	пациент		N;ANIM;ACC;MASC;SG
phát	трансляция	phát	трансляция	V	N;INAN;NOM;FEM;SG
phát	трансляции	phát	трансляция	V	N;INAN;NOM;FEM;PL
phát	вещание	phát	вещание	V	N;INAN;NOM;NEUT;SG
phát	выстрел	phát	выстрел	V	N;INAN;NOM;MASC;SG
phát	кадр	phát	кадр	V	N;INAN;NOM;MASC;SG
phát	выстрелы	phát	выстрел	V	N;INAN;NOM;MASC;PL
anh	тебя	anh	ты	N	PRO;ACC;SG;2
anh	you	anh	you	N	PROPN
anh	вы	anh	вы	N	PRO;NOM;PL;2
anh	ты	anh	ты	N	PRO;NOM;SG;2
pháp	французский	pháp	французский	N	ADJ;NOM;MASC;SG
pháp	французское	pháp	французский	N	ADJ;NOM;NEUT;SG
pháp	французская	pháp	французский	N	ADJ;NOM;FEM;SG
pháp	france	pháp	france	N	PROPN
danh	импортировать	danh	импортировать	N	V;IPFV;NFIN;ACT
chúng	их	chúng	они	PROPN	PRO;ACC;PL;3
chúng	они	chúng	они	PROPN	PRO;NOM;PL;3
tập	серия	tập	серия		N;INAN;NOM;FEM;SG
tập	эпизод	tập	эпизод		N;INAN;NOM;MASC;SG
tập	эпизодов	tập	эпизод		N;INAN;GEN;MASC;PL
tập	серий	tập	серия		N;INAN;GEN;FEM;PL
nhiều	многих	nhiều	много	ADJ	NUM
nhiều	много	nhiều	много	ADJ	ADV
nhiều	многим	nhiều	много	ADJ	NUM
nhiều	многие	nhiều	много	ADJ	NUM
nhiều	многое	nhiều	многое	ADJ	N;INAN;NOM;NEUT;SG
nhiều	много	nhiều	много	ADJ	ADV
nhiều	несколько	nhiều	несколько	ADJ	ADV
chi	чи	chi	чи	N	INTJ
chỉ	только	chỉ	только		PART
chỉ	просто	chỉ	просто		PART
chỉ	только	chỉ	только		PART
đây	здесь	đây	здесь	PROPN	ADV
đây	вот	đây	вот	PROPN	PART
sinh	роды	sinh	роды	V	N;INAN;NOM;MASC;PL
sinh	рождения	sinh	рождение	V	N;INAN;NOM;NEUT;SG
sinh	рождение	sinh	рождение	V	N;INAN;NOM;NEUT;SG
con	кон	con	кон	N	
con	детский	con	детский	N	ADJ;NOM;MASC;SG
quan	гуань	quan	гуань	V	N;INAN;NOM;MASC;SG
quan	кван	quan	кван	V	INTJ
quan	офицер	quan	офицер	V	N;ANIM;NOM;MASC;SG
tin	поверить	tin	поверить		V;PFV;NFIN;ACT
tin	верить	tin	верить		V;IPFV;NFIN;ACT
tin	верим	tin	верить		V;IPFV;IND;PL;1;PRS;FIN;ACT
tin	верю	tin	верить		V;IPFV;IND;SG;1;PRS;FIN;ACT
tin	тин	tin	тин		INTJ
tin	истории	tin	история		N;INAN;NOM;FEM;PL
tin	рассказы	tin	рассказ		N;INAN;NOM;MASC;PL
tin	news	tin	news		PROPN
tin	новость	tin	новость		N;INAN;NOM;FEM;SG
tin	новости	tin	новость		N;INAN;NOM;FEM;PL
tin	доверие	tin	доверие		N;INAN;NOM;NEUT;SG
tin	доверять	tin	доверять		V;IPFV;NFIN;ACT
tin	довериться	tin	довериться		V;PFV;NFIN;MID
viên	park	viên	park	N	PROPN
viên	венская	viên	венский	N	ADJ;NOM;FEM;SG
phải	правильно	phải	правильный	V	ADJ;NEUT;SG
phải	верно	phải	верный	V	ADJ;NEUT;SG
phải	вправо	phải	вправо	V	ADV
phải	должен	phải	должен	V	ADJ;MASC;SG
phải	должно	phải	должен	V	ADJ;NEUT;SG
phải	должны	phải	должен	V	ADJ;PL
bắc	северный	bắc	северный	N	ADJ;NOM;MASC;SG
bắc	северная	bắc	северный	N	ADJ;NOM;FEM;SG
bắc	северной	bắc	северный	N	ADJ;INS;FEM;SG
bắc	северный	bắc	северный	N	ADJ;NOM;MASC;SG
bắc	северная	bắc	северный	N	ADJ;NOM;FEM;SG
bắc	северные	bắc	северный	N	ADJ;NOM;PL
bắc	северное	bắc	северный	N	ADJ;NOM;NEUT;SG
bắc	северной	bắc	северный	N	ADJ;INS;FEM;SG
tiểu	начальной	tiểu	начальный		ADJ;INS;FEM;SG
tiểu	элементарные	tiểu	элементарный		ADJ;NOM;PL
tiểu	начальная	tiểu	начальный		ADJ;NOM;FEM;SG
tiểu	little	tiểu	little		PROPN
tiểu	маленький	tiểu	маленький		ADJ;NOM;MASC;SG
tiểu	маленькая	tiểu	маленький		ADJ;NOM;FEM;SG
tiểu	мало	tiểu	мало		ADV
tiểu	маленькие	tiểu	маленький		ADJ;NOM;PL
cao	high	cao	high	ADJ	PROPN
cao	высоко	cao	высоко	ADJ	ADV
cao	гао	cao	гао	ADJ	N;INAN;NOM;MASC;SG
tây	уэст	tây	уэст	N	PART
tây	западная	tây	западный	N	ADJ;NOM;FEM;SG
tây	западный	tây	западный	N	ADJ;NOM;MASC;SG
tây	западная	tây	западный	N	ADJ;NOM;FEM;SG
tây	западные	tây	западный	N	ADJ;NOM;PL
tây	западной	tây	западный	N	ADJ;INS;FEM;SG
tây	западный	tây	западный	N	ADJ;NOM;MASC;SG
tây	западное	tây	западный	N	ADJ;NOM;NEUT;SG
trường	school	trường	school	N	PROPN
hội	сангха	hội	сангх	N	
giải	бокс	giải	бокс	V	N;INAN;NOM;MASC;SG
giải	разрешение	giải	разрешение	V	N;INAN;NOM;NEUT;SG
giải	резолюция	giải	резолюция	V	N;INAN;NOM;FEM;SG
bang	власти	bang	власть		N;INAN;NOM;FEM;PL
bang	штат	bang	штат		N;INAN;NOM;MASC;SG
bang	состояние	bang	состояние		N;INAN;NOM;NEUT;SG
bang	государство	bang	государство		N;INAN;NOM;NEUT;SG
điểm	point	điểm	point	N	PROPN
đông	востоке	đông	восток	ADJ	N;INAN;ESS;MASC;SG
đông	восток	đông	восток	ADJ	N;INAN;NOM;MASC;SG
đông	ист	đông	ист	ADJ	N;INAN;NOM;NEUT;SG
đông	east	đông	east	ADJ	PROPN
phố	town	phố	town	N	PROPN
phố	city	phố	city	N	PROPN
phố	street	phố	street	N	PROPN
xuất	экспортировать	xuất	экспортировать	N	V;IPFV;NFIN;ACT
hơn	чем	hơn	чем		CONJ
cánh	крылатые	cánh	крылатый	N	ADJ;NOM;PL
lập	независимый	lập	независимый	V	ADJ;NOM;MASC;SG
lập	независимая	lập	независимый	V	ADJ;NOM;FEM;SG
lập	независимое	lập	независимый	V	ADJ;NOM;NEUT;SG
lập	независимые	lập	независимый	V	ADJ;NOM;PL
cách	способы	cách	способ	V	N;INAN;NOM;MASC;PL
cách	пути	cách	путь	V	N;INAN;NOM;MASC;PL
đội	team	đội	team	N	PROPN
phần	частично	phần	частично	N	ADV
dưới	ниже	dưới	низкий	N	ADJ;CMPR
dưới	снизу	dưới	снизу	N	ADV
dưới	под	dưới	под	N	ADP
giới	world	giới	world	N	PROPN
châu	america	châu	america	N	PROPN
đoàn	девятой	đoàn	девятый	N	ADJ;INS;FEM;SG
đoàn	девятый	đoàn	девятый	N	ADJ;NOM;MASC;SG
đoàn	девятая	đoàn	девятый	N	ADJ;NOM;FEM;SG
đoàn	девятое	đoàn	девятый	N	ADJ;NOM;NEUT;SG
điều	это	điều	это	N	PRO;INAN;NOM;NEUT;SG
điều	that	điều	that	N	PROPN
thông	пайн	thông	пайн		PART
bay	муха	bay	муха		N;ANIM;NOM;FEM;SG
bay	лети	bay	лето		V;IPFV;IMP;SG;2;FIN;ACT
bay	летать	bay	летать		V;IPFV;NFIN;ACT
bay	полёт	bay	полет		N;INAN;NOM;MASC;SG
bay	полет	bay	полет		N;INAN;NOM;MASC;SG
bay	летать	bay	летать		V;IPFV;NFIN;ACT
bay	полёт	bay	полет		N;INAN;NOM;MASC;SG
bay	бегство	bay	бегство		N;INAN;NOM;NEUT;SG
bay	перелет	bay	перелет		N;INAN;NOM;MASC;SG
bay	полет	bay	полет		N;INAN;NOM;MASC;SG
bay	рейс	bay	рейс		N;INAN;NOM;MASC;SG
bay	бей	bay	бей		INTJ
bay	бэй	bay	бэй		N;INAN;NOM;MASC;SG
bay	залив	bay	залив		N;INAN;NOM;MASC;SG
bay	bay	bay	bay		PROPN
bài	короткая	bài	короткий	N	ADJ;NOM;FEM;SG
bài	короткий	bài	короткий	N	ADJ;NOM;MASC;SG
bài	короткое	bài	короткий	N	ADJ;NOM;NEUT;SG
bài	короткие	bài	короткий	N	ADJ;NOM;PL
bài	коротко	bài	коротко	N	ADV
lượng	energy	lượng	energy	N	PROPN
tích	статических	tích	статический	N	ADJ;GEN;PL
lớn	big	lớn	big	ADJ	PROPN
lớn	биг	lớn	биг	ADJ	
phim	фильмы	phim	фильм		N;INAN;NOM;MASC;PL
phim	фильмов	phim	фильм		N;INAN;GEN;MASC;PL
phim	фильм	phim	фильм		N;INAN;NOM;MASC;SG
phim	кино	phim	кино		N;INAN;NOM;NEUT;SG
phim	фильм	phim	фильм		N;INAN;NOM;MASC;SG
phim	film	phim	film		PROPN
phim	кино	phim	кино		N;INAN;NOM;NEUT;SG
phim	фильмы	phim	фильм		N;INAN;NOM;MASC;PL
phim	кино	phim	кино		N;INAN;NOM;NEUT;SG
trước	prev	trước	prev		PROPN
trước	первый	trước	первый		ADJ;NOM;MASC;SG
trước	сначала	trước	сначала		ADV
trước	первое	trước	первый		ADJ;NOM;NEUT;SG
trước	первая	trước	первый		ADJ;NOM;FEM;SG
trước	first	trước	first		PROPN
trước	предыдущие	trước	предыдущий		ADJ;NOM;PL
trước	предыдущая	trước	предыдущий		ADJ;NOM;FEM;SG
trước	предыдущий	trước	предыдущий		ADJ;NOM;MASC;SG
trước	предыдущее	trước	предыдущий		ADJ;NOM;NEUT;SG
trước	до	trước	до		ADP
trước	перед	trước	перед		ADP
trước	прежде	trước	прежде		ADV
đức	немецкая	đức	немецкий	N	ADJ;NOM;FEM;SG
đức	немецкие	đức	немецкий	N	ADJ;NOM;PL
đức	немецкое	đức	немецкий	N	ADJ;NOM;NEUT;SG
đức	немецкий	đức	немецкий	N	ADJ;NOM;MASC;SG
đêm	ночное	đêm	ночной	N	ADJ;NOM;NEUT;SG
đêm	night	đêm	night	N	PROPN
bằng	равен	bằng	равный	ADP	ADJ;MASC;SG
bằng	равно	bằng	равный	ADP	ADJ;NEUT;SG
bằng	равных	bằng	равный	ADP	ADJ;GEN;PL
bằng	with	bằng	with	ADP	PROPN
nhỏ	little	nhỏ	little	ADJ	PROPN
nhỏ	мало	nhỏ	мало	ADJ	ADV
nhỏ	джуниор	nhỏ	джуниор	ADJ	N;ANIM;NOM;MASC;SG
hợp	подходит	hợp	подходить	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
hợp	союз	hợp	союз	ADJ	N;INAN;NOM;MASC;SG
hợp	union	hợp	union	ADJ	PROPN
hợp	профсоюз	hợp	профсоюз	ADJ	N;INAN;NOM;MASC;SG
hợp	юнион	hợp	юнион	ADJ	N;INAN;NOM;MASC;SG
hợp	союза	hợp	союз	ADJ	N;INAN;GEN;MASC;SG
hợp	подходит	hợp	подходить	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
đường	тан	đường	тан	N	PART
đường	дорожной	đường	дорожный	N	ADJ;INS;FEM;SG
đường	road	đường	road	N	PROPN
đường	way	đường	way	N	PROPN
thêm	более	thêm	более	V	ADV;CMPR
thêm	больше	thêm	больше	V	ADV;CMPR
thêm	еще	thêm	еще	V	ADV
xem	шоу	xem	шоу	V	N;INAN;NOM;NEUT;SG
xem	show	xem	show	V	PROPN
xem	показ	xem	показ	V	N;INAN;NOM;MASC;SG
xem	часы	xem	часы	V	N;INAN;NOM;MASC;PL
xem	см	xem	сантиметр	V	ADV
xem	просмотра	xem	просмотр	V	N;INAN;GEN;MASC;SG
xem	просмотр	xem	просмотр	V	N;INAN;NOM;MASC;SG
xem	просмотр	xem	просмотр	V	N;INAN;NOM;MASC;SG
xem	вид	xem	вид	V	N;INAN;NOM;MASC;SG
diễn	актёр	diễn	актёр	V	N;ANIM;NOM;MASC;SG
diễn	актер	diễn	актер	V	N;ANIM;NOM;MASC;SG
máy	machine	máy	machine	N	PROPN
máy	принимающих	máy	принимать	N	V;IPFV;GEN;PL;PRS;V.PTCP;ACT
máy	принимающая	máy	принимать	N	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT
chức	провел	chức	провести	N	V;PFV;MASC;IND;SG;PST;FIN;ACT
dương	положительные	dương	положительный	N	ADJ;NOM;PL
dương	положительно	dương	положительно	N	ADV
dương	позитивная	dương	позитивный	N	ADJ;NOM;FEM;SG
dương	положительный	dương	положительный	N	ADJ;NOM;MASC;SG
dương	позитивные	dương	позитивный	N	ADJ;NOM;PL
lực	power	lực	power	N	PROPN
hay	хэй	hay	хэй	CONJ	INTJ
hay	сена	hay	сено	CONJ	N;INAN;NOM;NEUT;SG
hay	сено	hay	сено	CONJ	N;INAN;NOM;NEUT;SG
hay	хорош	hay	хороший	CONJ	ADJ;MASC;SG
hay	хороша	hay	хороший	CONJ	ADJ;FEM;SG
hay	хороший	hay	хороший	CONJ	ADJ;NOM;MASC;SG
hay	хорошее	hay	хороший	CONJ	ADJ;NOM;NEUT;SG
hay	хорошо	hay	хорошо	CONJ	ADV
sống	живые	sống	живой	V	ADJ;NOM;PL
sống	живое	sống	живой	V	ADJ;NOM;NEUT;SG
sống	live	sống	live	V	PROPN
sống	живой	sống	живой	V	ADJ;NOM;MASC;SG
sống	живым	sống	живой	V	ADJ;INS;NEUT;SG
sống	живая	sống	живой	V	ADJ;NOM;FEM;SG
sống	живые	sống	живой	V	ADJ;NOM;PL
sống	жив	sống	живой	V	ADJ;MASC;SG
thường	обычно	thường	обычно		ADV
thường	регулярный	thường	регулярный		ADJ;NOM;MASC;SG
thường	регулярная	thường	регулярный		ADJ;NOM;FEM;SG
thường	регулярные	thường	регулярный		ADJ;NOM;PL
thường	регулярное	thường	регулярный		ADJ;NOM;NEUT;SG
thường	регулярного	thường	регулярный		ADJ;GEN;MASC;SG
thường	нормальный	thường	нормальный		ADJ;NOM;MASC;SG
thường	нормальная	thường	нормальный		ADJ;NOM;FEM;SG
thường	нормально	thường	нормальный		ADJ;NEUT;SG
thường	обычный	thường	обычный		ADJ;NOM;MASC;SG
thường	нормальное	thường	нормальный		ADJ;NOM;NEUT;SG
tính	вычисления	tính	вычисление	V	N;INAN;NOM;NEUT;PL
tính	расчета	tính	расчет	V	N;INAN;GEN;MASC;SG
tính	расчёт	tính	расчет	V	N;INAN;NOM;MASC;SG
ban	about	ban	about		PROPN
ban	о	ban	о		INTJ
ban	палатах	ban	палата		N;INAN;ESS;FEM;PL
ban	палаты	ban	палата		N;INAN;NOM;FEM;PL
ban	band	ban	band		PROPN
ban	запретить	ban	запретить		V;PFV;NFIN;ACT
ban	запрет	ban	запрет		N;INAN;NOM;MASC;SG
ban	бан	ban	бан		N;INAN;NOM;MASC;SG
jpg	jpg	jpg	jpg	N	
cộng	плюс	cộng	плюс		N;INAN;NOM;MASC;SG
cộng	plus	cộng	plus		PROPN
nhận	претензия	nhận	претензия	V	N;INAN;NOM;FEM;SG
nhận	получение	nhận	получение	V	N;INAN;NOM;NEUT;SG
nhận	получения	nhận	получение	V	N;INAN;GEN;NEUT;SG
qua	прошлое	qua	прошлое	V	N;INAN;NOM;NEUT;SG
qua	прошлом	qua	прошлое	V	N;INAN;ESS;NEUT;SG
qua	прошлые	qua	прошлый	V	ADJ;NOM;PL
qua	over	qua	over	V	PROPN
qua	над	qua	над	V	ADP
qua	виа	qua	виа	V	N;INAN;NOM;MASC;SG
qua	via	qua	via	V	PROPN
qua	через	qua	через	V	ADP
qua	сквозь	qua	сквозь	V	ADP
qua	через	qua	через	V	ADP
qua	пропуск	qua	пропуск	V	N;INAN;NOM;MASC;SG
qua	пас	qua	пас	V	N;INAN;NOM;MASC;SG
ảnh	pictures	ảnh	pictures	N	PROPN
thái	тай	thái	тай	N	
tổng	всего	tổng	все	N	PRO;INAN;GEN;NEUT;SG
tổng	итого	tổng	итого	N	ADV
minh	умная	minh	умный	N	ADJ;NOM;FEM;SG
minh	умный	minh	умный	N	ADJ;NOM;MASC;SG
minh	smart	minh	smart	N	PROPN
minh	умные	minh	умный	N	ADJ;NOM;PL
minh	минг	minh	минг	N	
quyền	прав	quyền	прав	N	ADJ;MASC;SG
tác	оригинальная	tác	оригинальный	N	ADJ;NOM;FEM;SG
tác	оригинально	tác	оригинально	N	ADV
tác	оригинальные	tác	оригинальный	N	ADJ;NOM;PL
tác	первоначального	tác	первоначальный	N	ADJ;GEN;MASC;SG
tác	оригинальный	tác	оригинальный	N	ADJ;NOM;MASC;SG
gồm	включая	gồm	включая	V	ADV
kinh	сутра	kinh	сутро	V	N;INAN;NOM;FEM;SG
kinh	пекин	kinh	пекин	V	N;INAN;NOM;MASC;SG
kinh	пекинской	kinh	пекинский	V	ADJ;INS;FEM;SG
biển	beach	biển	beach	N	PROPN
biển	sea	biển	sea	N	PROPN
cứng	жестко	cứng	жестко	ADJ	ADV
tiếp	далее	tiếp	далее	V	ADV
tiếp	следующий	tiếp	следующий	V	ADJ;NOM;MASC;SG
tiếp	следующая	tiếp	следующий	V	ADJ;NOM;FEM;SG
tiếp	next	tiếp	next	V	PROPN
xếp	сортировка	xếp	сортировка	V	N;INAN;NOM;FEM;SG
rằng	это	rằng	это	CONJ	PRO;INAN;NOM;NEUT;SG
rằng	that	rằng	that	CONJ	PROPN
đánh	бит	đánh	бит	V	
đánh	хит	đánh	хит	V	N;INAN;NOM;MASC;SG
