que	you	que	you	PRO	N;NOM;SG
moito	krunt	moito	krunt	ADV	N;NOM;SG
moito	much	moito	much	ADV	N;NOM;SG
moito	pikad	moito	pikk	ADV	ADJ;NOM;PL
moito	pikka	moito	pikk	ADV	ADJ;PRT;SG
moito	pikk	moito	pikk	ADV	ADJ;NOM;SG
¡	sind	¡	sina		PRO;PRT;SG;2
¡	you	¡	you		N;NOM;SG
¡	sina	¡	sina		PRO;NOM;SG;2
sen	ilma	sen	ilma	ADP	ADV
vostede	sind	vostede	sina	PROPN	PRO;PRT;SG;2
vostede	you	vostede	you	PROPN	N;NOM;SG
vostede	sina	vostede	sina	PROPN	PRO;NOM;SG;2
nunca	ever	nunca	ever	ADV	N;NOM;SG
coma	meeldib	coma	meeldima	CONJ	V;IND;SG;3;PRS;FIN;ACT
están	nad	estar	tema	V	PRO;NOM;PL;3
están	on	estar	olema	V	V;IND;SG;3;PRS;FIN;ACT
estás	sind	estar	sina	V	PRO;PRT;SG;2
estás	you	estar	you	V	N;NOM;SG
estás	sina	estar	sina	V	PRO;NOM;SG;2
tan	selline	tan	selline	ADV	ADJ;NOM;SG
tan	sellised	tan	selline	ADV	ADJ;NOM;PL
mundo	kõik	mundo	kõik	N	PRO;NOM;SG
mundo	igaüks	mundo	iga_üks	N	PRO;NOM;SG
túa	you	teu	you	PRO	N;NOM;SG
co	koos	co	koos	PROPN	ADV
che	sind	che	sina		PRO;PRT;SG;2
che	you	che	you		N;NOM;SG
che	sina	che	sina		PRO;NOM;SG;2
mellor	paremini	mellor	paremini	ADJ	ADV
mellor	than	mellor	than	ADJ	N;NOM;SG
coa	koos	coar	koos	V	ADV
vou	going	var	going	V	N;NOM;SG
vou	minek	var	minek	V	N;NOM;SG
tes	sind	tes	sina	V	PRO;PRT;SG;2
tes	you	tes	you	V	N;NOM;SG
tes	sina	tes	sina	V	PRO;NOM;SG;2
noite	täna	noite	täna	N	ADV
noite	õhtust	noite	õhtune	N	ADJ;IN+ABL;SG
noite	õhtused	noite	õhtune	N	ADJ;NOM;PL
noite	õhtune	noite	õhtune	N	ADJ;NOM;SG
nin	isegi	nin	isegi	CONJ	ADV
nin	ega	nin	ega	CONJ	ADV;NEG
nin	mitte	nin	mitte	CONJ	ADV;NEG
nin	ei	nin	ei	CONJ	ADV
seus	nende	seu	tema	DET	PRO;GEN;PL
seus	oma	seu	oma	DET	PRO;NOM;SG
seus	tema	seu	tema	DET	PRO;NOM;SG;3
seus	sinu	seu	sina	DET	PRO;GEN;SG;2
seus	teie	seu	sina	DET	PRO;NOM;PL;2
seus	teda	seu	tema	DET	PRO;PRT;SG;3
seus	tema	seu	tema	DET	PRO;NOM;SG;3
dous	kaks	dous	kaks	N	NUM;NOM;SG
dous	mõlemad	dous	mõlema	N	PRO;NOM;PL
grazas	sind	graza	sina	N	PRO;PRT;SG;2
grazas	sina	graza	sina	N	PRO;NOM;SG;2
grazas	palju	graza	palju	N	ADV
grazas	tänan	graza	tänama	N	INTJ
grazas	aitäh	graza	aitäh	N	INTJ
outra	uuesti	outro	uuesti	DET	ADV
outra	taas	outro	taas	DET	ADV
outra	jälle	outro	jälle	DET	ADV
outra	teine	outro	teine	DET	PRO;NOM;SG
outra	muu	outro	muu	DET	PRO;NOM;SG
outra	muud	outro	muu	DET	PRO;NOM;SG
outra	ühe	outro	üks	DET	NUM;GEN;SG
outra	üks	outro	üks	DET	PRO;NOM;SG
es	sind	e	sina	N	PRO;PRT;SG;2
es	sina	e	sina	N	PRO;NOM;SG;2
es	on	e	olema	N	V;IND;SG;3;PRS;FIN;ACT
ás	mõnikord	á	mõni_kord	N	ADV
ás	vahel	á	vahel	N	ADV
ás	vahest	á	vahest	N	ADV
ese	see	ese	see	DET	PRO;NOM;SG
ese	seda	ese	see	DET	PRO;PRT;SG
ese	see	ese	see	DET	PRO;NOM;SG
ese	selle	ese	see	DET	PRO;GEN;SG
ese	seda	ese	see	DET	PRO;PRT;SG
esa	see	ese	see	DET	PRO;NOM;SG
esa	seda	ese	see	DET	PRO;PRT;SG
esa	see	ese	see	DET	PRO;NOM;SG
esa	selle	ese	see	DET	PRO;GEN;SG
esa	seda	ese	see	DET	PRO;PRT;SG
queres	sind	quere	sina	V	PRO;PRT;SG;2
queres	you	quere	you	V	N;NOM;SG
queres	sina	quere	sina	V	PRO;NOM;SG;2
ir	going	ir	going	V	N;NOM;SG
ir	minek	ir	minek	V	N;NOM;SG
verdade	tõene	verdade	tõene	N	ADJ;NOM;SG
verdade	paremale	verdade	paremale	N	ADV
verdade	õige	verdade	õige	N	ADJ;NOM;SG
verdade	tõesti	verdade	tõesti	N	ADV
verdade	sind	verdade	sina	N	PRO;PRT;SG;2
verdade	sina	verdade	sina	N	PRO;NOM;SG;2
verdade	reaalne	verdade	reaalne	N	ADJ;NOM;SG
verdade	ehtne	verdade	ehtne	N	ADJ;NOM;SG
verdade	tõeline	verdade	tõeline	N	ADJ;NOM;SG
dun	ühe	dun	üks	PROPN	NUM;GEN;SG
dun	üks	dun	üks	PROPN	PRO;NOM;SG
dun	alates	dun	alates	PROPN	ADV
dun	kellelt	dun	kes	PROPN	PRO;AT+ABL;SG
sabes	sind	saber	sina	V	PRO;PRT;SG;2
sabes	you	saber	you	V	N;NOM;SG
sabes	sina	saber	sina	V	PRO;NOM;SG;2
aí	see	aí	see	ADV	PRO;NOM;SG
aí	seda	aí	see	ADV	PRO;PRT;SG
bo	hommik	bo	hommik	ADJ	N;NOM;SG
imos	going	ir	going	V	N;NOM;SG
imos	minek	ir	minek	V	N;NOM;SG
falar	jutt	falar	jutt	V	N;NOM;SG
falar	umbes	falar	umbes	V	ADV
falar	kõnele	falar	kõne	V	N;AT+ALL;SG
falar	rääkimine	falar	rääkimine	V	N;NOM;SG
cada	iga	cada	iga	DET	PRO;NOM;SG
cada	iga	cada	iga	DET	PRO;NOM;SG
quere	sind	querer	sina	V	PRO;PRT;SG;2
quere	you	querer	you	V	N;NOM;SG
quere	sina	querer	sina	V	PRO;NOM;SG;2
estar	olemise	estar	olemine	V	N;GEN;SG
estar	olemine	estar	olemine	V	N;NOM;SG
favor	palun	favor	paluma	N	V;IND;SG;1;PRS;FIN;ACT
fai	make	facer	make	V	N;NOM;SG
creo	doni	creo	doni	V	ADJ
creo	don	creo	don	V	N;NOM;SG
noso	meie	noso	mina	DET	PRO;NOM;PL;1
nosa	meie	noso	mina	DET	PRO;NOM;PL;1
ninguén	ühe	ninguén	üks	ADV	NUM;GEN;SG
ninguén	üks	ninguén	üks	ADV	PRO;NOM;SG
podes	sind	poder	sina	V	PRO;PRT;SG;2
podes	you	poder	you	V	N;NOM;SG
podes	sina	poder	sina	V	PRO;NOM;SG;2
pouco	little	pouco	little	ADV	N;NOM;SG
pouco	väike	pouco	väike	ADV	ADJ;NOM;SG
pouco	bit	pouco	bit	ADV	N;NOM;SG
pouco	mõned	pouco	mõni	ADV	PRO;NOM;PL
estamos	on	estar	olema	V	V;IND;SG;3;PRS;FIN;ACT
dixo	ta	dicir	tema	V	PRO;NOM;SG;3
entre	vahel	entre	vahel	ADP	ADV
entre	seas	entre	seas	ADP	ADV
entre	sekka	entre	sekka	ADP	ADV
teñen	nad	ter	tema	V	PRO;NOM;PL;3
menos	than	menos	than	ADV	N;NOM;SG
menos	vähim	menos	vähim	ADV	ADJ;NOM;CMPR;SG
menos	preili	menos	preili	ADV	N;NOM;SG
dunha	alates	dunha	alates	N	ADV
dunha	kellelt	dunha	kes	N	PRO;AT+ABL;SG
ata	kuni	ata	kuni	ADP	CONJ
outro	teine	outro	teine	DET	PRO;NOM;SG
outro	muu	outro	muu	DET	PRO;NOM;SG
outro	muud	outro	muu	DET	PRO;NOM;SG
outro	ühe	outro	üks	DET	NUM;GEN;SG
outro	üks	outro	üks	DET	PRO;NOM;SG
súas	nende	seu	tema	DET	PRO;GEN;PL
súas	tema	seu	tema	DET	PRO;NOM;SG;3
súas	oma	seu	oma	DET	PRO;NOM;SG
súas	sinu	seu	sina	DET	PRO;GEN;SG;2
súas	teie	seu	sina	DET	PRO;NOM;PL;2
súas	teda	seu	tema	DET	PRO;PRT;SG;3
súas	tema	seu	tema	DET	PRO;NOM;SG;3
cousa	midagi	cousa	miski	N	PRO;PRT;SG
tres	kolm	tres	kolm	N	NUM;NOM;SG
novo	new	novo	new	ADJ	N;NOM;SG
novo	uuesti	novo	uuesti	ADJ	ADV
novo	taas	novo	taas	ADJ	ADV
novo	jälle	novo	jälle	ADJ	ADV
novo	noored	novo	noor	ADJ	N;NOM;PL
novo	young	novo	young	ADJ	N;NOM;SG
todas	kõikjal	todo	kõikjal	DET	ADV
todas	igalpool	todo	igal_pool	DET	N;NOM;SG
todas	kõik	todo	kõik	DET	PRO;NOM;SG
todas	iga	todo	iga	DET	PRO;NOM;SG
di	ta	dicir	tema	V	PRO;NOM;SG;3
sabe	sind	saber	sina	V	PRO;PRT;SG;2
sabe	you	saber	you	V	N;NOM;SG
sabe	sina	saber	sina	V	PRO;NOM;SG;2
mañá	hommik	mañá	hommik	ADV	N;NOM;SG
dende	alates	dende	alates	ADP	ADV
dende	kellelt	dende	kes	ADP	PRO;AT+ABL;SG
primeiro	kõigepealt	primeiro	kõige_pealt	ADJ	ADV
primeiro	esmalt	primeiro	esmalt	ADJ	ADV
parte	enim	parte	enim	N	ADJ;NOM;CMPR;SG
veces	mõnikord	vez	mõni_kord	N	ADV
veces	vahel	vez	vahel	N	ADV
veces	vahest	vez	vahest	N	ADV
podería	võiks	poder	võima	V	V;COND;PRS;FIN;ACT
claro	kurss	claro	kurss	ADJ	N;NOM;SG
claro	kursus	claro	kursus	ADJ	N;NOM;SG
canto	kuidas	canto	kuidas	PRO	ADV
canto	much	canto	much	PRO	N;NOM;SG
canto	palju	canto	palju	PRO	ADV
canto	pikad	canto	pikk	PRO	ADJ;NOM;PL
canto	pikka	canto	pikk	PRO	ADJ;PRT;SG
canto	pikk	canto	pikk	PRO	ADJ;NOM;SG
pasa	umbes	pasar	umbes	V	ADV
pasa	väär	pasar	väär	V	N;NOM;SG
pasa	vale	pasar	vale	V	ADJ;NOM;SG
pasa	valesti	pasar	valesti	V	ADV
pasa	koos	pasar	koos	V	ADV
pasa	going	pasar	going	V	N;NOM;SG
pasa	minek	pasar	minek	V	N;NOM;SG
pasa	mis	pasar	mis	V	PRO;NOM;SG
pasa	mida	pasar	mis	V	PRO;PRT;SG
pasa	mateeria	pasar	mateeria	V	N;NOM;SG
boa	nice	bo	nice	ADJ	N;NOM;SG
tanto	see	tanto	see	ADV	PRO;NOM;SG
tanto	seda	tanto	see	ADV	PRO;PRT;SG
tanto	much	tanto	much	ADV	N;NOM;SG
cos	koos	cos	koos	PROPN	ADV
toda	terve	todo	terve	DET	N;NOM;SG
toda	terved	todo	terve	DET	ADJ;NOM;PL
toda	tervik	todo	tervik	DET	N;NOM;SG
toda	tervelt	todo	tervelt	DET	ADV
toda	kõik	todo	kõik	DET	PRO;NOM;SG
durante	kestel	durante	kestel	ADP	N;AT+ESS
;SG
durante	ajal	durante	aeg	ADP	N;AT+ESS
;SG
durante	for	durante	for	ADP	N;NOM;SG
fóra	out	fóra	out	ADV	N;NOM;SG
fóra	saa	fóra	saama	ADV	V;IMP;SG;2;PRS;FIN;ACT
contra	vastu	contra	vastu	ADP	ADV
mal	väär	mal	väär	ADV	N;NOM;SG
mal	vale	mal	vale	ADV	ADJ;NOM;SG
mal	bad	mal	bad	ADV	N;NOM;SG
mal	halb	mal	halb	ADV	ADJ;NOM;SG
mal	paha	mal	paha	ADV	ADJ;NOM;SG
tarde	õhtust	tarde	õhtune	N	ADJ;IN+ABL;SG
tarde	õhtused	tarde	õhtune	N	ADJ;NOM;PL
tarde	õhtune	tarde	õhtune	N	ADJ;NOM;SG
tarde	hiljem	tarde	hiljem	N	ADV
tarde	hilja	tarde	hilja	N	ADV
tarde	hiline	tarde	hiline	N	ADJ;NOM;SG
tarde	hilinenud	tarde	hilinema	N	V;PST;V.PTCP;ACT
vas	sind	ir	sina	V	PRO;PRT;SG;2
vas	you	ir	you	V	N;NOM;SG
vas	sina	ir	sina	V	PRO;NOM;SG;2
vas	will	ir	will	V	N;NOM;SG
vas	tahe	ir	tahe	V	N;NOM;SG
vas	going	ir	going	V	N;NOM;SG
vas	minek	ir	minek	V	N;NOM;SG
poden	sind	poder	sina	V	PRO;PRT;SG;2
poden	you	poder	you	V	N;NOM;SG
poden	sina	poder	sina	V	PRO;NOM;SG;2
poden	nad	poder	tema	V	PRO;NOM;PL;3
poden	mai	poder	mai	V	N;NOM;SG
persoas	kes	persoa	kes	N	PRO;NOM;SG
persoas	keda	persoa	kes	N	PRO;PRT;SG
calquera	iga	calquera	iga	DET	PRO;NOM;SG
outros	muu	outro	muu	DET	PRO;NOM;SG
outros	muud	outro	muu	DET	PRO;NOM;SG
outros	teine	outro	teine	DET	PRO;NOM;SG
outros	muud	outro	muu	DET	PRO;NOM;SG
outros	teised	outro	teine	DET	PRO;NOM;PL
parece	nagu	parecer	nagu	V	CONJ
quería	tagaotsitav	querer	taga_otsitav	V	ADJ;NOM;SG;PRS;V.PTCP;ACT
pois	noh	pois	noh	CONJ	INTJ
pois	no	pois	no	CONJ	INTJ
pois	hästi	pois	hästi	CONJ	ADV
pois	sind	pois	sina	CONJ	PRO;PRT;SG;2
pois	you	pois	you	CONJ	N;NOM;SG
pois	sina	pois	sina	CONJ	PRO;NOM;SG;2
dúas	kaks	dous	kaks	N	NUM;NOM;SG
dúas	mõlemad	dous	mõlema	N	PRO;NOM;PL
ola	tere	ola	tere	N	INTJ
ola	hei	ola	hei	N	INTJ
estes	need	este	see	DET	PRO;NOM;PL
estes	neid	este	see	DET	PRO;PRT;PL
estes	see	este	see	DET	PRO;NOM;SG
estes	selle	este	see	DET	PRO;GEN;SG
estes	seda	este	see	DET	PRO;PRT;SG
estes	need	este	see	DET	PRO;NOM;PL
será	will	ser	will	V	N;NOM;SG
será	tahe	ser	tahe	V	N;NOM;SG
será	parem	ser	parem	V	ADJ;NOM;CMPR;SG
será	paremad	ser	parem	V	ADJ;NOM;CMPR;PL
será	paremini	ser	paremini	V	ADV
certo	tõene	certo	tõene	DET	ADJ;NOM;SG
certo	tõsi	certo	tõsi	DET	N;NOM;SG
certo	kindel	certo	kindel	DET	ADJ;NOM;SG
certo	õigus	certo	õigus	DET	N;NOM;SG
certo	paremale	certo	paremale	DET	ADV
certo	õige	certo	õige	DET	ADJ;NOM;SG
certo	way	certo	way	DET	N;NOM;SG
feito	tegelikult	feito	tegelikult	N	ADV
feito	tegelt	feito	tegelt	N	ADV
feito	tehtud	feito	tegema	N	V;PST;V.PTCP;PASS
feito	tehtud	feito	tegema	N	V;PST;V.PTCP;PASS
poder	power	poder	power	V	N;NOM;SG
poder	võimu	poder	võim	V	N;PRT;SG
poder	võim	poder	võim	V	N;NOM;SG
poder	võimsus	poder	võimsus	V	N;NOM;SG
poder	jõud	poder	jõud	V	N;NOM;SG
tipo	lahke	tipo	lahke	N	ADJ;NOM;SG
moitos	paljud	moito	palju	DET	PRO;NOM;PL
moitos	paljusid	moito	palju	DET	PRO;PRT;PL
moitos	palju	moito	palju	DET	ADV
moitos	partii	moito	partii	DET	N;NOM;SG
moitos	palju	moito	palju	DET	ADV
moitos	krunt	moito	krunt	DET	N;NOM;SG
uns	umbes	un	umbes	DET	ADV
uns	vähesed	un	vähene	DET	ADJ;NOM;PL
uns	mõned	un	mõni	DET	PRO;NOM;PL
uns	iga	un	iga	DET	PRO;NOM;SG
saber	teadmine	saber	teadmine	V	N;NOM;SG
rei	king	rei	king	PROPN	N;NOM;SG
rei	kuningas	rei	kuningas	PROPN	N;NOM;SG
rei	kunn	rei	kunn	PROPN	N;NOM;SG
rei	maandumine	rei	maandumine	PROPN	N;NOM;SG
estas	need	este	see	DET	PRO;NOM;PL
estas	neid	este	see	DET	PRO;PRT;PL
estas	need	este	see	DET	PRO;NOM;PL
estas	see	este	see	DET	PRO;NOM;SG
estas	selle	este	see	DET	PRO;GEN;SG
estas	seda	este	see	DET	PRO;PRT;SG
gran	big	gran	big	ADJ	N;NOM;SG
gran	suurbritannia	gran	suur_britannia	ADJ	N;NOM;SG
gran	britannia	gran	britannia	ADJ	N;NOM;SG
até	kuni	até	kuni	ADV	CONJ
tal	kuidas	tal	kuidas	DET	ADV
tal	umbes	tal	umbes	DET	ADV
tal	selline	tal	selline	DET	ADJ;NOM;SG
tal	sellised	tal	selline	DET	ADJ;NOM;PL
tal	ehk	tal	ehk	DET	ADV
tal	võibolla	tal	võib_olla	DET	ADV
tal	äkki	tal	äkki	DET	ADV
tal	see	tal	see	DET	PRO;NOM;SG
tal	seda	tal	see	DET	PRO;PRT;SG
nosos	meie	noso	mina	DET	PRO;NOM;PL;1
seguro	kindel	seguro	kindel	N	ADJ;NOM;SG
seguro	turvaline	seguro	turvaline	N	ADJ;NOM;SG
seguro	ohutu	seguro	ohutu	N	ADJ;NOM;SG
seguro	sind	seguro	sina	N	PRO;PRT;SG;2
seguro	sina	seguro	sina	N	PRO;NOM;SG;2
vin	tuli	ver	tuli	V	N;NOM;SG
vin	saag	ver	saag	V	N;NOM;SG
medo	hirmunud	medo	hirmunud	N	ADJ;PST;V.PTCP;ACT
medo	kardan	medo	kartma	N	V;IND;SG;1;PRS;FIN;ACT
amor	armastan	amor	armastama	N	V;IND;SG;1;PRS;FIN;ACT
moitas	väga	moito	väga	DET	ADV
moitas	much	moito	much	DET	N;NOM;SG
moitas	palju	moito	palju	DET	ADV
moitas	paljud	moito	palju	DET	PRO;NOM;PL
moitas	paljusid	moito	palju	DET	PRO;PRT;PL
moitas	palju	moito	palju	DET	ADV
moitas	partii	moito	partii	DET	N;NOM;SG
moitas	palju	moito	palju	DET	ADV
moitas	krunt	moito	krunt	DET	N;NOM;SG
moitas	sind	moito	sina	DET	PRO;PRT;SG;2
moitas	you	moito	you	DET	N;NOM;SG
moitas	sina	moito	sina	DET	PRO;NOM;SG;2
facelo	see	facelo	see	N	PRO;NOM;SG
facelo	seda	facelo	see	N	PRO;PRT;SG
facelo	see	facelo	see	N	PRO;NOM;SG
facelo	selle	facelo	see	N	PRO;GEN;SG
facelo	seda	facelo	see	N	PRO;PRT;SG
grande	big	grande	big	ADJ	N;NOM;SG
nova	noored	novo	noor	ADJ	N;NOM;PL
nova	young	novo	young	ADJ	N;NOM;SG
nova	new	novo	new	ADJ	N;NOM;SG
ven	siin	ver	siin	V	ADV
cun	koos	cun	koos	PROPN	ADV
eh	hei	eh	hei		INTJ
eh	huh	eh	huh		INTJ
había	seal	haber	seal	V	ADV
cabeza	sinu	cabeza	sina	N	PRO;GEN;SG;2
cabeza	teie	cabeza	sina	N	PRO;NOM;PL;2
debe	peaksid	deber	pidama	V	V;COND;PL;3;PRS;FIN;ACT
vale	õigus	valar	õigus	V	N;NOM;SG
vale	paremale	valar	paremale	V	ADV
vale	õige	valar	õige	V	ADJ;NOM;SG
vale	väärt	valar	väärt	V	ADJ
vale	kõik	valar	kõik	V	PRO;NOM;SG
van	nad	ir	tema	V	PRO;NOM;PL;3
van	going	ir	going	V	N;NOM;SG
van	minek	ir	minek	V	N;NOM;SG
van	will	ir	will	V	N;NOM;SG
van	tahe	ir	tahe	V	N;NOM;SG
primeira	kõigepealt	primeiro	kõige_pealt	ADJ	ADV
primeira	esmalt	primeiro	esmalt	ADJ	ADV
mentres	pikad	mentres	pikk	ADV	ADJ;NOM;PL
mentres	pikka	mentres	pikk	ADV	ADJ;PRT;SG
mentres	pikk	mentres	pikk	ADV	ADJ;NOM;SG
dar	andmine	dar	andmine	V	N;NOM;SG
dar	sind	dar	sina	V	PRO;PRT;SG;2
dar	you	dar	you	V	N;NOM;SG
dar	sina	dar	sina	V	PRO;NOM;SG;2
dar	for	dar	for	V	N;NOM;SG
vós	you	vós	you	PRO	N;NOM;SG
razón	paremale	razón	paremale	N	ADV
razón	õige	razón	õige	N	ADJ;NOM;SG
razón	miks	razón	miks	N	ADV
ollos	sinu	ollo	sina	N	PRO;GEN;SG;2
ollos	teie	ollo	sina	N	PRO;NOM;PL;2
