par	hakkında	par	hak		N;ESS;SG;3
rīgā	riga	rīgs	riga	PROPN;ESS;FEM;SG	PROPN;NOM;SG;3
tad	öyleyse	tad	öyleyse	ADV	
tad	ozaman	tad	oza	ADV	
kuras	hangi	kura	hangi	PRO;NOM;FEM;PL	ADJ
kuras	hangisi	kura	hangi	PRO;NOM;FEM;PL	
tie	onlar	tas	o	PRO;NOM;MASC;PL	PRO;NOM;PL;3
pirms	önceki	pirms	önceki	ADP	
pirms	önceden	pirms	önceden	ADP	ADV
pirms	önce	pirms	önce	ADP	
pirms	öncesi	pirms	önce	ADP	N;NOM;SG;3
pirms	öncesinde	pirms	önce	ADP	N;ESS;SG;3
zemes	earth	zeme	earth	N;NOM;FEM;PL	
zemes	toprak	zeme	toprak	N;NOM;FEM;PL	
zemes	dünya	zeme	dünya	N;NOM;FEM;PL	
zemes	yeryüzü	zeme	yeryüzü	N;NOM;FEM;PL	
zemes	toprak	zeme	toprak	N;NOM;FEM;PL	
zemes	arsa	zeme	arsa	N;NOM;FEM;PL	N;NOM;SG;3
zemes	arazi	zeme	arazi	N;NOM;FEM;PL	
zemes	kara	zeme	kara	N;NOM;FEM;PL	
zemes	land	zeme	la	N;NOM;FEM;PL	PROPN;NOM;SG;3
zemes	zemin	zeme	zemin	N;NOM;FEM;PL	
kura	kimin	kura	kim	PRO;NOM;FEM;SG	PRO;GEN;SG;3
kura	hangi	kura	hangi	PRO;NOM;FEM;SG	ADJ
kura	hangisi	kura	hangi	PRO;NOM;FEM;SG	
pirmā	öncelikle	pirmā	öncelik	ADJ;NOM;DEF;FEM;SG	N;INS;SG;3
pirmā	önce	pirmā	önce	ADJ;NOM;DEF;FEM;SG	
pirmā	ilk	pirmā	ilk	ADJ;NOM;DEF;FEM;SG	
pirmā	once	pirmā	once	ADJ;NOM;DEF;FEM;SG	
centrs	merkezi	centrs	merkez	N;NOM;MASC;SG	N;ACC;SG;3
centrs	merkez	centrs	merkez	N;NOM;MASC;SG	
centrs	orta	centrs	orta	N;NOM;MASC;SG	
centrs	merkezi	centrs	merkez	N;NOM;MASC;SG	N;ACC;SG;3
centrs	merkez	centrs	merkez	N;NOM;MASC;SG	
centrs	orta	centrs	orta	N;NOM;MASC;SG	
centrs	centre	centrs	centre	N;NOM;MASC;SG	PROPN;NOM;SG;3
psrs	sscb	psrs	sscb	PROPN	PROPN;NOM;SG;3
kurš	kimler	kurš	kim	PRO;NOM;MASC;SG	
kurš	who	kurš	who	PRO;NOM;MASC;SG	
trīs	three	trīs	three	NUM;NOM;MASC;PL	
viņu	onların	viņš	o	PRO;ACC;MASC;SG;3	PRO;GEN;PL;3
viņu	onlarin	viņš	o	PRO;ACC;MASC;SG;3	
parasti	tipik	parasti	tipik	ADV	
parasti	genellikle	parasti	genellikle	ADV	
parasti	genellikle	parasti	genellikle	ADV	
parasti	genellikle	parasti	genellikle	ADV	
parasti	genelde	parasti	genelde	ADV	
parasti	normalde	parasti	normalde	ADV	
parasti	olağan	parasti	olağan	ADV	
pat	bile	pat	bile	PART	ADV
pat	hatta	pat	hatta	PART	CONJ
pat	pat	pat	pat	PART	
jūras	marine	jūra	marin	N;NOM;FEM;SG	
jūras	deniz	jūra	deniz	N;NOM;FEM;SG	
jūras	denizci	jūra	denizci	N;NOM;FEM;SG	
http	http	http	http	N	
pirmais	öncelikle	pirmais	öncelik	ADJ;NOM;DEF;MASC;SG	N;INS;SG;3
pirmais	önce	pirmais	önce	ADJ;NOM;DEF;MASC;SG	
pirmais	ilk	pirmais	ilk	ADJ;NOM;DEF;MASC;SG	
pirmais	once	pirmais	once	ADJ;NOM;DEF;MASC;SG	
spēles	oyun	spēle	oyun	N;NOM;FEM;PL	
spēles	oyunları	spēle	oyun	N;NOM;FEM;PL	N;ACC;PL;3
nosaukums	adın	nosaukums	ad	N;NOM;MASC;SG	
team	team	tu	team		
team	ekip	tu	ekip		
team	takım	tu	takım		
sezonas	mevsimlik	sezona	mevsimlik	N;NOM;FEM;PL	
sezonas	mevsim	sezona	mevsim	N;NOM;FEM;PL	
sezonas	sezonu	sezona	sezon	N;NOM;FEM;PL	N;ACC;SG;3
sezonas	mevsim	sezona	mevsim	N;NOM;FEM;PL	
sezonas	sezon	sezona	sezon	N;NOM;FEM;PL	
sezonas	seasons	sezona	seasons	N;NOM;FEM;PL	
sezonas	mevsim	sezona	mevsim	N;NOM;FEM;PL	
visu	herşey	viss	herşey	PRO;ACC;MASC;SG	
visu	herşeyi	viss	herşey	PRO;ACC;MASC;SG	N;ACC;SG;3
visu	hersey	viss	hersey	PRO;ACC;MASC;SG	
visu	all	viss	all	PRO;ACC;MASC;SG	
visu	hepsini	viss	hepsi	PRO;ACC;MASC;SG	PRO;ACC;PL;3
visu	tamamı	viss	tamam	PRO;ACC;MASC;SG	
visu	hepsi	viss	hepsi	PRO;ACC;MASC;SG	PRO;NOM;PL;3
visu	tümü	viss	tümü	PRO;ACC;MASC;SG	
grupas	gurup	grupa	gur	N;NOM;FEM;PL	
grupas	grup	grupa	grup	N;NOM;FEM;PL	
grupas	grubu	grupa	grup	N;NOM;FEM;PL	
grupas	grupları	grupa	grup	N;NOM;FEM;PL	N;ACC;PL;3
vienu	biri	viens	biri	NUM;ACC;MASC;SG	PRO;NOM;SG;3
vienu	bir	viens	bir	NUM;ACC;MASC;SG	
rīga	riga	rīga	riga	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
rīga	rīga	rīga	rīga	PROPN;NOM;FEM;SG	
ieguva	kazanılan	iegūt	kazan	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
ieguva	elde	iegūt	el	V;FH;IND;3;POS;PST;FIN;ACT	N;ESS;SG;3
ieguva	kazanılan	iegūt	kazan	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
ieguva	won	iegūt	won	V;FH;IND;3;POS;PST;FIN;ACT	
laika	hava	laiks	hava	N;GEN;MASC;SG	
laika	zaman	laiks	zaman	N;GEN;MASC;SG	N;NOM;SG;3
laika	vakit	laiks	vakit	N;GEN;MASC;SG	
laika	süre	laiks	süre	N;GEN;MASC;SG	N;NOM;SG;3
laika	time	laiks	tim	N;GEN;MASC;SG	
gads	yıl	gads	yıl	N;NOM;MASC;SG	
gads	yılı	gads	yıl	N;NOM;MASC;SG	
gads	sene	gads	sene	N;NOM;MASC;SG	
centra	merkezi	centrs	merkez	N;GEN;MASC;SG	N;ACC;SG;3
centra	merkez	centrs	merkez	N;GEN;MASC;SG	
centra	orta	centrs	orta	N;GEN;MASC;SG	
centra	centre	centrs	centre	N;GEN;MASC;SG	PROPN;NOM;SG;3
otrā	ikincisi	otrā	ikinci	ADJ;NOM;DEF;FEM;SG	NUM;NOM;SG;3
padomju	sovyetler	padome	sovyet	N;GEN;FEM;PL	N;NOM;PL;3
padomju	sovyet	padome	sovyet	N;GEN;FEM;PL	
padomju	tahtaları	padome	tahta	N;GEN;FEM;PL	ADJ;NOM;PL;3
krievu	rus	krievs	rus	N;ACC;MASC;SG	
krievu	rusça	krievs	rusça	N;ACC;MASC;SG	PROPN;NOM;SG;3
krievu	russo	krievs	russo	N;ACC;MASC;SG	
score	puan	score	pu		
score	skor	score	skor		
score	sayı	score	say		
angļu	ingiliz	anglis	ingiliz	N;GEN;MASC;PL	
angļu	türkçe	anglis	türkçe	N;GEN;MASC;PL	
angļu	turkish	anglis	turkish	N;GEN;MASC;PL	
angļu	ingilizce	anglis	ingilizce	N;GEN;MASC;PL	
profils	profil	profils	profil	N;NOM;MASC;SG	
profils	profili	profils	profili	N;NOM;MASC;SG	
vācijas	alman	vācija	al	PROPN;NOM;FEM;SG	
vācijas	almanca	vācija	al	PROPN;NOM;FEM;SG	ADV
vācijas	almanya	vācija	al	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
bez	olmadan	bez	ol	ADP	V;PFV;IND;NEG;PRS;V.CVB
bez	onsuz	bez	onsuz	ADP	
tautas	popüler	tauta	popü	N;NOM;FEM;PL	
tautas	sevilen	tauta	sev	N;NOM;FEM;PL	V;PFV;IND;POS;PRS;V.PTCP;PASS
tautas	folk	tauta	folk	N;NOM;FEM;PL	
tautas	halkları	tauta	halk	N;NOM;FEM;PL	N;ACC;PL;3
tautas	halk	tauta	halk	N;NOM;FEM;PL	
apmēram	yaklaşık	apmēram	yaklaşık	ADV	
garums	uzunluğu	garums	uzunluk	N;NOM;MASC;SG	N;ACC;SG;3
garums	uzunlukta	garums	uzunluk	N;NOM;MASC;SG	N;ESS;SG;3
daudz	birçok	daudz	birçok	ADV	DET
daudz	çok	daudz	çok	ADV	
divas	iki	divas	iki	NUM;NOM;FEM;PL	
komandas	komut	komanda	komut	N;NOM;FEM;PL	
komandas	emrediyor	komanda	emret	N;NOM;FEM;PL	V;PROG;IND;SG;3;POS;INFM;PRS
jānis	jānis	jānis	jānis	PROPN;NOM;MASC;SG	
pils	castle	pils	cast	N;NOM;FEM;SG	
pils	şato	pils	şato	N;NOM;FEM;SG	
pils	kale	pils	kale	N;NOM;FEM;SG	
pils	laf	pils	laf	N;NOM;FEM;SG	
pils	saray	pils	saray	N;NOM;FEM;SG	
pils	sarayı	pils	sara	N;NOM;FEM;SG	N;ACC;SG;3
vietas	nokta	vieta	nokta	N;NOM;FEM;PL	
vietas	spot	vieta	spot	N;NOM;FEM;PL	
vietas	konumları	vieta	konum	N;NOM;FEM;PL	N;ACC;PL;3
vietas	yerleri	vieta	yer	N;NOM;FEM;PL	N;ACC;PL;3
vietas	yerleri	vieta	yer	N;NOM;FEM;PL	N;ACC;PL;3
latns	latns	latns	latns	N;NOM;MASC;SG	
longew	longew	longey	longew		
valodas	dil	valoda	dil	N;NOM;FEM;PL	
reizes	katla	reize	kat	N;NOM;FEM;PL	
reizes	kat	reize	kat	N;NOM;FEM;PL	
romas	rome	roma	rom	N;NOM;FEM;PL	PROPN;NOM;SG;3
romas	roma	roma	roma	N;NOM;FEM;PL	PROPN;NOM;SG;3
sezonā	sezonu	sezona	sezon	N;ESS;FEM;SG	N;ACC;SG;3
sezonā	mevsim	sezona	mevsim	N;ESS;FEM;SG	
sezonā	sezon	sezona	sezon	N;ESS;FEM;SG	
novads	belediye	novads	beledi	N;NOM;MASC;SG	
novads	belediyesi	novads	belediye	N;NOM;MASC;SG	
novads	belediyeye	novads	belediye	N;NOM;MASC;SG	N;DAT;SG;3
novads	krayı	novads	kra	N;NOM;MASC;SG	PROPN;NOM;SG;3
grupa	gurup	grupa	gur	N;NOM;FEM;SG	
grupa	grup	grupa	grup	N;NOM;FEM;SG	
grupa	grubu	grupa	grup	N;NOM;FEM;SG	
šis	bu	šis	bu	PRO;NOM;MASC;SG	
šis	bunu	šis	bu	PRO;NOM;MASC;SG	PRO;ACC;SG;3
valodā	otantik	valoda	otantik	N;ESS;FEM;SG	N;NOM;SG;3
valodā	hakiki	valoda	hakiki	N;ESS;FEM;SG	
ūdens	su	ūdens	su	N;NOM;MASC;SG	
bieži	yaygın	bieži	yaygın	ADV	
šīs	bunları	šī	bu	PRO;NOM;FEM;PL	PRO;ACC;PL;3
šīs	şunlar	šī	şu	PRO;NOM;FEM;PL	
ģints	cins	ģints	cins	N;NOM;FEM;SG	
tiesības	ayrıcalıkları	tiesības	ayrıcalık	N;NOM;FEM	N;NOM;PL;3
tiesības	doğru	tiesības	doğru	N;NOM;FEM	
tiesības	sağa	tiesības	sağ	N;NOM;FEM	
tiesības	sağ	tiesības	sağ	N;NOM;FEM	
tiesības	dogru	tiesības	dogru	N;NOM;FEM	
tiesības	hakları	tiesības	hak	N;NOM;FEM	N;ACC;PL;3
tiesības	haklar	tiesības	hak	N;NOM;FEM	N;NOM;PL;3
tiesības	hak	tiesības	hak	N;NOM;FEM	
valoda	dil	valoda	dil	N;NOM;FEM;SG	
valoda	dile	valoda	dile	N;NOM;FEM;SG	
valoda	dili	valoda	dili	N;NOM;FEM;SG	
valoda	lisan	valoda	lisan	N;NOM;FEM;SG	
tāpat	aynen	tāpat	aynen	ADV	
tāpat	keza	tāpat	keza	ADV	
polijas	polonyalı	polija	polonyalı	PROPN;NOM;FEM;SG	
polijas	lehçe	polija	lehçe	PROPN;NOM;FEM;SG	
polijas	polonya	polija	polon	PROPN;NOM;FEM;SG	PROPN;NOM;SG;3
fon	von	fon	von		
janvārī	ocak	janvāris	ocak	N;ESS;MASC;SG	
sugas	tür	suga	tür	N;NOM;FEM;PL	
pasaulē	worldwide	pasaule	oorldi	N;ESS;FEM;SG	PROPN;NOM;SG;3
pasaulē	world	pasaule	world	N;ESS;FEM;SG	
pasaulē	dünya	pasaule	dünya	N;ESS;FEM;SG	
pasaulē	dunya	pasaule	dunya	N;ESS;FEM;SG	
mūsdienās	şimdilerde	mūsdienas	şimdi	N;ESS;FEM	N;ESS;PL;3
mūsdienās	günümüzde	mūsdienas	gün	N;ESS;FEM	N;ESS;SG;3
mūsdienās	bugünlerde	mūsdienas	bugün	N;ESS;FEM	N;ESS;PL;3
jūlijā	temmuz	jūlijs	temmuz	N;ESS;MASC;SG	
ciems	köyü	ciems	köy	N;NOM;MASC;SG	
ciems	köy	ciems	köy	N;NOM;MASC;SG	
citas	diğer	cita	diğer	PRO;NOM;FEM;PL	ADJ
citas	diğeri	cita	diğer	PRO;NOM;FEM;PL	N;NOM;SG;3
citas	öteki	cita	öteki	PRO;NOM;FEM;PL	
citas	diger	cita	diger	PRO;NOM;FEM;PL	
citas	diger	cita	diger	PRO;NOM;FEM;PL	
citas	diğerleri	cita	diğer	PRO;NOM;FEM;PL	N;ACC;PL;3
citas	diğerlerini	cita	diğer	PRO;NOM;FEM;PL	N;ACC;PL;3
citas	başkaları	cita	başka	PRO;NOM;FEM;PL	ADJ;ACC;PL;3
skaits	sayar	skaits	sayar	N;NOM;MASC;SG	
skaits	say	skaits	say	N;NOM;MASC;SG	
skaits	kont	skaits	kont	N;NOM;MASC;SG	
skaits	rakam	skaits	rakam	N;NOM;MASC;SG	
skaits	numara	skaits	numar	N;NOM;MASC;SG	
skaits	sayı	skaits	say	N;NOM;MASC;SG	
ziemeļu	kuzey	ziemelis	kuzey	N;GEN;MASC;PL	
ziemeļu	kuzeyde	ziemelis	kuzeyde	N;GEN;MASC;PL	N;ESS;SG;3
ziemeļu	north	ziemelis	north	N;GEN;MASC;PL	PROPN;NOM;SG;3
ziemeļu	kuzeye	ziemelis	kuze	N;GEN;MASC;PL	N;DAT;SG;3
ziemeļu	iskandinav	ziemelis	iskandinav	N;GEN;MASC;PL	V;PFV;DAT;IND;POS;PST;V.PTCP;PASS
ziemeļu	kuzey	ziemelis	kuzey	N;GEN;MASC;PL	
suga	tür	suga	tür	N;NOM;FEM;SG	
suga	türler	suga	tür	N;NOM;FEM;SG	N;NOM;PL;3
spēlē	oyun	spēlēt	oyun	V;FH;IND;3;POS;PRS;FIN;ACT	
spēlē	play	spēlēt	play	V;FH;IND;3;POS;PRS;FIN;ACT	
spēlē	oyna	spēlēt	oyna	V;FH;IND;3;POS;PRS;FIN;ACT	
spēlē	oynayın	spēlēt	oyna	V;FH;IND;3;POS;PRS;FIN;ACT	V;PFV;IMP;PL;2;POS;PRS
spēlē	çal	spēlēt	çal	V;FH;IND;3;POS;PRS;FIN;ACT	
aptuveni	yaklaşık	aptuveni	yaklaşık	ADV	
aptuveni	kabaca	aptuveni	kaba	ADV	
aptuveni	yaklaşık	aptuveni	yaklaşık	ADV	
mūzikas	müzikal	mūzika	müzikal	N;NOM;FEM;PL	
apriņķis	ilçe	apriņķis	ilçe	N;NOM;MASC;SG	
apriņķis	county	apriņķis	county	N;NOM;MASC;SG	PROPN;NOM;SG;3
upes	nehri	upe	nehir	N;NOM;FEM;SG	N;ACC;SG;3
upes	river	upe	riv	N;NOM;FEM;SG	PROPN;NOM;SG;3
upes	nehir	upe	nehir	N;NOM;FEM;SG	
upes	irmak	upe	irmak	N;NOM;FEM;SG	
upes	nehirler	upe	nehir	N;NOM;FEM;SG	N;NOM;PL;3
upes	nehirleri	upe	nehir	N;NOM;FEM;SG	N;NOM;PL;3
upes	rivers	upe	rivers	N;NOM;FEM;SG	PROPN;NOM;SG;3
komanda	komut	komanda	komut	N;NOM;FEM;SG	
komanda	team	komanda	team	N;NOM;FEM;SG	
komanda	ekip	komanda	ekip	N;NOM;FEM;SG	
komanda	takım	komanda	takım	N;NOM;FEM;SG	
izlases	rastgele	izlase	rastgele	N;NOM;FEM;PL	
izlases	rasgele	izlase	rasgele	N;NOM;FEM;PL	
martā	mart	marts	mart	N;ESS;MASC;SG	
martā	marş	marts	marş	N;ESS;MASC;SG	
martā	yürüyüş	marts	yürüyüş	N;ESS;MASC;SG	
amerikāņu	amerikalı	amerikānis	amerikalı	N;GEN;MASC;PL	
amerikāņu	amerikan	amerikānis	amerikan	N;GEN;MASC;PL	
amerikāņu	american	amerikānis	american	N;GEN;MASC;PL	N;NOM;SG;3
novembrī	kasım	novembris	kasım	N;ESS;MASC;SG	
augustā	ağustos	augusts	ağustos	N;ESS;MASC;SG	
augustā	august	augusts	august	N;ESS;MASC;SG	
dienas	günlerden	diena	gün	N;NOM;FEM;PL	N;AT+ABL;PL;3
dienas	günleri	diena	gün	N;NOM;FEM;PL	N;ACC;PL;3
dienas	günlerce	diena	günlerce	N;NOM;FEM;PL	ADV
dienas	günlük	diena	günlük	N;NOM;FEM;PL	
jūnijā	june	jūnijs	ju	N;ESS;MASC;SG	
jūnijā	haziran	jūnijs	haziran	N;ESS;MASC;SG	
armijas	ordu	armija	ordu	N;NOM;FEM;PL	
klubs	klüp	klubs	klüp	N;NOM;MASC;SG	
klubs	club	klubs	club	N;NOM;MASC;SG	
klubs	kulüp	klubs	kul	N;NOM;MASC;SG	
cilvēku	insani	cilvēks	insani	N;ACC;MASC;SG	
cilvēku	insan	cilvēks	insan	N;ACC;MASC;SG	N;NOM;SG;3
com	com	com	com		
sākās	başladık	sākties	başla	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;IND;PL;1;POS;PST
sākās	başladım	sākties	başla	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;IND;SG;1;POS;PST
salas	adaları	sala	ada	N;NOM;FEM;PL	N;ACC;PL;3
līgas	league	līga	league	N;NOM;FEM;PL	
līgas	birlik	līga	birlik	N;NOM;FEM;PL	
līgas	lig	līga	lig	N;NOM;FEM;PL	
līgas	ligi	līga	ligi	N;NOM;FEM;PL	
hokeja	hokey	hokejs	hokey	N;GEN;MASC;SG	
hokeja	hokeyi	hokejs	hoke	N;GEN;MASC;SG	N;NOM;SG;3
decembrī	aralık	decembris	aralık	N;ESS;MASC;SG	N;NOM;SG;3
ezers	göl	ezers	göl	N;NOM;MASC;SG	
ezers	gölü	ezers	göl	N;NOM;MASC;SG	N;ACC;SG;3
dzelzceļa	demiryolu	dzelzceļš	demiryolu	N;GEN;MASC;SG	
