bir	egy	bir	egy		DET;INDF
haziran	júniusban	haziran	június		N;IN+ESS;SG
mayıs	május	mayıs	május		N;NOM;SG
mayıs	májusi	mayıs	májusi		ADJ;NOM;SG
mayıs	májusban	mayıs	május		N;IN+ESS;SG
dosya	akták	dosya	ak		N;NOM;PL
dosya	fájlok	dosya	fájl		N;NOM;PL
dosya	fájl	dosya	fájl		N;NOM;SG
dosya	file	dosya	file		N;NOM;SG
dosya	akta	dosya	akta		N;NOM;SG
ocak	januári	ocak	januári		ADJ;NOM;SG
ocak	január	ocak	január		N;NOM;SG
ocak	januárban	ocak	január		N;IN+ESS;SG
ocak	tűzhely	ocak	tűzhely		N;NOM;SG
ocak	sütő	ocak	sütő		N;NOM;SG
ocak	tűzhely	ocak	tűzhely		N;NOM;SG
yıl	évjárat	yıl	évjárat		N;NOM;SG
yıl	éve	yıl	év		N;NOM;SG
yıl	év	yıl	év		N;NOM;SG
dan	dan	dan	dan		PROPN;NOM;SG
kasım	november	kasım	november		N;NOM;SG
kasım	novemberi	kasım	novemberi		ADJ;NOM;SG
kasım	novemberben	kasım	november		N;IN+ESS;SG
kasım	nov	kasım	nov		N;NOM;SG
avrupa	európában	avrupa	európa		N;IN+ESS;SG
avrupa	európai	avrupa	európai		ADJ;NOM;SG
karşı	pult	karşı	pult		N;NOM;SG
karşı	ellene	karşı	ellen		PRO;NOM;SG;3
karşı	ellen	karşı	ellen		ADP
toplam	élettartam	toplam	élettartam		N;NOM;SG
toplam	összeg	toplam	összeg		N;NOM;SG
toplam	összességében	toplam	összesség		N;IN+ESS;SG
ikinci	másodszor	ikinci	másod	ADJ	
ikinci	másodperc	ikinci	másodperc	ADJ	
ikinci	második	ikinci	második	ADJ	
eylül	szeptemberben	eylül	szeptember		N;IN+ESS;SG
eylül	szeptember	eylül	szeptember		N;NOM;SG
eylül	szeptemberi	eylül	szeptemberi		ADJ;NOM;SG
ağustos	augusztusban	ağustos	augusztus		N;IN+ESS;SG
ağustos	augusztus	ağustos	augusztus		N;NOM;SG
içinde	belül	içinde	belül	ADV	ADP
içinde	belül	içinde	belül	ADV	ADP
temmuz	júliusban	temmuz	július		N;IN+ESS;SG
temmuz	júliusi	temmuz	júliusi		ADJ;NOM;SG
temmuz	július	temmuz	július		N;NOM;SG
önce	előtt	önce	előtt		ADP
önce	mielőtt	önce	mielőtt		ADV
önce	először	önce	először		ADV
önce	első	önce	első		ADJ;NOM;SG
tüm	egészben	tüm	egészben	DET	N;IN+ESS;SG
tüm	egész	tüm	egész	DET	
nisan	április	nisan	április		N;NOM;SG
nisan	áprilisi	nisan	áprilisi		ADJ;NOM;SG
nisan	áprilisban	nisan	április		N;IN+ESS;SG
resim	képet	resim	kép		N;ACC;SG
resim	kép	resim	kép		N;NOM;SG
resim	fénykép	resim	fénykép		N;NOM;SG
resim	kép	resim	kép		N;NOM;SG
resim	képet	resim	kép		N;ACC;SG
resim	festés	resim	festés		N;NOM;SG
resim	festmény	resim	festmény		N;NOM;SG
resim	rajza	resim	rajza		N;NOM;SG
resim	rajz	resim	rajz		N;NOM;SG
resim	rajzol	resim	rajzol		V;INDF;IND;SG;3;PRS;FIN;ACT
üniversitesi	university	üniversitesi	university	N;NOM;SG;3	
üniversitesi	egyetem	üniversitesi	egyetem	N;NOM;SG;3	N;NOM;SG
ye	egyél	ye	egyél		V;INDF;IND;SG;3;PRS;FIN;ACT
ekim	októberi	ekim	októberi		ADJ;NOM;SG
ekim	októberben	ekim	október		N;IN+ESS;SG
ekim	október	ekim	október		N;NOM;SG
şehir	városban	şehir	város		N;IN+ESS;SG
şehir	város	şehir	város		N;NOM;SG
şehir	városi	şehir	városi		ADJ;NOM;SG
şehir	város	şehir	város		N;NOM;SG
şehir	városi	şehir	városi		ADJ;NOM;SG
aralık	decemberi	aralık	decemberi	N;NOM;SG;3	ADJ;NOM;SG
aralık	decemberben	aralık	december	N;NOM;SG;3	N;IN+ESS;SG
köy	település	köy	település		N;NOM;SG
köy	falusi	köy	falusi		ADJ;NOM;SG
köy	falu	köy	falu		N;NOM;SG
yüksek	high	yüksek	high	ADJ	
yüksek	magasan	yüksek	magasan	ADJ	
yüksek	feljebb	yüksek	fől	ADJ	ADV
birçok	sok	birçok	sok	DET	
birçok	sokan	birçok	sokan	DET	ADV
şubat	februárban	şubat	február		N;IN+ESS;SG
şubat	februári	şubat	februári		ADJ;NOM;SG
şubat	február	şubat	február		N;NOM;SG
sadece	kizárólag	sadece	kizárólag	ADV	
yol	utat	yol	út		N;ACC;SG
yol	ösvény	yol	ösvény		N;NOM;SG
yol	útvonal	yol	útvonal		N;NOM;SG
yol	út	yol	út		N;NOM;SG
yol	útvonal	yol	útvonal		N;NOM;SG
yol	útvonalon	yol	útvonal		N;ON+ESS;SG
yol	út	yol	út		N;NOM;SG
yol	közúti	yol	közúti		N;NOM;SG
fakat	de	fakat	de		CONJ
grup	zenekar	grup	zenekar		N;NOM;SG
grup	csoport	grup	csoport		N;NOM;SG
grup	csoportban	grup	csoport		N;IN+ESS;SG
takım	brigád	takım	brigád		N;NOM;SG
takım	osztag	takım	osztag		N;NOM;SG
takım	csapat	takım	csapat		N;NOM;SG
kendi	saját	kendi	saját	PRO;NOM;SG;3;REFL	PRO;NOM;SG;3
tek	szingli	tek	szingli		N;NOM;SG
bilgi	info	bilgi	info	N;NOM;SG;3	
bilgi	infó	bilgi	infó	N;NOM;SG;3	
bilgi	infók	bilgi	infó	N;NOM;SG;3	N;NOM;PL
bilgi	információk	bilgi	információ	N;NOM;SG;3	N;NOM;PL
bilgi	információk	bilgi	információ	N;NOM;SG;3	N;NOM;PL
bilgi	ismeretek	bilgi	ismeret	N;NOM;SG;3	N;NOM;PL
kez	idők	kez	idő	N;NOM;SG;3	
kez	időpontok	kez	időpont	N;NOM;SG;3	N;NOM;PL
hakkında	kb	hak	kb	N;ESS;SG;3	N;NOM;SG
hakkında	nagyjából	hak	nagy	N;ESS;SG;3	N;IN+ABL;SG
hakkında	körülbelül	hak	körülbelül	N;ESS;SG;3	ADV
osmanlı	oszmán	osmanlı	oszmán		N;NOM;SG
devlet	állami	devlet	állami	N;NOM;SG;3	
ankara	ankara	ankar	ankara		PROPN;NOM;SG
tarihi	dátum	tarih	dátum		N;NOM;SG
tarihi	időpont	tarih	időpont		N;NOM;SG
tarihi	történelmi	tarih	történelmi		ADJ;NOM;SG
tarihi	történeti	tarih	történeti		N;NOM;SG
tarihi	történelme	tarih	történelem		N;NOM;SG
tarihi	előzmények	tarih	előzmény		N;NOM;PL
tarihi	történelem	tarih	történel		N;NOM;SG
küçük	kicsik	küçük	kicsik	ADJ	
küçük	kicsi	küçük	kicsi	ADJ	
küçük	lil	küçük	lil	ADJ	
küçük	kicsi	küçük	kicsi	ADJ	
küçük	kevés	küçük	kevés	ADJ	
müzik	zene	müzik	zene		N;NOM;SG
gelen	érkező	gel	érkező	V;PFV;IND;POS;PRS;V.PTCP	ADJ;NOM;SG
gelen	beérkező	gel	beérkező	V;PFV;IND;POS;PRS;V.PTCP	ADJ;NOM;SG
gelen	bejövő	gel	bejövő	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;SG
resmi	képet	resmi	kép		N;ACC;SG
resmi	kép	resmi	kép		N;NOM;SG
resmi	fénykép	resmi	fénykép		N;NOM;SG
resmi	hivatalos	resmi	hivatalos		ADJ;NOM;SG
resmi	tisztviselő	resmi	tisztviselő		N;NOM;SG
kabul	elfogadja	kabul	el+fogad	N;NOM;SG;3	V;DEF;IND;SG;3;PRS;FIN;ACT
kabul	elfogad	kabul	el+fogad	N;NOM;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
kabul	elfogadó	kabul	elfogadó	N;NOM;SG;3	
kabul	elfogadni	kabul	el+fogad	N;NOM;SG;3	V;NFIN;ACT
kabul	elfogadom	kabul	elfogadom	N;NOM;SG;3	
kabul	elfogadva	kabul	elfogadva	N;NOM;SG;3	ADV;V.CVB
kabul	elfogadott	kabul	el+fogadott	N;NOM;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
kabul	elfogadta	kabul	el+fogad	N;NOM;SG;3	V;DEF;IND;SG;3;PST;FIN;ACT
kabul	egyetértek	kabul	egyetért	N;NOM;SG;3	V;INDF;IND;PL;3;PST;FIN;ACT
devam	folytasd	devam	folytasd	N;NOM;SG;3	V;DEF;IMP;SG;1;PRS;FIN;ACT
kupası	kupa	kupa	kupa	N;NOM;SG;3	N;NOM;SG
kupası	csésze	kupa	csésze	N;NOM;SG;3	N;NOM;SG
kupası	cup	kupa	cup	N;NOM;SG;3	
kupası	pohár	kupa	pohár	N;NOM;SG;3	N;NOM;SG
kupası	bögre	kupa	bögre	N;NOM;SG;3	N;NOM;SG
okulu	iskolában	okul	iskolában	N;NOM;SG;3	N;IN+ESS;SG
okulu	suli	okul	suli	N;NOM;SG;3	
aldı	foglalt	al	foglal	V;PFV;IND;SG;3;POS;PST	
em	szívás	e	szívás		N;NOM;SG
farklı	más	farklı	más	ADJ	PRO;NOM;SG;3
farklı	különböző	farklı	különböző	ADJ	
futbol	foci	futbol	foci		N;NOM;SG
futbol	futball	futbol	futball		N;NOM;SG
futbol	foci	futbol	foci		N;NOM;SG
futbol	football	futbol	football		N;IN+ESS;SG
futbol	futball	futbol	futball		N;NOM;SG
ileti	üzenetet	ilet	üzenet		N;ACC;SG
ileti	üzenet	ilet	üzenet		N;NOM;SG
doğru	jobbra	doğru	jobbra		ADV
tarım	mezőgazdaság	tarım	mezőgazdaság		N;NOM;SG
tarım	gazdálkodás	tarım	gazdálkodás		N;NOM;SG
tarım	tenyésztés	tarım	tenyésztés		N;NOM;SG
tarım	mezőgazdaság	tarım	mezőgazdaság		N;NOM;SG
on	tíz	on	tíz		NUM;NOM;SG
özel	exkluzív	özel	exkluzív	ADJ	
özel	magán	özel	maga	ADJ	
özel	privát	özel	priva	ADJ	
özel	különleges	özel	különleges	ADJ	
özel	egyedi	özel	egyedi	ADJ	
özel	egyéni	özel	egyéni	ADJ	
biri	valaki	biri	valaki	PRO;NOM;SG;3	
biri	valakit	biri	valakit	PRO;NOM;SG;3	
biri	valaki	biri	valaki	PRO;NOM;SG;3	
biri	egy	biri	egy	PRO;NOM;SG;3	DET;INDF
alanı	mező	alan	mező	N;NOM;SG;3	N;NOM;SG
alanı	terület	alan	terület	N;NOM;SG;3	N;NOM;SG
alanı	környék	alan	környék	N;NOM;SG;3	N;NOM;SG
vikipedi	wikipédia	vikip	wikipédia		N;NOM;SG
uzun	meghosszabbított	uzun	meghosszabbított	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
uzun	kiterjesztett	uzun	kiterjesztett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
uzun	kibővített	uzun	kibővít	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
uzun	magasabbak	uzun	magasab	ADJ	ADV
uzun	hosszú	uzun	hosszú	ADJ	
şarkı	ének	şarkı	én		N;NOM;SG
şarkı	éneklés	şarkı	éneklés		N;NOM;SG
şarkı	énekelni	şarkı	énekel		V;NFIN;ACT
şarkı	énekel	şarkı	én		V;INDF;IND;SG;3;PRS;FIN;ACT
şarkı	dalok	şarkı	dalok		N;NOM;PL
şarkı	dalokat	şarkı	dalok		N;ACC;PL
şarkı	dal	şarkı	dal		N;NOM;SG
şarkı	dalt	şarkı	dalt		N;ACC;SG
eden	eden	et	eden	V;PFV;IND;POS;PRS;V.PTCP	
lig	liga	lig	liga		N;NOM;SG
orta	középre	orta	közép		N;ON+ALL;SG
orta	közepes	orta	közepes		ADJ;NOM;SG
orta	középre	orta	közép		N;ON+ALL;SG
orta	központ	orta	központ		N;NOM;SG
orta	középre	orta	közép		N;ON+ALL;SG
orta	központ	orta	központ		N;NOM;SG
orta	centrum	orta	centrum		N;NOM;SG
oyuncu	lejátszó	oyuncu	lejátszó		N;NOM;SG
oyuncu	játékos	oyuncu	játékos		N;NOM;SG
oyuncu	színésznek	oyuncu	színészik		N;GEN;SG
oyuncu	színész	oyuncu	színész		N;NOM;SG
oyuncu	színésznő	oyuncu	színésznő		N;NOM;SG
geri	vissza	geri	vissza		ADV
mesaj	sms	mesaj	sms		N;NOM;SG
mesaj	szöveg	mesaj	szöveg		N;NOM;SG
mesaj	üzenetet	mesaj	üzenet		N;ACC;SG
mesaj	üzenet	mesaj	üzenet		N;NOM;SG
mesaj	üzenetek	mesaj	üzenet		N;NOM;PL
mesaj	üzeneteket	mesaj	üzenet		N;ACC;PL
elektrik	elektromos	elektrik	elektromos	N;NOM;SG;3	
elektrik	elektromos	elektrik	elektromos	N;NOM;SG;3	
ardından	után	ardından	után	ADV	ADP
ardından	after	ardından	after	ADV	
ardından	miután	ardından	miután	ADV	CONJ
ardından	utána	ardından	utána	ADV	
merkezi	központi	merkez	központi	N;ACC;SG;3	ADJ;NOM;SG
merkezi	középre	merkez	közép	N;ACC;SG;3	N;ON+ALL;SG
merkezi	központ	merkez	központ	N;ACC;SG;3	N;NOM;SG
merkezi	center	merkez	center	N;ACC;SG;3	
merkezi	középre	merkez	közép	N;ACC;SG;3	N;ON+ALL;SG
merkezi	központ	merkez	központ	N;ACC;SG;3	N;NOM;SG
merkezi	centrum	merkez	centrum	N;ACC;SG;3	N;NOM;SG
kısa	rövid	kısa	rövid	ADJ	
kısa	röviden	kısa	röviden	ADJ	
kısa	rövid	kısa	rövid	ADJ	
güney	délre	güney	délre		ADV
almanya	németország	al	németország	PROPN;NOM;SG;3	N;NOM;SG
kişi	személy	kişi	személy	N;NOM;SG;3	
kişi	személyre	kişi	személy	N;NOM;SG;3	
değil	nem	değil	nem		ADV
kuzey	északra	kuzey	észak		N;ON+ALL;SG
çeşitli	változatos	çeşitli	változatos		ADJ;NOM;SG
açıklama	felirat	açıkla	felirat	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;SG
açıklama	magyarázat	açıkla	magyarázat	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;SG
açıklama	magyarázatot	açıkla	magyarázat	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;ACC;SG
açıklama	megnevezés	açıkla	megnevezés	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;SG
açıklama	leírása	açıkla	leírás	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;SG
açıklama	leírás	açıkla	leírás	V;PFV;NOM;IND;POS;PRS;V.MSDR	
team	csapat	team	csapat		N;NOM;SG
ortaya	felfedje	orta	felfed	ADJ;DAT;SG;3	V;DEF;IMP;SG;3;PRS;FIN;ACT
ortaya	felfedni	orta	felfed	ADJ;DAT;SG;3	V;NFIN;ACT
bilgileri	info	bilgi	info	N;ACC;PL;3	
bilgileri	infó	bilgi	infó	N;ACC;PL;3	
bilgileri	információ	bilgi	információ	N;ACC;PL;3	N;NOM;SG
bilgileri	infók	bilgi	infó	N;ACC;PL;3	N;NOM;PL
bilgileri	információk	bilgi	információ	N;ACC;PL;3	N;NOM;PL
fransa	franciaország	fra	franciaország	PROPN;NOM;SG;3	N;NOM;SG
fransa	france	fra	france	PROPN;NOM;SG;3	
amerika	amerika	amerik	amerika		N;NOM;SG
el	kezét	el	kéz	N;NOM;SG;3	N;ACC;SG
burada	itt	bura	itt	N;ESS;SG;3	ADV
gol	tavi	gol	tavi	N;NOM;SG;3	
gol	tavon	gol	tavon	N;NOM;SG;3	N;ON+ESS;SG
gol	célkitűzések	gol	célkitűzés	N;NOM;SG;3	N;NOM;PL
gol	célokat	gol	cél	N;NOM;SG;3	N;ACC;PL
gol	célok	gol	cél	N;NOM;SG;3	N;NOM;PL
sağlayan	lehetővé	sağla	lehető	V;PFV;IND;POS;PRS;V.PTCP	ADJ;TRANS;SG
sağlayan	nyújtó	sağla	nyújtó	V;PFV;IND;POS;PRS;V.PTCP	
ana	főbb	ana	fő		ADJ;NOM;CMPR;SG
ana	édesanyám	ana	édesanya		N;NOM;SG
ana	anya	ana	anya		N;NOM;SG
suyu	juice	su	juice	N;ACC;SG;3	
suyu	gyümölcslé	su	gyümölcslé	N;ACC;SG;3	N;NOM;SG
suyu	lé	su	lé	N;ACC;SG;3	N;NOM;SG
özellikle	különösen	özellikle	különös		ADJ;FRML;SG
özellikle	különösen	özellikle	különös		ADJ;FRML;SG
özellikle	kifejezetten	özellikle	kifejezett		ADJ;FRML;SG
özellikle	kimondottan	özellikle	kimond		ADJ;FRML;SG
özellikle	speciálisan	özellikle	speciális		ADJ;FRML;SG
birleşik	egységes	birleşik	egységes		ADJ;NOM;SG
birleşik	egyesített	birleşik	egyesített		V;INDF;IND;SG;3;PST;FIN;ACT
birleşik	egyesült	birleşik	egyesül		V;INDF;IND;SG;3;PST;FIN;ACT
ödülü	jutalom	ödül	jutalom	N;ACC;SG;3	N;NOM;SG
ödülü	díj	ödül	díj	N;ACC;SG;3	N;NOM;SG
ödülü	jutalom	ödül	jutalom	N;ACC;SG;3	N;NOM;SG
ödülü	nyeremény	ödül	nyeremény	N;ACC;SG;3	N;NOM;SG
ödülü	díj	ödül	díj	N;ACC;SG;3	N;NOM;SG
altyapı	infrastruktúra	altyap	infrastruktúra		N;NOM;SG
yerine	helyett	yer	helyett	N;DAT;SG;3	
yerine	ehelyett	yer	ehelyett	N;DAT;SG;3	
yerine	helyette	yer	helyett	N;DAT;SG;3	
yerine	helyettesíteni	yer	helyettesít	N;DAT;SG;3	V;NFIN;ACT
gün	napon	gün	nap	N;NOM;SG;3	N;ON+ESS;SG
gün	nappal	gün	nap	N;NOM;SG;3	N;INS;SG
gün	napot	gün	nap	N;NOM;SG;3	N;ACC;SG
geçen	tompított	geç	tompított		V;INDF;IND;SG;3;PST;FIN;ACT
doğu	keletre	doğu	keletr		N;ON+ALL;SG
sabit	állandósult	sabit	állandósul		V;INDF;IND;SG;3;PST;FIN;ACT
sabit	rögzített	sabit	rögzített		V;INDF;IND;SG;3;PST;FIN;ACT
sabit	rögzítve	sabit	rögzítve		N;NOM;SG
sabit	stabil	sabit	stabil		ADJ;NOM;SG
sabit	istálló	sabit	istálló		N;NOM;SG
eğitim	képzési	eğitim	képzési	N;NOM;SG;3	ADJ;NOM;SG
eğitim	oktatási	eğitim	oktatási	N;NOM;SG;3	ADJ;NOM;SG
eğitim	oktatási	eğitim	oktatási	N;NOM;SG;3	ADJ;NOM;SG
eğitim	bemutató	eğitim	bemutató	N;NOM;SG;3	
su	víz	su	víz		N;NOM;SG
su	vizet	su	víz		N;ACC;SG
sırasında	során	sıra	sor	N;ESS;SG;3	N;ON+ESS;SG
uluslararası	nemzetközi	uluslararası	nemzetközi		ADJ;NOM;SG
olur	előfordul	ol	előfordul	V;IPFV;IND;SG;3;POS	V;INDF;IND;SG;3;PRS;FIN;ACT
olur	megtörténik	ol	meg+történik	V;IPFV;IND;SG;3;POS	V;INDF;IND;SG;3;PRS;FIN;ACT
yaklaşık	kb	yaklaşık	kb		N;NOM;SG
yaklaşık	nagyjából	yaklaşık	nagy		N;IN+ABL;SG
yaklaşık	körülbelül	yaklaşık	körülbelül		ADV
yaklaşık	megközelítőleg	yaklaşık	megközelítőleg		ADJ;FRML;SG
yaklaşık	hozzávetőleges	yaklaşık	hozzávetőleges		N;NOM;SG
yaklaşık	hozzávetőlegesen	yaklaşık	hozzávetőleges		ADJ;FRML;SG
yaklaşık	megközelítőleg	yaklaşık	megközelítőleg		ADJ;FRML;SG
yaklaşık	hozzávetőleg	yaklaşık	hozzávetőleg		ADV
yaklaşık	körülbelül	yaklaşık	körülbelül		ADV
alman	német	al	német		ADJ;NOM;SG
alman	németek	al	német		N;NOM;PL
az	kis	az	kis	ADV	ADJ;NOM;SG
az	kicsi	az	kicsi	ADV	
az	kevés	az	kevés	ADV	
az	kevesebbet	az	kevesebb	ADV	
az	kevesebb	az	kevesebb	ADV	
millî	nemzeti	millî	nemzeti		ADJ;NOM;SG
millî	országos	millî	országos		ADJ;NOM;SG
kaynak	forrás	kaynak	forrás		N;NOM;SG
kaynak	forrás	kaynak	forrás		N;NOM;SG
kaynak	erőforrások	kaynak	erőforrás		N;NOM;PL
kaynak	források	kaynak	forrás		N;NOM;PL
kaynak	hegesztő	kaynak	hegesztő		N;NOM;SG
evi	evi	ev	evi	N;ACC;SG;3	N;NOM;SG
ali	ali	al	ali	PROPN;NOM;SG;3	
kullanılan	használt	kullan	használt	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
kullanılan	felhasznált	kullan	felhasznált	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
paşa	pasa	paşa	pasa		N;NOM;SG
ligi	liga	ligi	liga		N;NOM;SG
halk	népek	halk	nép		N;NOM;PL
halk	nyilvános	halk	nyilvános		ADJ;NOM;SG
halk	nyilvánosság	halk	nyilvánosság		N;NOM;SG
halk	nyilvánosan	halk	nyilvános		ADJ;FRML;SG
halk	emberek	halk	ember		N;NOM;PL
tv	tv	tv	tv		N;NOM;SG
tv	televízió	tv	televízió		N;NOM;SG
ekonomisi	gazdaság	ekonomi	gazdaság	N;NOM;SG;3	N;NOM;SG
ekonomisi	gazdaságos	ekonomi	gazdaságos	N;NOM;SG;3	ADJ;NOM;SG
yılı	évjárat	yıl	évjárat		N;NOM;SG
yılı	éve	yıl	év		N;NOM;SG
yılı	év	yıl	év		N;NOM;SG
telefon	telefonon	telefon	telefon	N;NOM;SG;3	
