pat	pat	pat	pat	PROPN;NOM;MASC;SG	PROPN;NOM;SG
načrti	suunnitelmien	načrt	suunnitelma	N;NOM;MASC;PL	N;GEN;PL
jeff	jeffin	jeff	jeffi	PROPN;NOM;MASC;SG	N;GEN;SG
jeff	jeff	jeff	jeff	PROPN;NOM;MASC;SG	PROPN;NOM;SG
baz	baz	baza	baz	N;GEN;FEM;PL	PROPN;NOM;SG
murphy	murphyn	murphy	murphy	N;NOM;MASC;SG	N;GEN;SG
vesel	glad	vesel	glad	ADJ;NOM;INDF;MASC;SG	INTJ
omembe	mainitsee	omemba	mainita	N;NOM;FEM;PL	V;IND;SG;3;PRS;FIN;ACT
omembe	mainitaan	omemba	mainita	N;NOM;FEM;PL	V;IND;PRS;FIN;PASS
suhi	kuivaa	suh	kuiva	ADJ;NOM;DEF;MASC;SG	ADJ;PRT;SG
suhi	kuivat	suh	kuiva	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;PL
odgovoril	vastasivat	odgovoriti	vastata	V;PFV;MASC;SG;V.PTCP	V;IND;PL;3;PST;FIN;ACT
spredaj	edessä	spredaj	edessä	N;NOM;MASC;SG	ADV
spredaj	edestä	spredaj	edestä	N;NOM;MASC;SG	ADV
sašo	grayson	sašo	grayso	PROPN;NOM;MASC;SG	N;NOM;SG
luca	luca	luca	luca	N;NOM;MASC;SG	PROPN;NOM;SG
pisem	kirjeet	pisem	kirje	N;GEN;FEM;PL	N;NOM;PL
pisem	kirjeitä	pisem	kirje	N;GEN;FEM;PL	N;PRT;PL
pisem	kirjain	pisem	kirjain	N;GEN;FEM;PL	N;NOM;SG
pisem	kirjaimia	pisem	kirjain	N;GEN;FEM;PL	N;PRT;PL
pisem	kirjaimet	pisem	kirjain	N;GEN;FEM;PL	N;NOM;PL
lepe	kaunista	lep	kaunis	ADJ;NOM;FEM;PL	ADJ;PRT;SG
lepe	kaunotar	lep	kaunotar	ADJ;NOM;FEM;PL	N;NOM;SG
lepe	kaunis	lep	kaunis	ADJ;NOM;FEM;PL	ADJ;NOM;SG
uspehov	onnistumisia	uspeh	onnistuminen	N;GEN;MASC;PL	N;PRT;PL
uspehov	menestys	uspeh	menestys	N;GEN;MASC;PL	N;NOM;SG
uspehov	menestystä	uspeh	menestys	N;GEN;MASC;PL	N;PRT;SG
uspehov	onnistuminen	uspeh	onnistuminen	N;GEN;MASC;PL	N;NOM;SG
smiles	hymyä	smiles	hymy	N;NOM;MASC;SG	N;PRT;SG
smiles	hymyilee	smiles	hymyillä	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
razdeli	jako	razdeti	jako	V;PFV;IND;SG;3;PRS;FIN	N;NOM;SG
pozdrav	terveisiä	pozdrav	terveinen	N;NOM;MASC;SG	ADJ;PRT;PL
pozdrav	terv	pozdrav	terv	N;NOM;MASC;SG	INTJ
dem	dem	dem	dem		N;NOM;SG
siva	gray	siv	gray	ADJ;NOM;FEM;SG	PROPN;NOM;SG
siva	harmaata	siv	harmaa	ADJ;NOM;FEM;SG	ADJ;PRT;SG
siva	harmaita	siv	harmaa	ADJ;NOM;FEM;SG	ADJ;PRT;PL
siva	harmaata	siv	harmaa	ADJ;NOM;FEM;SG	ADJ;PRT;SG
siva	grey	siv	grey	ADJ;NOM;FEM;SG	
gaj	gaius	gaj	gaius	N;NOM;MASC;SG	PROPN;NOM;SG
bank	pankkiin	banka	pankki	N;GEN;FEM;PL	N;IN+ALL;SG
bank	pankki	banka	pankki	N;GEN;FEM;PL	N;NOM;SG
bank	pankin	banka	pankki	N;GEN;FEM;PL	N;GEN;SG
sinonim	synonyymi	sinoni	synonyymi	V;PFV;IND;SG;1;PRS;FIN	N;NOM;SG
sestri	sisarukset	sestra	sisarus	N;NOM;FEM;DU	N;NOM;PL
sestri	siskot	sestra	sisko	N;NOM;FEM;DU	N;NOM;PL
sestri	sisaret	sestra	sisar	N;NOM;FEM;DU	N;NOM;PL
prid	palvelusta	prid	palvelu	N;INAN;ACC;MASC;SG	N;IN+ABL;SG
prid	palvelus	prid	palvelus	N;INAN;ACC;MASC;SG	N;NOM;SG
prid	palveluksen	prid	palvelus	N;INAN;ACC;MASC;SG	N;GEN;SG
delce	hiukkaset	delce	hiukkanen	N;ACC;MASC;PL	N;NOM;PL
delce	hiukkasia	delce	hiukkanen	N;ACC;MASC;PL	N;PRT;PL
kupola	dome	kupola	dome	N;NOM;FEM;SG	PROPN;NOM;SG
sekunde	sekuntia	sekunda	sekunti	N;NOM;FEM;PL	N;PRT;SG
sekunde	sekunnin	sekunda	sekunti	N;NOM;FEM;PL	N;GEN;SG
rona	ronin	rona	roni	N;NOM;FEM;SG	N;GEN;SG
rona	ron	rona	ron	N;NOM;FEM;SG	PROPN;NOM;SG
psihologijo	psykologian	psihologija	psykologia	N;ACC;FEM;SG	N;GEN;SG
psihologijo	psykologiaa	psihologija	psykologia	N;ACC;FEM;SG	N;PRT;SG
charlie	charlie	charlet	charlie		N;NOM;SG
obsežne	laaja	obsežen	laaja	ADJ;NOM;FEM;PL	ADJ;NOM;SG
bron	pronssia	bron	pronssi	N;NOM;MASC;SG	N;PRT;SG
državljani	kansalaisten	državljan	kansalainen	N;NOM;MASC;PL	N;GEN;PL
državljani	kansalaisia	državljan	kansa#lainen	N;NOM;MASC;PL	N;PRT;PL
walther	walther	walther	walther	PROPN;NOM;MASC;SG	N;NOM;SG
weber	weber	weber	weber	N;NOM;MASC;SG	PROPN;NOM;SG
prepovedano	kiellettyä	prepovedan	kieltää	ADJ;NOM;NEUT;SG;V.PTCP	V;PRT;SG;V.PTCP;PASS
prepovedano	kielletty	prepovedan	kieltää	ADJ;NOM;NEUT;SG;V.PTCP	V;NOM;SG;V.PTCP;PASS
prepovedano	kiellettyä	prepovedan	kieltää	ADJ;NOM;NEUT;SG;V.PTCP	V;PRT;SG;V.PTCP;PASS
prepovedano	kielletty	prepovedan	kieltää	ADJ;NOM;NEUT;SG;V.PTCP	V;NOM;SG;V.PTCP;PASS
kritiko	kritiikki	kritika	kritiikki	N;ACC;FEM;SG	N;NOM;SG
kritiko	arvostelua	kritika	arvostelu	N;ACC;FEM;SG	N;PRT;SG
kritiko	arvostelu	kritika	arvostelu	N;ACC;FEM;SG	N;NOM;SG
kritiko	arvostelun	kritika	arvostelu	N;ACC;FEM;SG	N;GEN;SG
kritiko	kritiikkiä	kritika	kritiikki	N;ACC;FEM;SG	N;PRT;SG
razlogi	syitä	razlog	syy	N;NOM;MASC;PL	N;PRT;PL
razlogi	järki	razlog	järki	N;NOM;MASC;PL	N;NOM;SG
razlogi	syy	razlog	syy	N;NOM;MASC;PL	N;NOM;SG
razlogi	syyn	razlog	syy	N;NOM;MASC;PL	N;GEN;SG
moderno	moderni	moderno	moderni	ADV	ADJ;NOM;SG
moderno	modernia	moderno	moderni	ADV	ADJ;PRT;SG
moderno	modernit	moderno	moderni	ADV	ADJ;NOM;PL
moderno	nykyaikainen	moderno	nykyaikainen	ADV	ADJ;NOM;SG
bolečino	kipu	bolečina	kipu	N;ACC;FEM;SG	N;NOM;SG
bolečino	kipua	bolečina	kipu	N;ACC;FEM;SG	N;PRT;SG
bolečino	tuska	bolečina	tuska	N;ACC;FEM;SG	N;NOM;SG
bolečino	tuskaa	bolečina	tuska	N;ACC;FEM;SG	N;PRT;SG
voditelji	johtajia	voditelj	johtaja	N;NOM;MASC;PL	N;PRT;PL
jedrski	ydinvoima	jedrski	ydin#voima	ADJ;NOM;MASC;SG	N;NOM;SG
hamburg	hampurin	hamburg	hampuri	PROPN;NOM;MASC;SG	N;GEN;SG
cruz	cruz	cruz	cruz	PROPN;NOM;MASC;SG	PROPN;NOM;SG
vožnjo	kyyti	vožnja	kyyti	N;ACC;FEM;SG	N;NOM;SG
vožnjo	kyytiä	vožnja	kyyti	N;ACC;FEM;SG	N;PRT;SG
vožnjo	ratsastaa	vožnja	ratsastaa	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
vožnjo	ajettu	vožnja	ajaa	N;ACC;FEM;SG	V;NOM;SG;V.PTCP;PASS
vožnjo	ajaminen	vožnja	ajaminen	N;ACC;FEM;SG	N;NOM;SG
vožnjo	ajaa	vožnja	ajaa	N;ACC;FEM;SG	V;SG;NFIN;ACT
vožnjo	ajo	vožnja	ajo	N;ACC;FEM;SG	N;NOM;SG
poln	täyden	poln	täysi	ADJ;NOM;INDF;MASC;SG	ADJ;GEN;SG
poln	täys	poln	täys	ADJ;NOM;INDF;MASC;SG	INTJ
poln	täydet	poln	täysi	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;PL
poln	täynnä	poln	täynnä	ADJ;NOM;INDF;MASC;SG	ADV
div	div	div	div	N;NOM;MASC;SG	
iranu	iranin	iran	iran	N;DAT;MASC;SG	N;GEN;SG
iranu	iran	iran	ira	N;DAT;MASC;SG	PROPN;NOM;SG
drugačna	erilaiset	drugačen	erilainen	ADJ;NOM;FEM;SG	ADJ;NOM;PL
drugačna	erilaista	drugačen	erilainen	ADJ;NOM;FEM;SG	ADJ;PRT;SG
oddaj	osoittaa	oddaj	osoittaa	N;GEN;FEM;PL	V;IND;SG;3;PRS;FIN;ACT
oddaj	näkyy	oddaj	näkyä	N;GEN;FEM;PL	V;IND;SG;3;PRS;FIN;ACT
oddaj	näyttää	oddaj	näyttää	N;GEN;FEM;PL	V;IND;SG;3;PRS;FIN;ACT
teologijo	teologiaa	teologija	teologia	N;ACC;FEM;SG	N;PRT;SG
alma	alma	alma	alma	N;NOM;FEM;SG	PROPN;NOM;SG
verjeli	uskoi	verjeti	uskoa	V;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN;ACT
odhod	lähdön	odhod	lähtö	N;NOM;MASC;SG	N;GEN;SG
odhod	poistuu	odhod	poistua	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
odhod	lähdössä	odhod	lähtö	N;NOM;MASC;SG	N;IN+ESS;SG
odhod	lähtevät	odhod	lähteä	N;NOM;MASC;SG	V;IND;PL;3;PRS;FIN;ACT
koža	ihon	koža	iho	N;NOM;FEM;SG	N;GEN;SG
koža	ihoa	koža	iho	N;NOM;FEM;SG	N;PRT;SG
proizvajalci	tuottajia	proizvajalec	tuottaja	N;NOM;MASC;PL	N;PRT;PL
proizvajalci	valmistajien	proizvajalec	valmistaja	N;NOM;MASC;PL	N;GEN;PL
najmanjši	pienimmän	majhen	pieni	ADJ;NOM;DEF;RL;MASC;SG	ADJ;GEN;RL;SG
najmanjši	pienimmät	majhen	pieni	ADJ;NOM;DEF;RL;MASC;SG	ADJ;NOM;RL;PL
odvisnost	riippuvuutta	odvisnost	riippuvuus	N;NOM;FEM;SG	N;PRT;SG
odvisnost	riippuvuuden	odvisnost	riippuvuus	N;NOM;FEM;SG	N;GEN;SG
odvisnost	riippuvuutta	odvisnost	riippuvuus	N;NOM;FEM;SG	N;PRT;SG
odvisnost	riippuvuutta	odvisnost	riippuvuus	N;NOM;FEM;SG	N;PRT;SG
odvisnost	riippuvuuden	odvisnost	riippuvuus	N;NOM;FEM;SG	N;GEN;SG
dick	dick	dick	dick	N;NOM;MASC;SG	PROPN;NOM;SG
royce	royce	royec	royce	N;NOM;MASC;SG	PROPN;NOM;SG
jupiter	jupiterin	jupiter	jupiteri	N;NOM;MASC;SG	N;GEN;SG
wade	wade	wada	wade	N;NOM;MASC;SG	PROPN;NOM;SG
krogla	luodin	krogel	luoda	N;NOM;FEM;SG	N;GEN;SG
klopi	punkkeja	klop	punkki	N;NOM;FEM;SG	N;PRT;PL
klopi	penkit	klop	penkki	N;NOM;FEM;SG	N;NOM;PL
klopi	penkin	klop	penkki	N;NOM;FEM;SG	N;GEN;SG
klopi	penkillä	klop	penkki	N;NOM;FEM;SG	N;AT+ESS
;SG
vredno	kannattaa	vreden	kannattaa	ADJ;NOM;NEUT;SG	V;IND;SG;0;PRS;FIN;ACT
konvencija	yleissopimuksen	konvencija	yleis#sopimus	N;NOM;FEM;SG	N;GEN;SG
mad	vihainen	mada	vihainen		ADJ;NOM;SG
mad	mad	mada	mad		PROPN;NOM;SG
mad	hullu	mada	hullu		ADJ;NOM;SG
delitve	divisioonaa	delitev	divi#sio#ona	N;NOM;FEM;PL	N;PRT;SG
absolutno	absoluuttinen	absolutno	absoluuttinen	ADV	ADJ;NOM;SG
absolutno	ehdoton	absolutno	ehdoton	ADV	ADJ;NOM;SG
poraba	menoja	poraba	meno	N;NOM;FEM;SG	N;PRT;PL
poraba	viettää	poraba	viettää	N;NOM;FEM;SG	V;IND;SG;FIN;ACT
žleze	rauhanen	žleza	rauhanen	N;NOM;FEM;PL	N;NOM;SG
zadetkov	iskee	zadetek	iskeä	N;GEN;MASC;PL	V;IND;SG;3;PRS;FIN;ACT
zadetkov	osumia	zadetek	osumi	N;GEN;MASC;PL	N;PRT;PL
zadetkov	osuu	zadetek	osua	N;GEN;MASC;PL	V;IND;SG;3;PRS;FIN;ACT
desetletju	vuosikymmenen	desetletje	vuosi#kymmen	N;DAT;NEUT;SG	N;GEN;SG
desetletju	vuosikymmen	desetletje	vuosi#kymmen	N;DAT;NEUT;SG	N;NOM;SG
desetletju	vuosikymmenellä	desetletje	vuosi#kymmenen	N;DAT;NEUT;SG	N;AT+ESS
;SG
jajca	munien	jajce	muna	N;NOM;NEUT;PL	N;GEN;PL
jajca	kananmunia	jajce	kanan#muna	N;NOM;NEUT;PL	N;PRT;PL
jajca	munia	jajce	muna	N;NOM;NEUT;PL	N;PRT;PL
jajca	palloja	jajce	pallo	N;NOM;NEUT;PL	N;PRT;PL
jajca	munaa	jajce	muna	N;NOM;NEUT;PL	N;PRT;SG
pretirano	liioiteltua	pretirano	liioitella	ADJ;NOM;NEUT;SG;V.PTCP	V;PRT;SG;V.PTCP;PASS
pretirano	liioiteltuja	pretirano	liioitella	ADJ;NOM;NEUT;SG;V.PTCP	V;PRT;PL;V.PTCP;PASS
nord	nord	nord	nord	PROPN;NOM;MASC;SG	PROPN;NOM;SG
zemljišča	maa	zemljišče	maa	N;NOM;NEUT;PL	N;NOM;SG
zemljišča	maata	zemljišče	maa	N;NOM;NEUT;PL	N;PRT;SG
zemeljskega	maanläheinen	zemeljski	maanläheinen	ADJ;GEN;NEUT;SG	ADJ;NOM;SG
povezovanje	verkostot	povezovanje	verkosto	N;NOM;NEUT;SG	N;NOM;PL
povezovanje	yhdentymistä	povezovanje	yhdentyminen	N;NOM;NEUT;SG	N;PRT;SG
povezovanje	yhdistetään	povezovanje	yhdistää	N;NOM;NEUT;SG	V;IND;PRS;FIN;PASS
povezovanje	yhdistää	povezovanje	yhdistää	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN;ACT
prizori	kulissien	prizor	kulissi	N;NOM;MASC;PL	N;GEN;PL
prizori	kohtauksia	prizor	kohtaus	N;NOM;MASC;PL	N;PRT;PL
izvajati	täytäntöön	izvajati	täytäntöön	V;IPFV;NFIN	ADV
odkrit	löydetty	odkrit	löytää	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;NOM;SG;V.PTCP;PASS
odkrit	löydettiin	odkrit	löytää	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;IND;PST;FIN;PASS
koles	polkupyörien	kolo	polku#pyörä	N;GEN;NEUT;SG	N;GEN;PL
flote	laivaston	flot	laivasto	N;NOM;FEM;PL	N;GEN;SG
flote	laivue	flot	laivue	N;NOM;FEM;PL	N;NOM;SG
flote	kalusto	flot	kalusto	N;NOM;FEM;PL	N;NOM;SG
flote	laivasto	flot	laivasto	N;NOM;FEM;PL	N;NOM;SG
flote	laivastojen	flot	laivasto	N;NOM;FEM;PL	N;GEN;PL
kandidata	hakijat	kandidat	hakija	N;NOM;MASC;SG	N;NOM;PL
kandidata	ehdokkaat	kandidat	ehdokas	N;NOM;MASC;SG	N;NOM;PL
kandidata	ehdokkaiden	kandidat	ehdokas	N;NOM;MASC;SG	N;GEN;PL
kandidata	ehdokkaita	kandidat	ehdokas	N;NOM;MASC;SG	N;PRT;PL
kandidata	ehdokkaana	kandidat	ehdokas	N;NOM;MASC;SG	N;FRML;SG
kandidata	ehdokkaan	kandidat	ehdokas	N;NOM;MASC;SG	N;GEN;SG
dvojna	kaksinkertainen	dvojen	kaksinkertainen	NUM;NOM;FEM;SG	ADJ;NOM;SG
dvojna	tupla	dvojen	tupla	NUM;NOM;FEM;SG	N;NOM;SG
frankov	frangia	frankov	frang	N;GEN;MASC;PL	N;PRT;SG
križišče	risteyksessä	križišče	risteys	N;NOM;NEUT;SG	N;IN+ESS;SG
križišče	risteykseen	križišče	risteys	N;NOM;NEUT;SG	N;IN+ALL;SG
križišče	risteyksessä	križišče	risteys	N;NOM;NEUT;SG	N;IN+ESS;SG
igralce	toimijoiden	igralec	toimija	N;ACC;MASC;PL	N;GEN;PL
igralce	pelaajien	igralec	pelaaja	N;ACC;MASC;PL	N;GEN;PL
igralce	pelaajia	igralec	pelaaja	N;ACC;MASC;PL	N;PRT;PL
igralce	pelaajat	igralec	pelaaja	N;ACC;MASC;PL	N;NOM;PL
england	englanti	england	englanti	PROPN;NOM;MASC;SG	N;NOM;SG
england	englannin	england	englanti	PROPN;NOM;MASC;SG	N;GEN;SG
england	englannista	england	englanti	PROPN;NOM;MASC;SG	N;IN+ABL;SG
england	englannissa	england	englanti	PROPN;NOM;MASC;SG	N;IN+ESS;SG
palice	baareissa	palica	baari	N;NOM;FEM;PL	N;IN+ESS;PL
palice	baareja	palica	baari	N;NOM;FEM;PL	N;PRT;PL
palice	tikkuja	palica	tikku	N;NOM;FEM;PL	N;PRT;PL
ločila	välimerkkejä	ločiti	väli#merkki	V;FEM;SG;V.PTCP	N;PRT;PL
moška	miehiä	moški	mies	ADJ;NOM;FEM;SG	N;PRT;PL
moška	miesten	moški	mies	ADJ;NOM;FEM;SG	N;GEN;PL
moška	miehet	moški	mies	ADJ;NOM;FEM;SG	N;NOM;PL
moška	mies	moški	mies	ADJ;NOM;FEM;SG	N;NOM;SG
moška	uros	moški	uros	ADJ;NOM;FEM;SG	N;NOM;SG
puščava	aavikkoa	puščava	aavikko	N;NOM;FEM;SG	N;PRT;SG
puščava	aavikon	puščava	aavikko	N;NOM;FEM;SG	N;GEN;SG
puščava	desert	puščava	desert	N;NOM;FEM;SG	
