से	din	से	din		ADP;ACC
अन्य	altele	अन्य	altul	N;NOM;MASC;SG;3	PRO;FEM;PL;3
अन्य	alte	अन्य	alt	N;NOM;MASC;SG;3	DET;FEM;PL;3
अन्य	alti	अन्य	alti	N;NOM;MASC;SG;3	
अन्य	altele	अन्य	altul	N;NOM;MASC;SG;3	PRO;FEM;PL;3
अन्य	altii	अन्य	altul	N;NOM;MASC;SG;3	
अन्य	altii	अन्य	altul	N;NOM;MASC;SG;3	
वर्ष	ani	वर्ष	an	N;NOM;MASC;SG;3	N;INDF;MASC;PL
वर्ष	anii	वर्ष	an	N;NOM;MASC;SG;3	N;DEF;MASC;PL
वर्ष	anul	वर्ष	an	N;NOM;MASC;SG;3	N;DEF;MASC;SG
समय	sincronizarea	समय	sincronizare	N;NOM;MASC;SG;3	N;DEF;FEM;SG
समय	sincronizare	समय	sincronizare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
समय	ora	समय	oră	N;NOM;MASC;SG;3	N;DEF;FEM;SG
समय	timpul	समय	timp	N;NOM;MASC;SG;3	N;DEF;MASC;SG
नाम	numele	नाम	nume	N;NOM;MASC;SG;3	N;DEF;MASC;SG
नाम	denumire	नाम	denumire	N;NOM;MASC;SG;3	N;INDF;FEM;SG
नाम	name	नाम	name	N;NOM;MASC;SG;3	
वे	au	वह	avea	PRO;NOM;SG;3	V;PL;3
वे	ei	वह	el	PRO;NOM;SG;3	PRO;MASC;PL;3
वे	ele	वह	el	PRO;NOM;SG;3	PRO;FEM;PL;3
प्रकार	tipul	प्रकार	tip	N;NOM;MASC;SG;3	N;DEF;MASC;SG
प्रकार	tasteaza	प्रकार	tastează	N;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
प्रकार	tipuri	प्रकार	tip	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रकार	tipurile	प्रकार	tip	N;NOM;MASC;SG;3	N;DEF;FEM;PL
भारतीय	indiana	भारतीय	indiană	PROPN;NOM;SG;3	N;DEF;FEM;SG
भारतीय	indian	भारतीय	indian	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
भारतीय	indianul	भारतीय	indian	PROPN;NOM;SG;3	N;DEF;MASC;SG
किसी	cineva	कोई	cineva	PRO;ACC;SG;3	PRO;SG;3
क्षेत्र	zona	क्षेत्र	zonă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
क्षेत्र	zona	क्षेत्र	zonă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
क्षेत्र	suprafata	क्षेत्र	suprafată	N;NOM;MASC;SG;3	N;DEF;FEM;SG
क्षेत्र	regiunea	क्षेत्र	regiune	N;NOM;MASC;SG;3	N;DEF;FEM;SG
क्षेत्र	regiune	क्षेत्र	regiune	N;NOM;MASC;SG;3	N;INDF;FEM;SG
क्षेत्र	arii	क्षेत्र	arie	N;NOM;MASC;SG;3	N;INDF;FEM;PL
क्षेत्र	domenii	क्षेत्र	domeniu	N;NOM;MASC;SG;3	N;INDF;FEM;PL
क्षेत्र	zonele	क्षेत्र	zonă	N;NOM;MASC;SG;3	N;DEF;FEM;PL
क्षेत्र	zone	क्षेत्र	zonă	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अधिक	mai	अधिक	mai	DET	ADV
कई	multi	कई	mult	DET	
कई	multi	कई	mult	DET	
कई	multe	कई	mult	DET	PRO;FEM;PL;3
मण्डल	zona	मण्डल	zonă	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
मण्डल	zona	मण्डल	zonă	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
कारण	motive	कारण	motiv	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कारण	motivele	कारण	motiv	N;NOM;MASC;SG;3	N;DEF;FEM;PL
कारण	motivul	कारण	motiv	N;NOM;MASC;SG;3	N;DEF;MASC;SG
कारण	cauza	कारण	cauză	N;NOM;MASC;SG;3	N;DEF;FEM;SG
कारण	cauza	कारण	cauză	N;NOM;MASC;SG;3	N;DEF;FEM;SG
कारण	cauzele	कारण	cauză	N;NOM;MASC;SG;3	N;DEF;FEM;PL
कारण	cauze	कारण	cauză	N;NOM;MASC;SG;3	N;INDF;FEM;PL
होने	fiind	हो	fi	V;MASC;NFIN;ACT	V;V.MSDR
जैसे	ca	जैसे	ca	CONJ	ADV
जैसे	like	जैसे	like	CONJ	
करता	agresori	कर	agreso	V;IPFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;PL
उनके	lor	वह	lui	PRO;MASC;SG;3;FORM	DET;3
उनके	ei	वह	el	PRO;MASC;SG;3;FORM	PRO;MASC;PL;3
सबसे	majoritatea	सबसे	majoritate	ADJ;NOM	N;DEF;FEM;SG
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
बहुत	foarte	बहुत	foarte	DET	ADV
पहले	inainte	पहले	inainte	ADV;NOM;MASC;SG;3	
पहले	inainte	पहले	inainte	ADV;NOM;MASC;SG;3	
पहले	primii	पहले	prim	ADV;NOM;MASC;SG;3	NUM;DEF;MASC;PL
पहले	prima	पहले	prim	ADV;NOM;MASC;SG;3	NUM;DEF;FEM;SG
पहले	primul	पहले	prim	ADV;NOM;MASC;SG;3	NUM;DEF;MASC;SG
अपनी	proprie	अपना	propriu	PRO;NOM;FEM	ADJ;INDF;FEM;SG
अपनी	proprii	अपना	propriu	PRO;NOM;FEM	ADJ;INDF;PL
अपनी	carnal	अपना	carnal	PRO;NOM;FEM	ADJ;INDF;MASC;SG
दो	doua	दो	doi	NUM	NUM;FEM;SG
दो	doua	दो	doi	NUM	NUM;FEM;SG
जिला	districtul	जिला	district	N;NOM;MASC;SG;3	N;DEF;MASC;SG
जब	cand	जब	cand	PRO;NOM	
जब	cand	जब	cand	PRO;NOM	
उन्होंने	au	वह	avea	PRO;SG;3;FORM	V;PL;3
उन्होंने	ei	वह	el	PRO;SG;3;FORM	PRO;MASC;PL;3
उन्होंने	ele	वह	el	PRO;SG;3;FORM	PRO;FEM;PL;3
उन्होंने	egipteni	वह	egipten	PRO;SG;3;FORM	ADJ;INDF;MASC;PL
उन्होंने	egiptenii	वह	egipten	PRO;SG;3;FORM	N;DEF;MASC;PL
जन्म	nascut	जन्म	naște	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
जन्म	nascuta	जन्म	nascuta	N;NOM;MASC;SG;3	N;DEF;FEM;SG
जन्म	nascut	जन्म	naște	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
जन्म	nastere	जन्म	nastere	N;NOM;MASC;SG;3	
जन्म	nastere	जन्म	nastere	N;NOM;MASC;SG;3	
जन्म	nasterea	जन्म	nastere	N;NOM;MASC;SG;3	N;DEF;FEM;SG
कोई	koi	कोई	koi	PRO;NOM;SG;3	N;INDF;MASC;SG
कोई	oricare	कोई	oricare	PRO;NOM;SG;3	PRO;3
कोई	orice	कोई	orice	PRO;NOM;SG;3	PRO;SG;3
इन	inn	यह	inn	DET;ACC;PL;3	N;INDF;MASC;SG
इन	hanul	यह	han	DET;ACC;PL;3	N;DEF;MASC;SG
ये	asta	यह	acesta	PRO;NOM;PL;3	PRO;FEM;SG;3
ये	aceasta	यह	acesta	PRO;NOM;PL;3	PRO;FEM;SG;3
ये	acestea	यह	acesta	PRO;NOM;PL;3	PRO;FEM;PL;3
ये	aceste	यह	acest	PRO;NOM;PL;3	DET;FEM;PL;3
ये	astea	यह	acesta	PRO;NOM;PL;3	PRO;FEM;PL;3
कम	scazuta	कम	scazuta	DET	ADJ;DEF;FEM;SG
कम	scazut	कम	scazut	DET	ADJ;INDF;MASC;SG
कम	low	कम	low	DET	
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	
लोग	oamenii	लोग	om	N;NOM;MASC;PL;3	N;DEF;MASC;PL
आदि	etc	आदि	etc	PART	
आदि	mai	आदि	mai	PART	ADV
आदि	adi	आदि	adi	PART	PROPN
उसके	lui	वह	el	PRO;MASC;SG;3	PRO;3
उसके	ea	वह	el	PRO;MASC;SG;3	PRO;FEM;SG;3
प्राचीन	primitiva	प्राचीन	primitiv	ADJ;NOM	ADJ;DEF;FEM;SG
प्राचीन	stravechi	प्राचीन	stravechi	ADJ;NOM	
प्राचीन	antica	प्राचीन	antic	ADJ;NOM	N;DEF;FEM;SG
प्राचीन	pretor	प्राचीन	pretor	ADJ;NOM	N;INDF;MASC;SG
देखें	ceas	देख	ceas	V;SBJV;PL;FIN;ACT	N;INDF;MASC;SG
देखें	vezi	देख	vedea	V;SBJV;PL;FIN;ACT	V;IND;SG;2;PRS;FIN
देखें	vizualizeaza	देख	vizualizează	V;SBJV;PL;FIN;ACT	V;IND;SG;3;IPFV;FIN
देखें	vizualizare	देख	vizualizare	V;SBJV;PL;FIN;ACT	N;INDF;FEM;SG
देखें	vedere	देख	vedere	V;SBJV;PL;FIN;ACT	N;INDF;FEM;SG
उत्तर	raspuns	उत्तर	raspuns	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
उत्तर	raspunde	उत्तर	raspunde	PROPN;NOM;MASC;SG;3	
उत्तर	raspunde	उत्तर	raspunde	PROPN;NOM;MASC;SG;3	
उत्तर	north	उत्तर	north	PROPN;NOM;MASC;SG;3	PROPN
उत्तर	nordul	उत्तर	nord	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
उत्तर	nord	उत्तर	nord	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
उत्तर	raspunsuri	उत्तर	raspuns	PROPN;NOM;MASC;SG;3	N;INDF;FEM;PL
उत्तर	raspunsuri	उत्तर	raspuns	PROPN;NOM;MASC;SG;3	N;INDF;FEM;PL
उत्तर	raspunsurile	उत्तर	raspuns	PROPN;NOM;MASC;SG;3	N;DEF;FEM;PL
भाषा	limbi	भाषा	limbă	N;NOM;FEM;SG;3	N;INDF;FEM;PL
भाषा	limbile	भाषा	limbă	N;NOM;FEM;SG;3	N;DEF;FEM;PL
भाषा	limba	भाषा	limbă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
भाषा	limba	भाषा	limbă	N;NOM;FEM;SG;3	N;DEF;FEM;SG
भाषा	limbajul	भाषा	limbaj	N;NOM;FEM;SG;3	N;DEF;MASC;SG
लिये	pentru	ले	pentru	V;PFV;MASC;SG;V.PTCP;ACT	ADP;ACC
सभी	toti	सब	toti	PRO;NOM;3	
सभी	toti	सब	toti	PRO;NOM;3	
सभी	toate	सब	tot	PRO;NOM;3	PRO;FEM;PL;3
सभी	tot	सब	tot	PRO;NOM;3	PRO;MASC;SG;3
प्राप्त	primit	प्राप्त	primi	ADJ	V;MASC;SG;V.PTCP
प्राप्त	primi	प्राप्त	primi	ADJ	V;IND;SG;3;PRS;FIN
प्राप्त	primeste	प्राप्त	primi	ADJ	V;IND;SG;3;PRS;FIN
प्रयोग	experimentele	प्रयोग	experiment	N;NOM;MASC;SG;3	N;DEF;FEM;PL
प्रयोग	experimente	प्रयोग	experiment	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रयोग	utilizare	प्रयोग	utilizare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रयोग	folosire	प्रयोग	folosire	N;NOM;MASC;SG;3	N;INDF;FEM;SG
प्रयोग	experimentul	प्रयोग	experiment	N;NOM;MASC;SG;3	N;DEF;MASC;SG
प्रयोग	experimenteaza	प्रयोग	experimentează	N;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
शामिल	implicata	शामिल	implica	ADJ	N;DEF;FEM;SG
शामिल	include	शामिल	include	ADJ	V;IND;SG;3;PRS;FIN
शामिल	include	शामिल	include	ADJ	V;IND;SG;3;PRS;FIN
शामिल	includ	शामिल	include	ADJ	V;IND;PL;3;PRS;FIN
उन्हें	ei	वह	el	PRO;SG;3;FORM	PRO;MASC;PL;3
उस	ca	वह	ca	DET;ACC;SG;3	ADV
उस	asta	वह	acesta	DET;ACC;SG;3	PRO;FEM;SG;3
उस	aia	वह	acela	DET;ACC;SG;3	PRO;FEM;SG;3
स्थान	localuri	स्थान	local	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्थान	locuri	स्थान	loc	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्थान	locatii	स्थान	locat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्थान	locatii	स्थान	locat	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्थान	locul	स्थान	loc	N;NOM;MASC;SG;3	N;DEF;MASC;SG
स्थान	localizare	स्थान	localizare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
स्थान	locatie	स्थान	locatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
स्थान	locatia	स्थान	locatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
स्थान	locatia	स्थान	locatie	N;NOM;MASC;SG;3	N;DEF;FEM;SG
प्रमुख	major	प्रमुख	major	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
प्रमुख	maiorul	प्रमुख	maior	N;NOM;MASC;SG;3	N;DEF;MASC;SG
प्रमुख	maior	प्रमुख	maior	N;NOM;MASC;SG;3	PROPN
प्रमुख	majore	प्रमुख	major	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
प्रमुख	principala	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
प्रमुख	principale	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
प्रमुख	principala	प्रमुख	principal	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	PROPN
बीच	plaja	बीच	plajă	ADV;NOM;MASC;SG;3	N;DEF;FEM;SG
बीच	plaja	बीच	plajă	ADV;NOM;MASC;SG;3	N;DEF;FEM;SG
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
बीच	centrul	बीच	centru	ADV;NOM;MASC;SG;3	N;DEF;MASC;SG
बीच	centru	बीच	centru	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
गए	plecat	जा	pleca	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;V.PTCP
मुख्य	sef	मुख्य	sef	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मुख्य	sef	मुख्य	sef	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मुख्य	principala	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	N
मुख्य	principale	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;PL
मुख्य	principala	मुख्य	principal	PROPN;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
मुख्य	principal	मुख्य	principal	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
उसे	el	वह	el	PRO;SG;3	PRO;MASC;SG;3
उसे	ea	वह	el	PRO;SG;3	PRO;FEM;SG;3
कार्य	atributii	कार्य	atribut	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्य	sarcini	कार्य	sarcină	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्य	sarcinile	कार्य	sarcină	N;NOM;MASC;SG;3	N;DEF;FEM;PL
कार्य	iov	कार्य	iov	N;NOM;MASC;SG;3	
कार्य	munca	कार्य	muncă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
कार्य	munca	कार्य	muncă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
कार्य	joburi	कार्य	job	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कार्य	sarcina	कार्य	sarcină	N;NOM;MASC;SG;3	N;DEF;FEM;SG
उनकी	lor	वह	lui	PRO;FEM;SG;3;FORM	DET;3
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	PROPN
नगर	orasul	नगर	oras	N;NOM;MASC;SG;3	N;DEF;MASC;SG
नगर	orasul	नगर	oras	N;NOM;MASC;SG;3	N;DEF;MASC;SG
नगर	orasul	नगर	oras	N;NOM;MASC;SG;3	N;DEF;MASC;SG
उपयोग	utilizare	उपयोग	utilizare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
उपयोग	folosire	उपयोग	folosire	N;NOM;MASC;SG;3	N;INDF;FEM;SG
उपयोग	utilizeaza	उपयोग	utilizează	N;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
उपयोग	utilizarea	उपयोग	utilizare	N;NOM;MASC;SG;3	N;DEF;FEM;SG
उपयोग	foloseste	उपयोग	folosest	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
उपयोग	utilizare	उपयोग	utilizare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
उपयोग	utilizarile	उपयोग	utilizare	N;NOM;MASC;SG;3	N;DEF;FEM;PL
उपयोग	utilizari	उपयोग	utilizare	N;NOM;MASC;SG;3	N;INDF;FEM;PL
लोगों	oamenii	लोग	om	N;ACC;MASC;PL;3	N;DEF;MASC;PL
आधार	baza	आधार	bază	N;NOM;MASC;SG;3	N;DEF;FEM;SG
आधार	baza	आधार	bază	N;NOM;MASC;SG;3	N;DEF;FEM;SG
आधार	premisa	आधार	premisă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
काम	munca	काम	muncă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
काम	munca	काम	muncă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
जीवन	viata	जीवन	viată	N;NOM;MASC;SG;3	N;DEF;FEM;SG
जीवन	viata	जीवन	viată	N;NOM;MASC;SG;3	N;DEF;FEM;SG
जीवन	viata	जीवन	viată	N;NOM;MASC;SG;3	N;DEF;FEM;SG
जीवन	viata	जीवन	viată	N;NOM;MASC;SG;3	N;DEF;FEM;SG
जीवन	viata	जीवन	viată	N;NOM;MASC;SG;3	N;DEF;FEM;SG
विश्व	lumea	विश्व	lume	N;NOM;MASC;SG;3	N;DEF;FEM;SG
विश्व	lume	विश्व	lume	N;NOM;MASC;SG;3	N;INDF;FEM;SG
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	PROPN
भाग	sectiunile	भाग	sectiune		N;DEF;FEM;PL
भाग	sectiuni	भाग	sectiune		N;INDF;FEM;PL
भाग	parte	भाग	parte		N;INDF;FEM;SG
भाग	partea	भाग	parte		N;DEF;FEM;SG
भाग	piese	भाग	piesă		N;INDF;FEM;PL
निर्माण	crearea	निर्माण	creare	N;NOM;MASC;SG;3	N;DEF;FEM;SG
निर्माण	creatie	निर्माण	creatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
निर्माण	creare	निर्माण	creare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
निर्माण	constructii	निर्माण	construct	N;NOM;MASC;SG;3	N;INDF;FEM;PL
निर्माण	constructie	निर्माण	constructie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
निर्माण	constructie	निर्माण	constructie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
निर्माण	constructii	निर्माण	construct	N;NOM;MASC;SG;3	N;INDF;FEM;PL
निर्माण	construieste	निर्माण	construi	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
निर्माण	construi	निर्माण	construi	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
निर्माण	construiesc	निर्माण	construi	N;NOM;MASC;SG;3	V;IND;PL;3;PRS;FIN
निर्माण	fabricare	निर्माण	fabricare	N;NOM;MASC;SG;3	N;INDF;FEM;SG
निर्माण	fabricarea	निर्माण	fabricare	N;NOM;MASC;SG;3	N;DEF;FEM;SG
निर्माण	fabricatie	निर्माण	fabricatie	N;NOM;MASC;SG;3	N;INDF;FEM;SG
दोनों	amandoua	दो	amandoi	N;ACC;MASC;PL;3	
दोनों	amandoi	दो	amandoi	N;ACC;MASC;PL;3	
दोनों	ambele	दो	ambii	N;ACC;MASC;PL;3	NUM;FEM;PL
दोनों	amandoua	दो	amandoi	N;ACC;MASC;PL;3	
राष्ट्रीय	nationala	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
राष्ट्रीय	nationala	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	
जानकारी	informatii	जानकारी	informat	N;NOM;FEM;SG;3	N;INDF;FEM;PL
