monarchie	monarchia	monarchie	monarchia	PROPN	N;NOM;FEM;SG
etablierte	ustanowione	etablieren	ustanowić	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
etablierte	ustalono	etablieren	ustalić	V;IND;SG;3;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
etablierte	ustanowiony	etablieren	ustanowić	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
kaliningrad	kaliningradu	kaliningrad	kalininiado	PROPN	N;GEN;MASC;SG
zusatz	dodawanie	zusatz	dodawać		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
zusatz	dodanie	zusatz	dodanie		N;PFV;NOM;NEUT;SG;POS;V.MSDR
zusatz	uzupełnienie	zusatz	uzupełnić		N;PFV;NOM;NEUT;SG;POS;V.MSDR
zusatz	dodatek	zusatz	dodatek		N;NOM;MASC;SG
zusatz	dodatku	zusatz	dodatek		N;GEN;MASC;SG
guido	guido	guido	guido	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
gefangenen	więzień	gefangen	więzienie	V;IND;PL;3;FIN	N;GEN;NEUT;PL
gefangenen	niewoli	gefangen	niewola	V;IND;PL;3;FIN	N;GEN;FEM;SG
gefangenen	więźniowie	gefangen	więźniowie	V;IND;PL;3;FIN	N;NOM;MASC;PL
gefangenen	więźniów	gefangen	więzień	V;IND;PL;3;FIN	N;ACC;MASC;PL
gefangenen	zatrzymani	gefangen	zatrzymać	V;IND;PL;3;FIN	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
gefangenen	zatrzymanych	gefangen	zatrzymać	V;IND;PL;3;FIN	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
sank	zatopiony	sinken	zatopić	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
leutnant	porucznik	leutnant	porucznik	ADJ	N;NOM;MASC;SG
lateinische	łacińskiej	lateinisch	łaciński	ADJ;NOM;FEM;PL	ADJ;GEN;FEM;SG
xvi	xvi	xvi	xvi	PROPN;NOM;MASC;SG	
vietnam	wietnam	vietnam	wietny	PROPN	N;NOM;MASC;SG
strategie	strategie	strategie	strategi	N;SG	N;NOM;MASC;PL
uruguay	urugwaju	uruguay	urugwaj	PROPN;NOM;MASC;SG	PROPN;GEN;MASC;SG
einheimischen	tubylcy	einheimisch	tubylec	ADJ	N;NOM;MASC;PL
einheimischen	tubylców	einheimisch	tubylec	ADJ	N;ACC;MASC;PL
liechtenstein	liechtenstein	liechtenstein	liechtenstein	PROPN;NOM;NEUT;SG	
liechtenstein	liechtensteinu	liechtenstein	liechtenstein	PROPN;NOM;NEUT;SG	
liechtenstein	lichtenstein	liechtenstein	lichtenstein	PROPN;NOM;NEUT;SG	
holocaust	holokaustu	holocaust	holokaust	PROPN;NOM;SG	N;GEN;MASC;SG
siegel	siegel	siegel	siegel		PROPN;NOM;MASC;SG
siegel	pieczęć	siegel	pieczęć		N;NOM;FEM;SG
quer	poprzeczne	quer	poprzeczny	ADV	ADJ;NOM;NEUT;SG
fragt	zapytała	fragen	zapytać	V;IND;SG;3;PRS;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
fragt	poprosił	fragen	poprosić	V;IND;SG;3;PRS;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
fragt	pytał	fragen	pytać	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
fragt	zapytał	fragen	zapytać	V;IND;SG;3;PRS;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
ausscheiden	rezygnacja	ausscheiden	rezygnacja	V;NFIN	N;NOM;FEM;SG
ausscheiden	rezygnacji	ausscheiden	rezygnacja	V;NFIN	N;GEN;FEM;SG
ausscheiden	rezygnację	ausscheiden	rezygnacja	V;NFIN	N;ACC;FEM;SG
hamm	gam	hamm	gam	PROPN;NOM;MASC;SG	
hamm	hamm	hamm	hamm	PROPN;NOM;MASC;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
auschwitz	auschwitz	auschwitz	auschwitza	PROPN	PROPN;NOM;MASC;SG
zeitgenössische	nowoczesny	zeitgenössisch	nowoczesny	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
zeitgenössische	współczesny	zeitgenössisch	współczesny	ADJ;NOM;FEM;PL	
zeitgenössische	współczesnej	zeitgenössisch	współczesny	ADJ;NOM;FEM;PL	
zeitgenössische	współczesne	zeitgenössisch	współczesny	ADJ;NOM;FEM;PL	
zeitgenössische	współczesna	zeitgenössisch	współczesny	ADJ;NOM;FEM;PL	N;NOM;FEM;SG
planungen	planowania	planung	planowanie	V;NFIN	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
planungen	planowanie	planung	planować	V;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
planungen	planów	planung	plan	V;NFIN	N;GEN;MASC;PL
planungen	plany	planung	plan	V;NFIN	N;NOM;MASC;PL
neueren	nowsze	neu	nowy	ADJ	V;IPFV;IND;SG;3;FIN;ACT
beendigung	zakończenie	beendigung	zakończyć	ADV	N;PFV;NOM;NEUT;SG;POS;V.MSDR
beendigung	wypowiedzenie	beendigung	wypowiedzenie	ADV	N;PFV;NOM;NEUT;SG;POS;V.MSDR
detroit	detroit	detroit	detroit	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
emma	emma	emma	emma	PROPN;NOM;SG	PROPN;NOM;FEM;SG
publikation	publikacji	publikation	publikacja	N;NOM;FEM;SG	N;GEN;FEM;SG
publikation	publikacje	publikation	publikacja	N;NOM;FEM;SG	N;NOM;FEM;PL
publikation	publikacji	publikation	publikacja	N;NOM;FEM;SG	N;GEN;FEM;SG
publikation	publikacje	publikation	publikacja	N;NOM;FEM;SG	N;NOM;FEM;PL
stoff	tkanina	stoff	tkanina		N;NOM;FEM;SG
stoff	tkaniny	stoff	tkanina		N;ACC;FEM;PL
stoff	substancje	stoff	substancja		N;NOM;FEM;PL
stoff	substancji	stoff	substancja		N;GEN;FEM;SG
stoff	substancja	stoff	substancja		N;NOM;FEM;SG
stoff	tkanina	stoff	tkanina		N;NOM;FEM;SG
stoff	tkaniny	stoff	tkanina		N;ACC;FEM;PL
fremden	obcych	fremd	obcy	ADJ	
fremden	nieznajomych	fremd	nieznajomy	ADJ	N;ACC;MASC;PL
fremden	obcy	fremd	obcy	ADJ	N;NOM;MASC;SG
fremden	kosmici	fremd	kosmita	ADJ	N;NOM;MASC;PL
fremden	cudzoziemców	fremd	cudzoziemiec	ADJ	N;ACC;MASC;PL
fremden	obcy	fremd	obcy	ADJ	N;NOM;MASC;SG
fremden	nieznajomy	fremd	nieznajomy	ADJ	N;NOM;MASC;SG
fremden	obcy	fremd	obcy	ADJ	N;NOM;MASC;SG
ernsthaft	serio	ernsthaft	serio	ADJ	
ernsthaft	poważnie	ernsthaft	poważnie	ADJ	ADV
gelben	żółte	gelb	żółty		ADJ;NOM;NEUT;SG
gelben	żółta	gelb	żółta		ADJ;NOM;FEM;SG
gelben	żółty	gelb	żółty		ADJ;NOM;MASC;SG
krankheiten	choroba	krankheit	choroba	V;NFIN	N;NOM;FEM;SG
krankheiten	choroby	krankheit	choroba	V;NFIN	N;ACC;FEM;PL
krankheiten	choroby	krankheit	choroba	V;NFIN	N;ACC;FEM;PL
krankheiten	chorób	krankheit	chorób	V;NFIN	
krankheiten	zaburzenia	krankheit	zaburzyć	V;NFIN	N;NOM;NEUT;PL
krankheiten	choroba	krankheit	choroba	V;NFIN	N;NOM;FEM;SG
krankheiten	choroby	krankheit	choroba	V;NFIN	N;ACC;FEM;PL
zentimetern	centymetry	zentimetern	centymetra	ADJ	N;NOM;MASC;PL
zentimetern	centymetrów	zentimetern	centymetr	ADJ	N;GEN;MASC;PL
bukarest	bukareszcie	bukarest	bukareszt	PROPN;NOM;NEUT;SG	N;NOM;MASC;SG
mans	mans	mans	mans	PROPN;NOM;MASC;SG	
denkmäler	pomniki	denkmäl	pomnik	ADJ	N;NOM;MASC;PL
maine	maine	mainen	mainy	PROPN;NOM;SG	
rief	zwane	rufen	zwać	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
rief	zwana	rufen	zwać	V;IND;SG;3;PST;FIN	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
rief	nazywany	rufen	nazywać	V;IND;SG;3;PST;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
entlassung	zwolnień	entlassung	zwolnienie	N;NOM;FEM;SG	N;GEN;NEUT;PL
kongo	kongo	kongo	kongo	PROPN;NOM;MASC;SG	
kongo	konga	kongo	kongać	PROPN;NOM;MASC;SG	
stämme	plemiona	stammen	plemię		N;NOM;NEUT;SG
stämme	szczepy	stammen	szczepy		N;NOM;MASC;PL
stämme	szczepów	stammen	szczep		N;GEN;MASC;PL
stämme	szczepy	stammen	szczepy		N;NOM;MASC;PL
siebten	siódmego	siebt	siódmy	ADJ;NOM;MASC;SG	N;GEN;MASC;SG
siebten	siódmej	siebt	siódmy	ADJ;NOM;MASC;SG	ADJ;GEN;FEM;SG
siebten	siódme	siebt	siódmy	ADJ;NOM;MASC;SG	
musikern	muzyków	musikern	muzyk	V;NFIN	N;ACC;MASC;PL
musikern	muzycy	musikern	muzyk	V;NFIN	N;NOM;MASC;PL
grob	ostro	grob	ostro	ADJ	
dialekt	dialekt	dialekt	dialekt	ADJ	N;NOM;MASC;SG
dialekt	dialektów	dialekt	dialekt	ADJ	N;GEN;MASC;PL
hofmann	hofmann	hofmann	hofmanny	PROPN;NOM;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
südkorea	tajwan	südkorea	tajwan	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
südkorea	tajwanu	südkorea	tajwan	PROPN;NOM;MASC;SG	PROPN;GEN;MASC;SG
südkorea	korea	südkorea	korea	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
südkorea	seulu	südkorea	seul	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
beachtung	przestrzeganie	beachtung	przestrzeganie		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
beachtung	przestrzegania	beachtung	przestrzegać		N;IPFV;GEN;NEUT;SG;POS;V.MSDR
merkmal	cecha	merkmal	cechać	ADJ	N;NOM;FEM;SG
merkmal	funkcja	merkmal	funkcja	ADJ	N;NOM;FEM;SG
merkmal	cecha	merkmal	cechać	ADJ	N;NOM;FEM;SG
merkmal	cecha	merkmal	cechać	ADJ	N;NOM;FEM;SG
anr	anr	anr	anr	PROPN;NOM;SG	
orthodoxen	prawosławie	orthodox	prawosława	ADJ	N;NOM;MASC;SG
epoche	epok	epoch	epok	N;SG	N;GEN;FEM;PL
epoche	epoki	epoch	epoka	N;SG	
epoche	era	epoch	era	N;SG	
engineering	maszynownia	engineering	maszynownia	PROPN	N;NOM;FEM;SG
engineering	inżynieria	engineering	inżynierie	PROPN	N;NOM;FEM;SG
engineering	inżynierii	engineering	inżynieria	PROPN	
rechnung	konto	rechnung	konto	PROPN;SG	N;NOM;NEUT;SG
rechnung	rachunek	rechnung	rachunek	PROPN;SG	N;ACC;MASC;SG
rechnung	konta	rechnung	konta	PROPN;SG	N;GEN;MASC;SG
rechnung	rozliczenia	rechnung	rozliczyć	PROPN;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
rechnung	rozliczeń	rechnung	rozliczenie	PROPN;SG	N;GEN;NEUT;PL
rechnung	rozliczenie	rechnung	rozliczyć	PROPN;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
rechnung	faktur	rechnung	faktur	PROPN;SG	N;GEN;MASC;PL
rechnung	faktury	rechnung	faktura	PROPN;SG	N;ACC;FEM;PL
rechnung	bill	rechnung	bill	PROPN;SG	PROPN;NOM;MASC;SG
rechnung	rachunek	rechnung	rachunek	PROPN;SG	N;ACC;MASC;SG
rechnung	faktury	rechnung	faktura	PROPN;SG	N;ACC;FEM;PL
rechnung	fakturę	rechnung	faktura	PROPN;SG	N;ACC;FEM;SG
rechnung	faktura	rechnung	faktura	PROPN;SG	N;NOM;FEM;SG
browser	przeglądarki	brows	przeglądarka	ADJ	N;GEN;FEM;SG
browser	przeglądarek	brows	przeglądarka	ADJ	N;GEN;FEM;PL
browser	przeglądarka	brows	przeglądarka	ADJ	N;NOM;FEM;SG
browser	przeglądarkę	brows	przeglądarka	ADJ	N;ACC;FEM;SG
browser	przeglądarki	brows	przeglądarka	ADJ	N;GEN;FEM;SG
browser	przeglądarce	brows	przeglądarka	ADJ	N;DAT;FEM;SG
verwiesen	wymieniona	verweisen	wymienić	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
verwiesen	wydalony	verweisen	wydalić	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
verwiesen	wyrzucony	verweisen	wyrzucić	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
verwiesen	określone	verweisen	określony	V;V.PTCP	
stab	rod	stab	rod		V;PFV;IND;SG;2;FIN;ACT
stab	pręt	stab	pręt		N;NOM;MASC;SG
draft	szkic	drafen	szkic	PROPN;NOM;SG	N;NOM;MASC;SG
benannten	wyznaczony	benennen	wyznaczyć	V;PL;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
benannten	wyznaczona	benennen	wyznaczyć	V;PL;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
benannten	wskazany	benennen	wskazany	V;PL;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
benannten	wyznaczone	benennen	wyznaczyć	V;PL;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
benannten	wskazane	benennen	wskazany	V;PL;FIN	
wertung	rating	wertung	rating	N;FEM;SG	
wertung	ocena	wertung	ocenać	N;FEM;SG	V;IPFV;IND;SG;2;FIN;ACT
vorschriften	regulacje	vorschreifen	regulacja	V;NFIN	N;NOM;FEM;PL
vorschriften	rozporządzenia	vorschreifen	rozporządzenie	V;NFIN	N;NOM;NEUT;SG
vorschriften	rozporządzeń	vorschreifen	rozporządzenie	V;NFIN	N;GEN;NEUT;PL
vorschriften	zasady	vorschreifen	zasada	V;NFIN	N;ACC;FEM;PL
vorschriften	reguły	vorschreifen	reguła	V;NFIN	
vorschriften	zasadami	vorschreifen	zasada	V;NFIN	N;INS;FEM;PL
vorschriften	wymagania	vorschreifen	wymagać	V;NFIN	N;NOM;NEUT;SG
vorschriften	wymogi	vorschreifen	wymoga	V;NFIN	
vorschriften	specyfikacja	vorschreifen	specyfikacja	V;NFIN	N;NOM;FEM;SG
vorschriften	specyfikacje	vorschreifen	specyfikacja	V;NFIN	N;NOM;FEM;PL
vorschriften	postanowienia	vorschreifen	postanowienie	V;NFIN	N;NOM;NEUT;PL
vorschriften	przepisy	vorschreifen	przepis	V;NFIN	N;NOM;MASC;PL
eintracht	eintracht	eintrachen	eintracht	PROPN	N;ACC;NEUT;PL
eintracht	harmonii	eintrachen	harmonia	PROPN	N;GEN;FEM;SG
eintracht	harmony	eintrachen	harmon	PROPN	
eintracht	harmonia	eintrachen	harmonia	PROPN	N;NOM;FEM;SG
eintragen	rejestru	eintragen	rejester	V;NFIN	N;GEN;MASC;SG
eintragen	rejestr	eintragen	rejestr	V;NFIN	N;NOM;MASC;SG
eintragen	enter	eintragen	enter	V;NFIN	
rad	koło	raden	koło		N;NOM;NEUT;SG
rad	koła	raden	koło		N;ACC;NEUT;SG
rad	rad	raden	rada		V;IPFV;IMP;PL;2;FIN;ACT
götter	bogowie	gott	bogowie		N;NOM;MASC;PL
götter	bogów	gott	bóg		N;ACC;MASC;PL
vfb	vfb	vfb	vfb	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
lass	lass	laß	lass	V;IND;SG;2;PRS;FIN	
lass	pozwól	laß	pozwolić	V;IND;SG;2;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
harz	harz	harz	harz		PROPN;NOM;MASC;SG
harz	żywicy	harz	żywica		N;GEN;FEM;SG
lars	lars	lars	lars	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
kopiert	skopiowane	kopieren	skopiować	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
lucas	lucasa	lucas	lucasa	PROPN;NOM;MASC;SG	
lucas	lucas	lucas	lucas	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
lucas	łukasz	lucas	łukasz	PROPN;NOM;MASC;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
lucas	lukas	lucas	lukas	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
südtirol	südtirol	südtirol	südtirol	PROPN	
schiedsrichter	arbitra	schiedsrichter	arbitra	ADJ	N;ACC;MASC;SG
schiedsrichter	sędzia	schiedsrichter	sędzia	ADJ	N;NOM;MASC;SG
schiedsrichter	ref	schiedsrichter	ref	ADJ	
schiedsrichter	sędzia	schiedsrichter	sędzia	ADJ	N;NOM;MASC;SG
schiedsrichter	sędziowie	schiedsrichter	sędzia	ADJ	N;NOM;MASC;PL
dünn	chude	dünn	chudy	ADJ	
bestimmungen	regulacje	bestimmung	regulacja	V;NFIN	N;NOM;FEM;PL
bestimmungen	rozporządzenia	bestimmung	rozporządzenie	V;NFIN	N;NOM;NEUT;SG
bestimmungen	rozporządzeń	bestimmung	rozporządzenie	V;NFIN	N;GEN;NEUT;PL
bestimmungen	postanowienia	bestimmung	postanowienie	V;NFIN	N;NOM;NEUT;PL
bestimmungen	przepisy	bestimmung	przepis	V;NFIN	N;NOM;MASC;PL
mauern	ściany	mauern	ściana	V;NFIN	N;ACC;FEM;PL
mauern	ściana	mauern	ściana	V;NFIN	N;NOM;FEM;SG
mauern	mur	mauern	mur	V;NFIN	N;NOM;MASC;SG
mauern	mury	mauern	mur	V;NFIN	N;NOM;MASC;PL
mauern	ścianie	mauern	ściana	V;NFIN	N;DAT;FEM;SG
mauern	tablica	mauern	tablica	V;NFIN	N;NOM;FEM;SG
mauern	mury	mauern	mur	V;NFIN	N;NOM;MASC;PL
mauern	ścian	mauern	ściana	V;NFIN	
mauern	ściany	mauern	ściana	V;NFIN	N;ACC;FEM;PL
berechnet	oblicza	berechnen	oblicze	V;V.PTCP	N;NOM;NEUT;SG
berechnet	obliczona	berechnen	obliczyć	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
berechnet	obliczony	berechnen	obliczyć	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
berechnet	obliczone	berechnen	obliczyć	V;V.PTCP	
berechnet	obliczona	berechnen	obliczyć	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
berechnet	obliczone	berechnen	obliczyć	V;V.PTCP	
berechnet	naładowane	berechnen	naładować	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
three	trzy	threen	trzy	PROPN	NUM;ACC;MASC;PL
verlieren	przegrana	verlieren	przegrać	V;NFIN	N;NOM;FEM;SG
verlieren	luzem	verlieren	luz	V;NFIN	N;INS;MASC;SG
verlieren	luźno	verlieren	luźno	V;NFIN	ADV
verlieren	luźne	verlieren	luźny	V;NFIN	ADJ;NOM;NEUT;SG
gefangenschaft	więzień	gefangenschaft	więzienie	ADJ	N;GEN;NEUT;PL
gefangenschaft	niewoli	gefangenschaft	niewola	ADJ	N;GEN;FEM;SG
gefangenschaft	areszt	gefangenschaft	areszt	ADJ	N;NOM;MASC;SG
gefangenschaft	zatrzymania	gefangenschaft	zatrzymać	ADJ	N;PFV;GEN;NEUT;SG;POS;V.MSDR
gefangenschaft	zatrzymanie	gefangenschaft	zatrzymać	ADJ	N;PFV;NOM;NEUT;SG;POS;V.MSDR
gefangenschaft	niewoli	gefangenschaft	niewola	ADJ	N;GEN;FEM;SG
henning	henning	hennengen	henning	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
comics	komiks	comic	komiks	PROPN	N;NOM;MASC;SG
comics	komiksów	comic	komiks	PROPN	N;GEN;MASC;PL
comics	komiksy	comic	komiks	PROPN	N;NOM;MASC;PL
comics	komiks	comic	komiks	PROPN	N;NOM;MASC;SG
comics	comic	comic	comic	PROPN	
umfassenden	kompleksowa	umfassend	kompleksowy	V;FIN	ADJ;NOM;FEM;SG
umfassenden	kompleksowy	umfassend	kompleksowy	V;FIN	ADJ;NOM;MASC;SG
umfassenden	kompleksowe	umfassend	kompleksowy	V;FIN	ADJ;NOM;NEUT;SG
sainte	sainte	sainen	sainty	PROPN;NOM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
moon	księżyca	moon	księżyc	PROPN;NOM;SG	N;GEN;MASC;SG
moon	moon	moon	moon	PROPN;NOM;SG	
moon	księżycu	moon	księżyc	PROPN;NOM;SG	N;GEN;MASC;SG
moon	księżyc	moon	księżyc	PROPN;NOM;SG	N;NOM;MASC;SG
wem	kto	wer	kto	ADV	PRO;NOM;MASC;SG
wem	kogo	wer	kto	ADV	PRO;ACC;MASC;SG
wem	who	wer	who	ADV	
wem	czyja	wer	czyj	ADV	
wem	czyj	wer	czyj	ADV	N;NOM;MASC;SG
wem	czyje	wer	czyj	ADV	
teufel	piekło	teufel	piekło		N;NOM;NEUT;SG
teufel	diabła	teufel	diabeł		N;ACC;MASC;SG
teufel	diabeł	teufel	diabeł		N;NOM;MASC;SG
teufel	szatan	teufel	szatan		N;NOM;MASC;SG
teufel	diabły	teufel	diabnąć		N;NOM;MASC;PL
notre	notre	notre	notry	PROPN;SG	
leinwand	płótna	leinwand	płótny		N;ACC;NEUT;SG
leinwand	płótno	leinwand	płótno		N;NOM;NEUT;SG
leinwand	płótnie	leinwand	płótno		N;ACC;NEUT;SG
leinwand	ekran	leinwand	ekran		N;NOM;MASC;SG
leinwand	ekranu	leinwand	ekran		N;GEN;MASC;SG
leinwand	ekranie	leinwand	ekran		N;INS;MASC;SG
rugby	rugby	rugby	rugba	PROPN	
