το	на	ο	на	DET;NOM;DEF;NEUT;SG	ADP
ταινία	филмова	ταινία	филмов	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
άλλα	друго	άλλος	друг	PRO;NOM;NEUT;PL;3	ADV
άλλα	друг	άλλος	друг	PRO;NOM;NEUT;PL;3	ADJ;INDF;MASC;SG
άλλα	други	άλλος	друг	PRO;NOM;NEUT;PL;3	ADJ;INDF;PL
άλλα	другите	άλλος	друг	PRO;NOM;NEUT;PL;3	ADJ;DEF;PL
άλλα	други	άλλος	друг	PRO;NOM;NEUT;PL;3	ADJ;INDF;PL
σαν	като	σαν	като	ADV	CONJ
σαν	like	σαν	like	ADV	PROPN;INDF;MASC;SG
άλλες	друго	άλλος	друг	PRO;NOM;FEM;PL;3	ADV
άλλες	друг	άλλος	друг	PRO;NOM;FEM;PL;3	ADJ;INDF;MASC;SG
άλλες	други	άλλος	друг	PRO;NOM;FEM;PL;3	ADJ;INDF;PL
τέλος	край	τέλος	край	ADV	ADP
σειρά	серии	σειρά	серия	N;ACC;FEM;SG	N;INDF;FEM;PL
στοιχεία	дейта	στοιχείο	дейт	N;NOM;NEUT;PL	N;INDF;MASC;SG
εκτός	освен	εκτός	освен	ADV	ADP
συνέχεια	продължи	συνέχεια	продължа	N;ACC;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
συνέχεια	продължи	συνέχεια	продължа	N;ACC;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
συνέχεια	продължил	συνέχεια	продължа	N;ACC;FEM;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
κάτω	долна	κάτω	долен	ADV	ADJ;INDF;FEM;SG
κάτω	долен	κάτω	долен	ADV	ADJ;INDF;MASC;SG
πολλές	mnogo	πολύς	mnogo	ADJ;NOM;FEM;PL	PROPN;INDF;NEUT;SG
πολλές	много	πολύς	много	ADJ;NOM;FEM;PL	ADV;INDF;PL
όλα	всичко	όλος	всеки	ADJ;NOM;NEUT;PL	PRO;NOM;NEUT;SG
όλα	всички	όλος	всеки	ADJ;NOM;NEUT;PL	PRO;NOM;PL
όλα	всичко	όλος	всеки	ADJ;NOM;NEUT;PL	PRO;NOM;NEUT;SG
σύστημα	системни	σύστημα	системен	N;NOM;NEUT;SG	ADJ;INDF;PL
φορές	пъти	φορά	път	N;NOM;FEM;PL	N;MASC
φορές	таймс	φορά	таймс	N;NOM;FEM;PL	N;INDF;MASC;SG
φορές	times	φορά	times	N;NOM;FEM;PL	PROPN;INDF;MASC;SG
ίδια	идентични	ίδιος	идентичен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
ίδια	еднакви	ίδιος	еднакъв	ADJ;NOM;FEM;SG	ADJ;INDF;PL
ιανουαρίου	януари	ιανουάριος	януари	PROPN;GEN;MASC;SG	N;INDF;MASC;SG
αγώνες	кибрит	αγώνας	кибрит	N;NOM;MASC;PL	N;INDF;MASC;SG
αγώνες	съвпада	αγώνας	съвпадам	N;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
μέσω	виа	μέσω	видя-(се)	ADP	N;INDF;MASC;SG
μέσω	via	μέσω	via	ADP	ADJ
γεννήθηκε	родени	γεννώ	родя-(се)	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;INDF;PL;V.PTCP;PASS
αυτές	тези	αυτός	този	PRO;NOM;FEM;PL;3	DET;PL
πολλά	mnogo	πολύς	mnogo	ADJ;NOM;NEUT;PL	PROPN;INDF;NEUT;SG
πολλά	много	πολύς	много	ADJ;NOM;NEUT;PL	ADV;INDF;PL
απριλίου	ейприл	απρίλιος	ейприл	N;GEN;MASC;SG	PROPN;INDF;FEM;SG
αυγούστου	аугуст	αυγούστος	аугуст	N;GEN;MASC;SG	PROPN;INDF;MASC;SG
έργα	работи	έργο	работя	N;NOM;NEUT;PL	V;IPFV;IMP;SG;2;FIN
χρήση	използвайте	χρήση	използвам	N;ACC;FEM;SG	V;IPFV;IMP;PL;2;FIN
πολιτική	политици	πολιτική	политик	N;NOM;FEM;SG	N;INDF;MASC;PL
μας	нашият	μου	наш	PRO;GEN;MASC;PL;1	DET;DEF;MASC;SG;1
μας	наша	μου	наш	PRO;GEN;MASC;PL;1	DET;INDF;FEM;SG;1
μας	нашия	μου	наш	PRO;GEN;MASC;PL;1	DET;DEF;MASC;SG;1
μας	нашата	μου	наш	PRO;GEN;MASC;PL;1	DET;DEF;FEM;SG;1
μας	нашите	μου	наш	PRO;GEN;MASC;PL;1	DET;DEF;PL;1
αρχικά	инициали	αρχικά	инициал	ADV	N;INDF;MASC;PL
αρχικά	инициалите	αρχικά	инициал	ADV	N;DEF;MASC;PL
ζωή	life	ζωή	life	N;ACC;FEM;SG	PROPN;INDF;MASC;SG
ζωή	зои	ζωή	зой	N;ACC;FEM;SG	PROPN;INDF;MASC;SG
περιλαμβάνει	включват	περιλαμβάνω	включвам-(се)	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
μεγάλο	голямо	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADV
μεγάλο	големи	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
μεγάλο	биг	μεγάλος	биг	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
μεγάλο	голямо	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADV
μεγάλο	големи	μεγάλος	голям	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
κοντά	затваряне	κοντά	затваряне	ADV	N;INDF;NEUT;SG
κοντά	близки	κοντά	близък	ADV	ADJ;INDF;PL
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	ADJ
γιατί	защото	γιατί	защото	CONJ	ADV
γιατί	защо	γιατί	защо	CONJ	PRO
άλμπουμ	албуми	άλμπουμ	албум	N;MASC;SG	N;INDF;MASC;PL
άλμπουμ	албумите	άλμπουμ	албум	N;MASC;SG	N;DEF;MASC;PL
επειδή	защото	επειδή	защото	CONJ	ADV
γκολ	голове	γκολ	гол		N;INDF;MASC;PL
γκολ	цели	γκολ	цел		N;INDF;FEM;PL
γκολ	цел	γκολ	цел		N;INDF;FEM;SG
γκολ	гол	γκολ	гол		N;INDF;MASC;SG
γύρω	около	γύρω	около	ADV	ADP
τελευταία	последен	τελευταία	последен	ADV	ADJ;INDF;MASC;SG
τελευταία	последни	τελευταία	последен	ADV	ADJ;INDF;PL
τελευταία	последна	τελευταία	последен	ADV	ADJ;INDF;FEM;SG
έκανε	направена	κάνω	направя-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
έκανε	направено	κάνω	направя-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
έκανε	направен	κάνω	направя-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
έκανε	направени	κάνω	направя-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
πρώτος	първи	πρώτος	първи	NUM;NOM;MASC;SG	ADJ;INDF;MASC;SG
πρώτος	първо	πρώτος	първо	NUM;NOM;MASC;SG	ADV
κάνει	готово	κάνω	готов	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
κάνει	направено	κάνω	направя-(се)	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
κάνει	сторено	κάνω	сторя-(се)	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ηπα	сащ	λπο	сащ	N	PROPN;INDF;MASC;PL
ηπα	usa	λπο	usa	N	PROPN;INDF;MASC;SG
ανάμεσα	между	ανάμεσα	между	ADV	ADP
δεύτερη	второ	δεύτερος	втори	NUM;NOM;FEM;SG	ADV
δεύτερη	втора	δεύτερος	втори	NUM;NOM;FEM;SG	ADJ;INDF;FEM;SG
δεύτερη	втори	δεύτερος	втори	NUM;NOM;FEM;SG	ADJ;INDF;MASC;SG
γιος	синко	γιος	синко	N;NOM;MASC;SG	INTJ
γιος	сине	γιος	син	N;NOM;MASC;SG	PART
πανεπιστήμιο	university	πανεπιστήμιο	university	N;NOM;NEUT;SG	PROPN;INDF;MASC;SG
όλες	всички	όλος	всеки	ADJ;NOM;FEM;PL	PRO;NOM;PL
όλες	всичко	όλος	всеки	ADJ;NOM;FEM;PL	PRO;NOM;NEUT;SG
δείτε	видя	βλέπω	видя-(се)	V;PFV;IMP;PL;2;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
δείτε	виж	βλέπω	видя-(се)	V;PFV;IMP;PL;2;FIN;ACT	V;PFV;IMP;SG;2;FIN
δείτε	гледай	βλέπω	гледам	V;PFV;IMP;PL;2;FIN;ACT	V;IPFV;IMP;SG;2;FIN
δείτε	гледайте	βλέπω	гледам	V;PFV;IMP;PL;2;FIN;ACT	V;IPFV;IMP;PL;2;FIN
πρώην	бивши	πρώην	бивш	ADV	ADJ;INDF;PL
πρώην	бивш	πρώην	бивш	ADV	N;INDF;MASC;SG
πρώην	бивша	πρώην	бивш	ADV	ADJ;INDF;FEM;SG
παράδειγμα	примерна	παράδειγμα	примерна-(се)	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
έλαβε	получено	λαμβάνω	получа	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
έλαβε	получена	λαμβάνω	получа	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
έλαβε	получен	λαμβάνω	получа	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
έλαβε	получени	λαμβάνω	получа	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
επίσημη	официално	επίσημος	официално	ADJ;NOM;FEM;SG	ADV
επίσημη	формално	επίσημος	формално	ADJ;NOM;FEM;SG	ADV
επίσημη	официално	επίσημος	официално	ADJ;NOM;FEM;SG	ADV
κατοίκους	пребиваващи	κάτοικος	пребивавам	N;ACC;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
βόρεια	север	βόρεια	север	ADV	N;INDF;MASC;SG
βόρεια	северна	βόρεια	северен	ADV	ADJ;INDF;FEM;SG
βόρεια	северни	βόρεια	северен	ADV	ADJ;INDF;PL
βόρεια	северен	βόρεια	северен	ADV	N;INDF;MASC;SG
βόρεια	северна	βόρεια	северен	ADV	ADJ;INDF;FEM;SG
σελίδα	page	σελίδα	page	N;NOM;FEM;SG	INTJ
χρησιμοποιείται	използвани	χρησιμοποιώ	използвам	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;INDF;PL;V.PTCP;PASS
πρώτα	първи	πρώτα	първи	ADV	ADJ;INDF;MASC;SG
μέγεθος	размери	μέγεθος	размер	N;NOM;NEUT;SG	N;INDF;MASC;PL
θεωρείται	разглеждания	θεωρώ	разглеждане	V;IPFV;IND;SG;3;PRS;FIN;PASS	N;INDF;NEUT;PL
νότια	южен	νότιος	южен	ADV	N;INDF;MASC;SG
νότια	южни	νότιος	южен	ADV	ADJ;INDF;PL
νότια	южна	νότιος	южен	ADV	ADJ;INDF;FEM;SG
νότια	южен	νότιος	южен	ADV	N;INDF;MASC;SG
νότια	юг	νότιος	юг	ADV	N;INDF;MASC;SG
νότια	южна	νότιος	южен	ADV	ADJ;INDF;FEM;SG
σχέση	взаимоотношения	σχέση	взаимоотношение	N;ACC;FEM;SG	N;INDF;NEUT;PL
σχέση	отношения	σχέση	отношение	N;ACC;FEM;SG	N;INDF;NEUT;PL
νέο	ню	νέος	ню	ADJ;ACC;NEUT;SG	PROPN;INDF;MASC;SG
νέο	ново	νέος	нов	ADJ;ACC;NEUT;SG	ADV
νέο	нови	νέος	нов	ADJ;ACC;NEUT;SG	ADJ;INDF;PL
περισσότερο	повече	πολύ	повече	ADV;CMPR	ADV;INDF;PL
περισσότερο	още	πολύ	още	ADV;CMPR	ADV
εκκλησία	чърч	εκκλησία	чърч	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
πολιτικός	политици	πολιτικός	политик	ADJ;NOM;MASC;SG	N;INDF;MASC;PL
πολιτικός	политик	πολιτικός	политик	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
πέθανε	умри	πεθαίνω	умра	V;PFV;IND;SG;3;PST;FIN;ACT	INTJ
πέθανε	умирай	πεθαίνω	умирам	V;PFV;IND;SG;3;PST;FIN;ACT	V;IPFV;IMP;SG;2;FIN
ανά	пер	ανά	пер	ADP	PROPN;INDF;MASC;SG
μουσική	music	μουσικός	music	ADJ;NOM;FEM;SG	PROPN;INDF;MASC;SG
μουσική	музиката	μουσικός	музика	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
μουσική	музика	μουσικός	музика	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
άτομα	народ	άτομο	народ	N;NOM;NEUT;PL	N;INDF;MASC;SG
άτομα	хора	άτομο	хора	N;NOM;NEUT;PL	N;INDF
άτομα	хората	άτομο	хора	N;NOM;NEUT;PL	N;DEF
δεύτερο	второ	δεύτερος	втори	NUM;NOM;NEUT;SG	ADV
δεύτερο	втора	δεύτερος	втори	NUM;NOM;NEUT;SG	ADJ;INDF;FEM;SG
δεύτερο	втори	δεύτερος	втори	NUM;NOM;NEUT;SG	ADJ;INDF;MASC;SG
είδος	видове	είδος	вид	N;NOM;NEUT;SG	N;INDF;MASC;PL
εκείνη	тя	εκείνος	аз	PRO;ACC;FEM;SG;3	PRO;NOM;FEM;SG;3
φαίνεται	изглежда	φαίνομαι	изглежда	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
φαίνεται	изглежда	φαίνομαι	изглежда	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
αρχαία	древни	αρχαίος	древен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
αρχαία	древен	αρχαίος	древен	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
αρχαία	древно	αρχαίος	древно	ADJ;NOM;FEM;SG	ADV
κυκλοφόρησε	освободена	κυκλοφορώ	освободя-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
κυκλοφόρησε	освободен	κυκλοφορώ	освободя-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
κυκλοφόρησε	освободени	κυκλοφορώ	освободя-(се)	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
τι	какво	τι	какъв	PRO;NOM;NEUT;SG;3	DET;NEUT;SG
συμμετείχε	участвали	συμμετέχω	участвам	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IPFV;INDF;PL;PST;V.PTCP;ACT
συμμετείχε	участваха	συμμετέχω	участвам	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
ηθοποιός	актриси	ηθοποιός	актриса	N;NOM;MASC;SG	N;INDF;FEM;PL
ελληνικά	гръцки	ελληνικός	гръцки	ADV	ADJ;INDF;MASC;SG
ελληνικά	грък	ελληνικός	грък	ADV	N;INDF;MASC;SG
ελληνικά	гръцка	ελληνικός	гръцки	ADV	ADJ;INDF;FEM;SG
δυνάμεις	пауърс	δύναμη	пауърс	N;NOM;FEM;PL	N;INDF;MASC;SG
γαλλία	франция	γαλλία	франция	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
ελληνικό	гръцко	ελληνικός	гръцко	ADJ;NOM;NEUT;SG	ADV
ελληνικό	грък	ελληνικός	грък	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
ευρώπη	европа	ευρώπη	европа	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
γνωστό	известни	γνωστός	известен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
γνωστό	познат	γνωστός	познат	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
παγκόσμιο	световно	παγκόσμιος	световен	ADJ;NOM;NEUT;SG	ADV
παγκόσμιο	глобални	παγκόσμιος	глобален	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
παγκόσμιο	глобално	παγκόσμιος	глобален	ADJ;NOM;NEUT;SG	ADV
παραπάνω	над	παραπάνω	над	ADV	ADP
πρότυπο	стандартна	πρότυπο	стандартен	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
πρότυπο	стандартни	πρότυπο	стандартен	N;NOM;NEUT;SG	ADJ;INDF;PL
πρότυπο	стандартно	πρότυπο	стандартен	N;NOM;NEUT;SG	ADV
πρότυπο	стандартен	πρότυπο	стандартен	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
εταιρεία	company	εταιρεία	company	N;NOM;FEM;SG	NUM;INDF;PL
σώμα	телесно	σώμα	телесно	N;NOM;NEUT;SG	ADV
πρωτεύουσα	капитали	πρωτεύουσα	капитал	N;NOM;FEM;SG	N;INDF;MASC;PL
παράλληλα	успоредни	παράλληλα	успореден	ADV	ADJ;INDF;PL
παράλληλα	паралелна	παράλληλα	паралелен	ADV	ADJ;INDF;FEM;SG
παράλληλα	паралелни	παράλληλα	паралелен	ADV	ADJ;INDF;PL
σύνολο	общо	σύνολο	общо	N;NOM;NEUT;SG	ADV
σύνολο	общ	σύνολο	общ	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
σύνολο	обща	σύνολο	общ	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
γνωστή	известни	γνωστός	известен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
γνωστή	познат	γνωστός	познат	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
επιτυχία	успехи	επιτυχία	успех	N;NOM;FEM;SG	N;INDF;MASC;PL
γερμανία	германия	γερμανία	германия	PROPN;ACC;FEM;SG	PROPN;INDF;FEM;SG
άλλους	другите	άλλος	друг	PRO;NOM;MASC;PL;3	ADJ;DEF;PL
άλλους	други	άλλος	друг	PRO;NOM;MASC;PL;3	ADJ;INDF;PL
πίσω	гръб	πίσω	гръб	ADV	N;INDF;MASC;SG
δημιουργία	създайте	δημιουργία	създам	N;ACC;FEM;SG	V;PFV;IMP;PL;2;FIN
αρχή	започнете	αρχή	започна	N;NOM;FEM;SG	V;PFV;IMP;PL;2;FIN
αρχή	правомощия	αρχή	правомощие	N;NOM;FEM;SG	N;INDF;NEUT;PL
άδεια	празно	άδεια	празен	N;NOM;FEM;SG	ADV
άδεια	празен	άδεια	празен	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
άδεια	празни	άδεια	празен	N;NOM;FEM;SG	ADJ;INDF;PL
άδεια	празна	άδεια	празная-(се)	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
σου	сю	σου	сю	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;INDF;MASC;SG
επιπλέον	допълнителни	επιπλέον	допълнителен	ADV	ADJ;INDF;PL
επιπλέον	допълнителна	επιπλέον	допълнителен	ADV	ADJ;INDF;FEM;SG
επιπλέον	допълнителен	επιπλέον	допълнителен	ADV	ADJ;INDF;MASC;SG
περισσότερα	повече	πολύς	повече	ADJ;NOM;CMPR;NEUT;PL	ADV;INDF;PL
περισσότερα	още	πολύς	още	ADJ;NOM;CMPR;NEUT;PL	ADV
αυτόν	него	αυτός	аз	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
άγιος	агиос	άγιος	агиос	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
άγιος	сейнт	άγιος	сейнт	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
άγιος	свети	άγιος	свет	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
άγιος	светица	άγιος	светица	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
άγιος	светец	άγιος	светец	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
γ΄	ііі	γ΄	ііі	N	ADJ;INDF;MASC;SG
γ΄	iii	γ΄	iii	N	ADJ;INDF;MASC;SG
τραγούδι	пея	τραγούδι	пея	N;NOM;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
τραγούδι	пее	τραγούδι	пея	N;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
τραγούδι	пеейки	τραγούδι	пеейки	N;NOM;NEUT;SG	N;INDF;FEM;PL
ιωάννης	джон	ιωάννης	джон	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
ιωάννης	йоан	ιωάννης	йоан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
ιωάννης	йоанис	ιωάννης	йоанис	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
θεσσαλονίκη	солун	θεσσαλονίκη	солун	PROPN;NOM;FEM;SG	PROPN;INDF;MASC;SG
αγγλικά	английски	αγγλικός	английски	ADV	ADJ;INDF;MASC;SG
αγγλικά	bulgarian	αγγλικός	bulgarian	ADV	N;INDF;MASC;SG
αγγλικά	англичани	αγγλικός	англичанин	ADV	N;INDF;MASC;PL
άλλοι	другите	άλλος	друг	PRO;NOM;MASC;PL;3	ADJ;DEF;PL
άλλοι	други	άλλος	друг	PRO;NOM;MASC;PL;3	ADJ;INDF;PL
κέρδισε	победи	κερδίζω	победа	V;PFV;IND;SG;3;PST;FIN;ACT	N;INDF;FEM;PL
