категория	kategori	категория	kategori	N;INDF;FEM;SG	
всички	herkese	всеки	herkes	PRO;NOM;PL	N;DAT;SG;3
всички	herkes	всеки	herkes	PRO;NOM;PL	N;NOM;SG;3
всички	herkez	всеки	herkez	PRO;NOM;PL	
семейство	family	семейство	family	N;INDF;NEUT;SG	
семейство	aile	семейство	aile	N;INDF;NEUT;SG	
започва	başlar	започвам-(се)	başla	V;IPFV;IND;SG;3;PRS;FIN;ACT	
започва	başlıyor	започвам-(се)	başla	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
започва	başlar	започвам-(се)	başla	V;IPFV;IND;SG;3;PRS;FIN;ACT	
започва	başlıyor	започвам-(се)	başla	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
македония	makedonya	македония	makedonya	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
сащ	amerika	сащ	amerik	PROPN;INDF;MASC;PL	
сащ	abd	сащ	abd	PROPN;INDF;MASC;PL	
сащ	usa	сащ	us	PROPN;INDF;MASC;PL	
над	üzeri	над	üzer	ADP	
над	bitti	над	bit	ADP	V;PFV;IND;SG;3;POS;PST
над	yukarıdaki	над	yukarıdakiki	ADP	
над	yukarıda	над	yukarı	ADP	ADJ;ESS;SG;3
над	üzeri	над	üzer	ADP	
над	üstünde	над	üst	ADP	ADJ;ESS;SG;3
над	üstü	над	üst	ADP	
над	yukarda	над	yukar	ADP	
срещу	karsi	срещу	karsi	ADP	
срещу	aleyhinde	срещу	aleyh	ADP	N;ESS;SG;3
срещу	karşı	срещу	karşı	ADP	
тези	bunlar	този	bu	DET;PL	PRO;NOM;PL;3
тези	bunları	този	bu	DET;PL	PRO;ACC;PL;3
тези	şunlar	този	şu	DET;PL	
тези	bunlar	този	bu	DET;PL	PRO;NOM;PL;3
тези	şunlar	този	şu	DET;PL	
души	ruhlar	души	ruh	N;INDF	N;NOM;PL;3
души	ruhları	души	ruh	N;INDF	N;ACC;PL;3
мини	mini	мина	mini	N;INDF;FEM;PL	
мини	mayın	мина	mayın	N;INDF;FEM;PL	
мини	maden	мина	maden	N;INDF;FEM;PL	
мини	minnie	мина	minn	N;INDF;FEM;PL	
намира	bulur	намирам-(се)	bul	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS
намира	buluyor	намирам-(се)	bul	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
република	cumhuriyet	република	cumhuriyet	N;INDF;FEM;SG	
късно	gec	късно	gec	ADV	
късно	geç	късно	geç	ADV	
май	may	май	may	PROPN;INDF;MASC;SG	
май	mayis	май	mayis	PROPN;INDF;MASC;SG	
май	mayıs	май	mayıs	PROPN;INDF;MASC;SG	
път	patika	път	patika	N;INDF;MASC;SG	
път	yol	път	yol	N;INDF;MASC;SG	
път	rota	път	rota	N;INDF;MASC;SG	
път	yol	път	yol	N;INDF;MASC;SG	
път	yol	път	yol	N;INDF;MASC;SG	
отбор	team	отбор	team	N;INDF;MASC;SG	
отбор	ekip	отбор	ekip	N;INDF;MASC;SG	
отбор	takım	отбор	takım	N;INDF;MASC;SG	
няколко	birkaç	няколко	birkaç	PRO;INDF	DET
няколко	birkaç	няколко	birkaç	PRO;INDF	DET
август	ağustos	август	ağustos	N;INDF;MASC;SG	
август	august	август	august	N;INDF;MASC;SG	
август	aug	август	aug	N;INDF;MASC;SG	
роден	doğan	родя-(се)	doğ	V;PFV;INDF;MASC;SG;V.PTCP;PASS	
роден	doğuştan	родя-(се)	doğuş	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;AT+ABL;SG;3
септември	eylül	септември	eylül	N;INDF;MASC;SG	
преди	önceki	преди	önceki	ADP	
преди	önceden	преди	önceden	ADP	ADV
преди	önce	преди	önce	ADP	
преди	öncesi	преди	önce	ADP	N;NOM;SG;3
преди	öncesinde	преди	önce	ADP	N;ESS;SG;3
името	adın	име	ad	N;DEF;NEUT;SG	
група	band	група	ban	N;INDF;FEM;SG	
група	grup	група	grup	N;INDF;FEM;SG	
група	bando	група	ban	N;INDF;FEM;SG	
група	bant	група	bant	N;INDF;FEM;SG	
група	gurup	група	gur	N;INDF;FEM;SG	
група	grup	група	grup	N;INDF;FEM;SG	
група	grubu	група	grup	N;INDF;FEM;SG	
език	dil	език	dil	N;INDF;MASC;SG	
език	dili	език	dili	N;INDF;MASC;SG	
език	dil	език	dil	N;INDF;MASC;SG	
език	dile	език	dile	N;INDF;MASC;SG	
език	dili	език	dili	N;INDF;MASC;SG	
език	lisan	език	lisan	N;INDF;MASC;SG	
юли	temmuz	юли	temmuz	N;INDF;MASC;SG	
някои	bazı	някой	bazı	PRO;NOM;PL	DET
някои	bazıları	някой	bazı	PRO;NOM;PL	
някои	bazılarını	някой	bazı	PRO;NOM;PL	PRO;ACC;PL;3
някои	kimisi	някой	kimi	PRO;NOM;PL	
тях	onlar	аз	o	PRO;ACC;PL;3	PRO;NOM;PL;3
река	river	река	riv	N;INDF;FEM;SG	PROPN;NOM;SG;3
река	nehir	река	nehir	N;INDF;FEM;SG	
река	irmak	река	irmak	N;INDF;FEM;SG	
януари	ocak	януари	ocak	N;INDF;MASC;SG	
юни	june	юни	ju	N;INDF;MASC;SG	
юни	haziran	юни	haziran	N;INDF;MASC;SG	
две	iki	два	iki	NUM;INDF;FEM;PL	
октомври	ekim	октомври	ekim	N;INDF;MASC;SG	
октомври	ekim	октомври	ekim	N;INDF;MASC;SG	
име	adın	име	ad	N;INDF;NEUT;SG	
заедно	beraber	заедно	beraber	ADV	
заедно	beraberce	заедно	beraberce	ADV	
заедно	birlikte	заедно	birlikte	ADV	
фон	von	фон	von	N;INDF;MASC;SG	
фон	geçmişi	фон	geçmiş	N;INDF;MASC;SG	
фон	arkaplan	фон	arkapla	N;INDF;MASC;SG	
американски	amerikalı	американски	amerikalı	ADJ;INDF;MASC;SG	
американски	amerikan	американски	amerikan	ADJ;INDF;MASC;SG	
американски	american	американски	american	ADJ;INDF;MASC;SG	N;NOM;SG;3
март	mart	март	mart	N;INDF;MASC;SG	
март	marş	март	marş	N;INDF;MASC;SG	
март	yürüyüş	март	yürüyüş	N;INDF;MASC;SG	
ноември	kasım	ноември	kasım	N;INDF;MASC;SG	
ноември	kasım	ноември	kasım	N;INDF;MASC;SG	
април	apr	април	apr	N;INDF;MASC;SG	
април	nişan	април	nişan	N;INDF;MASC;SG	
април	nisan	април	nisan	N;INDF;MASC;SG	
чрез	aracılığıyla	чрез	aracılık	ADP	N;INS;SG;3
чрез	via	чрез	via	ADP	PROPN;NOM;SG;3
чрез	yoluyla	чрез	yol	ADP	N;INS;SG;3
чрез	üzerinden	чрез	üzer	ADP	N;AT+ABL;SG;3
чрез	aracılığıyla	чрез	aracılık	ADP	N;INS;SG;3
чрез	yoluyla	чрез	yol	ADP	N;INS;SG;3
чрез	geçerek	чрез	geç	ADP	V;PFV;IND;POS;PRS;V.CVB
история	hikâye	история	hiku	N;INDF;FEM;SG	
история	öykü	история	öykü	N;INDF;FEM;SG	
история	masal	история	masal	N;INDF;FEM;SG	
история	tarihi	история	tarih	N;INDF;FEM;SG	
история	geçmiş	история	geç	N;INDF;FEM;SG	
различни	farkli	различен	farkli	ADJ;INDF;PL	
различни	değişik	различен	değişik	ADJ;INDF;PL	
различни	çeşitli	различен	çeşitli	ADJ;INDF;PL	
различни	çeşitli	различен	çeşitli	ADJ;INDF;PL	
без	olmadan	без	ol	ADP	V;PFV;IND;NEG;PRS;V.CVB
без	onsuz	без	onsuz	ADP	
често	sıklıkla	често	sıklık	ADV	
често	sıkça	често	sıkça	ADV	
получава	döndürür	получавам	dön	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;CAUS
февруари	şubat	февруари	şubat	N;INDF;MASC;SG	
февруари	şubat	февруари	şubat	N;INDF;MASC;SG	
работи	çalış	работя	çalış	V;IPFV;IMP;SG;2;FIN	
работи	çalışma	работя	çalış	V;IPFV;IMP;SG;2;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
работи	iş	работя	iş	V;IPFV;IMP;SG;2;FIN	N;NOM;SG;3
работи	çalışmak	работя	çalış	V;IPFV;IMP;SG;2;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
работи	çalışır	работя	çalış	V;IPFV;IMP;SG;2;FIN	
работи	çalışıyor	работя	çalış	V;IPFV;IMP;SG;2;FIN	V;PROG;IND;SG;3;POS;INFM;PRS
провинция	il	провинция	il	N;INDF;FEM;SG	
империя	empire	империя	empir	N;INDF;FEM;SG	
иван	ivan	иван	ivan	PROPN;INDF;MASC;SG	
център	merkez	център	merkez	N;INDF;MASC;SG	
център	orta	център	orta	N;INDF;MASC;SG	
център	merkez	център	merkez	N;INDF;MASC;SG	
център	orta	център	orta	N;INDF;MASC;SG	
център	centre	център	centre	N;INDF;MASC;SG	PROPN;NOM;SG;3
повече	devamı	повече	devam	ADV;INDF;PL	
повече	more	повече	more	ADV;INDF;PL	
вече	çoktan	вече	çok	ADV	ADJ;AT+ABL;SG;3
сред	arasında	сред	ara	ADP	ADJ;ESS;SG;3
три	three	три	three	NUM;INDF;PL	
страна	ülke	страна	ülke	N;INDF;FEM;SG	
страна	vatan	страна	vat	N;INDF;FEM;SG	
страна	taraf	страна	taraf	N;INDF;FEM;SG	
страна	yan	страна	yan	N;INDF;FEM;SG	
страна	side	страна	sid	N;INDF;FEM;SG	
страна	yana	страна	yan	N;INDF;FEM;SG	
население	demografik	население	demografik	N;INDF;NEUT;SG	ADJ
население	nüfus	население	nüfus	N;INDF;NEUT;SG	
завършва	bitiyor	завършвам	bit	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
завършва	biter	завършвам	bit	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS
бил	fatura	съм	fatura	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	
бил	bill	съм	bill	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	
малко	minik	малко	minik	ADV;INDF;PL	
малко	küçük	малко	küçük	ADV;INDF;PL	ADJ
хора	halk	хора	halk	N;INDF	
хора	kişiler	хора	kişi	N;INDF	N;NOM;PL;3
хора	insanlar	хора	insan	N;INDF	N;NOM;PL;3
хора	millet	хора	millet	N;INDF	
университет	üniversite	университет	üniversite	N;INDF;MASC;SG	
университет	university	университет	university	N;INDF;MASC;SG	PROPN;NOM;SG;3
германия	almanya	германия	al	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	
син	mavi	син	mavi	N;INDF;MASC;SG	
син	oğul	син	oğul	N;INDF;MASC;SG	
син	evlat	син	evlat	N;INDF;MASC;SG	
награда	ödül	награда	ödül	N;INDF;FEM;SG	
награда	ödül	награда	ödül	N;INDF;FEM;SG	
награда	ödül	награда	ödül	N;INDF;FEM;SG	
георги	georgi	георга	georgi	PROPN;INDF;MASC;SG	PROPN;NOM;SG;3
георги	georgy	георга	georgy	PROPN;INDF;MASC;SG	
георги	georgi	георга	georgi	PROPN;INDF;MASC;SG	PROPN;NOM;SG;3
голяма	büyük	голям	büyük	ADJ;INDF;FEM;SG	
голяма	big	голям	big	ADJ;INDF;FEM;SG	
голяма	buyuk	голям	buyuk	ADJ;INDF;FEM;SG	
голяма	büyük	голям	büyük	ADJ;INDF;FEM;SG	
голяма	kocaman	голям	kocaman	ADJ;INDF;FEM;SG	
италия	italya	италия	italya	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
световна	worldwide	световен	oorldi	ADJ;INDF;FEM;SG	PROPN;NOM;SG;3
край	bitir	край	bitir	ADP	V;PFV;IMP;SG;2;POS;PRS
край	son	край	son	ADP	
край	sonu	край	son	ADP	
край	bitiş	край	bitiş	ADP	
уикипедия	wikipedia	уикипедия	wikipe	N;INDF;FEM;SG	
уикипедия	vikipedi	уикипедия	vikip	N;INDF;FEM;SG	
използва	kullandığı	използвам	kullan	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;POS;PST;V.PTCP
използва	kullanıyor	използвам	kullan	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
използва	kullanılıyor	използвам	kullan	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
сезон	mevsim	сезон	mevsim	N;INDF;MASC;SG	
сезон	sezon	сезон	sezon	N;INDF;MASC;SG	
окръг	ilçe	окръг	ilçe	N;INDF;MASC;SG	
окръг	county	окръг	county	N;INDF;MASC;SG	PROPN;NOM;SG;3
окръг	bölge	окръг	bölge	N;INDF;MASC;SG	
окръг	bahşı	окръг	bahşı	N;INDF;MASC;SG	
окръг	ilçe	окръг	ilçe	N;INDF;MASC;SG	
днес	bugün	днес	bugün	ADV	N;NOM;SG;3
днес	bugünde	днес	bugün	ADV	N;ESS;SG;3
днес	bügün	днес	bügün	ADV	
днес	bugun	днес	bugun	ADV	
смъртта	olum	смърт	ol	N;DEF;FEM;SG	
смъртта	ölüm	смърт	ölüm	N;DEF;FEM;SG	
смъртта	death	смърт	death	N;DEF;FEM;SG	
франция	fransa	франция	fra	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
франция	france	франция	france	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
национален	millî	национален	millî	ADJ;INDF;MASC;SG	
национален	national	национален	national	ADJ;INDF;MASC;SG	N;DAT;SG;3
национален	ulusal	национален	ulusal	ADJ;INDF;MASC;SG	
гърция	yunanistan	гърция	yunanistan	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
вижте	gör	видя-(се)	gör	V;PFV;IMP;PL;2;FIN	V;PFV;IMP;SG;2;POS;PRS
вижте	görmek	видя-(се)	gör	V;PFV;IMP;PL;2;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
русия	rusya	русия	rusya	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
английски	ingiliz	английски	ingiliz	ADJ;INDF;MASC;SG	
английски	türkçe	английски	türkçe	ADJ;INDF;MASC;SG	
английски	turkish	английски	turkish	ADJ;INDF;MASC;SG	
английски	ingilizce	английски	ingilizce	ADJ;INDF;MASC;SG	
едно	biri	един	biri	NUM;INDF;NEUT;SG	PRO;NOM;SG;3
едно	bir	един	bir	NUM;INDF;NEUT;SG	
първи	öncelikle	първи	öncelik	ADJ;INDF;MASC;SG	N;INS;SG;3
първи	önce	първи	önce	ADJ;INDF;MASC;SG	
първи	ilk	първи	ilk	ADJ;INDF;MASC;SG	
първи	once	първи	once	ADJ;INDF;MASC;SG	
отново	tekrar	отново	tekrar	ADV	
член	üye	член	üye	N;INDF;MASC;SG	
член	yazı	член	yazı	N;INDF;MASC;SG	
височина	irtifa	височина	irtifa	N;INDF;FEM;SG	
височина	yükselme	височина	yüksel	N;INDF;FEM;SG	
височина	yükseliş	височина	yükseliş	N;INDF;FEM;SG	
височина	boy	височина	boy	N;INDF;FEM;SG	
дъщеря	kızı	дъщеря	kız	N;INDF;FEM;SG	ADJ;NOM;SG;3
дъщеря	kızım	дъщеря	kız	N;INDF;FEM;SG	ADJ;NOM;SG;3
дъщеря	kizi	дъщеря	kizi	N;INDF;FEM;SG	
там	orada	там	ora	ADV	N;ESS;SG;3
там	orda	там	ora	ADV	N;ESS;SG;3
нея	onun	аз	o	PRO;ACC;FEM;SG;3	PRO;GEN;SG;3
училище	okul	училище	okul	N;INDF;NEUT;SG	
училище	school	училище	school	N;INDF;NEUT;SG	
били	billy	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	
били	billie	съм	billie	V;IPFV;INDF;IND;PL;V.PTCP;ACT	
света	sveta	свят	sveta	N;DEF;MASC;SG	
света	world	свят	world	N;DEF;MASC;SG	
света	dünya	свят	dünya	N;DEF;MASC;SG	
света	dunya	свят	dunya	N;DEF;MASC;SG	
филми	film	филм	film	N;INDF;MASC;PL	
филми	film	филм	film	N;INDF;MASC;PL	
филми	sinema	филм	sine	N;INDF;MASC;PL	N;NOM;SG;3
александър	aleksandar	александър	aleksan	PROPN;INDF;MASC;SG	
александър	iskender	александър	iskende	PROPN;INDF;MASC;SG	
александър	alexander	александър	alerander	PROPN;INDF;MASC;SG	PROPN;NOM;SG;3
умира	ölür	умирам	ölür	V;IPFV;IND;SG;3;PRS;FIN;ACT	
умира	ölüyorum	умирам	öl	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;1;POS;INFM;PRS
умира	ölüyor	умирам	öl	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
умира	ölmek	умирам	öl	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
южна	güney	южен	güney	ADJ;INDF;FEM;SG	
южна	güneyli	южен	güneyli	ADJ;INDF;FEM;SG	
южна	güney	южен	güney	ADJ;INDF;FEM;SG	
южна	güneye	южен	güne	ADJ;INDF;FEM;SG	N;DAT;SG;3
европа	avrupa	европа	avrupa	PROPN;INDF;FEM;SG	
европа	europa	европа	europ	PROPN;INDF;FEM;SG	PROPN;NOM;SG;3
европа	avrupa	европа	avrupa	PROPN;INDF;FEM;SG	
димитър	dimitar	димитър	dimitar	PROPN;INDF;MASC;SG	
всеки	kimse	всеки	kimse	PRO;NOM;MASC;SG	N;NOM;SG;3
всеки	herkeze	всеки	herkez	PRO;NOM;MASC;SG	N;DAT;SG;3
всеки	herkese	всеки	herkes	PRO;NOM;MASC;SG	N;DAT;SG;3
всеки	herkes	всеки	herkes	PRO;NOM;MASC;SG	N;NOM;SG;3
всеки	herkez	всеки	herkez	PRO;NOM;MASC;SG	
всеки	her	всеки	her	PRO;NOM;MASC;SG	DET
всеки	herbiri	всеки	herbiri	PRO;NOM;MASC;SG	PRO;NOM;SG;3
нова	nova	нов	nova	ADJ;INDF;FEM;SG	
крал	kral	крал	kral	N;INDF;MASC;SG	
крал	king	крал	king	N;INDF;MASC;SG	
армия	ordu	армия	ordu	N;INDF;FEM;SG	
църква	church	църква	church	N;INDF;FEM;SG	PROPN;NOM;SG;3
църква	kilise	църква	kili	N;INDF;FEM;SG	
официален	resmî	официален	resmî	ADJ;INDF;MASC;SG	
официален	official	официален	official	ADJ;INDF;MASC;SG	N;NOM;SG;3
официален	resmi	официален	resmi	ADJ;INDF;MASC;SG	
официален	resmi	официален	resmi	ADJ;INDF;MASC;SG	
северна	kuzey	северен	kuzey	ADJ;INDF;FEM;SG	
северна	kuzeyde	северен	kuzeyde	ADJ;INDF;FEM;SG	N;ESS;SG;3
северна	north	северен	north	ADJ;INDF;FEM;SG	PROPN;NOM;SG;3
северна	kuzeye	северен	kuze	ADJ;INDF;FEM;SG	N;DAT;SG;3
северна	kuzey	северен	kuzey	ADJ;INDF;FEM;SG	
времето	hava	време	hava	N;DEF;NEUT;SG	
времето	vakit	време	vakit	N;DEF;NEUT;SG	
времето	time	време	tim	N;DEF;NEUT;SG	
българска	bulgar	български	bulga	ADJ;INDF;FEM;SG	
освен	hariç	освен	hariç	ADP	
освен	dışında	освен	dış	ADP	ADJ;ESS;SG;3
начин	yol	начин	yol	N;INDF;MASC;SG	
период	adet	период	adet	N;INDF;MASC;SG	
период	nokta	период	nokta	N;INDF;MASC;SG	
период	dönem	период	dön	N;INDF;MASC;SG	
резултат	puan	резултат	pu	N;INDF;MASC;SG	
резултат	skor	резултат	skor	N;INDF;MASC;SG	
резултат	sayı	резултат	say	N;INDF;MASC;SG	
резултат	sonuç	резултат	sonuç	N;INDF;MASC;SG	
данни	veri	данна	veri	N;INDF;FEM;PL	
данни	data	данна	data	N;INDF;FEM;PL	
страница	sayfa	страница	sayf	N;INDF;FEM;SG	
картинка	fotoğraf	картинка	fotoğraf	N;INDF;FEM;SG	
картинка	resim	картинка	resim	N;INDF;FEM;SG	
картинка	resmi	картинка	resmi	N;INDF;FEM;SG	
картинка	görsel	картинка	görsel	N;INDF;FEM;SG	
картинка	resim	картинка	resim	N;INDF;FEM;SG	
картинка	imaj	картинка	imaj	N;INDF;FEM;SG	
граф	graff	граф	graff	N;INDF;MASC;SG	
граф	graf	граф	graf	N;INDF;MASC;SG	
родени	doğan	родя-(се)	doğ	V;PFV;INDF;PL;V.PTCP;PASS	
родени	doğuştan	родя-(се)	doğuş	V;PFV;INDF;PL;V.PTCP;PASS	N;AT+ABL;SG;3
родени	doğdu	родя-(се)	doğ	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST
родени	doğmuş	родя-(се)	doğ	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST
родени	doğdum	родя-(се)	doğ	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;IND;SG;1;POS;PST
играе	oyun	играя	oyun	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	play	играя	play	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	oyna	играя	oyna	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	oynayın	играя	oyna	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IMP;PL;2;POS;PRS
играе	çal	играя	çal	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	oynuyor	играя	oyna	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
играе	çalar	играя	çal	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	oyunlar	играя	oyun	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;PL;3
играе	oynuyor	играя	oyna	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
играе	oynamak	играя	oyna	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
