और	وال	और	وَال		N;NOM;DEF;SG
जो	جو	जो	جُو	PRO;NOM;SG;3	
जो	من	जो	مِن	PRO;NOM;SG;3	ADP
जो	اللي	जो	لَيّ	PRO;NOM;SG;3	
रूप	المظهر	रूप	مَظهَر	N;NOM;MASC;SG;3	
कर	ضريبي	कर	ضَرِيبِيّ	V;ACT	ADJ;NOM;INDF;MASC;SG
कर	ضرائب	कर	ضَرِيبَة	V;ACT	N;NOM;INDF;PL
कर	الضرائب	कर	ضَرِيبَة	V;ACT	N;NOM;DEF;PL
कर	الضريبة	कर	ضَرِيبَة	V;ACT	N;NOM;DEF;SG
कर	ضريبة	कर	ضَرِيبَة	V;ACT	N;NOM;INDF;SG
कर	ضرائب	कर	ضَرِيبَة	V;ACT	N;NOM;INDF;PL
कर	الضرائب	कर	ضَرِيبَة	V;ACT	N;NOM;DEF;PL
नहीं	ليس	नहीं	لَيس	PART;NEG	V;PFV;MASC;SG;3;ACT
नहीं	وليس	नहीं	وليس	PART;NEG	
नहीं	مش	नहीं	مش	PART;NEG	
साथ	w	साथ	!	ADV;NOM;MASC;SG;3	
साथ	مع	साथ	مَعَ	ADV;NOM;MASC;SG;3	ADP;ACC
साथ	سويا	साथ	سُويَا	ADV;NOM;MASC;SG;3	
साथ	سوية	साथ	سُوِيّ	ADV;NOM;MASC;SG;3	
साथ	معا	साथ	مَعًا	ADV;NOM;MASC;SG;3	
पूर्व	شرقي	पूर्व	شَرقِيّ	ADV;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
पूर्व	ايست	पूर्व	أَيسَت	ADV;NOM;MASC;SG;3	
पूर्व	شرق	पूर्व	شَرق	ADV;NOM;MASC;SG;3	N;NOM;INDF;SG
पूर्व	الشرق	पूर्व	شَرق	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
पूर्व	شرقا	पूर्व	شِرق	ADV;NOM;MASC;SG;3	N;ACC;INDF;SG
पूर्व	الشرقية	पूर्व	شَرقِيّ	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
पूर्व	سابق	पूर्व	سَابِق	ADV;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
पूर्व	السابق	पूर्व	سَابِق	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
बाद	لاحقا	बाद	لَاحِق	ADV;NOM;MASC;SG;3	ADJ;ACC;INDF;MASC;SG
बाद	لاحق	बाद	لَاحِق	ADV;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
बाद	بعدما	बाद	بَعدَمَا	ADV;NOM;MASC;SG;3	CONJ
बाद	بعد	बाद	بَعدَ	ADV;NOM;MASC;SG;3	ADP;NOM
तक	حتى	तक	حَتَّى	CONJ	ADV
अपने	امتلك	अपना	اِمتَلَك	PRO;NOM;MASC	V;PFV;MASC;SG;3;ACT
अपने	تك	अपना	تك	PRO;NOM;MASC	
जिले	المناطق	जिला	مِنطَقَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
जिले	المقاطعات	जिला	مُقَاطَعَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
जिले	مقاطعات	जिला	مُقَاطَعَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
था	كانت	था	كَان	V;MASC;IND;SG;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
था	كان	था	كَان	V;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
राज्य	دول	राज्य	دَولَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
राज्य	الولايات	राज्य	وِلَايَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
राज्य	الدول	राज्य	دَولَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
बाहरी	خارجية	बाहरी	خَارِجِيَّة	ADJ;NOM	N;NOM;INDF;SG
बाहरी	الخارجية	बाहरी	خَارِجِيَّة	ADJ;NOM	N;NOM;DEF;SG
बाहरी	خارجية	बाहरी	خَارِجِيَّة	ADJ;NOM	N;NOM;INDF;SG
बाहरी	النزهات	बाहरी	نِزهَة	ADJ;NOM	N;NOM;DEF;PL
कुछ	البعض	कुछ	بَعض	DET	N;NOM;DEF;SG
कुछ	بعض	कुछ	بَعض	DET	N;NOM;INDF;SG
कुछ	شيء	कुछ	شَيء	DET	N;NOM;INDF;SG
कुछ	شئ	कुछ	شئ	DET	N;NOM;INDF;SG
कुछ	حاجه	कुछ	حَاجَه	DET	
कुछ	شي	कुछ	شي	DET	
ईसा	يسوع	ईसा	يسوع	N;NOM;MASC;SG;3	
गाँव	قرية	गाँव	قَريَة	N;NOM;MASC;PL;3	N;NOM;INDF;SG
गाँव	القرية	गाँव	قَريَة	N;NOM;MASC;PL;3	N;NOM;DEF;SG
सरकार	تزحف	सरकार	زَحَف	N;NOM;FEM;SG;3	V;IPFV;FEM;IND;SG;3;FIN;ACT
सरकार	الحكومات	सरकार	حُكُومَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
प्रदेश	الاقليم	प्रदेश	إِقلِيم	N;NOM;MASC;SG;3	
प्रदेश	اقليم	प्रदेश	اقليم	N;NOM;MASC;SG;3	
दिया	نظرا	दे	نَظَر	V;PFV;MASC;SG;V.PTCP;ACT	N;ACC;INDF;SG
दिया	وهب	दे	وَهَب	V;PFV;MASC;SG;V.PTCP;ACT	
दिया	اعطيت	दे	أَعطَى	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;FEM;SG;3;PASS
अन्य	اخرى	अन्य	آخَر	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
अन्य	اخرون	अन्य	آخَر	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;PL
अन्य	اخرين	अन्य	آخَر	N;NOM;MASC;SG;3	ADJ;ACC;INDF;MASC;PL
अन्य	الاخرون	अन्य	آخَر	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;PL
जा	jaa	जा	ثَظّ	V;ACT	
वर्ष	السنين	वर्ष	سَنَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
वर्ष	اعوام	वर्ष	عَام	N;NOM;MASC;SG;3	N;NOM;INDF;PL
वर्ष	سنين	वर्ष	سَنَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
वर्ष	السنوات	वर्ष	سَنَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
वर्ष	سنوات	वर्ष	سَنَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
वे	هم	वह	هُوَ	PRO;NOM;SG;3	PRO;NOM;MASC;PL;3
वे	انهم	वह	اِنهَمّ	PRO;NOM;SG;3	
प्रकार	انواع	प्रकार	نَوع	N;NOM;MASC;SG;3	N;NOM;INDF;PL
प्रकार	الانواع	प्रकार	نَوع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
भारतीय	هندية	भारतीय	هِندِيّ	PROPN;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
भारतीय	هندي	भारतीय	هِندِيّ	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
भारतीय	الهندية	भारतीय	الهندية	PROPN;NOM;SG;3	
भारतीय	الهندي	भारतीय	هِندِيّ	PROPN;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
किसी	شخص	कोई	شَخص	PRO;ACC;SG;3	N;NOM;INDF;SG
किसी	احد	कोई	أَحَد	PRO;ACC;SG;3	N;NOM;INDF;SG
क्षेत्र	الاقليم	क्षेत्र	إِقلِيم	N;NOM;MASC;SG;3	
क्षेत्र	اقليم	क्षेत्र	اقليم	N;NOM;MASC;SG;3	
क्षेत्र	المجالات	क्षेत्र	مَجَال	N;NOM;MASC;SG;3	N;NOM;DEF;PL
क्षेत्र	مجالات	क्षेत्र	مَجَال	N;NOM;MASC;SG;3	N;NOM;INDF;PL
क्षेत्र	مناطق	क्षेत्र	مِنطَقَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
क्षेत्र	المناطق	क्षेत्र	مِنطَقَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अधिक	المزيد	अधिक	مَزِيد	DET	N;NOM;DEF;SG
अधिक	اكتر	अधिक	أَكتَر	DET	
अधिक	اكثر	अधिक	أَكثَر	DET	ADJ;NOM;INDF;MASC;SG
अधिक	مزيد	अधिक	مَزِيد	DET	N;NOM;INDF;SG
कई	كثير	कई	كَثِير	DET	ADJ;NOM;INDF;MASC;SG
कई	العديد	कई	عَدِيد	DET	ADJ;NOM;DEF;MASC;SG
कई	الكثيرون	कई	كَثِير	DET	ADJ;NOM;DEF;MASC;PL
कई	كثيرون	कई	كَثِير	DET	ADJ;NOM;INDF;MASC;PL
कई	الكثير	कई	كَثِير	DET	ADJ;NOM;DEF;MASC;SG
कई	عدة	कई	عِدَّة	DET	N;NOM;INDF;SG
मण्डल	منطقة	मण्डल	مِنطَقَة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
मण्डल	المنطقة	मण्डल	مِنطَقَة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
आधिकारिक	مسؤول	आधिकारिक	مَسؤُول	ADJ	N;NOM;INDF;SG
कारण	دواعي	कारण	دَاعِي	N;NOM;MASC;SG;3	N;NOM;INDF;PL
कारण	الاسباب	कारण	سَبَب	N;NOM;MASC;SG;3	N;NOM;DEF;PL
कारण	الاسباب	कारण	سَبَب	N;NOM;MASC;SG;3	N;NOM;DEF;PL
होने	كونك	हो	كُونك	V;MASC;NFIN;ACT	
जैसे	مثل	जैसे	مِثلَ	CONJ	ADP;NOM
जैसे	لايك	जैसे	لَايك	CONJ	
उनके	هم	वह	هُوَ	PRO;MASC;SG;3;FORM	PRO;NOM;MASC;PL;3
सबसे	معظم	सबसे	مُعظَم	ADJ;NOM	N;NOM;INDF;SG
सबसे	اغلب	सबसे	أَغلَب	ADJ;NOM	
हिन्दी	هندية	हिन्दी	هِندِيّ	PROPN;NOM;FEM;SG;3	ADJ;NOM;INDF;FEM;SG
हिन्दी	هندي	हिन्दी	هِندِيّ	PROPN;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG
हिन्दी	الهندية	हिन्दी	الهندية	PROPN;NOM;FEM;SG;3	
बहुत	جدا	बहुत	جِدّ	DET	N;ACC;INDF;SG
पहले	قبل	पहले	قَبلَ	ADV;NOM;MASC;SG;3	ADP;ACC
पहले	اول	पहले	أَوَّل	ADV;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
पहले	اولا	पहले	أَوَّل	ADV;NOM;MASC;SG;3	ADJ;ACC;INDF;MASC;SG
पहले	الاول	पहले	أَوَّل	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
पहले	الاولى	पहले	أَوَّل	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
अपनी	امتلك	अपना	اِمتَلَك	PRO;NOM;FEM	V;PFV;MASC;SG;3;ACT
दो	اثنان	दो	اِثنَان	NUM	N;NOM;INDF;SG
जब	حين	जब	حِينَ	PRO;NOM	ADP;ACC
जब	عندما	जब	عِندَمَا	PRO;NOM	CONJ
जब	متى	जब	مَتَى	PRO;NOM	DET
उन्होंने	هم	वह	هُوَ	PRO;SG;3;FORM	PRO;NOM;MASC;PL;3
उन्होंने	انهم	वह	اِنهَمّ	PRO;SG;3;FORM	
उन्होंने	المصريين	वह	مِصرِيّ	PRO;SG;3;FORM	N;NOM;DEF;PL
जन्म	تولد	जन्म	تَوَلُّد	N;NOM;MASC;SG;3	V;IPFV;FEM;IND;SG;3;FIN;ACT
जन्म	يولد	जन्म	وَلَّد	N;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;3;FIN;ACT
जन्म	ولدت	जन्म	وَلَد	N;NOM;MASC;SG;3	V;PFV;FEM;SG;3;PASS
कोई	كوي	कोई	كَوَى	PRO;NOM;SG;3	
कोई	اي	कोई	أَي	PRO;NOM;SG;3	CONJ
कोई	اية	कोई	أَيّ	PRO;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
इन	نزل	यह	نَزَل	DET;ACC;PL;3	V;PFV;MASC;SG;3;ACT
लेकिन	لكن	लेकिन	لكن	CONJ	
लेकिन	بس	लेकिन	بِسّ	CONJ	
लेकिन	ولكن	लेकिन	ولكن	CONJ	
ये	هذا	यह	هٰذَا	PRO;NOM;PL;3	DET;NOM;MASC;SG
ये	هذه	यह	هٰذَا	PRO;NOM;PL;3	DET;NOM;FEM;SG
ये	هؤلاء	यह	هٰذَا	PRO;NOM;PL;3	DET;NOM;MASC;PL
ये	هذه	यह	هٰذَا	PRO;NOM;PL;3	DET;NOM;FEM;SG
कम	منخفض	कम	مُنخَفِض	DET	ADJ;NOM;INDF;MASC;SG
कम	منخفضة	कम	مُنخَفِض	DET	ADJ;NOM;INDF;FEM;SG
कम	تدني	कम	تَدَنِّي	DET	N;NOM;INDF;SG
कम	انخفاض	कम	اِنخِفَاض	DET	N;NOM;INDF;SG
कम	اقل	कम	أَقَلّ	DET	ADJ;NOM;INDF;MASC;SG
लोग	ناس	लोग	نَاسِي	N;NOM;MASC;PL;3	
आदि	الخ	आदि	خَىخ	PART	
आदि	المزيد	आदि	مَزِيد	PART	N;NOM;DEF;SG
आदि	اكتر	आदि	أَكتَر	PART	
आदि	اكثر	आदि	أَكثَر	PART	ADJ;NOM;INDF;MASC;SG
आदि	مزيد	आदि	مَزِيد	PART	N;NOM;INDF;SG
आदि	ادى	आदि	أَدَّى	PART	V;PFV;MASC;SG;3;ACT
आदि	عدي	आदि	عدي	PART	
उसके	ده	वह	دٰهٰ	PRO;MASC;SG;3	
उसके	لها	वह	لها	PRO;MASC;SG;3	
उसके	هي	वह	هُوَ	PRO;MASC;SG;3	PRO;NOM;FEM;SG;3
प्राचीन	القدماء	प्राचीन	قَدِيم	ADJ;NOM	N;NOM;DEF;PL
देखें	شاهد	देख	شَاهَد	V;SBJV;PL;FIN;ACT	
देखें	ساعة	देख	سَاعَة	V;SBJV;PL;FIN;ACT	N;NOM;INDF;SG
देखें	راقب	देख	رَاقِب	V;SBJV;PL;FIN;ACT	
देखें	مشاهدة	देख	مُشَاهَدَة	V;SBJV;PL;FIN;ACT	N;NOM;INDF;SG
देखें	شاهد	देख	شَاهَد	V;SBJV;PL;FIN;ACT	
देखें	ترى	देख	رَأَى	V;SBJV;PL;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
देखें	عرض	देख	عَرض	V;SBJV;PL;FIN;ACT	N;NOM;INDF;SG
देखें	منظر	देख	مُنَظِّر	V;SBJV;PL;FIN;ACT	N;NOM;INDF;SG
देखें	اعرض	देख	أَعرَض	V;SBJV;PL;FIN;ACT	
उत्तर	اجابة	उत्तर	إِجَابَة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
उत्तर	الاجابة	उत्तर	إِجَابَة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
उत्तर	جواب	उत्तर	جَابّ	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
उत्तर	الجواب	उत्तर	جَوَاب	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
उत्तर	نورث	उत्तर	نورث	PROPN;NOM;MASC;SG;3	
उत्तर	شمالي	उत्तर	شمالي	PROPN;NOM;MASC;SG;3	
उत्तर	شمال	उत्तर	شَمَال	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
उत्तर	شمالا	उत्तर	شَمَال	PROPN;NOM;MASC;SG;3	N;ACC;INDF;SG
उत्तर	الشمال	उत्तर	شَمَال	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
उत्तर	الاجابات	उत्तर	إِجَابَة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;PL
उत्तर	اجابات	उत्तर	إِجَابَة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;PL
भाषा	لغات	भाषा	لُغَة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
भाषा	اللغات	भाषा	لُغَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
लिये	لاجل	ले	لاجل	V;PFV;MASC;SG;V.PTCP;ACT	
सभी	كلهم	सब	كلهم	PRO;NOM;3	
सभी	كله	सब	كٰلِهَ	PRO;NOM;3	
सभी	جميع	सब	جَمِيع	PRO;NOM;3	N;NOM;INDF;SG
सभी	كل	सब	كُلّ	PRO;NOM;3	N;NOM;INDF;SG
सभी	الكل	सब	كُلّ	PRO;NOM;3	
प्राप्त	استقبل	प्राप्त	اِستَقبَل	ADJ	V;PFV;MASC;SG;3;ACT
प्राप्त	تلقت	प्राप्त	تَلَقَّى	ADJ	V;PFV;FEM;SG;3;ACT
प्राप्त	استلام	प्राप्त	اِستِلَام	ADJ	N;NOM;INDF;SG
प्राप्त	وردت	प्राप्त	وَرَد	ADJ	V;PFV;FEM;SG;3;ACT
प्राप्त	ورد	प्राप्त	وَرَد	ADJ	
प्राप्त	تستلم	प्राप्त	اِستَلَم	ADJ	V;IPFV;FEM;IND;SG;3;FIN;ACT
प्राप्त	استلام	प्राप्त	اِستِلَام	ADJ	N;NOM;INDF;SG
प्राप्त	تلقي	प्राप्त	تلقي	ADJ	
प्राप्त	تستقبل	प्राप्त	اِستَقبَل	ADJ	V;IPFV;FEM;IND;SG;3;FIN;ACT
प्रयोग	التجارب	प्रयोग	تَجرِبَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
प्रयोग	تجارب	प्रयोग	تَجرِبَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
शामिल	يشمل	शामिल	شَمِل	ADJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
शामिल	يتضمن	शामिल	تَضَمَّن	ADJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
शामिल	تتضمن	शामिल	تَضَمَّن	ADJ	V;IPFV;FEM;IND;SG;3;FIN;ACT
शामिल	تشمل	शामिल	شَمِل	ADJ	V;IPFV;FEM;IND;SG;3;FIN;ACT
शामिल	شملت	शामिल	شَمَل	ADJ	V;PFV;FEM;SG;3;ACT
शामिल	المدرجة	शामिल	مَدرَجَة	ADJ	N;NOM;DEF;SG
शामिल	شمل	शामिल	شَمِل	ADJ	V;PFV;MASC;SG;3;ACT
शामिल	مدرج	शामिल	مُدَرِّج	ADJ	N;NOM;INDF;SG
शामिल	تشمل	शामिल	شَمِل	ADJ	V;IPFV;FEM;IND;SG;3;FIN;ACT
शामिल	تضمين	शामिल	تَضمِين	ADJ	N;NOM;INDF;SG
उन्हें	هم	वह	هُوَ	PRO;SG;3;FORM	PRO;NOM;MASC;PL;3
उस	هذا	वह	هٰذَا	DET;ACC;SG;3	DET;NOM;MASC;SG
उस	ذلك	वह	ذلك	DET;ACC;SG;3	
स्थान	اماكن	स्थान	إِمكَان	N;NOM;MASC;SG;3	N;NOM;INDF;PL
स्थान	الاماكن	स्थान	مَكَان	N;NOM;MASC;SG;3	N;NOM;DEF;PL
स्थान	مواقع	स्थान	مَوقِع	N;NOM;MASC;SG;3	N;NOM;INDF;PL
स्थान	المواقع	स्थान	مَوقِع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
प्रमुख	رائد	प्रमुख	رائد	N;NOM;MASC;SG;3	
प्रमुख	ماجور	प्रमुख	ماجور	N;NOM;MASC;SG;3	
प्रमुख	رئيسية	प्रमुख	رَئِيسِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
प्रमुख	الرئيسية	प्रमुख	رَئِيسِيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
हुई	هوي	हो	هوي	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	شاطئ	बीच	شَاطِئ	ADV;NOM;MASC;SG;3	N;NOM;INDF;SG
बीच	شاطيء	बीच	شَاطِيّ	ADV;NOM;MASC;SG;3	N;NOM;INDF;SG
बीच	الشاطئ	बीच	شَاطِئ	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
बीच	بيتش	बीच	بيتش	ADV;NOM;MASC;SG;3	
बीच	الشاطيء	बीच	شَاطِيء	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
बीच	سنتر	बीच	سنتر	ADV;NOM;MASC;SG;3	
बीच	المركز	बीच	مَركَز	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
बीच	المنتصف	बीच	مُنتَصَف	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
बीच	الوسط	बीच	وَسط	ADV;NOM;MASC;SG;3	N;NOM;DEF;SG
बीच	مركز	बीच	مَركَز	ADV;NOM;MASC;SG;3	N;NOM;INDF;SG
गए	رحلت	जा	رَحَل	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;FEM;SG;3;ACT
गए	رحل	जा	رَحَل	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
गए	ذهب	जा	ذَهَب	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
गए	ذهبت	जा	ذَهَب	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;FEM;SG;3;ACT
गए	رحت	जा	رَحَت	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;FEM;SG;3;ACT
मुख्य	رئيس	मुख्य	رَئِيس	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
मुख्य	الرئيس	मुख्य	رَئِيس	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
मुख्य	الزعيم	मुख्य	زَعِيم	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
मुख्य	رئيسية	मुख्य	رَئِيسِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
मुख्य	الرئيسية	मुख्य	رَئِيسِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
थी	كانت	था	كَان	V;FEM;IND;SG;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
थी	كان	था	كَان	V;FEM;IND;SG;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
उसे	له	वह	هُوَ	PRO;SG;3	
उसे	هو	वह	هُوَ	PRO;SG;3	PRO;NOM;MASC;SG;3
उसे	لها	वह	لها	PRO;SG;3	
उसे	هي	वह	هُوَ	PRO;SG;3	PRO;NOM;FEM;SG;3
कार्य	المهام	कार्य	مَهَمَّة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
कार्य	مهام	कार्य	مَهَمَّة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
कार्य	شغل	कार्य	شَغَل	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
कार्य	اعمل	कार्य	عَمَل	N;NOM;MASC;SG;3	
कार्य	الوظائف	कार्य	وَظِيفَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
कार्य	وظائف	कार्य	وَظِيفَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
नगर	تاون	नगर	تَاون	N;NOM;MASC;SG;3	
नगर	المدينه	नगर	المدينه	N;NOM;MASC;SG;3	
नगर	سيتي	नगर	سِيتِي	N;NOM;MASC;SG;3	
नगर	ناجر	नगर	ناجر	N;NOM;MASC;SG;3	
उपयोग	استعمل	उपयोग	اِستَعمَل	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
उपयोग	استخدم	उपयोग	اِستَخدَم	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
उपयोग	الاستخدامات	उपयोग	اِستِخدَام	N;NOM;MASC;SG;3	N;NOM;DEF;PL
उपयोग	استخدامات	उपयोग	اِستِخدَام	N;NOM;MASC;SG;3	N;NOM;INDF;PL
लोगों	اشخاص	लोग	شَخص	N;ACC;MASC;PL;3	N;NOM;INDF;PL
लोगों	اناس	लोग	اناس	N;ACC;MASC;PL;3	N;NOM;INDF;PL
लोगों	الاشخاص	लोग	شَخص	N;ACC;MASC;PL;3	N;NOM;DEF;PL
लोगों	الناس	लोग	إِنسَان	N;ACC;MASC;PL;3	N;NOM;DEF;PL
लोगों	ناس	लोग	نَاسِي	N;ACC;MASC;PL;3	
काम	اعمل	काम	عَمَل	N;NOM;MASC;SG;3	
जीवन	lif	जीवन	قَثحَة	N;NOM;MASC;SG;3	
विश्व	العالمي	विश्व	عَالَمِيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	
भाग	الاقسام	भाग	قِسم		N;NOM;DEF;PL
भाग	اقسام	भाग	قِسم		N;NOM;INDF;PL
भाग	جزء	भाग	جُزء		N;NOM;INDF;SG
भाग	الجزء	भाग	جُزء		N;NOM;DEF;SG
भाग	اجزاء	भाग	جُزء		N;NOM;INDF;PL
भाग	الاجزاء	भाग	جُزء		N;NOM;DEF;SG
निर्माण	خلق	निर्माण	خَلَق	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
निर्माण	بناء	निर्माण	بِنَاء	N;NOM;MASC;SG;3	N;ACC;INDF;SG
निर्माण	الانشاءات	निर्माण	إِنشَاء	N;NOM;MASC;SG;3	N;NOM;DEF;PL
निर्माण	بناء	निर्माण	بِنَاء	N;NOM;MASC;SG;3	N;ACC;INDF;SG
निर्माण	نبني	निर्माण	نبني	N;NOM;MASC;SG;3	
दोनों	كلاهما	दो	كلاهما	N;ACC;MASC;PL;3	
राष्ट्रीय	الوطنية	राष्ट्रीय	وَطَنِيَّة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
राष्ट्रीय	ناشيونال	राष्ट्रीय	ناشيونال	PROPN;NOM;MASC;SG;3	
राष्ट्रीय	وطنية	राष्ट्रीय	وَطَنِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
राष्ट्रीय	وطني	राष्ट्रीय	وَطَنِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
जानकारी	in	जानकारी	مَثّ	N;NOM;FEM;SG;3	
