月	moon	月	moko	N	
前	ennen	前	ennen	N	ADV
家	kotona	家	kotona	N	ADV
近	läheltä	近	läheltä		ADV
近	lähellä	近	lähellä		ADV
近	lähelle	近	lähelle		ADV
米	rice	米	rice	N	PROPN;NOM;SG
多	lisää	多	lisää		ADV
多	enemmän	多	enemmän		ADV
使用	käyttö	使用	käyttö	V	N;NOM;SG
使用	käyttö	使用	käyttö	V	N;NOM;SG
使用	käyttö	使用	käyttö	V	N;NOM;SG
基	kei	基	kei	V	PROPN;NOM;SG
王	king	王	king	PROPN	
王	kuningas	王	kuningas	PROPN	N;NOM;SG
王	kunkku	王	kunkku	PROPN	N;NOM;SG
王	wang	王	wang	PROPN	PROPN;NOM;SG
林	lam	林	lam	PROPN	N;NOM;SG
林	lin	林	lin	PROPN	N;NOM;SG
李	leen	李	lehrä	PROPN	N;GEN;SG
李	lee	李	olla	PROPN	PROPN;NOM;SG
一	one	一	oni	NUM	
西	west	西	west	N	PROPN;NOM;SG
西	läntinen	西	läntinen	N	ADJ;NOM;SG
卡	cards	卡	cards	PROPN	
卡	kortit	卡	kortti	PROPN	N;NOM;PL
卡	kortteja	卡	kortti	PROPN	N;PRT;PL
卡	korttia	卡	kortti	PROPN	N;PRT;SG
卡	kortin	卡	kortti	PROPN	N;GEN;SG
卡	kortti	卡	kortti	PROPN	N;NOM;SG
小	pieni	小	pieni	PART	ADJ;NOM;SG
小	pienet	小	pieni	PART	ADJ;NOM;PL
小	pieni	小	pieni	PART	ADJ;NOM;SG
小	pikku	小	pikku	PART	ADJ
小	vähä	小	vähän	PART	ADV
相似	samanlaisia	相似	samanlainen	V	ADJ;PRT;PL
相似	samankaltaiset	相似	samankaltainen	V	ADJ;NOM;PL
相似	samankaltaista	相似	samankaltainen	V	ADJ;PRT;SG
相似	samanlaiset	相似	samanlainen	V	ADJ;NOM;PL
相似	samanlainen	相似	samanlainen	V	ADJ;NOM;SG
相似	samankaltainen	相似	samankaltainen	V	ADJ;NOM;SG
相似	samankaltaisuus	相似	samankaltaisuus	V	N;NOM;SG
四	nelonen	四	nelonen	NUM	N;NOM;SG
道	dao	道	dao	PROPN	N;NOM;SG
將	will	將	will	V;CAUS	
將	tahto	將	tahto	V;CAUS	N;NOM;SG
高	high	高	high	PROPN	N;NOM;SG
高	korkea	高	korkea	PROPN	ADJ;NOM;SG
高	korkeat	高	korkea	PROPN	ADJ;NOM;PL
高	korkealla	高	korkea	PROPN	ADJ;AT+ESS
;SG
高	pitkä	高	pitkä	PROPN	ADJ;NOM;SG
高	gao	高	gao	PROPN	N;NOM;SG
美國	america	美國	america	PROPN	
美國	amerikan	美國	amerikka	PROPN	N;GEN;SG
美國	amerikka	美國	amerikka	PROPN	N;NOM;SG
集	määritä	集	määrittää	N	V;IMP;SG;2;FIN;ACT
集	asettaa	集	asettaa	N	V;IND;SG;FIN;ACT
集	aseta	集	asettaa	N	V;IMP;SG;2;FIN;ACT
集	asetettu	集	asettaa	N	V;NOM;SG;V.PTCP;PASS
台灣	taiwanin	台灣	taiwan	PROPN	N;GEN;SG
台灣	taiwan	台灣	taiwa	PROPN	N;NOM;SG
台灣	taiwanissa	台灣	taiwan	PROPN	N;IN+ESS;SG
布	kangas	布	kangas		N;NOM;SG
布	kankaalla	布	kangas		N;AT+ESS
;SG
世界	world	世界	world	N	PROPN;NOM;SG
南	nam	南	nam	N	INTJ
本	ben	本	ben		N;NOM;SG
本	benin	本	benin		V;IND;SG;1;PRS;FIN;ACT
金	jin	金	jin	PROPN	PROPN;NOM;SG
金	kultaa	金	kulta	PROPN	N;PRT;SG
金	kulta	金	kulta	PROPN	N;NOM;SG
金	kullan	金	kulta	PROPN	N;GEN;SG
金	kimi	金	kimi	PROPN	PROPN;NOM;SG
金	kim	金	kim	PROPN	PROPN;NOM;SG
曾	zeng	曾	zeng	ADV	N;NOM;SG
文	wen	文	wen	N	PROPN;NOM;SG
林	lincoln	林	lincoln	PROPN	N;NOM;SG
林	lincolnin	林	lincoln	PROPN	N;GEN;SG
峰	huippu	峰	huippu	PROPN	N;NOM;SG
峰	huiput	峰	huippu	PROPN	N;NOM;PL
其他	muu	其他	muu	DET	PRO;NOM;SG
其他	muut	其他	muu	DET	PRO;NOM;PL
其他	muut	其他	muu	DET	PRO;NOM;PL
其他	toiset	其他	toinen	DET	PRO;NOM;PL
其他	muita	其他	muu	DET	PRO;PRT;PL
第一	ensin	第一	ensin	NUM	ADV
第一	ensimmäinen	第一	ensimmäinen	NUM	ADJ;NOM;SG
第一	eka	第一	ensin	NUM	N;NOM;SG
第一	ensiksi	第一	ensiksi	NUM	ADV
比	suhde	比	suhde	ADP	N;NOM;SG
比	suhdeluku	比	suhdelu	ADP	N;NOM;SG
元	meta	元	meta	PROPN	N;NOM;SG
元	yuan	元	yuan	PROPN	N;NOM;SG
元	dollari	元	dollari	PROPN	N;NOM;SG
元	dollarin	元	dollari	PROPN	N;GEN;SG
元	voitin	元	voida	PROPN	V;IND;SG;1;PST;FIN;ACT
元	voitti	元	voittaa	PROPN	V;IND;SG;3;PST;FIN;ACT
元	voittanut	元	voittaa	PROPN	V;NOM;SG;V.PTCP;ACT
中國	kiinassa	中國	kiina	PROPN	N;IN+ESS;SG
中國	kiinan	中國	kiina	PROPN	N;GEN;SG
中國	kiina	中國	kiina	PROPN	N;NOM;SG
中國	kiinasta	中國	kiina	PROPN	N;IN+ABL;SG
六	kuudes	六	kuudes	NUM	ADJ;NOM;SG
主要	majuri	主要	majuri	ADV	N;NOM;SG
主要	major	主要	major	ADV	
主要	main	主要	main	ADV	N;NOM;SG
主要	pääasialliset	主要	pää#asiallinen	ADV	ADJ;NOM;PL
主要	pääasiallinen	主要	pää#asiallinen	ADV	ADJ;NOM;SG
主要	tärkein	主要	tärkeä	ADV	ADJ;NOM;RL;SG
主要	tärkeimmät	主要	tärkeä	ADV	ADJ;NOM;RL;PL
城	city	城	city	N	PROPN;NOM;SG
法	menetelmä	法	menetelmä	PROPN	N;NOM;SG
法	menetelmän	法	menetelmä	PROPN	N;GEN;SG
中心	keskelle	中心	keskelle	N	ADV
線	line	線	line	N	
第二	toisena	第二	toinen	NUM	ADJ;FRML;SG
第二	toiseksi	第二	toinen	NUM	ADJ;TRANS;SG
第二	toinen	第二	toinen	NUM	PRO;NOM;SG
山	hill	山	hillemmäk	N	PROPN;NOM;SG
加	lisää	加	lisää	ADP	ADV
加	add	加	add	ADP	N;NOM;SG
加	lisätä	加	lisätä	ADP	V;SG;NFIN;ACT
加	lisäksi	加	lisäksi	ADP	ADV
加	plus	加	plus	ADP	N;NOM;SG
加	plussaa	加	plussa	ADP	N;PRT;SG
太空	space	太空	space	N	
自己	itse	自己	itse	PRO	ADV
張	chang	張	chang	PROPN	PROPN;NOM;SG
張	zhang	張	zhang	PROPN	PROPN;NOM;SG
內	sisäinen	內	sisäinen	N	ADJ;NOM;SG
主	lordin	主	lortin	PART	N;GEN;SG
主	herra	主	herra	PART	N;NOM;SG
主	lordi	主	lordi	PART	N;NOM;SG
雷	ray	雷	ray	PROPN	PROPN;NOM;SG
管理	hallinnointi	管理	hallinnointi	V	N;NOM;SG
管理	hallinto	管理	hallinto	V	N;NOM;SG
管理	johto	管理	johto	V	N;NOM;SG
管理	hallinta	管理	hallinta	V	N;NOM;SG
管理	hallinta	管理	hallinta	V	N;NOM;SG
管理	hallinnointi	管理	hallinnointi	V	N;NOM;SG
管理	hallinnoi	管理	hallinnoida	V	N;NOM;SG
性	seksuaalista	性	seksuaalinen	N	ADJ;PRT;SG
性	seksuaalinen	性	seksuaalinen	N	ADJ;NOM;SG
成	sung	成	sung	V	N;NOM;SG
代表	edustava	代表	edustaa	N	V;NOM;SG;V.PTCP;ACT
那	sitten	那	sitten	PRO	ADV
海	ocean	海	ocea	N	
從	alkaen	從	alkaen	ADP	ADV
從	from	從	from	ADP	
原	alkuperäinen	原	alku#peräinen	PART	ADJ;NOM;SG
原	alkuperäiset	原	alku#peräinen	PART	ADJ;NOM;PL
原	hara	原	hara	PART	N;NOM;SG
政治	poliittinen	政治	poliittinen	N	ADJ;NOM;SG
星	star	星	star	N	
星	tähdellä	星	tähdellä	N	ADV
陳	chen	陳	chen	PROPN	PROPN;NOM;SG
陳	chan	陳	chan	PROPN	PROPN;NOM;SG
陳	trần	陳	trần	PROPN	N;NOM;SG
作品	toimii	作品	toimia	N	V;IND;SG;3;PRS;FIN;ACT
作品	työskentelee	作品	työskennellä	N	V;IND;SG;3;PRS;FIN;ACT
曼	mannin	曼	manti	PROPN	N;GEN;SG
曼	mann	曼	manta	PROPN	PROPN;NOM;SG
龍	dragon	龍	dragon	N	
正式	muodollista	正式	muodollinen	ADV	ADJ;PRT;SG
正式	muodollinen	正式	muodollinen	ADV	ADJ;NOM;SG
正式	muodolliset	正式	muodollinen	ADV	ADJ;NOM;PL
外	ulkona	外	ulkona	N	ADV
外	ulkopuolella	外	ulkopuolella	N	ADV
明	ming	明	ming	PROPN	N;NOM;SG
美	kaunista	美	kaunis	PROPN	ADJ;PRT;SG
美	kaunotar	美	kaunotar	PROPN	N;NOM;SG
美	kaunis	美	kaunis	PROPN	ADJ;NOM;SG
美	kauniit	美	kaunis	PROPN	ADJ;NOM;PL
美	kaunotar	美	kaunotar	PROPN	N;NOM;SG
美	ihanuus	美	ihanuus	PROPN	N;NOM;SG
美	kauneutta	美	kauneus	PROPN	N;PRT;SG
美	kauneus	美	kauneus	PROPN	N;NOM;SG
因為	koska	因為	koska	ADP	CONJ
北京	pekingin	北京	pekinki	PROPN	N;GEN;SG
北京	pekingissä	北京	pekinki	PROPN	N;IN+ESS;SG
北京	pekingin	北京	pekinki	PROPN	N;GEN;SG
目前	tämänhetkinen	目前	tämänhetkinen	N	ADJ;NOM;SG
目前	tämänhetkiset	目前	tämänhetkinen	N	ADJ;NOM;PL
目前	nykyiset	目前	nykyinen	N	ADJ;NOM;PL
目前	nykyinen	目前	nykyinen	N	ADJ;NOM;SG
所有	kaikille	所有	kaikki	DET	PRO;AT+ALL;PL
所有	kaikki	所有	kaikki	DET	PRO;NOM;SG
部分	osittainen	部分	osittainen	N	ADJ;NOM;SG
部分	osittaista	部分	osittainen	N	ADJ;PRT;SG
部分	osittain	部分	osittain	N	ADV
森	mori	森	mori	PROPN	PROPN;NOM;SG
國家	kansallinen	國家	kansallinen	N	ADJ;NOM;SG
國家	kansalliset	國家	kansallinen	N	ADJ;NOM;PL
國家	kansallisten	國家	kansallinen	N	ADJ;GEN;PL
生	raakana	生	raaka	N	ADJ;FRML;SG
生	raaka	生	raaka	N	ADJ;NOM;SG
但是	mutta	但是	mutta	ADV	CONJ
城市	city	城市	city	N	PROPN;NOM;SG
一些	osa	一些	osa	ADJ	N;NOM;SG
一些	joitakin	一些	jokin	ADJ	PRO;PRT;PL
一些	jotkut	一些	joku	ADJ	PRO;NOM;PL
長	pitkät	長	pitkä	PART	ADJ;NOM;PL
長	kauan	長	kauan	PART	ADV
長	pitkä	長	pitkä	PART	ADJ;NOM;SG
長	pitkään	長	pitkään	PART	ADV
長	long	長	long	PART	
加入	liittymistä	加入	liittyminen	V	N;PRT;SG
加入	liittyminen	加入	liittyminen	V	N;NOM;SG
英	ying	英	ying	PROPN	PROPN;NOM;SG
上海	shanghai	上海	shanghai	PROPN	PROPN;NOM;SG
史	shi	史	shi	N	PROPN;NOM;SG
第三	kolmas	第三	kolmas	NUM	ADJ;NOM;SG
第三	kolmannet	第三	kolmas	NUM	ADJ;NOM;PL
第三	kolmanneksi	第三	kolmas	NUM	ADJ;TRANS;SG
魚	kalastaa	魚	kalastaa	N	V;SG;NFIN;ACT
回	takaisin	回	takaisin	PROPN	ADV
回	selkä	回	selkä	PROPN	N;NOM;SG
回	taaksepäin	回	taaksepäin	PROPN	ADV
吉	kat	吉	kat	PROPN	N;NOM;SG
東	itäinen	東	itäinen	N	ADJ;NOM;SG
東	dong	東	dong	N	PROPN;NOM;SG
英國	englanti	英國	englanti	PROPN	N;NOM;SG
英國	englannin	英國	englanti	PROPN	N;GEN;SG
英國	englannista	英國	englanti	PROPN	N;IN+ABL;SG
英國	englannissa	英國	englanti	PROPN	N;IN+ESS;SG
周	viikon	周	viikko	PROPN	N;GEN;SG
周	viikolla	周	viikko	PROPN	N;AT+ESS
;SG
周	viikkoa	周	viikko	PROPN	N;PRT;SG
周	viikko	周	viikko	PROPN	N;NOM;SG
周	viikot	周	viikko	PROPN	N;NOM;PL
周	viikkoja	周	viikko	PROPN	N;PRT;PL
周	viikkoa	周	viikko	PROPN	N;PRT;SG
周	zhou	周	zhou	PROPN	PROPN;NOM;SG
周	chow	周	chow	PROPN	N;NOM;SG
石	shi	石	shi	N	PROPN;NOM;SG
石	stone	石	stone	N	
建立	luominen	建立	luominen	V	N;NOM;SG
建立	perustaminen	建立	perustaminen	V	N;NOM;SG
建立	luonti	建立	luonti	V	N;NOM;SG
建立	toimipaikka	建立	toimi#paikka	V	N;NOM;SG
建立	perustamista	建立	perustaminen	V	N;PRT;SG
建立	perustaminen	建立	perustaminen	V	N;NOM;SG
生活	asuminen	生活	asuminen	V	N;NOM;SG
生活	elävä	生活	elää	V	ADJ;NOM;SG
生活	eläminen	生活	eläminen	V	N;NOM;SG
生活	life	生活	life	V	
生活	elämää	生活	elämä	V	N;PRT;SG
生活	elämän	生活	elämä	V	N;GEN;SG
生活	elämä	生活	elämä	V	N;NOM;SG
派	piirakka	派	piirakka	V;CAUS	N;NOM;SG
之後	jälkeen	之後	jälkeen	N	ADV
之後	after	之後	after	N	
萬	wan	萬	wan	PROPN	PROPN;NOM;SG
國際	kansainvälisen	國際	kansain#välinen	N	ADJ;GEN;SG
國際	kansainvälinen	國際	kansain#välinen	N	ADJ;NOM;SG
國際	kansainväliset	國際	kansain#välinen	N	ADJ;NOM;PL
完成	valmis	完成	valmis	V	ADJ;NOM;SG
完成	valmiit	完成	valmis	V	ADJ;NOM;PL
完成	loppuun	完成	loppu	V	N;IN+ALL;SG
完成	done	完成	done	V	
完成	täydelliset	完成	täydellinen	V	ADJ;NOM;PL
完成	täydellinen	完成	täydellinen	V	ADJ;NOM;SG
白	valkoiset	白	valkoinen	N	ADJ;NOM;PL
白	valkoinen	白	valkoinen	N	ADJ;NOM;SG
白	valkoista	白	valkoinen	N	ADJ;PRT;SG
白	bai	白	bai	N	PROPN;NOM;SG
音樂	music	音樂	music	N	PROPN;NOM;SG
沙	sha	沙	sha	PROPN	PROPN;NOM;SG
沙	hiekkaa	沙	hiekka	PROPN	N;PRT;SG
沙	hiekan	沙	hiekka	PROPN	N;GEN;SG
沙	hiekka	沙	hiekka	PROPN	N;NOM;SG
沙	shah	沙	shah	PROPN	PROPN;NOM;SG
可能	mahdollisia	可能	mahdollinen	N	ADJ;PRT;PL
可能	mahdolliset	可能	mahdollinen	N	ADJ;NOM;PL
可能	mahdollinen	可能	mahdollinen	N	ADJ;NOM;SG
可能	mahdollista	可能	mahdollinen	N	ADJ;PRT;SG
分布	jakelu	分布	jakelu	V	N;NOM;SG
分布	jakauma	分布	jakaa	V	N;NOM;SG
分布	jakautuminen	分布	jakautuminen	V	N;NOM;SG
梅	touko	梅	touko	PROPN	N;NOM;SG
梅	toukokuu	梅	toukokuu	PROPN	N;NOM;SG
梅	voi	梅	voi	PROPN	INTJ
梅	toukokuun	梅	toukokuu	PROPN	N;GEN;SG
梅	toukokuuta	梅	toukokuu	PROPN	N;PRT;SG
梅	mei	梅	mein	PROPN	N;NOM;SG
梅	mein	梅	minä	PROPN	INTJ
中文	kiinalainen	中文	kiina#lainen	N	ADJ;NOM;SG
自由	liberty	自由	libertyä	N	
自由	ilmainen	自由	ilmainen	N	ADJ;NOM;SG
自由	vapaa	自由	vapaa	N	ADJ;NOM;SG
自由	ilmaiseksi	自由	ilmainen	N	ADJ;TRANS;SG
黃	wong	黃	wong	PROPN	PROPN;NOM;SG
黃	hwang	黃	hwang	PROPN	N;NOM;SG
黃	huang	黃	huang	PROPN	PROPN;NOM;SG
黃	keltainen	黃	keltainen	PROPN	ADJ;NOM;SG
黃	keltaisia	黃	keltainen	PROPN	ADJ;PRT;PL
黃	keltaiset	黃	keltainen	PROPN	ADJ;NOM;PL
光	kevyt	光	kevyt	N	ADJ;NOM;SG
光	light	光	light	N	
重要	merkitys	重要	merkitys	ADJ	N;NOM;SG
重要	tärkeys	重要	tärkeys	ADJ	N;NOM;SG
工程	toimii	工程	toimia	N	V;IND;SG;3;PRS;FIN;ACT
工程	työskentelee	工程	työskennellä	N	V;IND;SG;3;PRS;FIN;ACT
港	harborin	港	harbori	PROPN	N;GEN;SG
港	satama	港	satama	PROPN	N;NOM;SG
港	portti	港	portti	PROPN	N;NOM;SG
港	satamat	港	satama	PROPN	N;NOM;PL
港	satama	港	satama	PROPN	N;NOM;SG
港	harbour	港	harbour	PROPN	
列	sarake	列	sarake	V	N;NOM;SG
列	sarakkeessa	列	sarake	V	N;IN+ESS;SG
最後	last	最後	last	N	
最後	viimeisenä	最後	viimeinen	N	ADJ;FRML;SG
最後	viimeksi	最後	viimeksi	N	ADV
最後	viimeisin	最後	viimeinen	N	ADJ;NOM;RL;SG
最後	viimeinen	最後	viimeinen	N	ADJ;NOM;SG
最後	viime	最後	viime	N	ADJ
提交	toimittaminen	提交	toimittaminen	V	N;NOM;SG
提交	toimittamista	提交	toimittaminen	V	N;PRT;SG
經	sutra	經	sutra	ADP	N;NOM;SG
需要	tarve	需要	tarve	V	N;NOM;SG
需要	tarpeen	需要	tarpeen	V	ADV
需要	tarvetta	需要	tarve	V	N;PRT;SG
需要	tarpeet	需要	tarve	V	N;NOM;PL
江	joen	江	joki	PROPN	N;GEN;SG
江	joki	江	joki	PROPN	N;NOM;SG
江	jiang	江	jiang	PROPN	N;NOM;SG
臺灣	taiwanin	臺灣	taiwan	PROPN	N;GEN;SG
臺灣	taiwan	臺灣	taiwa	PROPN	N;NOM;SG
臺灣	taiwanissa	臺灣	taiwan	PROPN	N;IN+ESS;SG
臺灣	taiwanin	臺灣	taiwan	PROPN	N;GEN;SG
這	tämän	這	tämä	DET	PRO;GEN;SG
這	tätä	這	tämä	DET	PRO;PRT;SG
這	tästä	這	tämä	DET	PRO;IN+ABL;SG
這	tämä	這	tämä	DET	PRO;NOM;SG
地方	place	地方	place	N	
登	deng	登	deng	N	PROPN;NOM;SG
黑	dark	黑	dark	N	
黑	tumma	黑	tumma	N	ADJ;NOM;SG
黑	pimeä	黑	pimeä	N	ADJ;NOM;SG
黑	pimeää	黑	pimeä	N	ADJ;PRT;SG
黑	tumman	黑	tumma	N	ADJ;GEN;SG
黑	mustat	黑	musta	N	ADJ;NOM;PL
黑	black	黑	black	N	
黑	mustaa	黑	musta	N	ADJ;PRT;SG
宗	zong	宗	zong	PROPN	N;NOM;SG
清	qing	清	qing	PROPN	N;NOM;SG
最高	huippu	最高	huippu	ADJ	N;NOM;SG
最高	top	最高	top	ADJ	PROPN;NOM;SG
最高	huippua	最高	huippu	ADJ	N;PRT;SG
最高	ylä	最高	ylä	ADJ	N;NOM;SG
要求	vaatimus	要求	vaatimus	V	N;NOM;SG
要求	vaatimuksia	要求	vaatimus	V	N;PRT;PL
要求	vaatimukset	要求	vaatimus	V	N;NOM;PL
要求	vaatimuksia	要求	vaatimus	V	N;PRT;PL
要求	pyynnön	要求	pyyntö	V	N;GEN;SG
要求	pyyntö	要求	pyyntö	V	N;NOM;SG
要求	pyyntöä	要求	pyyntö	V	N;PRT;SG
要求	kysyntä	要求	kysyntä	V	N;NOM;SG
要求	vaatimus	要求	vaatimus	V	N;NOM;SG
要求	kysyntää	要求	kysyntä	V	N;PRT;SG
要求	kysynnän	要求	kysyntä	V	N;GEN;SG
要求	pyyntöjä	要求	pyyntö	V	N;PRT;PL
要求	pyynnöt	要求	pyyntö	V	N;NOM;PL
讓	jean	讓	jeka	V;CAUS	
發現	löytö	發現	löytö	V	N;NOM;SG
發現	löytöjä	發現	löytö	V	N;PRT;PL
只有	ainoastaan	只有	ainoastaan	ADP	ADV
只有	vain	只有	vain	ADP	ADV
最大	max	最大	max	ADJ	N;NOM;SG
最大	maksimi	最大	maksi#mi	ADJ	N;NOM;SG
華	hua	華	hua	PROPN	N;NOM;SG
華	wah	華	wah	PROPN	N;NOM;SG
製作	tuotanto	製作	tuotanto	V	N;NOM;SG
製作	productions	製作	productions	V	PROPN;NOM;SG
出生	synnytys	出生	synnytys	V	N;NOM;SG
出生	synty	出生	syntyä	V	N;NOM;SG
出生	syntymä	出生	syntymä	V	N;NOM;SG
朱	zhu	朱	zhu	PROPN	PROPN;NOM;SG
數	laske	數	laskea	N	V;IMP;SG;2;FIN;ACT
數	laskee	數	laskea	N	V;IND;SG;3;PRS;FIN;ACT
出版	julkaiseminen	出版	julkaiseminen	V	N;NOM;SG
出版	julkaisu	出版	julkaisu	V	N;NOM;SG
出版	julkaiseminen	出版	julkaiseminen	V	N;NOM;SG
出版	julkaisu	出版	julkaisu	V	N;NOM;SG
發展	kehittäminen	發展	kehittäminen	V	N;NOM;SG
發展	kehitystä	發展	kehitys	V	N;PRT;SG
發展	kehitys	發展	kehitys	V	N;NOM;SG
成功	onnistui	成功	onnistua	N	V;IND;SG;3;PST;FIN;ACT
成功	menestynyt	成功	menestyä	N	V;NOM;SG;V.PTCP;ACT
成功	onnistunut	成功	onnistua	N	V;NOM;SG;V.PTCP;ACT
堡	fort	堡	fort	N	
系統	system	系統	system	N	
蘭	lan	蘭	lan	PROPN	N;NOM;SG
劉	yoo	劉	yoo	PROPN	N;NOM;SG
劉	liu	劉	liu	PROPN	N;NOM;SG
劉	lau	劉	lau	PROPN	N;NOM;SG
班	joukkue	班	joukkue	PROPN	N;NOM;SG
班	ryhmä	班	ryhmä	PROPN	N;NOM;SG
康	kang	康	kang	PROPN	N;NOM;SG
島	island	島	island	PROPN	N;NOM;SG
島	saarelle	島	saari	PROPN	N;AT+ALL;SG
島	saari	島	saari	PROPN	N;NOM;SG
島	isle	島	isle	PROPN	
島	saari	島	saari	PROPN	N;NOM;SG
率	arvioi	率	arvioida	N	V;IND;SG;3;PRS;FIN;ACT
官方	virallisesti	官方	virallisesti	N	ADV
愛	rakasta	愛	rakas	V	N;PRT;SG
愛	rakkautta	愛	rakkaus	V	N;PRT;SG
愛	love	愛	love	V	
愛	rakkaus	愛	rakkaus	V	N;NOM;SG
平	litteä	平	litteä		ADJ;NOM;SG
平	tasainen	平	tasainen		ADJ;NOM;SG
平	ping	平	ping		N;NOM;SG
印度	intian	印度	inti	PROPN	N;GEN;SG
印度	intia	印度	inti	PROPN	N;NOM;SG
印度	intiaan	印度	inti	PROPN	N;IN+ALL;SG
存在	olemassaoloa	存在	olemassaolo	V	N;PRT;SG
存在	olemassaolo	存在	olemassaolo	V	N;NOM;SG
存在	läsnäolon	存在	läsnä#olo	V	N;GEN;SG
存在	läsnä	存在	läsnä	V	ADV
存在	läsnäolo	存在	läsnäolo	V	N;NOM;SG
刪除	poistaminen	刪除	poistaminen	V	N;NOM;SG
刪除	poistaminen	刪除	poistaminen	V	N;NOM;SG
刪除	poisto	刪除	poisto	V	N;NOM;SG
刪除	poistamista	刪除	poistaminen	V	N;PRT;SG
設計	mallit	設計	malli	V	N;NOM;PL
設計	suunnittelu	設計	suunnittelu	V	N;NOM;SG
設計	design	設計	design	V	N;NOM;SG
設計	muotoilu	設計	muotoilu	V	N;NOM;SG
發行	liikkeeseen	發行	liike	V	N;IN+ALL;SG
卡特	carter	卡特	carter	PROPN	PROPN;NOM;SG
命名	nimeäminen	命名	nimeäminen	V	N;NOM;SG
負責	vastuullinen	負責	vastuullinen	V	ADJ;NOM;SG
負責	vastuussa	負責	vastuu	V	N;IN+ESS;SG
負責	vastuuntuntoinen	負責	vastuuntuntoinen	V	ADJ;NOM;SG
服務	palvelujen	服務	palvelu	V	N;GEN;PL
服務	palvelut	服務	palvelu	V	N;NOM;PL
服務	palveluja	服務	palvelu	V	N;PRT;PL
服務	palvelun	服務	palvelu	V	N;GEN;SG
服務	palvelu	服務	palvelu	V	N;NOM;SG
服務	palvelua	服務	palvelu	V	N;PRT;SG
列表	lista	列表	lista		N;NOM;SG
列表	luettelo	列表	luettelo		N;NOM;SG
列表	listan	列表	lista		N;GEN;SG
列表	listaa	列表	lista		N;PRT;SG
列表	luetteloon	列表	luettelo		N;IN+ALL;SG
唐	tang	唐	tang	PROPN	N;NOM;SG
唐	don	唐	don	PROPN	PROPN;NOM;SG
西班牙	espanjan	西班牙	espanja	PROPN	N;GEN;SG
西班牙	espanja	西班牙	espanja	PROPN	N;NOM;SG
西班牙	espanjassa	西班牙	espanja	PROPN	N;IN+ESS;SG
當	kun	當	kun	ADP	CONJ
當	milloin	當	milloin	ADP	ADV
超	ultra	超	ultra	PART	N;NOM;SG
超	super	超	super	PART	
丁	ding	丁	ding	PROPN	N;NOM;SG
夏	xia	夏	xia	PROPN	INTJ
以上	yläpuolelle	以上	yläpuolelle	DET	ADV
以上	yläpuolelta	以上	yläpuolelta	DET	ADV
以上	yllä	以上	yllä	DET	ADV
以上	yläpuolella	以上	yläpuolella	DET	ADV
以上	edellä	以上	edellä	DET	ADV
聖	pyhä	聖	pyhä	PROPN	N;NOM;SG
聖	saint	聖	saada	PROPN	
聖	pyhimys	聖	pyhimys	PROPN	N;NOM;SG
志	zhi	志	zhi	N	PROPN;NOM;SG
梁	säde	梁	säde	PROPN	N;NOM;SG
