από	from	από	from	ADP	PROPN
πόλη	town	πόλη	town	N;NOM;FEM;SG	PROPN
πόλη	city	πόλη	city	N;NOM;FEM;SG	PROPN
πόλη	города	πόλη	город	N;NOM;FEM;SG	N;INAN;NOM;MASC;PL
σύνδεσμοι	связи	σύνδεσμος	связь	N;ACC;MASC;SG	N;INAN;NOM;FEM;PL
σύνδεσμοι	ссылки	σύνδεσμος	ссылка	N;ACC;MASC;SG	N;INAN;NOM;FEM;PL
μόνο	только	μόνο	только	ADV	PART
κάθε	каждая	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;NOM;FEM;SG
κάθε	каждую	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;ACC;FEM;SG
κάθε	каждый	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;NOM;MASC;SG
κάθε	каждое	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;NOM;NEUT;SG
κάθε	каждая	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;NOM;FEM;SG
κάθε	каждому	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;DAT;MASC;SG
κάθε	каждый	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;NOM;MASC;SG
κάθε	каждое	κάθε	каждый	PRO;ACC;FEM;SG;3	DET;NOM;NEUT;SG
αιώνα	век	αιώνας	век	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG
αιώνα	столетие	αιώνας	столетие	N;ACC;MASC;SG	N;INAN;NOM;NEUT;SG
αθήνα	афинах	αθήνα	афиный	PROPN;ACC;FEM;SG	N;INAN;ESS;FEM;PL
αθήνα	афины	αθήνα	афиный	PROPN;ACC;FEM;SG	N;INAN;NOM;MASC;PL
περίοδο	период	περίοδος	период	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
ελλάδα	греции	ελλάδα	греция	PROPN;ACC;FEM;SG	N;INAN;NOM;FEM;PL
ελλάδα	грецию	ελλάδα	греция	PROPN;ACC;FEM;SG	N;INAN;ACC;FEM;SG
ελλάδα	греция	ελλάδα	греция	PROPN;ACC;FEM;SG	N;INAN;NOM;FEM;SG
μέρος	частично	μέρος	частично	N;NOM;NEUT;SG	ADV
σήμερα	today	σήμερα	today	ADV	PROPN
διάρκεια	длительность	διάρκεια	длительность	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
διάρκεια	продолжительность	διάρκεια	продолжительность	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
ιστορία	story	ιστορία	story	N;NOM;FEM;SG	PROPN
ιστορία	истории	ιστορία	история	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
νέα	новинка	νέος	новинка	ADJ;NOM;NEUT;PL	N;INAN;NOM;FEM;SG
νέα	новая	νέος	новый	ADJ;NOM;NEUT;PL	ADJ;NOM;FEM;SG
νέα	новый	νέος	новый	ADJ;NOM;NEUT;PL	ADJ;NOM;MASC;SG
νέα	новых	νέος	новый	ADJ;NOM;NEUT;PL	ADJ;GEN;PL
νέα	новое	νέος	новый	ADJ;NOM;NEUT;PL	ADJ;NOM;NEUT;SG
νέα	news	νέος	news	ADJ;NOM;NEUT;PL	PROPN
νέα	новость	νέος	новость	ADJ;NOM;NEUT;PL	N;INAN;NOM;FEM;SG
νέα	новости	νέος	новость	ADJ;NOM;NEUT;PL	N;INAN;NOM;FEM;PL
περίπου	about	περίπου	about	ADV	PROPN
περίπου	о	περίπου	о	ADV	INTJ
αυτά	эти	αυτός	этот	PRO;NOM;NEUT;PL;3	DET;NOM;PL
πριν	до	πριν	до	ADV	ADP
πριν	перед	πριν	перед	ADV	ADP
εθνική	национальные	εθνικός	национальный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
εθνική	национальных	εθνικός	национальный	ADJ;NOM;FEM;SG	ADJ;GEN;PL
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	PROPN
συζήτηση	переписка	συζήτηση	переписка	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
συζήτηση	разговор	συζήτηση	разговор	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
συζήτηση	беседа	συζήτηση	беседа	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
συζήτηση	обсуждение	συζήτηση	обсуждение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
συζήτηση	дискуссия	συζήτηση	дискуссия	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
συζήτηση	обсуждения	συζήτηση	обсуждение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
συζήτηση	дискуссии	συζήτηση	дискуссия	N;ACC;FEM;SG	N;INAN;NOM;FEM;PL
συζήτηση	прений	συζήτηση	прение	N;ACC;FEM;SG	N;INAN;GEN;NEUT;PL
συζήτηση	прения	συζήτηση	прения	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
συζήτηση	дебаты	συζήτηση	дебаты	N;ACC;FEM;SG	N;INAN;NOM;MASC;PL
πρέπει	должен	πρέπει	должен	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;MASC;SG
πρέπει	должно	πρέπει	должен	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;NEUT;SG
πρέπει	должны	πρέπει	должен	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;PL
φορά	время	φορά	время	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
φορά	времени	φορά	время	N;ACC;FEM;SG	N;INAN;GEN;NEUT;SG
φορά	тайм	φορά	тайма	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
φορά	time	φορά	time	N;ACC;FEM;SG	PROPN
έλληνες	греки	έλληνας	грек	ADJ;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
έλληνες	греков	έλληνας	грек	ADJ;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
ομάδες	групп	ομάδα	группа	N;NOM;FEM;PL	N;INAN;GEN;FEM;PL
πρώτο	первый	πρώτος	первый	NUM;NOM;NEUT;SG	ADJ;NOM;MASC;SG
πρώτο	сначала	πρώτος	сначала	NUM;NOM;NEUT;SG	ADV
πρώτο	первое	πρώτος	первый	NUM;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
πρώτο	первая	πρώτος	первый	NUM;NOM;NEUT;SG	ADJ;NOM;FEM;SG
πρώτο	first	πρώτος	first	NUM;NOM;NEUT;SG	PROPN
έργο	project	έργο	project	N;NOM;NEUT;SG	PROPN
έργο	проекта	έργο	проект	N;NOM;NEUT;SG	N;INAN;GEN;MASC;SG
έργο	работы	έργο	работа	N;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
ελληνική	греки	ελληνικός	грек	ADJ;NOM;FEM;SG	N;ANIM;NOM;MASC;PL
ελληνική	греков	ελληνικός	грек	ADJ;NOM;FEM;SG	N;ANIM;GEN;MASC;PL
μεγάλη	big	μεγάλος	big	ADJ;NOM;FEM;SG	PROPN
μεγάλη	большие	μεγάλος	большой	ADJ;NOM;FEM;SG	ADJ;NOM;PL
μεγάλη	биг	μεγάλος	биг	ADJ;NOM;FEM;SG	
ταινία	ленту	ταινία	лента	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
ταινία	film	ταινία	film	N;NOM;FEM;SG	PROPN
άλλα	другой	άλλος	другой	PRO;NOM;NEUT;PL;3	ADJ;NOM;MASC;SG
άλλα	другая	άλλος	другой	PRO;NOM;NEUT;PL;3	ADJ;NOM;FEM;SG
άλλα	другое	άλλος	другой	PRO;NOM;NEUT;PL;3	ADJ;NOM;NEUT;SG
άλλα	другие	άλλος	другой	PRO;NOM;NEUT;PL;3	ADJ;NOM;PL
άλλα	прочие	άλλος	прочий	PRO;NOM;NEUT;PL;3	ADJ;NOM;PL
άλλα	другие	άλλος	другой	PRO;NOM;NEUT;PL;3	ADJ;NOM;PL
άλλα	прочие	άλλος	прочий	PRO;NOM;NEUT;PL;3	ADJ;NOM;PL
σαν	нравится	σαν	нравиться	ADV	V;IPFV;IND;SG;3;PRS;FIN;MID
σαν	like	σαν	like	ADV	PROPN
σαν	как	σαν	как	ADV	CONJ
ωστόσο	однако	ωστόσο	однако	CONJ	ADV
άλλες	другой	άλλος	другой	PRO;NOM;FEM;PL;3	ADJ;NOM;MASC;SG
άλλες	другая	άλλος	другой	PRO;NOM;FEM;PL;3	ADJ;NOM;FEM;SG
άλλες	другое	άλλος	другой	PRO;NOM;FEM;PL;3	ADJ;NOM;NEUT;SG
άλλες	другие	άλλος	другой	PRO;NOM;FEM;PL;3	ADJ;NOM;PL
άλλες	прочие	άλλος	прочий	PRO;NOM;FEM;PL;3	ADJ;NOM;PL
τέλος	конце	τέλος	конец	ADV	N;INAN;ESS;MASC;SG
τέλος	end	τέλος	end	ADV	PROPN
τέλος	конец	τέλος	конец	ADV	N;INAN;NOM;MASC;SG
σειρά	серия	σειρά	серия	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
σειρά	серии	σειρά	серия	N;ACC;FEM;SG	N;INAN;NOM;FEM;PL
σειρά	орден	σειρά	орден	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
σειρά	заказ	σειρά	заказ	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
σειρά	заказать	σειρά	заказать	N;ACC;FEM;SG	V;PFV;NFIN;ACT
σειρά	приказ	σειρά	приказ	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
σειρά	порядок	σειρά	порядок	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
σειρά	ряд	σειρά	ряд	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
σειρά	строка	σειρά	строка	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
στοιχεία	данных	στοιχείο	данные	N;NOM;NEUT;PL	N;INAN;GEN;PL
στοιχεία	data	στοιχείο	data	N;NOM;NEUT;PL	PROPN
εκτός	кроме	εκτός	кроме	ADV	ADP
συνέχεια	непрерывность	συνέχεια	непрерывность	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
συνέχεια	преемственность	συνέχεια	преемственность	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
συνέχεια	преемственности	συνέχεια	преемственность	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
συνέχεια	продолжить	συνέχεια	продолжить	N;ACC;FEM;SG	V;PFV;NFIN;ACT
συνέχεια	продолжаем	συνέχεια	продолжать	N;ACC;FEM;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
συνέχεια	продолжать	συνέχεια	продолжать	N;ACC;FEM;SG	V;IPFV;NFIN;ACT
συνέχεια	продолжил	συνέχεια	продолжить	N;ACC;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
συνέχεια	продолжение	συνέχεια	продолжение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
κάτω	down	κάτω	down	ADV	PROPN
κάτω	ниже	κάτω	низкий	ADV	ADJ;CMPR
κάτω	нижняя	κάτω	нижний	ADV	ADJ;NOM;FEM;SG
κάτω	нижний	κάτω	нижний	ADV	ADJ;NOM;MASC;SG
κάτω	нижние	κάτω	нижний	ADV	ADJ;NOM;PL
κάτω	ниже	κάτω	низкий	ADV	ADJ;CMPR
πολλές	многих	πολύς	много	ADJ;NOM;FEM;PL	NUM
πολλές	много	πολύς	много	ADJ;NOM;FEM;PL	ADV
πολλές	многим	πολύς	много	ADJ;NOM;FEM;PL	NUM
πολλές	многие	πολύς	много	ADJ;NOM;FEM;PL	NUM
όλα	все	όλος	все	ADJ;NOM;NEUT;PL	PRO;INAN;NOM;NEUT;SG
όλα	всё	όλος	все	ADJ;NOM;NEUT;PL	PRO;INAN;NOM;NEUT;SG
όλα	всем	όλος	все	ADJ;NOM;NEUT;PL	PRO;ANIM;DAT;PL
όλα	всех	όλος	все	ADJ;NOM;NEUT;PL	PRO;ANIM;ACC;PL
όλα	all	όλος	all	ADJ;NOM;NEUT;PL	PROPN
όλα	все	όλος	все	ADJ;NOM;NEUT;PL	PRO;INAN;NOM;NEUT;SG
σύστημα	system	σύστημα	system	N;NOM;NEUT;SG	PROPN
φορές	таймс	φορά	таймс	N;NOM;FEM;PL	N;INAN;NOM;MASC;SG
φορές	times	φορά	times	N;NOM;FEM;PL	PROPN
ίδια	идентичны	ίδιος	идентичный	ADJ;NOM;FEM;SG	ADJ;PL
ίδια	одинаковые	ίδιος	одинаковый	ADJ;NOM;FEM;SG	ADJ;NOM;PL
ίδια	идентичные	ίδιος	идентичный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
ιουλίου	июль	ιούλιος	июль	N;GEN;NEUT;SG	N;INAN;NOM;MASC;SG
χώρα	страны	χώρα	страна	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
αποτέλεσμα	итоги	αποτέλεσμα	итог	N;ACC;NEUT;SG	N;INAN;NOM;MASC;PL
αποτέλεσμα	итог	αποτέλεσμα	итог	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
αποτέλεσμα	результат	αποτέλεσμα	результат	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
αποτέλεσμα	эффект	αποτέλεσμα	эффект	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
οκτωβρίου	октябрь	οκτώβριος	октябрь	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
ιανουαρίου	январь	ιανουάριος	январь	PROPN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
ιανουαρίου	января	ιανουάριος	январь	PROPN;GEN;MASC;SG	N;INAN;GEN;MASC;SG
σεπτεμβρίου	сентябрь	σεπτέμβριο	сентябрь	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
νοεμβρίου	ноябрь	νόεμβριος	ноябрь	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
αγώνες	games	αγώνας	games	N;NOM;MASC;PL	PROPN
ταινίες	фильмов	ταινία	фильм	N;NOM;FEM;PL	N;INAN;GEN;MASC;PL
ταινίες	кино	ταινία	кино	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
μέσω	виа	μέσω	виа	ADP	N;INAN;NOM;MASC;SG
μέσω	via	μέσω	via	ADP	PROPN
μαρτίου	марш	μάρτιος	марш	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
μαρτίου	март	μάρτιος	март	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
γεννήθηκε	родилась	γεννώ	рождаться	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;IND;SG;PST;FIN;MID
γεννήθηκε	родился	γεννώ	рождаться	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;IND;SG;PST;FIN;MID
ιουνίου	июнь	ιούνιος	июнь	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
ιουνίου	джун	ιούνιος	джун	N;GEN;MASC;SG	N;ANIM;NOM;FEM;SG
αυτές	эти	αυτός	этот	PRO;NOM;FEM;PL;3	DET;NOM;PL
πολλά	многих	πολύς	много	ADJ;NOM;NEUT;PL	NUM
πολλά	много	πολύς	много	ADJ;NOM;NEUT;PL	ADV
πολλά	многим	πολύς	много	ADJ;NOM;NEUT;PL	NUM
πολλά	многие	πολύς	много	ADJ;NOM;NEUT;PL	NUM
απριλίου	эйприл	απρίλιος	эйприль	N;GEN;MASC;SG	N;ANIM;NOM;FEM;SG
απριλίου	апрель	απρίλιος	апрель	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
αυγούστου	август	αυγούστος	август	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
έργα	работает	έργο	работать	N;NOM;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
έργα	проектов	έργο	проект	N;NOM;NEUT;PL	N;INAN;GEN;MASC;PL
δεκεμβρίου	декабрь	δεκέμβριο	декабрь	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
χρήση	используйте	χρήση	использовать	N;ACC;FEM;SG	V;IPFV;IMP;PL;2;FIN;ACT
χρήση	использование	χρήση	использование	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
χρήση	использовать	χρήση	использовать	N;ACC;FEM;SG	V;IPFV;NFIN;ACT
πρόεδρος	президент	πρόεδρος	президент	N;ACC;MASC;SG	N;ANIM;NOM;MASC;SG
πρόεδρος	председатель	πρόεδρος	председатель	N;ACC;MASC;SG	N;ANIM;NOM;MASC;SG
πολιτική	политики	πολιτική	политика	N;NOM;FEM;SG	N;ANIM;NOM;MASC;PL
μας	наши	μου	наш	PRO;GEN;MASC;PL;1	DET;NOM;PL
μας	наше	μου	наш	PRO;GEN;MASC;PL;1	DET;NOM;NEUT;SG
μας	наш	μου	наш	PRO;GEN;MASC;PL;1	DET;NOM;MASC;SG
μας	наша	μου	наш	PRO;GEN;MASC;PL;1	DET;NOM;FEM;SG
εκλογές	избрание	εκλογή	избрание	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
μέλη	членов	μέλος	член	N;NOM;NEUT;PL	N;ANIM;GEN;MASC;PL
εποχή	эпоха	εποχή	эпоха	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
εποχή	сезон	εποχή	сезон	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
εποχή	эпоха	εποχή	эпоха	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
εποχή	эра	εποχή	эра	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
χωριό	деревне	χωριό	деревня	N;NOM;NEUT;SG	N;INAN;DAT;FEM;SG
αρχικά	инициалы	αρχικά	инициал	ADV	N;INAN;NOM;MASC;PL
κύπελλο	cup	κύπελλος	cup	N;NOM;NEUT;SG	PROPN
ζωή	life	ζωή	life	N;ACC;FEM;SG	PROPN
ζωή	жизнь	ζωή	жизнь	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
ζωή	жизни	ζωή	жизнь	N;ACC;FEM;SG	N;INAN;NOM;FEM;PL
ζωή	зои	ζωή	зой	N;ACC;FEM;SG	N;ANIM;NOM;FEM;SG
ζωή	зоуи	ζωή	зобь	N;ACC;FEM;SG	N;ANIM;NOM;FEM;SG
έδρα	сиденья	έδρα	сиденье	N;NOM;FEM;SG	N;INAN;NOM;NEUT;PL
μεγάλο	крупных	μεγάλος	крупный	ADJ;NOM;NEUT;SG	ADJ;GEN;PL
μεγάλο	крупные	μεγάλος	крупный	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
μεγάλο	большие	μεγάλος	большой	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
μεγάλο	big	μεγάλος	big	ADJ;NOM;NEUT;SG	PROPN
μεγάλο	большие	μεγάλος	большой	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
μεγάλο	биг	μεγάλος	биг	ADJ;NOM;NEUT;SG	
βάση	база	βάση	база	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
βάση	основание	βάση	основание	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
βάση	основа	βάση	основа	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
βάση	основание	βάση	основание	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
γεννήσεις	рождений	γεννήση	рождение	N;NOM;FEM;PL	N;INAN;GEN;NEUT;PL
γεννήσεις	рождение	γεννήση	рождение	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
φεβρουαρίου	февраль	φεβρουάριο	февраль	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
κοντά	закрыть	κοντά	закрыть	ADV	V;PFV;NFIN;ACT
κοντά	закройте	κοντά	закрыть	ADV	V;PFV;IMP;PL;2;FIN;ACT
μορφή	форме	μορφή	форма	N;NOM;FEM;SG	N;INAN;DAT;FEM;SG
μορφή	форму	μορφή	форма	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
χρόνο	время	χρόνος	время	N;ACC;MASC;SG	N;INAN;NOM;NEUT;SG
χρόνο	времени	χρόνος	время	N;ACC;MASC;SG	N;INAN;GEN;NEUT;SG
χρόνο	тайм	χρόνος	тайма	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG
χρόνο	time	χρόνος	time	N;ACC;MASC;SG	PROPN
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	PROPN
κόμμα	запятой	κόμμα	запять	N;NOM;NEUT;SG	V;PFV;INS;FEM;SG;PST;V.PTCP;PASS
κόμμα	запятая	κόμμα	запятый	N;NOM;NEUT;SG	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
γιατί	зачем	γιατί	зачем	CONJ	ADV
γιατί	почему	γιατί	почему	CONJ	ADV
ρόλο	ролло	ρόλος	ралло	N;ACC;MASC;SG	
ρόλο	роль	ρόλος	роль	N;ACC;MASC;SG	N;INAN;NOM;FEM;SG
ρόλο	роли	ρόλος	роль	N;ACC;MASC;SG	N;INAN;NOM;FEM;PL
άλμπουμ	альбомы	άλμπουμ	альбом	N;MASC;SG	N;INAN;NOM;MASC;PL
έκδοση	издание	έκδοση	издание	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
έκδοση	версии	έκδοση	версия	N;ACC;FEM;SG	N;INAN;NOM;FEM;PL
έκδοση	версия	έκδοση	версия	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
γκολ	целей	γκολ	цель		N;INAN;GEN;FEM;PL
γκολ	цели	γκολ	цель		N;INAN;NOM;FEM;PL
γκολ	цель	γκολ	цель		N;INAN;NOM;FEM;SG
γκολ	гол	γκολ	гол		N;INAN;NOM;MASC;SG
κοινότητα	община	κοινότητα	община	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
κοινότητα	общины	κοινότητα	община	N;ACC;FEM;SG	N;INAN;NOM;FEM;PL
κοινότητα	сообщества	κοινότητα	сообщество	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
κοινότητα	сообщество	κοινότητα	сообщество	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
τελευταία	последние	τελευταία	последний	ADV	ADJ;NOM;PL
τελευταία	последнее	τελευταία	последний	ADV	ADJ;NOM;NEUT;SG
τελευταία	last	τελευταία	last	ADV	PROPN
τελευταία	последний	τελευταία	последний	ADV	ADJ;NOM;MASC;SG
τελευταία	последняя	τελευταία	последний	ADV	ADJ;NOM;FEM;SG
έκανε	сделанные	κάνω	делать	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;NOM;PL;PST;V.PTCP;PASS
έκανε	сделано	κάνω	делать	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
έκανε	сделана	κάνω	делать	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
