през	through	през	through	ADP	
известен	conosciuto	известен	conoscere	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
известен	conosciuta	известен	conoscere	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
известен	noti	известен	noto	ADJ;INDF;MASC;SG	ADJ;MASC;PL
известен	famosi	известен	famoso	ADJ;INDF;MASC;SG	ADJ;MASC;PL
известен	famose	известен	famoso	ADJ;INDF;MASC;SG	ADJ;FEM;PL
добре	buona	добре	buono	ADV	ADJ;FEM;SG
добре	brava	добре	bravo	ADV	ADJ;FEM;SG
добре	bravo	добре	bravo	ADV	ADJ;MASC;SG
добре	buono	добре	buono	ADV	ADJ;MASC;SG
добре	bravi	добре	bravo	ADV	ADJ;MASC;PL
дори	even	дори	eveno	PART	
дори	perfino	дори	perfino	PART	ADV
дори	persino	дори	persino	PART	ADV
дори	anche	дори	anche	PART	ADV
води	acque	водя	acqua	V;IPFV;IMP;SG;2;FIN	N;FEM;PL
води	waters	водя	waters	V;IPFV;IMP;SG;2;FIN	N
води	piombo	водя	piombo	V;IPFV;IMP;SG;2;FIN	N;MASC;SG
голям	large	голям	large	ADJ;INDF;MASC;SG	N;MASC;SG
голям	grandi	голям	grande	ADJ;INDF;MASC;SG	ADJ;PL
голям	grandi	голям	grande	ADJ;INDF;MASC;SG	ADJ;PL
голям	big	голям	big	ADJ;INDF;MASC;SG	N
филм	pellicole	филм	pellicolo	N;INDF;MASC;SG	N;FEM;PL
печели	vittorie	печеля	vittoria	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
френски	francesi	френски	francese	ADJ;INDF;MASC;SG	N;PL
генерал	generali	генерал	generale	N;INDF;MASC;SG	N;MASC;PL
генерал	generale	генерал	generale	N;INDF;MASC;SG	ADJ;SG
държава	stato	държава	essere	N;INDF;FEM;SG	V;MASC;SG;PST;V.PTCP
дата	data	дата	dare	N;INDF;FEM;SG	V;FEM;SG;PST;V.PTCP
двете	entrambi	два	entrambi	NUM;DEF;FEM;PL	PRO;MASC;PL
двете	entrambe	два	entrambi	NUM;DEF;FEM;PL	DET;FEM;PL
големи	large	голям	large	ADJ;INDF;PL	N;MASC;SG
големи	grande	голям	grande	ADJ;INDF;PL	ADJ;SG
големи	grosso	голям	grosso	ADJ;INDF;PL	ADJ;MASC;SG
големи	grande	голям	grande	ADJ;INDF;PL	ADJ;SG
големи	big	голям	big	ADJ;INDF;PL	N
петър	pietro	петър	pietro	PROPN;INDF;MASC;SG	N;MASC;SG
петър	piero	петър	piero	PROPN;INDF;MASC;SG	N;MASC;SG
петър	petar	петър	petare	PROPN;INDF;MASC;SG	N;MASC;SG
остава	resti	оставам	resto	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
остава	soggiorni	оставам	soggiorno	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
гръцки	greci	гръцки	grecio	ADJ;INDF;MASC;SG	N;MASC;PL
съюз	alleanze	съюз	alleanza	N;INDF;MASC;SG	N;FEM;PL
съюз	alliance	съюз	alliance	N;INDF;MASC;SG	ADJ;FEM;PL
политик	politici	политик	politico	N;INDF;MASC;SG	N;MASC;PL
политик	politico	политик	politico	N;INDF;MASC;SG	ADJ;MASC;SG
работа	lavorare	работа	lavorare	N;INDF;FEM;SG	V;NFIN
работа	lavori	работа	lavoro	N;INDF;FEM;SG	N;MASC;PL
работа	lavora	работа	lavorare	N;INDF;FEM;SG	V;IND;SG;3;PRS;FIN
председател	presidenti	председател	presidente	N;INDF;MASC;SG	N;MASC;PL
среща	data	среща	dare	N;INDF;FEM;SG	V;FEM;SG;PST;V.PTCP
информация	informazioni	информация	informazione	N;INDF;FEM;SG	N;FEM;PL
нови	novità	нов	novità	ADJ;INDF;PL	N;FEM
нови	nuovo	нов	nuovo	ADJ;INDF;PL	ADJ;MASC;SG
нови	nuova	нов	nuovo	ADJ;INDF;PL	ADJ;FEM;SG
пъти	piegare	път	piegare	N;MASC	V;NFIN
пъти	piega	път	piegare	N;MASC	N;FEM;SG
пъти	tempi	път	tempo	N;MASC	N;MASC;PL
пъти	volte	път	volta	N;MASC	N;FEM;PL
херцог	duchi	херцог	duchio	N;INDF;MASC;SG	N;MASC;PL
цел	mirare	цел	mirare	N;INDF;FEM;SG	V;NFIN
участие	partecipa	участие	partecipare	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
участие	partecipate	участие	partecipare	N;INDF;NEUT;SG	V;IND;PL;PST;FIN
участие	partecipare	участие	partecipare	N;INDF;NEUT;SG	V;NFIN
никола	nicolas	никол	nicolas	PROPN;INDF;MASC;SG	N;MASC;SG
никола	nikola	никол	nikola	PROPN;INDF;MASC;SG	N;MASC;SG
никола	nicolò	никол	nicolare	PROPN;INDF;MASC;SG	N;MASC;SG
никола	nicola	никол	nicola	PROPN;INDF;MASC;SG	N;MASC;SG
пловдив	plovdiv	пловдив	plovdivo	PROPN;INDF;MASC;SG	N;MASC;PL
дава	dona	давам-(се)	donare	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;SG;2;PRS;FIN
брой	conta	брой	contare	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
всяка	ogni	всеки	ogni	DET;FEM;SG	DET;SG
всяка	ciascuno	всеки	ciascuno	DET;FEM;SG	PRO;MASC;SG
всяка	ognuno	всеки	ognuno	DET;FEM;SG	PRO;MASC;SG
всяка	ogni	всеки	ogni	DET;FEM;SG	DET;SG
всяка	ciascuna	всеки	ciascuno	DET;FEM;SG	DET;FEM;SG
известни	conosciuto	известен	conoscere	ADJ;INDF;PL	V;MASC;SG;PST;V.PTCP
известни	conosciuta	известен	conoscere	ADJ;INDF;PL	V;FEM;SG;PST;V.PTCP
известни	noto	известен	noto	ADJ;INDF;PL	ADJ;MASC;SG
известни	famosa	известен	famoso	ADJ;INDF;PL	ADJ;FEM;SG
известни	celebre	известен	celebre	ADJ;INDF;PL	ADJ;SG
известни	famoso	известен	famoso	ADJ;INDF;PL	ADJ;MASC;SG
повечето	most	повече	most	ADV;DEF;PL	
друг	altro	друг	altro	ADJ;INDF;MASC;SG	PRO;MASC;SG
друг	altre	друг	altro	ADJ;INDF;MASC;SG	DET;FEM;PL
друг	altri	друг	altro	ADJ;INDF;MASC;SG	PRO;MASC;PL
друг	another	друг	another	ADJ;INDF;MASC;SG	
джон	gianni	джон	gianno	PROPN;INDF;MASC;SG	N;MASC;SG
джон	giovanni	джон	giovanne	PROPN;INDF;MASC;SG	N;MASC;SG
джон	john	джон	john	PROPN;INDF;MASC;SG	N;SG
малки	piccola	малък	piccolo	ADJ;INDF;PL	ADJ;FEM;SG
малки	piccolo	малък	piccolo	ADJ;INDF;PL	ADJ;MASC;SG
малки	piccolo	малък	piccolo	ADJ;INDF;PL	ADJ;MASC;SG
малки	piccola	малък	piccolo	ADJ;INDF;PL	ADJ;FEM;SG
малки	little	малък	littla	ADJ;INDF;PL	N
договор	trattato	договор	trattare	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
васил	vasil	вася-(се)	vasil	PROPN;INDF;MASC;SG	N;MASC;SG
изток	orientale	изток	orientale	N;INDF;MASC;SG	ADJ;SG
изток	oriente	изток	oriente	N;INDF;MASC;SG	ADJ;SG
изток	orientale	изток	orientale	N;INDF;MASC;SG	ADJ;SG
изток	orientali	изток	orientale	N;INDF;MASC;SG	N;MASC;PL
четири	four	четири	four	NUM;INDF;PL	N;MASC;SG
испания	spagna	испания	spagnare	PROPN;INDF;FEM;SG	N;FEM;SG
особено	sopratutto	особено	sopratutto	ADV	ADJ;MASC;SG
човек	umane	човек	umano	N;INDF;MASC;SG	ADJ;FEM;PL
човек	umano	човек	umano	N;INDF;MASC;SG	ADJ;MASC;SG
човек	umani	човек	umano	N;INDF;MASC;SG	ADJ;MASC;PL
човек	umana	човек	umano	N;INDF;MASC;SG	ADJ;FEM;SG
общо	totale	общо	totale	ADV	ADJ;SG
рим	roma	рим	roma	PROPN;INDF;MASC;SG	N;FEM;SG
управление	governance	управление	governance	N;INDF;NEUT;SG	N;FEM;PL
управление	comandi	управление	comando	N;INDF;NEUT;SG	N;MASC;PL
управление	controlli	управление	controllo	N;INDF;NEUT;SG	N;MASC;PL
хората	gente	хора	gente	N;DEF	N;FEM;SG
хората	persone	хора	persona	N;DEF	N;FEM;PL
стефан	stefan	стефан	stefan	PROPN;INDF;MASC;SG	N;MASC;SG
стефан	stefano	стефан	stefare	PROPN;INDF;MASC;SG	ADJ;MASC;SG
стефан	stephan	стефан	stephan	PROPN;INDF;MASC;SG	N;MASC;SG
тип	digita	тип	digitare	N;INDF;MASC;SG	V;IMP;SG;2;PRS;FIN
военни	militari	военен	militare	ADJ;INDF;PL	N;PL
военни	esercito	военен	esercito	ADJ;INDF;PL	N;MASC;SG
военни	militare	военен	militare	ADJ;INDF;PL	ADJ;SG
изчезване	scomparire	изчезване	scomparire	N;INDF;NEUT;SG	V;NFIN
изчезване	scomparendo	изчезване	scomparire	N;INDF;NEUT;SG	V;V.MSDR
изчезване	sparisci	изчезване	sparire	N;INDF;NEUT;SG	V;IMP;SG;2;PRS;FIN
изчезване	scomparire	изчезване	scomparire	N;INDF;NEUT;SG	V;NFIN
изчезване	sparire	изчезване	sparire	N;INDF;NEUT;SG	V;NFIN
изчезване	sparizioni	изчезване	sparizione	N;INDF;NEUT;SG	N;FEM;PL
изчезване	scomparsa	изчезване	scomparire	N;INDF;NEUT;SG	V;FEM;SG;PST;V.PTCP
съвет	consigli	съвет	consiglio	N;INDF;MASC;SG	N;MASC;PL
свързани	associato	свържа	associare	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
свързани	associata	свържа	associare	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
свързани	correlato	свържа	correlato	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG
свързани	connesso	свържа	connesso	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG
свързани	collegato	свържа	collegare	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
свързани	connessa	свържа	connessare	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;SG
свързани	collegato	свържа	collegare	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
исторически	storiche	исторически	storico	ADJ;INDF;MASC;SG	ADJ;FEM;PL
исторически	storicamente	исторически	storicamente	ADJ;INDF;MASC;SG	ADV
исторически	storici	исторически	storico	ADJ;INDF;MASC;SG	N;MASC;PL
исторически	storiche	исторически	storico	ADJ;INDF;MASC;SG	ADJ;FEM;PL
римски	roman	римски	roman	ADJ;INDF;MASC;SG	N;MASC;SG
римски	romani	римски	romano	ADJ;INDF;MASC;SG	ADJ;MASC;PL
христо	hristo	христо	hristo	PROPN;INDF;MASC;SG	N;MASC;SG
кръг	tondo	кръг	tondo	N;INDF;MASC;SG	ADJ;MASC;SG
кръг	rotondo	кръг	rotondo	N;INDF;MASC;SG	ADJ;MASC;SG
карта	mappa	карта	mappa	N;INDF;FEM;SG	V;IND;SG;3;PRS;FIN
англия	england	англия	england	PROPN;INDF;FEM;SG	N;SG
англия	inghilterra	англия	inghilterra	PROPN;INDF;FEM;SG	N;FEM;SG
нов	novità	нов	novità	ADJ;INDF;MASC;SG	N;FEM
нов	nuovi	нов	nuovo	ADJ;INDF;MASC;SG	ADJ;MASC;PL
нов	nuove	нов	nuovo	ADJ;INDF;MASC;SG	ADJ;FEM;PL
неговата	his	мой	his	DET;DEF;FEM;SG;3	
втори	secondi	втори	secondo	ADJ;INDF;MASC;SG	N;MASC;PL
множество	multipli	множество	multiplo	N;INDF;NEUT;SG	ADJ;MASC;PL
множество	multipla	множество	multipla	N;INDF;NEUT;SG	ADJ;FEM;SG
множество	multiple	множество	multiplo	N;INDF;NEUT;SG	ADJ;FEM;PL
стара	old	стар	old	ADJ;INDF;FEM;SG	N
стара	vecchi	стар	vecchio	ADJ;INDF;FEM;SG	ADJ;MASC;PL
семейството	familiari	семейство	familiare	N;DEF;NEUT;SG	N;PL
семейството	familiare	семейство	familiare	N;DEF;NEUT;SG	ADJ;SG
съпруга	coniugi	съпруга	coniuge	N;INDF;FEM;SG	N;PL
втора	secondi	втори	secondo	ADJ;INDF;FEM;SG	N;MASC;PL
музика	musiche	музика	musica	N;INDF;FEM;SG	N;FEM;PL
близо	chiudi	близо	chiudere	ADV	V;IND;SG;2;PRS;FIN
близо	chiudete	близо	chiudere	ADV	V;IMP;PL;2;PRS;FIN
първенство	campionati	първенство	campionato	N;INDF;NEUT;SG	N;MASC;PL
варна	varna	варна	varnare	PROPN;INDF;FEM;SG	N;FEM;SG
награди	premia	награда	premiare	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
награди	ricompensa	награда	ricompensa	N;INDF;FEM;PL	N;FEM;SG
награди	premiazione	награда	premiazione	N;INDF;FEM;PL	N;FEM;SG
немски	tedeschi	немски	tedesco	ADJ;INDF;MASC;SG	N;MASC;PL
помощ	aiuti	помощ	aiuto	N;INDF;FEM;SG	N;MASC;PL
помощ	aiutare	помощ	aiutare	N;INDF;FEM;SG	V;NFIN
първоначално	iniziale	първоначално	iniziale	ADV	ADJ;SG
първоначално	iniziali	първоначално	iniziale	ADV	N;FEM;PL
карл	carlo	карл	carlo	PROPN;INDF;MASC;SG	N;MASC;SG
карл	karl	карл	karl	PROPN;INDF;MASC;SG	N;MASC;SG
карл	carlo	карл	carlo	PROPN;INDF;MASC;SG	N;MASC;SG
карл	carl	карл	carla	PROPN;INDF;MASC;SG	N;MASC;SG
николай	nikolaj	николай	nikolaj	PROPN;INDF;MASC;SG	N;MASC;SG
николай	nikolai	николай	nikolai	PROPN;INDF;MASC;SG	N;MASC;SG
николай	nicolai	николай	nicolaio	PROPN;INDF;MASC;SG	N;MASC;SG
николай	nikolaj	николай	nikolaj	PROPN;INDF;MASC;SG	N;MASC;SG
западна	west	западна	west	ADJ;INDF;FEM;SG	N;MASC
западна	ovest	западна	ovest	ADJ;INDF;FEM;SG	N;MASC;SG
западна	occidente	западна	occidente	ADJ;INDF;FEM;SG	N;SG
западна	occidentali	западна	occidentale	ADJ;INDF;FEM;SG	N;PL
западна	western	западна	western	ADJ;INDF;FEM;SG	N
живее	vite	живея	vite	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
избран	prescelto	избера	prescelto	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG
