başrolde	بطولة	başrol	بُطُولَة	N;ESS;SG;3	N;NOM;INDF;SG
mühimmat	الذخيرة	mühimmat	ذَخِيرَة		N;NOM;DEF;SG
mühimmat	الذخائر	mühimmat	ذَخِيرَة		N;NOM;DEF;PL
mühimmat	ذخيرة	mühimmat	ذَخِيرَة		N;NOM;INDF;SG
mühimmat	الذخائر	mühimmat	ذَخِيرَة		N;NOM;DEF;PL
mühimmat	ذخائر	mühimmat	ذَخِيرَة		N;NOM;INDF;PL
louise	لويز	loui	لويز	PROPN;NOM;SG;3	
galiçya	غاليسيا	galiçya	غاليسيا	N;NOM;SG;3	
myspace	myspa	myspace	myspa		
izlenen	شاهدت	izle	شَاهَد	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
stand	الوقوف	stand	وُقُوف		N;NOM;DEF;SG
notları	الملاحظات	not	مُلَاحَظَة	N;ACC;PL;3	N;NOM;DEF;PL
notları	ملاحظات	not	مُلَاحَظَة	N;ACC;PL;3	N;NOM;INDF;PL
notları	الرتب	not	رُتبَة	N;ACC;PL;3	N;NOM;DEF;PL
notları	درجات	not	دَرَجَة	N;ACC;PL;3	N;NOM;INDF;PL
notları	الدرجات	not	دَرَجَة	N;ACC;PL;3	N;NOM;DEF;PL
kavramları	المفاهيم	kavram	مَفهُوم	N;ACC;PL;3	N;NOM;DEF;PL
kavramları	مفاهيم	kavram	مَفهُوم	N;ACC;PL;3	N;NOM;INDF;PL
blake	بليك	blake	بليك		
blake	بلايك	blake	بِلَايك		
çözmek	حل	çöz	حَلّ	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;INDF;SG
mad	ماد	mad	مَادّ		
eurobasket	euroba	eurobasket	euroba	N;NOM;SG;3	
gonzález	غونزاليس	gonzález	غُونزَالِيس	PROPN;NOM;SG;3	
helikopter	هليكوبتر	helikopter	هليكوبتر	N;NOM;SG;3	
helikopter	المروحيات	helikopter	مِروَحِيّ	N;NOM;SG;3	ADJ;NOM;DEF;FEM;PL
helikopter	مروحيات	helikopter	مِروَحِيّ	N;NOM;SG;3	ADJ;NOM;INDF;FEM;PL
klaus	كلاوس	klaus	كلاوس		
yatılı	الصعود	yatılı	صُعُود		N;NOM;DEF;SG
yatılı	صعود	yatılı	صُعُود		N;NOM;INDF;SG
kılavuzu	مرشد	kılavuz	مُرشِد	N;ACC;SG;3	N;NOM;INDF;SG
kılavuzu	دليل	kılavuz	دَلِيل	N;ACC;SG;3	N;NOM;INDF;SG
kılavuzu	الدليل	kılavuz	دَلِيل	N;ACC;SG;3	N;NOM;DEF;SG
kılavuzu	المرشد	kılavuz	مُرشِد	N;ACC;SG;3	N;NOM;DEF;SG
kılavuzu	ارشاد	kılavuz	إِرشَاد	N;ACC;SG;3	N;NOM;INDF;SG
zaza	زازا	zaza	زَاز		
atı	ati	at	كَرّ		
masal	الحكاية	masal	حِكَايَة		N;NOM;DEF;SG
masal	حكاية	masal	حِكَايَة		N;NOM;INDF;SG
masal	ستوري	masal	ستوري		
masal	قصة	masal	قِصَّة		N;NOM;INDF;SG
masal	حكاية	masal	حِكَايَة		N;NOM;INDF;SG
masal	القصة	masal	قِصَّة		N;NOM;DEF;SG
masal	قصه	masal	قَصه		
dinlenme	الترفيه	dinlen	تَرفِيه	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	N;NOM;DEF;SG
dinlenme	ارتاح	dinlen	رُتَّاح	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	
dinlenme	الراحة	dinlen	رَاحَة	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	N;NOM;DEF;SG
dinlenme	راحة	dinlen	رَاحَة	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	N;NOM;INDF;SG
dinlenme	استراحة	dinlen	اِستِرَاحَة	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	N;NOM;INDF;SG
mhz	mhz	mhz	فَاذ		
tatmin	الرضا	tatmin	رِضَا		N;NOM;DEF;SG
tatmin	رضا	tatmin	رضا		
tatmin	الرضى	tatmin	رِضَى		N;NOM;DEF;SG
tatmin	الارتياح	tatmin	اِرتِيَاح		N;NOM;DEF;SG
tatmin	مرضية	tatmin	مَرضِيّ		ADJ;NOM;INDF;FEM;SG
tatmin	ارضاء	tatmin	رَضَأ		N;NOM;INDF;SG
tatmin	راضي	tatmin	راضي		
tatmin	راض	tatmin	رَاضِي		
tatmin	راضية	tatmin	رَاضِي		ADJ;NOM;INDF;FEM;SG
tatmin	رضيت	tatmin	رضيت		V;PFV;FEM;SG;3;ACT
porsche	بورش	porsche	بورش		
porsche	بورشه	porsche	بورشه		
eğlenceli	المرح	eğlenceli	مَرح	ADJ	N;NOM;DEF;SG
eğlenceli	مرح	eğlenceli	مَرح	ADJ	
eğlenceli	متعة	eğlenceli	مُتعَة	ADJ	N;NOM;INDF;SG
malcolm	مالكولم	malcolm	مالكولم		
malcolm	مالكوم	malcolm	مالكوم		
kentucky	كنتاكي	kentucky	كنتاكي		
ekseni	المحور	ekseni	مِحوَر		N;NOM;DEF;SG
ekseni	محور	ekseni	مِحوَر		N;NOM;INDF;SG
enzim	الانزيمات	enzi	اِنزِيمَات		N;NOM;DEF;PL
enzim	الانزيم	enzi	الانزيم		N;NOM;DEF;SG
haksız	ظالم	haksız	ظالم		
seti	ضبط	set	ضَبط		N;NOM;INDF;SG
seti	تعيين	set	تَعيِين		N;NOM;INDF;SG
seti	سيتي	set	سِيتِي		
makina	الة	makina	آلَة		
makina	ماكينة	makina	مَاكِينَة		N;NOM;INDF;SG
makina	الالة	makina	إِلَا		N;NOM;DEF;SG
makina	الماكينة	makina	مَاكِينَة		N;NOM;DEF;SG
makina	ماكنة	makina	مَاكِن		
makina	الالات	makina	آلَة		N;NOM;DEF;PL
makina	الاليات	makina	أَلِيّ		N;NOM;DEF;PL
makina	الالات	makina	آلَة		N;NOM;DEF;PL
makina	الات	makina	إِلَّا		N;NOM;INDF;SG
makina	ماكينات	makina	مَاكِينَة		N;NOM;INDF;PL
tasarımcı	مصمم	tasarımcı	مُصمَم		N;NOM;INDF;SG
tasarımcı	مصممة	tasarımcı	مُصَمَّم		ADJ;NOM;INDF;FEM;SG
tasarımcı	المصمم	tasarımcı	مَصمَم		N;NOM;DEF;SG
jesse	جيسي	jesse	جيسي		
sır	اسرار	sır	سُرر		N;NOM;INDF;PL
sır	الاسرار	sır	سُرر		
sır	سر	sır	سر		
sır	سري	sır	سري		
sır	السر	sır	سُرّ		N;NOM;DEF;SG
sır	سرية	sır	سِرِّيّ		ADJ;NOM;INDF;FEM;SG
boyutları	الابعاد	boyut	بُعد	N;ACC;PL;3	N;NOM;DEF;PL
boyutları	ابعاد	boyut	ابعاد	N;ACC;PL;3	N;NOM;INDF;SG
aman	امان	aman	أَمَان		
six	six	six	قِثَّة		
six	ستة	six	سِتَّة		NUM;NOM;INDF;MASC
six	سكس	six	سَكس		
kıyıları	سواحل	kıyı	سَاحِل	N;ACC;PL;3	N;NOM;INDF;PL
kıyıları	السواحل	kıyı	السواحل	N;ACC;PL;3	N;NOM;DEF;PL
kıyıları	سواحل	kıyı	سَاحِل	N;ACC;PL;3	N;NOM;INDF;PL
kıyıları	السواحل	kıyı	السواحل	N;ACC;PL;3	N;NOM;DEF;PL
taşınan	انتقلت	taşı	اِنتَقَل	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
taşınan	تحركت	taşı	تَحَرَّك	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
rush	راش	rush	رَاش		
rush	رش	rush	رَشّ		N;NOM;INDF;SG
bilinçli	واعي	bilinçli	واعي		ADJ;NOM;INDF;MASC;SG
yasağı	الحظر	yasak	حَظر		N;NOM;DEF;SG
andre	اندريه	andre	اندريه		
roller	الادوار	rol	دَور		N;NOM;DEF;PL
roller	ادوار	rol	دَور		N;NOM;INDF;PL
bull	الثور	bull	ثَور		N;NOM;DEF;SG
alüminyum	الالومنيوم	alüm	الالومنيوم	N;NOM;SG;3	
alüminyum	الالومنيوم	alüm	الالومنيوم	N;NOM;SG;3	
hani	هاني	hani	هاني		
edwards	ادواردز	edwar	أَدُورَد		
odaklı	مركزة	odaklı	مَركَزَة		ADJ;NOM;INDF;FEM;SG
helena	هيلانة	helen	هيلانة	PROPN;NOM;SG;3	
helena	هيلينا	helen	هيلينا	PROPN;NOM;SG;3	
tartışmaları	مناقشات	tartış	مُنَاقَشَة	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;INDF;PL
tartışmaları	المناقشات	tartış	مُنَاقَشَة	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;DEF;PL
tartışmaları	النقاشات	tartış	نِقَاش	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;DEF;PL
katliam	مذبحة	katlia	مَذبَحَة		N;NOM;INDF;SG
katliam	المذبحة	katlia	مَذبَحَة		N;NOM;DEF;SG
katliam	مجزرة	katlia	مُجَزِّر		N;NOM;INDF;SG
katliam	مذبحة	katlia	مَذبَحَة		N;NOM;INDF;SG
katliam	المذبحة	katlia	مَذبَحَة		N;NOM;DEF;SG
katliam	ذبح	katlia	ذَبَح		N;NOM;INDF;SG
katliam	المذبحة	katlia	مَذبَحَة		N;NOM;DEF;SG
katliam	مجزرة	katlia	مُجَزِّر		N;NOM;INDF;SG
varsayılan	الافتراضي	varsa	اِفتِرَاضِيّ		ADJ;NOM;DEF;MASC;SG
varsayılan	افتراضي	varsa	افتراضي		
varsayılan	التخلف	varsa	تَخَلُّف		N;NOM;DEF;SG
varsayılan	التقصير	varsa	تَقصِير		N;NOM;DEF;SG
varsayılan	تقصير	varsa	تَقصِير		N;NOM;INDF;SG
lanka	لانكا	lanka	لانكا	PROPN;NOM;SG;3	
lanka	نكا	lanka	نَكَا	PROPN;NOM;SG;3	
wade	ويد	wade	وَيِّد		
wade	وايد	wade	وايد		
kodları	رموز	kod	رَمز	N;ACC;PL;3	N;NOM;INDF;PL
kodları	الرموز	kod	رَمز	N;ACC;PL;3	N;NOM;DEF;PL
holmes	هولمز	holmes	هولمز		
yapıcı	صانع	yapıcı	صانع		
yapıcı	بناء	yapıcı	بِنَاء		N;ACC;INDF;SG
yapıcı	بناءة	yapıcı	بَنَّاء		ADJ;NOM;INDF;FEM;SG
iowa	ايوا	iowa	أَيّ	PROPN;NOM;SG;3	
çember	الدائرة	çember	دَائِرَة		N;NOM;DEF;SG
çember	دائرة	çember	دَائِرَة		N;NOM;INDF;SG
karaciğer	كب	karaciğer	كب		
karaciğer	الكبد	karaciğer	الكبد		N;NOM;DEF;SG
karaciğer	كبد	karaciğer	كبد		
hatalar	اخطاء	hata	خَطَأ	N;NOM;PL;3	N;NOM;INDF;SG
hatalar	اخطاء	hata	خَطَأ	N;NOM;PL;3	N;NOM;INDF;SG
hatalar	البق	hata	البق	N;NOM;PL;3	N;NOM;DEF;SG
atanmış	المعين	atan	المعين	V;PFV;NFH;IND;SG;3;POS;PST;PASS	
málaga	مالقة	málaga	مَالَقَة	PROPN;NOM;SG;3	N;NOM;INDF;SG
diamond	ماسة	diamond	مَاسَّة	N;NOM;SG;3	
diamond	دايموند	diamond	دايموند	N;NOM;SG;3	
baki	باكي	baki	بَاكِي		
tanımlanmış	معرف	tanımla	مَعرِف	V;PFV;NFH;IND;SG;3;POS;PST;PASS	
litre	لتر	litre	لِتر		N;NOM;INDF;SG
litre	ليتر	litre	ليتر		N;NOM;INDF;SG
litre	ليتر	litre	ليتر		N;NOM;INDF;SG
çalışkan	مجتهد	çalışkan	مُجتَهِد		ADJ;NOM;INDF;MASC;SG
meşru	مشروعة	meşru	مَشرُوع		ADJ;NOM;INDF;FEM;SG
meşru	شرعي	meşru	شَرعِيّ		ADJ;NOM;INDF;MASC;SG
bankacılık	مصرفية	bankacılık	مَصرِفِيّ	N;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
kaçmak	الفرار	kaç	فِرَار	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;DEF;SG
kaçmak	هروب	kaç	هُرُوب	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;INDF;SG
kaçmak	الهرب	kaç	الهرب	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;DEF;SG
kaçmak	الهروب	kaç	هُرُوب	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;DEF;SG
radyoaktif	مشع	radyoaktif	مَشع		
radyoaktif	المشع	radyoaktif	المشع		N;NOM;DEF;SG
radyoaktif	مشعة	radyoaktif	مَشعَة		ADJ;NOM;INDF;FEM;SG
radyoaktif	المشعة	radyoaktif	مُشعَة		N;NOM;DEF;SG
yale	يال	yale	يَال		
yale	ييل	yale	يَيل		
kronik	مزمن	kronik	مزمن		N;NOM;INDF;SG
kronik	مزمنة	kronik	مُزمِن		ADJ;NOM;INDF;FEM;SG
kronik	المزمنة	kronik	مُزمِن		N;NOM;DEF;SG
kronik	المزمن	kronik	مَزمَن		N;NOM;DEF;SG
yarışmaları	مسابقات	yarış	مُسَابَقَة	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;INDF;PL
yarışmaları	المسابقات	yarış	مُسَابَقَة	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;DEF;PL
osetya	اوسيتيا	osetya	أُوسِيتِيَا	PROPN;NOM;SG;3	
çim	المرج	çim	مَرَج		
çim	العشب	çim	عَشَبَة		N;NOM;DEF;SG
çim	عشب	çim	عَشِبَ		
taşınabilir	محمولة	taşı	مَحمُول	V;IPFV;IND;SG;3;POS;PASS	ADJ;NOM;INDF;FEM;SG
taşınabilir	محمول	taşı	مَحمُول	V;IPFV;IND;SG;3;POS;PASS	ADJ;NOM;INDF;MASC;SG
sn	s	sn	s		
balıkçı	فيشر	balıkçı	فيشر		
bitkileri	نباتات	bitki	نَبَات	N;ACC;PL;3	N;NOM;INDF;PL
bitkileri	النباتات	bitki	نَبَات	N;ACC;PL;3	N;NOM;DEF;PL
niyet	نية	niyet	نِيَّة		N;NOM;INDF;SG
niyet	النية	niyet	نِيَّة		N;NOM;DEF;SG
niyet	القصد	niyet	قَصد		N;NOM;DEF;SG
niyet	نية	niyet	نِيَّة		N;NOM;INDF;SG
niyet	النية	niyet	نِيَّة		N;NOM;DEF;SG
niyet	نوايا	niyet	نِيَّة		N;NOM;INDF;PL
niyet	النوايا	niyet	نِيَّة		N;NOM;DEF;PL
mansur	منصور	mansur	منصور		
kaçış	هروب	kaçış	هُرُوب		N;NOM;INDF;SG
kaçış	الهرب	kaçış	الهرب		N;NOM;DEF;SG
kaçış	الهروب	kaçış	هُرُوب		N;NOM;DEF;SG
solomon	سليمان	solomon	سليمان	PROPN;NOM;SG;3	
heyet	الوفد	heyet	وَفد		N;NOM;DEF;SG
heyet	فد	heyet	فَدّ		
heyet	وفد	heyet	وَفد		N;NOM;INDF;SG
heyet	اللجنة	heyet	لَجنَة		N;NOM;DEF;SG
heyet	لجنة	heyet	لَجنَة		N;NOM;INDF;SG
heyet	للوفود	heyet	للوفود		N;NOM;DEF;SG
heyet	الوفود	heyet	وَفد		N;NOM;DEF;PL
heyet	وفود	heyet	وَفد		N;NOM;INDF;PL
vancouver	فانكوفر	vancouver	فَانكُوفر	PROPN;NOM;SG;3	
davud	ديفيد	davud	دِيفِيد		
davud	داود	davud	دَاوُد		
davud	ديفد	davud	دَيَّف		
davud	دايفيد	davud	دايفيد		
davud	دافيد	davud	دَافِيد		
hughes	هيوز	hughes	هَيز		
kawasaki	kawasa	kawasaki	ثَهُودِج		
eylemleri	الاجراءات	eylem	إِجرَاء	N;ACC;PL;3	N;NOM;DEF;PL
eylemleri	الافعال	eylem	فَعل	N;ACC;PL;3	N;NOM;DEF;PL
eylemleri	الدعاوى	eylem	دَعوَى	N;ACC;PL;3	N;NOM;DEF;PL
eylemleri	اجراءات	eylem	إِجرَاء	N;ACC;PL;3	N;NOM;INDF;PL
rotterdam	روتردام	rotter	رُورِدَام	PROPN;NOM;SG;3	
pat	بات	pat	بَات		V;PFV;MASC;SG;3;ACT
tanrılar	الهة	tanrı	هَة	N;NOM;PL;3	
tanrılar	الالهة	tanrı	أَلَّه	N;NOM;PL;3	N;NOM;DEF;SG
karikatür	كوميكس	karikat	كوميكس		
karikatür	الهزلية	karikat	هُزلِيَّة		ADJ;NOM;DEF;FEM;SG
karikatür	هزلي	karikat	هُزَل		ADJ;NOM;INDF;MASC;SG
karikatür	الكاريكاتير	karikat	الكاريكاتير		
karikatür	كرتون	karikat	كرتون		
lucky	محظوظة	lucky	مَحظُوظ		ADJ;NOM;INDF;FEM;SG
lucky	لاكي	lucky	لاكي		
lucky	محظوظ	lucky	محظوظ		ADJ;NOM;INDF;MASC;SG
lucky	المحظوظ	lucky	مَحظُوظ		N;NOM;DEF;SG
alpha	الفا	alpha	أَلف		NUM;NOM;INDF;SG
zirve	قمة	zirve	قِمَّة		N;NOM;INDF;SG
zirve	القمة	zirve	قِمَّة		N;NOM;DEF;SG
zirve	قمة	zirve	قِمَّة		N;NOM;INDF;SG
zirve	ذروة	zirve	ذُروَة		N;NOM;INDF;SG
zirve	القمة	zirve	قِمَّة		N;NOM;DEF;SG
zirve	الذروة	zirve	ذَروَة		N;NOM;DEF;SG
armağan	هدية	armağan	هَدِيَّة		N;NOM;INDF;SG
armağan	الهدية	armağan	هَدِيَّة		N;NOM;DEF;SG
armağan	هديه	armağan	هَدِيه		
avn	avn	avn	صَذَث		
gelişmekte	الناشئة	geliş	نَاشِئ	V;PROG;IND;SG;3;POS;FORM;PRS	N;NOM;DEF;SG
gelişmekte	ناشئة	geliş	نَاشِئ	V;PROG;IND;SG;3;POS;FORM;PRS	ADJ;NOM;INDF;FEM;SG
gelişmekte	ناشئ	geliş	نَاشِئ	V;PROG;IND;SG;3;POS;FORM;PRS	ADJ;NOM;INDF;MASC;SG
gelişmekte	نامية	geliş	نَامِي	V;PROG;IND;SG;3;POS;FORM;PRS	ADJ;NOM;INDF;FEM;SG
gelişmekte	تطوير	geliş	تَطوِير	V;PROG;IND;SG;3;POS;FORM;PRS	N;NOM;INDF;SG
azaltmak	تقليل	azal	تَقلِيل	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;NOM;INDF;SG
satıldı	تباع	sat	أَبَاع	V;PFV;IND;SG;3;POS;PST;PASS	V;IPFV;FEM;IND;SG;3;FIN;PASS
satıldı	بيع	sat	بَيع	V;PFV;IND;SG;3;POS;PST;PASS	N;NOM;INDF;SG
satıldı	بعت	sat	بَعَى	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;FEM;SG;3;ACT
satıldı	باع	sat	بَاع	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;SG;3;ACT
beslenir	يغذي	besle	غَذَّى	V;IPFV;IND;SG;3;POS;PASS	V;IPFV;MASC;IND;SG;3;FIN;ACT
üstte	القمة	üst	قِمَّة	ADJ;ESS;SG;3	N;NOM;DEF;SG
üstte	توب	üst	تَوَبِّ	ADJ;ESS;SG;3	
üstte	قمة	üst	قِمَّة	ADJ;ESS;SG;3	N;NOM;INDF;SG
üstte	الاعلى	üst	أَعلَى	ADJ;ESS;SG;3	ADJ;NOM;DEF;MASC;SG
angela	انجيلا	angela	أَنجِيلَا		
ihmal	المهملة	ihmal	مُهَمَّل		
ihmal	مهملة	ihmal	مُهمَل		ADJ;NOM;INDF;FEM;SG
ihmal	مهمل	ihmal	مُهمَل		ADJ;NOM;INDF;MASC;SG
