astronomie	astronomii	astronomie	astronomia	N;FEM;SG	
tournées	tury	tourner	tury	V;FEM;PL;PST;V.PTCP	N;ACC;FEM;SG
tournées	wycieczki	tourner	wycieczka	V;FEM;PL;PST;V.PTCP	N;NOM;FEM;PL
tournées	touring	tourner	touring	V;FEM;PL;PST;V.PTCP	
three	trzy	three	trzy	PROPN	NUM;ACC;MASC;PL
bade	baden	bade	baden	N;MASC;SG	
bade	bade	bade	badać	N;MASC;SG	
démonstration	demo	démonstration	demo	N;FEM;SG	
démonstration	demonstracje	démonstration	demonstracja	N;FEM;SG	N;NOM;FEM;PL
réussite	sukcesów	réussite	sukces	N;FEM;SG	N;GEN;MASC;PL
réussite	sukcesy	réussite	sukces	N;FEM;SG	N;NOM;MASC;PL
citoyen	obywatele	citoyen	obywatele	N;MASC;SG	N;NOM;MASC;PL
bleus	blue	bleu	blue	ADJ;MASC;PL	
bleus	niebieski	bleu	niebieski	ADJ;MASC;PL	ADJ;NOM;MASC;SG
bleus	niebieska	bleu	niebieski	ADJ;MASC;PL	ADJ;NOM;FEM;SG
bleus	niebieskie	bleu	niebieski	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
bleus	blues	bleu	blues	ADJ;MASC;PL	
bleus	bluesa	bleu	blues	ADJ;MASC;PL	N;ACC;MASC;SG
creuse	kop	creux	kop	ADJ;FEM;SG	
creuse	wykop	creux	wykop	ADJ;FEM;SG	V;PFV;IMP;SG;2;FIN;ACT
creuse	kopać	creux	kopać	ADJ;FEM;SG	V;IPFV;NFIN;ACT
creuse	creuse	creux	creusa	ADJ;FEM;SG	
creuse	hollow	creux	hollow	ADJ;FEM;SG	
greg	grega	greg	grega	PROPN	N;ACC;MASC;SG
greg	greg	greg	greg	PROPN	
nuits	nocy	nuit	noc	N;FEM;PL	N;GEN;FEM;SG
nuits	noce	nuit	noc	N;FEM;PL	
lincoln	lincoln	lincoln	lincoln	PROPN	
lincoln	lincolna	lincoln	lincolny	PROPN	ADJ;NOM;FEM;SG
cavaliers	cavaliers	cavalier	cavaliers	N;MASC;PL	N;ACC;MASC;SG
char	char	char	char	N;MASC;SG	
cardiaque	serce	cardiaque	serce	ADJ;MASC;SG	N;NOM;NEUT;SG
cardiaque	serca	cardiaque	serce	ADJ;MASC;SG	N;NOM;NEUT;SG
kent	kenta	kent	kenta	PROPN	
kent	kent	kent	kent	PROPN	PROPN;NOM;MASC;SG
parlant	mówienie	parler	mówić	V;PRS;V.PTCP	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
parlant	mówienie	parler	mówić	V;PRS;V.PTCP	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
fernández	fernandez	fernánder	fernandez	PROPN	N;NOM;MASC;SG
fernández	fernández	fernánder	fernndez	PROPN	PROPN;NOM;MASC;SG
marvel	cudo	marvel	cudo	N;MASC;SG	
marvel	marvel	marvel	marvel	N;MASC;SG	
voisines	sąsiadów	voisin	sąsiad	ADJ;FEM;PL	N;ACC;MASC;PL
voisines	sąsiedzi	voisin	sąsiad	ADJ;FEM;PL	N;NOM;MASC;PL
voisines	sąsiadów	voisin	sąsiad	ADJ;FEM;PL	N;ACC;MASC;PL
voisines	sąsiadami	voisin	sąsiad	ADJ;FEM;PL	N;INS;FEM;PL
voisines	sąsiedzi	voisin	sąsiad	ADJ;FEM;PL	N;NOM;MASC;PL
remarques	nuty	remarque	nuta	N;FEM;PL	
remarques	zauważa	remarque	zauważać	N;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
remarques	uwagi	remarque	uwaga	N;FEM;PL	N;ACC;FEM;SG
remarques	uwagi	remarque	uwaga	N;FEM;PL	N;ACC;FEM;SG
spirou	spirou	spirou	spir	N;MASC;SG	
sofia	sofia	sofia	sofia	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
sofia	zofia	sofia	zofia	PROPN	PROPN;NOM;FEM;SG
quête	quest	quête	quest	N;FEM;SG	
hébreu	hebrajski	hébreu	hebrajski	N;MASC;SG	ADJ;NOM;MASC;SG
inhumé	zakopane	inhumer	zakopać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
inhumé	pogrzebany	inhumer	pogrzebać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
inhumé	pochowany	inhumer	pochować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
inhumé	zakopany	inhumer	zakopać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
pat	pat	pat	pat	PROPN	
variables	zmienna	variable	zmienny	ADJ;FEM;PL	ADJ;NOM;FEM;SG
variables	zmiennej	variable	zmienny	ADJ;FEM;PL	ADJ;GEN;FEM;SG
variables	zmienne	variable	zmienny	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
variables	zmienny	variable	zmienny	ADJ;FEM;PL	ADJ;NOM;MASC;SG
variables	zmienne	variable	zmienny	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
vignoble	winnic	vignoble	winnica	N;MASC;SG	
autorisé	dozwolone	autoriser	dozwolić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
autorisé	dopuszczone	autoriser	dopuścić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
autorisé	upoważniony	autoriser	upoważnić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
autorisé	dopuszczone	autoriser	dopuścić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
autorisé	upoważniony	autoriser	upoważnić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
autorisé	dozwolone	autoriser	dozwolić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
autorisé	dozwolony	autoriser	dozwolić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
autorisé	dozwolona	autoriser	dozwolić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
autorisé	dopuszczone	autoriser	dopuścić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
cavalier	rider	cavalier	rider	N;MASC;SG	
sierra	sierra	sierra	sierry	PROPN	
retenu	zatrzymanych	retenir	zatrzymać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
retenu	zachowane	retenir	zachować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
retenu	zachowany	retenir	zachować	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
retenu	zatrzymana	retenir	zatrzymać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
retenu	zatrzymane	retenir	zatrzymać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
albin	albin	albin	albin	PROPN	PROPN;NOM;MASC;SG
organes	ciał	organe	ciało	N;MASC;PL	
organes	ciała	organe	ciało	N;MASC;PL	N;GEN;NEUT;SG
originaires	pochodząca	originaire	pochodzić	ADJ;MASC;PL	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT
originaires	pochodzący	originaire	pochodzić	ADJ;MASC;PL	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
originaires	pochodzące	originaire	pochodzić	ADJ;MASC;PL	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
originaires	pochodzącej	originaire	pochodzić	ADJ;MASC;PL	ADJ;IPFV;GEN;FEM;SG;POS;V.PTCP;ACT
sylvain	sylvain	sylvain	sylvain	PROPN	PROPN;NOM;MASC;SG
compétence	kompetencje	compétence	kompetencja	N;FEM;SG	N;NOM;FEM;PL
compétence	kompetencje	compétence	kompetencja	N;FEM;SG	N;NOM;FEM;PL
décerné	udzielone	décerner	udzielić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
décerné	przyznana	décerner	przyznać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
décerné	przyznane	décerner	przyznać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
décerné	przyznany	décerner	przyznać	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
provinciale	prowincji	provincial	prowincja	ADJ;FEM;SG	N;GEN;FEM;SG
provinciale	provinciale	provincial	provinciały	ADJ;FEM;SG	
usages	wykorzystuje	usage	wykorzystywać	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
usages	używa	usage	używać	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
usages	zastosowania	usage	zastosowanie	N;MASC;PL	N;GEN;NEUT;SG
bords	krawędzi	bord	krawądzić	N;MASC;PL	N;GEN;MASC;SG
espérance	hope	espérance	hopy	N;FEM;SG	
espérance	oby	espérance	oby	N;FEM;SG	
fragments	fragment	fragment	fragment	N;MASC;PL	N;ACC;MASC;SG
seattle	seattle	seattle	seatle	PROPN	PROPN;NOM;MASC;SG
existant	istniejące	exister	istnieć	V;PRS;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
existant	istniejąca	exister	istnieć	V;PRS;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT
existant	istniejących	exister	istnieć	V;PRS;V.PTCP	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
existant	istniejący	exister	istnieć	V;PRS;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
bond	bond	bond	bond	N;MASC;SG	
missiles	pocisk	missile	pocisk	N;MASC;PL	N;NOM;MASC;SG
missiles	rakieta	missile	rakieta	N;MASC;PL	N;NOM;FEM;SG
ordonné	wyświęcony	ordonner	wyświęcić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
certifié	certyfikat	certifier	certyfikat	V;MASC;SG;PST;V.PTCP	N;ACC;MASC;SG
certifié	kwalifikowanego	certifier	kwalifokować	V;MASC;SG;PST;V.PTCP	ADJ;IPFV;ACC;MASC;SG;POS;V.PTCP;PASS
innovation	innowacje	innovation	innowacja	N;FEM;SG	N;NOM;FEM;PL
combiné	połączone	combiner	połączyć	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
combiné	łączone	combiner	łączyć	V;MASC;SG;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
combiné	łącznie	combiner	łącznie	V;MASC;SG;PST;V.PTCP	ADV
ref	ref	ref	ref	N;FEM;SG	
amy	amy	amy	amy	PROPN	PROPN;NOM;FEM;SG
turner	turner	turner	turner	PROPN	
turner	turnera	turner	turner	PROPN	
ardèche	ardèche	ardèche	ardsch	N;FEM;SG	
alternatif	alternatywa	alternatif	alternatywa	ADJ;MASC;SG	N;NOM;FEM;SG
alternatif	alternatywnie	alternatif	alternatywnie	ADJ;MASC;SG	ADV
écrites	napisane	écrire	napisać	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
écrites	pisemne	écrire	pisemny	V;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
écrites	zapisane	écrire	zapisać	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
définitive	finał	définitif	finał	ADJ;FEM;SG	N;NOM;MASC;SG
jaunes	żółte	jaune	żółty	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
jaunes	żółta	jaune	żółta	ADJ;MASC;PL	ADJ;NOM;FEM;SG
jaunes	żółty	jaune	żółty	ADJ;MASC;PL	ADJ;NOM;MASC;SG
burkina	burkina	burkina	burkina	N;MASC;SG	
évènement	wydarzenia	évènement	wydarzenie	N;MASC;SG	N;NOM;NEUT;PL
yonne	yonne	yonne	yonny	PROPN	
chargés	naładowane	charger	naładować	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
chargés	załadowany	charger	załadować	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
chargés	naładowany	charger	naładować	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
chargés	załadowane	charger	załadować	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
chargés	ladena	charger	laden	V;MASC;PL;PST;V.PTCP	
chargés	obciążona	charger	obciążyć	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
chargés	obciążony	charger	obciążyć	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
assisté	wspomagana	assister	wspomagać	V;MASC;SG;PST;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
effectifs	personelu	effectif	personel	N;MASC;PL	N;GEN;MASC;SG
effectifs	personel	effectif	personel	N;MASC;PL	N;NOM;MASC;SG
devraient	powinien	devoir	powinien	V;COND;PL;3;PRS;FIN	V;IPFV;MASC;IND;SG;PRS;FIN;ACT
devraient	powinny	devoir	powinien	V;COND;PL;3;PRS;FIN	V;IPFV;MASC;IND;PL;PRS;FIN;ACT
devraient	powinno	devoir	powinien	V;COND;PL;3;PRS;FIN	V;IPFV;NEUT;IND;SG;PRS;FIN;ACT
devraient	powinna	devoir	powinien	V;COND;PL;3;PRS;FIN	V;IPFV;FEM;IND;SG;PRS;FIN;ACT
répression	represje	répression	represja	N;FEM;SG	N;NOM;FEM;PL
his	jego	his	on	PROPN	PRO;GEN;MASC;SG;3
conrad	konrad	conrad	konrad	PROPN	PROPN;NOM;MASC;SG
conrad	conrad	conrad	conrad	PROPN	
rousseau	rousseau	rousseau	roussea	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
meyer	meyer	meyer	meyer	PROPN	
terrestres	lądowe	terrestre	lądowy	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
terrestres	naziemne	terrestre	naziemny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
symphonique	symphony	symphonique	symphon	ADJ;MASC;SG	
ecclésiastique	kościelnych	ecclésiastique	kościelny	ADJ;MASC;SG	ADJ;GEN;MASC;PL
fonctionnaire	oficjalne	fonctionnaire	oficjalny	N;MASC;SG	ADJ;NOM;NEUT;SG
fonctionnaire	oficjalna	fonctionnaire	oficjalny	N;MASC;SG	ADJ;NOM;FEM;SG
fonctionnaire	urzędowym	fonctionnaire	urzędowy	N;MASC;SG	ADJ;INS;MASC;SG
fonctionnaire	oficjalnie	fonctionnaire	oficjalnie	N;MASC;SG	ADV
fonctionnaire	oficjalny	fonctionnaire	oficjalny	N;MASC;SG	ADJ;NOM;MASC;SG
silva	silva	silva	silvać	PROPN	PROPN;NOM;MASC;SG
bretonne	brittany	breton	brittan	ADJ;FEM;SG	
bretonne	breton	breton	breton	ADJ;FEM;SG	
brevet	patenty	brevet	patent	N;MASC;SG	N;NOM;MASC;PL
engagée	zatrudniony	engager	zatrudnić	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
engagée	wynajęty	engager	wynająć	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
engagée	zatrudniona	engager	zatrudnić	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
engagée	zaręczony	engager	zaręczyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
engagée	zaręczona	engager	zaręczyć	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
engagée	zaręczyny	engager	zaręczyna	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;PL
engagée	zaangażowana	engager	zaangażować	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
engagée	zaangażowany	engager	zaangażować	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
mythe	mity	mythe	mit	N;MASC;SG	N;NOM;MASC;PL
mythe	mity	mythe	mit	N;MASC;SG	N;NOM;MASC;PL
faso	faso	faso	faso	N;MASC;SG	PROPN;NOM;MASC;SG
mohammed	muhammad	mohammed	muhammad	PROPN	N;NOM;MASC;SG
mohammed	mohammed	mohammed	mohammed	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
prochaine	następna	prochain	następny	ADJ;FEM;SG	
léonard	léonard	léonard	léonard	PROPN	
léonard	leonardo	léonard	leonardo	PROPN	
léonard	leonarda	léonard	leonard	PROPN	
léonard	leonard	léonard	leonard	PROPN	N;NOM;MASC;SG
degrés	stopni	degré	stopień	N;MASC;PL	N;GEN;MASC;SG
flammarion	flammarion	flammarion	flammarion	PROPN	
philosophique	filozofia	philosophique	filozofia	ADJ;MASC;SG	N;NOM;FEM;SG
philosophique	filozofii	philosophique	filozofia	ADJ;MASC;SG	N;GEN;FEM;SG
styles	style	style	style	N;MASC;PL	
europa	europa	europa	europa	PROPN	
doubs	doubs	doub	doubs	N;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
nazis	nazistowskich	nazi	nazistowski	N;MASC;PL	ADJ;GEN;MASC;PL
guyane	gujany	guyane	gujany	ADJ;FEM;SG	
guyane	gujana	guyane	gujać	ADJ;FEM;SG	
esprits	dusze	esprit	dusza	N;MASC;PL	N;NOM;FEM;SG
talk	mówić	talk	mówić	PROPN	V;IPFV;NFIN;ACT
elisabeth	elżbieta	elisabeth	elżbieta	N;FEM;SG	PROPN;NOM;FEM;SG
aude	aude	aude	audy	N;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
alexandra	alexandra	alexandra	alexandra	PROPN	
alexandra	aleksandra	alexandra	aleksandra	PROPN	
caméra	kamery	caméra	kamera	N;FEM;SG	N;ACC;FEM;PL
assiste	asyst	assister	asyst	V;IND;SG;3;PRS;FIN	N;GEN;MASC;PL
andreas	andreas	andreas	andreas	PROPN	PROPN;NOM;MASC;SG
régulier	regularnie	régulier	regularnie	ADJ;MASC;SG	ADV
contiennent	zawiera	contenir	zawierać	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
mix	mix	mix	mix	N;MASC;SG	
mix	mieszać	mix	mieszać	N;MASC;SG	V;IPFV;NFIN;ACT
mix	wymieszać	mix	wymieszać	N;MASC;SG	V;PFV;NFIN;ACT
grandeur	grandeur	grandeur	grandeur	N;FEM;SG	
sound	dźwięki	sound	dźwięk	PROPN	N;NOM;MASC;PL
sound	sound	sound	sounda	PROPN	
sound	dźwięk	sound	dźwięk	PROPN	N;ACC;MASC;SG
werner	werner	werner	werner	PROPN	PROPN;NOM;MASC;SG
airlines	airlines	airline	airlines	N;FEM;PL	
garcia	garcia	garcia	garcia	PROPN	PROPN;NOM;MASC;SG
marocain	maroka	marocain	marok	ADJ;MASC;SG	PROPN;GEN;MASC;SG
accessibles	dostępny	accessible	dostępny	ADJ;MASC;PL	ADJ;NOM;MASC;SG
accessibles	dostępna	accessible	dostępny	ADJ;MASC;PL	ADJ;NOM;FEM;SG
accessibles	dostępne	accessible	dostępny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
attribuée	nadany	attribuer	nadać	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
attribuée	przypisane	attribuer	przypisać	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
attribuée	przypisany	attribuer	przypisać	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
attribuée	przypisana	attribuer	przypisać	V;FEM;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
réunis	zjednoczona	réunir	zjednoczyć	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
