que	att	que	att	CONJ	PART
mayor	major	mayor	maja	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
mayor	huvudämne	mayor	huvudämne	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
partido	matchar	partido	matcha	N;MASC;SG	V;IND;PRS;FIN;ACT
partido	matcha	partido	matcha	N;MASC;SG	V;IMP;FIN;ACT
contra	räknare	contra	räknare	ADP	N;NOM;INDF;MASC+FEM;PL
contra	motverka	contra	motverka	ADP	V;IMP;FIN;ACT
contra	emot	contra	emot	ADP	ADV
contra	contra	contra	contrum	ADP	N;NOM;INDF;MASC+FEM;SG
encuentra	finna	encontrar	finna	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
encuentra	hitta	encontrar	hitta	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
municipio	township	municipio	township	N;MASC;SG	PROPN;NOM
otras	annan	otro	annan	PRO;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
otras	övrig	otro	övrig	PRO;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
otras	övriga	otro	övrig	PRO;FEM;PL	ADJ;NOM;PL
otras	övrigt	otro	övrigt	PRO;FEM;PL	ADJ;NOM;INDF;NEUT;SG
otras	annat	otro	annan	PRO;FEM;PL	PRO;INDF;NEUT;SG
otras	övriga	otro	övrig	PRO;FEM;PL	ADJ;NOM;PL
todos	allihopa	todo	allihopa	PRO;MASC;PL	N;NOM;INDF;MASC+FEM;SG
todos	allt	todo	all	PRO;MASC;PL	PRO;INDF;NEUT;SG
todos	alla	todo	all	PRO;MASC;PL	PRO;INDF;PL
todos	allihopa	todo	allihopa	PRO;MASC;PL	N;NOM;INDF;MASC+FEM;SG
todos	alla	todo	all	PRO;MASC;PL	PRO;INDF;PL
juan	johannes	juan	johan	PROPN	PROPN;NOM
juan	john	juan	john	PROPN	PROPN;NOM
juan	johan	juan	joha	PROPN	PROPN;NOM
juan	joan	juan	joan	PROPN	PROPN;NOM
josé	joseph	josé	joseph	PROPN	PROPN;NOM
josé	josef	josé	jos	PROPN	PROPN;NOM
josé	josef	josé	jos	PROPN	PROPN;NOM
josé	josé	josé	josé	PROPN	PROPN;NOM
bajo	låga	bajo	låg	ADP	ADJ;NOM;PL
bajo	lågt	bajo	låg	ADP	ADJ;NOM;INDF;NEUT;SG
bajo	low	bajo	low	ADP	N;NOM;INDF;MASC+FEM;SG
bajo	låg	bajo	låg	ADP	INTJ
bajo	bajo	bajo	bajo	ADP	N;NOM;INDF;NEUT;SG
bajo	bas	bajo	ba	ADP	N;NOM;INDF;MASC+FEM;SG
bajo	bass	bajo	bass	ADP	N
serie	serier	serie	serie	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
cada	varenda	cada	varenda	DET;SG	DET;INDF;SG
cada	varje	cada	varje	DET;SG	DET;INDF;SG
cada	varje	cada	varje	DET;SG	DET;INDF;SG
cada	vardera	cada	vardera	DET;SG	PRO;DEF;SG
norte	norra	norte	norra	N;MASC;SG	ADJ;NOM;DEF;SG
norte	norrut	norte	norrut	N;MASC;SG	ADV
norte	nord	norte	nord	N;MASC;SG	PROPN;NOM
norte	nordlig	norte	nordlig	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
norte	norra	norte	norra	N;MASC;SG	ADJ;NOM;DEF;SG
norte	nordliga	norte	nordlig	N;MASC;SG	ADJ;NOM;PL
norte	nord	norte	nord	N;MASC;SG	PROPN;NOM
méxico	mexiko	méxico	mexiko	N;MASC;SG	PROPN;NOM
han	har	haber	ha	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
han	ha	haber	ha	V;IND;PL;3;PRS;FIN	INTJ
han	han	haber	han	V;IND;PL;3;PRS;FIN	PRO;NOM;DEF;MASC+FEM;SG
argentina	argentina	argentino	argentin	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
argentina	argentinska	argentino	argentinsk	ADJ;FEM;SG	ADJ;NOM;PL
inglés	swedish	inglés	swedish	N;MASC;SG	PROPN;NOM
nuevo	nyhet	nuevo	nyhet	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
nuevo	nya	nuevo	ny	ADJ;MASC;SG	ADJ;NOM;PL
véase	see	véase	see	V;SBJV;SG;3;PRS;FIN	V;IMP;FIN;ACT
véase	se	véase	se	V;SBJV;SG;3;PRS;FIN	V;IMP;FIN;ACT
junto	längs	junto	längs	ADJ	ADV
junto	utmed	junto	utmed	ADJ	ADP
segunda	segunda	segundo	segunda	ADJ;FEM;SG	PROPN;NOM
segunda	sekund	segundo	sekund	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
segunda	andra	segundo	annan	ADJ;FEM;SG	PRO;INDF;PL
discusión	diskussioner	discusión	diskussion	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
final	avsluta	final	avsluta	N;MASC;SG	V;IMP;FIN;ACT
final	slutliga	final	slutlig	N;MASC;SG	ADJ;NOM;PL
final	slutligt	final	slutlig	N;MASC;SG	ADV
final	sista	final	sista	N;MASC;SG	ADJ;NOM;DEF;RL
final	slutgiltigt	final	slutgiltig	N;MASC;SG	ADV
final	slutlig	final	slutlig	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
personas	people	persona	people	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
español	spansk	español	spansk	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
español	spanskt	español	spanskt	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
julio	julio	julio	julio	N	PROPN;NOM
julio	julius	julio	julius	N	PROPN;NOM
hay	hö	haber	hö	V;IND;SG;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
lincoln	lincoln	lincoln	lincoln	N;MASC;SG	PROPN;NOM
internacional	internacional	internacional	internacional	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
internacional	internationalen	internacional	international	ADJ;SG	N;NOM;DEF;MASC+FEM;SG
internacional	international	internacional	international	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
internacional	internationella	internacional	internationell	ADJ;SG	ADJ;NOM;PL
santa	fy	santo	fy	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
santa	heliga	santo	helig	ADJ;FEM;SG	ADJ;NOM;PL
santa	sankt	santo	sankt	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
santa	saint	santo	saint	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
santa	helgon	santo	helgon	ADJ;FEM;SG	N;NOM;INDF;NEUT;SG
santa	tomte	santo	tom	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
santa	tomten	santo	tomt	ADJ;FEM;SG	N;NOM;DEF;MASC+FEM;SG
antes	före	antes	före	ADV	ADP
antes	innan	antes	innan	ADV	CONJ
oficial	tjänsteman	oficial	tjänsteman	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
oficial	officiella	oficial	officiell	ADJ;SG	ADJ;NOM;PL
oficial	polisman	oficial	polisman	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
oficial	officer	oficial	officer	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
quien	vilka	quien	vilken	PRO;SG	PRO;INDF;PL
quien	vem	quien	vem	PRO;SG	PRO;INDF;MASC+FEM;SG
quien	who	quien	who	PRO;SG	N;NOM;INDF;NEUT;SG
tanto	båda	tanto	båda	ADV	PRO;DEF;PL
tanto	både	tanto	både	ADV	CONJ
algunos	några	alguno	någon	PRO;MASC;PL	DET;INDF;PL
mejor	bättre	mejor	bra	ADV	ADJ;NOM;CMPR
mejor	bästa	mejor	bra	ADV	ADJ;NOM;DEF;RL
marzo	marschera	marzo	marschera	N	V;IMP;FIN;ACT
madrid	madrid	madrid	madrid	N;MASC;SG	PROPN;NOM
madrid	liverpool	madrid	liverpool	N;MASC;SG	PROPN;NOM
enero	jan	enero	jan	N	PROPN;NOM
otro	annan	otro	annan	PRO;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
otro	övrig	otro	övrig	PRO;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
otro	övriga	otro	övrig	PRO;MASC;SG	ADJ;NOM;PL
otro	andra	otro	annan	PRO;MASC;SG	PRO;INDF;PL
otro	övrigt	otro	övrigt	PRO;MASC;SG	ADJ;NOM;INDF;NEUT;SG
otro	annat	otro	annan	PRO;MASC;SG	PRO;INDF;NEUT;SG
estaba	var	estar	var	V;IND;SG;3;IPFV;FIN	PRO;INDF;MASC+FEM;SG
total	totalt	total	total	ADJ;SG	ADV
total	sammanlagt	total	sammanlagd	ADJ;SG	ADV
total	totala	total	total	ADJ;SG	ADJ;NOM;PL
total	summa	total	summa	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
habitantes	boende	habitante	boende	N;PL	N;NOM;INDF;NEUT;SG
habitantes	bosatta	habitante	bosatt	N;PL	ADJ;NOM;PL;PST;V.PTCP
maría	marie	maría	marie	N;FEM;SG	PROPN;NOM
maría	mary	maría	mary	N;FEM;SG	PROPN;NOM
maría	maria	maría	maria	N;FEM;SG	PROPN;NOM
maría	maria	maría	maria	N;FEM;SG	PROPN;NOM
real	real	real	real	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
real	riktigt	real	riktig	ADJ;SG	ADV
real	kungliga	real	kunglig	ADJ;SG	ADJ;NOM;PL
real	royal	real	royal	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
página	page	página	page	N;FEM;SG	V;IMP;FIN;ACT
mundial	world	mundial	world	ADJ;SG	N;NOM;NEUT;SG
mundial	värld	mundial	värld	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
mundial	världen	mundial	värld	ADJ;SG	N;NOM;DEF;MASC+FEM;SG
mundial	globala	mundial	global	ADJ;SG	ADJ;NOM;PL
mundial	global	mundial	global	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
casa	hemma	casa	hemma	N;FEM;SG	ADV
debido	due	debido	due	ADJ	N;NOM;INDF;NEUT;SG
cuenta	antal	contar	antal	V;IND;SG;3;PRS;FIN	N;NOM;INDF;NEUT;SG
cuenta	greve	contar	grev	V;IND;SG;3;PRS;FIN	PROPN;NOM
cuenta	räkna	contar	räkna	V;IND;SG;3;PRS;FIN	V;IMP;FIN;ACT
cuenta	konto	contar	konto	V;IND;SG;3;PRS;FIN	N;NOM;INDF;NEUT;SG
cuenta	kontot	contar	konto	V;IND;SG;3;PRS;FIN	N;NOM;DEF;NEUT;SG
ella	ella	él	ell	PRO;FEM;SG;3	PROPN;NOM
ella	she	él	she	PRO;FEM;SG;3	V;IMP;FIN;ACT
ella	her	él	her	PRO;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
pueden	kan	poder	kunna	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
pueden	can	poder	can	V;IND;PL;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
varios	diverse	varios	diverse	PRO;MASC;PL	N;NOM;INDF;MASC+FEM;PL
varios	övrigt	varios	övrigt	PRO;MASC;PL	ADJ;NOM;INDF;NEUT;SG
varios	diverse	varios	diverse	PRO;MASC;PL	N;NOM;INDF;MASC+FEM;PL
varios	diverse	varios	diverse	PRO;MASC;PL	N;NOM;INDF;MASC+FEM;PL
varios	olika	varios	olik	PRO;MASC;PL	ADJ;NOM;PL
francia	frankrike	francia	frankrike	PROPN	PROPN;NOM
francia	france	francia	fra	PROPN	N;NOM;INDF;MASC+FEM;SG
solo	ensamt	solo	ensam	ADV	ADJ;NOM;INDF;NEUT;SG
solo	ensam	solo	ensam	ADV	ADJ;NOM;INDF;MASC+FEM;SG
solo	ensamma	solo	ensam	ADV	ADJ;NOM;PL
solo	solo	solo	solo	ADV	N;NOM;INDF;MASC+FEM;SG
chile	chilenska	chile	chilensk	PROPN	ADJ;NOM;PL
chile	chili	chile	chili	PROPN	N;NOM;INDF;MASC+FEM;SG
chile	chile	chile	chile	PROPN	PROPN;NOM
obra	arbeta	obra	arbeta	N;FEM;SG	V;IMP;FIN;ACT
obra	jobba	obra	jobba	N;FEM;SG	V;IMP;FIN;ACT
película	filma	película	filma	N;FEM;SG	V;IMP;FIN;ACT
principal	huvudsakliga	principal	huvudsaklig	ADJ;SG	ADJ;NOM;PL
principal	main	principal	main	ADJ;SG	PROPN;NOM
principal	huvudsakliga	principal	huvudsaklig	ADJ;SG	ADJ;NOM;PL
principal	huvudansvarig	principal	huvudansvarig	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
principal	rektorn	principal	rektor	ADJ;SG	N;NOM;DEF;MASC+FEM;SG
principal	huvudman	principal	huvudma	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
principal	rektor	principal	rektor	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
tuvo	had	tener	had	V;IND;SG;3;PST;FIN	V;IMP;FIN;ACT
carlos	karl	carlo	karl	N;MASC;SG	PROPN;NOM
carlos	charles	carlo	charles	N;MASC;SG	PROPN;NOM
carlos	karl	carlo	karl	N;MASC;SG	PROPN;NOM
carlos	carl	carlo	carl	N;MASC;SG	PROPN;NOM
carlos	carlos	carlo	carlos	N;MASC;SG	PROPN;NOM
carlos	charlie	carlo	charlie	N;MASC;SG	PROPN;NOM
km²	km	kme	km		N
edición	redigera	edición	rediger	N;FEM;SG	V;IMP;FIN;ACT
edición	redigerar	edición	redigera	N;FEM;SG	V;IND;PRS;FIN;ACT
edición	redigera	edición	rediger	N;FEM;SG	V;IMP;FIN;ACT
tenía	had	tener	had	V;IND;SG;3;IPFV;FIN	V;IMP;FIN;ACT
tenía	hadde	tener	ha	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
tenía	hade	tener	ha	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
premios	awards	premio	acard	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
premios	utmärkelse	premio	utmärkelse	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
premios	tilldelning	premio	tilldelning	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
bien	duktiga	bien	duktig	ADV	ADJ;NOM;PL
bien	god	bien	god	ADV	ADJ;NOM;INDF;MASC+FEM;SG
bien	duktig	bien	duktig	ADV	ADJ;NOM;INDF;MASC+FEM;SG
bien	fine	bien	få	ADV	N;NOM;INDF;MASC+FEM;SG
segundo	sekund	segundo	sekund	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
segundo	andra	segundo	annan	ADJ;MASC;SG	PRO;INDF;PL
mar	mar	mar	mar	N;SG	NUM;NOM
poco	little	poco	littal	ADV	N;NOM;INDF;MASC+FEM;SG
poco	lilla	poco	liten	ADV	ADJ;NOM;DEF;SG
poco	liten	poco	liten	ADV	ADJ;NOM;INDF;MASC+FEM;SG
orden	beställa	orden	beställa	N;MASC;SG	V;NFIN;ACT
estadounidense	american	estadounidense	america	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
estadounidense	amerikan	estadounidense	amerika	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
estadounidense	amerikanska	estadounidense	amerikansk	ADJ;SG	ADJ;NOM;PL
tierra	landa	tierra	landa	N;FEM;SG	V;IMP;FIN;ACT
tierra	tierra	tierra	tierr	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
están	är	estar	vara	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
están	are	estar	are	V;IND;PL;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
canción	song	canción	song	N;FEM;SG	PROPN;NOM
trabajo	arbeta	trabajo	arbeta	N;MASC;SG	V;IMP;FIN;ACT
trabajo	jobba	trabajo	jobba	N;MASC;SG	V;IMP;FIN;ACT
especie	djurart	especie	djur	N;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
especie	arter	especie	art	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
luis	ludvig	luis	ludvig	N;MASC;SG	PROPN;NOM
luis	louis	luis	louis	N;MASC;SG	PROPN;NOM
luis	luis	luis	luis	N;MASC;SG	PROPN;NOM
dentro	inside	dentro	inside	ADV	N;NOM;INDF;MASC+FEM;SG
dentro	insidan	dentro	insida	ADV	N;NOM;DEF;MASC+FEM;SG
dentro	inuti	dentro	inuti	ADV	N;NOM;INDF;MASC+FEM;SG
obras	funkar	obra	funka	N;FEM;PL	V;IND;PRS;FIN;ACT
obras	arbetar	obra	arbeta	N;FEM;PL	V;IND;PRS;FIN;ACT
obras	fungerar	obra	fungera	N;FEM;PL	V;IND;PRS;FIN;ACT
obras	spelar	obra	spela	N;FEM;PL	V;IND;PRS;FIN;ACT
distrito	valdistrikt	distrito	valdistrikt	N;MASC;SG	N;NOM;INDF;NEUT;PL
copa	copa	copa	copa	N;FEM;SG	PROPN;NOM
copa	bägare	copa	bägare	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
francisco	francisco	francisco	francisco	N;MASC;SG	PROPN;NOM
francisco	frans	francisco	frans	N;MASC;SG	PROPN;NOM
francisco	francis	francisco	francis	N;MASC;SG	PROPN;NOM
les	les	él	les	PRO;DAT;PL;3	N;NOM;INDF;NEUT;SG
siguiente	följer	siguiente	följa	ADJ;SG	V;IND;PRS;FIN;ACT
siguiente	härnäst	siguiente	härnäst	ADJ;SG	ADV
grandes	large	grande	large	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
grandes	stor	grande	stor	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
grandes	stort	grande	stor	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
grandes	big	grande	big	ADJ;PL	N;NOM;INDF;NEUT;SG
grandes	stor	grande	stor	ADJ;PL	ADJ;NOM;INDF;MASC+FEM;SG
grandes	stort	grande	stor	ADJ;PL	ADJ;NOM;INDF;NEUT;SG
grandes	grandes	grande	grand	ADJ;PL	N;NOM;INDF;MASC+FEM;SG
muerte	dödsfall	muerte	dödsfall	N;FEM;SG	N;NOM;INDF;NEUT;PL
medio	medium	medio	medium	NUM;MASC;SG	N;NOM;INDF;NEUT;SG
medio	medelhög	medio	medelhög	NUM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
medio	medellång	medio	medellång	NUM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
medio	medelstor	medio	medelstor	NUM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
medio	medio	medio	medio	NUM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
medio	halvt	medio	halv	NUM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
medio	half	medio	half	NUM;MASC;SG	N;NOM;INDF;NEUT;SG
