oklahoma	οκλαχόμα	oklahoma	οκλαχόμα		PROPN;NOM;FEM;SG
coupé	κουπέ	coupé	κουπέ	N;INDF;MASC+FEM;SG	
bevidsthed	συνειδητή	bevidsthed	συνειδητής	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
sproglige	γλωσσική	sproglig	γλωσσικός	ADJ;PL	ADJ;NOM;FEM;SG
undtagelser	εξαίρεση	undtagelse	εξαίρεση	N;INDF;MASC+FEM;PL	N;ACC;FEM;SG
houston	χιούστον	houston	χιούστος		
spændende	ενδιαφέρον	spændende	ενδιαφέρον	ADJ	N;NOM;NEUT;SG
spændende	ενδιαφέρων	spændende	ενδιαφέρος	ADJ	N;NOM;NEUT;SG
spændende	ενδιαφέροντα	spændende	ενδιαφέρω	ADJ	ADV
spændende	συναρπαστικά	spændende	συναρπαστικά	ADJ	ADV
bombe	βομβαρδισμοί	bombe	βομβαρδισμός	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
tank	τανκ	tank	τανκ	N;INDF;MASC+FEM;SG	
flandern	φλάνδρα	flande	φλάνδρα	N;INDF;MASC+FEM;PL	PROPN;ACC;FEM;SG
flandern	φλάντερς	flande	φλάντερς	N;INDF;MASC+FEM;PL	ADV;CMPR
cbs	cbs	cbs	cbs	N;INDF;MASC+FEM;SG	
fremstiller	κατασκευαστής	fremstille	κατασκευαστής	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
fremstiller	κατασκευαστή	fremstille	κατασκευαστής	V;IND;PRS;FIN;ACT	N;ACC;MASC;SG
fremstiller	παραγωγός	fremstille	παραγωγός	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
kaserne	στρατώνα	kase	στρατώνα	N;DEF;MASC+FEM;PL	N;ACC;MASC;SG
behandle	κέρασμα	behandle	κέρασμα	V;NFIN;ACT	N;NOM;NEUT;SG
behandle	θεραπεία	behandle	θεραπείο	V;NFIN;ACT	N;NOM;FEM;SG
patent	πατέντες	patent	πατώ	N;INDF;NEUT;SG	N;NOM;FEM;PL
owen	όουεν	owen	όουεν		
owen	owen	owen	owen		
rafael	ραφαήλ	rafael	ραφαήλ		N
rafael	ραφαέλ	rafael	ραφαέλ		
rafael	ραφαέλ	rafael	ραφαέλ		
filippinerne	φιλιππίνες	filippin	φιλιππίνα	N;DEF;MASC+FEM;PL	PROPN;NOM;FEM;PL
kæden	αλυσίδες	kæde	αλυσίδα	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
skatter	φόρους	skatter	φόρος	ADV	N;ACC;MASC;PL
skatter	φόροι	skatter	φόρος	ADV	N;NOM;MASC;PL
ravn	ρέιβεν	ravn	ρέιβεν	N;INDF;MASC+FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
usædvanlig	ασυνήθιστα	usædvanlig	ασυνήθιστο	ADJ;INDF;MASC+FEM;SG	ADV
alabama	αλαμπάμα	alabama	αλαμπάμα		
væbnede	οπλισμένοι	væbne	οπλίζω	ADJ;PL	V;PFV;NOM;MASC;PL;V.PTCP;PASS
væbnede	οπλισμένη	væbne	οπλίσκω	ADJ;PL	V;PFV;NOM;FEM;SG;V.PTCP;PASS
væbnede	οπλισμένος	væbne	οπλισμένος	ADJ;PL	V;PFV;NOM;MASC;SG;V.PTCP;PASS
væbnede	οπλισμένο	væbne	οπλίζω	ADJ;PL	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
undersøgt	σπουδές	undersøge	σπουδός	V;INDF;SG;PST;V.PTCP	N;NOM;FEM;PL
undersøgt	εξετάστηκαν	undersøge	εξετάζω	V;INDF;SG;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
organiske	οργανικά	organisk	οργανικά	ADJ;PL	ADV
organiske	οργανικό	organisk	οργανικός	ADJ;PL	ADJ;NOM;NEUT;SG
organiske	οργανική	organisk	οργανικός	ADJ;PL	ADJ;NOM;FEM;SG
organiske	βιολογικά	organisk	βιολογικά	ADJ;PL	ADV
newton	νιούτον	newton	νιούτος		
newton	newton	newton	newton		
dybere	βαθύτερη	dybere	βαθύς	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
dybere	βαθύτερο	dybere	βαθύς	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
michelle	michelle	michel	michelle	N;INDF;MASC+FEM;SG	
michelle	μισέλ	michel	μισέλ	N;INDF;MASC+FEM;SG	
sammenlignes	συγκρίνει	sammenligne	συγκρίνω	V;IND;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
olga	όλγα	olga	όλγα		PROPN;NOM;FEM;SG
romantisk	ρομαντικό	romantisk	ρομαντικός	ADV	ADJ;NOM;NEUT;SG
romantisk	ρομαντική	romantisk	ρομαντικός	ADV	ADJ;NOM;FEM;SG
romantisk	ρομαντικός	romantisk	ρομαντικός	ADV	ADJ;NOM;MASC;SG
blind	τυφλοί	blind	τυφλός	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
blind	τυφλά	blind	τυφλά	ADJ;INDF;MASC+FEM;SG	ADV
sevilla	sevilla	sevilla	sevilla	PROPN	
sevilla	σεβίλλη	sevilla	σεβίλλη	PROPN	PROPN;NOM;FEM;SG
sevilla	σεβίλλη	sevilla	σεβίλλη	PROPN	PROPN;NOM;FEM;SG
mel	μελ	mel	μελ	N;INDF;MASC+FEM;SG	
ronnie	ρόνι	ronnie	ρόνι		
køb	αγόρασε	køb	αγοράζω	N;INDF;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
køb	αγοράσω	køb	αγοράζω	N;INDF;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
køb	αγορές	køb	αγορά	N;INDF;NEUT;SG	N;NOM;FEM;PL
køb	αγοράζοντας	køb	αγοράζω	N;INDF;NEUT;SG	V;IPFV;V.CVB;ACT
walker	walker	walke	walker	N;INDF;MASC+FEM;SG	
walker	γουόλκερ	walke	γουόλκερ	N;INDF;MASC+FEM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
walker	γουόκερ	walke	γουόκερ	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
afslørede	αποκαλύφθηκε	afsløre	αποκαλύπτω	V;IND;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
afslørede	αποκαλύπτεται	afsløre	αποκαλύπτω	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
ruth	ruth	ruth	ruth	N;INDF;MASC+FEM;SG	
ruth	ρουθ	ruth	ρουθ	N;INDF;MASC+FEM;SG	
domstol	κορτ	domstol	κορτ	N;INDF;MASC+FEM;SG	
separat	χωριστή	separat	χωριστής	ADV	ADJ;NOM;FEM;SG
wikidata	wikidata	wikidata	wikidata		N;NOM;NEUT;PL
stein	στάιν	stein	στώ	N;INDF;MASC+FEM;SG	
skulptur	γλυπτά	skulptur	γλυπτά	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
pearl	περλ	pearl	περλ	N;INDF;MASC+FEM;SG	
trykte	τυπωμένο	trykte	τυπωμένος	V;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
godkendte	ενέκρινε	godkende	εγκρίνω	V;PL;PST;V.PTCP	V;IPFV;IND;SG;3;PST;FIN;ACT
godkendte	εγκρίνεται	godkende	εγκρίνω	V;PL;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
godkendte	εγκεκριμένο	godkende	εγκεκριμένος	V;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
godkendte	εγκρίθηκε	godkende	εγκρίνω	V;PL;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
permanente	μόνιμο	permanent	μόνιμο	ADJ;PL	ADJ;NOM;NEUT;SG
permanente	μόνιμος	permanent	μόνιμος	ADJ;PL	ADJ;NOM;MASC;SG
permanente	μόνιμη	permanent	μόνιμος	ADJ;PL	ADJ;NOM;FEM;SG
permanente	μόνιμα	permanent	μόνιμα	ADJ;PL	ADV
winston	ουίνστον	winston	ουίνστο	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
winston	γουίνστον	winston	γούίντομαι	N;INDF;MASC+FEM;SG	
dygtige	ταλαντούχος	dygtig	ταλαντούχος	ADJ;PL	N;NOM;MASC;SG
dygtige	ταλέντο	dygtig	ταλέντος	ADJ;PL	N;NOM;NEUT;SG
dygtige	ταλαντούχα	dygtig	ταλαντούχα	ADJ;PL	N;NOM;FEM;SG
dygtige	ταλαντούχο	dygtig	ταλαντούχος	ADJ;PL	N;ACC;MASC;SG
emmy	έμμυ	emmy	έμμυ	N;INDF;MASC+FEM;SG	
oldenburg	oldenburg	oldenburg	oldenburg		
dortmund	dortmund	dortmund	dortmund	PROPN	
kæde	αλυσίδες	kæde	αλυσίδα	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
dragon	δράκο	dragon	δράκο		N;NOM;NEUT;SG
dragon	δράκος	dragon	δράκος		N;NOM;MASC;SG
göttingen	γκέτινγκεν	gytting	γκέτινγκεν	N;DEF;MASC+FEM;SG	
rede	προετοιμασμένος	rede	προετοιμασμένος	N	V;PFV;NOM;MASC;SG;V.PTCP;PASS
rede	προετοιμασμένη	rede	προετοιμάζω	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
rede	παρασκευασμένα	rede	παρασκευασμένος	N	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
chopin	σοπέν	chopin	σοπέν		
drab	ανθρωποκτονίες	drab	ανθρωποκτονία	N;INDF;NEUT;SG	N;NOM;FEM;PL
drab	ανθρωποκτονιών	drab	ανθρωποκτονία	N;INDF;NEUT;SG	N;GEN;FEM;PL
drab	φόνοι	drab	φόνος	N;INDF;NEUT;SG	N;NOM;MASC;PL
drab	δολοφονίες	drab	δολοφονία	N;INDF;NEUT;SG	N;NOM;FEM;PL
gad	gad	gide	gad	V;IND;PST;FIN;ACT	
gad	γκαντ	gide	γκαντ	V;IND;PST;FIN;ACT	
dale	ντέιλ	dal	ντέιλ	N;INDF;MASC+FEM;PL	
pedro	πέδρο	pedro	πέδρο		
pedro	pedro	pedro	pedro		
pedro	πέντρο	pedro	πέντρο		
barry	barry	barry	barry		
barry	μπάρυ	barry	μπάρυ		N
barry	μπάρι	barry	μπάρι		
allieret	συμμαχικές	alliere	συμμαχικός	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
allieret	άλι	alliere	άλι	V;INDF;SG;PST;V.PTCP	
allieret	σύμμαχος	alliere	σύμμαχος	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
judas	ιούδας	judas	ιούδα		N;NOM;MASC;SG
judas	ιούδα	judas	ιούδα		N;VOC;MASC;SG
lufthavne	αεροδρόμιο	lufthavne	αεροδρόμιο	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
lufthavne	αερολιμένας	lufthavne	αερολιμένος	N;INDF;MASC+FEM;PL	ADJ;NOM;MASC;SG
lufthavne	αερολιμένες	lufthavne	αερολιμένος	N;INDF;MASC+FEM;PL	ADJ;NOM;FEM;PL
small	μικρή	small	μικρός		ADJ;NOM;FEM;SG
small	μικρό	small	μικρός		ADJ;NOM;NEUT;SG
small	μικρές	small	μικρός		ADJ;NOM;FEM;PL
small	μικρός	small	μικρός		ADJ;NOM;MASC;SG
small	μικρά	small	μικρός		ADV
kentucky	κεντάκι	kentucky	κεντάκι		
nassau	νασάου	nassau	νασά	N;INDF;MASC+FEM;SG	PROPN;NOM;NEUT;SG
proteiner	πρωτεΐνη	protein	πρωτεύνω	N;INDF;NEUT;PL	N;NOM;FEM;SG
simpson	σίμπσον	simpson	σίμπσον		
simpson	simpson	simpson	simpson		
simpson	σίμσον	simpson	σίμσον		PROPN;NOM;MASC;SG
satellitter	δορυφόροι	satellit	δορύφορος	N;INDF;MASC+FEM;PL	ADJ;NOM;MASC;PL
nepal	νεπάλ	nepal	νεπάλ	PROPN	
koncentreret	επικέντρωση	koncentrere	επικέντρωση	V;INDF;SG;PST;V.PTCP	N;ACC;FEM;SG
westfalen	βεστφαλίας	westfale	βεστφαλία	N;DEF;MASC+FEM;SG	PROPN;GEN;FEM;SG
amy	amy	amy	amy	N;INDF;MASC+FEM;SG	
amy	έιμι	amy	έιμι	N;INDF;MASC+FEM;SG	
factor	παράγοντας	factor	παράγοντας	N;INDF;MASC+FEM;SG	V;IPFV;V.CVB;ACT
walk	βόλτα	walk	βόλτα		N;NOM;FEM;SG
walk	περίπατος	walk	περίπατος		ADJ;NOM;MASC;SG
walk	περπάτημα	walk	περπάτημα		N;NOM;NEUT;SG
opdagelsesrejsende	εξερευνητής	opdagelsesrejsende	εξερευνητής	ADJ	N;NOM;MASC;SG
opdagelsesrejsende	εξερευνητές	opdagelsesrejsende	εξερευνητής	ADJ	N;NOM;MASC;PL
møbler	έπιπλο	møbel	έπιπλο	N;INDF;NEUT;PL	N;NOM;NEUT;SG
rick	rick	rick	rick		
rick	ρικ	rick	ρικ		
neutrale	ουδέτερη	neutral	ούδετερος	ADJ;PL	ADJ;NOM;FEM;SG
neutrale	ουδέτερο	neutral	ούδετερος	ADJ;PL	N;NOM;NEUT;SG
rob	rob	rob	rob		
rob	ρομπ	rob	ρομπ		
omfattet	συμπεριλαμβάνεται	omfatte	συμπεριλαμβάνω	N;DEF;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
omfattet	περιλαμβάνονται	omfatte	περιλαμβάνω	N;DEF;NEUT;SG	V;IPFV;IND;PL;3;PRS;FIN;PASS
omfattet	συμπεριλαμβάνονται	omfatte	συμπεριλαμβάνω	N;DEF;NEUT;SG	V;IPFV;IND;PL;3;PRS;FIN;PASS
omfattet	περιλαμβάνεται	omfatte	περιλαμβάνω	N;DEF;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
omfattet	καλύπτεται	omfatte	καλύπτω	N;DEF;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
omfattet	καλυμμένοι	omfatte	καλύμμινος	N;DEF;NEUT;SG	ADJ;NOM;MASC;PL
omfattet	καλύπτονται	omfatte	καλύπτω	N;DEF;NEUT;SG	V;IPFV;IND;PL;3;PRS;FIN;PASS
omfattet	καλυμμένη	omfatte	καλύμμενος	N;DEF;NEUT;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
kriminelle	κακοποιός	kriminel	κακοποιός	ADJ;PL	N;NOM;MASC;SG
kriminelle	εγκληματική	kriminel	εγκληματικός	ADJ;PL	ADJ;NOM;FEM;SG
kriminelle	εγκληματίας	kriminel	εγκληματίας	ADJ;PL	N;NOM;MASC;SG
kriminelle	ποινικό	kriminel	ποινικός	ADJ;PL	ADJ;NOM;NEUT;SG
kriminelle	εγκληματίες	kriminel	εγκληματίας	ADJ;PL	N;NOM;MASC;PL
kriminelle	κακοποιοί	kriminel	κακοποιός	ADJ;PL	N;NOM;MASC;PL
leftarm	leftarm	leftarm	leftarm		
cæsar	καίσαρ	cæsar	καίσαρ	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
regelmæssige	τακτικά	regelmæssig	τακτικός	ADJ;PL	ADV
regelmæssige	τακτική	regelmæssig	τακτικός	ADJ;PL	ADJ;NOM;FEM;SG
regelmæssige	κανονική	regelmæssig	κανονικός	ADJ;PL	ADJ;NOM;FEM;SG
regelmæssige	κανονικός	regelmæssig	κανονικός	ADJ;PL	ADJ;NOM;MASC;SG
regelmæssige	κανονικό	regelmæssig	κανονικός	ADJ;PL	ADJ;NOM;NEUT;SG
cypern	cyprus	cypern	cyprus	N;INDF;MASC+FEM;SG	
cypern	κύπρο	cypern	κύπρος	N;INDF;MASC+FEM;SG	PROPN;ACC;FEM;SG
cypern	κύπρος	cypern	κύπρος	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
halve	μισά	halv	μισό	ADJ;PL	ADV
mitsubishi	m	mitsubishi	ο		
skarpe	κοφτερό	skarp	κοφτερός	ADJ;PL	N;NOM;NEUT;SG
skarpe	αιχμηρό	skarp	αιχμηρός	ADJ;PL	ADJ;NOM;NEUT;SG
skarpe	σαρπ	skarp	σαρπ	ADJ;PL	N
kriminalitet	εγκλήματα	kriminalitet	έγκλημα	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
