loại	tasteaza	loại	tastează	N	V;IND;SG;3;IPFV;FIN
chính	principala	chính	principal	PART	ADJ;DEF;FEM;SG
chính	main	chính	main	PART	N
chính	principale	chính	principal	PART	ADJ;INDF;FEM;PL
chính	principala	chính	principal	PART	ADJ;DEF;FEM;SG
chính	principal	chính	principal	PART	N;INDF;MASC;SG
động	dinamica	động	dinamică	V	N;DEF;FEM;SG
động	dinamice	động	dinamic	V	ADJ;INDF;FEM;PL
động	dinamica	động	dinamică	V	N;DEF;FEM;SG
động	dinamic	động	dinamic	V	ADJ;INDF;MASC;SG
động	automata	động	automată	V	N;DEF;FEM;SG
động	automatic	động	automatic	V	N;INDF;MASC;SG
động	automate	động	automat	V	ADJ;INDF;FEM;PL
động	automat	động	automat	V	ADV
động	automat	động	automat	V	ADV
khi	cand	khi	cand	N	
khi	cand	khi	cand	N	
đến	sosirea	đến	sosire	PART	N;DEF;FEM;SG
đến	sosire	đến	sosire	PART	N;INDF;FEM;SG
đến	vino	đến	vino	PART	V;IND;SG;2;PRS;FIN
đến	venind	đến	veni	PART	V;V.MSDR
đến	vin	đến	veni	PART	V;IND;PL;3;PRS;FIN
theo	theo	theo	theo	V	PROPN
theo	follow	theo	follow	V	
theo	dupa	theo	dupa	V	N;DEF;FEM;SG
theo	dupa	theo	dupa	V	N;DEF;FEM;SG
tỉnh	treaz	tỉnh	treaz	N	ADJ;INDF;MASC;SG
tỉnh	sobru	tỉnh	sobru	N	ADJ;INDF;MASC;SG
tỉnh	treaza	tỉnh	trează	N	ADJ;DEF;FEM;SG
tỉnh	treaz	tỉnh	treaz	N	ADJ;INDF;MASC;SG
tỉnh	treaza	tỉnh	trează	N	ADJ;DEF;FEM;SG
trung	mediu	trung	mediu	N	ADJ;INDF;MASC;SG
trung	centrala	trung	centrală	N	ADJ;DEF;FEM;SG
trung	centrala	trung	centrală	N	ADJ;DEF;FEM;SG
trung	central	trung	central	N	ADJ;INDF;MASC;SG
trên	deasupra	trên	deasupra		ADP;GEN
nhà	acasa	nhà	acasa	N	
nhà	acasa	nhà	acasa	N	
nhà	home	nhà	homă	N	
thị	grafic	thị	grafic	N	ADV
như	ca	như	ca	CONJ	ADV
như	like	như	like	CONJ	
bản	olandezi	bản	olandez	N	ADJ;INDF;MASC;PL
bản	olandez	bản	olandez	N	ADJ;INDF;MASC;SG
miêu	miao	miêu	miao	N	
tên	name	tên	name	N	
làm	facand	làm	facand	V	
đại	mare	đại	mare	N	ADJ;INDF;MASC;SG
đại	mari	đại	mare	N	ADJ;INDF;PL
hiện	arata	hiện	arata	N	V;IND;SG;3;IPFV;FIN
hiện	arata	hiện	arata	N	V;IND;SG;3;IPFV;FIN
hiện	afiseaza	hiện	afisea	N	V;IND;SG;3;IPFV;FIN
thế	ca	thế	ca	PROPN	ADV
thế	asta	thế	acesta	PROPN	PRO;FEM;SG;3
thế	aia	thế	acela	PROPN	PRO;FEM;SG;3
bar	barul	bar	bar		N;DEF;MASC;SG
bar	bar	bar	bar		N;INDF;MASC;SG
việt	vietnam	việt	vietnam	N	PROPN
nhân	multiplica	nhân	multiplică		V;IND;SG;3;IPFV;FIN
nhân	nucleul	nhân	nucleu		N;DEF;MASC;SG
nhân	core	nhân	core		N;INDF;MASC;SG
nhân	miezul	nhân	miez		N;DEF;MASC;SG
nhân	miez	nhân	miez		N;INDF;MASC;SG
nhân	nucleu	nhân	nucleu		N;INDF;MASC;SG
nhân	pacienta	nhân	pacientă		N;DEF;FEM;SG
nhân	pacientul	nhân	pacient		N;DEF;MASC;SG
nhân	pacienta	nhân	pacientă		N;DEF;FEM;SG
nhân	pacient	nhân	pacient		N;INDF;MASC;SG
phát	difuzat	phát	difuza	V	ADJ;INDF;MASC;SG
phát	transmisie	phát	transmisie	V	N;INDF;FEM;SG
phát	transmisiune	phát	transmisiune	V	N;INDF;FEM;SG
phát	difuzare	phát	difuzare	V	N;INDF;FEM;SG
phát	shot	phát	shot	V	N;INDF;MASC;SG
phát	impuscat	phát	impusca	V	ADJ;INDF;MASC;SG
phát	impuscat	phát	impusca	V	ADJ;INDF;MASC;SG
phát	focuri	phát	foc	V	N;INDF;FEM;PL
anh	ai	anh	avea	N	V;SG;2
anh	te	anh	tu	N	PRO;ACC;SG;2
anh	tu	anh	tu	N	PRO;NOM;SG;2
pháp	francezi	pháp	francez	N	ADJ;INDF;MASC;PL
pháp	francez	pháp	francez	N	ADJ;INDF;MASC;SG
pháp	franta	pháp	frantă	N	PROPN
pháp	franta	pháp	frantă	N	PROPN
pháp	franta	pháp	frantă	N	PROPN
danh	importa	danh	importa	N	V;IND;SG;3;IPFV;FIN
chúng	ei	chúng	el	PROPN	PRO;MASC;PL;3
chúng	au	chúng	avea	PROPN	V;PL;3
chúng	ei	chúng	el	PROPN	PRO;MASC;PL;3
chúng	ele	chúng	el	PROPN	PRO;FEM;PL;3
tập	episod	tập	episod		N;INDF;MASC;SG
tập	episodul	tập	episod		N;DEF;MASC;SG
tập	episoadele	tập	episod		N;DEF;FEM;PL
tập	episoade	tập	episod		N;INDF;FEM;PL
nhiều	multi	nhiều	mult	ADJ	
nhiều	multi	nhiều	mult	ADJ	
nhiều	multe	nhiều	mult	ADJ	PRO;FEM;PL;3
nhiều	much	nhiều	much	ADJ	
nhiều	mult	nhiều	mult	ADJ	ADV
nhiều	multiplu	nhiều	multiplu	ADJ	
nhiều	multipla	nhiều	multipla	ADJ	N;DEF;FEM;SG
chi	chi	chi	chi	N	
chỉ	doar	chỉ	doar		ADV
chỉ	numai	chỉ	numai		ADV
chỉ	doar	chỉ	doar		ADV
đây	aici	đây	aici	PROPN	ADV
sinh	nascut	sinh	naște	V	ADJ;INDF;MASC;SG
sinh	nascuta	sinh	nascuta	V	N;DEF;FEM;SG
sinh	nascut	sinh	naște	V	ADJ;INDF;MASC;SG
sinh	nastere	sinh	nastere	V	
sinh	nastere	sinh	nastere	V	
sinh	nasterea	sinh	nastere	V	N;DEF;FEM;SG
quan	guan	quan	guan	V	N;INDF;MASC;SG
quan	quan	quan	quan	V	N;INDF;MASC;SG
quan	ofiter	quan	ofiter	V	N;INDF;MASC;SG
quan	ofiter	quan	ofiter	V	N;INDF;MASC;SG
quan	ofiter	quan	ofiter	V	N;INDF;MASC;SG
tin	crede	tin	crede		V;IND;SG;3;PRS;FIN
tin	tin	tin	tin		V;IND;SG;3;PRS;FIN
tin	staniu	tin	staniu		N;INDF;MASC;SG
tin	tabla	tin	tabla		N;DEF;FEM;SG
tin	povestiri	tin	povestire		N;INDF;FEM;PL
tin	povesti	tin	povesti		N;INDF;FEM;PL
tin	povesti	tin	povesti		N;INDF;FEM;PL
tin	incredere	tin	incredere		N;INDF;FEM;SG
tin	incredere	tin	incredere		N;INDF;FEM;SG
đồng	đồng	đồng	đồng	N	
viên	vien	viên	vien	N	
viên	viena	viên	viena	N	PROPN
viên	vienna	viên	viennă	N	PROPN
hai	doua	hai	doi	NUM	NUM;FEM;SG
hai	doua	hai	doi	NUM	NUM;FEM;SG
phải	dreapta	phải	dreaptă	V	N;DEF;FEM;SG
phải	corect	phải	corect	V	ADV
việc	iov	việc	iov	N	
bắc	north	bắc	north	N	PROPN
bắc	northern	bắc	northern	N	PROPN
tiểu	elementar	tiểu	elementar		ADJ;INDF;MASC;SG
tiểu	elementara	tiểu	elementară		ADJ;DEF;FEM;SG
tiểu	elementare	tiểu	elementar		ADJ;INDF;FEM;PL
tiểu	mic	tiểu	mic		ADJ;INDF;MASC;SG
khác	altele	khác	altul	ADJ	PRO;FEM;PL;3
khác	alte	khác	alt	ADJ	DET;FEM;PL;3
khác	alti	khác	alti	ADJ	
khác	altul	khác	altul	ADJ	PRO;MASC;SG;3
khác	altele	khác	altul	ADJ	PRO;FEM;PL;3
khác	altii	khác	altul	ADJ	
khác	altii	khác	altul	ADJ	
cao	high	cao	high	ADJ	
cao	gao	cao	gao	ADJ	PROPN
văn	wen	văn	wen	N	PROPN
tây	west	tây	west	N	PROPN
tây	occidental	tây	occidental	N	ADJ;INDF;MASC;SG
tây	western	tây	western	N	PROPN
hội	sanse	hội	sansă	N	
hội	sanse	hội	sansă	N	
hội	sangha	hội	sangha	N	
cùng	acelasi	cùng	acelasi	ADJ	DET;MASC;SG;3
giải	box	giải	box	V	N;INDF;MASC;SG
giải	boxul	giải	box	V	N;DEF;MASC;SG
giải	rezolutia	giải	rezolutie	V	N;DEF;FEM;SG
giải	rezolutie	giải	rezolutie	V	N;INDF;FEM;SG
bang	autoritatile	bang	autoritate		N;DEF;FEM;PL
bang	autoritatile	bang	autoritate		N;DEF;FEM;PL
bang	stare	bang	stare		N;INDF;FEM;SG
bang	stat	bang	stat		N;INDF;MASC;SG
bang	state	bang	stat		N;INDF;FEM;PL
bang	statul	bang	stat		N;DEF;MASC;SG
bang	bang	bang	bang		N;INDF;MASC;SG
đông	east	đông	east	ADJ	PROPN
đông	est	đông	est	ADJ	N;INDF;MASC;SG
đông	estul	đông	est	ADJ	N;DEF;MASC;SG
xuất	exporta	xuất	exporta	N	V;IND;SG;3;IPFV;FIN
khu	ward	khu	ward	N	PROPN
hơn	decat	hơn	decat		
hơn	decat	hơn	decat		
cánh	inaripat	cánh	inaripa	N	ADJ;INDF;MASC;SG
cánh	wing	cánh	wing	N	PROPN
lập	independent	lập	independent	V	ADV
lập	independenta	lập	independent	V	N;DEF;FEM;SG
lập	independente	lập	independent	V	ADJ;INDF;FEM;PL
lập	independenta	lập	independent	V	N;DEF;FEM;SG
cách	moduri	cách	mod	V	N;INDF;FEM;PL
đội	squad	đội	squad	N	ADJ
phần	parti	phần	parti	N	
phần	parti	phần	parti	N	
dưới	dedesubt	dưới	dedesubt	N	
dưới	sub	dưới	sub	N	ADP;ACC
giới	world	giới	world	N	PROPN
châu	americii	châu	americ	N	PROPN;DEF;FEM;SG
đoàn	duan	đoàn	duan	N	
điều	ca	điều	ca	N	ADV
điều	asta	điều	acesta	N	PRO;FEM;SG;3
điều	aia	điều	acela	N	PRO;FEM;SG;3
thông	pine	thông	pine		N;INDF;MASC;SG
thông	pin	thông	pin		N;INDF;MASC;SG
bay	zboara	bay	zboară		V;IND;SG;3;IPFV;FIN
bay	musca	bay	musca		N;DEF;FEM;SG
bay	zboara	bay	zboară		V;IND;SG;3;IPFV;FIN
bay	zbor	bay	zbor		N;INDF;MASC;SG
bay	zburand	bay	zbura		N;INDF;MASC;SG
bay	zbor	bay	zbor		N;INDF;MASC;SG
bay	zborul	bay	zbor		N;DEF;MASC;SG
bay	zbor	bay	zbor		N;INDF;MASC;SG
bay	golful	bay	golf		N;DEF;MASC;SG
bay	bay	bay	bay		PROPN
bài	scurt	bài	scurt	N	ADV
bài	scurta	bài	scurta	N	ADJ;DEF;FEM;SG
bài	scurta	bài	scurta	N	ADJ;DEF;FEM;SG
bài	scurte	bài	scurt	N	ADJ;INDF;FEM;PL
tích	statice	tích	static	N	ADJ;INDF;FEM;PL
tích	static	tích	static	N	ADV
lớn	big	lớn	big	ADJ	N;INDF;MASC;SG
phim	pelicule	phim	pelicul		N;INDF;FEM;PL
phim	filme	phim	film		N;INDF;FEM;PL
phim	film	phim	film		N;INDF;MASC;SG
phim	pelicula	phim	pelicula		N;DEF;FEM;SG
phim	film	phim	film		N;INDF;MASC;SG
phim	filme	phim	film		N;INDF;FEM;PL
phim	filmele	phim	filme		N;DEF;FEM;PL
trước	primii	trước	prim		NUM;DEF;MASC;PL
trước	prima	trước	prim		NUM;DEF;FEM;SG
trước	primul	trước	prim		NUM;DEF;MASC;SG
trước	anterior	trước	anterior		ADV
trước	precedenta	trước	precedent		ADJ;DEF;FEM;SG
trước	anterioare	trước	anterior		ADJ;INDF;FEM;PL
trước	precedent	trước	precedent		N;INDF;MASC;SG
đức	german	đức	german	N	ADJ;INDF;MASC;SG
đức	germania	đức	germania	N	PROPN
đêm	noaptea	đêm	noaptea	N	ADV
bằng	egali	bằng	egal	ADP	ADJ;INDF;MASC;PL
bằng	egal	bằng	egal	ADP	ADJ;INDF;MASC;SG
nhỏ	micii	nhỏ	mic	ADJ	N;DEF;MASC;PL
nhỏ	putin	nhỏ	putin	ADJ	
nhỏ	junior	nhỏ	junior	ADJ	
nhỏ	juniori	nhỏ	junior	ADJ	N;INDF;MASC;PL
nhỏ	minore	nhỏ	minor	ADJ	N;INDF;FEM;PL
nhỏ	minora	nhỏ	minoră	ADJ	N;DEF;FEM;SG
nhỏ	minora	nhỏ	minoră	ADJ	N;DEF;FEM;SG
hợp	uniunea	hợp	uniune	ADJ	N;DEF;FEM;SG
hợp	sindicat	hợp	sindica	ADJ	N;INDF;MASC;SG
hợp	uniunii	hợp	uniune	ADJ	N;DEF;FEM;SG
hợp	uniune	hợp	uniune	ADJ	N;INDF;FEM;SG
đường	tang	đường	tang	N	PROPN
thêm	adaugarea	thêm	adaugare	V	N;DEF;FEM;SG
thêm	adaugand	thêm	adauga	V	
thêm	adaugare	thêm	adaugare	V	N;INDF;FEM;SG
thêm	add	thêm	add	V	
thêm	mai	thêm	mai	V	ADV
xem	uite	xem	uita	V	
xem	spectacol	xem	spectacol	V	N;INDF;MASC;SG
xem	ceas	xem	ceas	V	N;INDF;MASC;SG
xem	vizionare	xem	vizionare	V	N;INDF;FEM;PL
xem	vizualizarea	xem	vizualizare	V	N;DEF;FEM;SG
xem	vizualizare	xem	vizualizare	V	N;INDF;FEM;SG
xem	vedere	xem	vedere	V	N;INDF;FEM;SG
diễn	actorie	diễn	actorie	V	N;INDF;FEM;SG
diễn	actoria	diễn	actorie	V	N;DEF;FEM;SG
diễn	hotarand	diễn	hotara	V	N;INDF;MASC;SG
diễn	actor	diễn	actor	V	N;INDF;MASC;SG
diễn	actorul	diễn	actor	V	N;DEF;MASC;SG
chức	tinut	chức	tinut	N	ADJ;INDF;MASC;SG
dương	pozitiv	dương	pozitiv	N	ADJ;INDF;MASC;SG
dương	pozitiva	dương	pozitivă	N	ADJ;DEF;FEM;SG
dương	pozitive	dương	pozitiv	N	ADJ;INDF;FEM;PL
dương	yeung	dương	yeung	N	
dương	dương	dương	dương	N	
hay	fan	hay	fan	CONJ	N;INDF;MASC;SG
hay	bine	hay	bine	CONJ	ADV
hay	buna	hay	bun	CONJ	ADJ;DEF;FEM;SG
hay	bun	hay	bun	CONJ	ADJ;INDF;MASC;SG
sống	living	sống	living	V	N;INDF;MASC;SG
sống	traind	sống	trai	V	
sống	traiasca	sống	traiască	V	N;DEF;FEM;SG
sống	live	sống	livă	V	
sống	vie	sống	viu	V	
sống	viu	sống	viu	V	ADJ;INDF;MASC;SG
thường	regulata	thường	regulată		ADJ;DEF;FEM;SG
thường	regulate	thường	regulat		ADJ;INDF;FEM;PL
thường	regulat	thường	regulat		ADV
thường	obisnuit	thường	obisnui		ADJ;INDF;MASC;SG
thường	normale	thường	normal		ADJ;INDF;FEM;PL
thường	normala	thường	normal		ADJ;DEF;FEM;SG
thường	normal	thường	normal		ADV
tính	puf	tính	pufe	V	N;INDF;MASC;SG
ban	despre	ban	despre		ADP;ACC
ban	trupa	ban	trupă		N;DEF;FEM;SG
ban	trupa	ban	trupă		N;DEF;FEM;SG
ban	formatie	ban	formatie		N;INDF;FEM;SG
ban	formatie	ban	formatie		N;INDF;FEM;SG
ban	ban	ban	ban		N;INDF;MASC;SG
ban	interzicere	ban	interzicere		N;INDF;FEM;SG
ban	interdictie	ban	interdictie		N;INDF;FEM;SG
cộng	plus	cộng	plus		ADV
nhận	revendicare	nhận	revendicare	V	N;INDF;FEM;SG
nhận	ia	nhận	lua	V	
nhận	primirea	nhận	primire	V	N;DEF;FEM;SG
qua	trecutul	qua	trecut	V	N;DEF;MASC;SG
qua	trecut	qua	trecut	V	ADJ;INDF;MASC;SG
qua	peste	qua	peste	V	ADP;ACC
qua	over	qua	over	V	N;INDF;MASC;SG
qua	via	qua	via	V	
qua	prin	qua	prin	V	ADP;ACC
qua	pass	qua	pass	V	N;INDF;MASC;SG
qua	pasa	qua	pasă	V	N;DEF;FEM;SG
qua	pasa	qua	pasă	V	N;DEF;FEM;SG
ảnh	photo	ảnh	photo	N	
ảnh	foto	ảnh	foto	N	
thái	tai	thái	tăia	N	
hòa	hòa	hòa	hòa	N	
hòa	fred	hòa	frede	N	PROPN
tổng	total	tổng	total	N	ADV
tổng	totala	tổng	total	N	ADJ;DEF;FEM;SG
minh	minh	minh	minh	N	PROPN
minh	inteligent	minh	inteligent	N	ADJ;INDF;MASC;SG
minh	destept	minh	destept	N	
minh	ming	minh	ming	N	PROPN
tác	originala	tác	original	N	ADJ;DEF;FEM;SG
tác	originale	tác	original	N	ADJ;INDF;FEM;PL
tác	original	tác	original	N	ADJ;INDF;MASC;SG
tác	originala	tác	original	N	ADJ;DEF;FEM;SG
gồm	inclusiv	gồm	inclusiv	V	ADV
gồm	incluzand	gồm	incluza	V	N;INDF;MASC;SG
gồm	incluzand	gồm	incluza	V	N;INDF;MASC;SG
gồm	inclusa	gồm	inclus	V	ADJ;DEF;FEM;SG
gồm	inclus	gồm	include	V	ADJ;INDF;MASC;SG
gồm	incluse	gồm	inclus	V	ADJ;INDF;FEM;PL
gồm	constand	gồm	constand	V	
kinh	sutra	kinh	sutra	V	
kinh	beijing	kinh	beijing	V	N;INDF;MASC;SG
kinh	peking	kinh	pekinge	V	N;INDF;MASC;SG
kinh	kinh	kinh	kinh	V	
biển	mare	biển	mare	N	ADJ;INDF;MASC;SG
cứng	greu	cứng	greu	ADJ	ADV
cứng	tare	cứng	tare	ADJ	ADV
tiếp	urmatorul	tiếp	urmator	V	N;DEF;MASC;SG
tiếp	urmatorul	tiếp	urmator	V	N;DEF;MASC;SG
tiếp	urmator	tiếp	urmator	V	ADJ;INDF;MASC;SG
tiếp	urmatoarea	tiếp	urmatore	V	ADJ;DEF;FEM;SG
xếp	sortare	xếp	sortare	V	N;INDF;FEM;SG
hàng	rand	hàng	rand	N	
rằng	ca	rằng	ca	CONJ	ADV
rằng	asta	rằng	acesta	CONJ	PRO;FEM;SG;3
rằng	aia	rằng	acela	CONJ	PRO;FEM;SG;3
đánh	hit	đánh	hit	V	N;INDF;MASC;SG
đánh	lovit	đánh	lovi	V	ADJ;INDF;MASC;SG
nhạc	muzica	nhạc	muzică	V	N;DEF;FEM;SG
nhạc	muzica	nhạc	muzică	V	N;DEF;FEM;SG
nhạc	muzical	nhạc	muzical	V	ADJ;INDF;MASC;SG
nhạc	musical	nhạc	musical	V	N;INDF;MASC;SG
hóa	chimice	hóa	chimic		ADJ;INDF;FEM;PL
hóa	chimic	hóa	chimic		ADJ;INDF;MASC;SG
hóa	hóa	hóa	hóa		
hóa	chimie	hóa	chimie		N;INDF;FEM;SG
hóa	chimia	hóa	chimie		N;DEF;FEM;SG
gọi	apel	gọi	apel	V	N;INDF;MASC;SG
gọi	call	gọi	call	V	N;INDF;MASC;SG
gọi	chemarea	gọi	chemare	V	N;DEF;FEM;SG
gọi	chemare	gọi	chemare	V	N;INDF;FEM;SG
gọi	apelarea	gọi	apelare	V	N;DEF;FEM;SG
trang	lateral	trang	lateral	N	ADV
trang	side	trang	side	N	
nguyên	yuan	nguyên	yuan	N	PROPN
nguyên	nguyên	nguyên	nguyên	N	
tạo	crearea	tạo	creare	V	N;DEF;FEM;SG
tạo	creare	tạo	creare	V	N;INDF;FEM;SG
tạo	creand	tạo	creand	V	
tạo	create	tạo	crea	V	ADJ;INDF;FEM;PL
tạo	creata	tạo	crea	V	ADJ;DEF;FEM;SG
tạo	creata	tạo	crea	V	ADJ;DEF;FEM;SG
tạo	creat	tạo	crea	V	ADJ;INDF;MASC;SG
tạo	creare	tạo	creare	V	N;INDF;FEM;SG
tạo	crearea	tạo	creare	V	N;DEF;FEM;SG
tạo	creatie	tạo	creatie	V	N;INDF;FEM;SG
tạo	creare	tạo	creare	V	N;INDF;FEM;SG
tạo	echipa	tạo	echipă	V	N;DEF;FEM;SG
tạo	echipa	tạo	echipă	V	N;DEF;FEM;SG
tạo	team	tạo	team	V	N;INDF;MASC;SG
cầu	bridge	cầu	bridge	N	
đặc	solid	đặc	solid	N	ADJ;INDF;MASC;SG
đặc	solida	đặc	solidă	N	ADJ;DEF;FEM;SG
đặc	solide	đặc	solid	N	ADJ;INDF;FEM;PL
phương	fang	phương	fang	N	PROPN
mới	nou	mới	nou		ADJ;INDF;MASC;SG
mới	noua	mới	nou		ADJ;DEF;FEM;SG
mới	noi	mới	eu		PRO;PL;1
mới	noua	mới	nou		ADJ;DEF;FEM;SG
lịch	orar	lịch	orar	N	ADV
lịch	programeaza	lịch	programeaza	N	V;IND;SG;3;IPFV;FIN
đạo	moral	đạo	moral	N	ADJ;INDF;MASC;SG
bắt	catch	bắt	catch	V	
bắt	captura	bắt	captură	V	N;DEF;FEM;SG
bắt	captura	bắt	captură	V	N;DEF;FEM;SG
bắt	luata	bắt	lua	V	ADJ;DEF;FEM;SG
bắt	luat	bắt	lua	V	ADJ;INDF;MASC;SG
bắt	luate	bắt	luat	V	ADJ;INDF;FEM;PL
bắt	capturarea	bắt	capturare	V	N;DEF;FEM;SG
bắt	captura	bắt	captură	V	N;DEF;FEM;SG
bắt	captura	bắt	captură	V	N;DEF;FEM;SG
bắt	capturare	bắt	capturare	V	N;INDF;FEM;SG
bắt	captare	bắt	captare	V	N;INDF;FEM;SG
bắt	ia	bắt	lua	V	
bắt	luati	bắt	lua	V	
bắt	profite	bắt	profit	V	
rất	foarte	rất	foarte		ADV
đất	pamint	đất	pamint	N	
đất	pamant	đất	pamant	N	
đất	pamant	đất	pamant	N	
thức	reteta	thức	retetă	V	N;DEF;FEM;SG
thức	reteta	thức	retetă	V	N;DEF;FEM;SG
thức	reteta	thức	retetă	V	N;DEF;FEM;SG
luận	comment	luận	comment	N	
luận	comenteaza	luận	comenteaza	N	V;IND;SG;3;IPFV;FIN
luận	logic	luận	logic	N	ADV
hải	hai	hải	hai	N	V;IND;SG;1;PRS;FIN
khoảng	despre	khoảng	despre	ADJ	ADP;ACC
khoảng	spatii	khoảng	spate	ADJ	N;INDF;FEM;PL
khoảng	spatiile	khoảng	spatiu	ADJ	N;DEF;FEM;PL
khoảng	spatii	khoảng	spate	ADJ	N;INDF;FEM;PL
khoảng	cca	khoảng	circa	ADJ	
khoảng	aprox	khoảng	aprox	ADJ	N;INDF;MASC;SG
khoảng	aproximativ	khoảng	aproximativ	ADJ	ADV
làng	village	làng	villag	N	PROPN
vương	crown	vương	crown	N	PROPN
vương	wang	vương	wang	N	PROPN
vương	bogata	vương	bogat	N	ADJ;DEF;FEM;SG
vương	bogata	vương	bogat	N	ADJ;DEF;FEM;SG
vương	rich	vương	rich	N	PROPN
vương	bogat	vương	bogat	N	ADJ;INDF;MASC;SG
toàn	intreg	toàn	intreg	N	
toàn	intreg	toàn	intreg	N	
nhật	japonez	nhật	japonez		ADJ;INDF;MASC;SG
nhật	japonezi	nhật	japonez		N;INDF;MASC;PL
nhật	japoneze	nhật	japona		ADJ;INDF;FEM;PL
nhật	japoneza	nhật	japoneză		N;DEF;FEM;SG
nhật	japoneza	nhật	japoneză		N;DEF;FEM;SG
viết	imprimanta	viết	imprimanta	V	N;DEF;FEM;SG
viết	imprimanta	viết	imprimanta	V	N;DEF;FEM;SG
viết	scrierea	viết	scriere	V	N;DEF;FEM;SG
viết	scriere	viết	scriere	V	N;INDF;FEM;SG
lan	ian	lan	ian	N	
lan	ian	lan	ian	N	
bảo	intreaba	bảo	intreba	V	N;DEF;FEM;SG
