категорія	категории	категорія	категория	N;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
села	деревень	село	деревня	N;INAN;NOM;NEUT;SG	N;INAN;GEN;FEM;PL
села	села	село	сесть	N;INAN;NOM;NEUT;SG	V;IPFV;NEUT;IND;SG;PST;FIN;MID
так	ага	так	ага	INTJ	
так	да	так	да	INTJ	PART
рік	рик	рік	рик	N;INAN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
рік	рика	рік	рик	N;INAN;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
ради	совет	рада	совет	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG
ради	совета	рада	совет	N;INAN;NOM;FEM;PL	N;INAN;GEN;MASC;SG
сша	сша	сШа	сшать	PROPN;INAN;GEN	N;INAN;NOM;PL
сша	usa	сШа	usa	PROPN;INAN;GEN	PROPN
має	должен	мати	должен	V;IPFV;IND;SG;3;PRS;FIN	ADJ;MASC;SG
має	должно	мати	должен	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NEUT;SG
має	должны	мати	должен	V;IPFV;IND;SG;3;PRS;FIN	ADJ;PL
яка	что	який	что	DET;NOM;FEM;SG	PRO;NOM
яка	какие	який	какой	DET;NOM;FEM;SG	DET;NOM;PL
яка	которое	який	который	DET;NOM;FEM;SG	PRO;NOM
яка	которая	який	который	DET;NOM;FEM;SG	PRO;NOM
яка	которые	який	который	DET;NOM;FEM;SG	PRO;NOM
яка	который	який	который	DET;NOM;FEM;SG	PRO;NOM
сайті	вебсайт	сайт	вебсайт	N;INAN;DAT;MASC;SG	N;INAN;NOM;MASC;SG
сайті	сайт	сайт	сайт	N;INAN;DAT;MASC;SG	N;INAN;NOM;MASC;SG
близько	закрыть	близько	закрыть	ADV	V;PFV;NFIN;ACT
близько	закройте	близько	закрыть	ADV	V;PFV;IMP;PL;2;FIN;ACT
війни	войн	війна	война	N;INAN;NOM;FEM;SG	N;INAN;GEN;FEM;PL
війни	войны	війна	война	N;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
роки	годы	рік	год	N;INAN;NOM;MASC;PL	N;INAN;ACC;MASC;PL
роки	лет	рік	год	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL
роки	years	рік	years	N;INAN;NOM;MASC;PL	PROPN
обговорення	обсуждения	обговорення	обсуждение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
обговорення	дискуссии	обговорення	дискуссия	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
обговорення	обсуждения	обговорення	обсуждение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
обговорення	дискуссии	обговорення	дискуссия	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
обговорення	обсудить	обговорення	обсудить	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
коли	когда	коли	когда	ADV	CONJ
коли	when	коли	when	ADV	PROPN
вона	she	вона	she	PRO;NOM;FEM;SG;3	PROPN
вересня	сентябрь	вересень	сентябрь	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
цей	this	цей	this	DET;NOM;MASC;SG	PROPN
цей	это	цей	это	DET;NOM;MASC;SG	PRO;INAN;NOM;NEUT;SG
березня	марш	березень	марш	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
березня	март	березень	март	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
місце	сиденья	місце	сиденье	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
україні	ukraine	україна	ukraine	PROPN;INAN;DAT;FEM;SG	PROPN
україні	украина	україна	украина	PROPN;INAN;DAT;FEM;SG	N;INAN;NOM;FEM;SG
україні	украину	україна	украина	PROPN;INAN;DAT;FEM;SG	N;INAN;ACC;FEM;SG
серпня	август	серпень	август	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
січня	январь	січень	январь	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
травня	мэй	травень	мэй	N;INAN;GEN;MASC;SG	N;ANIM;NOM;FEM;SG
травня	май	травень	май	N;INAN;GEN;MASC;SG	
травня	майские	травень	майский	N;INAN;GEN;MASC;SG	ADJ;NOM;PL
грудня	декабрь	грудень	декабрь	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
інших	другой	інший	другой	DET;GEN;PL	ADJ;NOM;MASC;SG
інших	другая	інший	другой	DET;GEN;PL	ADJ;NOM;FEM;SG
інших	другое	інший	другой	DET;GEN;PL	ADJ;NOM;NEUT;SG
інших	другие	інший	другой	DET;GEN;PL	ADJ;NOM;PL
інших	прочие	інший	прочий	DET;GEN;PL	ADJ;NOM;PL
інших	другие	інший	другой	DET;GEN;PL	ADJ;NOM;PL
інших	прочие	інший	прочий	DET;GEN;PL	ADJ;NOM;PL
жовтня	октябрь	жовтень	октябрь	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
жовтня	октябрь	жовтень	октябрь	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
один	одна	один	один	NUM;NOM;MASC	DET;NOM;FEM;SG
один	one	один	one	NUM;NOM;MASC	PROPN
один	одно	один	один	NUM;NOM;MASC	DET;NOM;NEUT;SG
липня	июль	липень	июль	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
участь	участвующие	участь	участвовать	N;INAN;ACC;FEM;SG	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
участь	участвовавшие	участь	участвовать	N;INAN;ACC;FEM;SG	V;IPFV;NOM;PL;PST;V.PTCP;ACT
участь	участвующих	участь	участвовать	N;INAN;ACC;FEM;SG	V;IPFV;GEN;PL;PRS;V.PTCP;ACT
участь	вовлечение	участь	вовлечение	N;INAN;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
участь	участие	участь	участие	N;INAN;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
участь	участие	участь	участие	N;INAN;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
участь	участвовать	участь	участвовать	N;INAN;ACC;FEM;SG	V;IPFV;NFIN;ACT
вид	добрая	вид	добрый	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
вид	видов	вид	вид	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;PL
вид	виды	вид	вид	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL
вид	посмотреть	вид	смотреть	N;INAN;NOM;MASC;SG	V;PFV;NFIN;ACT
вид	просмотреть	вид	просмотреть	N;INAN;NOM;MASC;SG	V;PFV;NFIN;ACT
можна	может	можна	мочь	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
можна	могу	можна	мочь	ADV	V;IPFV;IND;SG;1;PRS;FIN;ACT
можна	can	можна	can	ADV	PROPN
червня	июнь	червень	июнь	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
червня	джун	червень	джун	N;INAN;GEN;MASC;SG	N;ANIM;NOM;FEM;SG
місто	town	місто	town	N;INAN;NOM;NEUT;SG	PROPN
місто	city	місто	city	N;INAN;NOM;NEUT;SG	PROPN
місто	города	місто	город	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL
життя	life	життя	life	N;INAN;NOM;NEUT;SG	PROPN
життя	жизни	життя	жизнь	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
життя	lifestyle	життя	lifestyle	N;INAN;NOM;NEUT;SG	PROPN
срср	ссср	срср	ссср	PROPN;INAN;NOM;FEM;SG	PROPN;INAN;NOM;MASC;SG
квітня	эйприл	квітень	эйприль	N;INAN;GEN;MASC;SG	N;ANIM;NOM;FEM;SG
квітня	апрель	квітень	апрель	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
листопада	ноябрь	листопад	ноябрь	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
лютого	февраль	лютий	февраль	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
лютого	февраль	лютий	февраль	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
захід	уэст	захід	уэст	N;INAN;NOM;MASC;SG	PART
захід	западная	захід	западный	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
захід	западный	захід	западный	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
франції	франции	франція	франция	PROPN;INAN;GEN;FEM;SG	N;INAN;NOM;FEM;PL
франції	франс	франція	франс	PROPN;INAN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
франції	франция	франція	франция	PROPN;INAN;GEN;FEM;SG	N;INAN;NOM;FEM;SG
франції	france	франція	france	PROPN;INAN;GEN;FEM;SG	PROPN
століття	веков	століття	век	N;INAN;NOM;NEUT;SG	N;INAN;GEN;MASC;PL
століття	века	століття	век	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL
століття	столетия	століття	столетие	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
рада	совета	рада	совет	N;INAN;NOM;FEM;SG	N;INAN;GEN;MASC;SG
рада	рада	рада	рад	N;INAN;NOM;FEM;SG	ADJ;FEM;SG
схід	восточная	схід	восточный	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
схід	востоке	схід	восток	N;INAN;NOM;MASC;SG	N;INAN;ESS;MASC;SG
схід	east	схід	east	N;INAN;NOM;MASC;SG	PROPN
схід	восточный	схід	восточный	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
статті	статей	стаття	статья	N;INAN;NOM;FEM;PL	N;INAN;GEN;FEM;PL
міні	mini	міні	mini		PROPN
міні	мини	міні	мин		
особи	лиц	особа	лицо	N;ANIM;NOM;FEM;PL	N;ANIM;GEN;NEUT;PL
особи	человек	особа	человек	N;ANIM;NOM;FEM;PL	N;ANIM;NOM;MASC;SG
над	over	над	over	ADP;ACC	PROPN
історія	story	історія	story	N;INAN;NOM;FEM;SG	PROPN
історія	истории	історія	история	N;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
зображення	картинки	зображення	картинка	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
зображення	изображения	зображення	изображение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
зображення	образы	зображення	образ	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL
зображення	изображения	зображення	изображение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
зображення	рисунки	зображення	рисунок	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL
зображення	фотографии	зображення	фотография	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
зображення	картинки	зображення	картинка	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
зображення	pictures	зображення	pictures	N;INAN;NOM;NEUT;SG	PROPN
пункти	точек	пункт	точка	N;INAN;NOM;MASC;PL	N;INAN;GEN;FEM;PL
пункти	очков	пункт	очко	N;INAN;NOM;MASC;PL	N;INAN;GEN;NEUT;PL
пункти	вариантов	пункт	вариант	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL
код	code	код	code	N;INAN;NOM;MASC;SG	PROPN
інші	другой	інший	другой	DET;NOM;PL	ADJ;NOM;MASC;SG
інші	другая	інший	другой	DET;NOM;PL	ADJ;NOM;FEM;SG
інші	другое	інший	другой	DET;NOM;PL	ADJ;NOM;NEUT;SG
інші	другие	інший	другой	DET;NOM;PL	ADJ;NOM;PL
інші	прочие	інший	прочий	DET;NOM;PL	ADJ;NOM;PL
інші	другие	інший	другой	DET;NOM;PL	ADJ;NOM;PL
інші	прочие	інший	прочий	DET;NOM;PL	ADJ;NOM;PL
проти	против	проти	против	ADV	ADP
тут	вот	тут	вот	ADV	PART
український	украинские	український	украинский	ADJ;NOM;MASC;SG	ADJ;NOM;PL
український	украинцы	український	украинец	ADJ;NOM;MASC;SG	N;ANIM;NOM;MASC;PL
історії	история	історія	история	N;INAN;NOM;FEM;PL	N;INAN;NOM;FEM;SG
всі	всем	весь	все	DET;NOM;PL	PRO;ANIM;DAT;PL
всі	всех	весь	все	DET;NOM;PL	PRO;ANIM;ACC;PL
всі	all	весь	all	DET;NOM;PL	PROPN
всі	все	весь	все	DET;NOM;PL	PRO;INAN;NOM;NEUT;SG
багато	многих	багато	много	ADV	NUM
багато	многим	багато	много	ADV	NUM
багато	многие	багато	много	ADV	NUM
багато	многое	багато	многое	ADV	N;INAN;NOM;NEUT;SG
більше	крупнее	більше	крупный	ADV;CMPR	ADJ;CMPR
більше	еще	більше	еще	ADV;CMPR	ADV
кількість	граф	кількість	граф	N;INAN;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
кількість	считать	кількість	считать	N;INAN;NOM;FEM;SG	V;IPFV;NFIN;ACT
перший	сначала	перший	сначала	ADJ;NOM;MASC;SG	ADV
перший	first	перший	first	ADJ;NOM;MASC;SG	PROPN
площа	plaza	площа	plaza	N;INAN;NOM;FEM;SG	PROPN
площа	квадратный	площа	квадратный	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
країни	страна	країна	страна	N;INAN;NOM;FEM;PL	N;INAN;NOM;FEM;SG
країни	стран	країна	страна	N;INAN;NOM;FEM;PL	N;INAN;GEN;FEM;PL
наук	науки	наука	наука	N;INAN;GEN;FEM;PL	N;INAN;NOM;FEM;PL
розташований	расположенных	розташований	расположенный	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	ADJ;GEN;PL
голова	head	голова	head	N;ANIM;NOM;FEM;SG	PROPN
голова	головка	голова	головка	N;ANIM;NOM;FEM;SG	N;INAN;NOM;FEM;SG
голова	голова	голова	голова	N;ANIM;NOM;FEM;SG	N;INAN;NOM;FEM;SG
голова	голову	голова	голова	N;ANIM;NOM;FEM;SG	N;INAN;ACC;FEM;SG
голова	председателю	голова	председатель	N;ANIM;NOM;FEM;SG	N;ANIM;DAT;MASC;SG
голова	председателя	голова	председатель	N;ANIM;NOM;FEM;SG	N;ANIM;ACC;MASC;SG
щодо	about	щодо	about	ADP;GEN	PROPN
щодо	о	щодо	о	ADP;GEN	INTJ
сторінка	страницу	сторінка	страница	N;INAN;NOM;FEM;SG	N;INAN;ACC;FEM;SG
сторінка	page	сторінка	page	N;INAN;NOM;FEM;SG	PROPN
сторінка	страницы	сторінка	страница	N;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
той	это	той	это	DET;NOM;MASC;SG	PRO;INAN;NOM;NEUT;SG
той	that	той	that	DET;NOM;MASC;SG	PROPN
росії	россия	росія	россия	PROPN;INAN;GEN;FEM;SG	N;INAN;NOM;FEM;SG
росії	russia	росія	russia	PROPN;INAN;GEN;FEM;SG	PROPN
все	всем	все	все	PRO;INAN;NOM;NEUT;SG	PRO;ANIM;DAT;PL
все	всех	все	все	PRO;INAN;NOM;NEUT;SG	PRO;ANIM;ACC;PL
все	all	все	all	PRO;INAN;NOM;NEUT;SG	PROPN
київ	киев	Київ	киев	PROPN;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
київ	киевский	Київ	киевский	PROPN;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
київ	киев	Київ	киев	PROPN;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
роботи	работа	робота	работа	N;INAN;NOM;FEM;PL	N;INAN;NOM;FEM;SG
роботи	труд	робота	труд	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG
біля	вблизи	біля	вблизи	ADP;GEN	ADV
біля	рядом	біля	рядом	ADP;GEN	ADV
біля	близко	біля	близко	ADP;GEN	ADV
веб	web	вебти	веб		N;INAN;NOM;MASC;SG
веб	веб	вебти	веб		N;INAN;NOM;MASC;SG
статтю	статья	стаття	статья	N;INAN;ACC;FEM;SG	N;INAN;NOM;FEM;SG
праворуч	правильно	праворуч	правильный	ADV	ADJ;NEUT;SG
праворуч	верно	праворуч	верный	ADV	ADJ;NEUT;SG
землі	earth	земля	earth	N;INAN;NOM;FEM;PL	PROPN
землі	земля	земля	земля	N;INAN;NOM;FEM;PL	N;INAN;NOM;FEM;SG
армії	армий	армія	армия	N;INAN;GEN;FEM;SG	N;INAN;GEN;FEM;PL
армії	армии	армія	армия	N;INAN;GEN;FEM;SG	N;INAN;NOM;FEM;SG
армії	армии	армія	армия	N;INAN;GEN;FEM;SG	N;INAN;NOM;FEM;SG
армії	армия	армія	армия	N;INAN;GEN;FEM;SG	N;INAN;NOM;FEM;SG
однак	однако	однак	однако	CONJ	ADV
саме	точно	саме	точно	PART	ADV
північний	север	північний	север	ADJ;NOM;MASC;SG	N;INAN;NOM;MASC;SG
північний	норт	північний	норт	ADJ;NOM;MASC;SG	N;INAN;NOM;MASC;SG
північний	северной	північний	северный	ADJ;NOM;MASC;SG	ADJ;INS;FEM;SG
північний	северные	північний	северный	ADJ;NOM;MASC;SG	ADJ;NOM;PL
північний	северной	північний	северный	ADJ;NOM;MASC;SG	ADJ;INS;FEM;SG
день	day	день	day	N;INAN;NOM;MASC;SG	PROPN
частина	частично	частина	частично	N;INAN;NOM;FEM;SG	ADV
південний	южные	південний	южный	ADJ;NOM;MASC;SG	ADJ;NOM;PL
південний	южной	південний	южный	ADJ;NOM;MASC;SG	ADJ;INS;FEM;SG
південний	юг	південний	юг	ADJ;NOM;MASC;SG	N;INAN;NOM;MASC;SG
південний	южной	південний	южный	ADJ;NOM;MASC;SG	ADJ;INS;FEM;SG
смерті	death	смерть	death	N;INAN;NOM;FEM;PL	PROPN
смерті	смерть	смерть	смерть	N;INAN;NOM;FEM;PL	N;INAN;NOM;FEM;SG
перша	сначала	перший	сначала	ADJ;NOM;FEM;SG	ADV
перша	first	перший	first	ADJ;NOM;FEM;SG	PROPN
двох	два	два	два	NUM;ACC	NUM;NOM;MASC
двох	две	два	два	NUM;ACC	NUM;NOM;FEM
двох	двое	два	двое	NUM;ACC	NUM;NOM
розташування	размещения	розташування	размещение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
розташування	позиционирования	розташування	позиционирование	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
розташування	местоположения	розташування	местоположение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
розташування	места	розташування	место	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
розташування	местах	розташування	место	N;INAN;NOM;NEUT;SG	N;INAN;ESS;NEUT;PL
кар	карьеры	кар.	карьера	N;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
отримав	набирает	отримати	набирать	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
працював	сработало	працювати	сработать	V;IPFV;MASC;IND;SG;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN;ACT
працював	работали	працювати	работать	V;IPFV;MASC;IND;SG;PST;FIN	V;IPFV;IND;PL;PST;FIN;ACT
себе	сам	себе	сам	PRO;ACC;REFL	ADJ;NOM;MASC;SG
різних	разные	різний	разный	ADJ;ACC;PL	ADJ;NOM;PL
різних	различных	різний	различный	ADJ;ACC;PL	ADJ;GEN;PL
фільми	фильмов	фільм	фильм	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL
фільми	кино	фільм	кино	N;INAN;NOM;MASC;PL	N;INAN;NOM;NEUT;SG
сільська	сельских	сільський	сельский	ADJ;NOM;FEM;SG	ADJ;GEN;PL
сільська	сельские	сільський	сельский	ADJ;NOM;FEM;SG	ADJ;NOM;PL
створення	поколения	створення	поколение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
створення	создать	створення	создать	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
створення	создайте	створення	создать	N;INAN;NOM;NEUT;SG	V;PFV;IMP;PL;2;FIN;ACT
створення	создавать	створення	создавать	N;INAN;NOM;NEUT;SG	V;IPFV;NFIN;ACT
створення	создания	створення	создание	N;INAN;NOM;NEUT;SG	N;INAN;GEN;NEUT;SG
створення	сочинять	створення	сочинять	N;INAN;NOM;NEUT;SG	V;IPFV;NFIN;ACT
значення	величины	значення	величина	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
значення	значения	значення	значение	N;INAN;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
значення	ценностей	значення	ценность	N;INAN;NOM;NEUT;SG	N;INAN;GEN;FEM;PL
значення	ценности	значення	ценность	N;INAN;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
вул	ул	вул.	ул		N;INAN;NOM;FEM;SG
системи	система	система	система	N;INAN;NOM;FEM;PL	N;INAN;NOM;FEM;SG
системи	system	система	system	N;INAN;NOM;FEM;PL	PROPN
йому	его	він	он	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ніж	нож	ніж	нож	CONJ	N;INAN;NOM;MASC;SG
адреса	адреса	адреса	адрес	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;PL
франція	франции	франція	франция	PROPN;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
франція	франс	франція	франс	PROPN;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
франція	франция	франція	франция	PROPN;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;SG
франція	france	франція	france	PROPN;INAN;NOM;FEM;SG	PROPN
адміністративний	административные	адміністративний	административный	ADJ;NOM;MASC;SG	ADJ;NOM;PL
групи	групп	група	группа	N;INAN;NOM;FEM;PL	N;INAN;GEN;FEM;PL
буде	воля	бути	воля	V;IPFV;IND;SG;3;FUT;FIN	N;INAN;NOM;FEM;SG
буде	будет	бути	быть	V;IPFV;IND;SG;3;FUT;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
буде	уилл	бути	уилл	V;IPFV;IND;SG;3;FUT;FIN	N;ANIM;NOM;MASC;SG
буде	будё	бути	быть	V;IPFV;IND;SG;3;FUT;FIN	
динаміка	динамики	динаміка	динамика	N;INAN;NOM;FEM;SG	N;INAN;NOM;FEM;PL
національний	национальные	національний	национальный	ADJ;NOM;MASC;SG	ADJ;NOM;PL
національний	национальных	національний	национальный	ADJ;NOM;MASC;SG	ADJ;GEN;PL
національний	national	національний	national	ADJ;NOM;MASC;SG	PROPN
всіх	всем	всі	все	PRO;ANIM;ACC	PRO;ANIM;DAT;PL
всіх	всех	всі	все	PRO;ANIM;ACC	PRO;ANIM;ACC;PL
всіх	all	всі	all	PRO;ANIM;ACC	PROPN
всіх	все	всі	все	PRO;ANIM;ACC	PRO;INAN;NOM;NEUT;SG
всіх	всем	всі	все	PRO;ANIM;ACC	PRO;ANIM;DAT;PL
всіх	всех	всі	все	PRO;ANIM;ACC	PRO;ANIM;ACC;PL
всіх	все	всі	все	PRO;ANIM;ACC	PRO;INAN;NOM;NEUT;SG
всіх	каждый	всі	каждый	PRO;ANIM;ACC	DET;NOM;MASC;SG
нього	ему	він	он	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
річки	рек	річка	река	N;INAN;NOM;FEM;PL	N;INAN;GEN;FEM;PL
людей	народ	людина	народ	N;ANIM;ACC;FEM;PL	N;INAN;NOM;MASC;SG
людей	людей	людина	человек	N;ANIM;ACC;FEM;PL	N;ANIM;GEN;MASC;PL
людей	люди	людина	человек	N;ANIM;ACC;FEM;PL	N;ANIM;NOM;MASC;PL
мови	языках	мова	язык	N;INAN;NOM;FEM;PL	N;INAN;ESS;MASC;PL
мови	язык	мова	язык	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG
українська	украинские	український	украинский	ADJ;NOM;FEM;SG	ADJ;NOM;PL
українська	украинцы	український	украинец	ADJ;NOM;FEM;SG	N;ANIM;NOM;MASC;PL
розподіл	распределения	розподіл	распределение	N;INAN;NOM;MASC;SG	N;INAN;NOM;NEUT;PL
знаходиться	расположенных	знаходитися	расположенный	V;IPFV;IND;SG;3;PRS;FIN	ADJ;GEN;PL
знаходиться	расположенный	знаходитися	расположенный	V;IPFV;IND;SG;3;PRS;FIN	ADJ;NOM;MASC;SG
розвитку	развитие	розвиток	развитие	N;INAN;GEN;MASC;SG	N;INAN;NOM;NEUT;SG
розвитку	разработка	розвиток	разработка	N;INAN;GEN;MASC;SG	N;INAN;NOM;FEM;SG
вулиця	street	вулиця	street	N;INAN;NOM;FEM;SG	PROPN
кілька	немногим	кілька	немногие	DET;NOM	ADJ;INS;NEUT;SG
кілька	немногие	кілька	немногие	DET;NOM	ADJ;NOM;PL
кілька	немногих	кілька	немногие	DET;NOM	ADJ;GEN;PL
провінції	провинций	провінція	провинция	N;INAN;NOM;FEM;PL	N;INAN;GEN;FEM;PL
картка	карту	картка	карта	N;INAN;NOM;FEM;SG	N;INAN;ACC;FEM;SG
олександр	александр	олександр	александр	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
олександр	александер	олександр	александер	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
офіційний	официальных	офіційний	официальный	ADJ;NOM;MASC;SG	ADJ;GEN;PL
офіційний	официальные	офіційний	официальный	ADJ;NOM;MASC;SG	ADJ;NOM;PL
