les	os	le	o	DET;DEF;PL	PRO;ACC;MASC;PL;3
françois	francis	françois	franci	PROPN	N;MASC;SG
françois	françois	françois	françol	PROPN	N;MASC;SG
françois	françois	françois	françol	PROPN	N;MASC;SG
cela	este	cela	este	PRO;SG	DET;MASC;SG
cela	esse	cela	esse	PRO;SG	DET;MASC;SG
cela	que	cela	que	PRO;SG	PRO;MASC;SG
demande	pedir	demande	pedir	N;FEM;SG	V;NFIN
demande	solicitar	demande	solicitar	N;FEM;SG	V;NFIN
demande	pergunte	demande	pergunte	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
demande	pedir	demande	pedir	N;FEM;SG	V;NFIN
demande	perguntar	demande	perguntar	N;FEM;SG	V;NFIN
fonction	funções	fonction	função	N;FEM;SG	N;FEM;PL
toujours	always	toujours	alway	ADV	N;MASC;SG
doit	mosto	devoir	mosto	V;IND;SG;3;PRS;FIN	N;MASC;SG
doit	must	devoir	must	V;IND;SG;3;PRS;FIN	N;MASC;SG
certains	algum	certain	algum	PRO;MASC;PL	DET;MASC;SG
meilleur	melhor	meilleur	melhor	ADJ;MASC;SG	ADV
meilleur	melhores	meilleur	bom	ADJ;MASC;SG	ADJ;MASC;PL
meilleur	meilleur	meilleur	meilleur	ADJ;MASC;SG	N;MASC;SG
meilleur	melhor	meilleur	melhor	ADJ;MASC;SG	ADV
meilleur	melhores	meilleur	bom	ADJ;MASC;SG	ADJ;MASC;PL
meilleur	best	meilleur	best	ADJ;MASC;SG	N;MASC;SG
droit	certo	droit	certo	N;MASC;SG	ADJ;MASC;SG
droit	leis	droit	lei	N;MASC;SG	N;FEM;PL
mois	meses	mois	mês	N;MASC;SG	N;MASC;PL
île	ilhas	île	ilha	N;FEM;SG	N;FEM;PL
dit	said	dire	said	V;MASC;SG;PST;V.PTCP	N;MASC;SG
dit	diz	dire	dizer	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
center	centralizar	center	centralizar	N;MASC;SG	V;NFIN
center	centrar	center	centrar	N;MASC;SG	V;NFIN
elles	elles	il	elles	PRO;FEM;PL;3	N;MASC;PL
petit	small	petit	small	ADJ;MASC;SG	N;MASC;SG
petit	pequenos	petit	pequeno	ADJ;MASC;SG	ADJ;MASC;PL
petit	pequenas	petit	pequeno	ADJ;MASC;SG	ADJ;FEM;PL
petit	petit	petit	petit	ADJ;MASC;SG	N;MASC;SG
petit	pouco	petit	pouco	ADJ;MASC;SG	ADV
petit	little	petit	little	ADJ;MASC;SG	N;MASC;SG
toutes	todas	tout	todo	PRO;FEM;PL	DET;FEM;PL
toutes	tudo	tout	tudo	PRO;FEM;PL	PRO;MASC;SG
argent	prateado	argent	pratear	N;MASC;SG	V;MASC;SG;V.PTCP
face	face	face	face	N;FEM;SG	ADV
olympiques	olympic	olympique	olympic	ADJ;MASC;PL	N;MASC;SG
olympiques	olímpico	olympique	olímpico	ADJ;MASC;PL	N;MASC;SG
olympiques	olímpica	olympique	olímpico	ADJ;MASC;PL	N;FEM;SG
olympiques	olímpicos	olympique	olímpico	ADJ;MASC;PL	N;MASC;PL
olympiques	olimpíadas	olympique	olimpíar	ADJ;MASC;PL	N;FEM;PL
olympiques	olimpíada	olympique	olimpíado	ADJ;MASC;PL	N;FEM;SG
quand	quando	quand	quando	CONJ	ADV
quand	when	quand	when	CONJ	N;MASC;SG
mondiale	worldwide	mondial	worldwide	ADJ;FEM;SG	N;MASC;SG
mondiale	mundialmente	mondial	mundialmente	ADJ;FEM;SG	ADV
mondiale	world	mondial	world	ADJ;FEM;SG	N;MASC;SG
mondiale	mundo	mondial	mundo	ADJ;FEM;SG	N;MASC;SG
mondiale	globais	mondial	global	ADJ;FEM;SG	ADJ;MASC;PL
ensemble	conjunto	ensemble	conjunto	ADV	N;MASC;SG
ensemble	juntos	ensemble	junto	ADV	N;MASC;PL
ensemble	juntas	ensemble	juntas	ADV	N;FEM;PL
épisode	episódios	épisode	episódio	N;MASC;SG	N;MASC;PL
situé	localizados	situer	localizar	V;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
toute	todas	tout	todo	DET;FEM;SG	DET;FEM;PL
toute	tudo	tout	tudo	DET;FEM;SG	PRO;MASC;SG
toute	todos	tout	todo	DET;FEM;SG	PRO;MASC;PL
étaient	estavam	être	estar	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
étaient	foram	être	ser	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN
musée	museus	musée	museu	N;MASC;SG	N;MASC;PL
nombreux	muitos	nombreux	muito	ADJ;MASC;PL	PRO;MASC;PL
nombreux	muitas	nombreux	muito	ADJ;MASC;PL	PRO;FEM;PL
tard	atrasada	tard	atrasar	ADV	V;FEM;SG;V.PTCP
tard	tardia	tard	tardio	ADV	N;FEM;SG
tard	atrasados	tard	atrasar	ADV	V;MASC;PL;V.PTCP
tard	atrasado	tard	atrasar	ADV	V;MASC;SG;V.PTCP
reste	stay	rester	stay	V;IND;SG;3;PRS;FIN	N;MASC;SG
reste	fique	rester	ficar	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
seconde	second	second	second	ADJ;FEM;SG	N;MASC;SG
seconde	segundo	second	segundo	ADJ;FEM;SG	ADV
roman	romanas	roman	romano	N;MASC;SG	N;FEM;PL
roman	romanos	roman	romano	N;MASC;SG	N;MASC;PL
hui	hui	hui	her		N;MASC;SG
hui	hj	hui	hj		V;IND;SG;1;PRS;FIN
hui	hoje	hui	hoje		ADV
édition	edita	édition	editar	N;FEM;SG	V;IND;SG;3;PRS;FIN
édition	editar	édition	editar	N;FEM;SG	V;NFIN
édition	edite	édition	edite	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
édition	editando	édition	editar	N;FEM;SG	V;V.MSDR
édition	publicar	édition	publicar	N;FEM;SG	V;NFIN
édition	publicando	édition	publicar	N;FEM;SG	V;V.MSDR
éditions	éditions	édition	éditions	N;FEM;PL	N;MASC;SG
historique	históricas	historique	histórico	ADJ;MASC;SG	ADJ;FEM;PL
historique	históricos	historique	histórico	ADJ;MASC;SG	ADJ;MASC;PL
historique	históricas	historique	histórico	ADJ;MASC;SG	ADJ;FEM;PL
historique	históricos	historique	histórico	ADJ;MASC;SG	ADJ;MASC;PL
historique	historia	historique	historia	ADJ;MASC;SG	N;FEM;SG
historique	história	historique	história	ADJ;MASC;SG	N;FEM;SG
sera	will	être	will	V;IND;SG;3;FUT;FIN	N;MASC;SG
sera	vontade	être	vontade	V;IND;SG;3;FUT;FIN	N;FEM;SG
officiel	funcionário	officiel	funcionário	ADJ;MASC;SG	N;MASC;SG
officiel	official	officiel	official	ADJ;MASC;SG	N;MASC;SG
officiel	oficiais	officiel	oficial	ADJ;MASC;SG	N;MASC;PL
officiel	officiel	officiel	officiel	ADJ;MASC;SG	N;MASC;SG
membres	membro	membre	membro	N;MASC;PL	N;MASC;SG
membres	filiação	membre	filiação	N;MASC;PL	N;FEM;SG
membres	adesão	membre	adesão	N;MASC;PL	N;FEM;SG
espèce	espécies	espèce	espécie	N;FEM;SG	N;FEM;PL
michel	miguel	michel	miguel	PROPN	N;MASC;SG
michel	michael	michel	michael	PROPN	N;MASC;SG
michel	michel	michel	michel	PROPN	N;MASC;SG
travail	trabalhos	travail	trabalho	N;MASC;SG	N;MASC;PL
travail	trabalhar	travail	trabalhar	N;MASC;SG	V;NFIN
travail	trabalhe	travail	trabalher	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
femme	mulheres	femme	mulher	N;FEM;SG	N;FEM;PL
femme	feminino	femme	feminino	N;FEM;SG	ADJ;MASC;SG
cinq	five	cinq	fiver	NUM	N;MASC;SG
