til	za	til	za	ADV	
stor	velike	stor	velik	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
stor	veliki	stor	velik	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
stor	velike	stor	velik	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
stor	super	stor	super	ADJ;INDF;MASC+FEM;SG	
stor	odlično	stor	odlično	ADJ;INDF;MASC+FEM;SG	ADV
usa	ameriki	usa	amerika	PROPN	N;DAT;FEM;SG
usa	amerika	usa	amerika	PROPN	N;NOM;FEM;SG
usa	ameriko	usa	amerika	PROPN	N;ACC;FEM;SG
usa	america	usa	america	PROPN	N;NOM;FEM;SG
usa	zda	usa	zdati	PROPN	PROPN;GEN;FEM;PL
usa	usa	usa	usa	PROPN	
uden	brez	uden	brez	ADV	ADP;GEN
hold	drži	holde	držati	V;IMP	V;IPFV;IND;SG;3;PRS;FIN
hold	ekip	holde	ekipa	V;IMP	N;GEN;FEM;PL
hold	ekipe	holde	ekipa	V;IMP	N;NOM;FEM;PL
hold	moštva	holde	moštvo	V;IMP	N;NOM;NEUT;PL
hold	ekipno	holde	ekipno	V;IMP	ADJ;NOM;NEUT;SG
hold	ekipa	holde	ekipa	V;IMP	N;NOM;FEM;SG
hold	team	holde	teama	V;IMP	N;NOM;MASC;SG
når	kdaj	når	kdaj	CONJ	ADV
juni	june	juni	juna	N;INDF;MASC+FEM;SG	
kendt	znane	kendt	znan	ADJ;INDF;SG	ADJ;NOM;FEM;PL;V.PTCP
kendt	znani	kendt	znan	ADJ;INDF;SG	ADJ;NOM;MASC;PL;V.PTCP
kendt	slavni	kendt	slaven	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
kendt	znani	kendt	znan	ADJ;INDF;SG	ADJ;NOM;MASC;PL;V.PTCP
før	pred	før	pred	ADV	ADP;INS
før	preden	før	preden	ADV	CONJ
hvilket	katero	hvilken	kateri	PRO;NEUT;SG	DET;ACC;NEUT;SG
hvilket	kateri	hvilken	kateri	PRO;NEUT;SG	DET;NOM;MASC;SG
hvilket	katere	hvilken	kateri	PRO;NEUT;SG	DET;ACC;FEM;PL
hvilket	katerih	hvilken	kateri	PRO;NEUT;SG	DET;GEN;MASC;PL
hvilket	ki	hvilken	ki	PRO;NEUT;SG	CONJ
hvilket	katerega	hvilken	kateri	PRO;NEUT;SG	DET;GEN;MASC;SG
mest	večina	mest	večina	ADV;RL	N;NOM;FEM;SG
mest	večini	mest	večina	ADV;RL	N;DAT;FEM;SG
mest	največ	mest	največ	ADV;RL	DET
hele	cele	hel	cel	ADJ;DEF;SG	ADJ;NOM;FEM;PL
hele	cel	hel	cel	ADJ;DEF;SG	ADJ;NOM;INDF;MASC;SG
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
række	vrstice	række	vrstica	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
række	vrstic	række	vrstica	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
derfor	zato	derfor	zato	ADV	CONJ
derfor	zatorej	derfor	zatorej	ADV	
style	stil	style	stil		N;NOM;MASC;SG
style	slog	style	slog		N;NOM;MASC;SG
jpg	jpg	jpg	jpg		N;NOM;MASC;SG
ville	bi	ville	bi	V;IND;PST;FIN;ACT	
først	prva	først	prvi	ADV	ADJ;NOM;FEM;SG
først	prvo	først	prvi	ADV	ADJ;ACC;NEUT;SG
først	prvi	først	prvi	ADV	ADJ;NOM;MASC;PL
mål	ciljna	mål	ciljen	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
mål	cilji	mål	cilj	N;INDF;NEUT;SG	N;NOM;MASC;PL
mål	cilji	mål	cilj	N;INDF;NEUT;SG	N;NOM;MASC;PL
mål	tarče	mål	tarča	N;INDF;NEUT;SG	N;NOM;FEM;PL
mål	cilji	mål	cilj	N;INDF;NEUT;SG	N;NOM;MASC;PL
film	kino	film	kino	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
sidste	nazadnje	sidste	nazadnje	ADJ	ADV
tyske	nemško	tysk	nemški	ADJ;PL	ADJ;NOM;NEUT;SG
tyske	nemec	tysk	nemec	ADJ;PL	N;NOM;MASC;SG
tyske	nemška	tysk	nemški	ADJ;PL	ADJ;NOM;FEM;SG
tyske	nemščina	tysk	nemščina	ADJ;PL	N;NOM;FEM;SG
tyske	nemški	tysk	nemški	ADJ;PL	ADJ;NOM;DEF;MASC;SG
indtil	do	indtil	do	CONJ	ADP;GEN
fire	four	fire	four	NUM	
inden	pred	inden	pred	ADV	ADP;INS
inden	preden	inden	preden	ADV	CONJ
mindre	manjše	mindre	majhen	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
mindre	manjša	mindre	majhen	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	manjši	mindre	majhen	ADV;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
mindre	manjše	mindre	majhen	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
mindre	manjši	mindre	majhen	ADV;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
mindre	manjša	mindre	majhen	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	manj	mindre	manj	ADV;CMPR	DET
christian	christian	christian	christian		PROPN;NOM;MASC;SG
christian	krščanski	christian	krščanski		ADJ;NOM;MASC;SG
christian	kristjan	christian	kristjan		N;NOM;MASC;SG
cet	cet	cet	ceto		N;NOM;MASC;SG
alt	vse	al	ves	ADJ;NEUT;SG	DET;NOM;NEUT;SG
alt	vsi	al	ves	ADJ;NEUT;SG	DET;NOM;MASC;PL
alt	vsem	al	ves	ADJ;NEUT;SG	DET;DAT;MASC;PL
alt	vse	al	ves	ADJ;NEUT;SG	DET;NOM;NEUT;SG
alt	vseh	al	ves	ADJ;NEUT;SG	DET;GEN;MASC;PL
søn	son	søn	son	N;INDF;MASC+FEM;SG	
grund	razlogi	grund	razlog	N;INDF;NEUT;SG	N;NOM;MASC;PL
tog	vlak	tage	vlak	V;IND;PST;FIN;ACT	N;NOM;MASC;SG
tog	vlaki	tage	vlak	V;IND;PST;FIN;ACT	N;NOM;MASC;PL
tog	vlake	tage	vlak	V;IND;PST;FIN;ACT	N;ACC;MASC;PL
amerikansk	ameriške	amerikansk	ameriški	ADJ;INDF;SG	ADJ;NOM;FEM;PL
amerikansk	ameriški	amerikansk	ameriški	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
lille	majhni	lille	majhen	ADJ;SG	ADJ;NOM;MASC;PL
lille	majhne	lille	majhen	ADJ;SG	ADJ;NOM;FEM;PL
lille	male	lille	mali	ADJ;SG	ADJ;NOM;FEM;PL
lille	lille	lille	lill	ADJ;SG	PROPN;NOM;MASC;SG
not	ni	not	biti		V;IND;SG;3;NEG;PRS;FIN
not	ne	not	ne		PART
hendes	njej	hendes	on	DET;3	PRO;DAT;FEM;SG;3
hendes	njo	hendes	on	DET;3	PRO;ACC;FEM;SG;3
hendes	her	hendes	hera	DET;3	N;NOM;MASC;SG
von	von	von	von		
hvad	kaj	hvad	kaj	PRO;SG	PRO;ACC;NEUT;SG
nord	severna	nord	severen	N;INDF	ADJ;NOM;FEM;SG
nord	severni	nord	severen	N;INDF	ADJ;NOM;DEF;MASC;SG
nord	severno	nord	severen	N;INDF	ADV
nord	nord	nord	nord	N;INDF	PROPN;NOM;MASC;SG
kort	zemljevid	kort	zemljevid	ADJ;INDF;SG	N;NOM;MASC;SG
kort	kratki	kort	kratek	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
kort	kratko	kort	kratko	ADJ;INDF;SG	ADV
kort	kratke	kort	kratek	ADJ;INDF;SG	ADJ;NOM;FEM;PL
kort	zemljevidi	kort	zemljevid	ADJ;INDF;SG	N;NOM;MASC;PL
kort	zemljevide	kort	zemljevid	ADJ;INDF;SG	N;ACC;MASC;PL
kort	kartice	kort	kartica	ADJ;INDF;SG	N;NOM;FEM;PL
kort	kartic	kort	kartica	ADJ;INDF;SG	N;GEN;FEM;PL
kort	karte	kort	karta	ADJ;INDF;SG	N;NOM;FEM;PL
kort	kartico	kort	kartica	ADJ;INDF;SG	N;ACC;FEM;SG
kort	kartica	kort	kartica	ADJ;INDF;SG	N;NOM;FEM;SG
kort	karta	kort	karta	ADJ;INDF;SG	N;NOM;FEM;SG
udgivet	sproščeno	udgive	sproščeno	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
udgivet	izpuščeni	udgive	izpuščen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
udgivet	izpuščen	udgive	izpuščen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
udgivet	izpuščena	udgive	izpuščen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
udgivet	objavljene	udgive	objavljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
udgivet	objavljena	udgive	objavljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
udgivet	objavljeno	udgive	objavljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
udgivet	objavljeni	udgive	objavljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
udgivet	objavljen	udgive	objavljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
helt	junak	helt	junak	ADV	N;NOM;MASC;SG
helt	heroj	helt	heroj	ADV	N;NOM;MASC;SG
gamle	star	gammel	star	ADJ;PL	N;NOM;MASC;SG
gamle	staro	gammel	star	ADJ;PL	ADJ;NOM;NEUT;SG
gamle	stara	gammel	star	ADJ;PL	ADJ;NOM;FEM;SG
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	
gange	krat	gang	krat	N;INDF;MASC+FEM;PL	ADV
gange	times	gang	times	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
bedste	best	god	best	ADJ;DEF;RL	
døde	mrtev	død	mrtev	ADJ;PL	ADJ;NOM;INDF;MASC;SG
døde	umrla	død	umreti	ADJ;PL	V;PFV;FEM;SG;V.PTCP
døde	umrl	død	umreti	ADJ;PL	V;PFV;MASC;SG;V.PTCP
amerikanske	ameriško	amerikansk	ameriški	ADJ;PL	ADJ;NOM;NEUT;SG
amerikanske	ameriški	amerikansk	ameriški	ADJ;PL	ADJ;NOM;DEF;MASC;SG
amerikanske	ameriška	amerikansk	ameriški	ADJ;PL	ADJ;NOM;FEM;SG
tysk	nemec	tysk	nemec	ADJ;INDF;SG	N;NOM;MASC;SG
tysk	nemščina	tysk	nemščina	ADJ;INDF;SG	N;NOM;FEM;SG
tysk	nemški	tysk	nemški	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
meter	meter	meter	meter	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
meter	merilnik	meter	merilnik	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
gruppe	skupinsko	gruppe	skupinski	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
gruppe	skupinski	gruppe	skupinski	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
gruppe	skupinska	gruppe	skupinski	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
tyskland	nemčija	tyskland	nemčija	PROPN	PROPN;NOM;FEM;SG
lige	ravne	lige	raven	ADV	N;NOM;FEM;PL
lige	enaka	lige	enak	ADV	DET;NOM;FEM;SG
lige	enaki	lige	enak	ADV	DET;NOM;MASC;PL
spillet	igro	spille	igra	V;INDF;SG;PST;V.PTCP	N;ACC;FEM;SG
spillet	tekma	spille	tekma	V;INDF;SG;PST;V.PTCP	N;NOM;FEM;SG
spillet	tekmo	spille	tekma	V;INDF;SG;PST;V.PTCP	N;ACC;FEM;SG
spillet	igra	spille	igra	V;INDF;SG;PST;V.PTCP	N;NOM;FEM;SG
peter	peter	peter	peter		N;NOM;MASC;SG
peter	petra	peter	peter		N;NOM;MASC;SG
hver	vsak	hver	vsak	PRO;MASC+FEM;SG	DET;NOM;MASC;SG
hver	vsaka	hver	vsak	PRO;MASC+FEM;SG	DET;NOM;FEM;SG
hver	vsako	hver	vsak	PRO;MASC+FEM;SG	DET;ACC;NEUT;SG
hver	vsak	hver	vsak	PRO;MASC+FEM;SG	DET;NOM;MASC;SG
hver	vsaka	hver	vsak	PRO;MASC+FEM;SG	DET;NOM;FEM;SG
allerede	ze	allerede	ze	ADV	
allerede	že	allerede	že	ADV	PART
ingen	nobene	ingen	noben	PRO;MASC+FEM;SG	DET;GEN;NEUT;SG
ingen	nobenega	ingen	noben	PRO;MASC+FEM;SG	DET;GEN;MASC;SG
ingen	noben	ingen	noben	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
ingen	nobena	ingen	noben	PRO;MASC+FEM;SG	DET;NOM;FEM;SG
ingen	nihče	ingen	nihče	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
engelsk	angleško	engelsk	angleško	ADJ;INDF;SG	ADV
engelsk	angleščina	engelsk	angleščina	ADJ;INDF;SG	N;NOM;FEM;SG
engelsk	angleži	engelsk	anglež	ADJ;INDF;SG	N;NOM;MASC;PL
århundrede	stoletja	århundrede	stoletje	N;INDF;NEUT;SG	N;ACC;NEUT;PL
stadig	še	stadig	še	ADV	PART
john	john	john	john	PROPN	PROPN;NOM;MASC;SG
john	janez	john	janez	PROPN	PROPN;NOM;MASC;SG
john	janeza	john	janez	PROPN	N;ANIM;ACC;MASC;SG
gift	poročeni	gift	poročen	ADJ;INDF;SG	ADJ;NOM;MASC;PL;V.PTCP
gift	strup	gift	strup	ADJ;INDF;SG	N;NOM;MASC;SG
gift	strup	gift	strup	ADJ;INDF;SG	N;NOM;MASC;SG
forhold	odnosi	forhold	odnos	N;INDF;NEUT;SG	N;NOM;MASC;PL
forhold	razmerja	forhold	razmerje	N;INDF;NEUT;SG	N;NOM;NEUT;PL
forhold	zveze	forhold	zveza	N;INDF;NEUT;SG	N;NOM;FEM;PL
spiller	igralec	spille	igralec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
spiller	predvajalnik	spille	predvajalnik	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
spiller	igralca	spille	igralec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
spiller	igra	spille	igra	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
spiller	predvajanje	spille	predvajanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
spiller	igranje	spille	igranje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
især	zlasti	især	zlasti	ADV	PART
kampe	pretep	kamp	pretep	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
kampe	pretepanje	kamp	pretepanje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
kampe	bojevanje	kamp	bojevanje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
går	hojo	gå	hoja	V;IND;PRS;FIN;ACT	N;ACC;FEM;SG
går	hoja	gå	hoja	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
går	hoje	gå	hoja	V;IND;PRS;FIN;ACT	N;GEN;FEM;SG
går	peš	gå	peš	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
går	sprehode	gå	sprehod	V;IND;PRS;FIN;ACT	N;ACC;MASC;PL
går	sprehodi	gå	sprehod	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
syd	južno	syd	južen	N;INDF	ADV
syd	južna	syd	južen	N;INDF	ADJ;NOM;FEM;SG
syd	syd	syd	syd	N;INDF	
skrevet	pisno	skrive	pisno	V;INDF;SG;PST;V.PTCP	ADV
skrevet	napisano	skrive	napisan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
skrevet	napisana	skrive	napisan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
skrevet	pisna	skrive	pisen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
skrevet	zapisano	skrive	zapisan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
sverige	švedska	sverig	švedska	ADJ;PL	ADJ;NOM;FEM;SG
frankrig	francijo	frankrig	francija		N;ACC;FEM;SG
frankrig	francija	frankrig	francija		N;NOM;FEM;SG
frankrig	france	frankrig	franca		N;NOM;MASC;SG
ned	dol	ned	dol	ADV	
