kategória	categoría	kategória	categoría		N
szeptember	de	szeptember	de	N;NOM;SG	ADP
alatt	na	alatt	na	ADP	N
alatt	debaixo	alatt	debaixo	ADP	ADV
alatt	abaixo	alatt	abaixo	ADP	ADV
alatt	embaixo	alatt	embaixo	ADP	N
alatt	seccionada	alatt	seccionar	ADP	V
alatt	debaixo	alatt	debaixo	ADP	ADV
október	de	október	de	N;NOM;SG	ADP
második	segundo	második	segundo		ADP
második	segunda	második	segundo		ADJ
megye	do	megye	do		PROPN
megye	condado	megye	condado		N
megye	o	megye	o		DET
megye	nado	megye	nacer		V
megye	de	megye	de		ADP
megye	departamento	megye	departamento		N
megye	axentes	megye	axente		N
február	de	február	de	N;NOM;SG	ADP
mert	por	mert	por	CONJ	ADP
később	tarde	későn	tarde	ADV	N
december	de	december	de	N;NOM;SG	ADP
november	de	november	de	N;NOM;SG	ADP
bar	pola	bar	pola		N
bar	de	bar	de		ADP
bar	taberna	bar	taberno		N
bar	bar	bar	bar		N
április	de	április	de	N;NOM;SG	ADP
város	city	város	city	N;NOM;SG	PROPN
város	da	város	da	N;NOM;SG	V
amikor	cando	amikor	cando	ADV	PRO
amikor	se	amikor	se	ADV	CONJ
létrehozott	creamos	létrehozott	crear	N;ACC;SG	V
létrehozott	creou	létrehozott	crear	N;ACC;SG	V
létrehozott	creado	létrehozott	crear	N;ACC;SG	V
létrehozott	creei	létrehozott	crear	N;ACC;SG	V
létrehozott	creados	létrehozott	crear	N;ACC;SG	V
három	tres	három	tres	NUM;NOM;SG	N
nemzetközi	international	nemzetközi	international	ADJ;NOM;SG	PROPN
díj	pulitzer	díj	pulitzer	N;NOM;SG	V
díj	o	díj	o	N;NOM;SG	DET
található	atópanse	található	atópanse	ADJ;NOM;SG	PROPN
mivel	desde	mivel	desde	CONJ	ADP
mivel	xa	mivel	xa	CONJ	ADV
mivel	que	mivel	que	CONJ	PRO
mivel	dende	mivel	dende	CONJ	ADP
mellett	lado	mellett	lado	ADP	N
mellett	ao	mellett	ao	ADP	PROPN
által	pola	által	pola	ADP	N
által	polo	által	polo	ADP	N
jános	john	jános	jo	N;NOM;SG	PROPN
től	de	től	de		ADP
től	da	től	da		V
től	do	től	do		PROPN
től	dende	től	dende		ADP
istván	stephen	istván	stepher		PROPN
lásd	ver	lásd	ver		V
lásd	vexo	lásd	vexo		V
szent	santo	szent	santo		ADJ
szent	san	szent	ser		ADJ
szent	sagrado	szent	sagrar		ADJ
szent	santo	szent	santo		ADJ
szent	santos	szent	santo		N
szent	sagrada	szent	sagrar		V
szent	sagrado	szent	sagrar		ADJ
szent	sagrados	szent	sagrar		V
angol	a	angol	o		DET
angol	británico	angol	británico		ADJ
angol	británica	angol	británico		ADJ
angol	británicos	angol	británico		ADJ
angol	británicas	angol	británico		ADJ
angol	inglesa	angol	inglesa		ADJ
angol	inglés	angol	inglés		N
angol	ingleses	angol	inglese		N
angol	inglesa	angol	inglesa		ADJ
ezért	polo	ezért	polo	CONJ	N
ezért	tanto	ezért	tanto	CONJ	ADV
ezért	por	ezért	por	CONJ	ADP
ezért	iso	ezért	iso	CONJ	PRO
ezért	daquela	ezért	daquela	CONJ	ADV
király	xenial	király	xenial		ADJ
király	ben	király	ben		ADV
király	fresco	király	fresco		N
során	durante	sor	durante	N;ON+ESS;SG	ADP
ezek	estas	ez	este	PRO;NOM;PL;3	DET
ezek	estes	ez	este	PRO;NOM;PL;3	DET
előtt	antes	előtt	antes	ADP	ADV
mely	que	mely	que		PRO
mely	cal	mely	cal		PRO
józsef	wilson	józsef	wilson		PROPN
józsef	joseph	józsef	josephr		PROPN
élő	vivo	élő	vivo		ADJ
élő	vivir	élő	vivir		V
élő	vivindo	élő	vivir		V
élő	vida	élő	vida		N
élő	vivir	élő	vivir		V
élő	vivo	élő	vivo		ADJ
élő	viven	élő	vivir		V
élő	vive	élő	vivir		V
élő	viva	élő	vivo		ADJ
voltak	estaban	van	estar	V;INDF;IND;PL;3;PST;FIN;ACT	V
évi	ano	évi	ano		N
század	xiii	század	xiii	N;NOM;SG	PROPN
ferenc	francis	ferenc	francis	PROPN;NOM;SG	PROPN
saját	propio	saját	propio	PRO;NOM;SG;3	DET
saját	propia	saját	propio	PRO;NOM;SG;3	DET
saját	seu	saját	seu	PRO;NOM;SG;3	DET
ellen	ellen	ellen	ellen	ADP	PROPN
ellen	os	ellen	o	ADP	DET
sok	moita	sok	moito		DET
sok	moreas	sok	morea		N
sok	moitas	sok	moito		DET
sok	moito	sok	moito		ADV
sok	moitos	sok	moito		DET
sok	moitos	sok	moito		DET
sok	cantas	sok	canto		DET
sok	moitas	sok	moito		DET
sok	cantos	sok	canto		N
sok	canto	sok	canto		PRO
sok	grazas	sok	graza		N
sok	moito	sok	moito		ADV
sok	máis	sok	máis		ADV
sok	tanto	sok	tanto		ADV
sok	moito	sok	moito		ADV
sok	moita	sok	moito		DET
sok	moitos	sok	moito		DET
sok	moitas	sok	moito		DET
nincs	non	nincs	non	V;INDF;IND;SG;3;PRS;FIN;ACT	PART
először	primeiro	először	primeiro	ADV	ADJ
először	primeira	először	primeiro	ADV	ADJ
ilyen	tan	ilyen	tan		ADV
ilyen	como	ilyen	como		PRO
ilyen	tal	ilyen	tal		DET
következő	próxima	következő	próximo		ADJ
következő	ao	következő	ao		PROPN
következő	seguinte	következő	seguinte		ADJ
következő	lado	következő	lado		N
következő	próximo	következő	próximo		ADJ
következő	o	következő	o		DET
kis	pouco	kis	pouco	ADJ;NOM;SG	ADV
kis	algo	kis	algo	ADJ;NOM;SG	PRO
együtt	xuntos	együtt	xunto		ADJ
team	equipo	team	equipo		N
team	de	team	de		ADP
néhány	algo	néhány	algo	DET;INDF	PRO
néhány	de	néhány	de	DET;INDF	ADP
utolsó	último	utolsó	último		ADJ
utolsó	últimos	utolsó	último		ADJ
utolsó	pasado	utolsó	pasado		ADJ
utolsó	última	utolsó	último		ADJ
utolsó	o	utolsó	o		DET
utolsó	onte	utolsó	onte		ADV
utolsó	final	utolsó	final		N
utolsó	derradeira	utolsó	derradeiro		ADJ
utolsó	último	utolsó	último		ADJ
utolsó	axuntémonos	utolsó	axuntémonos		V
utolsó	todos	utolsó	todo		DET
utolsó	definitivo	utolsó	definitivo		ADJ
ott	hai	ott	haber	ADV	V
templom	da	templom	da	N;NOM;SG	V
volna	que	volna	que	V;INDF;COND;SG;3;PRS;ACT	PRO
elhunyt	aprobouse	el+huny	aprobouse	V;INDF;IND;SG;3;PST;FIN;ACT	N
legjobb	mellores	jó	mellor		ADJ
legjobb	mellor	jó	mellor		ADJ
európa	europa	európa	europa		PROPN
európa	en	európa	en		ADP
olasz	italiano	olasz	italiano		ADJ
olasz	italiana	olasz	italiana		ADJ
olasz	italianos	olasz	italiano		ADJ
számos	varios	számos	varios		DET
számos	varias	számos	varios		DET
számos	moitas	számos	moito		DET
teljes	total	teljes	total		N
teljes	de	teljes	de		ADP
teljes	chea	teljes	chea		N
teljes	cheo	teljes	cheo		N
teljes	completo	teljes	completo		ADJ
teljes	total	teljes	total		N
teljes	completa	teljes	completar		V
teljes	completar	teljes	completar		V
teljes	completo	teljes	completo		ADJ
legnagyobb	máis	nagy	máis	ADJ;NOM;RL;SG	ADV
legnagyobb	maiores	nagy	maior	ADJ;NOM;RL;SG	N
legnagyobb	duns	nagy	dun	ADJ;NOM;RL;SG	ADV
legnagyobb	máis	nagy	máis	ADJ;NOM;RL;SG	ADV
legnagyobb	máis	nagy	máis	ADJ;NOM;RL;SG	ADV
óta	xa	óta	xa	ADP	ADV
óta	que	óta	que	ADP	PRO
egyesült	dos	egyesül	dos	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
egyesült	nos	egyesül	nos	V;INDF;IND;SG;3;PST;FIN;ACT	PRO
egyesült	ficade	egyesül	ficade	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
egyesült	ee	egyesül	ee	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
egyesült	eua	egyesül	eua	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
család	familiar	család	familiar	N;NOM;SG	ADJ
falu	da	falu	da	N;NOM;SG	V
neve	se	név	se	N;NOM;SG	CONJ
igen	si	igen	si		ADV
igen	si	igen	si		ADV
halál	a	halál	o	N;NOM;SG	DET
bár	pola	bár	pola	CONJ	N
bár	de	bár	de	CONJ	ADP
bár	taberna	bár	taberno	CONJ	N
bár	bar	bár	bar	CONJ	N
bár	aínda	bár	aínda	CONJ	ADV
bár	que	bár	que	CONJ	PRO
bár	non	bár	non	CONJ	PART
bár	pero	bár	pero	CONJ	CONJ
bár	aínda	bár	aínda	CONJ	ADV
bár	que	bár	que	CONJ	PRO
készült	feito	készül	feito	V;INDF;IND;SG;3;PST;FIN;ACT	N
születési	a	születési	o	ADJ;NOM;SG	DET
születési	luz	születési	luz	ADJ;NOM;SG	N
születési	nacemento	születési	nacemento	ADJ;NOM;SG	N
születési	orixe	születési	orixe	ADJ;NOM;SG	N
születési	de	születési	de	ADJ;NOM;SG	ADP
katolikus	católica	katolikus	católico		ADJ
katolikus	católico	katolikus	católico		ADJ
katolikus	catholic	katolikus	catholic		PROPN
from	de	from	de		ADP
from	da	from	da		V
from	do	from	do		PROPN
from	dende	from	dende		ADP
kapcsolódó	asociados	kapcsolódó	asociar	ADJ;NOM;SG	V
kapcsolódó	coa	kapcsolódó	coar	ADJ;NOM;SG	V
kapcsolódó	asociado	kapcsolódó	asociar	ADJ;NOM;SG	V
kapcsolódó	conectadas	kapcsolódó	conectar	ADJ;NOM;SG	V
kapcsolódó	coa	kapcsolódó	coar	ADJ;NOM;SG	V
négy	catro	négy	catro	NUM;NOM;SG	N
eredeti	orixinal	eredeti	orixinal	N;NOM;SG	ADJ
eredeti	orixinais	eredeti	orixinal	N;NOM;SG	ADJ
áll	de	áll	de	V;INDF;IND;SG;3;PRS;FIN;ACT	ADP
áll	pé	áll	pé	V;INDF;IND;SG;3;PRS;FIN;ACT	N
áll	estaba	áll	estar	V;INDF;IND;SG;3;PRS;FIN;ACT	V
áll	parados	áll	parado	V;INDF;IND;SG;3;PRS;FIN;ACT	N
áll	está	áll	estar	V;INDF;IND;SG;3;PRS;FIN;ACT	V
áll	entre	áll	entre	V;INDF;IND;SG;3;PRS;FIN;ACT	ADP
adott	lle	ad	lle	V;INDF;IND;SG;3;PST;FIN;ACT	PRO
adott	a	ad	o	V;INDF;IND;SG;3;PST;FIN;ACT	DET
adott	se	ad	se	V;INDF;IND;SG;3;PST;FIN;ACT	CONJ
adott	a	ad	o	V;INDF;IND;SG;3;PST;FIN;ACT	DET
míg	tempo	míg	tempo	ADV	N
györgy	george	györgy	george	N;NOM;SG	PROPN
nagyobb	máis	nagy	máis	ADJ;NOM;CMPR;SG	ADV
nagyobb	é	nagy	ser	ADJ;NOM;CMPR;SG	V
nagyobb	máis	nagy	máis	ADJ;NOM;CMPR;SG	ADV
nagyobb	máis	nagy	máis	ADJ;NOM;CMPR;SG	ADV
nagyobb	maiores	nagy	maior	ADJ;NOM;CMPR;SG	N
nagyobb	é	nagy	ser	ADJ;NOM;CMPR;SG	V
nagyobb	son	nagy	ser	ADJ;NOM;CMPR;SG	V
nagyobb	máis	nagy	máis	ADJ;NOM;CMPR;SG	ADV
nagyobb	altos	nagy	alto	ADJ;NOM;CMPR;SG	N
nagyobb	tan	nagy	tan	ADJ;NOM;CMPR;SG	ADV
sándor	alexander	sándor	alexander		ADJ
lajos	luis	lajos	luis		PROPN
lajos	louis	lajos	loui		PROPN
őket	os	ők	o	PRO;ACC;PL;3	DET
őket	deles	ők	del	PRO;ACC;PL;3	PROPN
egész	toda	egész	todo		DET
egész	todo	egész	todo		DET
egész	enteiro	egész	enteiro		N
egész	a	egész	o		DET
vett	merqueino	vesz	merqueino	V;INDF;IND;SG;3;PST;FIN;ACT	N
vett	merqueille	vesz	merqueille	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
szintén	tamén	szintén	tamén		ADV
károly	carlos	károly	carlo	N;NOM;SG	PROPN
károly	karl	károly	karl	N;NOM;SG	PROPN
különböző	diferentes	különböző	diferente		ADJ
különböző	distintas	különböző	distinto		ADJ
különböző	distinto	különböző	distinto		ADJ
különböző	distintos	különböző	distinto		ADJ
különböző	diferente	különböző	diferente		ADJ
különböző	varias	különböző	varios		DET
különböző	varios	különböző	varios		DET
különböző	con	különböző	con		ADP
péter	peter	péter	peter		V
péter	pedro	péter	pedro		N
harmadik	terceira	harmadik	terceiro		ADJ
harmadik	terceiro	harmadik	terceiro		ADJ
harmadik	terzo	harmadik	terzo		N
belül	dentro	belül	dentro	ADP	ADV
belül	interior	belül	interior	ADP	ADJ
belül	no	belül	no	ADP	V
belül	dentro	belül	dentro	ADP	ADV
belül	nos	belül	nos	ADP	PRO
belül	dun	belül	dun	ADP	PROPN
kiadó	aluguer	kiadó	aluguer	N;NOM;SG	PROPN
kiadó	alugar	kiadó	alugar	N;NOM;SG	V
női	mulleres	női	muller		N
női	as	női	o		DET
mind	todo	mind	todo	CONJ	DET
mind	todos	mind	todo	CONJ	DET
mind	todas	mind	todo	CONJ	DET
lenne	sería	lesz	ser	V;INDF;COND;SG;3;PRS;FIN;ACT	V
lenne	que	lesz	que	V;INDF;COND;SG;3;PRS;FIN;ACT	PRO
jelentős	significativas	jelentős	significativo		ADJ
jelentős	significativa	jelentős	significativo		ADJ
jelentős	significativo	jelentős	significativo		ADJ
jelentős	máis	jelentős	máis		ADV
jelentős	importante	jelentős	importante		ADJ
sorozat	de	sorozat	de	N;NOM;SG	ADP
tól	de	tól	de		ADP
tól	da	tól	da		V
tól	do	tól	do		PROPN
tól	dende	tól	dende		ADP
vált	a	válik	o	V;INDF;IND;SG;3;PST;FIN;ACT	DET
vált	nunha	válik	nunha	V;INDF;IND;SG;3;PST;FIN;ACT	N
vált	nun	válik	nun	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
vált	en	válik	en	V;INDF;IND;SG;3;PST;FIN;ACT	ADP
vált	se	válik	se	V;INDF;IND;SG;3;PST;FIN;ACT	CONJ
orosz	rusa	orosz	rusa		ADJ
orosz	ruso	orosz	ruso		N
hazai	caseira	hazai	caseira	ADJ;NOM;SG	N
dél	mediodía	dél	mediodía		N
dél	do	dél	do		PROPN
dél	sur	dél	sur		N
dél	sur	dél	sur		N
dél	do	dél	do		PROPN
dél	sudáfrica	dél	sudáfricar		ADJ
spanyol	español	spanyol	español		ADJ
spanyol	española	spanyol	español		ADJ
iii	iii	iii	iii		PROPN
egyetlen	cada	egyetlen	cada		DET
egyetlen	simple	egyetlen	simple		ADJ
egyetlen	soa	egyetlen	só		DET
egyetlen	só	egyetlen	só		ADV
egyetlen	única	egyetlen	único		ADJ
egyetlen	único	egyetlen	único		ADJ
csoport	de	csoport	de	N;NOM;SG	ADP
ismert	coñecido	ismert	coñecer		V
ismert	coñecidos	ismert	coñecer		V
ismert	de	ismert	de		ADP
hosszú	longo	hosszú	longo		ADJ
hosszú	longa	hosszú	longo		ADJ
hosszú	moito	hosszú	moito		ADV
hosszú	tempo	hosszú	tempo		N
általában	habitualmente	általában	habitual		ADV
általában	normalmente	általában	normal		ADV
általában	adoita	általában	adoitar		V
általában	xeral	általában	xeral		ADJ
általában	adoitan	általában	adoitar		V
általában	normalmente	általában	normal		ADV
általában	xeral	általában	xeral		ADJ
általában	normalmente	általában	normal		ADV
általában	normalmente	általában	normal		ADV
épült	de	épül	de	V;INDF;IND;SG;3;PST;FIN;ACT	ADP
férfi	os	férfi	o	N;NOM;SG	DET
férfi	meu	férfi	meu	N;NOM;SG	DET
királyi	teatro	királyi	teatro		N
királyi	royal	királyi	royal		ADJ
királyi	súa	királyi	seu		DET
királyi	real	királyi	real		ADJ
királyi	alteza	királyi	altezar		N
ember	humanos	ember	humano	N;NOM;SG	ADJ
ember	humana	ember	humano	N;NOM;SG	ADJ
ember	humano	ember	humano	N;NOM;SG	ADJ
ember	meu	ember	meu	N;NOM;SG	DET
régi	anos	régi	ano		N
régi	vellos	régi	vello		N
régi	vello	régi	vello		N
régi	vella	régi	vella		N
vissza	a	vissza	o	ADV	DET
vissza	volvo	vissza	volvo	ADV	V
vissza	regresar	vissza	regresar	ADV	V
vissza	volva	vissza	volva	ADV	V
vissza	cambio	vissza	cambio	ADV	N
vissza	volver	vissza	volver	ADV	V
vissza	retorno	vissza	retorno	ADV	N
vissza	volver	vissza	volver	ADV	V
vissza	volta	vissza	volta	ADV	N
japán	xapón	japán	xapón		PROPN
japán	xaponés	japán	xaponés		PROPN
japán	xaponeses	japán	xaponés		N
felé	ao	felé	ao	ADP	PROPN
felé	cara	felé	cara	ADP	N
felé	a	felé	o	ADP	DET
felé	cara	felé	cara	ADP	N
felé	a	felé	o	ADP	DET
felé	ao	felé	ao	ADP	PROPN
felé	avanzar	felé	avanzar	ADP	V
felé	á	felé	á	ADP	N
miután	tras	miután	tras	CONJ	ADP
miután	de	miután	de	CONJ	ADP
miután	despois	miután	despois	CONJ	ADV
miután	logo	miután	logo	CONJ	ADV
egyéb	outra	egyéb	outro		DET
egyéb	outros	egyéb	outro		DET
egyéb	outro	egyéb	outro		DET
egyéb	outras	egyéb	outro		DET
egyéb	aos	egyéb	aos		PROPN
egyéb	outros	egyéb	outro		DET
egyéb	demais	egyéb	demais		DET
egyéb	outras	egyéb	outro		DET
teljesen	totalmente	teljes	total	ADJ;FRML;SG	ADV
teljesen	totalmente	teljes	total	ADJ;FRML;SG	ADV
teljesen	completamente	teljes	completamente	ADJ;FRML;SG	ADV
teljesen	por	teljes	por	ADJ;FRML;SG	ADP
teljesen	totalmente	teljes	total	ADJ;FRML;SG	ADV
gyakran	frecuencia	gyakran	frecuencia		N
gyakran	a	gyakran	o		DET
gyakran	miúdo	gyakran	miúdo		N
gyakran	moito	gyakran	moito		ADV
gyakran	veces	gyakran	vez		N
gyakran	acotío	gyakran	acotío		ADV
faj	a	faj	o	N;NOM;SG	DET
faj	internacional	faj	internacional	N;NOM;SG	ADJ
állt	estaba	áll	estar	V;INDF;IND;SG;3;PST;FIN;ACT	V
állt	cando	áll	cando	V;INDF;IND;SG;3;PST;FIN;ACT	PRO
korábbi	antes	korábbi	antes	ADJ;NOM;CMPR;SG	ADV
korábbi	máis	korábbi	máis	ADJ;NOM;CMPR;SG	ADV
korábbi	cedo	korábbi	cedo	ADJ;NOM;CMPR;SG	ADV
újra	outra	újra	outro	ADV	DET
újra	vez	újra	vez	ADV	N
újra	novo	újra	novo	ADV	ADJ
újra	de	újra	de	ADV	ADP
tehát	así	tehát	así		ADV
tehát	que	tehát	que		PRO
tehát	entón	tehát	entón		ADV
tehát	tan	tehát	tan		ADV
kisebb	máis	kis	máis	ADJ;NOM;CMPR;SG	ADV
kisebb	menores	kis	menor	ADJ;NOM;CMPR;SG	N
kisebb	pegada	kis	pegada	ADJ;NOM;CMPR;SG	N
brit	a	brit	o		DET
brit	británico	brit	británico		ADJ
brit	británica	brit	británico		ADJ
brit	británicos	brit	británico		ADJ
brit	británicas	brit	británico		ADJ
brit	inglesa	brit	inglesa		ADJ
inkább	canto	inkább	canto	ADV	PRO
inkább	prefiro	inkább	preferir	ADV	V
kívül	do	kívül	do		PROPN
kívül	fóra	kívül	fóra		ADV
kívül	fora	kívül	ir		V
maradt	por	marad	por	V;INDF;IND;SG;3;PST;FIN;ACT	ADP
john	john	john	jo		PROPN
körül	redor	körül	redor	ADP	N
körül	arredor	körül	arredor	ADP	ADV
körül	aquí	körül	aquí	ADP	ADV
észak	ao	észak	ao		PROPN
észak	norte	észak	norte		N
észak	do	észak	do		PROPN
észak	do	észak	do		PROPN
észak	norte	észak	norte		N
neki	el	ő	el		PRO
neki	o	ő	o		DET
neki	lle	ő	lle		PRO
mária	mariechen	mária	mariechen		PROPN
mária	marie	mária	marie		N
mária	mary	mária	mary		PROPN
mária	maría	mária	maría		N
mária	maria	mária	maria		N
mária	maría	mária	maría		N
rendező	director	rendező	director	N;NOM;SG	ADJ
rendező	de	rendező	de	N;NOM;SG	ADP
görög	grego	görög	grego		N
politikai	políticas	politikai	política	ADJ;NOM;SG	N
politikai	políticos	politikai	político	ADJ;NOM;SG	N
politikai	política	politikai	política	ADJ;NOM;SG	N
nyelv	a	nyelv	o	N;NOM;SG	DET
stb	etc	stb	etc		N
háború	a	háború	o	N;NOM;SG	DET
írt	escribiume	ír	escribiume	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
írt	a	ír	o	V;INDF;IND;SG;3;PST;FIN;ACT	DET
rövid	pouco	rövid	pouco		ADV
rövid	curto	rövid	curto		ADJ
rövid	curta	rövid	curto		ADJ
rövid	curtas	rövid	curto		N
rövid	informe	rövid	informe		N
rövid	breve	rövid	breve		ADJ
alá	debaixo	alá	debaixo	ADP	ADV
híres	famoso	híres	famoso		ADJ
híres	famosos	híres	famoso		ADJ
híres	famosa	híres	famor		ADJ
dátum	a	dátum	o	N;NOM;SG	DET
egyetem	de	egyetem	de	N;NOM;SG	ADP
egyetem	da	egyetem	da	N;NOM;SG	V
egyetem	universitaria	egyetem	universitario	N;NOM;SG	ADJ
egyetem	que	egyetem	que	N;NOM;SG	PRO
egyetem	college	egyetem	collegar	N;NOM;SG	PROPN
jelenlegi	actual	jelenlegi	actual		ADJ
jelenlegi	actuais	jelenlegi	actual		ADJ
jelenlegi	que	jelenlegi	que		PRO
jelenlegi	súa	jelenlegi	seu		DET
jelenlegi	corrente	jelenlegi	corrente		ADJ
jelenleg	estamos	jelenleg	estar	ADV	V
jelenleg	neste	jelenleg	neste	ADV	PROPN
jelenleg	momento	jelenleg	momento	ADV	N
hasonló	parecido	hasonló	parecer	ADJ;NOM;SG	N
fekete	negra	feket	negro		N
fekete	negro	feket	negro		N
fekete	negros	feket	negro		N
fehér	brancos	fehér	branco		N
fehér	branco	fehér	branco		ADJ
fehér	branca	fehér	branco		ADJ
fehér	brancas	fehér	branco		ADJ
andrás	andrew	andrás	andrew	PROPN;NOM;SG	PROPN
többi	resto	többi	resto		N
többi	descansar	többi	descansar		V
többi	demais	többi	demais		DET
többi	descanso	többi	descanso		N
helyi	local	helyi	local		N
helyi	locais	helyi	local		N
helyi	o	helyi	o		DET
helyi	de	helyi	de		ADP
katonai	militares	katonai	militar	ADJ;NOM;SG	V
katonai	exército	katonai	exército	ADJ;NOM;SG	N
világ	mundo	világ	mundo		N
utca	street	utca	street	N;NOM;SG	PROPN
északi	ao	északi	ao		PROPN
északi	norte	északi	norte		N
északi	do	északi	do		PROPN
északi	do	északi	do		PROPN
északi	norte	északi	norte		N
sikerült	e	sikerül	e	V;INDF;IND;SG;3;PST;FIN;ACT	CONJ
sikerült	a	sikerül	o	V;INDF;IND;SG;3;PST;FIN;ACT	DET
pál	paul	pál	paul		PROPN
általános	xeral	általános	xeral		ADJ
általános	xeneral	általános	xeneral		N
általános	o	általános	o		DET
déli	do	déli	do		PROPN
déli	sur	déli	sur		N
déli	sur	déli	sur		N
déli	do	déli	do		PROPN
déli	sudáfrica	déli	sudáfricar		ADJ
keresztül	través	keresztül	través	ADP	N
keresztül	a	keresztül	o	ADP	DET
szemben	contrario	szemben	contrario		N
