den	az	den	az	PRO;DEF;MASC+FEM;SG	
invånare	lakos	invånare	lakos	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
januari	januári	januari	januári	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
januari	januárban	januari	január	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
millimeter	milliméteres	millimet	milliméteres	N;NOM;INDF;MASC+FEM;PL	
millimeter	milliméter	millimet	milliméter	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
genomsnitt	átlagos	genomsnitt	átlagos	N;NOM;INDF;NEUT;SG	ADJ;NOM;SG
genomsnitt	átlagosan	genomsnitt	átlagos	N;NOM;INDF;NEUT;SG	ADJ;FRML;SG
genomsnitt	átlag	genomsnitt	átlag	N;NOM;INDF;NEUT;SG	
genomsnitt	átlagok	genomsnitt	átlag	N;NOM;INDF;NEUT;SG	N;NOM;PL
genomsnittlig	átlagosan	genomsnittlig	átlagos	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;FRML;SG
genomsnittlig	átlag	genomsnittlig	átlag	ADJ;NOM;INDF;MASC+FEM;SG	
var	var	var	var	PRO;INDF;MASC+FEM;SG	PROPN;NOM;SG
var	volt	var	van	PRO;INDF;MASC+FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
var	voltak	var	van	PRO;INDF;MASC+FEM;SG	V;INDF;IND;PL;3;PST;FIN;ACT
var	hol	var	hol	PRO;INDF;MASC+FEM;SG	ADV
var	ahol	var	ahol	PRO;INDF;MASC+FEM;SG	ADV
juli	júliusban	juli	július	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
juli	júliusi	juli	júliusi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	
per	per	per	per	ADP	N;NOM;SG
vattendrag	folyók	vattendrag	folyó	N;NOM;INDF;NEUT;SG	N;NOM;PL
vattendrag	rivers	vattendrag	rivers	N;NOM;INDF;NEUT;SG	
från	től	från	től	ADP	
från	tól	från	tól	ADP	
från	from	från	from	ADP	
kanada	kanada	kanad	kanada	PROPN;NOM	PROPN;NOM;SG
kanada	kanadai	kanad	kanadai	PROPN;NOM	ADJ;NOM;SG
provinsen	tartományban	provins	tartomány	N;NOM;DEF;MASC+FEM;SG	N;IN+ESS;SG
högsta	legfelsőbb	hög	felsőbb	ADJ;NOM;DEF;RL	N;IN+ESS;SG
högsta	legfeljebb	hög	legfeljebb	ADJ;NOM;DEF;RL	
högsta	maximum	hög	maximum	ADJ;NOM;DEF;RL	
högsta	maximális	hög	maximális	ADJ;NOM;DEF;RL	
augusti	augusztusban	augusti	augusztus	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
augusti	august	augusti	augus	N;NOM;INDF;MASC+FEM;SG	
kan	lehetne	kunna	lesz	V;IND;PRS;FIN;ACT	V;INDF;SG;3;PRS;FIN;ACT
kan	tud	kunna	tud	V;IND;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
kan	can	kunna	can	V;IND;PRS;FIN;ACT	
kan	lehet	kunna	lesz	V;IND;PRS;FIN;ACT	V;INDF;POT;SG;3;PRS;FIN;ACT
externa	külső	ext	külső	N;NOM;DEF;MASC+FEM;PL	
läge	mode	läge	mode	N;NOM;INDF;NEUT;SG	
även	szintén	även	szintén	ADV	
även	úgyszintén	även	úgyszintén	ADV	
februari	februárban	februari	február	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
februari	februári	februari	februári	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
under	során	under	sor	ADP	N;ON+ESS;SG
under	alatta	under	alat	ADP	
lake	tavi	lake	tavi	N;NOM;INDF;NEUT;SG	
lake	tavon	lake	tavon	N;NOM;INDF;NEUT;SG	N;ON+ESS;SG
sjö	tavi	sjö	tavi	N;NOM;INDF;MASC+FEM;SG	
sjö	tavon	sjö	tavon	N;NOM;INDF;MASC+FEM;SG	N;ON+ESS;SG
sjö	tengeren	sjö	tenger	N;NOM;INDF;MASC+FEM;SG	
sjö	tengeri	sjö	tengeri	N;NOM;INDF;MASC+FEM;SG	
inte	nem	inte	nem	PART;NEG	ADV
två	kettő	två	kettő	NUM;NOM	
lac	lac	lac	lac	V;IMP;FIN;ACT	
long	hosszú	long	hosszú	N;NOM;INDF;MASC+FEM;SG	
juni	juni	juni	juni	N;NOM;INDF;MASC+FEM;SG	
juni	júniusi	juni	júniusi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
juni	june	juni	june	N;NOM;INDF;MASC+FEM;SG	
juni	júniusban	juni	június	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
lat	lat	lat	lat	N;NOM;INDF;MASC+FEM;SG	
lat	lusta	lat	lusta	N;NOM;INDF;MASC+FEM;SG	
december	decemberi	december	decemberi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
december	decemberben	december	december	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
växer	növekvő	växa	növekvő	V;IND;PRS;FIN;ACT	ADJ;NOM;SG
många	sok	mången	sok	PRO;INDF;PL	
många	sokan	mången	sokan	PRO;INDF;PL	ADV
efter	after	efter	after	ADP	
efter	miután	efter	miután	ADP	CONJ
efter	utána	efter	utána	ADP	
nära	szoros	nära	szoros	ADV	
nära	közel	nära	közel	ADV	
nära	bezárása	nära	bezárás	ADV	N;NOM;SG
nära	közeli	nära	közeli	ADV	
nära	közel	nära	közel	ADV	
väster	nyugat	väster	nyugat	N;NOM;INDF;MASC+FEM;SG	
väster	nyugati	väster	nyugati	N;NOM;INDF;MASC+FEM;SG	
provins	tartományban	provins	tartomány	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
öster	keletre	öster	keletr	N;NOM;INDF;MASC+FEM;SG	N;ON+ALL;SG
öster	keleti	öster	keleti	N;NOM;INDF;MASC+FEM;SG	
öster	kelet	öster	kelet	N;NOM;INDF;MASC+FEM;SG	
först	első	först	első	ADV	ADJ;NOM;SG
berg	hegyen	berg	hegy	N;NOM;INDF;NEUT;SG	N;ON+ESS;SG
berg	hegyi	berg	hegyi	N;NOM;INDF;NEUT;SG	
berg	hegyek	berg	hegy	N;NOM;INDF;NEUT;SG	N;NOM;PL
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	
berg	hegyek	berg	hegy	N;NOM;INDF;NEUT;SG	N;NOM;PL
indonesien	indonéziában	indonesien	indonézia	PROPN;NOM	N;IN+ESS;SG
indonesien	indonézia	indonesien	indonézia	PROPN;NOM	
indonesien	indonéz	indonesien	indonéz	PROPN;NOM	
usa	usa	usa	usa	PROPN;NOM	
mars	márciusi	mars	márciusi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	
mindre	kisebb	lite	kis	ADV;CMPR	ADJ;NOM;CMPR;SG
mindre	kisebbet	lite	kis	ADV;CMPR	N;ACC;SG
mindre	kisebbek	lite	kis	ADV;CMPR	PRO;NOM;PL;3
mindre	kisebb	lite	kis	ADV;CMPR	ADJ;NOM;CMPR;SG
mindre	kiskorú	lite	kiskorú	ADV;CMPR	N;NOM;SG
mindre	kisebb	lite	kis	ADV;CMPR	ADJ;NOM;CMPR;SG
mindre	kevesebbet	lite	kevesebb	ADV;CMPR	
mindre	kevesebb	lite	kevesebb	ADV;CMPR	
norr	észak	norr	észak	N;NOM;INDF;MASC+FEM;SG	
norr	északi	norr	északi	N;NOM;INDF;MASC+FEM;SG	
norr	északra	norr	észak	N;NOM;INDF;MASC+FEM;SG	N;ON+ALL;SG
oktober	októberi	oktober	októberi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
oktober	októberben	oktober	október	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
man	férfi	man	férfi	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;SG
man	ember	man	ember	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;SG
september	szeptemberben	september	szeptember	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
september	szeptemberi	september	szeptemberi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
större	őrnagy	stor	őrnagy	ADJ;NOM;CMPR	N;NOM;SG
större	nagyobbak	stor	nagy	ADJ;NOM;CMPR	ADV
större	nagyobbak	stor	nagy	ADJ;NOM;CMPR	ADV
centrala	központi	central	központi	ADJ;NOM;PL	ADJ;NOM;SG
nordväst	északnyugat	nordväst	északnyug	ADV	N;NOM;SG
andra	másodszor	annan	másod	PRO;INDF;PL	
andra	másodperc	annan	másodperc	PRO;INDF;PL	
andra	második	annan	második	PRO;INDF;PL	
andra	egyéb	annan	egyéb	PRO;INDF;PL	
andra	más	annan	más	PRO;INDF;PL	PRO;NOM;SG;3
andra	másoknak	annan	más	PRO;INDF;PL	PRO;DAT;PL;3
andra	egyéb	annan	egyéb	PRO;INDF;PL	
andra	mások	annan	más	PRO;INDF;PL	
andra	egyebek	annan	egyéb	PRO;INDF;PL	
nordost	északkelet	nordost	északkelet	ADV	N;ON+ESS;SG
county	megyei	county	megyei	N;NOM;INDF;NEUT;SG	ADJ;NOM;SG
county	megye	county	megye	N;NOM;INDF;NEUT;SG	
nog	elég	nog	elég	ADV	
nog	nog	nog	nog	ADV	
huvudsakligen	főként	huvudsakligen	főként	ADV	
huvudsakligen	főleg	huvudsakligen	főleg	ADV	
huvudsakligen	elsődlegesen	huvudsakligen	elsődlegesen	ADV	ADJ;FRML;SG
namngivna	megnevezett	namngiven	megnevezett	ADJ;NOM;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
söder	dél	söder	dél	N;NOM;INDF;MASC+FEM;SG	
söder	délre	söder	délre	N;NOM;INDF;MASC+FEM;SG	ADV
söder	déli	söder	déli	N;NOM;INDF;MASC+FEM;SG	
mycket	sok	mycket	sok	ADV	
mycket	sokat	mycket	sok	ADV	
jpg	jpg	jpg	jpg	N	
regionen	régiók	region	régió	N;NOM;DEF;MASC+FEM;SG	N;NOM;PL
ottawa	ottawa	ottal	ottawa	PROPN;NOM	N;NOM;SG
creek	creek	creek	cr	N;NOM;INDF;NEUT;SG	
ganska	meglehetősen	ganska	meglehetős	ADV	ADJ;FRML;SG
närmaste	legközelebbi	nära	közel	ADJ;NOM;DEF;RL	ADV
närmaste	legközelebbi	nära	közel	ADJ;NOM;DEF;RL	ADV
november	novemberi	november	novemberi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
november	novemberben	november	november	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
maj	may	maj	may	N;NOM;INDF;MASC+FEM;SG	
maj	májusi	maj	májusi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
maj	májusban	maj	május	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	
platt	platt	platt	platt	ADV	
platt	lapos	platt	lapos	ADV	
platt	lakás	platt	lakás	ADV	N;NOM;SG
platt	sík	platt	sík	ADV	
född	született	född	születik	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
född	megszületett	född	meg+szület	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
finland	finnország	finland	finnország	PROPN;NOM	N;NOM;SG
samhälle	közösségi	samhälle	közösségi	N;NOM;INDF;NEUT;SG	ADJ;NOM;SG
platser	ülés	plats	ülés	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
första	először	en	először	ADJ;NOM	ADV
sydväst	délnyugat	sydväst	délnyug	ADV	
australien	ausztrália	australien	ausztrália	PROPN;NOM	N;NOM;SG
sydöstra	délkelet	sydöstra	délkelet	ADJ;NOM;DEF;SG	N;NOM;SG
sydöstra	délkelet	sydöstra	délkelet	ADJ;NOM;DEF;SG	N;NOM;SG
sydöstra	délkeleti	sydöstra	délkeleti	ADJ;NOM;DEF;SG	N;NOM;SG
april	april	april	ap	N;NOM;INDF;MASC+FEM;SG	
april	áprilisi	april	áprilisi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
april	áprilisban	april	április	N;NOM;INDF;MASC+FEM;SG	N;IN+ESS;SG
bar	bar	ba	bar	N;NOM;INDF;NEUT;SG	
bar	bár	ba	bár	N;NOM;INDF;NEUT;SG	CONJ
sydost	délkelet	sydost	délkelet	ADV	N;NOM;SG
hans	hans	han	hans	PRO;DEF	PROPN;NOM;SG
södra	dél	södra	dél	ADJ;NOM;DEF;SG	
södra	déli	södra	déli	ADJ;NOM;DEF;SG	
södra	dél	södra	dél	ADJ;NOM;DEF;SG	
södra	délre	södra	délre	ADJ;NOM;DEF;SG	ADV
södra	déli	södra	déli	ADJ;NOM;DEF;SG	
toppen	nagyszerű	topp	nagyszerű	N;NOM;DEF;MASC+FEM;SG	
toppen	felül	topp	felül	N;NOM;DEF;MASC+FEM;SG	
toppen	top	topp	top	N;NOM;DEF;MASC+FEM;SG	
toppen	csúcs	topp	csúcs	N;NOM;DEF;MASC+FEM;SG	
toppen	felső	topp	felső	N;NOM;DEF;MASC+FEM;SG	
toppen	legfelső	topp	legfelső	N;NOM;DEF;MASC+FEM;SG	
sverige	svédország	sverige	svédország	PROPN;NOM	N;NOM;SG
sedan	aztán	sedan	aztán	ADV	
sedan	mivel	sedan	mivel	ADV	CONJ
sedan	óta	sedan	óta	ADV	ADP
östra	keletre	östra	keletr	ADJ;NOM;DEF;SG	N;ON+ALL;SG
östra	keleti	östra	keleti	ADJ;NOM;DEF;SG	
östra	kelet	östra	kelet	ADJ;NOM;DEF;SG	
östra	kelet	östra	kelet	ADJ;NOM;DEF;SG	
östra	keleti	östra	keleti	ADJ;NOM;DEF;SG	
genom	át	genom	át	ADP	ADV
kilometer	kilométer	kilomet	kilométer	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
norra	észak	norra	észak	ADJ;NOM;DEF;SG	
norra	északi	norra	északi	ADJ;NOM;DEF;SG	
norra	északra	norra	észak	ADJ;NOM;DEF;SG	N;ON+ALL;SG
norra	észak	norra	észak	ADJ;NOM;DEF;SG	
norra	északi	norra	északi	ADJ;NOM;DEF;SG	
också	szintén	också	szintén	ADV	
också	úgyszintén	också	úgyszintén	ADV	
också	is	också	is	ADV	CONJ
också	túl	också	túl	ADV	
mot	ellene	mot	ellen	ADP	PRO;NOM;SG;3
västra	nyugat	onstra	nyugat	ADJ;NOM;DEF;SG	
västra	nyugati	onstra	nyugati	ADJ;NOM;DEF;SG	
västra	nyugati	onstra	nyugati	ADJ;NOM;DEF;SG	
västra	nyugat	onstra	nyugat	ADJ;NOM;DEF;SG	
västra	western	onstra	western	ADJ;NOM;DEF;SG	
del	részben	del	részben	N;NOM;INDF;MASC+FEM;SG	ADV
del	del	del	del	N;NOM;INDF;MASC+FEM;SG	
riktning	irányba	riktning	irány	N;NOM;INDF;MASC+FEM;SG	N;IN+ALL;SG
namn	nevek	namn	név	N;NOM;INDF;NEUT;SG	N;NOM;PL
namn	neveket	namn	nevék	N;NOM;INDF;NEUT;SG	N;ACC;PL
vilket	melyik	vilken	melyik	PRO;INDF;NEUT;SG	
vilket	mely	vilken	mely	PRO;INDF;NEUT;SG	
svenska	svéd	svensk	svéd	ADJ;NOM;PL	
svenska	svédország	svensk	svédország	ADJ;NOM;PL	N;NOM;SG
svensk	svéd	svensk	svéd	N;NOM;INDF;MASC+FEM;SG	
svensk	svéd	svensk	svéd	N;NOM;INDF;MASC+FEM;SG	
svensk	svensk	svensk	sven	N;NOM;INDF;MASC+FEM;SG	
cerro	cerro	cerro	cerro	N;NOM;INDF;MASC+FEM;SG	
frankrike	franciaország	frankrike	franciaország	PROPN;NOM	N;NOM;SG
frankrike	france	frankrike	france	PROPN;NOM	
död	halott	död	halott	N;NOM;INDF;MASC+FEM;SG	
död	halottak	död	halott	N;NOM;INDF;MASC+FEM;SG	N;NOM;PL
kulle	dombon	kulle	dombon	N;NOM;INDF;MASC+FEM;SG	N;ON+ESS;SG
kulle	dombra	kulle	dombra	N;NOM;INDF;MASC+FEM;SG	N;ON+ALL;SG
kulle	hegyen	kulle	hegy	N;NOM;INDF;MASC+FEM;SG	N;ON+ESS;SG
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	
kina	porcelán	kina	porcela	PROPN;NOM	N;NOM;SG
kina	kína	kina	kína	PROPN;NOM	PROPN;NOM;SG
kina	china	kina	china	PROPN;NOM	
kina	kína	kina	kína	PROPN;NOM	PROPN;NOM;SG
kina	knk	kina	knk	PROPN;NOM	N;NOM;SG
est	est	est	est	PROPN;NOM	
annat	egyéb	annan	egyéb	PRO;INDF;NEUT;SG	
annat	más	annan	más	PRO;INDF;NEUT;SG	PRO;NOM;SG;3
skulle	volna	skola	volna	V;IND;PST;FIN;ACT	V;INDF;COND;SG;3;PRS;ACT
skulle	lenne	skola	lesz	V;IND;PST;FIN;ACT	V;INDF;COND;SG;3;PRS;FIN;ACT
departementet	megye	departement	megye	N;NOM;DEF;NEUT;SG	
from	istenfélő	from	istenfélő	N;NOM;INDF;MASC+FEM;SG	
from	jámbor	from	jámbor	N;NOM;INDF;MASC+FEM;SG	
tropiskt	trópusi	tropisk	trópusi	ADJ;NOM;INDF;NEUT;SG	N;NOM;SG
hill	dombon	hill	dombon	PROPN;NOM	N;ON+ESS;SG
hill	domb	hill	domb	PROPN;NOM	N;NOM;SG
hill	hegy	hill	hegy	PROPN;NOM	N;NOM;SG
hill	dombra	hill	dombra	PROPN;NOM	N;ON+ALL;SG
hill	hegyen	hill	hegy	PROPN;NOM	N;ON+ESS;SG
hill	hill	hill	hill	PROPN;NOM	
flera	számos	flera	számos	PRO;INDF;PL	
flera	többszörös	flera	többszörös	PRO;INDF;PL	N;NOM;SG
flera	többszörösen	flera	többszörös	PRO;INDF;PL	ADJ;FRML;SG
periodiskt	időszakos	periodisk	időszakos	ADJ;NOM;INDF;NEUT;SG	N;NOM;SG
periodiskt	időszakonként	periodisk	időszak	ADJ;NOM;INDF;NEUT;SG	N;ABS;SG
nord	észak	nord	észak	PROPN;NOM	
nord	északi	nord	északi	PROPN;NOM	
nord	északra	nord	észak	PROPN;NOM	N;ON+ALL;SG
nord	nord	nord	nord	PROPN;NOM	
stockholm	stockholm	stockholm	stockholm	PROPN;NOM	N;NOM;SG
stockholm	stockholmi	stockholm	stockholmi	PROPN;NOM	
alla	mindegyik	all	mindegyik	PRO;INDF;PL	
alla	mind	all	mind	PRO;INDF;PL	CONJ
alla	minden	all	minden	PRO;INDF;PL	PRO;NOM;SG;3
alla	mindenki	all	mindenki	PRO;INDF;PL	
alla	mindenkinek	all	mindenki	PRO;INDF;PL	
samma	ugyanez	samma	ugyanez	DET;INDF	
samma	ugyanaz	samma	ugyanaz	DET;INDF	
olika	más	olik	más	ADJ;NOM;PL	PRO;NOM;SG;3
olika	különböző	olik	különböző	ADJ;NOM;PL	
olika	eltérő	olik	eltérő	ADJ;NOM;PL	ADJ;NOM;SG
olika	többféle	olik	többfél	ADJ;NOM;PL	
olika	különféle	olik	különféle	ADJ;NOM;PL	
olika	különböző	olik	különböző	ADJ;NOM;PL	
point	pont	point	pont	N;NOM;INDF;MASC+FEM;SG	
point	point	point	point	N;NOM;INDF;MASC+FEM;SG	
ort	city	ort	city	N;NOM;INDF;MASC+FEM;SG	
ort	városi	ort	városi	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
nya	újdonság	ny	újdonság	ADJ;NOM;PL	N;NOM;SG
nya	új	ny	új	ADJ;NOM;PL	ADJ;NOM;SG
island	izlandi	island	izlandi	PROPN;NOM	
island	izland	island	izland	PROPN;NOM	PROPN;NOM;SG
dock	azonban	dock	azonban	ADV	CONJ
dock	mindamellett	dock	mindamellett	ADV	
dock	mindazonáltal	dock	mindazonáltal	ADV	CONJ
dock	azonban	dock	azonban	ADV	CONJ
sjön	tavi	sjö	tavi	N;NOM;DEF;MASC+FEM;SG	
sjön	tavon	sjö	tavon	N;NOM;DEF;MASC+FEM;SG	N;ON+ESS;SG
tidigare	korábbi	tidig	korábbi	ADV;CMPR	ADJ;NOM;CMPR;SG
tidigare	korábbi	tidig	korábbi	ADV;CMPR	ADJ;NOM;CMPR;SG
tidigare	előző	tidig	előző	ADV;CMPR	
tidigare	korábbi	tidig	korábbi	ADV;CMPR	ADJ;NOM;CMPR;SG
brasilien	brazília	brasili	brazília	PROPN;NOM	
colombia	kolumbia	colombia	kolumbia	PROPN;NOM	
colombia	columbia	colombia	columbia	PROPN;NOM	
colombia	kolumbia	colombia	kolumbia	PROPN;NOM	
utan	anélkül	utan	anélkül	ADP	
socken	parish	socken	parish	N;NOM;INDF;MASC+FEM;SG	
spanien	spanyolország	spani	spanyolország	PROPN;NOM	
mount	mount	mount	mount	PROPN;NOM	N;NOM;SG
mount	hegy	mount	hegy	PROPN;NOM	N;NOM;SG
kom	jött	komma	jön	V;IMP;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
stora	nagyok	stor	nagy	ADJ;NOM;PL	N;NOM;PL
stora	nagyméretű	stor	nagyméretű	ADJ;NOM;PL	ADJ;NOM;SG
stora	nagy	stor	nagy	ADJ;NOM;PL	ADJ;NOM;SG
stora	nagyok	stor	nagy	ADJ;NOM;PL	N;NOM;PL
stora	nagy	stor	nagy	ADJ;NOM;PL	ADJ;NOM;SG
kinshasa	kinshasa	kinshasa	kinshas	PROPN;NOM	
omgivande	körülvevő	omgivande	körülvevő	ADJ;NOM;PRS;V.PTCP	ADV;V.CVB
omgivande	környező	omgivande	környező	ADJ;NOM;PRS;V.PTCP	
omgivande	környezeti	omgivande	környezeti	ADJ;NOM;PRS;V.PTCP	N;NOM;SG
basen	alap	bas	alap	N;NOM;DEF;MASC+FEM;SG	
algeriet	algéria	algeri	algéria	N;NOM;DEF;NEUT;SG	
chile	chilei	chile	chilei	PROPN;NOM	ADJ;NOM;SG
chile	chile	chile	chile	PROPN;NOM	
mer	több	mycket	több	ADV;CMPR	DET;INDF
mer	more	mycket	more	ADV;CMPR	
mer	további	mycket	további	ADV;CMPR	N;NOM;SG
mer	tobb	mycket	tobb	ADV;CMPR	
kongo	kongói	kongo	kongói	PROPN;NOM	
öst	keleti	öst	keleti	N	
öst	kelet	öst	kelet	N	
öst	kelet	öst	kelet	N	
öst	keleti	öst	keleti	N	
region	régiók	region	régió	N;NOM;INDF;MASC+FEM;SG	N;NOM;PL
von	von	von	von	PROPN;NOM	
wat	wat	wat	wat	N;NOM;INDF;MASC+FEM;SG	
släkte	fajta	släkte	fajta	N;NOM;INDF;NEUT;SG	
släkte	nemzetségek	släkte	nemzetség	N;NOM;INDF;NEUT;SG	N;NOM;PL
sydlig	dél	sydlig	dél	ADJ;NOM;INDF;MASC+FEM;SG	
sydlig	déli	sydlig	déli	ADJ;NOM;INDF;MASC+FEM;SG	
västlig	nyugati	västlig	nyugati	ADJ;NOM;INDF;MASC+FEM;SG	
västlig	nyugat	västlig	nyugat	ADJ;NOM;INDF;MASC+FEM;SG	
västlig	western	västlig	western	ADJ;NOM;INDF;MASC+FEM;SG	
blir	váljon	bli	váljon	V;IND;PRS;FIN;ACT	V;DEF;IMP;SG;3;PRS;FIN;ACT
sydvästra	délnyugat	sydvästra	délnyug	ADJ;NOM;DEF;SG	
sydvästra	délnyugat	sydvästra	délnyug	ADJ;NOM;DEF;SG	
tillsammans	együtt	tillsammans	együtt	ADV	
lite	lite	lite	lite	ADV	
öppet	nyíltan	öppen	nyílt	ADV	
öppet	áttetsző	öppen	áttetsző	ADV	
öppet	átlátszó	öppen	átlátszó	ADV	
öppet	átlátható	öppen	átlátható	ADV	ADJ;NOM;SG
delstat	állami	delstad	állami	N;NOM;INDF;MASC+FEM;SG	
innan	előtte	innan	előtte	CONJ	
innan	előtt	innan	előtt	CONJ	ADP
innan	mielőtt	innan	mielőtt	CONJ	ADV
fram	front	fram	front	ADV	
fram	eleje	fram	eleje	ADV	N;NOM;SG
canberra	canberra	canberra	canber	PROPN;NOM	N;NOM;SG
mål	célkitűzések	mål	célkitűzés	N;NOM;INDF;NEUT;SG	N;NOM;PL
mål	célok	mål	cél	N;NOM;INDF;NEUT;SG	N;NOM;PL
mål	célkitűzések	mål	célkitűzés	N;NOM;INDF;NEUT;SG	N;NOM;PL
mål	célokat	mål	cél	N;NOM;INDF;NEUT;SG	N;ACC;PL
mål	célok	mål	cél	N;NOM;INDF;NEUT;SG	N;NOM;PL
län	megyei	län	megyei	N;NOM;INDF;NEUT;SG	ADJ;NOM;SG
län	megye	län	megye	N;NOM;INDF;NEUT;SG	
län	tartományban	län	tartomány	N;NOM;INDF;NEUT;SG	N;IN+ESS;SG
län	megyék	län	megyék	N;NOM;INDF;NEUT;SG	N;NOM;PL
bosnien	boszniai	bosnie	boszniai	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;SG
john	john	john	john	PROPN;NOM	
john	jános	john	jános	PROPN;NOM	N;NOM;SG
