del	del	del	del	ADP;MASC;SG	PROPN;ANIM;NOM;MASC;SG
nacional	vnútroštátnych	nacional	vnútroštátny	ADJ;SG	ADJ;GEN;MASC;PL
nacional	vnútroštátne	nacional	vnútroštátne	ADJ;SG	ADV
nacional	nacional	nacional	nacionať	ADJ;SG	PROPN;INAN;NOM;MASC;SG
primera	najprv	primero	najprv	ADJ;FEM;SG	ADV
primera	prva	primero	prvý	ADJ;FEM;SG	N;NOM;FEM;SG
team	tým	team	to	N	DET;INS;NEUT;SG
team	team	team	team	N	PROPN;ANIM;NOM;MASC;SG
cuando	ked	cuando	ked	CONJ	PART
cuando	kedy	cuando	kedy	CONJ	ADV
utc	utc	utc	utc	N	
siglo	siglo	siglo	siglo	N;MASC;SG	INTJ
siglo	storočia	siglo	storočie	N;MASC;SG	N;NOM;NEUT;PL
después	po	después	po	ADV	ADP;ESS
después	neskor	después	neskor	ADV	PROPN;ANIM;NOM;MASC;SG
españa	španielsko	españa	španielsko	N;FEM;SG	PROPN;NOM;NEUT;SG
españa	španielska	españa	španielsky	N;FEM;SG	PROPN;NOM;FEM;SG
otros	iný	otro	iný	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
otros	ďalšie	otro	ďalší	PRO;MASC;PL	ADJ;NOM;NEUT;SG
otros	iná	otro	iný	PRO;MASC;PL	DET;NOM;FEM;SG
otros	iné	otro	iný	PRO;MASC;PL	DET;NOM;NEUT;SG
otros	ostatné	otro	ostatný	PRO;MASC;PL	ADJ;NOM;NEUT;SG
otros	iný	otro	iný	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
otros	ostatný	otro	ostatný	PRO;MASC;PL	ADJ;ANIM;NOM;MASC;SG
otros	iní	otro	iný	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
otros	iné	otro	iný	PRO;MASC;PL	DET;NOM;NEUT;SG
otros	ostatné	otro	ostatný	PRO;MASC;PL	ADJ;NOM;NEUT;SG
gran	velke	gran	velka	ADJ;SG	N;NOM;FEM;SG
gran	velka	gran	velka	ADJ;SG	N;NOM;FEM;SG
gran	big	gran	big	ADJ;SG	
gran	skvele	gran	skvele	ADJ;SG	ADV
gran	super	gran	super	ADJ;SG	INTJ
gran	gran	gran	gran	ADJ;SG	PROPN;INAN;NOM;MASC;SG
gran	grand	gran	grand	ADJ;SG	PROPN;ANIM;NOM;MASC;SG
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	PROPN;ANIM;NOM;MASC;SG
unidos	zjednotená	unido	zjednotený	ADJ;MASC;PL;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
unidos	zjednotení	unido	zjednotenie	ADJ;MASC;PL;V.PTCP	N;NOM;NEUT;PL
unidos	spojené	unido	spojený	ADJ;MASC;PL;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
puede	môžu	poder	môcť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
puede	mozu	poder	moz	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
puede	can	poder	can	V;IND;SG;3;PRS;FIN	
puede	moze	poder	moz	V;IND;SG;3;PRS;FIN	
estado	štátne	estado	štátny	N;MASC;SG	ADJ;NOM;NEUT;SG
estado	štátna	estado	štátny	N;MASC;SG	ADJ;NOM;FEM;SG
estado	podmienky	estado	podmienka	N;MASC;SG	N;NOM;FEM;PL
uno	uno	uno	uno	PRO;MASC;SG	
uno	jedno	uno	jeden	PRO;MASC;SG	NUM;NOM;NEUT;SG
uno	jedným	uno	jeden	PRO;MASC;SG	NUM;INS;MASC;SG
uno	one	uno	ona	PRO;MASC;SG	
uno	jeden	uno	jeden	PRO;MASC;SG	NUM;ANIM;NOM;MASC;SG
uno	jedna	uno	jeden	PRO;MASC;SG	NUM;NOM;FEM;SG
lugar	umiestnenia	lugar	umiestnenie	N;MASC;SG	N;NOM;NEUT;PL
primer	najprv	primero	najprv	ADJ;MASC;SG	ADV
primer	prva	primero	prvý	ADJ;MASC;SG	N;NOM;FEM;SG
población	obyvateľstva	población	obyvateľstvo	N;FEM;SG	N;NOM;NEUT;PL
población	populácie	población	populácia	N;FEM;SG	N;NOM;FEM;PL
muy	veľ	mucho	veľ	ADV	
muy	velmi	mucho	velmi	ADV	PROPN;ANIM;NOM;MASC;SG
había	malo	haber	mať	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
había	nemal	haber	mať	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
había	mali	haber	mať	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
había	mal	haber	mať	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
había	mala	haber	mať	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
mismo	rovnako	mismo	rovnako	ADJ;MASC;SG	ADV
nueva	nove	nuevo	nový	ADJ;FEM;SG	N;NOM;FEM;PL
nueva	novinka	nuevo	novinka	ADJ;FEM;SG	N;NOM;FEM;SG
fueron	boli	ser	byť	V;IND;PL;3;PST;FIN	V;IPFV;MASC;PL;POS;PST;V.PTCP
historia	histórie	historia	história	N;FEM;SG	N;NOM;FEM;PL
historia	dejiny	historia	dejiny	N;FEM;SG	N;NOM;FEM;PL
club	club	club	club	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
eran	boli	ser	byť	V;IND;PL;3;IPFV;FIN	V;IPFV;MASC;PL;POS;PST;V.PTCP
cual	ktorú	cual	ktorý	PRO;SG	DET;ACC;FEM;SG
cual	ktoré	cual	ktorý	PRO;SG	DET;NOM;NEUT;SG
cual	ktorá	cual	ktorý	PRO;SG	DET;NOM;FEM;SG
cual	ktorý	cual	ktorý	PRO;SG	DET;ANIM;NOM;MASC;SG
universidad	university	universidad	universita	N;FEM;SG	N;NOM;FEM;PL
universidad	univerzitné	universidad	univerzitný	N;FEM;SG	ADJ;NOM;NEUT;SG
universidad	univerzity	universidad	univerzita	N;FEM;SG	N;NOM;FEM;PL
universidad	vysoká	universidad	vysoký	N;FEM;SG	ADJ;NOM;FEM;SG
tres	tres	tres	tres	NUM;PL	
tres	three	tres	three	NUM;PL	
grupo	grupo	grupo	grupo	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
grupo	group	grupo	group	N;MASC;SG	
grupo	skupiny	grupo	skupina	N;MASC;SG	N;NOM;FEM;PL
general	všeobecné	general	všeobecný	N;SG	ADJ;NOM;NEUT;SG
general	všeobecne	general	všeobecne	N;SG	ADV
general	všeobecná	general	všeobecný	N;SG	ADJ;NOM;FEM;SG
guerra	vojnové	guerra	vojnový	N;FEM;SG	ADJ;NOM;NEUT;SG
guerra	vojny	guerra	vojna	N;FEM;SG	N;NOM;FEM;PL
guerra	vojnový	guerra	vojnový	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
guerra	war	guerra	war	N;FEM;SG	
familia	rodiny	familia	rodina	N;FEM;SG	N;NOM;FEM;PL
familia	rodín	familia	rodina	N;FEM;SG	N;GEN;FEM;PL
familia	rodinám	familia	rodina	N;FEM;SG	N;DAT;FEM;PL
familia	rodinná	familia	rodinný	N;FEM;SG	ADJ;NOM;FEM;SG
además	aj	además	aj	ADV	PART
además	tiež	además	tiež	ADV	PART
además	navyše	además	navyše	ADV	PART
además	plus	además	plus	ADV	
todo	všetko	todo	všetok	PRO;MASC;SG	DET;NOM;NEUT;SG
todo	vsetko	todo	vsetko	PRO;MASC;SG	N;NOM;MASC;SG
todo	all	todo	all	PRO;MASC;SG	
todo	vsetky	todo	vsetok	PRO;MASC;SG	N;NOM;FEM;PL
todo	všetky	todo	všetok	PRO;MASC;SG	DET;INAN;NOM;MASC;PL
todo	všetkých	todo	všetok	PRO;MASC;SG	DET;ANIM;ACC;MASC;PL
todo	všetci	todo	všetok	PRO;MASC;SG	DET;ANIM;NOM;MASC;PL
todo	všetko	todo	všetok	PRO;MASC;SG	DET;NOM;NEUT;SG
sur	južný	sur	južný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
sur	južná	sur	južný	N;MASC;SG	ADJ;NOM;FEM;SG
sur	južné	sur	južný	N;MASC;SG	ADJ;NOM;NEUT;SG
sur	južnej	sur	južný	N;MASC;SG	ADJ;GEN;FEM;SG
sur	sur	sur	sur	N;MASC;SG	
sur	južný	sur	južný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
sur	južná	sur	južný	N;MASC;SG	ADJ;NOM;FEM;SG
sur	južné	sur	južný	N;MASC;SG	ADJ;NOM;NEUT;SG
sur	južnej	sur	južný	N;MASC;SG	ADJ;GEN;FEM;SG
mayor	major	mayor	major	ADJ;SG	PROPN;ANIM;NOM;MASC;SG
tiempo	time	tiempo	tima	N;MASC;SG	
provincia	provincie	provincia	provincia	N;FEM;SG	N;NOM;FEM;PL
partido	party	partido	part	N;MASC;SG	N;NOM;FEM;PL
partido	párty	partido	párt	N;MASC;SG	N;INAN;NOM;MASC;PL
partido	zhodovať	partido	zhodovať	N;MASC;SG	V;IPFV;POS;NFIN
partido	zhody	partido	zhod	N;MASC;SG	N;NOM;FEM;PL
contra	počítadlo	contra	počítadnúť	ADP	N;NOM;NEUT;SG
contra	pult	contra	pult	ADP	N;INAN;NOM;MASC;SG
contra	contra	contra	contra	ADP	N;NOM;FEM;SG
encuentra	nájdite	encontrar	nájsť	V;IND;SG;3;PRS;FIN	V;PFV;IMP;PL;2;POS;FIN
encuentra	nájdi	encontrar	nájsť	V;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;POS;FIN
otras	iný	otro	iný	PRO;FEM;PL	DET;ANIM;NOM;MASC;SG
otras	ďalšie	otro	ďalší	PRO;FEM;PL	ADJ;NOM;NEUT;SG
otras	iná	otro	iný	PRO;FEM;PL	DET;NOM;FEM;SG
otras	iné	otro	iný	PRO;FEM;PL	DET;NOM;NEUT;SG
otras	ostatné	otro	ostatný	PRO;FEM;PL	ADJ;NOM;NEUT;SG
otras	iný	otro	iný	PRO;FEM;PL	DET;ANIM;NOM;MASC;SG
otras	ostatný	otro	ostatný	PRO;FEM;PL	ADJ;ANIM;NOM;MASC;SG
otras	iní	otro	iný	PRO;FEM;PL	DET;ANIM;NOM;MASC;PL
otras	iné	otro	iný	PRO;FEM;PL	DET;NOM;NEUT;SG
otras	ostatné	otro	ostatný	PRO;FEM;PL	ADJ;NOM;NEUT;SG
todos	každý	todo	každý	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
todos	vsetci	todo	vsetec	PRO;MASC;PL	N;ANIM;NOM;MASC;SG
todos	kazdy	todo	kazdy	PRO;MASC;PL	N;INAN;NOM;MASC;SG
todos	všetci	todo	všetok	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
todos	all	todo	all	PRO;MASC;PL	
todos	vsetky	todo	vsetok	PRO;MASC;PL	N;NOM;FEM;PL
todos	všetky	todo	všetok	PRO;MASC;PL	DET;INAN;NOM;MASC;PL
todos	všetkých	todo	všetok	PRO;MASC;PL	DET;ANIM;ACC;MASC;PL
todos	všetci	todo	všetok	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
todos	všetko	todo	všetok	PRO;MASC;PL	DET;NOM;NEUT;SG
todos	každý	todo	každý	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
todos	každého	todo	každý	PRO;MASC;PL	DET;ANIM;ACC;MASC;SG
todos	vsetci	todo	vsetec	PRO;MASC;PL	N;ANIM;NOM;MASC;SG
todos	všetkým	todo	všetok	PRO;MASC;PL	DET;ANIM;DAT;MASC;PL
todos	všetci	todo	všetok	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
juan	ján	juan	ján	PROPN	PROPN;ANIM;NOM;MASC;SG
juan	john	juan	john	PROPN	PROPN;ANIM;NOM;MASC;SG
juan	joan	juan	joan	PROPN	PROPN;ANIM;NOM;MASC;SG
sido	bola	ser	byť	V;MASC;SG;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
sido	bol	ser	byť	V;MASC;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
josé	jozef	josé	jozef	PROPN	PROPN;ANIM;NOM;MASC;SG
josé	joseph	josé	joseph	PROPN	PROPN;ANIM;NOM;MASC;SG
josé	jozefa	josé	jozef	PROPN	PROPN;ANIM;ACC;MASC;SG
josé	josef	josé	josef	PROPN	PROPN;ANIM;NOM;MASC;SG
josé	josé	josé	jos	PROPN	PROPN;ANIM;NOM;MASC;SG
bajo	nízko	bajo	nízko	ADP	ADV
bajo	nízke	bajo	nízka	ADP	N;INAN;NOM;MASC;PL
bajo	nízky	bajo	nízky	ADP	N;INAN;NOM;MASC;SG
bajo	nízka	bajo	nízko	ADP	N;NOM;FEM;SG
bajo	low	bajo	low	ADP	
bajo	bajo	bajo	bať	ADP	PROPN;ANIM;NOM;MASC;SG
bajo	basa	bajo	basa	ADP	N;NOM;FEM;SG
bajo	bass	bajo	bass	ADP	PROPN;ANIM;NOM;MASC;SG
bajo	basy	bajo	basa	ADP	N;NOM;FEM;PL
serie	série	serie	séria	N;FEM;SG	N;NOM;FEM;PL
serie	poradové	serie	poradový	N;FEM;SG	ADJ;NOM;NEUT;SG
serie	sériový	serie	sériový	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
serie	sériové	serie	sériový	N;FEM;SG	ADJ;NOM;NEUT;SG
cada	každý	cada	každý	DET;SG	DET;ANIM;NOM;MASC;SG
cada	kazda	cada	kazda	DET;SG	
cada	každá	cada	každý	DET;SG	DET;NOM;FEM;SG
cada	každý	cada	každý	DET;SG	DET;ANIM;NOM;MASC;SG
cada	každého	cada	každý	DET;SG	DET;ANIM;ACC;MASC;SG
cada	každé	cada	každý	DET;SG	DET;NOM;NEUT;SG
cada	každá	cada	každý	DET;SG	DET;NOM;FEM;SG
fútbol	futbalový	fútbol	futbalový	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
fútbol	futbalové	fútbol	futbalový	N;MASC;SG	ADJ;NOM;NEUT;SG
fútbol	futbalový	fútbol	futbalový	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
fútbol	futbalové	fútbol	futbalový	N;MASC;SG	ADJ;NOM;NEUT;SG
equipo	zariadenia	equipo	zariadenie	N;MASC;SG	N;NOM;NEUT;PL
equipo	tým	equipo	to	N;MASC;SG	DET;INS;NEUT;SG
equipo	team	equipo	team	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
norte	severný	norte	severný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
norte	severné	norte	severný	N;MASC;SG	ADJ;NOM;NEUT;SG
norte	severná	norte	severný	N;MASC;SG	ADJ;NOM;FEM;SG
norte	severne	norte	severne	N;MASC;SG	N;NOM;FEM;PL
norte	severný	norte	severný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
norte	severnej	norte	severný	N;MASC;SG	ADJ;GEN;FEM;SG
norte	severné	norte	severný	N;MASC;SG	ADJ;NOM;NEUT;SG
norte	severná	norte	severný	N;MASC;SG	ADJ;NOM;FEM;SG
norte	severnom	norte	severný	N;MASC;SG	ADJ;ESS;NEUT;SG
norte	nord	norte	nord	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
río	rio	río	rio	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
río	riu	río	ria	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
río	ria	río	ria	N;MASC;SG	
río	river	río	river	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
río	riečna	río	riečno	N;MASC;SG	ADJ;NOM;FEM;SG
río	rieky	río	rieka	N;MASC;SG	N;NOM;FEM;PL
han	maj	haber	mať	V;IND;PL;3;PRS;FIN	V;IPFV;IMP;SG;2;POS;FIN
han	mať	haber	mať	V;IND;PL;3;PRS;FIN	V;IPFV;POS;NFIN
han	majú	haber	mať	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
han	han	haber	han	V;IND;PL;3;PRS;FIN	PROPN;ANIM;NOM;MASC;SG
argentina	argentíne	argentino	argentína	ADJ;FEM;SG	N;NOM;FEM;SG
argentina	argentíny	argentino	argentína	ADJ;FEM;SG	N;NOM;FEM;PL
argentina	argentína	argentino	argentína	ADJ;FEM;SG	N;NOM;FEM;SG
inglés	anglický	inglés	anglický	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
inglés	slovensky	inglés	slovensky	N;MASC;SG	ADV
nuevo	nove	nuevo	nový	ADJ;MASC;SG	N;NOM;FEM;PL
nuevo	novinka	nuevo	novinka	ADJ;MASC;SG	N;NOM;FEM;SG
véase	pozri	véase	pozrieť	V;SBJV;SG;3;PRS;FIN	V;PFV;IMP;SG;2;POS;FIN
véase	vidíš	véase	vidieť	V;SBJV;SG;3;PRS;FIN	V;IPFV;IND;SG;2;POS;PRS;FIN
junto	pozdĺž	junto	pozdĺž	ADJ	
segunda	segunda	segundo	segunda	ADJ;FEM;SG	N;NOM;FEM;SG
segunda	sekunda	segundo	sekunda	ADJ;FEM;SG	N;NOM;FEM;SG
discusión	diskutovať	discusión	diskutovať	N;FEM;SG	V;IPFV;POS;NFIN
discusión	diskusie	discusión	diskusie	N;FEM;SG	N;NOM;FEM;PL
gobierno	vládne	gobierno	vládnuť	N;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
gobierno	vlády	gobierno	vláda	N;MASC;SG	N;NOM;FEM;PL
gobierno	vlada	gobierno	vlada	N;MASC;SG	PROPN;ANIM;ACC;MASC;SG
condado	powiat	condado	powiat	N;MASC;SG	
final	ukončiť	final	ukončiť	N;MASC;SG	V;PFV;POS;NFIN
final	end	final	end	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
final	skončiť	final	skončiť	N;MASC;SG	V;PFV;POS;NFIN
final	konečné	final	konečný	N;MASC;SG	ADJ;NOM;NEUT;SG
final	konečná	final	konečný	N;MASC;SG	ADJ;NOM;FEM;SG
final	záverečná	final	záverečná	N;MASC;SG	ADJ;NOM;FEM;SG
final	konečný	final	konečný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
final	záverečné	final	záverečný	N;MASC;SG	ADJ;NOM;NEUT;SG
vida	life	vida	lifa	N;FEM;SG	
vida	zivot	vida	zivot	N;FEM;SG	INTJ
vida	vida	vida	vida	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
personas	ludi	persona	ludia	N;FEM;PL	INTJ
personas	people	persona	peopeľ	N;FEM;PL	PROPN;ANIM;VOC;MASC;SG
español	španielske	español	španielsky	N;MASC;SG	ADJ;NOM;NEUT;SG
español	španielsky	español	španielsky	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
español	španielska	español	španielsky	N;MASC;SG	PROPN;NOM;FEM;SG
julio	julio	julio	julio	N	PROPN;ANIM;NOM;MASC;SG
hay	sena	haber	sena	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
hay	seno	haber	seno	V;IND;SG;3;PRS;FIN	N;NOM;FEM;PL
lincoln	lincoln	lincoln	lincolný	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
país	krajiny	país	krajina	N;MASC;SG	N;NOM;FEM;PL
web	webová	web	webový	N;FEM;SG	ADJ;NOM;FEM;SG
internacional	internacional	internacional	internacionať	ADJ;SG	N;INAN;NOM;MASC;SG
internacional	international	internacional	internationať	ADJ;SG	N;INAN;NOM;MASC;SG
internacional	medzinárodných	internacional	medzinárodný	ADJ;SG	ADJ;GEN;MASC;PL
santa	saint	santo	saint	ADJ;FEM;SG	PROPN;ANIM;NOM;MASC;SG
santa	svätec	santo	svätec	ADJ;FEM;SG	N;ANIM;NOM;MASC;SG
santa	santa	santo	santa	ADJ;FEM;SG	PROPN;ANIM;NOM;MASC;SG
antes	skorší	antes	skorý	ADV	ADJ;ANIM;NOM;CMPR;MASC;SG
antes	pred	antes	pred	ADV	ADP;INS
antes	predtym	antes	predtym	ADV	INTJ
oficial	official	oficial	officiať	ADJ;SG	INTJ
oficial	oficiálne	oficial	oficiálne	ADJ;SG	ADV
oficial	úradník	oficial	úradník	ADJ;SG	N;ANIM;NOM;MASC;SG
oficial	úradník	oficial	úradník	ADJ;SG	N;ANIM;NOM;MASC;SG
oficial	dôstojník	oficial	dôstojník	ADJ;SG	N;ANIM;NOM;MASC;SG
oficial	strážnik	oficial	strážnik	ADJ;SG	N;ANIM;NOM;MASC;SG
quien	komu	quien	kto	PRO;SG	PRO;ANIM;DAT;MASC;SG
quien	koho	quien	kto	PRO;SG	PRO;ANIM;ACC;MASC;SG
quien	ktorí	quien	ktorý	PRO;SG	DET;ANIM;NOM;MASC;PL
quien	kto	quien	kto	PRO;SG	PRO;ANIM;NOM;MASC;SG
mundo	svetová	mundo	svetový	N;MASC;SG	ADJ;NOM;FEM;SG
mundo	world	mundo	world	N;MASC;SG	
mundo	mundo	mundo	mundo	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
tanto	oboje	tanto	oboj	ADV	N;NOM;MASC;SG
