der	het	der	het	DET;NOM;DEF;MASC;SG	PRO;3
mai	moi	mai	moi	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
isbn	isbn	isbn	isbn	;SG	INTJ
hatte	hadden	haben	hebben	V;IND;SG;3;PST;FIN	V;PL;PST;FIN
zwischen	tussentijdse	zwischen	tussentijds	ADP	ADJ
zwischen	intermediaire	zwischen	intermediair	ADP	ADJ
zwischen	intermediair	zwischen	intermediair	ADP	ADJ
mehr	more	mehr	more	ADV	
mehr	meer	mehr	veel	ADV	PRO
gegen	versus	gegen	versus	ADP	INTJ
keine	geen	kein	geen	PRO;NOM;INDF;FEM;SG;NEG	DET
waren	goederen	sein	goederen	V;IND;PL;3;PST;FIN	N;PL
waren	grondstoffen	sein	grondstof	V;IND;PL;3;PST;FIN	N;PL
waren	handelswaar	sein	handelswaar	V;IND;PL;3;PST;FIN	N;MASC+FEM;SG
waren	koopwaar	sein	koopwaar	V;IND;PL;3;PST;FIN	N;MASC+FEM;SG
zeit	zeit	zeit	zeiten	ADJ	N;MASC+FEM;SG
zeit	tijdvak	zeit	tijdvak	ADJ	N;NEUT;SG
zeit	periode	zeit	periode	ADJ	N;MASC+FEM;SG
zeit	tijd	zeit	tijd	ADJ	N;MASC+FEM;SG
stadt	stad	staden	stad		N;MASC+FEM;SG
stadt	stad	staden	stad		N;MASC+FEM;SG
stadt	steden	staden	stad		N;PL
wieder	rug	wieder	rug	ADV	N;MASC+FEM;SG
wieder	back	wieder	back	ADV	N;MASC+FEM;SG
wieder	herenigd	wieder	herenigen	ADV	V;V.PTCP
haben	heb	haben	hebben	V;IND;PL;3;FIN	V;SG;PRS;FIN
gibt	retour	geben	retour	V;IND;SG;3;PRS;FIN	ADJ
deutscher	deutscher	deutsch	deutscher	ADJ	N;MASC+FEM;SG
deutscher	duitsers	deutsch	duitser	ADJ	N;PL
jahren	jaar	jahren	jaar	ADJ	N;NEUT;SG
jahren	jaren	jahren	jaar	ADJ	N;PL
mal	tijden	mal	tijd	ADV	N;PL
mal	times	mal	time	ADV	N;MASC+FEM;SG
mal	mal	mal	mal	ADV	N;MASC+FEM;SG
ersten	eerst	erst	eerst	ADJ;NOM;PL	ADV
jedoch	maar	jedoch	maar	ADV	CONJ
seed	zaden	seed	zaad		N;PL
seed	zaaigoed	seed	zaaigoed		N;NEUT;SG
seed	zaad	seed	zaad		N;NEUT;SG
seed	zaaizaad	seed	zaaizaad		N;NEUT;SG
drei	drei	drei	drei	NUM	N;MASC+FEM;SG
drei	three	drei	three	NUM	
drei	drieën	drei	drie	NUM	N;PL
drei	threes	drei	threes	NUM	N;MASC+FEM;SG
etwa	over	etwa	over	ADV	ADP
etwa	ca	etwa	ca	ADV	N;MASC+FEM;SG
deutschen	duitsers	deutsch	duitser	ADJ	N;PL
teil	deel	teil	deel	ADV	N;NEUT;SG
teil	gedeelte	teil	gedeelte	ADV	N;NEUT;SG
berlin	berlijn	berlin	berlijn	PROPN;NOM;NEUT;SG	PROPN;NEUT;SG
habe	got	haben	got	V;SBJV;SG;3;PRS;FIN	N;MASC+FEM;SG
habe	kreeg	haben	krijgen	V;SBJV;SG;3;PRS;FIN	V;SG;PST;FIN
habe	hebben	haben	hebben	V;SBJV;SG;3;PRS;FIN	V;PL;PRS;FIN
alle	alle	alle	al	PRO;NOM;INDF;PL	DET
alle	allemaal	alle	allemaal	PRO;NOM;INDF;PL	ADV
während	tijdens	während	tijdens	CONJ	ADP
während	gedurende	während	gedurende	CONJ	ADP
ihre	hun	ihr	hun	DET;NOM;FEM;SG	PRO;ACC;3
ihre	its	ihr	its	DET;NOM;FEM;SG	
ihre	je	ihr	je	DET;NOM;FEM;SG	PRO;NOM;2
ihre	uw	ihr	uw	DET;NOM;FEM;SG	PRO;2
ihre	jouw	ihr	jou	DET;NOM;FEM;SG	PRO;ACC;2
ihre	haar	ihr	haar	DET;NOM;FEM;SG	PRO;ACC;3
ihre	uwe	ihr	uw	DET;NOM;FEM;SG	N;MASC+FEM;SG
anderen	overig	ander	overig	ADJ;NOM;PL	
später	straks	spät	straks	ADJ	ADV
können	kan	können	kunnen	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
können	kunt	können	kunnen	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
können	kunnen	können	kunnen	V;IND;PL;3;PRS;FIN	V;PL;PRS;FIN
jan	jan	jan	jan	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
mir	mir	ich	mir	PRO;DAT;SG;1	N;MASC+FEM;SG
seinen	zijn	sein	zijn	DET;ACC;MASC;SG	V;PL;PRS;FIN
ihr	jou	ihr	jou	PRO;NOM;MASC;SG	PRO;ACC;2
ihr	jouw	ihr	jou	PRO;NOM;MASC;SG	PRO;ACC;2
ihr	haar	ihr	haar	PRO;NOM;MASC;SG	PRO;ACC;3
gemeinde	gemeenten	gemeinde	gemeente	N;NOM;FEM;SG	N;PL
seinem	zijn	sein	zijn	DET;DAT;MASC;SG	V;PL;PRS;FIN
erste	erste	erst	er	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
erste	eerst	erst	eerst	ADJ;NOM;FEM;PL	ADV
liegt	lies	liegen	lies	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
liegt	leugens	liegen	leugens	V;IND;SG;3;PRS;FIN	N;PL
august	august	augusten	august	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
august	aug	augusten	aug	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
sollte	moet	sollen	moeten	V;IND;SG;3;PST;FIN	V;SG;PRS;FIN
deutschland	duitsland	deutschland	duitsland	PROPN;NOM	PROPN;NEUT;SG
ihm	hem	er	hem	PRO;DAT;MASC;SG;3	PRO;ACC;3
ende	uiteinden	ende	uiteinde	N;ACC;NEUT;SG	N;PL
ende	eindigt	ende	eindigen	N;ACC;NEUT;SG	V;SG;PRS;FIN
ende	voltooien	ende	voltooien	N;ACC;NEUT;SG	V;NFIN
ende	afmaken	ende	afmaken	N;ACC;NEUT;SG	V;NFIN
ende	beëindigen	ende	beëindigen	N;ACC;NEUT;SG	V;NFIN
ende	eindigend	ende	eindigen	N;ACC;NEUT;SG	V;V.PTCP
märz	maart	märz	maart	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
märz	marcheren	märz	marcheren	PROPN;NOM;MASC;SG	V;NFIN
märz	märz	märz	märz	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
aug	aug	augen	aug		N;MASC+FEM;SG
deutsche	deutsche	deutsch	deutsch	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
deutsche	duitsers	deutsch	duitser	ADJ;NOM;FEM;PL	N;PL
band	band	binden	band		N;MASC+FEM;SG
band	bandje	binden	band		N;NEUT;SG
band	plakband	binden	plakband		N;NEUT;SG
band	tape	binden	tape		N;MASC+FEM;SG
band	lint	binden	linten		N;NEUT;SG
band	lintje	binden	lint		N;NEUT;SG
januar	januari	januar	januari	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
doch	maar	doch	maar	ADV	CONJ
oktober	oktober	oktober	oktober	PROPN;NOM;SG	PROPN;MASC+FEM;SG
oktober	october	oktober	october	PROPN;NOM;SG	PROPN;MASC+FEM;SG
oktober	lgo	oktober	lgo	PROPN;NOM;SG	N;MASC+FEM;SG
nov	nov	nov	nov		N;MASC+FEM;SG
ihn	ihn	er	ihn	PRO;ACC;MASC;SG;3	N;MASC+FEM;SG
wikipedia	wikipedia	wikipedia	wikipedia		N;MASC+FEM;SG
jun	jun	jun	jun		N;MASC+FEM;SG
jul	jul	jul	jul		N;MASC+FEM;SG
kirche	kerken	kirche	kerk		N;PL
kirche	kerk	kirche	kerk		N;MASC+FEM;SG
juni	jun	juni	jun	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
juni	juni	juni	juni	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
juni	june	juni	june	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
konnte	kan	können	kunnen	V;IND;SG;3;PST;FIN	V;SG;PRS;FIN
april	apr	april	apr	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
april	april	april	april	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
september	september	september	september	PROPN;SG	PROPN;MASC+FEM;SG
september	sept	september	seppen	PROPN;SG	N;MASC+FEM;SG
september	sep	september	sep	PROPN;SG	N;MASC+FEM;SG
selbst	self	selbst	self	ADV	N;MASC+FEM;SG
selbst	mijzelf	selbst	mijzelf	ADV	PRO;ACC;1
selbst	mezelf	selbst	mezelf	ADV	PRO;ACC;1
selbst	ikzelf	selbst	ikzelf	ADV	PRO;NOM;1
selbst	jezelf	selbst	jezelf	ADV	PRO;ACC;2
selbst	jijzelf	selbst	jijzelf	ADV	PRO;NOM;2
selbst	uzelf	selbst	uzelf	ADV	PRO;NOM;2
weitere	more	weit	more	ADJ;NOM;FEM;PL	
weitere	meer	weit	veel	ADJ;NOM;FEM;PL	PRO
juli	juli	juli	juli	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
juli	juli	juli	juli	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
andere	overig	ander	overig	ADJ;NOM;FEM;PL	
okt	lgo	okt	lgo		N;MASC+FEM;SG
feb	feb	feb	feb		N;MASC+FEM;SG
kein	niet	kein	niet	PRO;NOM;INDF;MASC;SG;NEG	ADV
geschichte	verhaal	geschicht	verhaal		N;NEUT;SG
geschichte	story	geschicht	story		N;MASC+FEM;SG
geschichte	geschiedenis	geschicht	geschiedenis		N;MASC+FEM;SG
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	INTJ
verlag	uitgeverijen	verliegen	uitgeverij	N;NOM;MASC;SG	N;PL
verlag	uitgevers	verliegen	uitgever	N;NOM;MASC;SG	N;PL
apr	apr	apr	apr		N;MASC+FEM;SG
jpg	jpg	jpg	jpg		N;MASC+FEM;SG
dezember	december	dezember	december	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
dez	dec	dez	dec		N;MASC+FEM;SG
universität	universiteit	universität	universiteit	ADJ	N;MASC+FEM;SG
platz	plaza	platz	plaza	ADV	N;MASC+FEM;SG
platz	vierkante	platz	vierkant	ADV	ADJ
platz	vierkant	platz	vierkant	ADV	ADJ
platz	plein	platz	plein	ADV	N;NEUT;SG
platz	plaats	platz	plaats	ADV	N;MASC+FEM;SG
platz	platz	platz	plaatzen	ADV	N;MASC+FEM;SG
platz	ruimte	platz	ruimte	ADV	N;MASC+FEM;SG
platz	spatie	platz	spatie	ADV	N;MASC+FEM;SG
ihrer	hun	ihr	hun	DET;NOM;MASC;SG	PRO;ACC;3
ihrer	je	ihr	je	DET;NOM;MASC;SG	PRO;NOM;2
ihrer	uw	ihr	uw	DET;NOM;MASC;SG	PRO;2
ihrer	jouw	ihr	jou	DET;NOM;MASC;SG	PRO;ACC;2
ihrer	uwe	ihr	uw	DET;NOM;MASC;SG	N;MASC+FEM;SG
steht	stands	stehen	stands	V;IND;SG;3;PRS;FIN	N;PL
sep	sep	sepen	sep		N;MASC+FEM;SG
november	november	november	november	PROPN	PROPN;MASC+FEM;SG
november	nov	november	nov	PROPN	N;MASC+FEM;SG
kam	kwamen	kommen	komen	V;IND;SG;3;PST;FIN	V;PL;PST;FIN
jahrhundert	eeuw	jahrhundert	eeuw	ADJ	N;MASC+FEM;SG
beiden	twee	beide	twee	PRO;NOM;INDF;PL	NUM
beiden	two	beide	two	PRO;NOM;INDF;PL	
vier	four	vier	four	NUM	
seite	side	seit	side	N	
februar	februari	februaer	februari	PROPN;NOM;SG	PROPN;MASC+FEM;SG
februar	feb	februaer	feb	PROPN;NOM;SG	N;MASC+FEM;SG
gab	gab	geben	geben	V;IND;SG;3;PST;FIN	N;MASC+FEM;SG
etwas	lichtjes	etwas	licht	ADV	N;PL
etwas	lichtelijk	etwas	lichtelijk	ADV	ADJ
etwas	iets	etwas	iets	ADV	PRO;3
mich	zelf	ich	zelf	PRO;ACC;SG;1	ADV
mich	ikzelf	ich	ikzelf	PRO;ACC;SG;1	PRO;NOM;1
mich	mich	ich	mich	PRO;ACC;SG;1	N;MASC+FEM;SG
allerdings	maar	allerdings	maar	ADV	CONJ
allerdings	hoewel	allerdings	hoewel	ADV	CONJ
film	filmpje	falmen	filmp		N;NEUT;SG
film	film	falmen	film		N;MASC+FEM;SG
film	film	falmen	film		N;MASC+FEM;SG
neue	neue	neu	neue	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
leben	living	leben	living	V;NFIN	N;MASC+FEM;SG
leben	life	leben	life	V;NFIN	
leben	leven	leben	leven	V;NFIN	N;NEUT;SG
leben	leefwijze	leben	leefwijze	V;NFIN	N;MASC+FEM;SG
leben	levensstijl	leben	levensstijl	V;NFIN	N;MASC+FEM;SG
leben	lifestyle	leben	lifestyle	V;NFIN	N;MASC+FEM;SG
leben	levenswijze	leben	levenswijze	V;NFIN	N;MASC+FEM;SG
leben	live	leben	live	V;NFIN	N;MASC+FEM;SG
leben	leven	leben	leven	V;NFIN	N;NEUT;SG
leben	leben	leben	leben	V;NFIN	N;MASC+FEM;SG
namen	naam	name	naam		N;MASC+FEM;SG
namen	namen	name	nemen		V;PL;PST;FIN
weil	want	weil	want	CONJ	CONJ
weil	neef	weil	neef	CONJ	N;MASC+FEM;SG
weil	weil	weil	weil	CONJ	N;MASC+FEM;SG
bitte	pls	bitte	pls		N;MASC+FEM;SG
bitte	alstublieft	bitte	alstublieft		V;SG;PRS;FIN
bitte	aub	bitte	aub		INTJ
bitte	alsjeblieft	bitte	alsjeblieft		V;SG;PRS;FIN
relevanz	relevantie	relevanz	relevantie	ADJ	N;MASC+FEM;SG
muss	moeten	müssen	moeten	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
mitglied	lid	mitglied	lid	ADJ	N;NEUT;SG
wegen	want	wegen	want	ADP	CONJ
wegen	omdat	wegen	omdat	ADP	CONJ
viele	veel	viel	veel	ADJ;NOM;INDF;PL	PRO
viele	velen	viel	veel	ADJ;NOM;INDF;PL	PRO
viele	vele	viel	veel	ADJ;NOM;INDF;PL	PRO
text	tekst	Text	tekst		N;MASC+FEM;SG
text	teksten	Text	tekst		N;PL
münchen	münchen	münchen	münchen	PROPN;NOM;NEUT;SG	PROPN;NEUT;SG
löschen	clear	löschen	clear	V;NFIN	
löschen	duidelijk	löschen	duidelijk	V;NFIN	ADJ
löschen	helder	löschen	helder	V;NFIN	ADJ
löschen	wissen	löschen	wissen	V;NFIN	N;PL
löschen	verwijdering	löschen	verwijdering	V;NFIN	N;MASC+FEM;SG
löschen	schrapping	löschen	schrapping	V;NFIN	N;MASC+FEM;SG
bekannt	gekend	bekennen	kennen	ADJ	V;V.PTCP
bekannt	gekende	bekennen	kenen	ADJ	V;V.PTCP
zurück	terugkeer	zurück	terugkeer	ADV	N;MASC+FEM;SG
zurück	retour	zurück	retour	ADV	ADJ
zurück	return	zurück	return	ADV	
zurück	terugkeren	zurück	terugkeren	ADV	V;NFIN
zurück	rug	zurück	rug	ADV	N;MASC+FEM;SG
zurück	back	zurück	back	ADV	N;MASC+FEM;SG
geht	goes	gehen	goes	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
wohl	waarschijnlijk	wohl	waarschijnlijk	ADV	ADJ
friedrich	friedrich	friedrich	friedrich	PROPN;NOM;SG	N;MASC+FEM;SG
friedrich	frederik	friedrich	frederik	PROPN;NOM;SG	N;MASC+FEM;SG
friedrich	frederick	friedrich	frederick	PROPN;NOM;SG	N;MASC+FEM;SG
ihren	hun	ihr	hun	DET;ACC;MASC;SG	PRO;ACC;3
saison	seizoensgebonden	saison	seizoensgebond	N;NOM;FEM;SG	N;PL
art	typ	art	typ	N;NOM;FEM;SG	V;SG;PRS;FIN
stand	booth	stehen	booth	V;IND;SG;3;PST;FIN	N;MASC+FEM;SG
stand	stand	stehen	stand	V;IND;SG;3;PST;FIN	N;MASC+FEM;SG
würde	waardigheid	werden	waardigheid	V;SBJV;SG;3;PST;FIN	N;MASC+FEM;SG
politiker	politiek	politik	politiek	ADJ	N;MASC+FEM;SG
politiker	politici	politik	politicus	ADJ	N;PL
politiker	politica	politik	politica	ADJ	N;MASC+FEM;SG
politiker	politicus	politik	politicus	ADJ	N;MASC+FEM;SG
politiker	beleidsmakers	politik	beleidsmaker	ADJ	N;PL
personen	pax	Person	pax	N;NOM;FEM;PL	N;MASC+FEM;SG
titel	getij	titel	getij		N;NEUT;SG
titel	tij	titel	tij		N;NEUT;SG
titel	vloed	titel	vloed		N;MASC+FEM;SG
titel	nummers	titel	nummer		N;PL
titel	tracks	titel	tracks		N;PL
titel	sporen	titel	spoor		N;PL
titel	rupsbanden	titel	rupsband		N;PL
titel	titels	titel	titel		N;PL
titel	titel	titel	titel		N;MASC+FEM;SG
karl	karel	karlen	karel	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
karl	charles	karlen	charles	PROPN;NOM;MASC;SG	N;PL
karl	karl	karlen	karl	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
gut	nou	gut	nou	ADJ	ADV
gut	wel	gut	wel	ADJ	ADV
nachdem	na	nachdem	na	CONJ	ADP
nachdem	after	nachdem	after	CONJ	
weiter	verdere	weiter	ver	ADV	ADJ;CMPR
weiter	verder	weiter	verder	ADV	ADJ;CMPR
weiter	voortzetten	weiter	voortzetten	ADV	V;NFIN
weiter	doorgaan	weiter	doorgaan	ADV	V;NFIN
weiter	doorgaan	weiter	doorgaan	ADV	V;NFIN
weiter	voortzetten	weiter	voortzetten	ADV	V;NFIN
weiter	voortgezet	weiter	voortzetten	ADV	V;V.PTCP
weiter	vervolg	weiter	vervolg	ADV	N;NEUT;SG
weiter	vervolgt	weiter	vervolgen	ADV	V;SG;PRS;FIN
ganz	ganz	ganz	ganz	ADV	N;MASC+FEM;SG
außerdem	naast	außerdem	naast	ADV	ADP
hans	hans	hans	hans	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
johann	johann	johann	johann	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
johann	johannes	johann	johanne	PROPN;NOM;MASC;SG	N;PL
johann	john	johann	john	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
großen	large	groß	larg	ADJ;PL	
großen	big	groß	big	ADJ;PL	N;MASC+FEM;SG
großen	majoor	groß	majoor	ADJ;PL	N;MASC+FEM;SG
großen	major	groß	major	ADJ;PL	N;MASC+FEM;SG
großen	hoofdvak	groß	hoofdvak	ADJ;PL	N;NEUT;SG
ins	ins	ins	ins		N;MASC+FEM;SG
gehört	eigendom	gehören	eigendom	V;V.PTCP	N;NEUT;SG
bild	foto	bild	foto		N;MASC+FEM;SG
bild	imago	bild	imago		N;NEUT;SG
bild	beeld	bild	beeld		N;NEUT;SG
bild	afbeelding	bild	afbeelding		N;MASC+FEM;SG
bild	pic	bild	pic		N;MASC+FEM;SG
bild	bild	bild	billen		N;MASC+FEM;SG
wien	wenen	weinen	wenen		PROPN;NEUT;SG
große	large	groß	larg	ADJ;NOM;FEM;PL	
große	big	groß	big	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
große	große	groß	grooo	ADJ;NOM;FEM;PL	N;MASC+FEM;SG
denn	omdat	denn	omdat	CONJ	CONJ
peter	petrus	peter	petrus	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
peter	peter	peter	peter	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
kommt	coming	kommen	coming	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
menschen	menselijk	menschen	menselijk	N;NOM;PL	ADJ
menschen	menselijke	menschen	menselijk	N;NOM;PL	ADJ
menschen	mens	menschen	mens	N;NOM;PL	N;MASC+FEM;SG
aufgrund	verschuldigd	aufgrund	verschuldigd	ADP	V;V.PTCP
aufgrund	verschuldigde	aufgrund	verschuldigen	ADP	V;SG;PST;FIN
sei	sei	sein	sei	V;SBJV;SG;3;PRS;FIN	N;MASC+FEM;SG
jahrhunderts	eeuw	jahrhundert	eeuw	ADV	N;MASC+FEM;SG
fall	geval	fall	geval	ADV	N;NEUT;SG
fall	case	fall	case	ADV	N;MASC+FEM;SG
fall	zaak	fall	zaak	ADV	N;MASC+FEM;SG
fall	herfst	fall	herfst	ADV	N;MASC+FEM;SG
fall	fall	fall	fall	ADV	N;MASC+FEM;SG
fall	vallen	fall	vallen	ADV	V;NFIN
wilhelm	willem	wilhelm	willem	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
wilhelm	william	wilhelm	william	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
wilhelm	wilhelm	wilhelm	wilhelm	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
englisch	engelsen	englisch	engelsen	ADJ	N;PL
danach	na	danach	na	ADV	ADP
danach	after	danach	after	ADV	
fünf	five	fünf	five	NUM	N;MASC+FEM;SG
mehrere	verschillende	mehrere	verschillend	PRO;NOM;INDF;PL	ADJ
mehrere	verscheidene	mehrere	verscheidene	PRO;NOM;INDF;PL	ADJ
mehrere	meervoudige	mehrere	meervoudig	PRO;NOM;INDF;PL	ADJ
mehrere	veelvoud	mehrere	veelvoud	PRO;NOM;INDF;PL	N;NEUT;SG
