את	你	את	你	PART;ACC	PRO;2
יום	一	יום	一	N;MASC;SG	NUM
יום	day	יום	day	N;MASC;SG	
אלה	這些	אלה	這些	PRO;MASC;PL;3	DET
אלה	女神	אלה	女神	PRO;MASC;PL;3	N
כיום	目前	כיום	目前	ADV	N
ירושלים	耶路撒	ירושלים	耶路撒	PROPN	PROPN
המדינה	國家	המדין	國家	V;FEM;SG;3;PST;ACT	N
המדינה	州	המדין	州	V;FEM;SG;3;PST;ACT	N
יהודים	猶太	יהודי	猶太	N;MASC;PL	PROPN
יהודים	猶太	יהודי	猶太	N;MASC;PL	PROPN
יהודים	猶太	יהודי	猶太	N;MASC;PL	PROPN
יהודים	猶太	יהודי	猶太	N;MASC;PL	PROPN
יהודים	猶太	יהודי	猶太	N;MASC;PL	PROPN
רבות	許多	רב	許多	N;FEM;PL	NUM
כמה	一些	כמה	一些	DET;PSSD	ADJ
כמה	有些	כמה	有些	DET;PSSD	V
מטר	英尺	מטר	英尺	PROPN	N
מטר	腳	מטר	腳	PROPN	N
מטר	公尺	מטר	公尺	PROPN	N
מטר	公尺	מטר	公尺	PROPN	N
מטר	米	מטר	米	PROPN	N
מטר	公尺	מטר	公尺	PROPN	N
דרך	通過	דרך	通過		ADP
דרך	經	דרך	經		ADP
דרך	透過	דרך	透過		ADP
דרך	通過	דרך	通過		ADP
יחד	在	יחד	在	ADV	V
יחד	一起	יחד	一起	ADV	N
בשל	成熟	בשל	成熟	ADP	N
בשל	到期	בשל	到期	ADP	V
פרס	獎勵	פרס	獎勵	PROPN	N
פרס	獎賞	פרס	獎賞	PROPN	N
פרס	賞金	פרס	賞金	PROPN	N
פרס	賞	פרס	賞	PROPN	N
פרס	獎品	פרס	獎品	PROPN	N
פרס	獎賞	פרס	獎賞	PROPN	N
פרס	獎	פרס	獎	PROPN	N
פרס	授予	פרס	授予	PROPN	V
פרס	獎	פרס	獎	PROPN	N
ראו	rao	ראה	rao	V;PL;3;PST;ACT	
דוד	舅舅	דוד	舅舅	PROPN	N
דוד	伯父	דוד	伯父	PROPN	N
דוד	叔叔	דוד	叔叔	PROPN	N
דוד	阿叔	דוד	阿叔	PROPN	PROPN
דוד	大衛	דוד	大衛	PROPN	PROPN
דוד	david	דוד	david	PROPN	
שלה	她	של	她		PRO;3
בנוסף	加上	בנוסף	加上	ADV	V
בנוסף	加	בנוסף	加	ADV	ADP
תחת	屁股	תחת	屁股	ADP	N
תחת	屁股	תחת	屁股	ADP	N
הקבוצה	群組	הקבוצה	群組	PROPN	N
הקבוצה	群	הקבוצה	群	PROPN	N
הערך	價值	הערך	價值		N
הערך	數值	הערך	數值		N
הערך	值	הערך	值		N
היום	今日	היום	今日	ADV	N
היום	今天	היום	今天	ADV	N
מי	誰	מי	誰	ADV	PRO
אחרות	其他	אחר	其他	ADJ;FEM;PL	DET
המלחמה	戰	המלחם	戰	PROPN	N
המלחמה	戰爭	המלחם	戰爭	PROPN	N
שונות	雜項	שונה	雜項	ADJ;FEM;PL	N
הארץ	地球	הארץ	地球		PROPN
הארץ	大地	הארץ	大地		N
תאריך	日期	תאריך	日期	PROPN	N
תאריך	約會	תאריך	約會	PROPN	N
בלבד	只有	בלבד	只有	ADV	ADP
עבר	感動	עבר	感動	N;MASC;SG	V
אפשר	啟用	אפשר	啟用	V	V
אפשר	允許	אפשר	允許	V	V
אפשר	容許	אפשר	容許	V	ADP
שימוש	使用	שימוש	使用	N;MASC;SG	V
שימוש	使用	שימוש	使用	N;MASC;SG	V
שימוש	利用	שימוש	利用	N;MASC;SG	V
שימוש	使用	שימוש	使用	N;MASC;SG	V
שיש	大	שיש	大		PART
שיש	彈珠	שיש	彈珠		N
רוב	最多	רוב	最多	N;MASC;SG	ADJ
רוב	大	רוב	大	N;MASC;SG	PART
רוב	多數	רוב	多數	N;MASC;SG	ADJ
רוב	大多	רוב	大多	N;MASC;SG	ADV
רוב	大	רוב	大	N;MASC;SG	ADV
רוב	rob	רוב	rob	N;MASC;SG	
רוב	多數	רוב	多數	N;MASC;SG	ADJ
כולל	包容	כלל	包容	V;MASC;SG;V.PTCP;ACT	N
גדול	大型	גדול	大型	ADJ;MASC;SG	N
גדול	big	גדול	big	ADJ;MASC;SG	
גדול	大	גדול	大	ADJ;MASC;SG	PART
גדול	棒	גדול	棒	ADJ;MASC;SG	N
ישראלים	以色列	ישראלי	以色列	N;MASC;PL	PROPN
יהודי	猶太	יהודי	猶太	N;MASC;SG	PROPN
יהודי	猶太	יהודי	猶太	N;MASC;SG	PROPN
יהודי	猶太	יהודי	猶太	N;MASC;SG	PROPN
ראשון	星期	ראשון	星期	PROPN	N
ראשון	週日	ראשון	週日	PROPN	N
ראשון	星期	ראשון	星期	PROPN	N
ראשון	周日	ראשון	周日	PROPN	N
ראשון	首先	ראשון	首先	PROPN	
ראשון	第一	ראשון	第一	PROPN	NUM
קובץ	文件	קובץ	文件	PROPN	N
קובץ	檔案	קובץ	檔案	PROPN	N
צריך	需求	צריך	需求	V;MASC;SG	N
צריך	需要	צריך	需要	V;MASC;SG	V
בת	beth	בת	beth	N;FEM;SG	
השם	名字	השם	名字		N
השם	名稱	השם	名稱		N
השם	姓名	השם	姓名		N
בתוך	內	בתוך	內	ADP	N
בתוך	裡面	בתוך	裡面	ADP	N
בתוך	內心	בתוך	內心	ADP	N
בתוך	內部	בתוך	內部	ADP	N
כאן	這裡	כאן	這裡	ADV	PRO
מול	mol	מול	mol	ADP	
לעתים	有	לעתים	有	ADV	V
וגם	還	וגם	還		ADV
וגם	也	וגם	也		ADV
הים	大海	הים	大海		N
הים	海上	הים	海上		N
הים	海	הים	海		N
השיר	歌曲	השיר	歌曲	ADV	N
השיר	宋	השיר	宋	ADV	PROPN
השיר	首歌	השיר	首歌	ADV	N
השיר	歌	השיר	歌	ADV	N
חדש	新	חדש	新	ADJ;MASC;SG	PART
השלישי	第三	השליש	第三	PROPN	NUM
משה	摩西	משה	摩西	PROPN	PROPN
גרמניה	德文	גרמניה	德文	PROPN	PROPN
גרמניה	德	גרמניה	德	PROPN	PROPN
גרמניה	德國	גרמניה	德國	PROPN	PROPN
יורק	約克	יורק	約克	PROPN	PROPN
הממשלה	政府	הממשלה	政府	PROPN	N
מעל	頭頂	מעל	頭頂	ADP	N
מעל	上方	מעל	上方	ADP	N
מעל	以上	מעל	以上	ADP	DET
ארץ	地球	ארץ	地球	N;FEM;SG	PROPN
צרפת	法國	צרפת	法國	PROPN	PROPN
הרבה	許多	הרבה	許多	ADV	NUM
אי	海島	אי	海島	ADV	N
אי	島嶼	אי	島嶼	ADV	N
אי	島	אי	島	ADV	PROPN
לאורך	沿	לאורך	沿	ADP	N
אירופה	歐洲	אירופה	歐洲	PROPN	PROPN
אירופה	歐洲	אירופה	歐洲	PROPN	PROPN
המלך	國王	המלך	國王		N
המלך	king	המלך	king		
המלך	王	המלך	王		PROPN
יצחק	isaac	יצחק	isaac	PROPN	
יצחק	yitzhak	יצחק	yitzhak	PROPN	
האלבום	相簿	האלבום	相簿	PROPN	N
האלבום	專輯	האלבום	專輯	PROPN	N
יוסף	約瑟夫	יוסף	約瑟夫	PROPN	PROPN
יוסף	joseph	יוסף	joseph	PROPN	
יוסף	約瑟	יוסף	約瑟	PROPN	PROPN
יוסף	yosef	יוסף	yosef	PROPN	
נפטר	逝者	נפטר	逝者	V;MASC;SG;3;PST;MID	N
נפטר	已	נפטר	已	V;MASC;SG;3;PST;MID	ADV
הלהקה	樂團	הלהקה	樂團	PROPN	N
הלהקה	樂隊	הלהקה	樂隊	PROPN	N
מלך	king	מלך	king	N;MASC;SG	
מלך	王	מלך	王	N;MASC;SG	PROPN
מקור	出處	מקור	出處	N;MASC;SG	V
מקור	源	מקור	源	N;MASC;SG	
תוכנית	計劃	תוכנית	計劃	N;FEM;SG	V
בתי	女兒	בית	女兒	PROPN	N
פעם	一	פעם	一	ADV	NUM
פעם	一旦	פעם	一旦	ADV	ADP
עקב	到期	None	到期	CONJ	V
עקב	腳	None	腳	CONJ	N
האימפריה	帝國	האימפריה	帝國	PROPN	N
מים	飲水	מים	飲水	N;MASC;PL	V
נכון	右	נכון	右	ADJ;MASC;SG	N
העונה	季	העונה	季	ADV	N
העונה	季節	העונה	季節	ADV	N
יעקב	jacob	יעקב	jacob	PROPN	
יעקב	雅各	יעקב	雅各	PROPN	PROPN
אינה	ina	אינו	ina	V;FEM;SG;3;NEG;V.PTCP	
הבית	首頁	הבית	首頁	ADV	
הבית	家	הבית	家	ADV	N
הבית	home	הבית	home	ADV	
הבית	住家	הבית	住家	ADV	N
הבית	屋	הבית	屋	ADV	N
הבית	房屋	הבית	房屋	ADV	N
הבית	房子	הבית	房子	ADV	N
לב	心	לב	心	PROPN	N
לב	心臟	לב	心臟	PROPN	N
מפקד	指揮	מפקד	指揮	N;MASC;SG	V
שלום	shalom	שלום	shalom	PROPN	
שלום	平安	שלום	平安	PROPN	PROPN
שלום	和平	שלום	和平	PROPN	N
שלום	你	שלום	你	PROPN	PRO;2
פעמים	times	פעם	times	N;FEM;PL	
המשחק	game	המשחק	game	PROPN	
המשחק	比賽	המשחק	比賽	PROPN	N
המשחק	博弈	המשחק	博弈	PROPN	V
המשחק	遊戲	המשחק	遊戲	PROPN	N
האי	海島	האי	海島		N
האי	島嶼	האי	島嶼		N
האי	島	האי	島		PROPN
המפלגה	黨	המפלג	黨	PROPN	N
המפלגה	政黨	המפלג	政黨	PROPN	N
המפלגה	宴會	המפלג	宴會	PROPN	N
המפלגה	派	המפלג	派	PROPN	V;CAUS
המפלגה	聚會	המפלג	聚會	PROPN	N
בעבר	先前	בעבר	先前		N
האחרון	上次	האחרון	上次	PROPN	N
האחרון	最後	האחרון	最後	PROPN	N
קרב	作戰	קרב	作戰	N;MASC;SG	V
האתר	網站	האתר	網站		N
האתר	網頁	האתר	網頁		N
קצר	短期	קצר	短期	ADJ;MASC;SG	N
קצר	短	קצר	短	ADJ;MASC;SG	PART
קצר	矮	קצר	矮	ADJ;MASC;SG	N
בהמשך	下方	בהמשך	下方		N
בהמשך	以下	בהמשך	以下		DET
בר	酒吧	בר	酒吧		N
בר	bar	בר	bar		
החיים	生命	החיים	生命	ADV	N
החיים	人生	החיים	人生	ADV	N
החיים	生活	החיים	生活	ADV	V
משחק	game	משחק	game	N;MASC;SG	
משחק	博弈	משחק	博弈	N;MASC;SG	V
משחק	玩	משחק	玩	N;MASC;SG	V
משחק	播放	משחק	播放	N;MASC;SG	V
משחק	演戲	משחק	演戲	N;MASC;SG	V
משחק	代理	משחק	代理	N;MASC;SG	V
הזמן	時光	הזמן	時光		N
הזמן	時間	הזמן	時間		N
למעשה	實際	למעשה	實際	ADV	N
למעשה	其	למעשה	其	ADV	PRO;3
אברהם	avraham	אברהם	avraham	PROPN	
לרוב	大多	ררוב	大多		ADV
מאוחר	晚	מאוחר	晚	ADV	N
מאוחר	遲到	מאוחר	遲到	ADV	V
דף	def	דף	def		
קשר	接觸	קשר	接觸	N;MASC;SG	V
קשר	聯絡	קשר	聯絡	N;MASC;SG	V
קשר	結	קשר	結	N;MASC;SG	
אחרת	否則	אחרת	否則	ADV	ADP
פני	penny	פנים	penny	N;PL	
קודם	首先	קודם	首先	ADV	
קודם	第一	קודם	第一	ADV	NUM
לצד	一	לצד	一	ADP	NUM
לצד	側	לצד	側	ADP	N
ידוע	已	ידוע	已	N;MASC;SG	ADV
הופעות	演唱	הופעה	演唱	N;FEM;PL	V
קטן	小型	קטן	小型	ADJ;MASC;SG	N
קטן	小	קטן	小	ADJ;MASC;SG	PART
קטן	小	קטן	小	ADJ;MASC;SG	PART
למד	學	למד	學	V;MASC;SG;3;PST	N
ברית	結盟	ברית	結盟	N;FEM;SG	V
תשע	九	תשע	九	NUM;FEM;SG	
פחות	少	פחות	少	ADV	
פחות	更少	פחות	更少	ADV	ADJ
פחות	少	פחות	少	ADV	
פחות	少	פחות	少	ADV	ADJ
משרד	辦公	משרד	辦公	N;MASC;SG	V
משרד	辦公	משרד	辦公	N;MASC;SG	V
משרד	辦事	משרד	辦事	N;MASC;SG	V
מעבר	過渡	מעבר	過渡		V
מעבר	轉型	מעבר	轉型		V
מעבר	超越	מעבר	超越		V
מעבר	通道	מעבר	通道		N
איך	如何	איך	如何	ADV	
זהב	golden	זהב	golden	N;MASC;SG	
זהב	金	זהב	金	N;MASC;SG	PROPN
זהב	金子	זהב	金子	N;MASC;SG	PROPN
זהב	gold	זהב	gold	N;MASC;SG	
יד	yad	יד	yad	N;FEM;SG	
לכתוב	寫作	כתב	寫作	V;NFIN;ACT	N
שונה	不同	שונה	不同		ADJ
שונה	修改	שונה	修改		V
גדולה	大型	גדול	大型	ADJ;FEM;SG	N
גדולה	big	גדול	big	ADJ;FEM;SG	
גדולה	大	גדול	大	ADJ;FEM;SG	PART
קשה	難	קשה	難	ADV	N
קשה	硬	קשה	硬	ADV	PART
קשה	辛苦	קשה	辛苦	ADV	N
קשה	艱難	קשה	艱難	ADV	N
קשה	強硬	קשה	強硬	ADV	N
קשה	困難	קשה	困難	ADV	N
קשה	難	קשה	難	ADV	N
קשה	艱難	קשה	艱難	ADV	N
אור	光線	אור	光線		N
אור	光	אור	光		N
אור	燈光	אור	燈光		N
אור	光明	אור	光明		N
צבי	zvi	צבי	zvi	PROPN	
צבי	鹿	צבי	鹿	PROPN	N
לדוגמה	範例	לדוגמה	範例	PROPN	N
בעברית	希伯	בעברית	希伯		PROPN
בעברית	希伯	בעברית	希伯		PROPN
קיים	現存	קיים	現存	ADJ;MASC;SG	V
קיים	現有	קיים	現有	ADJ;MASC;SG	V
שלי	礦山	שלי	礦山		N
דומה	類似	דומה	類似		V
דומה	相似	דומה	相似		V
דין	dean	דין	dean	PROPN	
שכן	鄰居	שכן	鄰居	CONJ	N
ימי	日子	יום	日子	PROPN	N
ימי	天數	יום	天數	PROPN	N
פשוט	簡單	פשוט	簡單		ADJ
פשוט	只	פשוט	只		ADV
פשוט	只要	פשוט	只要		ADP
כיוון	方向	כיוון	方向		N
שלמה	shlomo	שלמה	shlomo	PROPN	
שלמה	所	שלמה	所	PROPN	N
הפועל	動詞	הפועל	動詞	PROPN	N
אפריקה	非洲	אפריקה	非洲	PROPN	PROPN
דרום	南方	דרום	南方	N;MASC;SG	PROPN
דרום	南方	דרום	南方	N;MASC;SG	PROPN
עלה	葉	עלה	葉	V;MASC;SG;3;PST;ACT	PROPN
עלה	葉子	עלה	葉子	V;MASC;SG;3;PST;ACT	N
העליון	最高	העליון	最高	PROPN	ADJ
בברכה	真誠	בברכה	真誠		ADJ
בברכה	歡迎	בברכה	歡迎		V
בסיס	依據	בסיס	依據	N;MASC;SG	ADP
מין	性別	מין	性別		N
מין	性別	מין	性別		N
מין	性	מין	性		N
מין	性	מין	性		N
מין	性	מין	性		N
מין	魚種	מין	魚種		N
מין	物種	מין	物種		N
מין	閔	מין	閔		PROPN
מין	敏	מין	敏		PROPN
אינטרנט	web	אינטרנט	web		
אינטרנט	網	אינטרנט	網		N
אינטרנט	網路	אינטרנט	網路		N
אינטרנט	網路	אינטרנט	網路		N
אינטרנט	網際	אינטרנט	網際		N
נקודות	積分	נקודה	積分	N;FEM;PL	V
התנועה	交通	התנועה	交通	V;MASC;SG;3;PST	N
הר	山	הר	山	PROPN	N
הר	山區	הר	山區	PROPN	N
הר	山地	הר	山地	PROPN	N
הר	山	הר	山	PROPN	N
הרי	哈利	הרי	哈利	CONJ	PROPN
הרי	harry	הרי	harry	CONJ	
למה	為何	למה	為何	ADV	
למה	為	למה	為	ADV	ADP
למה	為	למה	為	ADV	ADP
נולדה	天生	נולד	天生	V;FEM;SG;3;PST;MID	N
יחסית	相對	יחסית	相對	ADV	ADP
הקמת	建立	הקמה	建立	N;PSSD;FEM;SG	V
שנייה	秒	שנייה	秒	NUM;FEM;SG	N
שנייה	秒	שנייה	秒	NUM;FEM;SG	N
אמריקה	美洲	אמריקה	美洲	PROPN	PROPN
אמריקה	美國	אמריקה	美國	PROPN	PROPN
ליד	近	ליד	近	ADP	
ליד	靠近	ליד	靠近	ADP	V
ליד	附近	ליד	附近	ADP	N
שר	sher	שר	sher	N;MASC;SG	
קו	line	קו	line	N;MASC;SG	
סוף	終	None	終	ADV	N
סוף	結尾	None	結尾	ADV	N
סוף	結束	None	結束	ADV	V
כסף	白	כסף	白	N;MASC;SG	PROPN
חדשים	新	חדש	新	ADJ;MASC;PL	PART
שינוי	改變	שינוי	改變	N;MASC;SG	V
שינוי	更	שינוי	更	N;MASC;SG	ADV
שינוי	變更	שינוי	變更	N;MASC;SG	V
שינוי	變	שינוי	變	N;MASC;SG	V
ביקורת	批評	ביקורת	批評	N;FEM;SG	V
אבן	stone	אבן	stone		
אבן	石	אבן	石		N
אבן	斯通	אבן	斯通		PROPN
אבן	石頭	אבן	石頭		N
משפט	判刑	משפט	判刑	N;MASC;SG	V
אמריקאי	美式	אמריקני	美式	ADJ;MASC;SG	N
חצי	一半	חץ	一半	N;PSSD;MASC;PL	NUM
חצי	半	חץ	半	N;PSSD;MASC;PL	PART
הארגון	組織	הארגון	組織	PROPN	N
הבא	下	הבא	下	PROPN	DET
במקביל	平行	במקביל	平行	ADV	
מחוץ	外部	מחוץ	外部		N
מחוץ	室外	מחוץ	室外		N
מחוץ	外面	מחוץ	外面		N
מחוץ	外	מחוץ	外		N
שבע	seven	שבע	seven	NUM;FEM;SG	
חי	生活	חי	生活		V
חי	活	חי	活		N
חי	直播	חי	直播		V
חי	live	חי	live		
חי	活著	חי	活著		V
שיר	宋	שיר	宋	N;MASC;SG	PROPN
החוק	法律	החוק	法律		N
רוסיה	俄	רוסיה	俄	PROPN	PROPN
רוסיה	俄國	רוסיה	俄國	PROPN	PROPN
רוסיה	俄羅斯	רוסיה	俄羅斯	PROPN	PROPN
התיכון	中間	התיכון	中間	PROPN	N
בריטניה	不列顛	בריטניה	不列顛	PROPN	PROPN
גבוהה	高	גבוה	高	ADJ;FEM;SG	PROPN
גבוהה	高	גבוה	高	ADJ;FEM;SG	PROPN
רוצה	想要	רצה	想要	V;MASC;SG;V.PTCP;ACT	
מעט	稍	מעט	稍	ADV	ADJ
כהן	cohen	כהן	cohen	PROPN	
חופשי	free	חופשי	free	PROPN	
חופשי	自由	חופשי	自由	PROPN	N
חופשי	免費	חופשי	免費	PROPN	N
אן	anne	אן	anne	PROPN	
אן	ann	אן	ann	PROPN	
המקום	地方	המקום	地方		N
המקום	地點	המקום	地點		N
מבצע	運算	מבצע	運算	N;MASC;SG	V
מבצע	操作	מבצע	操作	N;MASC;SG	V
ברור	清除	ברור	清除	ADJ;MASC;SG	V
רשת	淨	רשת	淨	N;FEM;SG	
רשת	net	רשת	net	N;FEM;SG	
דניאל	丹尼爾	דניאל	丹尼爾	PROPN	PROPN
דניאל	daniel	דניאל	daniel	PROPN	
דניאל	danielle	דניאל	danielle	PROPN	
איטליה	義大利	איטליה	義大利	PROPN	PROPN
צורך	必	צורך	必	N;MASC;SG	V
צורך	需要	צורך	需要	N;MASC;SG	V
חדשה	新	חדש	新	ADJ;FEM;SG	PART
הרביעי	第四	הרביע	第四	PROPN	NUM
דו	doe	דו	doe	ADV	
המרכז	中心	המרכז	中心	PROPN	N
המרכז	中心	המרכז	中心	PROPN	N
גן	甘	גן	甘	N;MASC;SG	PROPN
גן	gan	גן	gan	N;MASC;SG	
גן	gene	גן	gene	N;MASC;SG	
עשרה	ten	עשרה	ten	NUM;MASC;SG	
תמיד	始終	תמיד	始終	ADV	
תמיד	永遠	תמיד	永遠	ADV	N
תמיד	總是	תמיד	總是	ADV	
העתיקה	古代	העתיק	古代	V;FEM;SG;3;PST;ACT	N
העתיקה	古老	העתיק	古老	V;FEM;SG;3;PST;ACT	ADJ
עליה	她	על	她		PRO;3
מחקר	研究	מחקר	研究	N;MASC;SG	V
מחקר	學習	מחקר	學習	N;MASC;SG	V
מחקר	研究	מחקר	研究	N;MASC;SG	V
למעלה	樓上	למעלה	樓上	ADV	N
הבכורה	首映	הבכורה	首映	PROPN	N
הבכורה	首播	הבכורה	首播	PROPN	V
ציון	分數	ציון	分數	PROPN	N
ציון	得分	ציון	得分	PROPN	N
ציון	比	ציון	比	PROPN	ADP
חשיבות	重要	חשיבות	重要	N;FEM;SG	ADJ
חשיבות	重要	חשיבות	重要	N;FEM;SG	ADJ
סיום	竣工	סיום	竣工	N;MASC;SG	V
סיום	結束	סיום	結束	N;MASC;SG	V
סיום	畢業	סיום	畢業	N;MASC;SG	V
שי	石	שי	石		N
שי	史	שי	史		N
שי	施	שי	施		PROPN
עשר	ten	עשר	ten	NUM;FEM;SG	
עבד	奴隸	עבד	奴隸	V;MASC;SG;3;PST	N
סביב	圍繞	סביב	圍繞	ADV	V
סביב	圍繞	סביב	圍繞	ADV	V
סביב	周圍	סביב	周圍	ADV	N
גבוה	高	גבוה	高	ADJ;MASC;SG	PROPN
גבוה	高	גבוה	高	ADJ;MASC;SG	PROPN
נהר	河	נהר	河	PROPN	N
נהר	江河	נהר	江河	PROPN	N
נהר	河流	נהר	河流	PROPN	N
נהר	江	נהר	江	PROPN	PROPN
המקורי	原文	המקור	原文	PROPN	N
המקורי	原件	המקור	原件	PROPN	N
המקורי	原創	המקור	原創	PROPN	N
המקורי	原始	המקור	原始	PROPN	N
המקורי	原	המקור	原	PROPN	PART
הנשיא	總統	הנשיא	總統	PROPN	N
הנשיא	主席	הנשיא	主席	PROPN	N
פה	這裡	פה	這裡	ADV	PRO
אלכסנדר	亞歷山	אלכסנדר	亞歷山	PROPN	PROPN
אלכסנדר	alexander	אלכסנדר	alexander	PROPN	
משמש	杏子	שימש	杏子	V;MASC;SG;V.PTCP;ACT	PROPN
סמל	象徵	סמל	象徵	N;MASC;SG	V
ראה	鋸	ראה	鋸	V;MASC;SG;3;PST;ACT	N
ראה	鋸子	ראה	鋸子	V;MASC;SG;3;PST;ACT	N
אורך	長度	אורך	長度		N
קיימת	現存	קיים	現存	ADJ;FEM;SG	V
קיימת	現有	קיים	現有	ADJ;FEM;SG	V
דולר	元	דולר	元	N;MASC;SG	PROPN
דולר	美	דולר	美	N;MASC;SG	PROPN
השחקן	男	השחקן	男	PROPN	N
השחקן	演員	השחקן	演員	PROPN	N
ספרד	西班牙	ספרד	西班牙	PROPN	PROPN
בעלות	所有	בעלות	所有	N;FEM;SG	DET
בעלות	擁有	בעלות	擁有	N;FEM;SG	V
