घोटाले	skandal	घोटाला	skandal	N;NOM;MASC;SG;3	
साउंडट्रैक	soundtrack	साउंडट्रैक	soundtrack	N;NOM;MASC;SG;3	
महलों	saraylar	महल	saray	N;ACC;MASC;PL;3	N;NOM;PL;3
वार्तालाप	sohbetler	वार्तालाप	sohbet	N;NOM;FEM;SG;3	N;NOM;PL;3
वार्तालाप	konuşmalar	वार्तालाप	konuş	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
टीले	dunes	टीला	dunes	N;NOM;MASC;PL;3	N;NOM;SG;3
बुद्धिमान	zeki	बुद्धिमान	zeki	N;NOM;MASC;SG;3	
बुद्धिमान	akıllı	बुद्धिमान	akıllı	N;NOM;MASC;SG;3	
उभरते	yükselen	उभर	yüksel	V;IPFV;MASC;PL;V.PTCP;ACT	
उभरते	gelişmekte	उभर	geliş	V;IPFV;MASC;PL;V.PTCP;ACT	V;PROG;IND;SG;3;POS;FORM;PRS
फोकस	odaklanma	फोकस	odaklan		V;PFV;NOM;IND;POS;PRS;V.MSDR
जावेद	javed	जावेद	javed	PROPN;NOM;MASC;SG;3	
रुझान	trend	रुझान	trend	N;NOM;MASC;SG;3	
रुझान	eğilim	रुझान	eğ	N;NOM;MASC;SG;3	
रुझान	eğilimler	रुझान	eğilim	N;NOM;MASC;SG;3	N;NOM;PL;3
रुझान	eğilim	रुझान	eğ	N;NOM;MASC;SG;3	
रुझान	gündemdeki	रुझान	gündemdek	N;NOM;MASC;SG;3	N;ESS;SG;3
रुझान	trend	रुझान	trend	N;NOM;MASC;SG;3	
रुझान	gündemde	रुझान	gündem	N;NOM;MASC;SG;3	N;ESS;SG;3
रुझान	gündem	रुझान	gündem	N;NOM;MASC;SG;3	
वेशभूषा	kostüm	वेशभूषा	kostüm	N;NOM;FEM;SG;3	
वेशभूषा	kostümlü	वेशभूषा	kostümlü	N;NOM;FEM;SG;3	
वेशभूषा	kostüm	वेशभूषा	kostüm	N;NOM;FEM;SG;3	
वेशभूषा	kostümleri	वेशभूषा	kostüm	N;NOM;FEM;SG;3	N;ACC;PL;3
वेशभूषा	kostümler	वेशभूषा	kostüm	N;NOM;FEM;SG;3	N;NOM;PL;3
भागीदार	katılanlar	भागीदार	katılan	N;NOM;MASC;SG;3	N;NOM;PL;3
भागीदार	katılımcılar	भागीदार	katılımcı	N;NOM;MASC;SG;3	N;NOM;PL;3
भागीदार	katılımcı	भागीदार	katılımcı	N;NOM;MASC;SG;3	
स्पेंसर	spencer	स्पेंसर	spencer	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
अस्पतालों	hastane	अस्पताल	hastan	N;ACC;MASC;PL;3	
अस्पतालों	hastaneler	अस्पताल	hastane	N;ACC;MASC;PL;3	N;NOM;PL;3
विक्रेताओं	satıcılar	विक्रेता	satıcı	N;ACC;MASC;PL;3	N;NOM;PL;3
विक्रेताओं	sellers	विक्रेता	sel	N;ACC;MASC;PL;3	
वान	van	वान	van	PROPN;NOM;MASC;SG;3	
वान	minibüs	वान	minibüs	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
वान	kamyonet	वान	kamyonet	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
नाभि	göbek	नाभि	göbek	N;NOM;FEM;SG;3	
तुर्कमेनिस्तान	türkmenistan	तुर्कमेनिस्तान	türkmenistan	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;POS;PRS
देखिए	gör	देखिया	gör	V;SBJV;SG;FIN;ACT	V;PFV;IMP;SG;2;POS;PRS
देखिए	görün	देखिया	görün	V;SBJV;SG;FIN;ACT	V;PFV;IMP;PL;2;POS;PRS
देखिए	görmek	देखिया	gör	V;SBJV;SG;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
आधुनिकता	modernite	आधुनिकता	modernit	N;NOM;FEM;SG;3	
रॉबर्ट्स	roberts	रॉबर्ट्स	roberts	PROPN;NOM;MASC;SG;3	
क्लाइंट	istemci	क्लाइंट	istemci	N;NOM;MASC;SG;3	
क्लाइंट	müşteriler	क्लाइंट	müşteri	N;NOM;MASC;SG;3	N;NOM;PL;3
गर्भाधान	döllenme	गर्भाधान	döllen	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
डायरी	günlük	डायरी	günlük	N;NOM;FEM;SG;3	
डायरी	günlüğü	डायरी	günlük	N;NOM;FEM;SG;3	ADJ;ACC;SG;3
अपडेट	güncelleme	अपडेट	güncelle	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
अपडेट	güncellemeleri	अपडेट	güncelle	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
अपडेट	güncellemeler	अपडेट	güncelle	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
चैम्पियन	şampiyon	चैम्पियन	şampiyon	N;NOM;MASC;SG;3	
चैम्पियन	şampiyon	चैम्पियन	şampiyon	N;NOM;MASC;SG;3	
डेनिस	denise	डेनिस	deni	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
डेनिस	dennis	डेनिस	dennis	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
डेनिस	denis	डेनिस	denis	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
जोएल	joel	जोएल	joel	PROPN;NOM;MASC;SG;3	
मैगज़ीन	dergi	मैगज़ीन	dergi	PROPN;NOM;MASC;SG;3	
मैगज़ीन	magazin	मैगज़ीन	magazin	PROPN;NOM;MASC;SG;3	
मैगज़ीन	dergiler	मैगज़ीन	dergi	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
सीमाएं	kısıtlamalar	सीमा	kısıtla	N;NOM;FEM;PL;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
सीमाएं	sınırlamalar	सीमा	sınırla	N;NOM;FEM;PL;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
शंघाई	şangay	शंघाई	şangay	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
शंघाई	şanghay	शंघाई	şanghay	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
आयुर्वेदिक	ayurveda	आयुर्वेदिक	ayurve	N;NOM;MASC;SG;3	N;ESS;SG;3
किट	kiti	किट	kiti	N;NOM;FEM;SG;3	
किट	kit	किट	kit	N;NOM;FEM;SG;3	
भ्रमित	karıştı	भ्रमित	karış		V;PFV;IND;SG;3;POS;PST
थाली	plaka	थाला	plaka	N;NOM;FEM;SG;3	
थाली	levha	थाला	levha	N;NOM;FEM;SG;3	
थाली	tabak	थाला	tabak	N;NOM;FEM;SG;3	
कार्यभार	atama	कार्यभार	atam	N;NOM;MASC;SG;3	
एनालॉग	analog	एनालॉग	analog	N;NOM;MASC;SG;3	
युगों	yuga	युग	yuga	N;ACC;MASC;PL;3	
प्रतिबिंब	yansıma	प्रतिबिंब	yansı	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
प्रतिबिंब	yansıması	प्रतिबिंब	yansı	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
प्रतिबिंब	ayna	प्रतिबिंब	ayna	N;NOM;MASC;SG;3	
ब्लेड	blade	ब्लेड	blade	N;NOM;MASC;SG;3	
ब्लेड	bıçak	ब्लेड	bıçak	N;NOM;MASC;SG;3	
ब्लेड	kılıç	ब्लेड	kılıç	N;NOM;MASC;SG;3	
ब्लेड	bıçaklar	ब्लेड	bıçak	N;NOM;MASC;SG;3	N;NOM;PL;3
ब्लेड	blades	ब्लेड	blades	N;NOM;MASC;SG;3	
सदिश	vektörler	सदिश	vektör	N;NOM;MASC;SG;3	N;NOM;PL;3
स्थगित	askıya	स्थगित	askı	ADJ	N;DAT;SG;3
स्थगित	ertelendi	स्थगित	ertele	ADJ	V;PFV;IND;SG;3;POS;PST;PASS
स्थगित	bekleniyor	स्थगित	bekle	ADJ	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
स्थगित	beklemede	स्थगित	bekle	ADJ	V;PFV;ESS;IND;POS;PRS;V.MSDR
स्थगित	bekleyen	स्थगित	bekle	ADJ	V;PFV;IND;POS;PRS;V.PTCP
गिरोह	çete	गिरोह	çete	N;NOM;MASC;SG;3	
दायित्वों	yükümlülükleri	दायित्व	yükümlülük	N;ACC;MASC;PL;3	N;NOM;PL;3
मर्यादा	asalet	मर्यादा	asalet	N;NOM;FEM;SG;3	
मर्यादा	itibar	मर्यादा	itibar	N;NOM;FEM;SG;3	
श्रीनिवास	srinivasa	श्रीनिवास	srinivas	PROPN;NOM;MASC;SG;3	
बैले	bale	बैले	bale	PROPN;NOM;MASC;SG;3	
बसंत	ilkbahar	बसंत	ilkbahar	PROPN;NOM;MASC;SG;3	
बसंत	yay	बसंत	yay	PROPN;NOM;MASC;SG;3	
बसंत	bahar	बसंत	bahar	PROPN;NOM;MASC;SG;3	
शर्ट	tişört	शर्ट	tişört	N;NOM;FEM;SG;3	
शर्ट	tişörtler	शर्ट	tişört	N;NOM;FEM;SG;3	N;NOM;PL;3
न्यायाधीशों	hakemler	न्यायाधीश	hakem	N;ACC;MASC;PL;3	N;NOM;PL;3
न्यायाधीशों	yargıçlar	न्यायाधीश	yargıç	N;ACC;MASC;PL;3	N;NOM;PL;3
न्यायाधीशों	hakimler	न्यायाधीश	hakim	N;ACC;MASC;PL;3	N;NOM;PL;3
सेंसर	alıcılar	सेंसर	alıcı	N;NOM;MASC;SG;3	N;NOM;PL;3
सेंसर	sensörleri	सेंसर	sensör	N;NOM;MASC;SG;3	N;ACC;PL;3
सेंसर	sensörler	सेंसर	sensör	N;NOM;MASC;SG;3	N;NOM;PL;3
सेंसर	algılayıcılar	सेंसर	algılayıcı	N;NOM;MASC;SG;3	N;NOM;PL;3
सेंसर	algılayıcı	सेंसर	algılayıcı	N;NOM;MASC;SG;3	
स्टैंड	ayağa	स्टैंड	ayak	N;NOM;MASC;SG;3	N;DAT;SG;3
स्टैंड	stand	स्टैंड	stand	N;NOM;MASC;SG;3	
स्टैंड	duruyor	स्टैंड	dur	N;NOM;MASC;SG;3	V;PROG;IND;SG;3;POS;INFM;PRS
उपनिवेशों	koloni	उपनिवेश	koloni	N;ACC;MASC;PL;3	
उपनिवेशों	kolonisi	उपनिवेश	koloni	N;ACC;MASC;PL;3	N;ACC;SG;3
बहुवचन	çoğul	बहुवचन	çoğul	N;NOM;MASC;SG;3	
एकाधिकार	monopoly	एकाधिकार	monopoly	N;NOM;MASC;SG;3	
मिसौरी	missouri	मिसौरी	missour	PROPN;NOM;MASC;SG;3	
मारी	marie	मार	marie	V;PFV;FEM;SG;V.PTCP;ACT	
मारी	mari	मार	mari	V;PFV;FEM;SG;V.PTCP;ACT	
कार्गो	kargo	कार्ग	kargo	N;NOM;MASC;PL;3	
शुभारंभ	fırlatma	शुभारंभ	fırlatma	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;NEG;PRS;CAUS
आमेर	amer	आमेर	amer	PROPN;NOM;MASC;SG;3	
दारा	darius	दारा	darius	PROPN;NOM;MASC;SG;3	
दारा	dara	दारा	dara	PROPN;NOM;MASC;SG;3	
फ़्रांसीसी	fransızlar	फ़्रांसीसी	fransız	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
फ़्रांसीसी	fransız	फ़्रांसीसी	fransız	PROPN;NOM;MASC;SG;3	
फ़्रांसीसी	fransızca	फ़्रांसीसी	fransızca	PROPN;NOM;MASC;SG;3	
जादूगर	sihirbazı	जादूगर	sihirbazı	N;NOM;MASC;SG;3	
जादूगर	büyücü	जादूगर	büyücü	N;NOM;MASC;SG;3	
जादूगर	sihirbaz	जादूगर	sihirbaz	N;NOM;MASC;SG;3	
जादूगर	sihirbazlar	जादूगर	sihirbaz	N;NOM;MASC;SG;3	N;NOM;PL;3
जादूगर	büyücüler	जादूगर	büyücü	N;NOM;MASC;SG;3	N;NOM;PL;3
जादूगर	sihirbaz	जादूगर	sihirbaz	N;NOM;MASC;SG;3	
प्रतिमान	desen	प्रतिमान	de	N;NOM;MASC;SG;3	V;PFV;SG;2;POS;PRS
प्रतिमान	şablon	प्रतिमान	şablon	N;NOM;MASC;SG;3	
प्रतिमान	paradigma	प्रतिमान	paradigma	N;NOM;MASC;SG;3	
सच्चा	doğru	सच्चा	doğru	PROPN;NOM;MASC;SG;3	
सच्चा	dogru	सच्चा	dogru	PROPN;NOM;MASC;SG;3	
सच्चा	true	सच्चा	tru	PROPN;NOM;MASC;SG;3	
सच्चा	gerçek	सच्चा	gerçek	PROPN;NOM;MASC;SG;3	
विश्लेषणात्मक	analitik	विश्लेषणात्मक	analitik	ADJ;NOM	
प्रतिबद्धता	kararlılık	प्रतिबद्धता	kararlılık	N;NOM;FEM;SG;3	
डू	doo	डू	doo	N;NOM;MASC;SG;3	
एलेन	ellen	एलेन	el	PROPN;NOM;MASC;SG;3	
किराए	kiralama	किराया	kiralama	N;NOM;MASC;SG;3	
किराए	kira	किराया	kira	N;NOM;MASC;SG;3	
न्यायालयों	mahkeme	न्यायालय	mahkem	N;ACC;MASC;PL;3	
न्यायालयों	mahkemeler	न्यायालय	mahkeme	N;ACC;MASC;PL;3	N;NOM;PL;3
एस्टन	aston	एस्टन	aston	PROPN;NOM;MASC;SG;3	
मांसपेशी	kas	मांसपेशी	kas	N;NOM;FEM;SG;3	
मांसपेशी	kaslı	मांसपेशी	kaslı	N;NOM;FEM;SG;3	ADJ
मांसपेशी	kaş	मांसपेशी	kaş	N;NOM;FEM;SG;3	
मांसपेशी	kaslar	मांसपेशी	kas	N;NOM;FEM;SG;3	N;NOM;PL;3
विषाक्त	zehirli	विषाक्त	zehirli	N;NOM;MASC;SG;3	
विषाक्त	toksik	विषाक्त	toksik	N;NOM;MASC;SG;3	
तूफ़ान	fırtınalar	तूफ़ान	fırtına	N;NOM;MASC;SG;3	N;NOM;PL;3
तूफ़ान	tayfun	तूफ़ान	tayfun	N;NOM;MASC;SG;3	
तूफ़ान	fırtına	तूफ़ान	fırt	N;NOM;MASC;SG;3	
तूफ़ान	storm	तूफ़ान	stor	N;NOM;MASC;SG;3	
कड़ा	sımsıkı	कड़ा	sımsıkı	ADJ;NOM;MASC;SG	
कड़ा	sıkı	कड़ा	sık	ADJ;NOM;MASC;SG	
कड़ा	sıkıca	कड़ा	sıkı	ADJ;NOM;MASC;SG	
कड़ा	dar	कड़ा	dar	ADJ;NOM;MASC;SG	
कड़ा	zor	कड़ा	zor	ADJ;NOM;MASC;SG	
कड़ा	zoru	कड़ा	zoru	ADJ;NOM;MASC;SG	
कड़ा	sert	कड़ा	sert	ADJ;NOM;MASC;SG	
बदली	bulutlu	बदल	bulutlu	V;PFV;FEM;SG;V.PTCP;ACT	
पड़ाव	milestone	पड़ाव	mileston	N;NOM;MASC;SG;3	N;DAT;SG;3
एंजाइम	enzim	एंजाइम	enzi	N;NOM;MASC;SG;3	
मूसा	musa	मूसा	musa	PROPN;NOM;MASC;SG;3	
मूसा	moses	मूसा	moses	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
मूसा	musa	मूसा	musa	PROPN;NOM;MASC;SG;3	
पिंक	pink	पिंक	pink	PROPN;NOM;FEM;SG;3	
पिंक	pembe	पिंक	pembe	PROPN;NOM;FEM;SG;3	
सत्येन्द्र	satyendra	सत्येंद्र	satyen	PROPN;NOM;MASC;SG;3	
कॉमर्स	ticaret	कॉमर्स	ticaret	N;NOM;MASC;SG;3	
जीप	jeep	जीप	jeep	N;NOM;FEM;SG;3	
जीप	cip	जीप	cip	N;NOM;FEM;SG;3	
जीप	jip	जीप	jip	N;NOM;FEM;SG;3	
चलाना	infaz	चला	infaz	V;MASC;NFIN;ACT	
चलाना	idam	चला	idam	V;MASC;NFIN;ACT	
दादी	babaanne	दादी	babaann	N;NOM;FEM;SG;3	N;DAT;SG;3
दादी	babaanne	दादी	babaann	N;NOM;FEM;SG;3	N;DAT;SG;3
कमिश्नर	komiser	कमिश्नर	komiser	N;NOM;MASC;SG;3	
पहाड़ियाँ	tepe	पहाड़ी	tepe	N;NOM;FEM;PL;3	
पहाड़ियाँ	hills	पहाड़ी	hills	N;NOM;FEM;PL;3	PROPN;NOM;SG;3
पहाड़ियाँ	tepeleri	पहाड़ी	tepe	N;NOM;FEM;PL;3	N;ACC;PL;3
मैथ्यू	matthew	मैथ्यू	matthew	PROPN;NOM;MASC;SG;3	
गंधक	sülfür	गंधक	sülfür	N;NOM;MASC;SG;3	
गंधक	sülfür	गंधक	sülfür	N;NOM;MASC;SG;3	
षड्यंत्र	komplo	षड्यंत्र	komplo	N;NOM;MASC;SG;3	
अंडमान	andaman	अंडमान	andam	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
दूषित	bozuk	दूषित	bozuk	ADP	
दूषित	bozulmuş	दूषित	boz	ADP	V;PFV;NFH;IND;SG;3;POS;PST;PASS
रीडर	okuyucu	रीडर	okuyucu	N;NOM;MASC;SG;3	
रीडर	okur	रीडर	oku	N;NOM;MASC;SG;3	
मिर्ज़ा	mirza	मिर्ज़ा	mirza	PROPN;NOM;MASC;SG;3	
क्रांतिकारियों	devrimci	क्रांतिकारी	devrimci	N;ACC;MASC;PL;3	
क्रांतिकारियों	devrimciler	क्रांतिकारी	devrimci	N;ACC;MASC;PL;3	N;NOM;PL;3
हीरे	elmaslar	हीरा	el	N;NOM;MASC;SG;3	
हीरे	karo	हीरा	karo	N;NOM;MASC;SG;3	
हीरे	elmas	हीरा	elmas	N;NOM;MASC;SG;3	
प्रशिक्षक	eğitmeni	प्रशिक्षक	eğit	N;NOM;MASC;SG;3	V;PFV;ACC;IND;POS;PRS;V.MSDR
प्रशिक्षक	eğitmen	प्रशिक्षक	eğitmen	N;NOM;MASC;SG;3	
प्रशिक्षक	eğitmen	प्रशिक्षक	eğitmen	N;NOM;MASC;SG;3	
उषा	usha	उषा	usha	PROPN;NOM;FEM;SG;3	
नास्तिक	ateizm	नास्तिक	at	N;NOM;MASC;SG;3	
नास्तिक	ateist	नास्तिक	ateist	N;NOM;MASC;SG;3	
प्रचारित	tanıtımı	प्रचारित	tanıtım	ADJ	N;NOM;SG;3
सांसारिक	dünyevi	सांसारिक	dünyevi	PROPN;NOM;SG;3	
फसलें	ekin	फसल	ekin	N;NOM;FEM;PL;3	
अमूर्त	soyut	अमूर्त	soyut	PROPN;NOM;MASC;SG;3	
अमूर्त	özet	अमूर्त	özet	PROPN;NOM;MASC;SG;3	
सौभाग्य	neyseki	सौभाग्य	neysek	PROPN;NOM;MASC;SG;3	
सौभाग्य	servet	सौभाग्य	servet	PROPN;NOM;MASC;SG;3	
सौभाग्य	servet	सौभाग्य	servet	PROPN;NOM;MASC;SG;3	
सौभाग्य	talih	सौभाग्य	talih	PROPN;NOM;MASC;SG;3	
ब्रायंट	bryant	ब्रायंट	bryant	N;NOM;MASC;SG;3	
गैरी	garry	गैरी	garry	PROPN;NOM;MASC;SG;3	
गैरी	gary	गैरी	gary	PROPN;NOM;MASC;SG;3	
साइमन	simon	साइमन	simon	PROPN;NOM;MASC;SG;3	
कार्बोनेट	karbonat	कार्बोनेट	karbonat	N;NOM;MASC;PL;3	
हिब्रू	ibranice	हिब्रू	ibranice	PROPN;NOM;MASC;SG;3	
बर्ड	kuş	बर्ड	kuş	PROPN;NOM;FEM;SG;3	
बर्ड	kus	बर्ड	kus	PROPN;NOM;FEM;SG;3	
बर्ड	bird	बर्ड	bird	PROPN;NOM;FEM;SG;3	
आत्मसमर्पण	teslim	आत्मसमर्पण	teslim	N;NOM;MASC;SG;3	
तैराकी	yüzme	तैराकी	yüz	N;NOM;MASC;SG;3	
तैराकी	yüzmek	तैराकी	yüz	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
