algeriet	algeria	algeri	algeri	N;DEF;NEUT;SG	PROPN;NOM;SG
estisk	viron	estisk	viro	ADJ;INDF;SG	N;GEN;SG
estisk	viro	estisk	viro	ADJ;INDF;SG	N;NOM;SG
maryland	marylandin	maryland	marylandi		N;GEN;SG
bemærkelsesværdige	huomattava	bemærkelsesværdig	huomattava	ADJ;PL	ADJ;NOM;SG
bemærkelsesværdige	huomattavaa	bemærkelsesværdig	huomattava	ADJ;PL	ADJ;PRT;SG
bemærkelsesværdige	merkittävä	bemærkelsesværdig	merkittävä	ADJ;PL	ADJ;NOM;SG
bemærkelsesværdige	merkittävää	bemærkelsesværdig	merkittävä	ADJ;PL	ADJ;PRT;SG
bemærkelsesværdige	huomattava	bemærkelsesværdig	huomattava	ADJ;PL	ADJ;NOM;SG
bemærkelsesværdige	huomionarvoista	bemærkelsesværdig	huomio#narva	ADJ;PL	ADJ;PRT;SG
skulpturer	veistos	skulptur	veistos	N;INDF;MASC+FEM;PL	N;NOM;SG
brande	tuli	brand	tulla	N;INDF;MASC+FEM;PL	V;IND;SG;0;PST;FIN;ACT
brande	tulipalo	brand	tuli#palo	N;INDF;MASC+FEM;PL	N;NOM;SG
control	ohjaus	control	ohjaus		N;NOM;SG
control	määräysvalta	control	määräys#valta		N;NOM;SG
control	hallitse	control	hallita		V;IMP;SG;2;FIN;ACT
control	hallinta	control	hallinta		N;NOM;SG
control	valvonta	control	valvonta		N;NOM;SG
eduard	eduard	eduard	eduard		N;NOM;SG
oklahoma	oklahoma	oklahoma	okla#homa		
sjæl	soul	sjæl	soul	N;INDF;MASC+FEM;SG	
grafisk	graafinen	grafisk	graafinen	ADV	ADJ;NOM;SG
grafisk	graafinen	grafisk	graafinen	ADV	ADJ;NOM;SG
grafisk	grafiikka	grafisk	grafiikka	ADV	N;NOM;SG
flot	hienot	flot	hieno	ADJ;INDF;SG	ADJ;NOM;PL
flot	komeita	flot	komea	ADJ;INDF;SG	ADJ;PRT;PL
kritiserede	arvosteltu	kritisere	arvostella	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
sierra	sierra	sierra	sierra		N;NOM;SG
frigivet	vapautuu	frigiv	vapautua	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN;ACT
nazistiske	natsi	nazistisk	natsi	ADJ;PL	N;NOM;SG
aktion	toimi	aktion	toimia	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
aktion	toimia	aktion	toimia	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
tung	raskaat	tung	raskas	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	PROPN;NOM;SG
byzantinske	bysantin	byzantinsk	bysantti	ADJ;PL	N;GEN;SG
forventet	odotettavissa	forvente	odottaa	V;INDF;SG;PST;V.PTCP	V;IN+ESS;PL;V.PTCP;PASS
forventet	odotetaan	forvente	odottaa	V;INDF;SG;PST;V.PTCP	V;IND;PRS;FIN;PASS
harrison	harrisonin	harrison	harrison		N;GEN;SG
harrison	harrison	harrison	harriso		N;NOM;SG
gaza	gazassa	gaza	gaza	PROPN	N;IN+ESS;SG
gaza	gazan	gaza	gaza	PROPN	N;GEN;SG
grey	harmaita	grey	harmaa		ADJ;PRT;PL
grey	harmaata	grey	harmaa		ADJ;PRT;SG
grey	harmaa	grey	harmaa		ADJ;NOM;SG
grey	grey	grey	grey		
pyrénées	pyrénées	pyrknée	pyrénées	N;GEN;INDF;MASC+FEM;PL	N;NOM;SG
aires	aires	aires	aires	PROPN	
raf	raf	raf	raf	PROPN	N;NOM;SG
sigt	tähtää	sigt	tähdätä	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
sigt	tähdätä	sigt	tähdätä	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
kirk	kirk	kirk	kirke		PROPN;NOM;SG
lodret	pystysuunnassa	loder	pystysuunta	ADJ;INDF;SG	N;IN+ESS;SG
essays	esseitä	essay	esse	N;INDF;NEUT;SG	N;PRT;PL
racing	kilpa	racing	kilpa		N;NOM;SG
racing	kisaa	racing	kisa		N;PRT;SG
racing	racing	racing	racing		N;NOM;SG
jamie	jamie	jamie	jamie		PROPN;NOM;SG
kontrollerede	ohjattu	kontrollere	ohjata	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
kontrollerede	valvottu	kontrollere	valvoa	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
kontrollerede	hallittu	kontrollere	hallita	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
kontrollerede	hallinnassa	kontrollere	hallinta	V;PL;PST;V.PTCP	N;IN+ESS;SG
autoritet	valtuudet	autoritet	valtuus	N;INDF;MASC+FEM;SG	N;NOM;PL
hunter	metsästäjä	hunte	metsästäjä	N;INDF;MASC+FEM;PL	N;NOM;SG
hunter	hunter	hunte	hunter	N;INDF;MASC+FEM;PL	N;NOM;SG
hunter	saalistaja	hunte	saalistaja	N;INDF;MASC+FEM;PL	N;NOM;SG
elskede	rakkaan	elske	rakas	V;DEF;SG;PST;V.PTCP	ADJ;GEN;SG
dramatiske	dramaattinen	dramatisk	dramaattinen	ADJ;PL	ADJ;NOM;SG
dramatiske	dramaattista	dramatisk	dramaattinen	ADJ;PL	ADJ;PRT;SG
farlig	vaaralliset	farlig	vaarallinen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
farlig	vaarallisten	farlig	vaarallinen	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;PL
farlig	vaaralliset	farlig	vaarallinen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
kontroversielle	kiistanalainen	kontroversiel	kiistanalainen	ADJ;PL	ADJ;NOM;SG
kontroversielle	ristiriitainen	kontroversiel	risti#riitainen	ADJ;PL	ADJ;NOM;SG
kontroversielle	kiistanalaista	kontroversiel	kiistanalainen	ADJ;PL	ADJ;PRT;SG
revolutionære	vallankumouksellinen	revolutionær	vallan#kumouksellinen	ADJ;PL	ADJ;NOM;SG
woman	nainen	woman	nainen		N;NOM;SG
philippe	philippe	philippe	phili		PROPN;NOM;SG
fugl	bird	fugl	bird	N;INDF;MASC+FEM;SG	
udenlandsk	ulkomaan	udenlandsk	ulko#maa	ADJ;INDF;SG	N;GEN;SG
udenlandsk	ulkomaiset	udenlandsk	ulko#mainen	ADJ;INDF;SG	ADJ;NOM;PL
heaven	taivaaseen	heaven	taivas		N;IN+ALL;SG
heaven	taivas	heaven	taivas		N;NOM;SG
heaven	taivaan	heaven	taivas		N;GEN;SG
istanbul	istanbulin	istanbul	istanbuli	PROPN	N;GEN;SG
download	lataus	download	lataus	V;IMP	N;NOM;SG
sammenstød	yhteenottoja	sammenstød	yhteen#otto	N;INDF;NEUT;SG	N;PRT;PL
sammenstød	clash	sammenstød	clash	N;INDF;NEUT;SG	
sammenstød	törmäykset	sammenstød	törmäys	N;INDF;NEUT;SG	N;NOM;PL
inter	inter	inter	inter		PROPN;NOM;SG
jagerfly	hävittäjiä	jagerfly	hävittäjä	N;INDF;MASC+FEM;SG	N;PRT;PL
jagerfly	taistelijoita	jagerfly	taistelija	N;INDF;MASC+FEM;SG	N;PRT;PL
jagerfly	hävittäjät	jagerfly	hävittäjä	N;INDF;MASC+FEM;SG	N;NOM;PL
pacific	tyyni	pacific	tyyni		N;NOM;SG
pacific	tyynenmeren	pacific	tyyni#meri		N;GEN;SG
pacific	pacific	pacific	pacific		
borger	kansalaisena	borger	kansalainen	N;INDF;MASC+FEM;SG	ADJ;FRML;SG
forhindrede	estettiin	forhindre	estää	V;IND;PST;FIN;ACT	V;IND;PST;FIN;PASS
engel	angel	engel	angel	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
erich	erich	erich	erich	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
myter	myytti	myte	myyttää	N;INDF;MASC+FEM;PL	N;NOM;SG
frivillig	vapaaehtoiset	frivillig	vapaa#ehtoinen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
frivillig	vapaaehtoistyö	frivillig	vapaa#ehtois#työ	ADJ;INDF;MASC+FEM;SG	N;NOM;SG
frivillig	vapaaehtoiset	frivillig	vapaa#ehtoinen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
egon	egon	egon	ego		N;GEN;SG
sting	stitch	sting	stitch	N;INDF;MASC+FEM;SG	
sting	pistää	sting	pistää	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
sting	tikkejä	sting	tikki	N;INDF;MASC+FEM;SG	N;PRT;PL
asiatiske	aasian	asiatisk	aasia	ADJ;PL	N;GEN;SG
asiatiske	aasialainen	asiatisk	aasialainen	ADJ;PL	ADJ;NOM;SG
sweet	makea	swe	makea		ADJ;NOM;SG
sweet	sweet	swe	sweet		
sweet	makeaa	swe	makea		ADJ;PRT;SG
sweet	suloinen	swe	suloinen		ADJ;NOM;SG
ler	nauraa	le	nauraa	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
ler	clay	le	clay	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
jagten	metsästää	jagt	metsästää	N;DEF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
jagten	hunt	jagt	hunt	N;DEF;MASC+FEM;SG	PROPN;NOM;SG
jagten	metsästämässä	jagt	metsästää	N;DEF;MASC+FEM;SG	V;IN+ESS;SG;NFIN;ACT
bevidsthed	tajuihinsa	bevidsthed	taju	N;INDF;MASC+FEM;SG	N;IN+ALL;PL
bevidsthed	tietoinen	bevidsthed	tietoinen	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
bevidsthed	tajuissaan	bevidsthed	taju	N;INDF;MASC+FEM;SG	N;IN+ESS;PL
sproglige	kielellisen	sproglig	kielellinen	ADJ;PL	ADJ;GEN;SG
udkæmpet	taistellut	udkæmpe	taistella	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
houston	houston	houston	housto		N;NOM;SG
houston	houstoniin	houston	housto		N;IN+ALL;SG
houston	houstonin	houston	houstoni		N;GEN;SG
anmodning	pyytää	anmodning	pyytää	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
anmodning	pyydä	anmodning	pyydä	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
flandern	flanders	flande	flanders	N;INDF;MASC+FEM;PL	N;NOM;SG
flandern	flanderin	flande	flanderi	N;INDF;MASC+FEM;PL	N;GEN;SG
cbs	cbs	cbs	cbs	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
cbs	keskuspankit	cbs	keskus#pankki	N;INDF;MASC+FEM;SG	N;NOM;PL
fremstiller	valmistaja	fremstille	valmistaja	V;IND;PRS;FIN;ACT	N;NOM;SG
fremstiller	valmistajan	fremstille	valmistaja	V;IND;PRS;FIN;ACT	N;GEN;SG
toner	väriaine	tone	väri#aine	N;INDF;MASC+FEM;PL	N;NOM;SG
behandle	herkku	behandle	herkku	V;NFIN;ACT	N;NOM;SG
patent	patenttien	patent	patentti	N;INDF;NEUT;SG	N;GEN;PL
patent	patentit	patent	patentti	N;INDF;NEUT;SG	N;NOM;PL
patent	patentteja	patent	patentti	N;INDF;NEUT;SG	N;PRT;PL
owen	owen	owen	owe		PROPN;NOM;SG
owen	owenin	owen	owen		N;GEN;SG
rafael	raphael	rafael	raphael		N;NOM;SG
rafael	rafael	rafael	rafael		PROPN;NOM;SG
rafael	rafael	rafael	rafael		PROPN;NOM;SG
kæden	ketjut	kæde	ketju	N;DEF;MASC+FEM;SG	N;NOM;PL
skatter	veroja	skatter	vero	ADV	N;PRT;PL
skatter	verot	skatter	vero	ADV	N;NOM;PL
ravn	raven	ravn	ravi	N;INDF;MASC+FEM;SG	
alabama	alabaman	alabama	alabama		N;GEN;SG
væbnede	aseellinen	væbne	aseellinen	ADJ;PL	ADJ;NOM;SG
væbnede	viritetty	væbne	virittää	ADJ;PL	V;NOM;SG;V.PTCP;PASS
væbnede	aseistettu	væbne	aseistaa	ADJ;PL	V;NOM;SG;V.PTCP;PASS
undersøgt	opinnot	undersøge	opinto	V;INDF;SG;PST;V.PTCP	N;NOM;PL
organiske	orgaaninen	organisk	orgaaninen	ADJ;PL	ADJ;NOM;SG
organiske	orgaanista	organisk	orgaani	ADJ;PL	ADJ;PRT;SG
organiske	luonnonmukainen	organisk	luonnon#mukainen	ADJ;PL	ADJ;NOM;SG
newton	newton	newton	newto		N;NOM;SG
michelle	michelle	michel	mich	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
michelle	michellen	michel	michellen	N;INDF;MASC+FEM;SG	INTJ
olga	olga	olga	olga		N;NOM;SG
romantisk	romanttista	romantisk	romanttinen	ADV	ADJ;PRT;SG
romantisk	romanttinen	romantisk	romanttinen	ADV	ADJ;NOM;SG
romantisk	romantikko	romantisk	romantikko	ADV	N;NOM;SG
blind	sokeita	blind	sokea	ADJ;INDF;MASC+FEM;SG	N;PRT;PL
sevilla	sevilla	sevilla	sevilla	PROPN	N;NOM;SG
sevilla	sevillan	sevilla	seviltaa	PROPN	N;GEN;SG
mel	jauhoja	mel	jauha	N;INDF;MASC+FEM;SG	N;PRT;PL
mel	jauhot	mel	jauho	N;INDF;MASC+FEM;SG	N;NOM;PL
mel	mel	mel	mellä	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
ronnie	ronnie	ronnie	ronnie		N;NOM;SG
opvarmning	lämpenee	opvarmning	lämmetä	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN;ACT
køb	ostaa	køb	ostaa	N;INDF;NEUT;SG	V;SG;FIN;ACT
køb	osta	køb	ostaa	N;INDF;NEUT;SG	V;IMP;SG;2;FIN;ACT
køb	ostetaan	køb	ostaa	N;INDF;NEUT;SG	V;IND;PRS;FIN;PASS
køb	ostaa	køb	ostaa	N;INDF;NEUT;SG	V;SG;FIN;ACT
køb	osta	køb	ostaa	N;INDF;NEUT;SG	V;IMP;SG;2;FIN;ACT
køb	ostokset	køb	ostos	N;INDF;NEUT;SG	N;NOM;PL
køb	ostot	køb	osto	N;INDF;NEUT;SG	N;NOM;PL
køb	hankinnat	køb	hankinta	N;INDF;NEUT;SG	N;NOM;PL
køb	ostamassa	køb	ostaa	N;INDF;NEUT;SG	V;IN+ESS;SG;NFIN;ACT
køb	ostaa	køb	ostaa	N;INDF;NEUT;SG	V;SG;FIN;ACT
statistisk	tilastollinen	statistisk	tilastollinen	ADV	ADJ;NOM;SG
statistisk	tilasto	statistisk	tilasto	ADV	N;NOM;SG
separat	erilliset	separat	erillinen	ADV	ADJ;NOM;PL
separat	erillinen	separat	erillinen	ADV	ADJ;NOM;SG
pearl	pearl	pearl	pearl	N;INDF;MASC+FEM;SG	
trykte	painettu	trykte	painaa	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
godkendte	hyväksytty	godkende	hyväksyä	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
godkendte	hyväksynyt	godkende	hyväksyä	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
permanente	pysyvää	permanent	pysyvä	ADJ;PL	ADJ;PRT;SG
permanente	vakituinen	permanent	vakituinen	ADJ;PL	ADJ;NOM;SG
permanente	pysyvä	permanent	pysyvä	ADJ;PL	ADJ;NOM;SG
fisker	kalojen	fisker	kala	N;INDF;MASC+FEM;SG	N;GEN;PL
fisker	kalastaa	fisker	kalastaa	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
dygtige	taitava	dygtig	taitava	ADJ;PL	ADJ;NOM;SG
dygtige	lahjakas	dygtig	lahjakas	ADJ;PL	ADJ;NOM;SG
oldenburg	oldenburg	oldenburg	oldenburg		
beton	konkreettinen	beton	konkreettinen	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
beton	konkreettista	beton	konkreettinen	N;INDF;MASC+FEM;SG	ADJ;PRT;SG
beton	konkreettisia	beton	konkreettinen	N;INDF;MASC+FEM;SG	ADJ;PRT;PL
beton	konkreettiset	beton	konkreettinen	N;INDF;MASC+FEM;SG	ADJ;NOM;PL
mandat	valtuudet	mandat	valtuus	N;INDF;NEUT;SG	N;NOM;PL
dortmund	dortmund	dortmund	dortmund	PROPN	
kæde	ketjut	kæde	ketju	N;INDF;MASC+FEM;SG	N;NOM;PL
police	poliisit	police	poliisi	N;INDF;MASC+FEM;SG	N;NOM;PL
dragon	lohikäärme	dragon	lohi#käärme		N;NOM;SG
dragon	lohikäärmeen	dragon	lohi#käärme		N;GEN;SG
dragon	dragon	dragon	dragon		
rede	valmisteltu	rede	valmistella	N	V;NOM;SG;V.PTCP;PASS
rede	valmistettu	rede	valmistaa	N	V;NOM;SG;V.PTCP;PASS
rede	valmistetut	rede	valmistaa	N	V;NOM;PL;V.PTCP;PASS
chopin	chopin	chopin	chop		N;GEN;SG
drab	tappaa	drab	tappaa	N;INDF;NEUT;SG	V;IND;SG;PRS;FIN;ACT
gad	gad	gide	gad	V;IND;PST;FIN;ACT	N;NOM;SG
dale	dale	dal	dale	N;INDF;MASC+FEM;PL	PROPN;NOM;SG
pedro	pedro	pedro	pedro		PROPN;NOM;SG
barry	barry	barry	barry		PROPN;NOM;SG
barry	barryn	barry	barry		N;GEN;SG
allieret	liittoutuneiden	alliere	liittoutuneet	V;INDF;SG;PST;V.PTCP	V;GEN;PL;V.PTCP;ACT
allieret	liittoutuneet	alliere	liittoutua	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
allieret	liittolainen	alliere	liittolainen	V;INDF;SG;PST;V.PTCP	N;NOM;SG
allieret	ally	alliere	ally	V;INDF;SG;PST;V.PTCP	N;NOM;SG
judas	juudas	judas	juudas		N;NOM;SG
lufthavne	lentokenttä	lufthavne	lento#kenttä	N;INDF;MASC+FEM;PL	N;NOM;SG
lufthavne	lentokentälle	lufthavne	lento#kenttä	N;INDF;MASC+FEM;PL	N;AT+ALL;SG
lufthavne	lentoasema	lufthavne	lento#asema	N;INDF;MASC+FEM;PL	N;NOM;SG
small	pieni	small	pieni		ADJ;NOM;SG
small	pienet	small	pieni		ADJ;NOM;PL
kentucky	kentucky	kentucky	kentucky		
afløser	korvataan	afløser	korvata	N;INDF;MASC+FEM;SG	V;IND;PRS;FIN;PASS
afløser	korvaava	afløser	korvata	N;INDF;MASC+FEM;SG	V;NOM;SG;V.PTCP;ACT
proteiner	proteiini	protein	prote	N;INDF;NEUT;PL	N;NOM;SG
proteiner	proteiinia	protein	proteiini	N;INDF;NEUT;PL	N;PRT;SG
proteiner	proteiinin	protein	proteiini	N;INDF;NEUT;PL	N;GEN;SG
simpson	simpsonin	simpson	simpsoni		N;GEN;SG
simpson	simpson	simpson	simpso		N;NOM;SG
nepal	nepalin	nepal	nepali	PROPN	N;GEN;SG
påstand	vaatia	påstand	vaatia	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
amy	amy	amy	amy	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
walk	kävellä	walk	kävellä		V;SG;NFIN;ACT
walk	kävely	walk	kävely		N;NOM;SG
opdagelsesrejsende	explorer	opdagelsesrejsende	explorer	ADJ	N;NOM;SG
opdagelsesrejsende	tutkimusmatkailijoita	opdagelsesrejsende	tutkimus#matkailija	ADJ	N;PRT;PL
rick	rick	rick	rick		PROPN;NOM;SG
neutrale	puolueeton	neutral	puolueeton	ADJ;PL	ADJ;NOM;SG
neutrale	neutraali	neutral	neutraali	ADJ;PL	ADJ;NOM;SG
rob	rob	rob	rob		PROPN;NOM;SG
rob	ryöstää	rob	ryöstää		V;IND;SG;3;PRS;FIN;ACT
omfattet	sisällytetty	omfatte	sisällyttää	N;DEF;NEUT;SG	V;NOM;SG;V.PTCP;PASS
omfattet	sisältyy	omfatte	sisältyä	N;DEF;NEUT;SG	V;IND;SG;3;PRS;FIN;ACT
omfattet	katettu	omfatte	kattaa	N;DEF;NEUT;SG	V;NOM;SG;V.PTCP;PASS
omfattet	kattoi	omfatte	kattaa	N;DEF;NEUT;SG	V;IND;SG;3;PST;FIN;ACT
omfattet	peitetty	omfatte	peittää	N;DEF;NEUT;SG	V;NOM;SG;V.PTCP;PASS
kriminelle	rikollista	kriminel	rikollinen	ADJ;PL	ADJ;PRT;SG
kriminelle	rikollinen	kriminel	rikollinen	ADJ;PL	ADJ;NOM;SG
cæsar	caesar	cæsar	caesar	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
regelmæssige	säännöllisesti	regelmæssig	säännöllisesti	ADJ;PL	ADV
regelmæssige	tavallinen	regelmæssig	tavallinen	ADJ;PL	ADJ;NOM;SG
regelmæssige	säännöllinen	regelmæssig	säännöllinen	ADJ;PL	ADJ;NOM;SG
cypern	kypros	cypern	kypros	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
halve	puoliskot	halv	puolisko	ADJ;PL	N;NOM;PL
mitsubishi	mitsubishi	mitsubishi	mitsubishi		N;NOM;SG
skarpe	terävää	skarp	terävä	ADJ;PL	ADJ;PRT;SG
skarpe	sharp	skarp	sharp	ADJ;PL	PROPN;NOM;SG
skarpe	terävä	skarp	terävä	ADJ;PL	ADJ;NOM;SG
kriminalitet	rikokset	kriminalitet	rikos	N;INDF;MASC+FEM;SG	N;NOM;PL
kriminalitet	rikoksia	kriminalitet	rikos	N;INDF;MASC+FEM;SG	N;PRT;PL
kriminalitet	rikokset	kriminalitet	rikos	N;INDF;MASC+FEM;SG	N;NOM;PL
batteri	patterit	batteri	patteri	N;INDF;NEUT;SG	N;NOM;PL
batteri	paristot	batteri	paristo	N;INDF;NEUT;SG	N;NOM;PL
batteri	akut	batteri	akut	N;INDF;NEUT;SG	N;NOM;PL
omkostninger	maksaa	omkostning	maksaa	N;INDF;MASC+FEM;PL	V;IND;SG;3;PRS;FIN;ACT
omkostninger	hinta	omkostning	hinta	N;INDF;MASC+FEM;PL	N;NOM;SG
omkostninger	kustannus	omkostning	kustannus	N;INDF;MASC+FEM;PL	N;NOM;SG
mur	wall	mur	wall	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
motors	moottorit	motors	moottori		N;NOM;PL
motors	motors	motors	motors		PROPN;NOM;SG
passede	hyväkuntoinen	passe	hyväkuntoinen	V;IND;PST;FIN;ACT	ADJ;NOM;SG
passede	sovi	passe	sovi	V;IND;PST;FIN;ACT	V;IMP;SG;2;FIN;ACT
