اتھاہ	diep	اتھاہ	diep		ADV
اِبتکار	innovasie	اِبتکار	innovasie	PROPN;NOM;MASC;SG;3	N;SG
اِبتکار	inisiatief	اِبتکار	inisiatief	PROPN;NOM;MASC;SG;3	N;SG
اِبتلا	verhoor	اِبتلا	verhoor	PROPN;NOM;MASC;SG;3	N;SG
اِبتلا	distress	اِبتلا	distress	PROPN;NOM;MASC;SG;3	
اِبتلا	temptation	اِبتلا	temptation	PROPN;NOM;MASC;SG;3	
اِبتہاج	geluk	اِبتہاج	geluk	PROPN;NOM;MASC;SG;3	N;SG
اِبتہاج	gaiety	اِبتہاج	gaiety	PROPN;NOM;MASC;SG;3	
اِبتہاج	vrolikheid	اِبتہاج	vrolikheid	PROPN;NOM;MASC;SG;3	N;SG
اُبٹن	meel	اُبٹن	meel	PROPN;NOM;MASC;SG;3	N;SG
ابجد	inception	ابجد	inception	N;NOM;MASC;SG;3	
ابجد	abjad	ابجد	abjad	N;NOM;MASC;SG;3	
ابحاث	argumente	ابحاث	argument	N;NOM;MASC;SG;3	N;PL
ابحار	oseane	ابحار	oseane	PROPN;NOM;MASC;SG;3	N;PL
ابدُالآباد	eternity	ابدُالآباد	eternity	PROPN;NOM;MASC;SG;3	
ابداً	verewig	ابداً	verewig	PROPN;NOM;MASC;SG;3	
اِبدا	verklaring	اِبدا	verklaring	PROPN;NOM;MASC;SG;3	N;SG
اِبداع	innovasie	اِبداع	innovasie	PROPN;NOM;MASC;SG;3	N;SG
اِبداع	uitvinding	اِبداع	uitvinding	PROPN;NOM;MASC;SG;3	N;SG
اِبداع	skepping	اِبداع	skepping	PROPN;NOM;MASC;SG;3	N;SG
اِبدال	veranderings	اِبدال	verandering	PROPN;NOM;MASC;SG;3	N;PL
اِبدال	verander	اِبدال	verander	PROPN;NOM;MASC;SG;3	V;PRS
اِبدال	wysig	اِبدال	wysig	PROPN;NOM;MASC;SG;3	V;PRS
اِبدال	ruil	اِبدال	ruil	PROPN;NOM;MASC;SG;3	V;PRS
اِبدال	vervanging	اِبدال	vervanging	PROPN;NOM;MASC;SG;3	V;PRS
اِبدال	plaasvervanging	اِبدال	plaasvervanging	PROPN;NOM;MASC;SG;3	N;SG
ابدان	bodies	ابدان	bodie	PROPN;NOM;MASC;SG;3	
ابدی	eindelose	ابدی	eindelose	PROPN;NOM;MASC;SG;3	ADJ;NOM
ابدی	ewige	ابدی	ewige	PROPN;NOM;MASC;SG;3	N;SG
ابدیّت	eternity	ابدیّت	eternity	PROPN;NOM;MASC;SG;3	
ابردار	bewolkte	ابردار	bewolk	PROPN;NOM;MASC;SG;3	
ابردار	bewolk	ابردار	bewolk	PROPN;NOM;MASC;SG;3	V;PRS
اِبرا	vrylaat	اِبرا	vrylaat	PROPN;NOM;MASC;SG;3	V;PRS
اِبرا	vrystelling	اِبرا	vrystelling	PROPN;NOM;MASC;SG;3	N;SG
ابرار	saints	ابرار	saints	PROPN;NOM;MASC;SG;3	
اِبرام	beklemtoning	اِبرام	beklemtoning	PROPN;NOM;MASC;SG;3	N;SG
اِبرام	benadruk	اِبرام	benadruk	PROPN;NOM;MASC;SG;3	V;PRS
اُبرانا	vrylaat	اُبرانا	vrylaat	PROPN;NOM;MASC;SG;3	V;PRS
اُبرانا	vrystelling	اُبرانا	vrystelling	PROPN;NOM;MASC;SG;3	N;SG
ابری	bewolkte	ابری	bewolk	PROPN;NOM;MASC;SG;3	
ابری	bewolk	ابری	bewolk	PROPN;NOM;MASC;SG;3	V;PRS
ابریشم	silk	ابریشم	silk	PROPN;NOM;MASC;SG;3	
ابس	ongehoorsaam	ابس	ongehoorsaam		V;PRS
ابصار	aansigte	ابصار	aansigte	PROPN;NOM;MASC;SG;3	N;PL
ابصار	kykers	ابصار	kykers	PROPN;NOM;MASC;SG;3	N;PL
ابصار	lyk	ابصار	lyk	PROPN;NOM;MASC;SG;3	
ابصار	verdraagsaamheid	ابصار	verdraagsaamheid	PROPN;NOM;MASC;SG;3	N;SG
ابصار	begrip	ابصار	begrip	PROPN;NOM;MASC;SG;3	N;SG
ابطال	heroes	ابطال	heroe	PROPN;NOM;MASC;SG;3	
ابطال	helde	ابطال	held	PROPN;NOM;MASC;SG;3	N;PL
ابعاد	dimensies	ابعاد	dimensies		N;PL
ابعاد	afstande	ابعاد	afstande		N;PL
ابعد	pa	ابعد	pa	PROPN;NOM;MASC;SG;3	V;PRS
اِبقا	bewaring	اِبقا	bewaring	PROPN;NOM;MASC;SG;3	N;SG
ابکار	virgins	ابکار	virgins	PROPN;NOM;MASC;SG;3	
اِبل	kameel	اِبل	kameel		N;SG
اِبل	camel	اِبل	camel		PROPN;SG
ابلا	vrou	ابلا	vrou		N;SG
اِبلاغ	kommunikasie	اِبلاغ	kommunikasie	PROPN;NOM;MASC;SG;3	N;SG
ابلج	obvious	ابلج	obvious	PROPN;NOM;MASC;SG;3	
ابلج	prominent	ابلج	prominent	PROPN;NOM;MASC;SG;3	
اُبلنا	opkoms	اُبل	opkoms	V;MASC;SG;NFIN;ACT	N;SG
ابلہ	laf	ابلہ	laf	PROPN;NOM;MASC;SG;3	
ابلہ	silly	ابلہ	silly	PROPN;NOM;MASC;SG;3	
ابلہ	dom	ابلہ	dom	PROPN;NOM;MASC;SG;3	N;SG
اِبلیس	lusifer	اِبلیس	lusifer	PROPN;NOM;MASC;SG;3	
اِبلیس	lucifer	اِبلیس	lucifer	PROPN;NOM;MASC;SG;3	
اِبلیس	satan	اِبلیس	satan	PROPN;NOM;MASC;SG;3	V;PRS
اِبلیسیت	satanisme	اِبلیسیت	satanisme	PROPN;NOM;MASC;SG;3	N;PL
اِبن	seun	اِبن	seun		N;SG
ابنا	mense	ابنا	mens	PROPN;NOM;MASC;SG;3	N;PL
ابنا	seuns	ابنا	seun	PROPN;NOM;MASC;SG;3	N;PL
ابنا	tribes	ابنا	tribes	PROPN;NOM;MASC;SG;3	
ابنیہ	basisse	ابنیہ	basis	PROPN;NOM;MASC;SG;3	N;PL
ابنیہ	foundations	ابنیہ	foundations	PROPN;NOM;MASC;SG;3	
ابُو	vader	ابُو	vader	PROPN;NOM;MASC;SG;3	N;SG
ابوالمنصور	dove	ابوالمنصور	dove	PROPN;NOM;MASC;SG;3	
ابُّو	vader	ابُّو	vader	PROPN;NOM;MASC;SG;3	N;SG
ابُّو	papa	ابُّو	papa	PROPN;NOM;MASC;SG;3	
ابواب	doors	ابواب	door	N;NOM;MASC;PL;3	PROPN;SG
ابواب	chapters	ابواب	chapters	N;NOM;MASC;PL;3	
اُبُوّت	vaderskap	اُبُوّت	vaderskap	PROPN;NOM;MASC;SG;3	N;SG
اِبہام	onsekerheid	اِبہام	onsekerheid	PROPN;NOM;MASC;SG;3	N;SG
اِبہام	duim	اِبہام	duim	PROPN;NOM;MASC;SG;3	N;PL
اِبہام	verwarring	اِبہام	verwarring	PROPN;NOM;MASC;SG;3	
اِبہام	onsekerheid	اِبہام	onsekerheid	PROPN;NOM;MASC;SG;3	N;SG
اِبہام	duim	اِبہام	duim	PROPN;NOM;MASC;SG;3	N;PL
اِبہام	verwarring	اِبہام	verwarring	PROPN;NOM;MASC;SG;3	
اُبّہت	greatness	اُبّہت	greatness	PROPN;NOM;MASC;SG;3	
اُبّہت	superioriteit	اُبّہت	superioriteit	PROPN;NOM;MASC;SG;3	N;SG
ابیّ	vader	ابیّ	vader	PROPN;NOM;MASC;SG;3	N;SG
ابیّ	pappa	ابیّ	pappa	PROPN;NOM;MASC;SG;3	
ابیات	verses	ابیات	verses	PROPN;NOM;MASC;SG;3	
ابیض	white	ابیض	white	PROPN;NOM;MASC;SG;3	
ابیض	helder	ابیض	helder	PROPN;NOM;MASC;SG;3	
اُبھار	swelling	اُبھار	swelling	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
اُبھار	swelsel	اُبھار	swelsel	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
اُبھار	opgewondenheid	اُبھار	opgewondenheid	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
اُبھار	swelling	اُبھار	swelling	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
اُبھار	swelsel	اُبھار	swelsel	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
اُبھار	opgewondenheid	اُبھار	opgewondenheid	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
اُبھارا	stimulus	اُبھار	stimulus	V;PFV;MASC;SG;V.PTCP;ACT	
اُبھارا	motivering	اُبھار	motivering	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
اُبھارا	aanmoediging	اُبھار	aanmoediging	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
ابھاگا	arme	ابھاگا	arm	PROPN;NOM;MASC;SG;3	N;PL
ابھاؤ	wil	ابھاؤ	wil	PROPN;NOM;MASC;SG;3	V;PRS
ابھاؤ	uitwissing	ابھاؤ	uitwissing	PROPN;NOM;MASC;SG;3	N;SG
ابھاؤ	armoede	ابھاؤ	armoede	PROPN;NOM;MASC;SG;3	N;SG
اُبھرنا	opkoms	اُبھرنا	opkoms	V;SG;NFIN;ACT	N;SG
اُبھرنا	blou	اُبھرنا	blou	V;SG;NFIN;ACT	
ابھک	baie	ابھک	baie		DET
ابھک	bemoedig	ابھک	bemoedig		V;PRS
ابھک	greatly	ابھک	greatly		
ابِھلاشا	begeerte	ابِھلاشا	begeerte	PROPN;NOM;MASC;SG;3	N;SG
ابِھمان	pride	ابِھمان	pride	PROPN;NOM;MASC;SG;3	
ابِھمان	trots	ابِھمان	trots	PROPN;NOM;MASC;SG;3	ADJ;NOM
ابِھمانی	trots	ابِھمانی	trots	PROPN;NOM;MASC;SG;3	ADJ;NOM
ابِھمانی	arrogant	ابِھمانی	arrogant	PROPN;NOM;MASC;SG;3	
ابِھن	hele	ابِھن	heel	PROPN;NOM;MASC;SG;3	ADJ;NOM
ابِھن	voltooi	ابِھن	voltooi	PROPN;NOM;MASC;SG;3	
ابِھن	afgehandel	ابِھن	afhandel	PROPN;NOM;MASC;SG;3	V;PST;V.PTCP
ابھوگ	useless	ابھوگ	useles	PROPN;NOM;MASC;SG;3	
ابھی	onmiddelik	ابھی	onmiddelik	PRO;NOM	
ابھی	onmiddellik	ابھی	onmiddellik	PRO;NOM	
ابھی	dadelik	ابھی	dadelik	PRO;NOM	ADV
ابھی	nou	ابھی	nou	PRO;NOM	ADV
ابھی	now	ابھی	now	PRO;NOM	
ابھی	tans	ابھی	tans	PRO;NOM	ADV
ابھی	onmiddelik	ابھی	onmiddelik	PRO;NOM	
ابھی	onmiddellik	ابھی	onmiddellik	PRO;NOM	
ابھی	dadelik	ابھی	dadelik	PRO;NOM	ADV
ابِھّیاس	meditasie	ابِھّیاس	meditasie	PROPN;NOM;MASC;SG;3	N;SG
ابِھّیاس	practice	ابِھّیاس	practic	PROPN;NOM;MASC;SG;3	
ابِھّیاس	praktyk	ابِھّیاس	praktyk	PROPN;NOM;MASC;SG;3	N;SG
ابِھّیاس	oefen	ابِھّیاس	oefen	PROPN;NOM;MASC;SG;3	V;PRS
ابھید	identiese	ابھید	identies	PROPN;NOM;MASC;SG;3	ADJ;NOM
ابھید	identies	ابھید	identies	PROPN;NOM;MASC;SG;3	V;PRS
اپ	self	اپ	self		PRO;SG;3;REFL
اُپادھیا	onderwyser	اُپادھیا	onderwyser	PROPN;NOM;MASC;SG;3	N;SG
اپار	oneindige	اپار	oneindig	PROPN;NOM;MASC;SG;3	ADJ;NOM
اُپاس	vinnig	اُپاس	vinnig	PROPN;NOM;MASC;SG;3	
اُپاس	vinnige	اُپاس	vinnig	PROPN;NOM;MASC;SG;3	ADJ;NOM
اُپاس	aanbidding	اُپاس	aanbidding	PROPN;NOM;MASC;SG;3	N;SG
اُپاس	worship	اُپاس	worship	PROPN;NOM;MASC;SG;3	
اُپاسا	honger	اُپاسا	honger	PROPN;NOM;MASC;SG;3	V;PRS
اُپاسنا	vinnig	اُپاسنا	vinnig	PROPN;NOM;MASC;SG;3	
اُپاسنا	vinnige	اُپاسنا	vinnig	PROPN;NOM;MASC;SG;3	ADJ;NOM
اُپاسنا	aanbidding	اُپاسنا	aanbidding	PROPN;NOM;MASC;SG;3	N;SG
اُپاسنا	homage	اُپاسنا	homage	PROPN;NOM;MASC;SG;3	
اُپاسنا	aanbidding	اُپاسنا	aanbidding	PROPN;NOM;MASC;SG;3	N;SG
اُپاسنا	worship	اُپاسنا	worship	PROPN;NOM;MASC;SG;3	
اپاہج	gestremde	اپاہج	strem	N;NOM;MASC;SG;3	PRO
اپاہج	geaktiveer	اپاہج	aktiveer	N;NOM;MASC;SG;3	V;PST;V.PTCP
اپاہج	afgeskakel	اپاہج	afskakel	N;NOM;MASC;SG;3	V;PST;V.PTCP
اُپائے	vermeende	اُپائے	vermeend	PROPN;NOM;MASC;SG;3	V;PRS
اُپائے	toestel	اُپائے	toestel	PROPN;NOM;MASC;SG;3	V;PRS
اُپائے	plan	اُپائے	plan	PROPN;NOM;MASC;SG;3	N;SG
اپت	belediging	اپت	belediging		N;SG
اپج	wicked	اپج	wicked		
اپج	gemeen	اپج	gemeen		V;PST;V.PTCP
اپج	bedoel	اپج	bedoel		V;PRS
اپج	beteken	اپج	beteken		V;PRS
اُپج	innovasie	اُپج	innovasie		N;SG
اُپج	uitvinding	اُپج	uitvinding		N;SG
اُپج	snoei	اُپج	snoei		N;SG
اُپج	vervaardig	اُپج	vervaardig		V;PRS
اُپدیش	counsel	اُپدیش	counsel	PROPN;NOM;MASC;SG;3	
اُپدیش	instruksie	اُپدیش	instruksie	PROPN;NOM;MASC;SG;3	N;SG
اُپدیش	advies	اُپدیش	advies	PROPN;NOM;MASC;SG;3	
اُپدیش	raad	اُپدیش	raad	PROPN;NOM;MASC;SG;3	N;SG
اُپدیشک	onderwyser	اُپدیشک	onderwyser	PROPN;NOM;MASC;SG;3	N;SG
اپرادھ	fault	اپرادھ	fault	PROPN;NOM;MASC;SG;3	
اپرادھ	breuk	اپرادھ	breuk	PROPN;NOM;MASC;SG;3	N;SG
اپرادھ	skuldgevoelens	اپرادھ	skuldgevoelens	PROPN;NOM;MASC;SG;3	N;SG
اپرادھ	skuld	اپرادھ	skuld	PROPN;NOM;MASC;SG;3	N;SG
اپرادھ	misdaad	اپرادھ	misdaad	PROPN;NOM;MASC;SG;3	N;SG
اپرادھی	skuldig	اپرادھی	skuldig	PROPN;NOM;MASC;SG;3	N;SG
اپرادھی	kriminele	اپرادھی	krimineel	PROPN;NOM;MASC;SG;3	ADJ;NOM
اُپرالا	hoër	اُپرالا	hoog	PROPN;NOM;MASC;SG;3	ADJ;NOM;CMPR
اُپرالا	help	اُپرالا	help	PROPN;NOM;MASC;SG;3	V;PRS
اُپرالا	hulp	اُپرالا	hulp	PROPN;NOM;MASC;SG;3	N;SG
اُپرالا	ondersteuning	اُپرالا	ondersteuning	PROPN;NOM;MASC;SG;3	N;SG
اُپرالا	ondersteun	اُپرالا	ondersteun	PROPN;NOM;MASC;SG;3	V;PRS
اُپرالا	steun	اُپرالا	steun	PROPN;NOM;MASC;SG;3	V;PRS
اُپرالا	bystand	اُپرالا	bystand	PROPN;NOM;MASC;SG;3	N;SG
اُپرالا	boonste	اُپرالا	boonste	PROPN;NOM;MASC;SG;3	
اُپرانا	opkoms	اُپرانا	opkoms	PROPN;NOM;MASC;SG;3	N;SG
اُپرَوٹا	upstairs	اُپرَوٹا	upstairs	PROPN;NOM;MASC;SG;3	
اپریل	april	اپریل	april	PROPN;NOM;MASC;SG;3	
اپسرا	nimf	اپسرا	nimf	PROPN;NOM;MASC;SG;3	
اُپکار	verkies	اُپکار	verkies	PROPN;NOM;MASC;SG;3	V;PRS
اُپکار	gunste	اُپکار	gun	PROPN;NOM;MASC;SG;3	
اُپکاری	filantropiese	اُپکاری	filantropies	PROPN;NOM;MASC;SG;3	ADJ;NOM
اُپکاری	nuttige	اُپکاری	nuttig	PROPN;NOM;MASC;SG;3	ADJ;NOM
اُپکاری	gehelp	اُپکاری	help	PROPN;NOM;MASC;SG;3	V;PST;V.PTCP
اُپکاری	hulpvaardig	اُپکاری	hulpvaardig	PROPN;NOM;MASC;SG;3	
اُپکاری	behulpsaam	اُپکاری	behulpsaam	PROPN;NOM;MASC;SG;3	V;PRS
اُپکاری	nuttig	اُپکاری	nuttig	PROPN;NOM;MASC;SG;3	V;PRS
اُپلانا	float	اُپلانا	float	PROPN;NOM;MASC;SG;3	N;SG
اُپلانا	dryf	اُپلانا	dryf	PROPN;NOM;MASC;SG;3	V;PRS
اپمان	disgrace	اپمان	disgrace	PROPN;NOM;MASC;SG;3	
اپن	myne	اپن	myne		N;PL
اپنا	persoonlik	اپنا	persoonlik	PRO;NOM;SG;3	ADV
اپنا	persoonlike	اپنا	persoonlik	PRO;NOM;SG;3	ADJ;NOM
اپنا	ons	اپنا	ons	PRO;NOM;SG;3	PRO;PL;1
اپنا	individuele	اپنا	individueel	PRO;NOM;SG;3	ADJ;NOM
اپنا	individu	اپنا	individu	PRO;NOM;SG;3	N;SG
اپنا	eksklusiewe	اپنا	eksklusief	PRO;NOM;SG;3	ADJ;NOM
اپنا	vennoot	اپنا	vennoot	PRO;NOM;SG;3	V;PRS
اپنا	maat	اپنا	maat	PRO;NOM;SG;3	N;SG
اپنا	lewensmaat	اپنا	lewensmaat	PRO;NOM;SG;3	N;SG
اپنا	metgesel	اپنا	metgesel	PRO;NOM;SG;3	N;SG
اپنا	myne	اپنا	myne	PRO;NOM;SG;3	N;PL
اپنا	ours	اپنا	our	PRO;NOM;SG;3	
اپنا	relatief	اپنا	relatief	PRO;NOM;SG;3	
اپنا	relatiewe	اپنا	relatief	PRO;NOM;SG;3	
اپنا	eie	اپنا	eie	PRO;NOM;SG;3	ADJ;NOM
اپنا	persoonlik	اپنا	persoonlik	PRO;NOM;SG;3	ADV
اپنا	persoonlike	اپنا	persoonlik	PRO;NOM;SG;3	ADJ;NOM
اپنا	vriend	اپنا	vriend	PRO;NOM;SG;3	N;SG
اپنا	ons	اپنا	ons	PRO;NOM;SG;3	PRO;PL;1
اپنا	individuele	اپنا	individueel	PRO;NOM;SG;3	ADJ;NOM
اپنا	individu	اپنا	individu	PRO;NOM;SG;3	N;SG
اپنا	eksklusiewe	اپنا	eksklusief	PRO;NOM;SG;3	ADJ;NOM
اپنا	vennoot	اپنا	vennoot	PRO;NOM;SG;3	V;PRS
اپنا	maat	اپنا	maat	PRO;NOM;SG;3	N;SG
اپنا	lewensmaat	اپنا	lewensmaat	PRO;NOM;SG;3	N;SG
اپنا	metgesel	اپنا	metgesel	PRO;NOM;SG;3	N;SG
اپنا	myne	اپنا	myne	PRO;NOM;SG;3	N;PL
اپنا	ours	اپنا	our	PRO;NOM;SG;3	
اپنا	relatief	اپنا	relatief	PRO;NOM;SG;3	
اپنا	relatiewe	اپنا	relatief	PRO;NOM;SG;3	
اپنا	eie	اپنا	eie	PRO;NOM;SG;3	ADJ;NOM
اپنا	privaat	اپنا	privaat	PRO;NOM;SG;3	ADJ;NOM
اپنائِیت	vriendelikheid	اپنائِیت	vriendelikheid	PROPN;NOM;MASC;SG;3	
اپنگ	gestremde	اپنگ	strem		PRO
اپنگ	geaktiveer	اپنگ	aktiveer		V;PST;V.PTCP
اپنگ	afgeskakel	اپنگ	afskakel		V;PST;V.PTCP
اپواد	blameer	اپواد	blameer	PROPN;NOM;MASC;SG;3	V;PRS
اُپواس	vinnig	اُپواس	vinnig	PROPN;NOM;MASC;SG;3	
اُپواس	vinnige	اُپواس	vinnig	PROPN;NOM;MASC;SG;3	ADJ;NOM
اُپواس	rasend	اُپواس	rasend	PROPN;NOM;MASC;SG;3	ADV
اُپوَن	grove	اُپوَن	grove	PROPN;NOM;MASC;SG;3	
اُپوَن	tuin	اُپوَن	tuin	PROPN;NOM;MASC;SG;3	N;SG
اپیل	appelleer	اپیل	appelleer	N;NOM;MASC;SG;3	V;PRS
اپھار	swelling	اپھار	swelling	PROPN;NOM;MASC;SG;3	N;SG
اپھار	swelsel	اپھار	swelsel	PROPN;NOM;MASC;SG;3	N;SG
اُپھان	skuim	اُپھان	skuim	PROPN;NOM;MASC;SG;3	N;SG
اُپھان	swelling	اُپھان	swelling	PROPN;NOM;MASC;SG;3	N;SG
اُپھان	swelsel	اُپھان	swelsel	PROPN;NOM;MASC;SG;3	N;SG
اپھر	swelling	اپھر	swelling		N;SG
اپھر	swelsel	اپھر	swelsel		N;SG
اپھرا	tevrede	اپھرا	tevrede	PROPN;NOM;MASC;SG;3	
اتا	vader	اتا	vader		N;SG
اتابِک	tutor	اتابِک	tutor	PROPN;NOM;MASC;SG;3	N;SG
اتابِک	onderwyser	اتابِک	onderwyser	PROPN;NOM;MASC;SG;3	N;SG
اتاپتا	location	اتاپتا	location	PROPN;NOM;MASC;SG;3	
اتاپتا	ligging	اتاپتا	ligging	PROPN;NOM;MASC;SG;3	N;SG
اتاپتا	trace	اتاپتا	trace	PROPN;NOM;MASC;SG;3	
اُتار	descent	اُتار	descent	N;NOM;MASC;SG;3	
اُتار	verminder	اُتار	verminder	N;NOM;MASC;SG;3	V;PRS
اُتار	herfs	اُتار	herfs	N;NOM;MASC;SG;3	V;PRS
اُتار	val	اُتار	val	N;NOM;MASC;SG;3	V;PRS
اُتار	weier	اُتار	weier	N;NOM;MASC;SG;3	V;PRS
اُتار	ebb	اُتار	ebb	N;NOM;MASC;SG;3	
اُتارا	wharf	اُتارا	wharf	PROPN;NOM;MASC;SG;3	
اُتارا	kontant	اُتارا	kontant	PROPN;NOM;MASC;SG;3	
اُتارا	kopieer	اُتارا	kopieer	PROPN;NOM;MASC;SG;3	V;PRS
اُتارا	bokant	اُتارا	bokant	PROPN;NOM;MASC;SG;3	
اُتارا	kopiereg	اُتارا	kopiereg	PROPN;NOM;MASC;SG;3	N;SG
اُتارا	duplikaat	اُتارا	duplikaat	PROPN;NOM;MASC;SG;3	N;SG
اُتارا	dupliseer	اُتارا	dupliseer	PROPN;NOM;MASC;SG;3	V;PRS
اُتارنا	bokant	اُتار	bokant	V;NFIN;ACT	
اُتارنا	kopiereg	اُتار	kopiereg	V;NFIN;ACT	N;SG
اُتارنا	bokant	اُتار	bokant	V;NFIN;ACT	
اُتارنا	kopiereg	اُتار	kopiereg	V;NFIN;ACT	N;SG
اُتارنا	kleinletters	اُتار	kleinletter	V;NFIN;ACT	N;PL
اُتارنا	sagter	اُتار	sagter	V;NFIN;ACT	
اُتارنا	elektrisiteit	اُتار	elektrisiteit	V;NFIN;ACT	N;SG
اُتارُو	bereid	اُتارُو	bereid	PROPN;NOM;MASC;SG;3	
اُتارُو	prepared	اُتارُو	prepared	PROPN;NOM;MASC;SG;3	
اُتاق	kamer	اُتاق	kamer		N;SG
اُتاقا	hoephoep	اُتاقا	hoephoep	PROPN;NOM;MASC;SG;3	
اُتال	ongeduldig	اُتال	ongeduldig		ADV
اتالیق	onderwyser	اتالیق	onderwyser	PROPN;NOM;MASC;SG;3	N;SG
اتالیق	mentor	اتالیق	mentor	PROPN;NOM;MASC;SG;3	
اتالیق	instrukteur	اتالیق	instrukteur	PROPN;NOM;MASC;SG;3	N;SG
اُتاول	onrus	اُتاول	onrus	PROPN;NOM;MASC;SG;3	V;PRS
اُتاول	ongeduldig	اُتاول	ongeduldig	PROPN;NOM;MASC;SG;3	ADV
اُتاول	onrus	اُتاول	onrus	PROPN;NOM;MASC;SG;3	V;PRS
اُتاولا	ongeduldig	اُتاولا	ongeduldig	PROPN;NOM;MASC;SG;3	ADV
اِتّباع	volg	اِتّباع	volg	PROPN;NOM;MASC;SG;3	V;PRS
اِتّحاد	union	اِتّحاد	union	PROPN;NOM;MASC;SG;3	
اِتّحاد	unie	اِتّحاد	unie	PROPN;NOM;MASC;SG;3	N;SG
اِتّحاد	liga	اِتّحاد	liga	PROPN;NOM;MASC;SG;3	N;SG
