что	מה	что	מה	PRO;NOM	ADV
реки	נהר	река	נהר	N;INAN;NOM;FEM;PL	PROPN
реки	ריברס	река	ריברס	N;INAN;NOM;FEM;PL	PROPN
статус	הסטטוס	статус	הסטטוס	N;INAN;NOM;MASC;SG	PROPN
статус	סטטוס	статус	סטטוס	N;INAN;NOM;MASC;SG	
годы	שנה	год	שנה	N;INAN;ACC;MASC;PL	N;FEM;SG
через	דרך	через	דרך	ADP	
через	ויה	через	ויה	ADP	PROPN
через	דרך	через	דרך	ADP	
национальный	לאומי	национальный	לאומי	ADJ;NOM;MASC;SG	PROPN
национальный	לאומית	национальный	לאומי	ADJ;NOM;MASC;SG	ADV
область	נפה	область	נפה	N;INAN;NOM;FEM;SG	PROPN
область	אובלסט	область	אובלסט	N;INAN;NOM;FEM;SG	PROPN
область	האזור	область	האזור	N;INAN;NOM;FEM;SG	PROPN
список	הרשימה	список	הרשים	N;INAN;NOM;MASC;SG	V;FEM;SG;3;PST;ACT
сельское	כפרי	сельский	כפר	ADJ;NOM;NEUT;SG	PROPN
сельское	כפרית	сельский	כפרי	ADJ;NOM;NEUT;SG	ADV
сельское	הכפרית	сельский	הכפרית	ADJ;NOM;NEUT;SG	ADV
сайт	האתר	сайт	האתר	N;INAN;NOM;MASC;SG	
века	מאות	век	מאות	N;INAN;NOM;MASC;PL	NUM;FEM;PL
официальный	רישמי	официальный	רישמי	ADJ;NOM;MASC;SG	PROPN
этот	זה	этот	זה	DET;NOM;MASC;SG	PRO;MASC;SG;3
будет	ויל	быть	ויל	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
будет	וויל	быть	וויל	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
несколько	מרובה	несколько	מרובה	ADV	ADJ;FEM;SG
несколько	מרובות	несколько	מרובה	ADV	ADJ;FEM;PL
несколько	ריבוי	несколько	ריבוי	ADV	N;MASC;SG
город	טאון	город	טאון	N;INAN;NOM;MASC;SG	PROPN
город	העיר	город	העיר	N;INAN;NOM;MASC;SG	V;MASC;SG;3;PST;ACT
город	העיר	город	העיר	N;INAN;NOM;MASC;SG	V;MASC;SG;3;PST;ACT
мира	שלום	мир	שלום	N;INAN;GEN;MASC;SG	PROPN
мира	השלום	мир	השלום	N;INAN;GEN;MASC;SG	
мира	שלווה	мир	שלווה	N;INAN;GEN;MASC;SG	
мира	מירה	мир	מירה	N;INAN;GEN;MASC;SG	PROPN
первое	ראשון	первый	ראשון	ADJ;NOM;NEUT;SG	PROPN
первое	קודם	первый	קודם	ADJ;NOM;NEUT;SG	ADV
первое	ראשית	первый	ראשית	ADJ;NOM;NEUT;SG	ADV
первое	תחילה	первый	תחילה	ADJ;NOM;NEUT;SG	ADV
чем	מאשר	чем	מאשר	CONJ	CONJ
описание	התיאור	описание	התיאור	N;INAN;NOM;NEUT;SG	PROPN
всего	הכולל	все	הכולל	PRO;INAN;GEN;NEUT;SG	PROPN
первый	ראשון	первый	ראשון	ADJ;NOM;MASC;SG	PROPN
первый	קודם	первый	קודם	ADJ;NOM;MASC;SG	ADV
первый	ראשית	первый	ראשית	ADJ;NOM;MASC;SG	ADV
первый	תחילה	первый	תחילה	ADJ;NOM;MASC;SG	ADV
файл	קובץ	файл	קובץ	N;INAN;NOM;MASC;SG	PROPN
файл	הקובץ	файл	הקובץ	N;INAN;NOM;MASC;SG	PROPN
всех	כולם	все	None	PRO;ANIM;ACC;PL	N;MASC;PL
всех	הכל	все	הכיל	PRO;ANIM;ACC;PL	N
всех	כל	все	כול	PRO;ANIM;ACC;PL	DET;PSSD
всех	כולם	все	None	PRO;ANIM;ACC;PL	N;MASC;PL
раз	פעם	раз	פעם	CONJ	ADV
второй	שניה	второй	שניה	ADJ;NOM;MASC;SG	NUM;FEM;SG
второй	שנייה	второй	שנייה	ADJ;NOM;MASC;SG	NUM;FEM;SG
второй	שני	второй	שני	ADJ;NOM;MASC;SG	NUM;MASC;PL
второй	שנית	второй	שנית	ADJ;NOM;MASC;SG	
карта	מפת	карта	מפה	N;INAN;NOM;FEM;SG	
карта	המפה	карта	המפה	N;INAN;NOM;FEM;SG	
карта	קארד	карта	קארד	N;INAN;NOM;FEM;SG	PROPN
карта	קלף	карта	קלף	N;INAN;NOM;FEM;SG	PROPN
площадь	פלאזה	площадь	פלאזה	N;INAN;NOM;FEM;SG	PROPN
площадь	סקוור	площадь	סקוור	N;INAN;NOM;FEM;SG	PROPN
площадь	כיכר	площадь	כיכר	N;INAN;NOM;FEM;SG	PROPN
площадь	ריבוע	площадь	ריבוע	N;INAN;NOM;FEM;SG	PROPN
площадь	מרובע	площадь	מרובע	N;INAN;NOM;FEM;SG	PROPN
площадь	האזור	площадь	האזור	N;INAN;NOM;FEM;SG	PROPN
всё	הכול	все	הכול	PRO;INAN;NOM;NEUT;SG	
всё	הכל	все	הכיל	PRO;INAN;NOM;NEUT;SG	N
даже	אפילו	даже	אפילו	PART	CONJ
затем	ואז	затем	ואז	ADV	
группы	חבורה	группа	חבורה	N;INAN;NOM;FEM;PL	N;FEM;SG
группы	הקבוצה	группа	הקבוצה	N;INAN;NOM;FEM;PL	PROPN
группы	קבוצה	группа	קבוצה	N;INAN;NOM;FEM;PL	N;FEM;SG
основания	עילה	основание	עילה	N;INAN;NOM;NEUT;PL	N;FEM;SG
над	נגמר	над	נגמר	ADP	V;MASC;SG;V.PTCP;MID
страны	מדינה	страна	מדינה	N;INAN;NOM;FEM;PL	N;FEM;SG
страны	ארץ	страна	ארץ	N;INAN;NOM;FEM;PL	N;FEM;SG
страны	ארצי	страна	ארצי	N;INAN;NOM;FEM;PL	PROPN
ему	בו	он	ב	PRO;DAT;MASC;SG;3	ADP
ему	אותו	он	None	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
входит	נכנס	входить	נכנס	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;MID
индекс	אינדקס	индекс	אינדקס	N;INAN;NOM;MASC;SG	
улица	סטריט	улица	סטריט	N;INAN;NOM;FEM;SG	PROPN
население	דמוגרפיה	население	דמוגרפיה	N;INAN;NOM;NEUT;SG	PROPN
работы	עבודה	работа	עבודה	N;INAN;NOM;FEM;PL	N;FEM;SG
вместе	ביחד	вместе	ביחד	ADV	
упоминание	להזכיר	упоминание	הזכיר	N;INAN;NOM;NEUT;SG	V;NFIN;ACT
истории	היסטוריה	история	היסטוריה	N;INAN;NOM;FEM;PL	N;FEM;SG
истории	ההיסטוריה	история	ההיסטוריה	N;INAN;NOM;FEM;PL	N;FEM;SG
которая	אשר	который	אשר	PRO;NOM	CONJ
которая	איזה	который	איזה	PRO;NOM	
александр	אלכסנדר	александр	אלכסנדר	N;ANIM;NOM;MASC;SG	PROPN
армии	צבאות	армия	צבא	N;INAN;NOM;FEM;SG	N;MASC;PL
деление	הדיוויזיה	деление	הדיוויזיה	N;INAN;NOM;NEUT;SG	PROPN
хотя	למרות	хотя	למרות	CONJ	ADP
хотя	למרות	хотя	למרות	CONJ	ADP
кроме	מלבד	кроме	מלבד	ADP	
другие	אחר	другой	אחר	ADJ;NOM;PL	ADP
другие	ואחרים	другой	ואחר	ADJ;NOM;PL	PROPN
себя	לעצמי	себя	לעצמי	PRO;ACC	
себя	בעצמי	себя	בעצמי	PRO;ACC	ADV
себя	בעצמך	себя	בעצמך	PRO;ACC	ADV
совета	המועצה	совет	המועצה	N;INAN;GEN;MASC;SG	PROPN
рождения	לידת	рождение	לידה	N;INAN;NOM;NEUT;SG	PROPN
времени	הזמן	время	הזמן	N;INAN;GEN;NEUT;SG	
времени	טיים	время	טיים	N;INAN;GEN;NEUT;SG	PROPN
участник	משתתפים	участник	השתתף	N;ANIM;NOM;MASC;SG	V;MASC;PL;V.PTCP
участник	משתתפת	участник	השתתף	N;ANIM;NOM;MASC;SG	V;FEM;SG;V.PTCP
участник	משתתף	участник	השתתף	N;ANIM;NOM;MASC;SG	V;MASC;SG;V.PTCP
страница	דף	страница	דף	N;INAN;NOM;FEM;SG	
страница	עמוד	страница	עמוד	N;INAN;NOM;FEM;SG	
страница	הדף	страница	הדף	N;INAN;NOM;FEM;SG	
википедии	ויקיפדיה	википедия	ויקיפדיה	N;INAN;NOM;FEM;PL	PROPN
три	three	три	three	NUM;NOM	
человека	אנוש	человек	אנוש	N;ANIM;ACC;MASC;SG	
человека	אנושי	человек	אנושי	N;ANIM;ACC;MASC;SG	ADJ;MASC;SG
автор	מחבר	автор	מחבר	N;ANIM;NOM;MASC;SG	
автор	שחיבר	автор	שחיבר	N;ANIM;NOM;MASC;SG	PROPN
республики	רפובליקה	республика	רפובליקה	N;INAN;NOM;FEM;PL	N;FEM;SG
республики	הרפובליקה	республика	הרפובליקה	N;INAN;NOM;FEM;PL	N;FEM;SG
внутреннее	פנימית	внутренний	פנימי	ADJ;NOM;NEUT;SG	ADV
внутреннее	פנימיות	внутренний	פנימייה	ADJ;NOM;NEUT;SG	N;FEM;PL
внутреннее	פנימי	внутренний	פנימי	ADJ;NOM;NEUT;SG	
эти	אלו	этот	אלו	DET;NOM;PL	PRO;PL;3
эти	אלה	этот	אלה	DET;NOM;PL	PRO;MASC;PL;3
случае	קייס	случай	קייס	N;INAN;ESS;MASC;SG	PROPN
центр	המרכז	центр	המרכז	N;INAN;NOM;MASC;SG	PROPN
центр	סנטר	центр	סנטר	N;INAN;NOM;MASC;SG	PROPN
центр	המרכז	центр	המרכז	N;INAN;NOM;MASC;SG	PROPN
округ	המחוז	округ	המחוז	N;INAN;NOM;MASC;SG	
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	
жизни	החיים	жизнь	החיים	N;INAN;NOM;FEM;PL	ADV
жизни	חיים	жизнь	חיים	N;INAN;NOM;FEM;PL	PROPN
генерал	כללי	генерал	כלל	N;ANIM;NOM;MASC;SG	N;MASC;PL
родился	נולדו	рождаться	נולד	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PL;3;PST;MID
союза	האיחוד	союз	האיחוד	N;INAN;GEN;MASC;SG	PROPN
кто	מי	кто	מי	PRO;NOM	ADV
связи	תקשורת	связь	תקשורת	N;INAN;NOM;FEM;PL	N;FEM;SG
день	day	день	day	N;INAN;NOM;MASC;SG	
именно	בדיוק	именно	בדיוק	PART	ADV
округа	מחוזות	округ	מחוז	N;INAN;GEN;MASC;SG	N;MASC;PL
округа	מחוזות	округ	מחוז	N;INAN;GEN;MASC;SG	N;MASC;PL
франции	צרפת	франция	צרפת	N;INAN;NOM;FEM;PL	PROPN
группа	הקבוצה	группа	הקבוצה	N;INAN;NOM;FEM;SG	PROPN
имя	השם	имя	השם	N;INAN;NOM;NEUT;SG	
имя	שם	имя	שם	N;INAN;NOM;NEUT;SG	ADV
цифровой	דיגיטלית	цифровой	דיגיטלי	ADJ;NOM;MASC;SG	PROPN
цифровой	דיגיטלי	цифровой	דיגיטלי	ADJ;NOM;MASC;SG	PROPN
поэтому	לכן	поэтому	לכן	ADV	CONJ
поэтому	לפיכך	поэтому	לפיכך	ADV	CONJ
просто	פשוט	просто	פשוט	PART	
просто	רק	просто	רק	PART	ADV
тогда	ואז	тогда	ואז	ADV	
конце	סוף	конец	None	N;INAN;ESS;MASC;SG	ADV
конце	סופו	конец	סופה	N;INAN;ESS;MASC;SG	
конце	קץ	конец	קץ	N;INAN;ESS;MASC;SG	
отечественной	פטריוטי	отечественный	פטריוטי	ADJ;INS;FEM;SG	N;MASC;SG
отечественной	פטריוטיות	отечественный	פטריוטיות	ADJ;INS;FEM;SG	N;FEM;SG
вот	פה	вот	פה	PART	ADV
вот	כאן	вот	כאן	PART	ADV
церкви	כנסיות	церковь	כנסיה	N;INAN;NOM;FEM;SG	N;FEM;PL
церкви	כנסיה	церковь	כנסיה	N;INAN;NOM;FEM;SG	PROPN
клуб	קלאב	клуб	קלאב	N;INAN;NOM;MASC;SG	PROPN
клуб	המועדון	клуб	המועדון	N;INAN;NOM;MASC;SG	PROPN
федерации	הפדרציה	федерация	הפדרציה	N;INAN;NOM;FEM;PL	PROPN
наиболее	רובם	наиболее	None	ADV	N;MASC;SG
наиболее	רוב	наиболее	רוב	ADV	N;MASC;SG
наиболее	הרוב	наиболее	הרוב	ADV	
наиболее	הכי	наиболее	הכי	ADV	
изображения	תדמית	изображение	תדמית	N;INAN;NOM;NEUT;PL	N;FEM;SG
изображения	התמונה	изображение	התמונה	N;INAN;NOM;NEUT;PL	V;FEM;SG;3;PST
изображения	תמונה	изображение	תמונה	N;INAN;NOM;NEUT;PL	N;FEM;SG
советский	הסובייטי	советский	הסובייטי	ADJ;NOM;MASC;SG	PROPN
советский	סובייטי	советский	סובייטי	ADJ;NOM;MASC;SG	PROPN
степени	דרגה	степень	דרגה	N;INAN;NOM;FEM;PL	N;FEM;SG
степени	תואר	степень	תואר	N;INAN;NOM;FEM;PL	N;MASC;SG
изображение	התמונה	изображение	התמונה	N;INAN;NOM;NEUT;SG	V;FEM;SG;3;PST
награды	גמול	награда	גמול	N;INAN;NOM;FEM;PL	PROPN
ранее	בעבר	ранее	בעבר	ADV	
википедия	ויקיפדיה	википедия	ויקיפדיה	N;INAN;NOM;FEM;SG	PROPN
германии	גרמנית	германия	גרמנית	N;INAN;ESS;NEUT;SG	PROPN
германии	גרמנים	германия	גרמני	N;INAN;ESS;NEUT;SG	N;MASC;PL
германии	גרמניה	германия	גרמניה	N;INAN;ESS;NEUT;SG	PROPN
германии	גרמניה	германия	גרמניה	N;INAN;ESS;NEUT;SG	PROPN
владимир	ולדימיר	владимир	ולדימיר	N;ANIM;NOM;MASC;SG	PROPN
москва	מוסקבה	москва	מוסקבה	N;INAN;NOM;FEM;SG	PROPN
стала	הפכו	стать	הפך	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;PL;3;PST
стороны	צד	сторона	צד	N;INAN;NOM;FEM;PL	N;MASC;SG
стороны	מסיבות	сторона	מסיבה	N;INAN;NOM;FEM;PL	
совет	המועצה	совет	המועצה	N;INAN;NOM;MASC;SG	PROPN
академии	אקדמיה	академия	אקדמיה	N;INAN;NOM;FEM;PL	PROPN
николай	ניקולאי	николай	ניקולאי	N;ANIM;NOM;MASC;SG	PROPN
николай	ניקולאי	николай	ניקולאי	N;ANIM;NOM;MASC;SG	PROPN
николай	ניקולאס	николай	ניקולאס	N;ANIM;NOM;MASC;SG	PROPN
николай	ניקולס	николай	ניקולס	N;ANIM;NOM;MASC;SG	PROPN
николай	ניקולאי	николай	ניקולאי	N;ANIM;NOM;MASC;SG	PROPN
некоторые	חלקם	некоторый	חלקם	DET;NOM;PL	
роль	התפקיד	роль	התפקיד	N;INAN;NOM;FEM;SG	V;PL;1;PST;ACT
дом	הביתה	дом	הביתה	N;INAN;NOM;MASC;SG	ADV
дом	הום	дом	הום	N;INAN;NOM;MASC;SG	
дом	בבית	дом	בבית	N;INAN;NOM;MASC;SG	
дом	הבית	дом	הבית	N;INAN;NOM;MASC;SG	ADV
дом	home	дом	home	N;INAN;NOM;MASC;SG	
дом	דום	дом	דום	N;INAN;NOM;MASC;SG	PROPN
дом	הבית	дом	הבית	N;INAN;NOM;MASC;SG	ADV
дом	האוס	дом	האוס	N;INAN;NOM;MASC;SG	PROPN
высоты	הייטס	высота	הייטס	N;INAN;NOM;FEM;PL	PROPN
русский	רוסייה	русский	רוסייה	ADJ;NOM;MASC;SG	PROPN
русский	רוסית	русский	רוסית	ADJ;NOM;MASC;SG	PROPN
русский	רוסי	русский	רוסי	ADJ;NOM;MASC;SG	N;MASC;SG
член	פין	член	פין	N;ANIM;NOM;MASC;SG	
член	בולבול	член	בולבול	N;ANIM;NOM;MASC;SG	PROPN
член	דיק	член	שדיק	N;ANIM;NOM;MASC;SG	PROPN
член	זין	член	זין	N;ANIM;NOM;MASC;SG	
сам	לעצמי	сам	לעצמי	ADJ;NOM;MASC;SG	
сам	בעצמי	сам	בעצמי	ADJ;NOM;MASC;SG	ADV
сам	עצמי	сам	עצמו	ADJ;NOM;MASC;SG	PRO;SG;1;REFL
сын	בני	сын	בני	N;ANIM;NOM;MASC;SG	PROPN
сын	בן	сын	בן	N;ANIM;NOM;MASC;SG	PROPN
пока	ביי	пока	בייא	CONJ	PROPN
общины	הקהילה	община	הקהיל	N;INAN;NOM;FEM;PL	N;FEM;SG
общины	קהילה	община	קהילה	N;INAN;NOM;FEM;PL	N;FEM;SG
число	המספר	число	המספר	N;INAN;NOM;NEUT;SG	PROPN
эта	זה	этот	זה	DET;NOM;FEM;SG	PRO;MASC;SG;3
нужно	צורך	нужный	צורך	ADJ;NEUT;SG	N;MASC;SG
нужно	צריך	нужный	צריך	ADJ;NEUT;SG	V;MASC;SG
большой	גדולים	большой	גדול	ADJ;NOM;MASC;SG	ADJ;MASC;PL
большой	ביג	большой	ביג	ADJ;NOM;MASC;SG	
большой	גדולים	большой	גדול	ADJ;NOM;MASC;SG	ADJ;MASC;PL
количество	המספר	количество	המספר	N;INAN;NOM;NEUT;SG	PROPN
институт	המכון	институт	המכון	N;INAN;NOM;MASC;SG	
институт	המוסד	институт	המוסד	N;INAN;NOM;MASC;SG	
институт	המוסד	институт	המוסד	N;INAN;NOM;MASC;SG	
компании	החברה	компания	החברה	N;INAN;NOM;FEM;PL	N;FEM;SG
компании	חברה	компания	חברה	N;INAN;NOM;FEM;PL	N;FEM;SG
компании	פלוגה	компания	פלוגה	N;INAN;NOM;FEM;PL	N;FEM;SG
церковь	כנסיה	церковь	כנסיה	N;INAN;NOM;FEM;SG	PROPN
советского	הסובייטי	советский	הסובייטי	ADJ;GEN;MASC;SG	PROPN
советского	סובייטי	советский	סובייטי	ADJ;GEN;MASC;SG	PROPN
проект	פרוייקט	проект	פרוייקט	N;INAN;NOM;MASC;SG	PROPN
много	המון	много	המון	ADV	
много	רבות	много	רב	ADV	N;FEM;PL
много	רבים	много	רב	ADV	V;MASC;PL;V.PTCP;ACT
сельский	כפרי	сельский	כפר	ADJ;NOM;MASC;SG	PROPN
сельский	כפרית	сельский	כפרי	ADJ;NOM;MASC;SG	ADV
сельский	הכפרית	сельский	הכפרית	ADJ;NOM;MASC;SG	ADV
сельский	כפרי	сельский	כפר	ADJ;NOM;MASC;SG	PROPN
вопрос	גיליון	вопрос	גיליון	N;INAN;NOM;MASC;SG	PROPN
вопрос	השאלה	вопрос	השאלה	N;INAN;NOM;MASC;SG	PROPN
новый	חדשים	новый	חדש	ADJ;NOM;MASC;SG	ADJ;MASC;PL
тоже	גם	тоже	גם	PART	ADV
тоже	מדי	тоже	מדי	PART	ADV
фильмы	קולנוע	фильм	קולנוע	N;INAN;NOM;MASC;PL	N;MASC;SG
часто	תכופים	часто	תכוף	ADV	ADJ;MASC;PL
партии	מסיבות	партия	מסיבה	N;INAN;NOM;FEM;PL	
настоящее	מתנה	настоящий	מתנה	ADJ;NOM;NEUT;SG	
настоящее	הווה	настоящий	הווה	ADJ;NOM;NEUT;SG	PROPN
настоящее	נוכח	настоящий	נוכח	ADJ;NOM;NEUT;SG	
стали	פלדה	стать	פלד	V;PFV;IND;PL;PST;FIN;ACT	N;FEM;SG
европы	אירופה	европа	אירופה	N;INAN;NOM;FEM;SG	PROPN
организации	ארגון	организация	ארגון	N;INAN;NOM;FEM;PL	N;MASC;SG
организации	הארגון	организация	הארגון	N;INAN;NOM;FEM;PL	PROPN
империи	אמפייר	империя	אמפייר	N;INAN;NOM;FEM;PL	PROPN
империи	אימפריה	империя	אימפריה	N;INAN;NOM;FEM;PL	PROPN
империи	האימפריה	империя	האימפריה	N;INAN;NOM;FEM;PL	PROPN
река	ריבר	река	ריבר	N;INAN;NOM;FEM;SG	PROPN
река	הנהר	река	הנהר	N;INAN;NOM;FEM;SG	
река	נהר	река	נהר	N;INAN;NOM;FEM;SG	PROPN
участников	משתתפים	участник	השתתף	N;ANIM;GEN;MASC;PL	V;MASC;PL;V.PTCP
альбом	האלבום	альбый	האלבום	N;INAN;NOM;MASC;SG	PROPN
одна	לבדי	один	לבדי	DET;NOM;FEM;SG	
одна	לבדו	один	לבד	DET;NOM;FEM;SG	
одна	לבד	один	לבד	DET;NOM;FEM;SG	
одна	אחת	один	אחת	DET;NOM;FEM;SG	NUM;FEM;SG
одна	אחד	один	אחד	DET;NOM;FEM;SG	NUM;MASC;SG
станции	תחנה	станция	תחנה	N;INAN;NOM;FEM;PL	N;FEM;SG
