funkcjonowanie	العمليات	funkcjonowanie	عَمَلِيَّة	N;NOM;NEUT;SG	N;NOM;DEF;PL
chóru	جوقة	chór	جُوقَة		N;NOM;INDF;SG
chóru	الجوقة	chór	جُوقَة		N;NOM;DEF;SG
chóru	كورس	chór	كُورس		
chóru	الكورس	chór	الكورس		N;NOM;DEF;SG
starcia	المواجهات	starcie	مُوَاجَهَة	N;NOM;NEUT;SG	N;NOM;DEF;PL
starcia	الاشتباكات	starcie	اِشتِبَاك	N;NOM;NEUT;SG	N;NOM;DEF;PL
starcia	اشتباكات	starcie	اِشتِبَاك	N;NOM;NEUT;SG	N;NOM;INDF;PL
starcia	مواجهات	starcie	مُوَاجَهَة	N;NOM;NEUT;SG	N;NOM;INDF;PL
stacjonował	المتمركزة	stacjonować	مُتَمَركِز	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;NOM;DEF;SG
maroka	مغربي	marok	مَغرِبِيّ	PROPN;GEN;MASC;SG	ADJ;NOM;INDF;MASC;SG
maroka	مغربية	marok	مَغرِبِيّ	PROPN;GEN;MASC;SG	ADJ;NOM;INDF;FEM;SG
maroka	المغربي	marok	مَغرِبِيّ	PROPN;GEN;MASC;SG	N;NOM;DEF;SG
athletic	رياضي	athletic	رِيَاضِيّ		N;NOM;INDF;SG
aresztowania	الاعتقالات	aresztowanie	اِعتِقَال	N;GEN;NEUT;SG	N;NOM;DEF;PL
aresztowania	اعتقالات	aresztowanie	اِعتِقَال	N;GEN;NEUT;SG	N;NOM;INDF;PL
okien	windo	okno	مُثَثَّذ		
okien	النوافذ	okno	نَافِذ		N;NOM;DEF;PL
okien	ويندوز	okno	ويندوز		
okien	نوافذ	okno	نَافِذ		N;NOM;INDF;PL
karen	كارين	karen	كَارّ	PROPN;NOM;FEM;SG	
karen	كارن	karen	كَارِن	PROPN;NOM;FEM;SG	
odpowiedni	مناسبة	odpowiedni	مُنَاسَبَة	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
śledztwo	التحقيقات	śledztwo	تَحقِيق	N;NOM;NEUT;SG	N;NOM;DEF;PL
enwiki	enwik	enwik	enwik		
względnie	نسبيا	względnie	نِسبِيّ	ADV	ADJ;ACC;INDF;MASC;SG
praktyczny	العملي	praktyczny	عَمَلِيّ	ADJ;NOM;MASC;SG	
ograniczony	محدودا	ograniczyć	مَحدُود	ADJ;NOM;MASC;SG	ADJ;ACC;INDF;MASC;SG
ograniczony	محدودية	ograniczyć	مَحدُودِيَّة	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
arabskie	العرب	arabski	عَرَب	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
arabskie	عرب	arabski	عرب	ADJ;NOM;NEUT;SG	
arabskie	بالعربي	arabski	بالعربي	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
arabskie	بالعربية	arabski	بَالِعربِيّ	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
lewo	اليسار	lewo	يَسَار		N;NOM;DEF;SG
lewo	يسار	lewo	سَار		
dno	القاع	dno	قَاع		N;NOM;DEF;SG
dno	قاع	dno	قَاع		N;NOM;INDF;SG
kopenhadze	كوبنهاغن	kopenhadz	كُوبِنهَاغِن	PROPN;DAT;MASC;SG	
wyścigi	السباق	wyścig	سِبَاق	N;NOM;MASC;PL	N;NOM;DEF;SG
wyścigi	سباق	wyścig	سِبَاق	N;NOM;MASC;PL	N;NOM;INDF;SG
holland	هولاند	holland	هولاند		
holland	هولندا	holland	هولندا		
dotarły	وصل	dotrzeć	وَصَل	V;PFV;FEM;IND;PL;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
dotarły	وصلت	dotrzeć	وَصَل	V;PFV;FEM;IND;PL;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
sumy	المبلغ	suma	مَبلَغ		N;NOM;DEF;SG
sumy	مبلغ	suma	مَبلَغ		N;NOM;INDF;SG
sumy	المبالغ	suma	مَبلَغ		N;NOM;DEF;PL
sumy	مبالغ	suma	مَبلَغ		N;NOM;INDF;SG
sumy	المجموع	suma	مَجمُوع		N;NOM;DEF;SG
sumy	المجاميع	suma	مَجمُوع		N;NOM;DEF;PL
bractwa	الاخوة	bractwo	أُخُوَّة	N;ACC;NEUT;SG	N;NOM;DEF;SG
bractwa	الاخوان	bractwo	أَخ	N;ACC;NEUT;SG	N;NOM;DEF;PL
tajemnica	لغز	tajemnica	لغز	N;NOM;FEM;SG	
tajemnica	سر	tajemnica	سر	N;NOM;FEM;SG	
tajemnica	سري	tajemnica	سري	N;NOM;FEM;SG	
tajemnica	سرية	tajemnica	سِرِّيّ	N;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
kraina	ارض	kraina	ارض	N;NOM;FEM;SG	
kraina	اراض	kraina	أَرض	N;NOM;FEM;SG	N;NOM;INDF;PL
kraina	الاراضي	kraina	أَرض	N;NOM;FEM;SG	N;NOM;DEF;PL
szeregi	الرتب	szereg	رُتبَة	N;ACC;MASC;SG	N;NOM;DEF;PL
szeregi	مسلسل	szereg	مُسَلسَل	N;ACC;MASC;SG	N;NOM;INDF;SG
szeregi	سلسلة	szereg	سِلسِلَة	N;ACC;MASC;SG	N;NOM;INDF;SG
szeregi	السلسلة	szereg	سِلسِلَة	N;ACC;MASC;SG	N;NOM;DEF;SG
szeregi	مسلسلات	szereg	مُسلِسِلّ	N;ACC;MASC;SG	N;NOM;INDF;PL
potrzebny	حاجة	potrzebny	حَاجَة	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
potrzebny	الحاجة	potrzebny	حَاجَة	ADJ;NOM;MASC;SG	N;NOM;DEF;SG
oryginalna	اصلي	oryginalny	أَصلِيّ	ADJ;NOM;FEM;SG	
oryginalna	الاصل	oryginalny	أَصل	ADJ;NOM;FEM;SG	
kanały	قناة	kanał	قَنَاة	N;NOM;MASC;PL	N;NOM;INDF;SG
kanały	القناة	kanał	قَنَاة	N;NOM;MASC;PL	N;NOM;DEF;SG
pokryta	غطى	pokryć	غَطَّى	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
pokryta	غطيت	pokryć	غطيت	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;3;PASS
pokryta	مغطى	pokryć	مَغطَى	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	
turner	ترنر	turner	رَنَّر		
turner	تيرنر	turner	تَيرِنَر		
ambasady	السفارات	ambasada	سِفَارَة	N;GEN;FEM;SG	N;NOM;DEF;PL
ambasady	سفارة	ambasada	سِفَارَة	N;GEN;FEM;SG	N;NOM;INDF;SG
ambasady	السفارة	ambasada	سِفَارَة	N;GEN;FEM;SG	N;NOM;DEF;SG
jefferson	جيفرسون	jefferson	جيفرسون	PROPN;NOM;MASC;SG	
jefferson	جيفيرسون	jefferson	جيفيرسون	PROPN;NOM;MASC;SG	
partner	المنتسبة	partner	مُنتَسِب	N;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
transmisji	الارسال	transmisja	إِرسَال	N;GEN;FEM;SG	N;NOM;DEF;SG
transmisji	ارسال	transmisja	ارسال	N;GEN;FEM;SG	
transmisji	بث	transmisja	بَثّ	N;GEN;FEM;SG	N;NOM;INDF;SG
transmisji	البث	transmisja	بَثّ	N;GEN;FEM;SG	N;NOM;DEF;SG
kolonie	المستعمرات	kolonie	مُستَعمَر	N;NOM;FEM;SG	N;NOM;DEF;PL
regulamin	التنظيم	regulamin	تَنظِيم	N;ACC;MASC;SG	N;NOM;DEF;SG
rachel	راتشيل	rachel	راتشيل	PROPN;NOM;FEM;SG	
rachel	ريتشيل	rachel	ريتشيل	PROPN;NOM;FEM;SG	
rachel	ريتشل	rachel	رِيتشِل	PROPN;NOM;FEM;SG	
rachel	رايتشل	rachel	رَايتشِل	PROPN;NOM;FEM;SG	
rachel	راشيل	rachel	راشيل	PROPN;NOM;FEM;SG	
wenecja	فينسيا	wenecja	فِينسِيَا	N;NOM;FEM;SG	
wenecja	فينيس	wenecja	فِينِيس	N;NOM;FEM;SG	
wenecja	فينيسيا	wenecja	فِينِيسِيَا	N;NOM;FEM;SG	
sierżant	سيرج	sierżant	سَيرَج	N;NOM;MASC;SG	
sierżant	عريف	sierżant	عريف	N;NOM;MASC;SG	
sierżant	سيرجنت	sierżant	سيرجنت	N;NOM;MASC;SG	
skarb	الثمينة	skarb	ثَمِين	N;ACC;MASC;SG	N;NOM;DEF;SG
skarb	الغالي	skarb	الغالي	N;ACC;MASC;SG	
skarb	كنز	skarb	كَنز	N;ACC;MASC;SG	
skarb	الكنز	skarb	كَنز	N;ACC;MASC;SG	N;NOM;DEF;SG
ogrody	جنات	ogród	جِنَة	N;NOM;MASC;PL	
piąta	خامس	piąty	خَامِس		ADJ;NOM;INDF;MASC;SG
piąta	الخامس	piąty	خَامِس		ADJ;NOM;DEF;MASC;SG
piąta	الخامسة	piąty	خَامِس		ADJ;NOM;DEF;FEM;SG
piąta	خامسا	piąty	خَامِس		
pamiętnik	يوميات	pamiętnik	يَومِيّ	N;ACC;MASC;SG	ADJ;NOM;INDF;FEM;PL
pamiętnik	اليوميات	pamiętnik	يَومِيّ	N;ACC;MASC;SG	N;NOM;DEF;PL
pamiętnik	يوميات	pamiętnik	يَومِيّ	N;ACC;MASC;SG	ADJ;NOM;INDF;FEM;PL
pamiętnik	اليوميات	pamiętnik	يَومِيّ	N;ACC;MASC;SG	N;NOM;DEF;PL
pamiętnik	مذكرات	pamiętnik	مُذَكِّرَة	N;ACC;MASC;SG	N;NOM;INDF;PL
pamiętnik	مفكرة	pamiętnik	مفكرة	N;ACC;MASC;SG	N;NOM;INDF;SG
stawu	بركة	staw	بَرَكَة	N;GEN;MASC;SG	N;NOM;INDF;SG
stawu	البركة	staw	بَرَكَة	N;GEN;MASC;SG	N;NOM;DEF;SG
procedury	الاجراءات	procedura	إِجرَاء	N;ACC;FEM;PL	N;NOM;DEF;PL
procedury	اجراءات	procedura	إِجرَاء	N;ACC;FEM;PL	N;NOM;INDF;PL
procedury	الاجراء	procedura	إِجرَاء	N;ACC;FEM;PL	N;NOM;DEF;SG
procedury	الاجراءات	procedura	إِجرَاء	N;ACC;FEM;PL	N;NOM;DEF;PL
procedury	اجراء	procedura	إِجرَاء	N;ACC;FEM;PL	N;NOM;INDF;SG
disco	ديسكو	disco	ديسكو		
disco	الديسكو	disco	الديسكو		N;NOM;DEF;SG
barona	البارون	barona	بَارُون	N;ACC;MASC;SG	
barona	بارون	barona	بَارُون	N;ACC;MASC;SG	
sumę	المبلغ	suma	مَبلَغ	N;ACC;FEM;SG	N;NOM;DEF;SG
sumę	مبلغ	suma	مَبلَغ	N;ACC;FEM;SG	N;NOM;INDF;SG
uczestniczyło	شاركت	uczestniczyć	شَارَك	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
cząsteczki	الجسيم	cząsteczka	الجسيم	N;NOM;FEM;PL	N;NOM;DEF;SG
cząsteczki	جسيم	cząsteczka	جَسِيم	N;NOM;FEM;PL	N;NOM;INDF;SG
fair	عادل	fair	عادل		
fair	عادلة	fair	عَادِل		ADJ;NOM;INDF;FEM;SG
fair	منصف	fair	مَنصِف		
wstawić	تدرج	wstawić	دَرَج	V;PFV;NFIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
wstawić	يدرج	wstawić	دَرَج	V;PFV;NFIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
wstawić	ادراج	wstawić	إِدرَاج	V;PFV;NFIN;ACT	N;NOM;INDF;SG
czysto	بحت	czysto	بَحَت		N;NOM;INDF;SG
czysto	واضح	czysto	وَاضِح		ADJ;NOM;INDF;MASC;SG
czysto	واضحة	czysto	وَاضِح		ADJ;NOM;INDF;FEM;SG
czysto	خال	czysto	خَالِي		
czysto	مبين	czysto	مبين		
plemiona	قبائل	plemię	قُبَائِلَ	N;NOM;NEUT;SG	N;NOM;INDF;PL
plemiona	القبائل	plemię	قُبؤُل	N;NOM;NEUT;SG	N;NOM;DEF;PL
linda	ليندا	linda	ليندا	PROPN;NOM;FEM;SG	
musical	موسيقية	musical	مُوسِيقِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
zawodowo	مهنيا	zawodowo	مهنيا	ADV	ADJ;ACC;INDF;MASC;SG
virginia	فيرجينيا	virginia	فِيرجِينِيَا		
virginia	فرجينيا	virginia	فَرجِينِيَا		
mistrzowie	الماجستير	mistrz	الماجستير	N;NOM;MASC;PL	N;NOM;DEF;SG
drewno	وود	drewno	وَودَ	N;NOM;NEUT;SG	
drewno	الاخشاب	drewno	خَشَب	N;NOM;NEUT;SG	N;NOM;DEF;PL
salvador	سالفادور	salvador	سالفادور	PROPN;NOM;MASC;SG	
salvador	سلفادور	salvador	سلفادور	PROPN;NOM;MASC;SG	
islam	الاسلام	islam	الاسلام	N;NOM;MASC;SG	
islam	اسلام	islam	اسلام	N;NOM;MASC;SG	
bloków	كتل	blok	كتل	N;GEN;MASC;PL	N;NOM;INDF;PL
bloków	الكتل	blok	كَتل	N;GEN;MASC;PL	N;NOM;DEF;PL
prasa	اضغط	prasa	اِضغَطّ	N;NOM;FEM;SG	
kapitał	العاصمة	kapitał	عَاصِمَة	N;ACC;MASC;SG	N;NOM;DEF;SG
kapitał	عاصمة	kapitał	عَاصِمَة	N;ACC;MASC;SG	N;NOM;INDF;SG
monica	مونيكا	monica	مُونِيكَا	V;IPFV;IND;SG;1;PRS;FIN;ACT	
galaktyki	المجرات	galaktyk	مَجرَة	N;ACC;FEM;PL	N;NOM;DEF;PL
galaktyki	غالاكسي	galaktyk	غالاكسي	N;ACC;FEM;PL	
galaktyki	مجرة	galaktyk	مِجرَة	N;ACC;FEM;PL	N;NOM;INDF;SG
galaktyki	المجرة	galaktyk	مَجرَة	N;ACC;FEM;PL	N;NOM;DEF;SG
aktualny	التيار	aktualny	تَيَّار	ADJ;NOM;MASC;SG	N;NOM;DEF;SG
aktualny	تيار	aktualny	تَيَّار	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
kontrola	تحكم	kontrola	حَكَم	N;NOM;FEM;SG	
mieszane	المختلط	mieszany	مُختَلِط	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
typowo	نموذجيا	typowo	نَمُوذَجِيّ		ADJ;ACC;INDF;MASC;SG
typowo	نموذجية	typowo	نَمُوذَجِيّ		ADJ;NOM;INDF;FEM;SG
typowo	نموذجي	typowo	نَمُوذَجِيّ		ADJ;NOM;INDF;MASC;SG
warunek	حالة	warunek	حَالَة	N;ACC;MASC;SG	N;NOM;INDF;SG
warunek	شرط	warunek	شَرط	N;ACC;MASC;SG	N;NOM;INDF;SG
warunek	الحالة	warunek	حَالَة	N;ACC;MASC;SG	N;NOM;DEF;SG
warunek	الشرط	warunek	شَرط	N;ACC;MASC;SG	N;NOM;DEF;SG
stowarzyszeń	الرابطات	stowarzyszenie	رَابِط	N;GEN;NEUT;PL	ADJ;NOM;DEF;FEM;PL
stowarzyszeń	الجمعيات	stowarzyszenie	جَمعِيَّة	N;GEN;NEUT;PL	N;NOM;DEF;PL
stowarzyszeń	جمعيات	stowarzyszenie	جَمعِيَّة	N;GEN;NEUT;PL	N;NOM;INDF;PL
regina	ريجينا	regina	ريجينا	N;NOM;FEM;SG	
sokół	فالكون	sokół	فالكون	N;NOM;MASC;SG	
sokół	صقر	sokół	صَقَر	N;NOM;MASC;SG	
rozwiązany	حلت	rozwiązać	حَلّ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
rozwiązany	حللت	rozwiązać	حَلَّل	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
floryda	فلوريدا	floryd	فِلُورِيدَا		
księżnej	دوقة	księżny	دَوقَة	ADJ;GEN;FEM;SG	
księżnej	الدوقة	księżny	دَوقَة	ADJ;GEN;FEM;SG	
właścicielami	مالكو	właściciel	مَالكُو	N;INS;MASC;PL	N;NOM;INDF;PL
wewnętrzny	داخليا	wewnętrzny	دَاخِلِيّ	ADJ;NOM;MASC;SG	ADJ;ACC;INDF;MASC;SG
sex	جنس	sex	جنس		N;NOM;INDF;SG
sex	الجنس	sex	جِنس		N;NOM;DEF;SG
samców	الذكور	samc	ذُكُور		N;NOM;DEF;PL
samców	ذكور	samc	ذَكّ		N;NOM;INDF;PL
zbrodnie	جرائم	zbrodnie	جَرِيمَة	N;NOM;FEM;SG	N;NOM;INDF;PL
zbrodnie	الجرائم	zbrodnie	جَرِيمَة	N;NOM;FEM;SG	N;NOM;DEF;PL
zbrodnie	الجرائم	zbrodnie	جَرِيمَة	N;NOM;FEM;SG	N;NOM;DEF;PL
bycie	كونك	bycie	كُونك		
dar	هديه	dar	هَدِيه	N;NOM;MASC;SG	
row	صف	row	صَفّ		N;NOM;INDF;SG
wewnętrzna	داخليا	wewnętrzny	دَاخِلِيّ	ADJ;NOM;FEM;SG	ADJ;ACC;INDF;MASC;SG
podróże	سفر	podróż	سَفَر	N;ACC;FEM;PL	N;NOM;INDF;SG
podróże	السفر	podróż	سَفَر	N;ACC;FEM;PL	N;NOM;DEF;SG
podróże	سفر	podróż	سَفَر	N;ACC;FEM;PL	N;NOM;INDF;SG
podróże	السفر	podróż	سَفَر	N;ACC;FEM;PL	N;NOM;DEF;SG
podróże	سفر	podróż	سَفَر	N;ACC;FEM;PL	N;NOM;INDF;SG
podróże	مسافر	podróż	مُسَافِر	N;ACC;FEM;PL	N;NOM;INDF;SG
podróże	السفر	podróż	سَفَر	N;ACC;FEM;PL	N;NOM;DEF;SG
pokrywy	يغطي	pokrywy	غَطَّى	N;ACC;FEM;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
kapłan	قسيس	kapłan	قسيس	N;NOM;MASC;SG	
kapłan	كاهن	kapłan	كَاهِن	N;NOM;MASC;SG	
kapłan	قس	kapłan	قِس	N;NOM;MASC;SG	
orlando	اورلاندو	orlando	أُورلَاندُو	N;NOM;NEUT;SG	
opinia	ملاحظات	opinia	مُلَاحَظَة	N;NOM;FEM;SG	N;NOM;INDF;PL
alessandro	اليساندرو	alessandro	اليساندرو	PROPN;NOM;MASC;SG	
alessandro	al	alessandro	شَشّ	PROPN;NOM;MASC;SG	
pogoń	السعي	pogonić	سَعي		N;NOM;DEF;SG
pogoń	تشيس	pogonić	شِيس		
pogoń	المطاردة	pogonić	مُطَارَدَة		N;NOM;DEF;SG
pogoń	مطاردة	pogonić	مُطَارَدَة		N;NOM;INDF;SG
bycia	كونك	być	كُونك		
postawy	موقف	postawa	مَوقِف	N;GEN;FEM;SG	N;NOM;INDF;SG
postawy	السلوك	postawa	سُلُوك	N;GEN;FEM;SG	N;NOM;DEF;SG
postawy	سلوك	postawa	سُلُوك	N;GEN;FEM;SG	N;NOM;INDF;SG
postawy	الموقف	postawa	مَوقِف	N;GEN;FEM;SG	N;NOM;DEF;SG
postawy	المواقف	postawa	مَوقِف	N;GEN;FEM;SG	N;NOM;DEF;PL
postawy	مواقف	postawa	مَوقِف	N;GEN;FEM;SG	N;NOM;INDF;PL
postawy	المواقف	postawa	مَوقِف	N;GEN;FEM;SG	N;NOM;DEF;PL
kasy	فلوس	kasa	فِلم	N;ACC;FEM;SG	
kasy	نقود	kasa	نقود	N;ACC;FEM;SG	N;NOM;INDF;PL
kasy	اموال	kasa	مَال	N;ACC;FEM;SG	N;NOM;INDF;PL
kasy	المال	kasa	مَال	N;ACC;FEM;SG	N;NOM;DEF;SG
kasy	مال	kasa	مَال	N;ACC;FEM;SG	
kasy	النقدية	kasa	نَقدِيّ	N;ACC;FEM;SG	ADJ;NOM;DEF;FEM;SG
kasy	نقدية	kasa	نقدية	N;ACC;FEM;SG	ADJ;NOM;INDF;FEM;SG
kasy	نقد	kasa	نَقد	N;ACC;FEM;SG	N;NOM;INDF;SG
kasy	كاش	kasa	كَاش	N;ACC;FEM;SG	
klaus	كلاوس	klaus	كلاوس	PROPN;NOM;MASC;SG	
studenci	الطالب	student	طَالِب	N;NOM;MASC;PL	N;NOM;DEF;SG
studenci	طالب	student	طَالَب	N;NOM;MASC;PL	V;PFV;MASC;SG;3;ACT
studenci	تلميذ	student	تَلمِيذ	N;NOM;MASC;PL	N;NOM;INDF;SG
studenci	طالبة	student	طَالِبَة	N;NOM;MASC;PL	N;NOM;INDF;SG
studenci	التلميذ	student	تَلمِيذ	N;NOM;MASC;PL	N;NOM;DEF;SG
zęby	اسنان	ząb	إِسنَان	N;NOM;MASC;PL	N;NOM;INDF;SG
zęby	الاسنان	ząb	الاسنان	N;NOM;MASC;PL	N;NOM;DEF;SG
duszy	الروح	dusza	رُوح	N;GEN;FEM;SG	N;NOM;DEF;SG
duszy	روحي	dusza	روحي	N;GEN;FEM;SG	
duszy	روح	dusza	رُوح	N;GEN;FEM;SG	
przeznaczeniem	القدر	przeznaczenie	قَدر	N;INS;NEUT;SG	N;NOM;DEF;SG
przeznaczeniem	قدر	przeznaczenie	قَدر	N;INS;NEUT;SG	N;NOM;INDF;SG
przeznaczeniem	المصير	przeznaczenie	مَصِير	N;INS;NEUT;SG	N;NOM;DEF;SG
irlandia	ايرلندا	irlandia	إِيرلَندَا	N;NOM;FEM;SG	
ferdinand	فيرديناند	ferdinand	فيرديناند	N;NOM;MASC;SG	
ferdinand	فرديناند	ferdinand	فرديناند	N;NOM;MASC;SG	
ferdinand	فيردناند	ferdinand	فيردناند	N;NOM;MASC;SG	
act	التصرف	act	تَصَرُّف		N;NOM;DEF;SG
act	الفعل	act	فِعل		N;NOM;DEF;SG
act	التمثيل	act	تَمثِيل		N;NOM;DEF;SG
skała	روك	skała	رُوك	N;NOM;FEM;SG	
skała	الروك	skała	رُوك	N;NOM;FEM;SG	
ponownego	التكرار	ponowny	تَكرَر	ADJ;ACC;MASC;SG	N;NOM;DEF;SG
ponownego	تكرار	ponowny	تَكرَار	ADJ;ACC;MASC;SG	N;NOM;INDF;SG
łaski	رحمة	łaska	رَحمَة	N;ACC;FEM;SG	
łaski	الرحمة	łaska	رَحمَة	N;ACC;FEM;SG	N;NOM;DEF;SG
łaski	ميرسي	łaska	ميرسي	N;ACC;FEM;SG	
łaski	مرسي	łaska	مرسي	N;ACC;FEM;SG	
łaski	جريس	łaska	جَرِيس	N;ACC;FEM;SG	
łaski	نعمة	łaska	نعمة	N;ACC;FEM;SG	N;NOM;INDF;SG
łaski	غريس	łaska	غرِيس	N;ACC;FEM;SG	
łaski	غرايس	łaska	غرَايس	N;ACC;FEM;SG	
wykorzystane	استعمل	wykorzystać	اِستَعمَل	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
wykorzystane	استخدم	wykorzystać	اِستَخدَم	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
wykorzystane	مستخدم	wykorzystać	مُستَخدَم	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;NOM;INDF;SG
wykorzystane	استخدمت	wykorzystać	اِستَخدَم	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;3;PASS
nina	نينا	nina	نينا	PROPN;NOM;FEM;SG	
zachowań	سلوكيات	zachowanie	سُلُوكِيّ	N;GEN;NEUT;PL	ADJ;NOM;INDF;FEM;PL
zachowań	السلوكيات	zachowanie	سُلُوكِيّ	N;GEN;NEUT;PL	ADJ;NOM;DEF;FEM;PL
zachowań	السلوكيات	zachowanie	سُلُوكِيّ	N;GEN;NEUT;PL	ADJ;NOM;DEF;FEM;PL
montana	مونتانا	montany	مُونتَانَا		
parametr	ضابطة	parametr	ضَابِط	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
parametr	المعامل	parametr	مُعَامِل	N;NOM;MASC;SG	N;NOM;DEF;PL
narciarstwo	تزلج	narciarstwo	زَلَّج	N;NOM;NEUT;SG	
eyes	اعين	eyes	أَعَان		
eyes	عيون	eyes	عَيُّون		
eyes	العيون	eyes	العيون		
eyes	عين	eyes	عين		
terytoriów	اقاليم	terytoria	أَقلَام	N;GEN;NEUT;PL	
terytoriów	الاقاليم	terytoria	أَقلَام	N;GEN;NEUT;PL	
terytoriów	الاراضي	terytoria	أَرض	N;GEN;NEUT;PL	N;NOM;DEF;PL
ochotników	متطوعين	ochotnik	مُتَطَوِّع	N;ACC;MASC;PL	N;NOM;INDF;PL
ochotników	متطوعو	ochotnik	مُتَطَوِّع	N;ACC;MASC;PL	N;NOM;INDF;PL
ochotników	متطوعي	ochotnik	مُتَطَوِّع	N;ACC;MASC;PL	N;NOM;INDF;PL
ochotników	المتطوعون	ochotnik	مُتَطَوِّع	N;ACC;MASC;PL	N;NOM;DEF;PL
ochotników	المتطوعين	ochotnik	مُتَطَوِّع	N;ACC;MASC;PL	ADJ;NOM;DEF;MASC;PL
pojęć	المفاهيم	pojęć	مَفهُوم	N;GEN;NEUT;PL	N;NOM;DEF;PL
pojęć	مفاهيم	pojęć	مَفهُوم	N;GEN;NEUT;PL	N;NOM;INDF;PL
circle	الدائرة	circle	دَائِرَة		N;NOM;DEF;SG
circle	دائرة	circle	دَائِرَة		N;NOM;INDF;SG
absolwentów	الخريجين	absolwent	خَرِيج	N;ACC;MASC;PL	N;ACC;DEF;DU
absolwentów	خريجي	absolwent	خِرِّيج	N;ACC;MASC;PL	N;NOM;INDF;PL
